"","gene_id","6_1","7_1","8_1","9_1","21_1","22_1","23_1","25_1","26_1","27_1","29_1","34_1","scaffold","Gene.Predict","id","gene.start","gene.stop","pos1","pos2","pos3","attr"
"109","plut2.m8.32950",12,29,5,9,14,42,28,12,13,8,6,9,"xpSc0007125","maker","gene",105447,108446,".","-",".","ID=plut2.m8.32950;Name=plut2.m8.32950"
"110","plut2.m8.32952",527,232,56,71,94,218,145,876,370,246,34,34,"xpSc0007125","maker","gene",24640,26153,".","-",".","ID=plut2.m8.32952;Name=plut2.m8.32952"
"111","plut2.m8.32953",730,515,136,103,156,482,312,1579,633,600,60,87,"xpSc0007125","maker","gene",82702,85700,".","-",".","ID=plut2.m8.32953;Name=plut2.m8.32953"
"112","plut2.m8.33084",35,47,31,12,26,49,34,32,11,36,12,18,"xpSc0007152","maker","gene",33934,53186,".","+",".","ID=plut2.m8.33084;Name=plut2.m8.33084"
"113","plut2.m8.33156",25,31,12,3,38,25,26,16,11,14,22,12,"xpSc0007183","maker","gene",14773,27284,".","-",".","ID=plut2.m8.33156;Name=plut2.m8.33156"
"114","plut2.m8.33216",429,74,56,113,68,69,105,265,228,80,42,37,"xpSc0007203","maker","gene",3599,9342,".","-",".","ID=plut2.m8.33216;Name=plut2.m8.33216"
"115","plut2.m8.33367",25,22,22,5,55,18,23,10,9,16,42,7,"xpSc0007289","maker","gene",9271,12051,".","+",".","ID=plut2.m8.33367;Name=plut2.m8.33367"
"116","plut2.m8.33377",16,30,22,16,25,19,35,11,12,17,17,11,"xpSc0007296","maker","gene",80,4234,".","+",".","ID=plut2.m8.33377;Name=plut2.m8.33377"
"117","plut2.m8.33379",14,16,19,0,18,7,15,12,7,11,12,7,"xpSc0007296","maker","gene",23052,36280,".","+",".","ID=plut2.m8.33379;Name=plut2.m8.33379"
"118","plut2.m8.33396",31,54,26,12,37,12,41,9,12,21,27,24,"xpSc0007307","maker","gene",21628,23496,".","+",".","ID=plut2.m8.33396;Name=plut2.m8.33396"
"119","plut2.m8.33535",137,74,33,18,79,101,66,85,62,66,36,29,"xpSc0007573","maker","gene",8114,9780,".","+",".","ID=plut2.m8.33535;Name=plut2.m8.33535"
"120","plut2.m8.33612",28,39,15,7,43,23,29,17,30,20,16,12,"xpSc0008381","maker","gene",149,2271,".","-",".","ID=plut2.m8.33612;Name=plut2.m8.33612"
"121","plut2.m8.3398",42,24,10,5,25,81,30,24,6,26,11,10,"Sc0000028","maker","gene",914774,930833,".","+",".","ID=plut2.m8.3398;Name=plut2.m8.3398"
"122","plut2.m8.3544",1035,520,242,142,627,644,566,527,690,409,323,206,"Sc0000029","maker","gene",1650891,1665037,".","-",".","ID=plut2.m8.3544;Name=plut2.m8.3544"
"123","plut2.m8.3794",198,269,185,30,405,180,265,127,84,245,270,144,"Sc0000032","maker","gene",788493,791955,".","+",".","ID=plut2.m8.3794;Name=plut2.m8.3794"
"124","plut2.m8.4130",26,17,18,5,29,14,12,14,11,15,21,10,"Sc0000036","maker","gene",82728,90823,".","+",".","ID=plut2.m8.4130;Name=plut2.m8.4130"
"125","plut2.m8.4150",28,27,9,7,29,18,23,9,20,14,17,9,"Sc0000036","maker","gene",405879,412503,".","+",".","ID=plut2.m8.4150;Name=plut2.m8.4150"
"126","plut2.m8.4590",16,71,31,5,69,37,39,8,10,40,35,23,"Sc0000040","maker","gene",1541151,1545873,".","+",".","ID=plut2.m8.4590;Name=plut2.m8.4590"
"127","plut2.m8.4878",32,44,15,0,65,37,36,43,26,24,35,21,"Sc0000044","maker","gene",478950,483671,".","+",".","ID=plut2.m8.4878;Name=plut2.m8.4878"
"128","plut2.m8.5234",14,13,14,0,10,9,16,8,9,8,17,11,"Sc0000048","maker","gene",6882,26459,".","+",".","ID=plut2.m8.5234;Name=plut2.m8.5234"
"129","plut2.m8.5539",69,9,20,17,383,27,20,49,28,24,260,18,"Sc0000051","maker","gene",141381,144809,".","-",".","ID=plut2.m8.5539;Name=plut2.m8.5539"
"130","plut2.m8.5800",12,45,30,16,36,20,40,32,9,22,30,19,"Sc0000053","maker","gene",911299,913161,".","-",".","ID=plut2.m8.5800;Name=plut2.m8.5800"
"131","plut2.m8.5801",30,43,25,13,31,20,30,38,24,16,34,18,"Sc0000053","maker","gene",913243,914535,".","-",".","ID=plut2.m8.5801;Name=plut2.m8.5801"
"132","plut2.m8.5923",179,12,7,66,20,16,10,191,133,10,16,8,"Sc0000055","maker","gene",91230,93696,".","+",".","ID=plut2.m8.5923;Name=plut2.m8.5923"
"133","plut2.m8.6590",103,80,32,19,86,34,54,73,56,39,54,32,"Sc0000063","maker","gene",890246,896101,".","-",".","ID=plut2.m8.6590;Name=plut2.m8.6590"
"134","plut2.m8.6795",16,20,17,6,23,13,16,19,14,15,16,6,"Sc0000066","maker","gene",458743,473277,".","+",".","ID=plut2.m8.6795;Name=plut2.m8.6795"
"135","plut2.m8.7016",768,482,106,180,216,299,232,524,498,255,145,108,"Sc0000069","maker","gene",399716,402067,".","+",".","ID=plut2.m8.7016;Name=plut2.m8.7016"
"136","plut2.m8.7118",25,41,20,3,40,32,35,23,17,35,20,10,"Sc0000070","maker","gene",740054,741022,".","-",".","ID=plut2.m8.7118;Name=plut2.m8.7118"
"137","plut2.m8.7161",40,16,14,5,35,16,20,20,15,11,21,8,"Sc0000071","maker","gene",380720,392631,".","+",".","ID=plut2.m8.7161;Name=plut2.m8.7161"
"138","plut2.m8.7220",12,40,20,0,34,43,31,7,6,32,20,20,"Sc0000072","maker","gene",160526,162000,".","-",".","ID=plut2.m8.7220;Name=plut2.m8.7220"
"139","plut2.m8.7302",393,83,77,146,218,33,101,393,241,51,112,55,"Sc0000073","maker","gene",272827,325365,".","-",".","ID=plut2.m8.7302;Name=plut2.m8.7302"
"140","plut2.m8.7375",247,198,144,92,426,152,180,215,150,121,261,99,"Sc0000074","maker","gene",636826,652944,".","-",".","ID=plut2.m8.7375;Name=plut2.m8.7375"
"141","plut2.m8.7539",12,9,17,8,18,22,13,12,1,15,19,9,"Sc0000076","maker","gene",1224530,1225402,".","+",".","ID=plut2.m8.7539;Name=plut2.m8.7539"
"142","plut2.m8.7555",182,286,200,47,166,131,277,99,76,155,221,236,"Sc0000077","maker","gene",115361,124973,".","+",".","ID=plut2.m8.7555;Name=plut2.m8.7555"
"143","plut2.m8.8087",36,51,19,10,67,78,43,27,29,37,37,26,"Sc0000085","maker","gene",347367,347714,".","-",".","ID=plut2.m8.8087;Name=plut2.m8.8087"
"144","plut2.m8.8613",71,22,17,8,101,13,16,44,49,18,72,14,"Sc0000093","maker","gene",810127,824091,".","+",".","ID=plut2.m8.8613;Name=plut2.m8.8613"
"145","plut2.m8.8790",477,208,78,61,207,279,172,302,157,203,70,58,"Sc0000096","maker","gene",689160,698026,".","-",".","ID=plut2.m8.8790;Name=plut2.m8.8790"
"146","plut2.m8.92",1483,721,594,395,848,711,695,1186,886,662,632,419,"Sc0000000","maker","gene",1498563,1506064,".","-",".","ID=plut2.m8.92;Name=plut2.m8.92"
"147","plut2.m8.9273",22,23,23,8,30,16,13,23,10,12,19,9,"Sc0000105","maker","gene",285775,289287,".","-",".","ID=plut2.m8.9273;Name=plut2.m8.9273"
"148","plut2.m8.9304",66,24,17,7,287,62,40,37,34,19,220,13,"Sc0000105","maker","gene",988099,990161,".","-",".","ID=plut2.m8.9304;Name=plut2.m8.9304"
