gene_id,10_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,13_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,13_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,14_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,14_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,15_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,16_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,19_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,20_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,5_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,5_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf
g53680,8,7,7,4,3,3,7,5,8,0,0
g53683,0,2,0,0,1,0,0,0,1,0,0
g53682,1,0,0,0,1,0,0,1,0,0,0
g53685,0,0,0,0,0,0,0,0,0,0,0
g53684,0,0,0,0,0,0,0,0,0,0,0
g53686,0,0,0,2,0,0,0,0,0,0,0
g21769,0,0,0,0,0,0,0,1,0,0,0
g43896,0,0,0,0,0,0,0,0,0,0,0
g35549,229,295,285,388,382,153,169,84,155,285,287
g50136,12,12,12,15,13,8,7,0,11,21,21
g50137,58,106,105,166,164,48,52,41,45,91,89
g50134,0,0,0,0,0,0,0,0,0,0,1
g50135,0,0,0,4,2,0,0,3,0,0,0
g50132,3,5,4,4,0,0,2,2,0,10,5
g50133,36,79,80,62,69,18,33,21,26,64,64
g50130,461,571,565,860,857,308,325,559,578,934,949
adi2mcaRNA29958_R1,24,57,62,9,0,13,10,8,15,17,0
g50138,0,0,0,0,0,0,0,0,0,0,0
g50139,1,0,1,0,0,0,1,0,1,1,1
g53533,38,81,75,146,136,36,56,38,46,99,98
g44626,0,0,0,12,12,0,3,4,0,0,0
g53531,1,0,0,0,0,0,0,0,1,0,0
g15187,81,110,113,150,152,58,82,57,47,114,120
g53537,0,0,0,0,0,0,0,0,0,0,1
g53536,13,13,14,28,28,6,11,0,8,7,6
g53535,0,0,2,0,1,0,0,0,0,0,0
g58302,3822,7938,7832,8300,8274,3380,4614,1946,4913,8677,8670
g7652,248,587,593,904,895,228,328,238,238,1030,1045
g7653,70,105,102,120,116,47,60,39,55,87,83
g7650,65,195,203,174,177,51,80,61,53,158,170
g53538,1,0,0,0,0,0,0,0,0,0,0
g7656,1,0,0,0,0,0,0,0,0,0,0
g15189,0,0,1,0,0,1,0,0,1,0,0
g7654,0,0,0,0,0,0,0,0,0,0,0
g44628,8,12,12,8,8,0,5,3,10,7,8
g58616,11,28,29,14,14,8,9,10,8,19,17
adi2mcaRNA10208_R3,1,3,6,6,6,1,1,1,1,3,4
adi2mcaRNA10208_R0,1,1,1,1,1,1,1,1,1,1,0
g55567,4,7,6,4,7,1,1,1,4,8,9
g55564,6,14,16,11,11,0,6,0,0,16,16
g55565,175,552,542,542,552,137,176,150,159,579,583
g55560,2,5,5,0,2,0,2,2,0,0,1
g10899,11,24,22,26,20,16,11,10,11,22,17
g22550,24,39,42,33,33,15,18,7,17,50,48
g36541,7,14,13,8,9,5,1,4,6,9,8
adi2mcaRNA14205_R8,0,0,0,15,16,1,6,4,0,0,0
adi2mcaRNA22685_R2,0,0,0,0,0,0,0,0,1,0,0
adi2mcaRNA22685_R3,1,1,1,1,1,1,0,0,1,1,1
adi2mcaRNA22685_R1,1,6,5,5,3,1,1,1,1,3,5
adi2mcaRNA22685_R8,0,0,0,5,5,0,0,0,0,2,2
g53151,1,0,0,0,0,0,0,0,1,0,1
g17328,173,284,279,416,432,145,113,94,356,210,227
g66601,0,0,0,0,0,0,0,0,0,0,0
adi2mcaRNA28746_R0,34,71,68,68,74,26,26,23,32,177,174
adi2mcaRNA28746_R1,34,61,63,24,20,19,22,20,26,71,68
adi2mcaRNA5769_R9,2,5,5,7,7,2,4,2,2,4,4
adi2mcaRNA5769_R5,0,0,0,0,0,0,0,0,0,0,0
g68850,0,0,0,0,0,0,0,0,0,0,0
g68851,0,0,0,1,1,0,0,0,1,1,0
g68856,1,0,0,0,0,0,1,1,0,0,0
g68857,5,17,18,0,0,0,3,4,0,13,10
g68854,0,0,0,0,0,0,0,0,1,1,1
adi2mcaRNA12403_R0,68,141,141,166,172,38,73,46,58,135,144
g53150,2,2,0,0,0,1,3,2,5,3,4
g14589,1,0,1,3,0,1,1,0,2,3,3
g14588,29,20,16,38,48,22,20,13,13,124,122
g66600,0,0,0,0,0,0,0,0,0,0,0
g14583,23,9,9,30,23,14,15,12,9,47,40
g14582,3,0,0,1,1,0,1,2,0,0,0
g14581,3,0,5,6,5,0,0,0,0,0,0
g14580,3,3,3,2,2,0,0,1,0,0,0
g14587,0,0,0,0,0,0,0,0,0,0,0
g14586,14,4,2,18,8,2,2,2,1,50,39
g14585,0,0,0,0,0,0,0,0,0,0,0
g14584,0,0,0,0,0,0,0,0,0,0,0
g10808,32,66,67,60,64,22,56,45,36,66,67
g10809,52,61,61,120,119,43,52,32,46,66,69
g10803,1,0,0,0,0,0,1,1,1,0,0
g10800,0,0,0,2,0,0,0,0,0,0,0
g10801,1,0,0,1,1,0,1,0,1,0,0
g10806,9,16,16,105,99,26,45,44,26,64,73
g10807,73,86,78,139,135,48,64,59,46,83,83
g10804,0,1,1,1,0,1,1,0,1,1,1
g10805,0,0,0,0,1,0,0,0,0,0,1
g5897,0,0,0,1,1,0,0,0,1,2,0
g4307,12,18,19,11,9,6,8,6,3,6,5
g4306,0,11,16,5,0,0,4,0,14,0,0
g4301,0,0,1,0,0,0,0,0,0,0,0
g4303,1,0,1,0,0,0,0,0,0,0,0
g4302,0,0,0,0,0,0,0,0,0,0,0
g4309,168,362,355,327,320,71,90,135,118,297,290
g4308,1,0,1,0,1,1,1,0,1,0,0
g42702,1,0,0,0,0,0,1,0,0,1,1
g42703,1,1,1,1,1,0,0,0,0,0,0
g42700,0,0,0,0,0,0,0,0,17,14,23
g42701,0,0,0,3,4,0,0,0,0,0,0
g42706,0,0,0,0,0,0,0,1,0,0,0
adi2mcaRNA36670_R8,0,0,0,0,0,0,0,0,0,0,0
g42704,1,0,0,0,0,1,1,0,0,0,1
g42705,0,0,0,0,0,0,1,1,0,1,1
adi2mcaRNA36670_R5,0,0,0,0,0,0,0,0,0,0,0
g42708,0,0,0,0,0,0,0,0,0,0,0
adi2mcaRNA36670_R6,0,0,0,0,0,0,0,0,0,0,0
adi2mcaRNA36670_R0,0,0,0,0,0,0,0,0,0,0,0
adi2mcaRNA36670_R3,1,0,0,0,0,0,0,0,0,0,0
adi2mcaRNA36670_R2,1,0,0,0,0,0,0,0,0,0,0
g5650,0,0,0,0,0,0,0,0,0,0,0
g5651,0,0,0,0,0,0,0,0,0,0,0
g5652,0,0,0,0,0,0,0,0,0,0,0
adi2mcaRNA7802_R2,42,99,109,60,61,27,24,18,26,45,49
g5654,1,0,0,0,0,0,0,1,0,0,0
g5655,0,0,0,0,0,0,0,0,0,0,0
g5656,0,0,0,0,0,0,0,0,0,0,0
g5658,0,0,0,0,0,0,0,0,0,0,0
g5659,0,0,0,0,0,0,0,0,0,0,0
adi2mcaRNA10935_R1,0,0,0,0,0,0,0,0,0,0,0
g23754,34,43,49,111,113,26,40,26,18,37,42
adi2mcaRNA1478_R5,0,0,0,0,0,0,4,0,0,0,0
g65410,0,11,0,0,0,0,0,0,332,15,13
g40638,18,41,38,38,37,10,19,21,16,38,39
g40639,1,0,0,0,0,0,0,0,0,0,0
g40634,0,0,0,0,0,0,0,0,0,0,0
g39886,0,0,0,0,1,0,1,1,0,0,0
g40636,0,0,0,0,0,0,0,0,0,0,0
g39884,197,311,305,413,400,127,155,158,146,305,292
g40630,0,0,0,0,0,0,0,0,0,2,0
g39882,1,0,0,10,11,1,3,3,0,0,1
g40632,0,0,0,7,7,1,5,1,2,5,5
g39880,8,12,11,13,14,5,6,6,6,21,14
adi2mcaRNA34667_R2,3,5,5,0,0,5,0,0,10,14,16
adi2mcaRNA34667_R7,0,0,0,0,0,0,0,0,0,0,0
adi2mcaRNA34667_R5,3,6,5,0,0,4,0,0,7,14,17
adi2mcaRNA34667_R4,1,0,0,0,0,0,0,0,0,0,0
adi2mcaRNA34667_R9,0,0,0,0,0,0,0,0,0,0,0
adi2mcaRNA34667_R8,0,6,3,0,0,0,0,0,0,0,0
adi2mcaRNA24340_R0,30,107,103,54,57,17,22,21,30,112,112
adi2mcaRNA24340_R1,28,99,99,120,116,20,35,28,34,131,132
g1379,10,10,10,27,24,4,9,6,8,13,15
g1378,16,47,40,46,48,18,19,16,22,42,41
g45288,2,7,6,5,5,2,3,2,4,6,5
g45289,33,64,64,64,71,20,30,29,31,82,86
g45286,3,12,13,22,18,2,3,5,3,18,15
g1372,0,0,0,0,0,0,0,0,0,0,0
g1371,28,56,58,55,49,17,22,14,26,56,56
g1370,15,23,25,15,16,1,10,6,3,0,0
g1377,105,251,258,249,250,82,110,84,89,300,305
g45283,0,1,1,5,5,3,2,4,4,9,10
g1375,62,106,104,166,162,45,65,46,55,151,156
g45281,231,499,492,269,272,63,200,108,164,602,615
g16756,0,0,0,0,0,0,0,0,1,0,0
adi2mcaRNA29406_R2,0,19,24,37,38,0,12,0,15,35,45
g39778,6,16,17,9,10,4,4,6,9,15,16
adi2mcaRNA29406_R0,56,204,201,174,168,42,51,41,53,234,221
adi2mcaRNA22450_R1,165,329,326,541,547,137,257,160,153,311,305
g53157,24,72,62,78,73,18,25,19,21,90,75
g189,0,0,0,0,0,0,0,0,0,0,0
g39770,0,0,0,14,14,0,3,6,2,4,0
g39773,0,0,0,0,0,0,1,0,0,0,0
g39772,0,1,1,0,0,0,1,1,1,0,0
g39774,0,0,0,0,0,0,0,0,0,0,0
g39777,0,0,0,0,0,0,0,0,0,1,0
g1087,0,0,0,3,3,0,0,0,0,0,0
g1089,1,2,1,2,2,1,1,1,3,7,7
g1088,1,2,2,2,2,1,0,0,2,4,6
g6001,0,0,0,0,0,0,0,0,0,0,1
g51982,5,10,10,4,4,2,2,2,4,8,7
g5048,23,89,91,81,87,24,19,24,23,98,102
g51983,3,4,3,2,2,3,1,1,6,12,11
g69680,923,1911,1891,4101,4063,753,1305,1378,771,2684,2711
adi2mcaRNA13696_R1,0,0,3,0,0,0,0,0,0,0,0
adi2mcaRNA38633_R0,166,284,278,404,409,94,169,121,154,381,402
adi2mcaRNA20482_R4,1,0,0,3,0,0,2,0,0,0,0
g53159,32,62,66,75,76,19,41,21,21,45,49
g51988,2,1,0,0,0,1,1,2,2,1,1
g51989,0,0,0,0,0,0,0,0,0,0,0
adi2mcaRNA38428_R1,11,7,7,18,18,1,5,4,0,0,0
adi2mcaRNA38428_R3,0,0,0,0,0,0,0,0,0,0,0
adi2mcaRNA38428_R4,0,0,0,0,0,0,0,0,0,0,0
g41948,10,22,26,21,21,11,10,7,5,10,11
g27315,1,2,0,2,2,1,1,1,1,5,1
g41945,2,0,1,0,1,0,0,1,0,0,1
g41944,1,1,1,1,1,0,1,1,1,2,2
g41947,4,3,5,5,5,1,3,2,2,4,3
g187,0,5,6,4,4,0,0,0,4,0,2
g41941,177,275,268,537,533,204,174,161,271,648,665
g41940,39,61,66,108,110,44,40,23,63,90,89
g41943,1,0,0,0,0,1,0,1,1,0,0
g41942,125,163,165,438,435,145,135,74,121,353,354
g53158,117,333,334,430,419,93,137,119,116,398,421
g53854,1,0,0,2,0,1,0,1,1,0,0
g31431,0,0,0,0,0,0,0,0,0,0,0
adi2mcaRNA18344_R1,1,1,0,0,0,0,1,0,0,0,0
adi2mcaRNA21193_R0,2038,3193,3258,7347,7258,1632,2621,2143,1404,4607,4655
g50131,1,0,0,0,0,0,0,0,0,0,0
g47557,1,2,2,1,1,1,1,1,1,1,1
g31437,3,5,0,7,7,4,3,0,7,16,12
g6688,6,22,20,7,7,4,8,2,8,24,23
g6689,1,1,1,3,3,1,1,2,1,1,1
g31434,8,25,30,14,12,4,7,8,15,30,27
g6682,78,185,185,114,114,36,55,48,43,109,111
g6683,23,73,79,53,52,16,21,24,31,60,62
g6680,1,1,1,1,0,2,1,0,1,2,2
g5046,149,275,302,483,518,70,162,158,76,264,269
g6687,72,107,111,174,158,83,71,121,111,250,270
g6684,0,0,0,0,0,0,0,0,0,0,0
g6685,67,80,81,53,53,42,32,21,42,73,77
g28438,0,0,0,0,0,0,0,0,0,0,0
g33596,258,561,605,795,845,143,254,243,131,393,437
g33595,268,472,443,612,573,182,247,177,168,614,567
g33594,81,224,215,272,258,100,93,85,132,291,280
g33593,18,76,84,81,91,23,37,27,24,91,112
g33592,182,404,419,470,473,155,199,175,208,580,592
g33591,39,53,55,143,148,192,78,194,263,1103,1083
g33590,218,597,611,694,700,183,243,254,234,843,864
g28431,3,8,8,11,8,3,4,4,7,17,15
g28432,0,1,0,0,0,3,0,0,4,6,10
g28433,4,4,4,4,6,4,3,2,8,23,22
g28434,0,0,0,0,0,0,0,0,0,0,0
g28436,0,0,0,0,0,0,0,0,0,0,0
g28437,0,0,0,0,0,0,0,0,0,0,0
g47622,1,0,0,0,0,1,1,1,2,0,0
g255,1,0,0,0,0,0,0,0,0,0,0
g47620,0,0,0,4,3,0,0,0,0,2,2
g70168,7,2,2,3,4,8,8,8,6,2,4
g47626,18,28,26,14,14,7,5,7,8,20,16
g47627,356,998,1001,1319,1313,298,397,367,398,1437,1443
g71007,25,45,50,99,71,26,39,33,58,121,145
g253,2,2,2,1,2,1,1,2,1,3,1
g39876,114,174,171,149,142,50,69,45,73,300,306
g70161,1,0,0,3,4,1,2,2,3,5,5
g70160,0,0,0,2,0,0,1,1,0,0,0
g70167,0,0,1,0,0,0,0,0,1,0,0
g259,0,2,2,2,2,0,0,0,2,2,2
g70165,0,0,0,3,3,1,1,3,1,0,0
adi2mcaRNA615_R0,0,10,9,6,9,4,0,0,5,9,13
adi2mcaRNA17763_R1,1,0,0,0,0,0,1,0,1,0,0
adi2mcaRNA17763_R0,0,3,0,0,0,2,3,0,0,0,0
adi2mcaRNA17763_R3,0,0,0,0,0,0,0,0,0,0,0
g6533,1,0,0,0,0,0,0,0,0,0,0
g6534,0,0,0,219,227,13,52,81,17,8,8
adi2mcaRNA19502_R1,66,153,146,105,105,65,82,43,75,230,209
adi2mcaRNA17763_R7,0,3,2,0,0,2,0,0,0,9,10
adi2mcaRNA17763_R6,0,0,0,0,0,1,0,2,0,0,0
g22173,0,0,0,0,0,0,0,0,0,0,0
g6539,1,1,1,3,2,1,2,2,0,0,0
adi2mcaRNA16492_R1,49,123,100,192,159,51,64,83,60,148,157
adi2mcaRNA16492_R0,45,187,173,421,443,27,126,189,36,121,145
adi2mcaRNA16492_R3,24,16,14,102,77,16,55,53,29,56,50
g15977,1,0,0,1,0,0,0,1,0,1,0
g15976,0,0,0,0,0,0,0,0,0,0,0
g15971,1,4,3,1,2,1,1,0,2,11,10
g15970,2,5,5,6,5,3,1,1,3,13,15
g15972,2,0,0,43,49,7,18,6,0,50,58
adi2mcaRNA14110_R3,0,0,0,0,0,0,0,1,0,0,0
g15979,0,0,0,0,0,0,0,0,0,0,0
g15978,1,0,0,0,0,0,0,1,0,0,0
g44622,0,0,0,0,0,0,0,0,1,2,0
g62577,0,0,0,0,0,0,0,0,0,0,0
adi2mcaRNA29813_R5,2,0,0,0,0,2,0,0,1,0,0
g62575,140,283,270,180,172,72,100,66,83,263,252
g62574,106,277,256,269,248,60,96,93,79,263,253
g15182,114,216,201,203,198,69,84,89,69,155,153
g62571,1,1,1,1,1,1,1,0,1,1,1
g62570,1,1,1,1,1,1,1,1,1,2,2
g15183,473,892,861,1144,1085,365,525,567,381,1287,1252
g37221,49,92,84,115,104,32,50,40,38,111,107
adi2mcaRNA16564_R4,1,3,2,1,2,0,1,0,1,3,4
g21902,0,47,45,34,33,9,8,16,17,38,41
g25351,1,0,0,0,0,0,1,0,0,0,0
adi2mcaRNA32792_R2,0,0,0,0,0,0,0,0,0,0,0
adi2mcaRNA4115_R2,20,22,24,64,64,22,31,34,13,153,157
g37223,340,514,526,567,565,249,331,198,371,881,913
g7651,29,72,76,51,56,13,25,25,24,48,56
g35606,0,0,0,0,0,0,0,0,0,0,0
g58309,65,121,128,165,168,31,44,33,34,62,66
g21906,275,509,505,562,539,108,264,192,113,256,260
g44629,0,0,1,0,0,0,0,0,1,0,0
g14852,1,3,2,0,0,0,1,0,1,0,0
g19436,0,0,0,0,0,0,0,0,0,0,0
g7655,0,0,0,0,0,0,0,0,0,0,0
g28011,219,732,806,665,715,194,329,230,219,555,609
adi2mcaRNA13733_R5,1,2,2,2,2,0,0,0,1,2,2
g32645,0,0,0,0,0,0,0,0,0,0,0
g32646,0,2,2,0,0,0,0,0,0,0,0
adi2mcaRNA36756_R1,12,15,15,30,28,7,11,8,11,11,14
g45912,0,0,0,5,0,0,1,0,0,0,0
g32641,0,0,0,2,1,0,1,0,0,0,0
g32642,0,0,0,0,0,0,0,0,0,0,0
g45911,0,0,0,0,0,0,0,0,0,0,0
g55555,103,215,204,322,313,80,97,82,91,230,223
adi2mcaRNA16564_R8,0,1,1,1,1,0,1,1,1,1,1
g32648,1,2,1,2,2,0,1,0,1,3,1
g32649,0,0,0,0,0,0,0,3,1,0,0
g45918,0,0,0,0,0,0,0,0,1,1,0
adi2mcaRNA3536_R0,657,1476,1423,1364,1331,386,583,568,426,1147,1104
g40393,42,74,77,52,59,27,23,21,22,60,60
g40392,29,69,72,96,95,30,32,26,40,63,70
g40391,100,143,146,169,174,46,75,70,80,168,166
g40390,267,684,705,1273,1277,288,453,306,219,872,892
g40397,116,205,202,211,208,133,107,78,248,771,792
adi2mcaRNA28071_R4,2,3,4,0,0,3,1,0,2,0,0
g40399,2,6,6,4,4,1,2,0,1,3,4
g40398,62,72,75,161,168,44,47,105,52,205,208
g37038,10,42,42,10,10,4,6,9,17,36,37
g37039,17,45,40,18,17,11,23,5,28,26,28
g38028,42,103,103,95,102,34,51,29,60,182,172
g38029,0,70,81,100,109,0,0,23,9,56,61
g38026,19,73,70,78,81,17,23,24,19,48,53
g38027,305,607,589,1348,1292,291,487,419,281,730,741
g38024,45,144,147,103,105,33,36,31,55,155,164
g38025,34,74,71,63,60,24,29,24,26,42,47
g37030,0,0,0,0,0,0,0,0,0,0,0
g38023,99,293,302,428,456,84,130,114,58,281,300
g37032,61,90,88,116,107,54,67,29,51,60,56
g38021,101,315,326,417,398,64,133,103,75,281,294
g29473,0,0,0,0,1,0,1,0,0,0,0
g29472,0,0,0,0,0,0,0,0,0,0,0
g29471,78,238,238,351,351,66,108,104,89,239,238
g29470,128,254,253,377,376,107,148,111,97,212,216
g29477,1,1,1,0,0,2,1,0,1,2,1
g36348,3,10,10,21,21,18,6,5,20,60,60
g29475,0,0,0,0,0,0,0,0,0,0,0
g44513,0,0,0,0,0,0,0,0,1,0,0
adi2mcaRNA24862_R1,3,8,8,6,6,2,4,2,2,0,0
g36344,35,66,66,97,93,33,33,29,41,103,107
g36347,9,14,14,5,5,0,4,4,0,9,8
g36346,28,60,60,27,28,19,15,11,32,109,120
g36343,12,17,17,17,16,6,7,4,15,18,19
adi2mcaRNA19725_R9,16,16,15,28,29,13,23,15,15,12,14
g25292,6,14,13,16,18,9,7,4,7,5,3
adi2mcaRNA20722_R2,0,0,0,0,0,0,0,0,0,0,2
adi2mcaRNA20722_R3,0,0,0,0,0,0,0,0,0,0,2
g55552,0,0,8,5,5,0,2,0,0,3,4
adi2mcaRNA16263_R7,2,0,0,11,6,2,7,3,0,17,11
g19474,3,2,2,20,17,2,8,4,7,29,24
g19475,27,68,68,89,88,23,29,29,27,150,146
g19476,0,0,0,5,4,1,0,0,1,0,1
g19477,1,2,2,2,3,0,0,0,0,1,1
adi2mcaRNA16562_R7,0,1,1,0,1,1,1,1,2,0,0
g19471,0,0,0,0,0,0,0,0,0,0,0
g19472,0,0,0,0,0,0,0,0,0,0,0
g19473,0,0,0,0,3,0,0,0,0,0,2
adi2mcaRNA17743_R4,33,57,56,55,51,16,10,7,60,69,68
g19478,0,0,0,0,0,0,0,0,0,0,0
g19479,0,0,0,0,0,0,0,0,0,0,0
adi2mcaRNA17743_R1,33,64,62,71,76,21,12,8,69,105,96
adi2mcaRNA19029_R3,0,0,0,0,0,0,0,0,0,4,0
g37690,81,149,147,258,256,65,110,92,56,161,162
g37691,0,0,0,0,0,0,0,0,1,0,0
g37692,104,288,272,407,390,116,158,146,125,393,383
g37694,0,0,0,0,0,0,0,0,1,0,0
g37695,0,0,0,0,0,0,0,0,0,0,0
g70928,0,0,0,0,0,0,0,0,1,0,0
g37697,0,0,3,0,0,0,0,0,0,0,0
g37698,0,1,2,2,3,0,1,1,1,0,0
g22730,0,0,0,0,0,0,0,0,1,0,0
g22735,202,407,366,295,285,81,86,98,137,265,285
g22734,40,85,86,135,137,27,63,77,52,154,159
g22737,1,0,0,0,0,0,0,0,0,0,0
g22736,0,0,0,0,0,0,0,0,0,0,0
adi2mcaRNA27026_R1,0,0,0,0,0,0,0,0,0,0,0
g25703,1423,3272,3512,4421,4578,1270,1381,1336,1225,2914,3121
g25961,0,0,0,0,0,0,0,0,0,0,0
g25963,0,0,0,0,0,1,1,0,1,4,3
g25962,315,860,882,828,829,198,266,84,198,281,291
g25965,0,0,0,0,0,0,0,0,1,4,5
g6639,0,0,0,0,0,0,1,1,0,0,0
g25967,7,0,3,13,12,0,0,0,4,31,29
g25966,205,740,714,402,395,119,206,79,123,262,256
g25969,414,540,547,643,638,247,318,188,342,815,828
g25968,11,33,31,26,27,5,9,10,8,17,15
g6638,0,0,0,0,0,0,0,0,1,0,0
adi2mcaRNA23975_R0,184,326,323,346,343,125,160,109,177,289,291
g31698,42,77,73,59,57,21,25,29,39,39,41
g31699,271,400,408,537,541,175,211,151,164,275,284
adi2mcaRNA8188_R0,267,717,681,649,626,229,273,260,284,694,698
adi2mcaRNA7590_R5,39,99,97,89,93,16,25,22,28,91,97
g31693,1,7,6,2,2,1,4,0,1,4,4
g31696,25,46,45,56,52,16,22,12,18,22,22
g31697,462,1107,1118,1189,1175,373,521,408,456,1392,1421
g31694,2,2,1,1,1,1,1,1,2,2,2
g31695,1,1,5,1,6,2,0,0,2,9,10
g37968,141,372,321,318,303,62,137,154,72,153,144
g37969,1,0,0,0,0,1,1,1,3,5,6
g37962,5,7,9,7,9,4,2,0,0,13,12
g10239,0,0,1,2,0,0,0,0,0,2,2
g37960,1,0,0,3,2,1,1,1,2,2,1
g37961,52,69,74,194,205,49,76,47,81,220,218
g37966,0,0,0,0,0,3,0,0,1,10,10
g37967,2,3,3,5,5,3,1,1,1,7,4
g44860,0,0,0,0,0,0,0,0,0,0,0
g10238,0,0,0,0,0,0,0,0,0,0,0
g33278,74,235,235,200,199,43,75,66,42,182,195
g41119,0,1,1,0,1,0,0,0,0,1,0
g60950,0,4,5,0,0,0,0,0,1,0,0
g33272,104,214,248,611,670,68,185,180,57,149,140
g41113,10,14,17,19,18,9,12,8,6,9,11
adi2mcaRNA29507_R0,13,22,24,35,33,6,10,7,13,31,34
g56704,0,0,0,2,2,0,0,0,1,0,0
g33277,12,46,47,45,47,8,14,17,10,25,26
g33274,0,0,0,1,1,0,0,0,1,0,2
g33275,33,84,94,56,59,17,20,15,17,55,64
g31524,0,0,0,0,0,0,0,0,1,0,0
g31525,0,0,0,0,0,0,0,0,0,0,0
g31526,0,0,0,0,0,0,0,0,0,0,0
g31527,0,0,0,0,0,0,1,0,0,0,0
g31520,1,0,0,0,0,1,0,0,1,3,1
g70988,1,1,1,2,2,1,1,1,1,0,3
g31522,0,0,0,0,0,0,0,0,0,0,0
g23207,2,0,0,0,0,0,2,0,0,0,0
g70985,1,0,0,0,0,0,1,0,0,1,1
g70984,0,0,0,0,0,2,0,0,0,0,0
g70987,2,0,0,0,0,0,1,1,0,0,0
g70986,1,0,0,2,3,0,0,0,0,2,1
g31529,0,0,0,0,0,0,0,0,0,0,0
g70982,0,0,0,0,0,0,1,0,0,0,0
g8219,1,0,0,0,0,0,1,0,1,2,2
g8218,0,4,4,0,0,0,0,0,0,6,7
g8217,0,4,5,0,0,0,0,0,0,5,0
g23202,0,0,0,0,0,0,0,0,0,0,0
g8215,0,0,0,0,0,0,0,0,0,0,0
g8214,1,0,0,0,2,0,1,0,0,0,0
g8213,0,0,0,0,0,0,0,0,0,0,0
g8212,2,0,1,0,0,0,1,1,1,0,0
g8211,0,0,0,0,0,0,0,0,0,0,0
g23066,1,0,0,0,0,0,0,0,0,0,0
g18704,163,469,469,579,579,109,222,170,185,524,535
g18707,0,0,0,0,0,0,0,0,0,0,0
g18706,0,0,0,0,0,0,0,1,0,0,0
g18701,171,245,246,206,212,91,118,78,123,277,293
g18700,1,0,0,0,0,0,0,0,0,0,0
g18703,68,208,207,170,172,40,67,59,48,186,193
g13664,0,0,0,0,0,0,0,0,0,0,0
g66983,23,59,54,62,59,6,24,17,9,11,13
g66980,4,5,7,19,14,1,5,1,1,2,0
g23201,1,0,0,0,0,0,1,0,1,0,1
g18709,17,24,20,20,19,11,19,11,13,17,11
g66987,8,11,15,19,19,1,8,7,1,0,0
g66984,1,3,3,0,0,0,0,1,1,0,0
g66985,2,3,3,13,8,0,7,3,1,0,0
