gene_id,Orthogroup,Species
Acerv_evm.TU.Segkk3209_pilon.11,OG0012731,A.cervicornis
Acerv_evm.TU.Segkk3209_pilon.7,OG0000011,A.cervicornis
Acerv_evm.TU.Segkk3264_pilon.11,OG0012773,A.cervicornis
Acerv_evm.TU.Segkk3306_pilon.14,OG0004944,A.cervicornis
Acerv_evm.TU.Segkk3317_pilon.1,OG0002408,A.cervicornis
Acerv_evm.TU.Segkk3327_pilon.18,OG0006571,A.cervicornis
Acerv_evm.TU.Segkk3363_pilon.30,OG0000124,A.cervicornis
Acerv_evm.TU.Segkk338_pilon.10,OG0000487,A.cervicornis
Acerv_evm.TU.Segkk3381_pilon.2,OG0012911,A.cervicornis
Acerv_evm.TU.Segkk3387_pilon.12,OG0000000,A.cervicornis
Acerv_evm.TU.Segkk3394_pilon.16,OG0000882,A.cervicornis
Acerv_evm.TU.Segkk3397_pilon.3,OG0000850,A.cervicornis
Acerv_evm.TU.Segkk3405_pilon.7,OG0002408,A.cervicornis
Acerv_evm.TU.Segkk3412_pilon.6,OG0004978,A.cervicornis
Acerv_evm.TU.Segkk3417_pilon.5,OG0000333,A.cervicornis
Acerv_evm.TU.Segkk3419_pilon.10,OG0002034,A.cervicornis
Acerv_evm.TU.Segkk3422_pilon.23,OG0000469,A.cervicornis
Acerv_evm.TU.Segkk3450_pilon.3,OG0012969,A.cervicornis
Acerv_evm.TU.Segkk3453_pilon.14,OG0020090,A.cervicornis
Acerv_evm.TU.Segkk3453_pilon.19,OG0000008,A.cervicornis
Acerv_evm.TU.Segkk3463_pilon.1,OG0000491,A.cervicornis
Acerv_evm.TU.Segkk3493_pilon.1,OG0000767,A.cervicornis
Acerv_evm.TU.Segkk3538_pilon.3,OG0000138,A.cervicornis
Acerv_evm.TU.Segkk3540_pilon.3,OG0000355,A.cervicornis
Acerv_evm.TU.Segkk358_pilon.2,OG0010296,A.cervicornis
Acerv_evm.TU.Segkk36_pilon.2,OG0005343,A.cervicornis
Acerv_evm.TU.Segkk3618_pilon.7,OG0000000,A.cervicornis
Acerv_evm.TU.Segkk3637_pilon.63,OG0018195,A.cervicornis
Acerv_evm.TU.Segkk3644_pilon.3,OG0013114,A.cervicornis
Acerv_evm.TU.Segkk3655_pilon.19,OG0007101,A.cervicornis
Acerv_evm.TU.Segkk3655_pilon.33,OG0000469,A.cervicornis
Acerv_evm.TU.Segkk3750_pilon.2,OG0018208,A.cervicornis
Acerv_evm.TU.Segkk384_pilon.7,OG0004255,A.cervicornis
Acerv_evm.TU.Segkk3844_pilon.1,OG0007349,A.cervicornis
Acerv_evm.TU.Segkk3858_pilon.8,OG0000882,A.cervicornis
Acerv_evm.TU.Segkk3903_pilon.2,OG0006755,A.cervicornis
Acerv_evm.TU.Segkk3937_pilon.25,OG0009461,A.cervicornis
Acerv_evm.TU.Segkk3940_pilon.21,OG0000850,A.cervicornis
Acerv_evm.TU.Segkk3996_pilon.1,OG0000000,A.cervicornis
Acerv_evm.TU.Segkk4025_pilon.2,OG0013433,A.cervicornis
Acerv_evm.TU.Segkk4047_pilon.16,OG0000127,A.cervicornis
Acerv_evm.TU.Segkk4113_pilon.15,OG0001808,A.cervicornis
Acerv_evm.TU.Segkk4124_pilon.10,OG0001073,A.cervicornis
Acerv_evm.TU.Segkk4124_pilon.11,OG0001073,A.cervicornis
Acerv_evm.TU.Segkk4124_pilon.2,OG0000272,A.cervicornis
Acerv_evm.TU.Segkk4124_pilon.3,OG0000272,A.cervicornis
Acerv_evm.TU.Segkk4263_pilon.5,OG0000865,A.cervicornis
Acerv_evm.TU.Segkk4265_pilon.3,OG0008220,A.cervicornis
Acerv_evm.TU.Segkk4302_pilon.1,OG0020288,A.cervicornis
Acerv_evm.TU.Segkk4302_pilon.20,OG0009679,A.cervicornis
Acerv_evm.TU.Segkk4318_pilon.2,OG0011306,A.cervicornis
Acerv_evm.TU.Segkk4345_pilon.12,OG0001038,A.cervicornis
Acerv_evm.TU.Segkk437_pilon.4,OG0000388,A.cervicornis
Acerv_evm.TU.Segkk451_pilon.2,OG0007378,A.cervicornis
Acerv_evm.TU.Segkk539_pilon.1,OG0002149,A.cervicornis
Acerv_evm.TU.Segkk551_pilon.2,OG0000001,A.cervicornis
Acerv_evm.TU.Segkk575_pilon.2,OG0003466,A.cervicornis
Acerv_evm.TU.Segkk580_pilon.3,OG0010480,A.cervicornis
Acerv_evm.TU.Segkk642_pilon.43,OG0004326,A.cervicornis
Acerv_evm.TU.Segkk657_pilon.10,OG0007498,A.cervicornis
Acerv_evm.TU.Segkk669_pilon.5,OG0005597,A.cervicornis
Acerv_evm.TU.Segkk671_pilon.1,OG0005604,A.cervicornis
Acerv_evm.TU.Segkk68_pilon.68,OG0007132,A.cervicornis
Acerv_evm.TU.Segkk826_pilon.10,OG0000136,A.cervicornis
Acerv_evm.TU.Segkk893_pilon.2,OG0002171,A.cervicornis
Acerv_evm.TU.Segkk905_pilon.19,OG0007569,A.cervicornis
Acerv_evm.TU.Segkk925_pilon.1,OG0002527,A.cervicornis
Acerv_evm.TU.Segkk966_pilon.1,OG0001504,A.cervicornis
Acerv_evm.TU.Segkk978_pilon.3,OG0014559,A.cervicornis
Acerv_evm.TU.Segkk984_pilon.10,OG0000030,A.cervicornis
Acerv_evm.TU.Segkk999_pilon.5,OG0005579,A.cervicornis
Mcavernosa00001,OG0001072,M.cavernosa
Mcavernosa00103,OG0003177,M.cavernosa
Mcavernosa01252,OG0000741,M.cavernosa
Mcavernosa01732,OG0005778,M.cavernosa
Mcavernosa02339,OG0003987,M.cavernosa
Mcavernosa02620,OG0000164,M.cavernosa
Mcavernosa02621,OG0000164,M.cavernosa
Mcavernosa02761,OG0005584,M.cavernosa
Mcavernosa02968,OG0016074,M.cavernosa
Mcavernosa03157,OG0000867,M.cavernosa
Mcavernosa03628,OG0001771,M.cavernosa
Mcavernosa04010,OG0013205,M.cavernosa
Mcavernosa05091,OG0010186,M.cavernosa
Mcavernosa05196,OG0000854,M.cavernosa
Mcavernosa07006,OG0005196,M.cavernosa
Mcavernosa07053,OG0014122,M.cavernosa
Mcavernosa09510,OG0000121,M.cavernosa
Mcavernosa10311,OG0005656,M.cavernosa
Mcavernosa10782,OG0018077,M.cavernosa
Mcavernosa11724,OG0016542,M.cavernosa
Mcavernosa11839,OG0010282,M.cavernosa
Mcavernosa12043,OG0018851,M.cavernosa
Mcavernosa12089,OG0002494,M.cavernosa
Mcavernosa13005,OG0002677,M.cavernosa
Mcavernosa13241,OG0000948,M.cavernosa
Mcavernosa13780,OG0013947,M.cavernosa
Mcavernosa13828,OG0014114,M.cavernosa
Mcavernosa13956,OG0018840,M.cavernosa
Mcavernosa14558,OG0001393,M.cavernosa
Mcavernosa15302,OG0002799,M.cavernosa
Mcavernosa15503,OG0006986,M.cavernosa
Mcavernosa16456,OG0003557,M.cavernosa
Mcavernosa18273,OG0010016,M.cavernosa
Mcavernosa18489,OG0003181,M.cavernosa
Mcavernosa18547,OG0013132,M.cavernosa
Mcavernosa18652,OG0004374,M.cavernosa
Mcavernosa20093,OG0012435,M.cavernosa
Mcavernosa21617,OG0006114,M.cavernosa
Mcavernosa22344,OG0000414,M.cavernosa
Mcavernosa22347,OG0000414,M.cavernosa
Mcavernosa24249,OG0016068,M.cavernosa
Mcavernosa24806,OG0008851,M.cavernosa
Mcavernosa25973,OG0000516,M.cavernosa
Mcavernosa29012,OG0012502,M.cavernosa
Mcavernosa30410,OG0000414,M.cavernosa
Mcavernosa30570,OG0016089,M.cavernosa
Mcavernosa30571,OG0017430,M.cavernosa
Mcavernosa30572,OG0009946,M.cavernosa
Mcavernosa30573,OG0017429,M.cavernosa
Mcavernosa30574,OG0016089,M.cavernosa
Mcavernosa30575,OG0017430,M.cavernosa
Mcavernosa30729,OG0018812,M.cavernosa
Mcavernosa33020,OG0000370,M.cavernosa
LOC110045321,OG0000000,O.faveolata
LOC110058904,OG0000888,O.faveolata
Montipora_capitata_PredGene_adi2mcaRNA10298_R0,OG0007679,M.capitata
Montipora_capitata_PredGene_adi2mcaRNA12_R8,OG0000148,M.capitata
Montipora_capitata_PredGene_adi2mcaRNA12026_R0,OG0002906,M.capitata
Montipora_capitata_PredGene_adi2mcaRNA15070_R6,OG0001044,M.capitata
Montipora_capitata_PredGene_adi2mcaRNA15384_R0,OG0010342,M.capitata
Montipora_capitata_PredGene_adi2mcaRNA21702_R1,OG0009538,M.capitata
Montipora_capitata_PredGene_adi2mcaRNA25316_R4,OG0000514,M.capitata
Montipora_capitata_PredGene_adi2mcaRNA26447_R5,OG0003431,M.capitata
Montipora_capitata_PredGene_adi2mcaRNA26986_R0,OG0000263,M.capitata
Montipora_capitata_PredGene_adi2mcaRNA26986_R2,OG0000263,M.capitata
Montipora_capitata_PredGene_adi2mcaRNA26986_R3,OG0000263,M.capitata
Montipora_capitata_PredGene_adi2mcaRNA34317_R1,OG0003887,M.capitata
Montipora_capitata_PredGene_adi2mcaRNA36296_R6,OG0001177,M.capitata
Montipora_capitata_PredGene_adi2mcaRNA3796_R3,OG0000487,M.capitata
Montipora_capitata_PredGene_adi2mcaRNA38767_R7,OG0000008,M.capitata
Montipora_capitata_PredGene_adi2mcaRNA39968_R0,OG0006746,M.capitata
Montipora_capitata_PredGene_adi2mcaRNA4201_R8,OG0000027,M.capitata
Montipora_capitata_PredGene_adi2mcaRNA4923_R2,OG0003152,M.capitata
Montipora_capitata_PredGene_adi2mcaRNA5341_R0,OG0000003,M.capitata
Montipora_capitata_PredGene_adi2mcaRNA6000_R0,OG0001155,M.capitata
Montipora_capitata_PredGene_adi2mcaRNA6174_R8,OG0000982,M.capitata
Montipora_capitata_PredGene_adi2mcaRNA8620_R1,OG0007322,M.capitata
Montipora_capitata_PredGene_adi2mcaRNA9177_R0,OG0000500,M.capitata
Montipora_capitata_PredGene_adi2mcaRNA9790_R0,OG0002028,M.capitata
Montipora_capitata_PredGene_g10736,OG0010205,M.capitata
Montipora_capitata_PredGene_g12169,OG0004023,M.capitata
Montipora_capitata_PredGene_g13046,OG0000960,M.capitata
Montipora_capitata_PredGene_g15440,OG0007769,M.capitata
Montipora_capitata_PredGene_g15708,OG0015938,M.capitata
Montipora_capitata_PredGene_g17706,OG0010588,M.capitata
Montipora_capitata_PredGene_g1833,OG0008907,M.capitata
Montipora_capitata_PredGene_g18352,OG0013201,M.capitata
Montipora_capitata_PredGene_g18729,OG0013703,M.capitata
Montipora_capitata_PredGene_g19223,OG0001913,M.capitata
Montipora_capitata_PredGene_g21181,OG0000623,M.capitata
Montipora_capitata_PredGene_g21615,OG0001196,M.capitata
Montipora_capitata_PredGene_g22253,OG0007919,M.capitata
Montipora_capitata_PredGene_g22334,OG0016857,M.capitata
Montipora_capitata_PredGene_g22616,OG0006367,M.capitata
Montipora_capitata_PredGene_g22617,OG0015094,M.capitata
Montipora_capitata_PredGene_g22815,OG0002467,M.capitata
Montipora_capitata_PredGene_g23101,OG0010475,M.capitata
Montipora_capitata_PredGene_g23310,OG0009131,M.capitata
Montipora_capitata_PredGene_g24884,OG0011830,M.capitata
Montipora_capitata_PredGene_g24972,OG0001291,M.capitata
Montipora_capitata_PredGene_g25159,OG0000194,M.capitata
Montipora_capitata_PredGene_g2532,OG0011243,M.capitata
Montipora_capitata_PredGene_g25681,OG0010326,M.capitata
Montipora_capitata_PredGene_g26572,OG0000806,M.capitata
Montipora_capitata_PredGene_g26775,OG0002524,M.capitata
Montipora_capitata_PredGene_g27065,OG0002039,M.capitata
Montipora_capitata_PredGene_g27090,OG0014041,M.capitata
Montipora_capitata_PredGene_g27724,OG0000177,M.capitata
Montipora_capitata_PredGene_g27898,OG0001049,M.capitata
Montipora_capitata_PredGene_g28211,OG0014489,M.capitata
Montipora_capitata_PredGene_g28510,OG0000923,M.capitata
Montipora_capitata_PredGene_g29444,OG0000265,M.capitata
Montipora_capitata_PredGene_g29986,OG0000213,M.capitata
Montipora_capitata_PredGene_g30681,OG0001081,M.capitata
Montipora_capitata_PredGene_g3095,OG0005779,M.capitata
Montipora_capitata_PredGene_g3118,OG0009143,M.capitata
Montipora_capitata_PredGene_g31904,OG0002575,M.capitata
Montipora_capitata_PredGene_g32152,OG0000392,M.capitata
Montipora_capitata_PredGene_g32748,OG0011091,M.capitata
Montipora_capitata_PredGene_g32819,OG0000106,M.capitata
Montipora_capitata_PredGene_g33208,OG0014300,M.capitata
Montipora_capitata_PredGene_g33747,OG0011949,M.capitata
Montipora_capitata_PredGene_g35468,OG0000048,M.capitata
Montipora_capitata_PredGene_g3562,OG0000608,M.capitata
Montipora_capitata_PredGene_g36333,OG0000487,M.capitata
Montipora_capitata_PredGene_g36664,OG0004661,M.capitata
Montipora_capitata_PredGene_g36718,OG0017722,M.capitata
Montipora_capitata_PredGene_g3686,OG0000744,M.capitata
Montipora_capitata_PredGene_g38249,OG0006770,M.capitata
Montipora_capitata_PredGene_g39266,OG0007229,M.capitata
Montipora_capitata_PredGene_g40719,OG0000106,M.capitata
Montipora_capitata_PredGene_g41405,OG0002422,M.capitata
Montipora_capitata_PredGene_g41407,OG0007132,M.capitata
Montipora_capitata_PredGene_g41994,OG0019282,M.capitata
Montipora_capitata_PredGene_g42570,OG0016339,M.capitata
Montipora_capitata_PredGene_g43418,OG0011124,M.capitata
Montipora_capitata_PredGene_g43717,OG0006382,M.capitata
Montipora_capitata_PredGene_g43774,OG0002444,M.capitata
Montipora_capitata_PredGene_g44164,OG0006811,M.capitata
Montipora_capitata_PredGene_g45462,OG0020989,M.capitata
Montipora_capitata_PredGene_g45560,OG0007403,M.capitata
Montipora_capitata_PredGene_g47151,OG0014099,M.capitata
Montipora_capitata_PredGene_g47600,OG0011115,M.capitata
Montipora_capitata_PredGene_g48085,OG0008166,M.capitata
Montipora_capitata_PredGene_g48239,OG0000221,M.capitata
Montipora_capitata_PredGene_g50913,OG0015559,M.capitata
Montipora_capitata_PredGene_g51186,OG0006755,M.capitata
Montipora_capitata_PredGene_g51187,OG0006755,M.capitata
Montipora_capitata_PredGene_g53226,OG0001910,M.capitata
Montipora_capitata_PredGene_g546,OG0002737,M.capitata
Montipora_capitata_PredGene_g54997,OG0000469,M.capitata
Montipora_capitata_PredGene_g55802,OG0005547,M.capitata
Montipora_capitata_PredGene_g56282,OG0001295,M.capitata
Montipora_capitata_PredGene_g56911,OG0001070,M.capitata
Montipora_capitata_PredGene_g57753,OG0011284,M.capitata
Montipora_capitata_PredGene_g59067,OG0004155,M.capitata
Montipora_capitata_PredGene_g59546,OG0006603,M.capitata
Montipora_capitata_PredGene_g6064,OG0004156,M.capitata
Montipora_capitata_PredGene_g60874,OG0004166,M.capitata
Montipora_capitata_PredGene_g61660,OG0000424,M.capitata
Montipora_capitata_PredGene_g61994,OG0013535,M.capitata
Montipora_capitata_PredGene_g62662,OG0013300,M.capitata
Montipora_capitata_PredGene_g63093,OG0002305,M.capitata
Montipora_capitata_PredGene_g63102,OG0003152,M.capitata
Montipora_capitata_PredGene_g6322,OG0010623,M.capitata
Montipora_capitata_PredGene_g64596,OG0009453,M.capitata
Montipora_capitata_PredGene_g64908,OG0001287,M.capitata
Montipora_capitata_PredGene_g65430,OG0001287,M.capitata
Montipora_capitata_PredGene_g67062,OG0000003,M.capitata
Montipora_capitata_PredGene_g67655,OG0016008,M.capitata
Montipora_capitata_PredGene_g69559,OG0011354,M.capitata
Montipora_capitata_PredGene_g70475,OG0009134,M.capitata
Montipora_capitata_PredGene_g9676,OG0006597,M.capitata
Pocillopora_acuta_HIv1_PredGene_11122_t,OG0000127,P.acuta
Pocillopora_acuta_HIv1_PredGene_11200_t,OG0000669,P.acuta
Pocillopora_acuta_HIv1_PredGene_17795_t,OG0004726,P.acuta
Pocillopora_acuta_HIv1_PredGene_18567_t,OG0002222,P.acuta
Pocillopora_acuta_HIv1_PredGene_22960_t,OG0001696,P.acuta
Pocillopora_acuta_HIv1_PredGene_23744_t,OG0009134,P.acuta
Pocillopora_acuta_HIv1_PredGene_29511_t,OG0003325,P.acuta
Pocillopora_acuta_HIv1_PredGene_29635_t,OG0001459,P.acuta
Pocillopora_acuta_HIv1_PredGene_31452_t,OG0003268,P.acuta
Pocillopora_acuta_HIv1_PredGene_5516_t,OG0001880,P.acuta
Pocillopora_acuta_HIv1_PredGene_9973_t,OG0007456,P.acuta
Pocillopora_acuta_HIv1_PredGene_g10201.t1,OG0012168,P.acuta
Pocillopora_acuta_HIv1_PredGene_g10202.t1,OG0012167,P.acuta
Pocillopora_acuta_HIv1_PredGene_g10269.t1,OG0016091,P.acuta
Pocillopora_acuta_HIv1_PredGene_g10524.t1,OG0001367,P.acuta
Pocillopora_acuta_HIv1_PredGene_g10956.t1,OG0000812,P.acuta
Pocillopora_acuta_HIv1_PredGene_g10961.t1,OG0015011,P.acuta
Pocillopora_acuta_HIv1_PredGene_g10986.t1,OG0004372,P.acuta
Pocillopora_acuta_HIv1_PredGene_g11351.t1,OG0001310,P.acuta
Pocillopora_acuta_HIv1_PredGene_g11358.t1,OG0001310,P.acuta
Pocillopora_acuta_HIv1_PredGene_g1152.t1,OG0008410,P.acuta
Pocillopora_acuta_HIv1_PredGene_g11568.t1,OG0006916,P.acuta
Pocillopora_acuta_HIv1_PredGene_g11568.t2,OG0006916,P.acuta
Pocillopora_acuta_HIv1_PredGene_g11569.t1,OG0006916,P.acuta
Pocillopora_acuta_HIv1_PredGene_g11845.t1,OG0011548,P.acuta
Pocillopora_acuta_HIv1_PredGene_g11986.t1,OG0010914,P.acuta
Pocillopora_acuta_HIv1_PredGene_g12058.t1,OG0010185,P.acuta
Pocillopora_acuta_HIv1_PredGene_g12087.t1,OG0006718,P.acuta
Pocillopora_acuta_HIv1_PredGene_g12092.t1,OG0019183,P.acuta
Pocillopora_acuta_HIv1_PredGene_g12696.t1,OG0001977,P.acuta
Pocillopora_acuta_HIv1_PredGene_g1271.t1,OG0009928,P.acuta
Pocillopora_acuta_HIv1_PredGene_g1272.t1,OG0009928,P.acuta
Pocillopora_acuta_HIv1_PredGene_g1281.t1,OG0015224,P.acuta
Pocillopora_acuta_HIv1_PredGene_g1342.t1,OG0020688,P.acuta
Pocillopora_acuta_HIv1_PredGene_g14138.t1,OG0000344,P.acuta
Pocillopora_acuta_HIv1_PredGene_g1441.t1,OG0000805,P.acuta
Pocillopora_acuta_HIv1_PredGene_g14435.t1,OG0012582,P.acuta
Pocillopora_acuta_HIv1_PredGene_g14714.t1,OG0003466,P.acuta
Pocillopora_acuta_HIv1_PredGene_g14792.t1,OG0000469,P.acuta
Pocillopora_acuta_HIv1_PredGene_g15469.t1,OG0019178,P.acuta
Pocillopora_acuta_HIv1_PredGene_g15901.t1,OG0008322,P.acuta
Pocillopora_acuta_HIv1_PredGene_g16052.t1,OG0003039,P.acuta
Pocillopora_acuta_HIv1_PredGene_g1629.t1,OG0001296,P.acuta
Pocillopora_acuta_HIv1_PredGene_g1630.t1,OG0001296,P.acuta
Pocillopora_acuta_HIv1_PredGene_g16370.t1,OG0000194,P.acuta
Pocillopora_acuta_HIv1_PredGene_g17083.t1,OG0011284,P.acuta
Pocillopora_acuta_HIv1_PredGene_g17325.t1,OG0001018,P.acuta
Pocillopora_acuta_HIv1_PredGene_g17591.t1,OG0010322,P.acuta
Pocillopora_acuta_HIv1_PredGene_g17717.t1,OG0009442,P.acuta
Pocillopora_acuta_HIv1_PredGene_g17860.t1,OG0019119,P.acuta
Pocillopora_acuta_HIv1_PredGene_g1790.t1,OG0000505,P.acuta
Pocillopora_acuta_HIv1_PredGene_g17977.t1,OG0001364,P.acuta
