Orthogroup	Mcavernosa.maker.proteins	Acerv_assembly_v1.0.protein
OG0000007	Mcavernosa25907-RA	Acerv_evm.model.Segkk993_pilon.66, Acerv_evm.model.Segkk1674_pilon.3, Acerv_evm.model.Segkk2594_pilon.5, Acerv_evm.model.Segkk3672_pilon.15, Acerv_evm.model.Segkk4308_pilon.23, Acerv_evm.model.Segkk609_pilon.14, Acerv_evm.model.Segkk2782_pilon.38, Acerv_evm.model.Segkk582_pilon.4, Acerv_evm.model.Segkk3655_pilon.32, Acerv_evm.model.Segkk3050_pilon.44, Acerv_evm.model.Segkk3407_pilon.28, Acerv_evm.model.Segkk1281_pilon.46, Acerv_evm.model.Segkk2978_pilon.29, Acerv_evm.model.Segkk3709_pilon.3, Acerv_evm.model.Segkk514_pilon.6, Acerv_evm.model.Segkk524_pilon.75, Acerv_evm.model.Segkk3668_pilon.24, Acerv_evm.model.Segkk582_pilon.5, Acerv_evm.model.Segkk3655_pilon.31, Acerv_evm.model.Segkk2113_pilon.2, Acerv_evm.model.Segkk4065_pilon.16, Acerv_evm.model.Segkk3407_pilon.27, Acerv_evm.model.Segkk3050_pilon.43, Acerv_evm.model.Segkk208_pilon.10, Acerv_evm.model.Segkk564_pilon.1, Acerv_evm.model.Segkk1845_pilon.3, Acerv_evm.model.Segkk2216_pilon.11, Acerv_evm.model.Segkk3859_pilon.7, Acerv_evm.model.Segkk2407_pilon.3, Acerv_evm.model.Segkk2213_pilon.4, Acerv_evm.model.Segkk3883_pilon.8, Acerv_evm.model.Segkk1440_pilon.18, Acerv_evm.model.Segkk4109_pilon.12, Acerv_evm.model.Segkk3167_pilon.6, Acerv_evm.model.Segkk2407_pilon.4, Acerv_evm.model.Segkk2213_pilon.3, Acerv_evm.model.Segkk3859_pilon.8, Acerv_evm.model.Segkk587_pilon.8
OG0000007	Mcavernosa29663-RA	Acerv_evm.model.Segkk2112_pilon.20, Acerv_evm.model.Segkk20_pilon.10, Acerv_evm.model.Segkk5_pilon.1, Acerv_evm.model.Segkk3171_pilon.3, Acerv_evm.model.Segkk4258_pilon.2, Acerv_evm.model.Segkk3493_pilon.2
OG0000008	Mcavernosa22378-RA	Acerv_evm.model.Segkk1302_pilon.1, Acerv_evm.model.Segkk3057_pilon.1, Acerv_evm.model.Segkk4201_pilon.21, Acerv_evm.model.Segkk771_pilon.2, Acerv_evm.model.Segkk3057_pilon.2, Acerv_evm.model.Segkk1334_pilon.13, Acerv_evm.model.Segkk1302_pilon.9, Acerv_evm.model.Segkk3057_pilon.3, Acerv_evm.model.Segkk1334_pilon.12
OG0000010	Mcavernosa18524-RA, Mcavernosa18526-RA	Acerv_evm.model.Segkk3577_pilon.2
OG0000011	Mcavernosa26792-RA	Acerv_evm.model.Segkk1487_pilon.2, Acerv_evm.model.Segkk643_pilon.21, Acerv_evm.model.Segkk2308_pilon.2, Acerv_evm.model.Segkk2463_pilon.5, Acerv_evm.model.Segkk3633_pilon.13, Acerv_evm.model.Segkk1120_pilon.4, Acerv_evm.model.Segkk646_pilon.13, Acerv_evm.model.Segkk2896_pilon.5, Acerv_evm.model.Segkk2335_pilon.2, Acerv_evm.model.Segkk4019_pilon.5
OG0000011	Mcavernosa12123-RA	Acerv_evm.model.Segkk650_pilon.39, Acerv_evm.model.Segkk2164_pilon.15
OG0000011	Mcavernosa16688-RA	Acerv_evm.model.Segkk3221_pilon.17, Acerv_evm.model.Segkk3633_pilon.12, Acerv_evm.model.Segkk2308_pilon.3, Acerv_evm.model.Segkk1120_pilon.3, Acerv_evm.model.Segkk643_pilon.20, Acerv_evm.model.Segkk4019_pilon.4
OG0000011	Mcavernosa26301-RA	Acerv_evm.model.Segkk1487_pilon.1, Acerv_evm.model.Segkk2335_pilon.3, Acerv_evm.model.Segkk3972_pilon.8
OG0000011	Mcavernosa13033-RA	Acerv_evm.model.Segkk2529_pilon.12
OG0000011	Mcavernosa26632-RA	Acerv_evm.model.Segkk4189_pilon.1, Acerv_evm.model.Segkk1844_pilon.7, Acerv_evm.model.Segkk3417_pilon.11, Acerv_evm.model.Segkk4273_pilon.2, Acerv_evm.model.Segkk2205_pilon.5, Acerv_evm.model.Segkk3238_pilon.20, Acerv_evm.model.Segkk1554_pilon.5, Acerv_evm.model.Segkk1946_pilon.18, Acerv_evm.model.Segkk1343_pilon.13, Acerv_evm.model.Segkk3324_pilon.1, Acerv_evm.model.Segkk2612_pilon.7, Acerv_evm.model.Segkk3618_pilon.1, Acerv_evm.model.Segkk3221_pilon.18, Acerv_evm.model.Segkk1037_pilon.5, Acerv_evm.model.Segkk3431_pilon.24, Acerv_evm.model.Segkk1003_pilon.2, Acerv_evm.model.Segkk71_pilon.3, Acerv_evm.model.Segkk469_pilon.77, Acerv_evm.model.Segkk1502_pilon.5, Acerv_evm.model.Segkk2908_pilon.9, Acerv_evm.model.Segkk2046_pilon.1, Acerv_evm.model.Segkk1582_pilon.4, Acerv_evm.model.Segkk1380_pilon.13, Acerv_evm.model.Segkk971_pilon.55
OG0000011	Mcavernosa24720-RA	Acerv_evm.model.Segkk126_pilon.30, Acerv_evm.model.Segkk2433_pilon.23
OG0000011	Mcavernosa29991-RA	Acerv_evm.model.Segkk926_pilon.2, Acerv_evm.model.Segkk2851_pilon.12, Acerv_evm.model.Segkk1170_pilon.1, Acerv_evm.model.Segkk971_pilon.69, Acerv_evm.model.Segkk1280_pilon.7
OG0000011	Mcavernosa07525-RA	Acerv_evm.model.Segkk3618_pilon.2, Acerv_evm.model.Segkk3221_pilon.19, Acerv_evm.model.Segkk3219_pilon.4, Acerv_evm.model.Segkk473_pilon.13
OG0000011	Mcavernosa32676-RA, Mcavernosa06309-RA	Acerv_evm.model.Segkk21_pilon.13
OG0000013	Mcavernosa10155-RA, Mcavernosa17863-RA, Mcavernosa23938-RA	Acerv_evm.model.Segkk266_pilon.1, Acerv_evm.model.Segkk4113_pilon.18, Acerv_evm.model.Segkk4193_pilon.28
OG0000013	Mcavernosa06544-RA, Mcavernosa25679-RA	Acerv_evm.model.Segkk3416_pilon.13, Acerv_evm.model.Segkk389_pilon.14, Acerv_evm.model.Segkk1478_pilon.9
OG0000013	Mcavernosa15363-RA, Mcavernosa09402-RA	Acerv_evm.model.Segkk1379_pilon.6, Acerv_evm.model.Segkk236_pilon.37, Acerv_evm.model.Segkk1834_pilon.2
OG0000013	Mcavernosa30294-RA	Acerv_evm.model.Segkk1436_pilon.19
OG0000014	Mcavernosa08072-RA, Mcavernosa08071-RA	Acerv_evm.model.Segkk1796_pilon.24, Acerv_evm.model.Segkk1796_pilon.23, Acerv_evm.model.Segkk1796_pilon.22
OG0000014	Mcavernosa26712-RA	Acerv_evm.model.Segkk1850_pilon.7, Acerv_evm.model.Segkk3763_pilon.9, Acerv_evm.model.Segkk2967_pilon.2, Acerv_evm.model.Segkk2967_pilon.3, Acerv_evm.model.Segkk3763_pilon.6
OG0000014	Mcavernosa22757-RA	Acerv_evm.model.Segkk3203_pilon.2, Acerv_evm.model.Segkk2789_pilon.1, Acerv_evm.model.Segkk1709_pilon.2, Acerv_evm.model.Segkk1583_pilon.2, Acerv_evm.model.Segkk3417_pilon.34, Acerv_evm.model.Segkk3333_pilon.2, Acerv_evm.model.Segkk3519_pilon.1, Acerv_evm.model.Segkk2930_pilon.1, Acerv_evm.model.Segkk3124_pilon.2, Acerv_evm.model.Segkk1514_pilon.7, Acerv_evm.model.Segkk2741_pilon.13, Acerv_evm.model.Segkk465_pilon.5, Acerv_evm.model.Segkk671_pilon.20, Acerv_evm.model.Segkk1622_pilon.2, Acerv_evm.model.Segkk719_pilon.4, Acerv_evm.model.Segkk4189_pilon.2, Acerv_evm.model.Segkk2205_pilon.4, Acerv_evm.model.Segkk3417_pilon.12
OG0000015	Mcavernosa06424-RA, Mcavernosa06425-RA, Mcavernosa06422-RA	Acerv_evm.model.Segkk2482_pilon.7, Acerv_evm.model.Segkk2482_pilon.8
OG0000016	Mcavernosa02521-RA	Acerv_evm.model.Segkk2515_pilon.2, Acerv_evm.model.Segkk3859_pilon.10, Acerv_evm.model.Segkk3057_pilon.23
OG0000016	Mcavernosa11913-RA	Acerv_evm.model.Segkk2056_pilon.11, Acerv_evm.model.Segkk949_pilon.4, Acerv_evm.model.Segkk1172_pilon.4, Acerv_evm.model.Segkk126_pilon.24, Acerv_evm.model.Segkk2076_pilon.7, Acerv_evm.model.Segkk2264_pilon.20, Acerv_evm.model.Segkk2076_pilon.16
OG0000016	Mcavernosa06319-RA	Acerv_evm.model.Segkk1292_pilon.9, Acerv_evm.model.Segkk1356_pilon.5
OG0000017	Mcavernosa29307-RA	Acerv_evm.model.Segkk1003_pilon.41, Acerv_evm.model.Segkk4201_pilon.16, Acerv_evm.model.Segkk2195_pilon.47, Acerv_evm.model.Segkk1158_pilon.20, Acerv_evm.model.Segkk4309_pilon.24, Acerv_evm.model.Segkk3133_pilon.7, Acerv_evm.model.Segkk4201_pilon.15, Acerv_evm.model.Segkk4115_pilon.6, Acerv_evm.model.Segkk2025_pilon.3, Acerv_evm.model.Segkk4256_pilon.10, Acerv_evm.model.Segkk1509_pilon.17, Acerv_evm.model.Segkk1158_pilon.21, Acerv_evm.model.Segkk3977_pilon.8, Acerv_evm.model.Segkk1280_pilon.5, Acerv_evm.model.Segkk3550_pilon.3, Acerv_evm.model.Segkk1882_pilon.15, Acerv_evm.model.Segkk4115_pilon.7, Acerv_evm.model.Segkk3219_pilon.15, Acerv_evm.model.Segkk4063_pilon.14, Acerv_evm.model.Segkk4053_pilon.12, Acerv_evm.model.Segkk3322_pilon.1, Acerv_evm.model.Segkk3457_pilon.1, Acerv_evm.model.Segkk2523_pilon.3, Acerv_evm.model.Segkk4256_pilon.11, Acerv_evm.model.Segkk2195_pilon.46, Acerv_evm.model.Segkk3190_pilon.12, Acerv_evm.model.Segkk4053_pilon.8
OG0000017	Mcavernosa25393-RA, Mcavernosa21143-RA, Mcavernosa21142-RA	Acerv_evm.model.Segkk721_pilon.8, Acerv_evm.model.Segkk3550_pilon.4
OG0000018	Mcavernosa30129-RA	Acerv_evm.model.Segkk3931_pilon.4, Acerv_evm.model.Segkk464_pilon.9, Acerv_evm.model.Segkk582_pilon.9, Acerv_evm.model.Segkk1845_pilon.7, Acerv_evm.model.Segkk650_pilon.2, Acerv_evm.model.Segkk1318_pilon.15
OG0000018	Mcavernosa32281-RA, Mcavernosa09742-RA, Mcavernosa05088-RA	Acerv_evm.model.Segkk3675_pilon.5
OG0000018	Mcavernosa21569-RA, Mcavernosa23787-RA	Acerv_evm.model.Segkk2562_pilon.1, Acerv_evm.model.Segkk3639_pilon.1
OG0000018	Mcavernosa27765-RA	Acerv_evm.model.Segkk4292_pilon.3, Acerv_evm.model.Segkk1684_pilon.2, Acerv_evm.model.Segkk1729_pilon.2, Acerv_evm.model.Segkk2534_pilon.3, Acerv_evm.model.Segkk524_pilon.3, Acerv_evm.model.Segkk3971_pilon.23, Acerv_evm.model.Segkk1932_pilon.25, Acerv_evm.model.Segkk3693_pilon.21, Acerv_evm.model.Segkk2231_pilon.1, Acerv_evm.model.Segkk1610_pilon.1, Acerv_evm.model.Segkk3971_pilon.16, Acerv_evm.model.Segkk807_pilon.1, Acerv_evm.model.Segkk2725_pilon.3, Acerv_evm.model.Segkk1008_pilon.2, Acerv_evm.model.Segkk3741_pilon.10, Acerv_evm.model.Segkk249_pilon.4, Acerv_evm.model.Segkk1844_pilon.5, Acerv_evm.model.Segkk4328_pilon.1, Acerv_evm.model.Segkk230_pilon.11
OG0000018	Mcavernosa08814-RA	Acerv_evm.model.Segkk1871_pilon.18, Acerv_evm.model.Segkk373_pilon.1, Acerv_evm.model.Segkk373_pilon.2, Acerv_evm.model.Segkk4300_pilon.14, Acerv_evm.model.Segkk3162_pilon.1, Acerv_evm.model.Segkk392_pilon.2, Acerv_evm.model.Segkk2611_pilon.18
OG0000020	Mcavernosa26396-RA	Acerv_evm.model.Segkk3440_pilon.1
OG0000020	Mcavernosa04604-RA	Acerv_evm.model.Segkk993_pilon.41, Acerv_evm.model.Segkk2908_pilon.5, Acerv_evm.model.Segkk2017_pilon.4, Acerv_evm.model.Segkk3937_pilon.9
OG0000020	Mcavernosa18302-RA, Mcavernosa02516-RA	Acerv_evm.model.Segkk1003_pilon.76, Acerv_evm.model.Segkk971_pilon.39, Acerv_evm.model.Segkk235_pilon.3
OG0000021	Mcavernosa11106-RA	Acerv_evm.model.Segkk383_pilon.16
OG0000021	Mcavernosa05559-RA	Acerv_evm.model.Segkk4232_pilon.5, Acerv_evm.model.Segkk4232_pilon.6
OG0000022	Mcavernosa28673-RA	Acerv_evm.model.Segkk3238_pilon.17, Acerv_evm.model.Segkk2280_pilon.10, Acerv_evm.model.Segkk181_pilon.4, Acerv_evm.model.Segkk1800_pilon.13, Acerv_evm.model.Segkk473_pilon.20, Acerv_evm.model.Segkk389_pilon.53, Acerv_evm.model.Segkk2585_pilon.12, Acerv_evm.model.Segkk3638_pilon.1, Acerv_evm.model.Segkk266_pilon.24, Acerv_evm.model.Segkk3193_pilon.3, Acerv_evm.model.Segkk3388_pilon.22, Acerv_evm.model.Segkk2464_pilon.4, Acerv_evm.model.Segkk535_pilon.4, Acerv_evm.model.Segkk1003_pilon.52, Acerv_evm.model.Segkk1208_pilon.1, Acerv_evm.model.Segkk882_pilon.2, Acerv_evm.model.Segkk3544_pilon.1, Acerv_evm.model.Segkk1835_pilon.12, Acerv_evm.model.Segkk3753_pilon.3, Acerv_evm.model.Segkk1820_pilon.2, Acerv_evm.model.Segkk3976_pilon.14, Acerv_evm.model.Segkk1728_pilon.7, Acerv_evm.model.Segkk2912_pilon.1, Acerv_evm.model.Segkk1853_pilon.1, Acerv_evm.model.Segkk535_pilon.1, Acerv_evm.model.Segkk3786_pilon.3, Acerv_evm.model.Segkk469_pilon.90, Acerv_evm.model.Segkk553_pilon.8, Acerv_evm.model.Segkk1112_pilon.3, Acerv_evm.model.Segkk3781_pilon.1, Acerv_evm.model.Segkk2912_pilon.3, Acerv_evm.model.Segkk971_pilon.9, Acerv_evm.model.Segkk2978_pilon.33, Acerv_evm.model.Segkk2018_pilon.5, Acerv_evm.model.Segkk652_pilon.2, Acerv_evm.model.Segkk3250_pilon.3
OG0000022	Mcavernosa29144-RA, Mcavernosa16488-RA	Acerv_evm.model.Segkk2201_pilon.14
OG0000025	Mcavernosa20067-RA	Acerv_evm.model.Segkk759_pilon.29
OG0000025	Mcavernosa20066-RA	Acerv_evm.model.Segkk759_pilon.27
OG0000026	Mcavernosa02665-RA	Acerv_evm.model.Segkk2794_pilon.2, Acerv_evm.model.Segkk3035_pilon.1, Acerv_evm.model.Segkk4071_pilon.2
OG0000027	Mcavernosa27418-RA	Acerv_evm.model.Segkk3693_pilon.7, Acerv_evm.model.Segkk3353_pilon.2
OG0000029	Mcavernosa31797-RA, Mcavernosa31795-RA	Acerv_evm.model.Segkk1693_pilon.4, Acerv_evm.model.Segkk1183_pilon.1
OG0000029	Mcavernosa32391-RA	Acerv_evm.model.Segkk4350_pilon.2
OG0000029	Mcavernosa32390-RA, Mcavernosa22649-RA, Mcavernosa35088-RA	Acerv_evm.model.Segkk744_pilon.8, Acerv_evm.model.Segkk744_pilon.6, Acerv_evm.model.Segkk774_pilon.1
OG0000030	Mcavernosa19066-RA, Mcavernosa33626-RA, Mcavernosa04065-RA, Mcavernosa19067-RA, Mcavernosa30227-RA	Acerv_evm.model.Segkk1290_pilon.15
OG0000030	Mcavernosa27180-RA, Mcavernosa33099-RA, Mcavernosa06822-RA, Mcavernosa09983-RA, Mcavernosa13987-RA, Mcavernosa32948-RA, Mcavernosa32947-RA, Mcavernosa34429-RA, Mcavernosa27468-RA, Mcavernosa02512-RA, Mcavernosa14348-RA, Mcavernosa34603-RA, Mcavernosa10177-RA, Mcavernosa26151-RA, Mcavernosa17466-RA, Mcavernosa27512-RA, Mcavernosa29578-RA, Mcavernosa04064-RA, Mcavernosa04619-RA, Mcavernosa14349-RA, Mcavernosa34602-RA, Mcavernosa19921-RA, Mcavernosa31312-RA, Mcavernosa27772-RA	Acerv_evm.model.Segkk3983_pilon.17, Acerv_evm.model.Segkk2164_pilon.46, Acerv_evm.model.Segkk389_pilon.42, Acerv_evm.model.Segkk3980_pilon.20, Acerv_evm.model.Segkk2060_pilon.3, Acerv_evm.model.Segkk242_pilon.6, Acerv_evm.model.Segkk1400_pilon.20
OG0000031	Mcavernosa24329-RA, Mcavernosa28166-RA, Mcavernosa28160-RA, Mcavernosa28161-RA, Mcavernosa24330-RA	Acerv_evm.model.Segkk500_pilon.1, Acerv_evm.model.Segkk500_pilon.3
OG0000032	Mcavernosa27182-RA, Mcavernosa23941-RA	Acerv_evm.model.Segkk160_pilon.3
OG0000035	Mcavernosa20960-RA	Acerv_evm.model.Segkk4036_pilon.11
OG0000035	Mcavernosa33693-RA, Mcavernosa20206-RA, Mcavernosa20196-RA	Acerv_evm.model.Segkk2306_pilon.12, Acerv_evm.model.Segkk208_pilon.11
OG0000036	Mcavernosa01964-RA, Mcavernosa01967-RA	Acerv_evm.model.Segkk718_pilon.3, Acerv_evm.model.Segkk718_pilon.4, Acerv_evm.model.Segkk718_pilon.2
OG0000036	Mcavernosa16945-RA, Mcavernosa13380-RA, Mcavernosa13381-RA, Mcavernosa03513-RA	Acerv_evm.model.Segkk352_pilon.1, Acerv_evm.model.Segkk352_pilon.2, Acerv_evm.model.Segkk352_pilon.3
OG0000036	Mcavernosa28336-RA, Mcavernosa01966-RA, Mcavernosa28335-RA	Acerv_evm.model.Segkk904_pilon.2, Acerv_evm.model.Segkk2844_pilon.10
OG0000038	Mcavernosa13579-RA	Acerv_evm.model.Segkk1576_pilon.1
OG0000039	Mcavernosa30760-RA, Mcavernosa14857-RA, Mcavernosa21255-RA, Mcavernosa21256-RA, Mcavernosa01233-RA	Acerv_evm.model.Segkk3633_pilon.25
OG0000039	Mcavernosa03395-RA	Acerv_evm.model.Segkk2146_pilon.5, Acerv_evm.model.Segkk3675_pilon.18, Acerv_evm.model.Segkk2839_pilon.5, Acerv_evm.model.Segkk3693_pilon.8, Acerv_evm.model.Segkk1366_pilon.9
OG0000041	Mcavernosa19027-RA, Mcavernosa17537-RA	Acerv_evm.model.Segkk3281_pilon.1, Acerv_evm.model.Segkk1759_pilon.1, Acerv_evm.model.Segkk4115_pilon.1
OG0000043	Mcavernosa25231-RA, Mcavernosa16874-RA	Acerv_evm.model.Segkk1782_pilon.20
OG0000044	Mcavernosa31912-RA, Mcavernosa31910-RA	Acerv_evm.model.Segkk2551_pilon.2, Acerv_evm.model.Segkk3006_pilon.8, Acerv_evm.model.Segkk3523_pilon.3, Acerv_evm.model.Segkk2160_pilon.2, Acerv_evm.model.Segkk1633_pilon.3
OG0000044	Mcavernosa31914-RA, Mcavernosa17893-RA, Mcavernosa23365-RA, Mcavernosa33624-RA, Mcavernosa31911-RA	Acerv_evm.model.Segkk1524_pilon.2, Acerv_evm.model.Segkk1001_pilon.7, Acerv_evm.model.Segkk455_pilon.5, Acerv_evm.model.Segkk125_pilon.2, Acerv_evm.model.Segkk2469_pilon.9, Acerv_evm.model.Segkk3504_pilon.1, Acerv_evm.model.Segkk3882_pilon.2, Acerv_evm.model.Segkk3523_pilon.4, Acerv_evm.model.Segkk3006_pilon.9, Acerv_evm.model.Segkk3523_pilon.1, Acerv_evm.model.Segkk2947_pilon.2, Acerv_evm.model.Segkk2180_pilon.1, Acerv_evm.model.Segkk2947_pilon.3, Acerv_evm.model.Segkk2180_pilon.2, Acerv_evm.model.Segkk2469_pilon.10, Acerv_evm.model.Segkk3882_pilon.1, Acerv_evm.model.Segkk3006_pilon.7, Acerv_evm.model.Segkk3310_pilon.1, Acerv_evm.model.Segkk1421_pilon.7
OG0000045	Mcavernosa33134-RA, Mcavernosa24793-RA	Acerv_evm.model.Segkk469_pilon.50
OG0000045	Mcavernosa07115-RA	Acerv_evm.model.Segkk2065_pilon.2, Acerv_evm.model.Segkk4057_pilon.2, Acerv_evm.model.Segkk2072_pilon.26, Acerv_evm.model.Segkk2493_pilon.13, Acerv_evm.model.Segkk971_pilon.11, Acerv_evm.model.Segkk3935_pilon.28
OG0000047	Mcavernosa21359-RA	Acerv_evm.model.Segkk2164_pilon.4, Acerv_evm.model.Segkk2622_pilon.2, Acerv_evm.model.Segkk2637_pilon.3, Acerv_evm.model.Segkk1932_pilon.12, Acerv_evm.model.Segkk3469_pilon.4, Acerv_evm.model.Segkk4203_pilon.3, Acerv_evm.model.Segkk2350_pilon.4, Acerv_evm.model.Segkk2573_pilon.20, Acerv_evm.model.Segkk719_pilon.2, Acerv_evm.model.Segkk2302_pilon.3, Acerv_evm.model.Segkk2857_pilon.4, Acerv_evm.model.Segkk3408_pilon.8, Acerv_evm.model.Segkk440_pilon.6, Acerv_evm.model.Segkk2578_pilon.38
OG0000047	Mcavernosa08538-RA, Mcavernosa14861-RA, Mcavernosa19212-RA	Acerv_evm.model.Segkk2004_pilon.7, Acerv_evm.model.Segkk681_pilon.3, Acerv_evm.model.Segkk1156_pilon.2, Acerv_evm.model.Segkk4018_pilon.6, Acerv_evm.model.Segkk319_pilon.13, Acerv_evm.model.Segkk2055_pilon.32, Acerv_evm.model.Segkk971_pilon.67, Acerv_evm.model.Segkk3010_pilon.14, Acerv_evm.model.Segkk1055_pilon.2, Acerv_evm.model.Segkk2889_pilon.8, Acerv_evm.model.Segkk2355_pilon.11, Acerv_evm.model.Segkk1055_pilon.3, Acerv_evm.model.Segkk3432_pilon.9, Acerv_evm.model.Segkk3050_pilon.46, Acerv_evm.model.Segkk121_pilon.3, Acerv_evm.model.Segkk655_pilon.6, Acerv_evm.model.Segkk644_pilon.19, Acerv_evm.model.Segkk2305_pilon.10, Acerv_evm.model.Segkk3389_pilon.3, Acerv_evm.model.Segkk3470_pilon.5, Acerv_evm.model.Segkk982_pilon.4, Acerv_evm.model.Segkk1416_pilon.4, Acerv_evm.model.Segkk3025_pilon.2, Acerv_evm.model.Segkk4300_pilon.12, Acerv_evm.model.Segkk2004_pilon.8, Acerv_evm.model.Segkk2146_pilon.12, Acerv_evm.model.Segkk4292_pilon.7, Acerv_evm.model.Segkk2164_pilon.51, Acerv_evm.model.Segkk2204_pilon.6
