"","gene_id","Orthogroup"
"91","Pocillopora_acuta_HIv1_PredGene_g31960.t1","OG0001141"
"92","Pocillopora_acuta_HIv1_PredGene_g32171.t1","OG0000127"
"93","Pocillopora_acuta_HIv1_PredGene_g32172.t1","OG0000127"
"94","Pocillopora_acuta_HIv1_PredGene_g3221.t1","OG0001497"
"95","Pocillopora_acuta_HIv1_PredGene_g32496.t1","OG0001942"
"96","Pocillopora_acuta_HIv1_PredGene_g3306.t1","OG0013020"
"97","Pocillopora_acuta_HIv1_PredGene_g33391.t1","OG0006298"
"98","Pocillopora_acuta_HIv1_PredGene_g33597.t1","OG0007982"
"99","Pocillopora_acuta_HIv1_PredGene_g3547.t1","OG0010153"
"100","Pocillopora_acuta_HIv1_PredGene_g3577.t1","OG0000188"
"101","Pocillopora_acuta_HIv1_PredGene_g4057.t1","OG0013212"
"102","Pocillopora_acuta_HIv1_PredGene_g4463.t1","OG0002026"
"103","Pocillopora_acuta_HIv1_PredGene_g4677.t1","OG0001388"
"104","Pocillopora_acuta_HIv1_PredGene_g4955.t1","OG0005988"
"105","Pocillopora_acuta_HIv1_PredGene_g5469.t1","OG0001342"
"106","Pocillopora_acuta_HIv1_PredGene_g5781.t1","OG0002538"
"107","Pocillopora_acuta_HIv1_PredGene_g5916.t1","OG0003268"
"108","Pocillopora_acuta_HIv1_PredGene_g6941.t1","OG0001403"
"109","Pocillopora_acuta_HIv1_PredGene_g73.t1","OG0013318"
"110","Pocillopora_acuta_HIv1_PredGene_g7379.t1","OG0000414"
"111","Pocillopora_acuta_HIv1_PredGene_g7401.t1","OG0003246"
"112","Pocillopora_acuta_HIv1_PredGene_g7577.t1","OG0006523"
"113","Pocillopora_acuta_HIv1_PredGene_g7769.t1","OG0001238"
"114","Pocillopora_acuta_HIv1_PredGene_g7788.t1","OG0010541"
"115","Pocillopora_acuta_HIv1_PredGene_g8027.t1","OG0012706"
"116","Pocillopora_acuta_HIv1_PredGene_g808.t1","OG0000487"
"117","Pocillopora_acuta_HIv1_PredGene_g8202.t1","OG0013359"
"118","Pocillopora_acuta_HIv1_PredGene_g8863.t1","OG0001340"
"119","Pocillopora_acuta_HIv1_PredGene_g9372.t1","OG0003976"
"120","Pocillopora_acuta_HIv1_PredGene_g9372.t2","OG0003976"
"121","Pocillopora_acuta_HIv1_PredGene_g9384.t1","OG0006553"
"122","Pocillopora_acuta_HIv1_PredGene_g953.t1","OG0000382"
"123","Pocillopora_acuta_HIv1_PredGene_g9758.t1","OG0007958"
