Orthogroup	Acerv_assembly_v1.0.protein	Mcavernosa.maker.proteins
OG0000015	Acerv_evm.model.Segkk2482_pilon.7, Acerv_evm.model.Segkk2482_pilon.8	Mcavernosa06424-RA, Mcavernosa06425-RA, Mcavernosa06422-RA
OG0000016	Acerv_evm.model.Segkk2515_pilon.2, Acerv_evm.model.Segkk3859_pilon.10, Acerv_evm.model.Segkk3057_pilon.23	Mcavernosa02521-RA
OG0000016	Acerv_evm.model.Segkk2056_pilon.11, Acerv_evm.model.Segkk949_pilon.4, Acerv_evm.model.Segkk1172_pilon.4, Acerv_evm.model.Segkk126_pilon.24, Acerv_evm.model.Segkk2076_pilon.7, Acerv_evm.model.Segkk2264_pilon.20, Acerv_evm.model.Segkk2076_pilon.16	Mcavernosa11913-RA
OG0000016	Acerv_evm.model.Segkk1292_pilon.9, Acerv_evm.model.Segkk1356_pilon.5	Mcavernosa06319-RA
OG0000017	Acerv_evm.model.Segkk1003_pilon.41, Acerv_evm.model.Segkk4201_pilon.16, Acerv_evm.model.Segkk2195_pilon.47, Acerv_evm.model.Segkk1158_pilon.20, Acerv_evm.model.Segkk4309_pilon.24, Acerv_evm.model.Segkk3133_pilon.7, Acerv_evm.model.Segkk4201_pilon.15, Acerv_evm.model.Segkk4115_pilon.6, Acerv_evm.model.Segkk2025_pilon.3, Acerv_evm.model.Segkk4256_pilon.10, Acerv_evm.model.Segkk1509_pilon.17, Acerv_evm.model.Segkk1158_pilon.21, Acerv_evm.model.Segkk3977_pilon.8, Acerv_evm.model.Segkk1280_pilon.5, Acerv_evm.model.Segkk3550_pilon.3, Acerv_evm.model.Segkk1882_pilon.15, Acerv_evm.model.Segkk4115_pilon.7, Acerv_evm.model.Segkk3219_pilon.15, Acerv_evm.model.Segkk4063_pilon.14, Acerv_evm.model.Segkk4053_pilon.12, Acerv_evm.model.Segkk3322_pilon.1, Acerv_evm.model.Segkk3457_pilon.1, Acerv_evm.model.Segkk2523_pilon.3, Acerv_evm.model.Segkk4256_pilon.11, Acerv_evm.model.Segkk2195_pilon.46, Acerv_evm.model.Segkk3190_pilon.12, Acerv_evm.model.Segkk4053_pilon.8	Mcavernosa29307-RA
OG0000017	Acerv_evm.model.Segkk721_pilon.8, Acerv_evm.model.Segkk3550_pilon.4	Mcavernosa25393-RA, Mcavernosa21143-RA, Mcavernosa21142-RA
OG0000018	Acerv_evm.model.Segkk3931_pilon.4, Acerv_evm.model.Segkk464_pilon.9, Acerv_evm.model.Segkk582_pilon.9, Acerv_evm.model.Segkk1845_pilon.7, Acerv_evm.model.Segkk650_pilon.2, Acerv_evm.model.Segkk1318_pilon.15	Mcavernosa30129-RA
OG0000018	Acerv_evm.model.Segkk3675_pilon.5	Mcavernosa32281-RA, Mcavernosa09742-RA, Mcavernosa05088-RA
OG0000018	Acerv_evm.model.Segkk2562_pilon.1, Acerv_evm.model.Segkk3639_pilon.1	Mcavernosa21569-RA, Mcavernosa23787-RA
OG0000018	Acerv_evm.model.Segkk4292_pilon.3, Acerv_evm.model.Segkk1684_pilon.2, Acerv_evm.model.Segkk1729_pilon.2, Acerv_evm.model.Segkk2534_pilon.3, Acerv_evm.model.Segkk524_pilon.3, Acerv_evm.model.Segkk3971_pilon.23, Acerv_evm.model.Segkk1932_pilon.25, Acerv_evm.model.Segkk3693_pilon.21, Acerv_evm.model.Segkk2231_pilon.1, Acerv_evm.model.Segkk1610_pilon.1, Acerv_evm.model.Segkk3971_pilon.16, Acerv_evm.model.Segkk807_pilon.1, Acerv_evm.model.Segkk2725_pilon.3, Acerv_evm.model.Segkk1008_pilon.2, Acerv_evm.model.Segkk3741_pilon.10, Acerv_evm.model.Segkk249_pilon.4, Acerv_evm.model.Segkk1844_pilon.5, Acerv_evm.model.Segkk4328_pilon.1, Acerv_evm.model.Segkk230_pilon.11	Mcavernosa27765-RA
OG0000018	Acerv_evm.model.Segkk1871_pilon.18, Acerv_evm.model.Segkk373_pilon.1, Acerv_evm.model.Segkk373_pilon.2, Acerv_evm.model.Segkk4300_pilon.14, Acerv_evm.model.Segkk3162_pilon.1, Acerv_evm.model.Segkk392_pilon.2, Acerv_evm.model.Segkk2611_pilon.18	Mcavernosa08814-RA
OG0000020	Acerv_evm.model.Segkk3440_pilon.1	Mcavernosa26396-RA
OG0000020	Acerv_evm.model.Segkk993_pilon.41, Acerv_evm.model.Segkk2908_pilon.5, Acerv_evm.model.Segkk2017_pilon.4, Acerv_evm.model.Segkk3937_pilon.9	Mcavernosa04604-RA
OG0000020	Acerv_evm.model.Segkk1003_pilon.76, Acerv_evm.model.Segkk971_pilon.39, Acerv_evm.model.Segkk235_pilon.3	Mcavernosa18302-RA, Mcavernosa02516-RA
OG0000021	Acerv_evm.model.Segkk383_pilon.16	Mcavernosa11106-RA
OG0000021	Acerv_evm.model.Segkk4232_pilon.5, Acerv_evm.model.Segkk4232_pilon.6	Mcavernosa05559-RA
OG0000022	Acerv_evm.model.Segkk3238_pilon.17, Acerv_evm.model.Segkk2280_pilon.10, Acerv_evm.model.Segkk181_pilon.4, Acerv_evm.model.Segkk1800_pilon.13, Acerv_evm.model.Segkk473_pilon.20, Acerv_evm.model.Segkk389_pilon.53, Acerv_evm.model.Segkk2585_pilon.12, Acerv_evm.model.Segkk3638_pilon.1, Acerv_evm.model.Segkk266_pilon.24, Acerv_evm.model.Segkk3193_pilon.3, Acerv_evm.model.Segkk3388_pilon.22, Acerv_evm.model.Segkk2464_pilon.4, Acerv_evm.model.Segkk535_pilon.4, Acerv_evm.model.Segkk1003_pilon.52, Acerv_evm.model.Segkk1208_pilon.1, Acerv_evm.model.Segkk882_pilon.2, Acerv_evm.model.Segkk3544_pilon.1, Acerv_evm.model.Segkk1835_pilon.12, Acerv_evm.model.Segkk3753_pilon.3, Acerv_evm.model.Segkk1820_pilon.2, Acerv_evm.model.Segkk3976_pilon.14, Acerv_evm.model.Segkk1728_pilon.7, Acerv_evm.model.Segkk2912_pilon.1, Acerv_evm.model.Segkk1853_pilon.1, Acerv_evm.model.Segkk535_pilon.1, Acerv_evm.model.Segkk3786_pilon.3, Acerv_evm.model.Segkk469_pilon.90, Acerv_evm.model.Segkk553_pilon.8, Acerv_evm.model.Segkk1112_pilon.3, Acerv_evm.model.Segkk3781_pilon.1, Acerv_evm.model.Segkk2912_pilon.3, Acerv_evm.model.Segkk971_pilon.9, Acerv_evm.model.Segkk2978_pilon.33, Acerv_evm.model.Segkk2018_pilon.5, Acerv_evm.model.Segkk652_pilon.2, Acerv_evm.model.Segkk3250_pilon.3	Mcavernosa28673-RA
OG0000022	Acerv_evm.model.Segkk2201_pilon.14	Mcavernosa29144-RA, Mcavernosa16488-RA
OG0000025	Acerv_evm.model.Segkk759_pilon.29	Mcavernosa20067-RA
OG0000025	Acerv_evm.model.Segkk759_pilon.27	Mcavernosa20066-RA
OG0000026	Acerv_evm.model.Segkk2794_pilon.2, Acerv_evm.model.Segkk3035_pilon.1, Acerv_evm.model.Segkk4071_pilon.2	Mcavernosa02665-RA
OG0000027	Acerv_evm.model.Segkk3693_pilon.7, Acerv_evm.model.Segkk3353_pilon.2	Mcavernosa27418-RA
OG0000029	Acerv_evm.model.Segkk1693_pilon.4, Acerv_evm.model.Segkk1183_pilon.1	Mcavernosa31797-RA, Mcavernosa31795-RA
OG0000029	Acerv_evm.model.Segkk4350_pilon.2	Mcavernosa32391-RA
OG0000029	Acerv_evm.model.Segkk744_pilon.8, Acerv_evm.model.Segkk744_pilon.6, Acerv_evm.model.Segkk774_pilon.1	Mcavernosa32390-RA, Mcavernosa22649-RA, Mcavernosa35088-RA
OG0000030	Acerv_evm.model.Segkk1290_pilon.15	Mcavernosa19066-RA, Mcavernosa33626-RA, Mcavernosa04065-RA, Mcavernosa19067-RA, Mcavernosa30227-RA
OG0000030	Acerv_evm.model.Segkk3983_pilon.17, Acerv_evm.model.Segkk2164_pilon.46, Acerv_evm.model.Segkk389_pilon.42, Acerv_evm.model.Segkk3980_pilon.20, Acerv_evm.model.Segkk2060_pilon.3, Acerv_evm.model.Segkk242_pilon.6, Acerv_evm.model.Segkk1400_pilon.20	Mcavernosa27180-RA, Mcavernosa33099-RA, Mcavernosa06822-RA, Mcavernosa09983-RA, Mcavernosa13987-RA, Mcavernosa32948-RA, Mcavernosa32947-RA, Mcavernosa34429-RA, Mcavernosa27468-RA, Mcavernosa02512-RA, Mcavernosa14348-RA, Mcavernosa34603-RA, Mcavernosa10177-RA, Mcavernosa26151-RA, Mcavernosa17466-RA, Mcavernosa27512-RA, Mcavernosa29578-RA, Mcavernosa04064-RA, Mcavernosa04619-RA, Mcavernosa14349-RA, Mcavernosa34602-RA, Mcavernosa19921-RA, Mcavernosa31312-RA, Mcavernosa27772-RA
OG0000031	Acerv_evm.model.Segkk500_pilon.1, Acerv_evm.model.Segkk500_pilon.3	Mcavernosa24329-RA, Mcavernosa28166-RA, Mcavernosa28160-RA, Mcavernosa28161-RA, Mcavernosa24330-RA
OG0000032	Acerv_evm.model.Segkk160_pilon.3	Mcavernosa27182-RA, Mcavernosa23941-RA
OG0000035	Acerv_evm.model.Segkk4036_pilon.11	Mcavernosa20960-RA
OG0000035	Acerv_evm.model.Segkk2306_pilon.12, Acerv_evm.model.Segkk208_pilon.11	Mcavernosa33693-RA, Mcavernosa20206-RA, Mcavernosa20196-RA
OG0000036	Acerv_evm.model.Segkk718_pilon.3, Acerv_evm.model.Segkk718_pilon.4, Acerv_evm.model.Segkk718_pilon.2	Mcavernosa01964-RA, Mcavernosa01967-RA
OG0000036	Acerv_evm.model.Segkk352_pilon.1, Acerv_evm.model.Segkk352_pilon.2, Acerv_evm.model.Segkk352_pilon.3	Mcavernosa16945-RA, Mcavernosa13380-RA, Mcavernosa13381-RA, Mcavernosa03513-RA
OG0000036	Acerv_evm.model.Segkk904_pilon.2, Acerv_evm.model.Segkk2844_pilon.10	Mcavernosa28336-RA, Mcavernosa01966-RA, Mcavernosa28335-RA
OG0000038	Acerv_evm.model.Segkk1576_pilon.1	Mcavernosa13579-RA
OG0000039	Acerv_evm.model.Segkk3633_pilon.25	Mcavernosa30760-RA, Mcavernosa14857-RA, Mcavernosa21255-RA, Mcavernosa21256-RA, Mcavernosa01233-RA
OG0000039	Acerv_evm.model.Segkk2146_pilon.5, Acerv_evm.model.Segkk3675_pilon.18, Acerv_evm.model.Segkk2839_pilon.5, Acerv_evm.model.Segkk3693_pilon.8, Acerv_evm.model.Segkk1366_pilon.9	Mcavernosa03395-RA
OG0000041	Acerv_evm.model.Segkk3281_pilon.1, Acerv_evm.model.Segkk1759_pilon.1, Acerv_evm.model.Segkk4115_pilon.1	Mcavernosa19027-RA, Mcavernosa17537-RA
OG0000043	Acerv_evm.model.Segkk1782_pilon.20	Mcavernosa25231-RA, Mcavernosa16874-RA
OG0000044	Acerv_evm.model.Segkk2551_pilon.2, Acerv_evm.model.Segkk3006_pilon.8, Acerv_evm.model.Segkk3523_pilon.3, Acerv_evm.model.Segkk2160_pilon.2, Acerv_evm.model.Segkk1633_pilon.3	Mcavernosa31912-RA, Mcavernosa31910-RA
OG0000044	Acerv_evm.model.Segkk1524_pilon.2, Acerv_evm.model.Segkk1001_pilon.7, Acerv_evm.model.Segkk455_pilon.5, Acerv_evm.model.Segkk125_pilon.2, Acerv_evm.model.Segkk2469_pilon.9, Acerv_evm.model.Segkk3504_pilon.1, Acerv_evm.model.Segkk3882_pilon.2, Acerv_evm.model.Segkk3523_pilon.4, Acerv_evm.model.Segkk3006_pilon.9, Acerv_evm.model.Segkk3523_pilon.1, Acerv_evm.model.Segkk2947_pilon.2, Acerv_evm.model.Segkk2180_pilon.1, Acerv_evm.model.Segkk2947_pilon.3, Acerv_evm.model.Segkk2180_pilon.2, Acerv_evm.model.Segkk2469_pilon.10, Acerv_evm.model.Segkk3882_pilon.1, Acerv_evm.model.Segkk3006_pilon.7, Acerv_evm.model.Segkk3310_pilon.1, Acerv_evm.model.Segkk1421_pilon.7	Mcavernosa31914-RA, Mcavernosa17893-RA, Mcavernosa23365-RA, Mcavernosa33624-RA, Mcavernosa31911-RA
OG0000045	Acerv_evm.model.Segkk469_pilon.50	Mcavernosa33134-RA, Mcavernosa24793-RA
OG0000045	Acerv_evm.model.Segkk2065_pilon.2, Acerv_evm.model.Segkk4057_pilon.2, Acerv_evm.model.Segkk2072_pilon.26, Acerv_evm.model.Segkk2493_pilon.13, Acerv_evm.model.Segkk971_pilon.11, Acerv_evm.model.Segkk3935_pilon.28	Mcavernosa07115-RA
OG0000047	Acerv_evm.model.Segkk2164_pilon.4, Acerv_evm.model.Segkk2622_pilon.2, Acerv_evm.model.Segkk2637_pilon.3, Acerv_evm.model.Segkk1932_pilon.12, Acerv_evm.model.Segkk3469_pilon.4, Acerv_evm.model.Segkk4203_pilon.3, Acerv_evm.model.Segkk2350_pilon.4, Acerv_evm.model.Segkk2573_pilon.20, Acerv_evm.model.Segkk719_pilon.2, Acerv_evm.model.Segkk2302_pilon.3, Acerv_evm.model.Segkk2857_pilon.4, Acerv_evm.model.Segkk3408_pilon.8, Acerv_evm.model.Segkk440_pilon.6, Acerv_evm.model.Segkk2578_pilon.38	Mcavernosa21359-RA
OG0000047	Acerv_evm.model.Segkk2004_pilon.7, Acerv_evm.model.Segkk681_pilon.3, Acerv_evm.model.Segkk1156_pilon.2, Acerv_evm.model.Segkk4018_pilon.6, Acerv_evm.model.Segkk319_pilon.13, Acerv_evm.model.Segkk2055_pilon.32, Acerv_evm.model.Segkk971_pilon.67, Acerv_evm.model.Segkk3010_pilon.14, Acerv_evm.model.Segkk1055_pilon.2, Acerv_evm.model.Segkk2889_pilon.8, Acerv_evm.model.Segkk2355_pilon.11, Acerv_evm.model.Segkk1055_pilon.3, Acerv_evm.model.Segkk3432_pilon.9, Acerv_evm.model.Segkk3050_pilon.46, Acerv_evm.model.Segkk121_pilon.3, Acerv_evm.model.Segkk655_pilon.6, Acerv_evm.model.Segkk644_pilon.19, Acerv_evm.model.Segkk2305_pilon.10, Acerv_evm.model.Segkk3389_pilon.3, Acerv_evm.model.Segkk3470_pilon.5, Acerv_evm.model.Segkk982_pilon.4, Acerv_evm.model.Segkk1416_pilon.4, Acerv_evm.model.Segkk3025_pilon.2, Acerv_evm.model.Segkk4300_pilon.12, Acerv_evm.model.Segkk2004_pilon.8, Acerv_evm.model.Segkk2146_pilon.12, Acerv_evm.model.Segkk4292_pilon.7, Acerv_evm.model.Segkk2164_pilon.51, Acerv_evm.model.Segkk2204_pilon.6	Mcavernosa08538-RA, Mcavernosa14861-RA, Mcavernosa19212-RA
