"","gene_id","scaffold","gene.start","gene.stop","length","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","Treatment_Compare"
"837","Mcavernosa20772","Sc0000619",139449,142148,2699,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"845","Mcavernosa21085","Sc0000506",51060,52579,1519,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"859","Mcavernosa21412","Sc0000521",125083,130224,5141,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"861","Mcavernosa21483","Sc0000525",12749,15688,2939,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"863","Mcavernosa21488","Sc0000525",48421,54294,5873,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"879","Mcavernosa22015","Sc0000356",64509,80393,15884,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"893","Mcavernosa22148","Sc0000362",35759,39843,4084,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"907","Mcavernosa22344","Sc0000369",117234,124116,6882,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF","CvsT4"
"910","Mcavernosa22347","Sc0000369",133014,141135,8121,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF","CvsT4"
"916","Mcavernosa22350","Sc0000369",157581,166365,8784,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"932","Mcavernosa22905","Sc0000693",48770,59911,11141,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"979","Mcavernosa24489","Sc0000047",587436,611994,24558,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"991","Mcavernosa24519","Sc0000048",96343,105114,8771,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"1006","Mcavernosa24650","Sc0000049",793613,811595,17982,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"1061","Mcavernosa25351","Sc0000058",538052,544423,6371,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"1069","Mcavernosa25737","xfSc0000086",73850,79489,5639,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"1072","Mcavernosa25914","Sc0000869",55803,66875,11072,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"1073","Mcavernosa26052","xpSc0004735",1715,16213,14498,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"1083","Mcavernosa26460","Sc0000548",178354,193219,14865,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"1085","Mcavernosa26492","Sc0000550",88154,122953,34799,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"1096","Mcavernosa26766","Sc0000562",57135,62054,4919,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"1097","Mcavernosa26790","Sc0000563",90214,94301,4087,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"1101","Mcavernosa26900","Sc0000568",111788,118401,6613,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"1109","Mcavernosa27203","Sc0000989",48220,49650,1430,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"1127","Mcavernosa28072","Sc0000180",154288,159546,5258,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"1143","Mcavernosa28718","Sc0000192",435816,438919,3103,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"1148","Mcavernosa28775","Sc0000193",20556,27483,6927,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"1162","Mcavernosa29524","Sc0000751",108077,118705,10628,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"1176","Mcavernosa30162","Sc0001081",20573,27293,6720,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"1179","Mcavernosa30327","Sc0001116",1873,3510,1637,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"1181","Mcavernosa30328","Sc0001116",6239,7879,1640,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"1183","Mcavernosa30329","Sc0001116",10110,17070,6960,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"1186","Mcavernosa30410","xfSc0000248",29403,36323,6920,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF","CvsT4"
"1220","Mcavernosa30572","xfSc0000281",7576,12957,5381,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF","CvsT2"
"1221","Mcavernosa30572","xfSc0000281",7576,12957,5381,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF","CvsT3"
"1222","Mcavernosa30572","xfSc0000281",7576,12957,5381,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF","CvsT1"
"1223","Mcavernosa30572","xfSc0000281",7576,12957,5381,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF","CvsT4"
"1240","Mcavernosa30573","xfSc0000281",13012,14794,1782,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF","CvsT4"
"1241","Mcavernosa30573","xfSc0000281",13012,14794,1782,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF","CvsT1"
"1242","Mcavernosa30573","xfSc0000281",13012,14794,1782,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF","CvsT2"
"1243","Mcavernosa30573","xfSc0000281",13012,14794,1782,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF","CvsT3"
"1311","Mcavernosa31125","Sc0000091",265743,278252,12509,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"1345","Mcavernosa31626","Sc0000100",594654,605347,10693,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"1357","Mcavernosa32131","Sc0000281",137499,140048,2549,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"1367","Mcavernosa32199","Sc0000284",12622,31914,19292,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"1369","Mcavernosa32201","Sc0000284",59913,84202,24289,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"1381","Mcavernosa32383","Sc0000288",285049,294156,9107,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"1386","Mcavernosa32617","xfSc0002074",1365,5223,3858,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"1395","Mcavernosa33536","xfSc0001457",3475,10943,7468,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"1398","Mcavernosa33618","Sc0001782",5648,665,-4983,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"1403","Mcavernosa33910","xpSc0005035",2228,13556,11328,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"1409","Mcavernosa34158","Sc0001599",13340,15517,2177,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"1427","Mcavernosa34817","Sc0001290",28449,35079,6630,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"12","Mcavernosa00173","Sc0000008",370118,373220,3102,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"13","Mcavernosa00174","Sc0000008",377197,381753,4556,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"23","Mcavernosa00359","Sc0000009",664675,679313,14638,"GO:0004601",1.61439677351114e-05,0.999999851243674,3,12,"peroxidase activity","MF",NA
"34","Mcavernosa00431","Sc0000009",1284974,1308422,23448,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"42","Mcavernosa00605","Sc0000011",570516,577744,7228,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"46","Mcavernosa00733","Sc0000012",776859,784506,7647,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"47","Mcavernosa00737","Sc0000012",799394,812642,13248,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"56","Mcavernosa00883","Sc0000013",1241995,1251843,9848,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"64","Mcavernosa01066","Sc0000015",565060,565680,620,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"70","Mcavernosa01353","Sc0000017",306466,319064,12598,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"71","Mcavernosa01384","Sc0000017",760461,768177,7716,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"75","Mcavernosa01491","Sc0000018",666594,674292,7698,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"76","Mcavernosa01492","Sc0000018",671193,675654,4461,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"81","Mcavernosa01695","xfSc0000001",1186159,1193928,7769,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"82","Mcavernosa01718","Sc0000019",234618,244407,9789,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"101","Mcavernosa02114","Sc0000023",492766,495249,2483,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"102","Mcavernosa02115","Sc0000023",495343,496440,1097,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"103","Mcavernosa02117","Sc0000023",509605,517723,8118,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"104","Mcavernosa02118","Sc0000023",521074,525799,4725,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"106","Mcavernosa02144","Sc0000023",844730,857136,12406,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"107","Mcavernosa02179","Sc0000072",115287,118610,3323,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"111","Mcavernosa02332","Sc0000074",509899,516705,6806,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"123","Mcavernosa02461","Sc0000076",426293,431781,5488,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"129","Mcavernosa02587","Sc0000078",390479,403241,12762,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"132","Mcavernosa02658","Sc0000079",404142,413091,8949,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"135","Mcavernosa02733","xpSc0004671",583012,587889,4877,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"136","Mcavernosa02764","Sc0000080",187816,198580,10764,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"148","Mcavernosa03025","Sc0000083",694470,696718,2248,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"152","Mcavernosa03072","Sc0000084",557876,575073,17197,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"162","Mcavernosa03308","Sc0000024",862250,869942,7692,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"178","Mcavernosa03745","Sc0000029",503014,513336,10322,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"189","Mcavernosa04146","Sc0000033",1037478,1051459,13981,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"191","Mcavernosa04218","Sc0000034",805940,820541,14601,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"195","Mcavernosa04265","Sc0000101",453329,466597,13268,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"199","Mcavernosa04453","Sc0000105",177228,186754,9526,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"202","Mcavernosa04519","Sc0000106",319255,341676,22421,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"203","Mcavernosa04523","Sc0000106",348176,359860,11684,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"207","Mcavernosa04604","Sc0000107",563970,569970,6000,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"220","Mcavernosa05109","Sc0000116",228454,230154,1700,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"232","Mcavernosa05479","Sc0000122",371628,394267,22639,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"241","Mcavernosa05731","Sc0000127",486164,503368,17204,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"242","Mcavernosa05811","Sc0000129",384915,393587,8672,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"246","Mcavernosa05839","Sc0000130",116279,127984,11705,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"247","Mcavernosa05847","Sc0000130",202258,214872,12614,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"257","Mcavernosa06135","Sc0000136",117382,123665,6283,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"261","Mcavernosa06265","Sc0000000",1017148,1024246,7098,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"290","Mcavernosa07156","Sc0000006",674055,679241,5186,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"304","Mcavernosa07522","xfSc0000002",50894,54498,3604,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"307","Mcavernosa07535","xfSc0000002",219098,223565,4467,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"308","Mcavernosa07576","xfSc0000002",710695,712355,1660,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"309","Mcavernosa07581","xfSc0000002",741120,742580,1460,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"311","Mcavernosa07637","Sc0000038",339349,355556,16207,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"317","Mcavernosa07739","Sc0000039",637377,643677,6300,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"318","Mcavernosa07797","Sc0000040",370029,410698,40669,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"325","Mcavernosa08049","Sc0000042",913657,914742,1085,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"326","Mcavernosa08066","Sc0000043",244580,247664,3084,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"337","Mcavernosa08230","Sc0000045",230519,232696,2177,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"341","Mcavernosa08332","Sc0000195",264565,274453,9888,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"352","Mcavernosa08640","Sc0000201",181745,183510,1765,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"397","Mcavernosa10300","Sc0000420",90777,101186,10409,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"405","Mcavernosa10311","Sc0000420",233260,247462,14202,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF","CvsT2"
"409","Mcavernosa10513","Sc0000426",230597,250224,19627,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"419","Mcavernosa10712","Sc0000435",156024,157204,1180,"GO:0004601",1.61439677351114e-05,0.999999851243674,3,12,"peroxidase activity","MF",NA
"424","Mcavernosa10718","Sc0000435",191867,192549,682,"GO:0004601",1.61439677351114e-05,0.999999851243674,3,12,"peroxidase activity","MF",NA
"427","Mcavernosa10722","Sc0000435",221644,226717,5073,"GO:0004601",1.61439677351114e-05,0.999999851243674,3,12,"peroxidase activity","MF",NA
"437","Mcavernosa10794","Sc0000439",26708,27469,761,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"438","Mcavernosa10796","Sc0000439",37927,44749,6822,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"473","Mcavernosa11714","Sc0000251",33796,51745,17949,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"479","Mcavernosa11839","Sc0000253",264423,266470,2047,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF","CvsT2"
"513","Mcavernosa12676","xfSc0000004",508898,530122,21224,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"515","Mcavernosa12831","Sc0000147",53006,54808,1802,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"520","Mcavernosa13195","Sc0000154",106058,109328,3270,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"528","Mcavernosa13439","Sc0000158",471001,475152,4151,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"545","Mcavernosa13800","Sc0000166",439466,447695,8229,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"547","Mcavernosa13814","Sc0000166",532520,540215,7695,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"550","Mcavernosa13874","Sc0000165",307659,321451,13792,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"554","Mcavernosa13920","Sc0000168",283934,295089,11155,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"562","Mcavernosa14069","Sc0000170",342393,357902,15509,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"570","Mcavernosa14116","Sc0000171",345581,363447,17866,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"582","Mcavernosa14417","Sc0000218",375531,385331,9800,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"585","Mcavernosa14547","Sc0000221",127243,135655,8412,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"587","Mcavernosa14563","Sc0000221",294741,302907,8166,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"604","Mcavernosa15122","Sc0000232",410949,422038,11089,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"608","Mcavernosa15277","Sc0000237",102439,109539,7100,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"620","Mcavernosa15585","Sc0000391",56292,70119,13827,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
