"","prot","Predict","GO_term"
"32","Mcavernosa02407-RA","PRINTS","GO:0005347,GO:0055085"
"33","Mcavernosa02407-RA","PRINTS","GO:0005347,GO:0055085"
"34","Mcavernosa02407-RA","Hamap","GO:0005743,GO:0015187,GO:1904983"
"35","Mcavernosa07581-RA","Pfam","GO:0046872"
"36","Mcavernosa07581-RA","ProSiteProfiles","GO:0046872"
"37","Mcavernosa07581-RA","SMART","GO:0046872"
"38","Mcavernosa07581-RA","SUPERFAMILY","GO:0046872"
"39","Mcavernosa16765-RA","Pfam","GO:0016616,GO:0055114"
"40","Mcavernosa16765-RA","SUPERFAMILY","GO:0003824,GO:0005975,GO:0016616,GO:0055114"
"41","Mcavernosa16765-RA","Gene3D","GO:0003824,GO:0005975,GO:0016616,GO:0055114"
"42","Mcavernosa23449-RA","Pfam","GO:0016021"
"43","Mcavernosa18131-RA","ProSiteProfiles","GO:0005515"
"44","Mcavernosa18131-RA","Pfam","GO:0005515"
"45","Mcavernosa04067-RA","PIRSF","GO:0009249,GO:0033819"
"46","Mcavernosa04067-RA","ProSiteProfiles","GO:0006464"
"47","Mcavernosa04067-RA","CDD","GO:0009249,GO:0033819"
"48","Mcavernosa04067-RA","TIGRFAM","GO:0009249,GO:0033819"
"49","Mcavernosa14638-RA","Gene3D","GO:0000275,GO:0015986,GO:0046933"
"50","Mcavernosa14638-RA","SUPERFAMILY","GO:0000275,GO:0015986,GO:0046933"
"51","Mcavernosa14638-RA","CDD","GO:0000275,GO:0015986,GO:0046933"
"52","Mcavernosa14638-RA","Pfam","GO:0000275,GO:0015986,GO:0046933"
"53","Mcavernosa12722-RA","Pfam","GO:0006351,GO:0046983"
"54","Mcavernosa12722-RA","Gene3D","GO:0006351,GO:0046983"
"55","Mcavernosa12722-RA","ProSitePatterns","GO:0003677,GO:0003899,GO:0006351"
"56","Mcavernosa12722-RA","SUPERFAMILY","GO:0006351,GO:0046983"
"57","Mcavernosa04281-RA","ProSiteProfiles","GO:0005515"
"58","Mcavernosa04281-RA","Pfam","GO:0005216,GO:0006811,GO:0016020,GO:0055085"
"59","Mcavernosa04281-RA","SMART","GO:0005515"
"60","Mcavernosa04281-RA","SMART","GO:0005515"
"61","Mcavernosa04281-RA","SMART","GO:0005515"
"62","Mcavernosa04281-RA","ProSiteProfiles","GO:0005515"
"63","Mcavernosa04281-RA","ProSiteProfiles","GO:0005515"
"64","Mcavernosa02130-RA","Pfam","GO:0005515"
"65","Mcavernosa32480-RA","Pfam","GO:0004674,GO:0005524,GO:0006468"
"66","Mcavernosa32480-RA","Gene3D","GO:0035091"
"67","Mcavernosa32480-RA","SMART","GO:0004674,GO:0005524,GO:0006468"
"68","Mcavernosa32480-RA","Pfam","GO:0004672,GO:0005524,GO:0006468"
"69","Mcavernosa32480-RA","ProSiteProfiles","GO:0004674,GO:0005524,GO:0006468"
"70","Mcavernosa32480-RA","Pfam","GO:0035091"
"71","Mcavernosa32480-RA","SMART","GO:0035091"
"72","Mcavernosa32480-RA","ProSitePatterns","GO:0005524"
"73","Mcavernosa32480-RA","ProSiteProfiles","GO:0004672,GO:0005524,GO:0006468"
"74","Mcavernosa32480-RA","SUPERFAMILY","GO:0035091"
"75","Mcavernosa32480-RA","ProSiteProfiles","GO:0035091"
"76","Mcavernosa31345-RA","Pfam","GO:0005102,GO:0005576,GO:0007275,GO:0016055"
"77","Mcavernosa31345-RA","Pfam","GO:0005102,GO:0005576,GO:0007275,GO:0016055"
"78","Mcavernosa31345-RA","SMART","GO:0005102,GO:0005576,GO:0007275,GO:0016055"
"79","Mcavernosa31345-RA","PRINTS","GO:0005102,GO:0005576,GO:0007275,GO:0016055"
"80","Mcavernosa31345-RA","PRINTS","GO:0005102,GO:0005576,GO:0007275,GO:0016055"
"81","Mcavernosa31345-RA","PRINTS","GO:0005102,GO:0005576,GO:0007275,GO:0016055"
"82","Mcavernosa31345-RA","PRINTS","GO:0005102,GO:0005576,GO:0007275,GO:0016055"
"83","Mcavernosa24726-RA","Pfam","GO:0008168,GO:0008610"
"84","Mcavernosa01928-RA","ProSiteProfiles","GO:0005515"
"85","Mcavernosa01928-RA","ProSiteProfiles","GO:0005515"
"86","Mcavernosa01928-RA","ProSiteProfiles","GO:0005515"
"87","Mcavernosa01928-RA","Gene3D","GO:0005515"
"88","Mcavernosa01928-RA","ProSiteProfiles","GO:0005515"
"89","Mcavernosa01928-RA","ProSiteProfiles","GO:0005515"
"90","Mcavernosa01928-RA","ProSiteProfiles","GO:0005515"
"91","Mcavernosa01928-RA","SUPERFAMILY","GO:0005515"
"92","Mcavernosa01928-RA","ProSiteProfiles","GO:0005515"
"93","Mcavernosa01928-RA","ProSiteProfiles","GO:0005515"
"94","Mcavernosa01928-RA","Gene3D","GO:0005515"
"95","Mcavernosa01928-RA","SUPERFAMILY","GO:0005515"
"96","Mcavernosa01928-RA","SMART","GO:0005515"
"97","Mcavernosa01928-RA","SMART","GO:0005515"
"98","Mcavernosa01928-RA","SMART","GO:0005515"
"99","Mcavernosa01928-RA","SMART","GO:0005515"
"100","Mcavernosa01928-RA","SMART","GO:0005515"
"101","Mcavernosa01928-RA","SMART","GO:0005515"
"102","Mcavernosa01928-RA","SMART","GO:0005515"
"103","Mcavernosa01928-RA","SMART","GO:0005515"
"104","Mcavernosa01928-RA","Gene3D","GO:0005515"
"105","Mcavernosa01928-RA","ProSiteProfiles","GO:0005515"
"106","Mcavernosa19708-RA","SMART","GO:0009190,GO:0035556"
"107","Mcavernosa19708-RA","ProSiteProfiles","GO:0009190,GO:0035556"
"108","Mcavernosa19708-RA","Pfam","GO:0004383,GO:0006182"
"109","Mcavernosa12445-RA","Pfam","GO:0005509"
"110","Mcavernosa12445-RA","Pfam","GO:0005509"
"111","Mcavernosa12445-RA","ProSitePatterns","GO:0005509"
"112","Mcavernosa12445-RA","SMART","GO:0005509"
"113","Mcavernosa12445-RA","SMART","GO:0005509"
"114","Mcavernosa12445-RA","SMART","GO:0005509"
"115","Mcavernosa12445-RA","SMART","GO:0005509"
"116","Mcavernosa12445-RA","SMART","GO:0005509"
"117","Mcavernosa05394-RA","ProSiteProfiles","GO:0003676"
"118","Mcavernosa05394-RA","SMART","GO:0003676"
"119","Mcavernosa05394-RA","SMART","GO:0003676"
"120","Mcavernosa05394-RA","SMART","GO:0003676"
"121","Mcavernosa05394-RA","SUPERFAMILY","GO:0003676"
"122","Mcavernosa05394-RA","ProSiteProfiles","GO:0003676"
"123","Mcavernosa05394-RA","Pfam","GO:0003676"
"124","Mcavernosa05394-RA","Pfam","GO:0003676"
"125","Mcavernosa05394-RA","Pfam","GO:0003676"
"126","Mcavernosa05394-RA","SUPERFAMILY","GO:0003676"
"127","Mcavernosa05394-RA","CDD","GO:0003723"
"128","Mcavernosa05394-RA","ProSiteProfiles","GO:0003676"
"129","Mcavernosa30364-RA","Pfam","GO:0016020,GO:0022857,GO:0055085"
"130","Mcavernosa30364-RA","ProSitePatterns","GO:0006857,GO:0016020,GO:0022857"
"131","Mcavernosa30364-RA","ProSitePatterns","GO:0006857,GO:0016020,GO:0022857"
"132","Mcavernosa14716-RA","Pfam","GO:0005272,GO:0006814,GO:0016020"
"133","Mcavernosa14716-RA","Pfam","GO:0005272,GO:0006814,GO:0016020"
"134","Mcavernosa18353-RA","Gene3D","GO:0016301"
"135","Mcavernosa18353-RA","ProSitePatterns","GO:0016301"
"136","Mcavernosa18353-RA","ProSitePatterns","GO:0016301"
"137","Mcavernosa15779-RA","Pfam","GO:0005739,GO:0005747"
"138","Mcavernosa02954-RA","PRINTS","GO:0008234"
"139","Mcavernosa02954-RA","PRINTS","GO:0008234"
"140","Mcavernosa02954-RA","ProSiteProfiles","GO:0004197,GO:0006508"
"141","Mcavernosa07178-RA","Pfam","GO:0016758"
"142","Mcavernosa22971-RA","Pfam","GO:0016021,GO:0016192"
"143","Mcavernosa08712-RA","ProSitePatterns","GO:0005085,GO:0035556"
"144","Mcavernosa08712-RA","Pfam","GO:0005085"
"145","Mcavernosa08712-RA","SUPERFAMILY","GO:0005515"
"146","Mcavernosa08712-RA","ProSiteProfiles","GO:0005085"
"147","Mcavernosa26663-RA","SMART","GO:0005515"
"148","Mcavernosa26663-RA","SMART","GO:0005515"
"149","Mcavernosa26663-RA","Gene3D","GO:0005515"
"150","Mcavernosa26663-RA","SUPERFAMILY","GO:0005515"
"151","Mcavernosa26663-RA","Pfam","GO:0005515"
"152","Mcavernosa26663-RA","Pfam","GO:0005515"
"153","Mcavernosa26663-RA","Gene3D","GO:0005515"
"154","Mcavernosa26663-RA","ProSiteProfiles","GO:0005515"
"155","Mcavernosa26663-RA","SUPERFAMILY","GO:0005515"
"156","Mcavernosa26663-RA","ProSiteProfiles","GO:0005515"
"157","Mcavernosa21562-RA","Pfam","GO:0007224"
"158","Mcavernosa19888-RA","Pfam","GO:0006486,GO:0016020"
"159","Mcavernosa22904-RA","CDD","GO:0008299"
"160","Mcavernosa22904-RA","Pfam","GO:0008299"
"161","Mcavernosa28466-RA","ProSitePatterns","GO:0004672,GO:0006468"
"162","Mcavernosa28466-RA","Pfam","GO:0004672,GO:0005524,GO:0006468"
"163","Mcavernosa28466-RA","ProSitePatterns","GO:0005524"
"164","Mcavernosa28466-RA","ProSiteProfiles","GO:0004672,GO:0005524,GO:0006468"
"165","Mcavernosa28466-RA","SMART","GO:0004672,GO:0005524,GO:0006468"
"166","Mcavernosa31663-RA","PRINTS","GO:0004930,GO:0007186,GO:0016021"
"167","Mcavernosa31663-RA","PRINTS","GO:0004930,GO:0007186,GO:0016021"
"168","Mcavernosa31663-RA","ProSiteProfiles","GO:0016021"
"169","Mcavernosa11814-RA","PRINTS","GO:0005525"
"170","Mcavernosa11814-RA","PRINTS","GO:0005525"
"171","Mcavernosa11814-RA","Pfam","GO:0005525"
"172","Mcavernosa11814-RA","TIGRFAM","GO:0005525"
"173","Mcavernosa03467-RA","Pfam","GO:0008194"
"174","Mcavernosa03467-RA","Pfam","GO:0008194"
"175","Mcavernosa09188-RA","Pfam","GO:0003924,GO:0005525"
"176","Mcavernosa15521-RA","Pfam","GO:0005515"
"177","Mcavernosa17801-RA","SMART","GO:0005515"
"178","Mcavernosa17801-RA","SMART","GO:0005515"
"179","Mcavernosa17801-RA","Pfam","GO:0005515"
"180","Mcavernosa26770-RA","SUPERFAMILY","GO:0003713,GO:0005634"
"181","Mcavernosa26770-RA","Gene3D","GO:0003713,GO:0005634"
"182","Mcavernosa26770-RA","Pfam","GO:0003713,GO:0005634"
"183","Mcavernosa05277-RA","ProSiteProfiles","GO:0003700,GO:0006355,GO:0043565"
"184","Mcavernosa05277-RA","PRINTS","GO:0003700,GO:0006355,GO:0043565"
"185","Mcavernosa05277-RA","PRINTS","GO:0003700,GO:0006355,GO:0043565"
"186","Mcavernosa05277-RA","PRINTS","GO:0003700,GO:0006355,GO:0043565"
"187","Mcavernosa05277-RA","CDD","GO:0003700,GO:0006355,GO:0043565"
"188","Mcavernosa05277-RA","Pfam","GO:0003700,GO:0006355,GO:0043565"
"189","Mcavernosa05277-RA","SMART","GO:0003700,GO:0006355,GO:0043565"
"190","Mcavernosa05277-RA","ProSitePatterns","GO:0003700,GO:0006355,GO:0043565"
"191","Mcavernosa17100-RA","SUPERFAMILY","GO:0000166,GO:0004812,GO:0005524,GO:0006418"
"192","Mcavernosa19919-RA","SMART","GO:0005515"
"193","Mcavernosa19919-RA","ProSiteProfiles","GO:0005515"
"194","Mcavernosa22873-RA","ProSiteProfiles","GO:0016787"
"195","Mcavernosa22873-RA","ProSitePatterns","GO:0016787"
"196","Mcavernosa22873-RA","SUPERFAMILY","GO:0016787"
"197","Mcavernosa22873-RA","Pfam","GO:0016787"
"198","Mcavernosa10003-RA","SUPERFAMILY","GO:0003824,GO:0005975,GO:0030246"
"199","Mcavernosa10003-RA","Pfam","GO:0004553,GO:0005975"
"200","Mcavernosa17934-RA","Pfam","GO:0005337,GO:0016021,GO:1901642"
"201","Mcavernosa18648-RA","Pfam","GO:0030176,GO:2001256"
"202","Mcavernosa34389-RA","ProSiteProfiles","GO:0005515,GO:0007165"
"203","Mcavernosa02143-RA","SMART","GO:0006508,GO:0008234"
"204","Mcavernosa02143-RA","Pfam","GO:0006508,GO:0008234"
"205","Mcavernosa21894-RA","Pfam","GO:0008194"
"206","Mcavernosa34819-RA","SUPERFAMILY","GO:0046983"
"207","Mcavernosa34819-RA","CDD","GO:0046983"
"208","Mcavernosa05808-RA","SUPERFAMILY","GO:0005515"
"209","Mcavernosa05808-RA","ProSiteProfiles","GO:0005515"
"210","Mcavernosa05808-RA","Gene3D","GO:0005515"
"211","Mcavernosa05808-RA","SMART","GO:0005515"
"212","Mcavernosa05808-RA","SMART","GO:0005515"
"213","Mcavernosa05808-RA","Pfam","GO:0005515"
"214","Mcavernosa05808-RA","SUPERFAMILY","GO:0005515"
"215","Mcavernosa05808-RA","ProSiteProfiles","GO:0005515"
"216","Mcavernosa05808-RA","Gene3D","GO:0005515"
"217","Mcavernosa02777-RA","ProSiteProfiles","GO:0004222,GO:0006508"
"218","Mcavernosa02777-RA","Gene3D","GO:0008237"
"219","Mcavernosa02777-RA","Pfam","GO:0004222,GO:0006508"
"220","Mcavernosa11805-RA","Pfam","GO:0008270"
"221","Mcavernosa11805-RA","ProSiteProfiles","GO:0008270"
"222","Mcavernosa11805-RA","SUPERFAMILY","GO:0005515"
"223","Mcavernosa32987-RA","Pfam","GO:0016491,GO:0055114"
"224","Mcavernosa32987-RA","ProSiteProfiles","GO:0016491,GO:0055114"
"225","Mcavernosa25652-RA","Gene3D","GO:0006400,GO:0016763"
"226","Mcavernosa25652-RA","SUPERFAMILY","GO:0006400,GO:0016763"
"227","Mcavernosa25652-RA","Pfam","GO:0006400,GO:0016763"
"228","Mcavernosa05383-RA","ProSiteProfiles","GO:0005515"
"229","Mcavernosa05383-RA","Pfam","GO:0005515"
"230","Mcavernosa05383-RA","SMART","GO:0005515"
"231","Mcavernosa13688-RA","SMART","GO:0003676"
"232","Mcavernosa13688-RA","SMART","GO:0003676"
"233","Mcavernosa13688-RA","SUPERFAMILY","GO:0003723"
"234","Mcavernosa13688-RA","Pfam","GO:0003723"
"235","Mcavernosa13688-RA","Pfam","GO:0003723"
"236","Mcavernosa13688-RA","Gene3D","GO:0003723"
"237","Mcavernosa13688-RA","Gene3D","GO:0003723"
"238","Mcavernosa13688-RA","SUPERFAMILY","GO:0003723"
"239","Mcavernosa29494-RA","Pfam","GO:0006812,GO:0015299,GO:0016021,GO:0055085"
"240","Mcavernosa19449-RA","Pfam","GO:0006629"
"241","Mcavernosa19449-RA","Pfam","GO:0006629"
"242","Mcavernosa19449-RA","PRINTS","GO:0005764,GO:0006665"
"243","Mcavernosa19449-RA","PRINTS","GO:0005764,GO:0006665"
"244","Mcavernosa23163-RA","ProSiteProfiles","GO:0006355"
"245","Mcavernosa23163-RA","Pfam","GO:0006355"
"246","Mcavernosa21271-RA","Pfam","GO:0005892"
"247","Mcavernosa03804-RA","Pfam","GO:0051920,GO:0055114"
"248","Mcavernosa03804-RA","Pfam","GO:0016209,GO:0016491,GO:0055114"
"249","Mcavernosa14817-RA","Pfam","GO:0005515"
"250","Mcavernosa35184-RA","Pfam","GO:0008146,GO:0016021"
"251","Mcavernosa07376-RA","Pfam","GO:0006352,GO:0030880"
"252","Mcavernosa07376-RA","SUPERFAMILY","GO:0000166,GO:0044237"
"253","Mcavernosa15444-RA","Gene3D","GO:0003824"
"254","Mcavernosa15444-RA","Pfam","GO:0004553,GO:0005975"
"255","Mcavernosa09354-RA","SMART","GO:0004519,GO:0005634,GO:0006302,GO:0030145"
"256","Mcavernosa09354-RA","Pfam","GO:0004519,GO:0005634,GO:0006302,GO:0030145"
"257","Mcavernosa21571-RA","Gene3D","GO:0003824"
"258","Mcavernosa21571-RA","SUPERFAMILY","GO:0003824"
"259","Mcavernosa33247-RA","CDD","GO:0009143,GO:0047429"
"260","Mcavernosa33247-RA","Pfam","GO:0009143,GO:0047429"
"261","Mcavernosa33247-RA","Hamap","GO:0009143,GO:0047429"
"262","Mcavernosa27670-RA","Pfam","GO:0015297,GO:0016020,GO:0042910,GO:0055085"
"263","Mcavernosa06650-RA","SMART","GO:0004672,GO:0005524,GO:0006468"
"264","Mcavernosa06650-RA","Pfam","GO:0004672,GO:0005524,GO:0006468"
"265","Mcavernosa06650-RA","ProSitePatterns","GO:0005524"
"266","Mcavernosa06650-RA","ProSitePatterns","GO:0004672,GO:0006468"
"267","Mcavernosa06650-RA","ProSiteProfiles","GO:0004672,GO:0005524,GO:0006468"
"268","Mcavernosa30328-RA","PRINTS","GO:0005506,GO:0016705,GO:0020037,GO:0055114"
"269","Mcavernosa30328-RA","PRINTS","GO:0005506,GO:0016705,GO:0020037,GO:0055114"
"270","Mcavernosa30328-RA","PRINTS","GO:0005506,GO:0016705,GO:0020037,GO:0055114"
"271","Mcavernosa30328-RA","PRINTS","GO:0005506,GO:0016705,GO:0020037,GO:0055114"
"272","Mcavernosa30328-RA","SUPERFAMILY","GO:0005506,GO:0016705,GO:0020037,GO:0055114"
"273","Mcavernosa30328-RA","Pfam","GO:0005506,GO:0016705,GO:0020037,GO:0055114"
"274","Mcavernosa30328-RA","Gene3D","GO:0005506,GO:0016705,GO:0020037,GO:0055114"
"275","Mcavernosa30328-RA","PRINTS","GO:0005506,GO:0016705,GO:0020037,GO:0055114"
"276","Mcavernosa30328-RA","PRINTS","GO:0005506,GO:0016705,GO:0020037,GO:0055114"
"277","Mcavernosa30328-RA","PRINTS","GO:0005506,GO:0016705,GO:0020037,GO:0055114"
"278","Mcavernosa30328-RA","PRINTS","GO:0005506,GO:0016705,GO:0020037,GO:0055114"
"279","Mcavernosa30328-RA","PRINTS","GO:0005506,GO:0016705,GO:0020037,GO:0055114"
"280","Mcavernosa30328-RA","PRINTS","GO:0005506,GO:0016705,GO:0020037,GO:0055114"
"281","Mcavernosa30328-RA","PRINTS","GO:0005506,GO:0016705,GO:0020037,GO:0055114"
"282","Mcavernosa30328-RA","ProSitePatterns","GO:0016705,GO:0055114"
"283","Mcavernosa16942-RA","ProSiteProfiles","GO:0005515"
"284","Mcavernosa10632-RA","ProSiteProfiles","GO:0003824"
"285","Mcavernosa22558-RA","TIGRFAM","GO:0004719,GO:0006464"
"286","Mcavernosa04989-RA","Pfam","GO:0004252,GO:0006508"
"287","Mcavernosa01742-RA","SMART","GO:0004867"
"288","Mcavernosa01742-RA","ProSiteProfiles","GO:0005576,GO:0030414"
"289","Mcavernosa01742-RA","CDD","GO:0004867"
"290","Mcavernosa01742-RA","Gene3D","GO:0004867"
"291","Mcavernosa01742-RA","SMART","GO:0005576,GO:0030414"
"292","Mcavernosa01742-RA","Pfam","GO:0005576,GO:0030414"
"293","Mcavernosa01742-RA","ProSiteProfiles","GO:0004867"
"294","Mcavernosa01742-RA","Pfam","GO:0004867"
"295","Mcavernosa00512-RA","SUPERFAMILY","GO:0005509,GO:0016020"
"296","Mcavernosa00512-RA","ProSiteProfiles","GO:0005509,GO:0007156,GO:0016020"
"297","Mcavernosa00512-RA","ProSiteProfiles","GO:0005509,GO:0007156,GO:0016020"
"298","Mcavernosa00512-RA","SUPERFAMILY","GO:0005509,GO:0016020"
"299","Mcavernosa00512-RA","SUPERFAMILY","GO:0005509,GO:0016020"
"300","Mcavernosa00512-RA","ProSitePatterns","GO:0005886,GO:0007155"
"301","Mcavernosa00512-RA","ProSiteProfiles","GO:0005509,GO:0007156,GO:0016020"
"302","Mcavernosa00512-RA","ProSiteProfiles","GO:0005509,GO:0007156,GO:0016020"
"303","Mcavernosa00512-RA","Pfam","GO:0005509,GO:0007156,GO:0016020"
"304","Mcavernosa00512-RA","Pfam","GO:0005509,GO:0007156,GO:0016020"
"305","Mcavernosa00512-RA","Pfam","GO:0005509,GO:0007156,GO:0016020"
"306","Mcavernosa00512-RA","Pfam","GO:0005509,GO:0007156,GO:0016020"
"307","Mcavernosa00512-RA","Pfam","GO:0005509,GO:0007156,GO:0016020"
"308","Mcavernosa00512-RA","Pfam","GO:0005509,GO:0007156,GO:0016020"
"309","Mcavernosa00512-RA","SUPERFAMILY","GO:0005509,GO:0016020"
"310","Mcavernosa00512-RA","SUPERFAMILY","GO:0005509,GO:0016020"
"311","Mcavernosa00512-RA","ProSiteProfiles","GO:0005509,GO:0007156,GO:0016020"
"312","Mcavernosa00512-RA","SMART","GO:0005509,GO:0007156,GO:0016020"
"313","Mcavernosa00512-RA","SMART","GO:0005509,GO:0007156,GO:0016020"
"314","Mcavernosa00512-RA","SMART","GO:0005509,GO:0007156,GO:0016020"
"315","Mcavernosa00512-RA","SMART","GO:0005509,GO:0007156,GO:0016020"
"316","Mcavernosa00512-RA","SMART","GO:0005509,GO:0007156,GO:0016020"
"317","Mcavernosa00512-RA","SMART","GO:0005509,GO:0007156,GO:0016020"
"318","Mcavernosa00512-RA","SMART","GO:0005509,GO:0007156,GO:0016020"
"319","Mcavernosa00512-RA","SUPERFAMILY","GO:0005509,GO:0016020"
"320","Mcavernosa00512-RA","SUPERFAMILY","GO:0005509,GO:0016020"
"321","Mcavernosa00512-RA","ProSiteProfiles","GO:0005509,GO:0007156,GO:0016020"
"322","Mcavernosa00512-RA","PRINTS","GO:0005509,GO:0007156,GO:0016020"
"323","Mcavernosa00512-RA","PRINTS","GO:0005509,GO:0007156,GO:0016020"
"324","Mcavernosa00512-RA","PRINTS","GO:0005509,GO:0007156,GO:0016020"
"325","Mcavernosa00512-RA","PRINTS","GO:0005509,GO:0007156,GO:0016020"
"326","Mcavernosa00512-RA","PRINTS","GO:0005509,GO:0007156,GO:0016020"
"327","Mcavernosa00512-RA","PRINTS","GO:0005509,GO:0007156,GO:0016020"
"328","Mcavernosa00512-RA","ProSiteProfiles","GO:0005509,GO:0007156,GO:0016020"
"329","Mcavernosa17448-RA","Pfam","GO:0004842"
"330","Mcavernosa17448-RA","SUPERFAMILY","GO:0005515"
"331","Mcavernosa17448-RA","SUPERFAMILY","GO:0005515"
"332","Mcavernosa17448-RA","ProSitePatterns","GO:0005515"
"333","Mcavernosa17448-RA","CDD","GO:0004842"
"334","Mcavernosa17448-RA","SMART","GO:0005515"
"335","Mcavernosa17448-RA","SMART","GO:0005515"
"336","Mcavernosa17448-RA","CDD","GO:0005515"
"337","Mcavernosa17448-RA","ProSiteProfiles","GO:0005515"
"338","Mcavernosa17448-RA","Pfam","GO:0005515"
"339","Mcavernosa17448-RA","Pfam","GO:0005515"
"340","Mcavernosa17448-RA","ProSiteProfiles","GO:0005515"
"341","Mcavernosa17448-RA","PIRSF","GO:0006511,GO:0061630"
"342","Mcavernosa17448-RA","PIRSF","GO:0006511,GO:0061630"
"343","Mcavernosa17448-RA","PIRSF","GO:0006511,GO:0061630"
"344","Mcavernosa17448-RA","PIRSF","GO:0006511,GO:0061630"
"345","Mcavernosa17448-RA","SMART","GO:0004842"
"346","Mcavernosa17448-RA","SUPERFAMILY","GO:0004842"
"347","Mcavernosa17448-RA","ProSiteProfiles","GO:0004842"
"348","Mcavernosa17448-RA","CDD","GO:0005515"
"349","Mcavernosa02181-RA","Gene3D","GO:0003735,GO:0005840,GO:0006412"
"350","Mcavernosa02181-RA","ProSitePatterns","GO:0003735,GO:0005840,GO:0006412"
"351","Mcavernosa02181-RA","Pfam","GO:0003735,GO:0005840,GO:0006412"
"352","Mcavernosa23370-RA","ProSiteProfiles","GO:0016021"
"353","Mcavernosa23370-RA","PRINTS","GO:0004930,GO:0007186,GO:0016021"
"354","Mcavernosa23370-RA","PRINTS","GO:0004930,GO:0007186,GO:0016021"
"355","Mcavernosa23370-RA","PRINTS","GO:0004930,GO:0007186,GO:0016021"
"356","Mcavernosa23370-RA","PRINTS","GO:0004930,GO:0007186,GO:0016021"
"357","Mcavernosa23370-RA","Pfam","GO:0016021"
"358","Mcavernosa09608-RA","Gene3D","GO:0004618,GO:0006096"
"359","Mcavernosa09608-RA","SUPERFAMILY","GO:0004618,GO:0006096"
"360","Mcavernosa09608-RA","Pfam","GO:0004618,GO:0006096"
"361","Mcavernosa00044-RA","Pfam","GO:0005643,GO:0016973"
"362","Mcavernosa09994-RA","ProSiteProfiles","GO:0005515"
"363","Mcavernosa09994-RA","Pfam","GO:0005515"
"364","Mcavernosa09994-RA","Pfam","GO:0005515"
"365","Mcavernosa09994-RA","Pfam","GO:0005515"
"366","Mcavernosa09994-RA","SMART","GO:0005515"
"367","Mcavernosa09994-RA","SMART","GO:0005515"
"368","Mcavernosa09994-RA","SMART","GO:0005515"
"369","Mcavernosa09994-RA","SMART","GO:0005515"
"370","Mcavernosa09994-RA","SMART","GO:0005515"
"371","Mcavernosa09994-RA","ProSiteProfiles","GO:0005515"
"372","Mcavernosa09994-RA","ProSiteProfiles","GO:0005515"
"373","Mcavernosa09994-RA","ProSiteProfiles","GO:0005515"
"374","Mcavernosa09994-RA","SUPERFAMILY","GO:0005515"
"375","Mcavernosa09994-RA","Gene3D","GO:0005515"
"376","Mcavernosa09994-RA","ProSiteProfiles","GO:0005515"
"377","Mcavernosa05295-RA","ProSiteProfiles","GO:0005515"
"378","Mcavernosa05295-RA","SUPERFAMILY","GO:0005515"
"379","Mcavernosa05295-RA","Pfam","GO:0005515"
"380","Mcavernosa05295-RA","SMART","GO:0005515"
"381","Mcavernosa05295-RA","Gene3D","GO:0005515"
"382","Mcavernosa05295-RA","PRINTS","GO:0005515"
"383","Mcavernosa05295-RA","PRINTS","GO:0005515"
"384","Mcavernosa05295-RA","PRINTS","GO:0005515"
"385","Mcavernosa05295-RA","PRINTS","GO:0005515"
"386","Mcavernosa10381-RA","ProSitePatterns","GO:0006886,GO:0016192,GO:0030117"
