"","gene","GO.ID","term","ontology","over_represented_pvalue","6_1","9_1","25_1","26_1","8_1","21_1","29_1","34_1","7_1","22_1","23_1","27_1"
"55","plut2.m8.21463","GO:0005515,GO:0005515,GO:0005515,GO:0005515","protein binding,protein binding,protein binding,protein binding","MF,MF,MF,MF","0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903",19,4,11,14,9,18,10,8,19,22,19,9
"56","plut2.m8.21554","NA","NA","NA","NA",218,54,120,123,61,155,97,40,83,66,71,56
"57","plut2.m8.21690","GO:0016491,GO:0016491","oxidoreductase activity,oxidoreductase activity","MF,MF","0.544220699349496,0.544220699349496",15,3,21,27,16,27,27,11,26,35,36,13
"58","plut2.m8.21703","GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515","protein binding,protein binding,protein binding,protein binding,protein binding","MF,MF,MF,MF,MF","0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903",44,12,66,22,22,159,87,9,7,15,10,17
"59","plut2.m8.21745","NA","NA","NA","NA",497,83,678,566,66,99,39,47,244,316,164,271
"60","plut2.m8.21905","GO:0005515,GO:0005515,GO:0005515,GO:0005515","protein binding,protein binding,protein binding,protein binding","MF,MF,MF,MF","0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903",161,35,107,87,14,29,9,10,33,42,39,20
"61","plut2.m8.22162","NA","NA","NA","NA",1978,699,1468,918,5062,5596,4369,2125,4308,3863,4926,5720
"62","plut2.m8.22300","NA","NA","NA","NA",42,0,37,27,13,74,22,12,55,61,40,34
"63","plut2.m8.22320","GO:0016021,GO:0055085","integral component of membrane,transmembrane transport","CC,BP","0.835065561120913,0.910026530360384",195,25,95,99,25,472,348,36,71,55,67,36
"64","plut2.m8.22430","GO:0005509,GO:0005509,GO:0005509","calcium ion binding,calcium ion binding,calcium ion binding","MF,MF,MF","0.0489601742803986,0.0489601742803986,0.0489601742803986",55,21,66,26,26,191,93,13,28,28,22,22
"65","plut2.m8.22577","NA","NA","NA","NA",33,11,54,23,34,47,40,22,52,24,39,28
"66","plut2.m8.22609","GO:0005515,GO:0005515,GO:0005515,GO:0005515","protein binding,protein binding,protein binding,protein binding","MF,MF,MF,MF","0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903",814,296,637,499,138,191,134,80,183,82,168,120
"67","plut2.m8.22908","NA","NA","NA","NA",578,196,396,431,169,309,257,105,141,103,126,77
"68","plut2.m8.23195","GO:0005509,GO:0005509,GO:0005509","calcium ion binding,calcium ion binding,calcium ion binding","MF,MF,MF","0.0489601742803986,0.0489601742803986,0.0489601742803986",57,15,47,22,22,34,13,18,48,37,28,37
"69","plut2.m8.23282","GO:0005509","calcium ion binding","MF","0.0489601742803986",122,93,126,84,18,202,59,16,10,13,17,11
"70","plut2.m8.23335","GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005871","protein binding,protein binding,protein binding,protein binding,protein binding,kinesin complex","MF,MF,MF,MF,MF,CC","0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0102924440737289",390,113,371,206,68,94,62,34,95,56,79,59
"71","plut2.m8.23510","GO:0008080,GO:0008080","N-acetyltransferase activity,N-acetyltransferase activity","MF,MF","0.206889813959183,0.206889813959183",365,110,528,149,431,541,410,185,273,405,479,433
"72","plut2.m8.24126","GO:0005515","protein binding","MF","0.0286437958505903",125,20,71,77,34,74,48,41,86,86,83,39
"73","plut2.m8.24267","NA","NA","NA","NA",62,5,16,27,10,16,12,12,45,90,51,14
"74","plut2.m8.24269","NA","NA","NA","NA",182,10,109,78,16,23,26,19,72,195,105,38
"75","plut2.m8.24633","GO:0004553,GO:0005576,GO:0005576,GO:0005576,GO:0005975,GO:0005975,GO:0008061,GO:0008061,GO:0008061,GO:0008061","hydrolase activity, hydrolyzing O-glycosyl compounds,extracellular region,extracellular region,extracellular region,carbohydrate metabolic process,carbohydrate metabolic process,chitin binding,chitin binding,chitin binding,chitin binding","MF,CC,CC,CC,BP,BP,MF,MF,MF,MF","0.371195983097493,0.055301617374779,0.055301617374779,0.055301617374779,0.714586864157327,0.714586864157327,0.0137385160672146,0.0137385160672146,0.0137385160672146,0.0137385160672146",210,58,109,166,1107,2882,2992,936,2250,1299,2172,985
"76","plut2.m8.2498","NA","NA","NA","NA",16,5,25,9,10,22,27,11,18,8,14,12
"77","plut2.m8.24994","GO:0016021","integral component of membrane","CC","0.835065561120913",26,3,12,14,10,48,41,6,9,11,17,10
"78","plut2.m8.25307","GO:0005509,GO:0005509","calcium ion binding,calcium ion binding","MF,MF","0.0489601742803986,0.0489601742803986",490,95,212,235,80,89,51,52,191,202,127,188
"79","plut2.m8.25740","NA","NA","NA","NA",85,35,170,43,146,171,179,49,106,316,113,157
"80","plut2.m8.25842","NA","NA","NA","NA",116,19,70,46,9,14,8,6,14,7,16,9
"81","plut2.m8.25894","GO:0005515","protein binding","MF","0.0286437958505903",118,28,87,64,53,125,103,63,145,117,113,60
"82","plut2.m8.25928","GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515","protein binding,protein binding,protein binding,protein binding,protein binding","MF,MF,MF,MF,MF","0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903",429,159,341,244,71,66,53,22,87,30,70,43
"83","plut2.m8.26038","GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515","protein binding,protein binding,protein binding,protein binding,protein binding","MF,MF,MF,MF,MF","0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903",48,18,36,21,29,39,33,19,40,23,34,27
"84","plut2.m8.26060","NA","NA","NA","NA",13,0,17,10,7,43,18,14,15,30,17,24
"85","plut2.m8.26344","NA","NA","NA","NA",71,10,43,37,20,72,54,20,48,22,39,22
"86","plut2.m8.26404","NA","NA","NA","NA",41,22,11,35,134,19,104,92,47,170,226,106
"87","plut2.m8.26944","GO:0005509,GO:0005509,GO:0005509","calcium ion binding,calcium ion binding,calcium ion binding","MF,MF,MF","0.0489601742803986,0.0489601742803986,0.0489601742803986",324,70,181,206,82,170,106,35,68,55,64,43
"88","plut2.m8.27435","GO:0008289,GO:0008289,GO:0008289","lipid binding,lipid binding,lipid binding","MF,MF,MF","0.230529560205747,0.230529560205747,0.230529560205747",1332,178,721,744,148,280,100,122,489,592,305,286
"89","plut2.m8.27437","GO:0004930,GO:0004930,GO:0004930,GO:0007186,GO:0007186,GO:0007186,GO:0016021,GO:0016021,GO:0016021,GO:0016021,GO:0016021","G protein-coupled receptor activity,G protein-coupled receptor activity,G protein-coupled receptor activity,G protein-coupled receptor signaling pathway,G protein-coupled receptor signaling pathway,G protein-coupled receptor signaling pathway,integral component of membrane,integral component of membrane,integral component of membrane,integral component of membrane,integral component of membrane","MF,MF,MF,BP,BP,BP,CC,CC,CC,CC,CC","0.673977400441744,0.673977400441744,0.673977400441744,0.703049904842335,0.703049904842335,0.703049904842335,0.835065561120913,0.835065561120913,0.835065561120913,0.835065561120913,0.835065561120913",46,15,33,15,19,37,26,17,22,26,27,15
"90","plut2.m8.27535","GO:0005524,GO:0016887","ATP binding,ATPase activity","MF,MF","0.977308593587781,0.687287265589891",19,3,9,14,19,27,23,18,22,16,23,16
"91","plut2.m8.27604","NA","NA","NA","NA",26,0,20,19,9,59,27,7,23,30,18,22
"92","plut2.m8.28609","GO:0003677,GO:0003677,GO:0003677,GO:0003700,GO:0003700,GO:0003700,GO:0003700,GO:0003700,GO:0005737,GO:0006355,GO:0006355,GO:0006355,GO:0006355,GO:0006355","DNA binding,DNA binding,DNA binding,DNA-binding transcription factor activity,DNA-binding transcription factor activity,DNA-binding transcription factor activity,DNA-binding transcription factor activity,DNA-binding transcription factor activity,cytoplasm,regulation of transcription, DNA-templated,regulation of transcription, DNA-templated,regulation of transcription, DNA-templated,regulation of transcription, DNA-templated,regulation of transcription, DNA-templated","MF,MF,MF,MF,MF,MF,MF,MF,CC,BP,BP,BP,BP,BP","0.95552309219645,0.95552309219645,0.95552309219645,0.389346331696044,0.389346331696044,0.389346331696044,0.389346331696044,0.389346331696044,0.708732583050194,0.747349380197142,0.747349380197142,0.747349380197142,0.747349380197142,0.747349380197142",272,55,177,154,26,71,32,17,68,35,54,49
"93","plut2.m8.28828","GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515","protein binding,protein binding,protein binding,protein binding,protein binding","MF,MF,MF,MF,MF","0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903",51,16,44,23,33,44,33,16,40,32,44,24
"94","plut2.m8.29528","GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515","protein binding,protein binding,protein binding,protein binding,protein binding","MF,MF,MF,MF,MF","0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903",10,2,20,7,27,32,19,8,18,9,25,21
"95","plut2.m8.29610","GO:0016491,GO:0016491,GO:0016491,GO:0016491,GO:0016491,GO:0016620,GO:0055114,GO:0055114,GO:0055114,GO:0055114,GO:0055114","oxidoreductase activity,oxidoreductase activity,oxidoreductase activity,oxidoreductase activity,oxidoreductase activity,oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor,oxidation-reduction process,oxidation-reduction process,oxidation-reduction process,oxidation-reduction process,oxidation-reduction process","MF,MF,MF,MF,MF,MF,BP,BP,BP,BP,BP","0.544220699349496,0.544220699349496,0.544220699349496,0.544220699349496,0.544220699349496,0.15742424589413,0.812818990054364,0.812818990054364,0.812818990054364,0.812818990054364,0.812818990054364",99,20,57,35,39,243,114,29,51,49,67,60
"96","plut2.m8.29685","NA","NA","NA","NA",11,3,9,6,12,11,11,8,12,21,12,10
"97","plut2.m8.30338","GO:0005515,GO:0005515,GO:0005515,GO:0005515","protein binding,protein binding,protein binding,protein binding","MF,MF,MF,MF","0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903",12,0,15,7,8,20,10,8,17,14,19,15
"98","plut2.m8.30462","NA","NA","NA","NA",30,0,27,14,24,35,30,11,27,10,17,14
"99","plut2.m8.30559","NA","NA","NA","NA",77,12,46,48,27,47,29,18,63,39,33,39
"100","plut2.m8.30812","GO:0016020","membrane","CC","0.779529923428034",77,8,47,56,21,53,23,17,58,83,44,38
"101","plut2.m8.30846","NA","NA","NA","NA",15,0,16,9,7,25,14,11,27,33,23,15
"102","plut2.m8.30977","GO:0005515","protein binding","MF","0.0286437958505903",21,12,22,12,21,52,36,10,23,16,20,15
"103","plut2.m8.31278","NA","NA","NA","NA",49,3,13,21,20,25,18,21,22,19,41,44
"104","plut2.m8.31556","NA","NA","NA","NA",16,0,17,11,18,40,24,14,36,41,29,15
"105","plut2.m8.31557","NA","NA","NA","NA",76,17,30,42,24,48,39,23,36,70,51,29
"106","plut2.m8.31969","GO:0006508,GO:0006508,GO:0008234,GO:0008234","proteolysis,proteolysis,cysteine-type peptidase activity,cysteine-type peptidase activity","BP,BP,MF,MF","0.479824509776889,0.479824509776889,0.0430104234035176,0.0430104234035176",38,0,34,23,30,106,35,24,76,101,48,50
"107","plut2.m8.32388","NA","NA","NA","NA",149,49,111,98,8,22,18,10,24,22,26,13
"108","plut2.m8.32471","NA","NA","NA","NA",18,0,10,10,11,21,17,10,19,12,20,16
"109","plut2.m8.32950","NA","NA","NA","NA",12,9,12,13,5,14,6,9,29,42,28,8
"110","plut2.m8.32952","NA","NA","NA","NA",527,71,876,370,56,94,34,34,232,218,145,246
"111","plut2.m8.32953","NA","NA","NA","NA",730,103,1579,633,136,156,60,87,515,482,312,600
"112","plut2.m8.33084","GO:0005509,GO:0005509,GO:0005509,GO:0005515,GO:0005515,GO:0005515,GO:0005515","calcium ion binding,calcium ion binding,calcium ion binding,protein binding,protein binding,protein binding,protein binding","MF,MF,MF,MF,MF,MF,MF","0.0489601742803986,0.0489601742803986,0.0489601742803986,0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903",35,12,32,11,31,26,12,18,47,49,34,36
"113","plut2.m8.33156","NA","NA","NA","NA",25,3,16,11,12,38,22,12,31,25,26,14
"114","plut2.m8.33216","GO:0005509,GO:0005509,GO:0005509","calcium ion binding,calcium ion binding,calcium ion binding","MF,MF,MF","0.0489601742803986,0.0489601742803986,0.0489601742803986",429,113,265,228,56,68,42,37,74,69,105,80
"115","plut2.m8.33367","GO:0005515","protein binding","MF","0.0286437958505903",25,5,10,9,22,55,42,7,22,18,23,16
"116","plut2.m8.33377","GO:0005515,GO:0005515,GO:0005515,GO:0005515","protein binding,protein binding,protein binding,protein binding","MF,MF,MF,MF","0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903",16,16,11,12,22,25,17,11,30,19,35,17
"117","plut2.m8.33379","GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515","protein binding,protein binding,protein binding,protein binding,protein binding","MF,MF,MF,MF,MF","0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903",14,0,12,7,19,18,12,7,16,7,15,11
"118","plut2.m8.33396","GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515","protein binding,protein binding,protein binding,protein binding,protein binding","MF,MF,MF,MF,MF","0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903",31,12,9,12,26,37,27,24,54,12,41,21
"119","plut2.m8.33535","GO:0004089,GO:0008270","carbonate dehydratase activity,zinc ion binding","MF,MF","0.0958289761231633,0.946973464251904",137,18,85,62,33,79,36,29,74,101,66,66
"120","plut2.m8.33612","NA","NA","NA","NA",28,7,17,30,15,43,16,12,39,23,29,20
"121","plut2.m8.3398","GO:0005201","extracellular matrix structural constituent","MF","0.0383710324555699",42,5,24,6,10,25,11,10,24,81,30,26
"122","plut2.m8.3544","GO:0006508,GO:0006508,GO:0006508,GO:0008234,GO:0008234,GO:0008234","proteolysis,proteolysis,proteolysis,cysteine-type peptidase activity,cysteine-type peptidase activity,cysteine-type peptidase activity","BP,BP,BP,MF,MF,MF","0.479824509776889,0.479824509776889,0.479824509776889,0.0430104234035176,0.0430104234035176,0.0430104234035176",1035,142,527,690,242,627,323,206,520,644,566,409
