"","category","gene","25_ctl1_Ac_GF_1","27_ctl2_Ac_YG_1","41_ctl3_Ac_RN_1","37_T13_Ac_ML","52_T11_Ac_II","31_T22_Ac_UV","38_T23_Ac_IN","53_T21_Ac_NH","19_T33_Ac_WK","47_T31_Ac_JB","57_T32_Ac_NM","35_T43_Ac_MT","54_T42_Ac_JQ","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"28","GO:0003676","Acerv_evm.TU.Segkk1945_pilon.2",8,12,0,17,19,16,18,7,34,12,12,18,24,0.945877097066016,0.137437648902045,3,261,"nucleic acid binding","MF"
"29","GO:0003676","Acerv_evm.TU.Segkk2424_pilon.11",38,19,26,123,49,85,233,52,134,77,71,125,227,0.945877097066016,0.137437648902045,3,261,"nucleic acid binding","MF"
"30","GO:0003676","Acerv_evm.TU.Segkk1945_pilon.2",8,12,0,17,19,16,18,7,34,12,12,18,24,0.945877097066016,0.137437648902045,3,261,"nucleic acid binding","MF"
"31","GO:0003677","Acerv_evm.TU.Segkk671_pilon.1",633,725,555,322,352,190,122,100,370,180,240,368,347,0.188811446933131,0.9024990138883,7,194,"DNA binding","MF"
"32","GO:0003677","Acerv_evm.TU.Segkk30_pilon.11",210,290,281,70,69,59,70,37,136,93,56,98,82,0.188811446933131,0.9024990138883,7,194,"DNA binding","MF"
"33","GO:0003677","Acerv_evm.TU.Segkk19_pilon.21",231,118,188,78,154,50,28,19,104,41,58,65,101,0.188811446933131,0.9024990138883,7,194,"DNA binding","MF"
"34","GO:0003677","Acerv_evm.TU.Segkk3655_pilon.19",231,118,188,78,154,50,28,19,104,41,58,65,101,0.188811446933131,0.9024990138883,7,194,"DNA binding","MF"
"35","GO:0003677","Acerv_evm.TU.Segkk671_pilon.1",633,725,555,322,352,190,122,100,370,180,240,368,347,0.188811446933131,0.9024990138883,7,194,"DNA binding","MF"
"36","GO:0003677","Acerv_evm.TU.Segkk978_pilon.3",71,114,128,45,30,48,34,34,55,28,25,170,183,0.188811446933131,0.9024990138883,7,194,"DNA binding","MF"
"37","GO:0003677","Acerv_evm.TU.Segkk30_pilon.11",210,290,281,70,69,59,70,37,136,93,56,98,82,0.188811446933131,0.9024990138883,7,194,"DNA binding","MF"
"38","GO:0003677","Acerv_evm.TU.Segkk925_pilon.1",922,797,795,318,384,258,282,166,482,268,231,411,436,0.188811446933131,0.9024990138883,7,194,"DNA binding","MF"
"39","GO:0003677","Acerv_evm.TU.Segkk3655_pilon.19",231,118,188,78,154,50,28,19,104,41,58,65,101,0.188811446933131,0.9024990138883,7,194,"DNA binding","MF"
"40","GO:0003677","Acerv_evm.TU.Segkk978_pilon.3",71,114,128,45,30,48,34,34,55,28,25,170,183,0.188811446933131,0.9024990138883,7,194,"DNA binding","MF"
"41","GO:0003677","Acerv_evm.TU.Segkk671_pilon.1",633,725,555,322,352,190,122,100,370,180,240,368,347,0.188811446933131,0.9024990138883,7,194,"DNA binding","MF"
"42","GO:0003677","Acerv_evm.TU.Segkk19_pilon.21",231,118,188,78,154,50,28,19,104,41,58,65,101,0.188811446933131,0.9024990138883,7,194,"DNA binding","MF"
"43","GO:0003677","Acerv_evm.TU.Segkk1416_pilon.3",52,46,80,54,57,56,100,29,58,72,29,78,79,0.188811446933131,0.9024990138883,7,194,"DNA binding","MF"
"44","GO:0003677","Acerv_evm.TU.Segkk19_pilon.21",231,118,188,78,154,50,28,19,104,41,58,65,101,0.188811446933131,0.9024990138883,7,194,"DNA binding","MF"
"45","GO:0003677","Acerv_evm.TU.Segkk978_pilon.3",71,114,128,45,30,48,34,34,55,28,25,170,183,0.188811446933131,0.9024990138883,7,194,"DNA binding","MF"
"46","GO:0003677","Acerv_evm.TU.Segkk978_pilon.3",71,114,128,45,30,48,34,34,55,28,25,170,183,0.188811446933131,0.9024990138883,7,194,"DNA binding","MF"
"47","GO:0003677","Acerv_evm.TU.Segkk3655_pilon.19",231,118,188,78,154,50,28,19,104,41,58,65,101,0.188811446933131,0.9024990138883,7,194,"DNA binding","MF"
"48","GO:0003677","Acerv_evm.TU.Segkk978_pilon.3",71,114,128,45,30,48,34,34,55,28,25,170,183,0.188811446933131,0.9024990138883,7,194,"DNA binding","MF"
"49","GO:0003677","Acerv_evm.TU.Segkk925_pilon.1",922,797,795,318,384,258,282,166,482,268,231,411,436,0.188811446933131,0.9024990138883,7,194,"DNA binding","MF"
"50","GO:0003677","Acerv_evm.TU.Segkk925_pilon.1",922,797,795,318,384,258,282,166,482,268,231,411,436,0.188811446933131,0.9024990138883,7,194,"DNA binding","MF"
"51","GO:0003677","Acerv_evm.TU.Segkk978_pilon.3",71,114,128,45,30,48,34,34,55,28,25,170,183,0.188811446933131,0.9024990138883,7,194,"DNA binding","MF"
"52","GO:0003678","Acerv_evm.TU.Segkk4345_pilon.12",73,65,34,50,75,46,49,27,64,19,30,62,83,0.186107511975152,0.983499518349924,1,9,"DNA helicase activity","MF"
"53","GO:0003678","Acerv_evm.TU.Segkk4345_pilon.12",73,65,34,50,75,46,49,27,64,19,30,62,83,0.186107511975152,0.983499518349924,1,9,"DNA helicase activity","MF"
"54","GO:0003678","Acerv_evm.TU.Segkk4345_pilon.12",73,65,34,50,75,46,49,27,64,19,30,62,83,0.186107511975152,0.983499518349924,1,9,"DNA helicase activity","MF"
"55","GO:0003700","Acerv_evm.TU.Segkk1466_pilon.9",43,73,43,53,21,47,139,62,44,29,26,120,175,0.424941242868705,0.825449937670983,2,59,"DNA-binding transcription factor activity","MF"
"56","GO:0003700","Acerv_evm.TU.Segkk978_pilon.3",71,114,128,45,30,48,34,34,55,28,25,170,183,0.424941242868705,0.825449937670983,2,59,"DNA-binding transcription factor activity","MF"
"57","GO:0003700","Acerv_evm.TU.Segkk978_pilon.3",71,114,128,45,30,48,34,34,55,28,25,170,183,0.424941242868705,0.825449937670983,2,59,"DNA-binding transcription factor activity","MF"
"58","GO:0003700","Acerv_evm.TU.Segkk978_pilon.3",71,114,128,45,30,48,34,34,55,28,25,170,183,0.424941242868705,0.825449937670983,2,59,"DNA-binding transcription factor activity","MF"
"59","GO:0003700","Acerv_evm.TU.Segkk978_pilon.3",71,114,128,45,30,48,34,34,55,28,25,170,183,0.424941242868705,0.825449937670983,2,59,"DNA-binding transcription factor activity","MF"
"60","GO:0003700","Acerv_evm.TU.Segkk978_pilon.3",71,114,128,45,30,48,34,34,55,28,25,170,183,0.424941242868705,0.825449937670983,2,59,"DNA-binding transcription factor activity","MF"
"61","GO:0003700","Acerv_evm.TU.Segkk1466_pilon.9",43,73,43,53,21,47,139,62,44,29,26,120,175,0.424941242868705,0.825449937670983,2,59,"DNA-binding transcription factor activity","MF"
"62","GO:0003700","Acerv_evm.TU.Segkk978_pilon.3",71,114,128,45,30,48,34,34,55,28,25,170,183,0.424941242868705,0.825449937670983,2,59,"DNA-binding transcription factor activity","MF"
"63","GO:0003723","Acerv_evm.TU.Segkk2834_pilon.11",179,165,116,91,104,100,67,70,163,72,60,211,226,0.634354946691056,0.63928248622329,2,93,"RNA binding","MF"
"64","GO:0003723","Acerv_evm.TU.Segkk2834_pilon.11",179,165,116,91,104,100,67,70,163,72,60,211,226,0.634354946691056,0.63928248622329,2,93,"RNA binding","MF"
"65","GO:0003723","Acerv_evm.TU.Segkk36_pilon.2",127,178,64,99,212,90,82,56,157,58,78,144,215,0.634354946691056,0.63928248622329,2,93,"RNA binding","MF"
"66","GO:0003723","Acerv_evm.TU.Segkk2834_pilon.11",179,165,116,91,104,100,67,70,163,72,60,211,226,0.634354946691056,0.63928248622329,2,93,"RNA binding","MF"
"67","GO:0003743","Acerv_evm.TU.Segkk2834_pilon.11",179,165,116,91,104,100,67,70,163,72,60,211,226,0.33310080708002,0.94037840440274,1,18,"translation initiation factor activity","MF"
"68","GO:0003743","Acerv_evm.TU.Segkk2834_pilon.11",179,165,116,91,104,100,67,70,163,72,60,211,226,0.33310080708002,0.94037840440274,1,18,"translation initiation factor activity","MF"
"69","GO:0003743","Acerv_evm.TU.Segkk2834_pilon.11",179,165,116,91,104,100,67,70,163,72,60,211,226,0.33310080708002,0.94037840440274,1,18,"translation initiation factor activity","MF"
"70","GO:0003824","Acerv_evm.TU.Segkk169_pilon.1",39,6,10,24,13,71,30,27,44,15,15,105,71,0.915281354083922,0.227267295856195,2,170,"catalytic activity","MF"
"71","GO:0003824","Acerv_evm.TU.Segkk169_pilon.1",39,6,10,24,13,71,30,27,44,15,15,105,71,0.915281354083922,0.227267295856195,2,170,"catalytic activity","MF"
"72","GO:0003824","Acerv_evm.TU.Segkk999_pilon.5",97,61,53,67,61,103,48,48,71,49,51,82,136,0.915281354083922,0.227267295856195,2,170,"catalytic activity","MF"
"73","GO:0003824","Acerv_evm.TU.Segkk169_pilon.1",39,6,10,24,13,71,30,27,44,15,15,105,71,0.915281354083922,0.227267295856195,2,170,"catalytic activity","MF"
"74","GO:0003824","Acerv_evm.TU.Segkk169_pilon.1",39,6,10,24,13,71,30,27,44,15,15,105,71,0.915281354083922,0.227267295856195,2,170,"catalytic activity","MF"
"75","GO:0003924","Acerv_evm.TU.Segkk2795_pilon.15",230,339,387,185,179,197,528,232,214,137,103,481,445,0.666034296176339,0.604297295917122,2,94,"GTPase activity","MF"
"76","GO:0003924","Acerv_evm.TU.Segkk338_pilon.10",1117,1147,967,644,501,695,714,615,1017,455,434,1242,1200,0.666034296176339,0.604297295917122,2,94,"GTPase activity","MF"
"77","GO:0003924","Acerv_evm.TU.Segkk2795_pilon.15",230,339,387,185,179,197,528,232,214,137,103,481,445,0.666034296176339,0.604297295917122,2,94,"GTPase activity","MF"
"78","GO:0003924","Acerv_evm.TU.Segkk338_pilon.10",1117,1147,967,644,501,695,714,615,1017,455,434,1242,1200,0.666034296176339,0.604297295917122,2,94,"GTPase activity","MF"
"79","GO:0003924","Acerv_evm.TU.Segkk338_pilon.10",1117,1147,967,644,501,695,714,615,1017,455,434,1242,1200,0.666034296176339,0.604297295917122,2,94,"GTPase activity","MF"
"80","GO:0003924","Acerv_evm.TU.Segkk2795_pilon.15",230,339,387,185,179,197,528,232,214,137,103,481,445,0.666034296176339,0.604297295917122,2,94,"GTPase activity","MF"
"81","GO:0003924","Acerv_evm.TU.Segkk2795_pilon.15",230,339,387,185,179,197,528,232,214,137,103,481,445,0.666034296176339,0.604297295917122,2,94,"GTPase activity","MF"
"82","GO:0003924","Acerv_evm.TU.Segkk338_pilon.10",1117,1147,967,644,501,695,714,615,1017,455,434,1242,1200,0.666034296176339,0.604297295917122,2,94,"GTPase activity","MF"
"83","GO:0003924","Acerv_evm.TU.Segkk338_pilon.10",1117,1147,967,644,501,695,714,615,1017,455,434,1242,1200,0.666034296176339,0.604297295917122,2,94,"GTPase activity","MF"
"84","GO:0004061","Acerv_evm.TU.Segkk2521_pilon.10",116,109,93,60,59,79,66,49,83,44,32,123,94,0.0461714810628931,0.999456894024744,1,2,"arylformamidase activity","MF"
"85","GO:0004061","Acerv_evm.TU.Segkk2521_pilon.10",116,109,93,60,59,79,66,49,83,44,32,123,94,0.0461714810628931,0.999456894024744,1,2,"arylformamidase activity","MF"
"86","GO:0004089","Acerv_evm.TU.Segkk3903_pilon.2",3990,6951,3243,1557,861,2964,10419,2198,2554,1586,978,3310,3706,0.0718019338384995,0.99823235109908,1,3,"carbonate dehydratase activity","MF"
"87","GO:0004089","Acerv_evm.TU.Segkk3903_pilon.2",3990,6951,3243,1557,861,2964,10419,2198,2554,1586,978,3310,3706,0.0718019338384995,0.99823235109908,1,3,"carbonate dehydratase activity","MF"
"88","GO:0004096","Acerv_evm.TU.Segkk2788_pilon.3",316,228,167,118,110,147,146,84,191,88,62,294,272,0.208454531067797,0.978491162668522,1,12,"catalase activity","MF"
"89","GO:0004096","Acerv_evm.TU.Segkk2788_pilon.3",316,228,167,118,110,147,146,84,191,88,62,294,272,0.208454531067797,0.978491162668522,1,12,"catalase activity","MF"
"90","GO:0004096","Acerv_evm.TU.Segkk2788_pilon.3",316,228,167,118,110,147,146,84,191,88,62,294,272,0.208454531067797,0.978491162668522,1,12,"catalase activity","MF"
"91","GO:0004096","Acerv_evm.TU.Segkk2788_pilon.3",316,228,167,118,110,147,146,84,191,88,62,294,272,0.208454531067797,0.978491162668522,1,12,"catalase activity","MF"
"92","GO:0004096","Acerv_evm.TU.Segkk2788_pilon.3",316,228,167,118,110,147,146,84,191,88,62,294,272,0.208454531067797,0.978491162668522,1,12,"catalase activity","MF"
"93","GO:0004096","Acerv_evm.TU.Segkk2788_pilon.3",316,228,167,118,110,147,146,84,191,88,62,294,272,0.208454531067797,0.978491162668522,1,12,"catalase activity","MF"
"94","GO:0004096","Acerv_evm.TU.Segkk2788_pilon.3",316,228,167,118,110,147,146,84,191,88,62,294,272,0.208454531067797,0.978491162668522,1,12,"catalase activity","MF"
"95","GO:0004190","Acerv_evm.TU.Segkk2424_pilon.11",38,19,26,123,49,85,233,52,134,77,71,125,227,0.156053697302836,0.988715028856649,1,8,"aspartic-type endopeptidase activity","MF"
"96","GO:0004190","Acerv_evm.TU.Segkk2424_pilon.11",38,19,26,123,49,85,233,52,134,77,71,125,227,0.156053697302836,0.988715028856649,1,8,"aspartic-type endopeptidase activity","MF"
"97","GO:0004190","Acerv_evm.TU.Segkk2424_pilon.11",38,19,26,123,49,85,233,52,134,77,71,125,227,0.156053697302836,0.988715028856649,1,8,"aspartic-type endopeptidase activity","MF"
"98","GO:0004190","Acerv_evm.TU.Segkk2424_pilon.11",38,19,26,123,49,85,233,52,134,77,71,125,227,0.156053697302836,0.988715028856649,1,8,"aspartic-type endopeptidase activity","MF"
"99","GO:0004190","Acerv_evm.TU.Segkk2424_pilon.11",38,19,26,123,49,85,233,52,134,77,71,125,227,0.156053697302836,0.988715028856649,1,8,"aspartic-type endopeptidase activity","MF"
"100","GO:0004190","Acerv_evm.TU.Segkk2424_pilon.11",38,19,26,123,49,85,233,52,134,77,71,125,227,0.156053697302836,0.988715028856649,1,8,"aspartic-type endopeptidase activity","MF"
"101","GO:0004190","Acerv_evm.TU.Segkk2424_pilon.11",38,19,26,123,49,85,233,52,134,77,71,125,227,0.156053697302836,0.988715028856649,1,8,"aspartic-type endopeptidase activity","MF"
"102","GO:0004222","Acerv_evm.TU.Segkk3159_pilon.11",2575,921,1144,1069,1765,673,231,174,1161,274,540,675,918,0.319671977458978,0.892802520109814,2,52,"metalloendopeptidase activity","MF"
"103","GO:0004222","Acerv_evm.TU.Segkk1895_pilon.6",116,145,128,116,113,64,91,44,106,94,91,136,123,0.319671977458978,0.892802520109814,2,52,"metalloendopeptidase activity","MF"
"104","GO:0004222","Acerv_evm.TU.Segkk3159_pilon.11",2575,921,1144,1069,1765,673,231,174,1161,274,540,675,918,0.319671977458978,0.892802520109814,2,52,"metalloendopeptidase activity","MF"
"105","GO:0004222","Acerv_evm.TU.Segkk3159_pilon.11",2575,921,1144,1069,1765,673,231,174,1161,274,540,675,918,0.319671977458978,0.892802520109814,2,52,"metalloendopeptidase activity","MF"
"106","GO:0004252","Acerv_evm.TU.Segkk2634_pilon.20",192,159,77,134,246,98,43,62,153,40,70,120,144,0.122982202115315,0.966458986332811,3,56,"serine-type endopeptidase activity","MF"
"107","GO:0004252","Acerv_evm.TU.Segkk2634_pilon.14",1497,705,709,566,1115,364,138,160,645,193,308,394,558,0.122982202115315,0.966458986332811,3,56,"serine-type endopeptidase activity","MF"
"108","GO:0004252","Acerv_evm.TU.Segkk2634_pilon.14",1497,705,709,566,1115,364,138,160,645,193,308,394,558,0.122982202115315,0.966458986332811,3,56,"serine-type endopeptidase activity","MF"
"109","GO:0004252","Acerv_evm.TU.Segkk4302_pilon.1",269,168,351,104,169,63,47,27,110,100,71,76,114,0.122982202115315,0.966458986332811,3,56,"serine-type endopeptidase activity","MF"
"110","GO:0004252","Acerv_evm.TU.Segkk2634_pilon.14",1497,705,709,566,1115,364,138,160,645,193,308,394,558,0.122982202115315,0.966458986332811,3,56,"serine-type endopeptidase activity","MF"
"111","GO:0004252","Acerv_evm.TU.Segkk2634_pilon.20",192,159,77,134,246,98,43,62,153,40,70,120,144,0.122982202115315,0.966458986332811,3,56,"serine-type endopeptidase activity","MF"
"112","GO:0004252","Acerv_evm.TU.Segkk4302_pilon.1",269,168,351,104,169,63,47,27,110,100,71,76,114,0.122982202115315,0.966458986332811,3,56,"serine-type endopeptidase activity","MF"
"113","GO:0004252","Acerv_evm.TU.Segkk2634_pilon.20",192,159,77,134,246,98,43,62,153,40,70,120,144,0.122982202115315,0.966458986332811,3,56,"serine-type endopeptidase activity","MF"
"114","GO:0004553","Acerv_evm.TU.Segkk1777_pilon.32",259,135,145,64,100,40,25,26,92,40,35,82,93,0.400706360547357,0.910086827714874,1,22,"hydrolase activity, hydrolyzing O-glycosyl compounds","MF"
"115","GO:0004553","Acerv_evm.TU.Segkk1777_pilon.32",259,135,145,64,100,40,25,26,92,40,35,82,93,0.400706360547357,0.910086827714874,1,22,"hydrolase activity, hydrolyzing O-glycosyl compounds","MF"
"116","GO:0004559","Acerv_evm.TU.Segkk169_pilon.1",39,6,10,24,13,71,30,27,44,15,15,105,71,0.0355391360499109,0.999679994423401,1,2,"alpha-mannosidase activity","MF"
"117","GO:0004559","Acerv_evm.TU.Segkk169_pilon.1",39,6,10,24,13,71,30,27,44,15,15,105,71,0.0355391360499109,0.999679994423401,1,2,"alpha-mannosidase activity","MF"
"118","GO:0004559","Acerv_evm.TU.Segkk169_pilon.1",39,6,10,24,13,71,30,27,44,15,15,105,71,0.0355391360499109,0.999679994423401,1,2,"alpha-mannosidase activity","MF"
"119","GO:0004559","Acerv_evm.TU.Segkk169_pilon.1",39,6,10,24,13,71,30,27,44,15,15,105,71,0.0355391360499109,0.999679994423401,1,2,"alpha-mannosidase activity","MF"
"120","GO:0004601","Acerv_evm.TU.Segkk1079_pilon.5",7611,6411,2576,2828,2614,4724,5159,4117,4548,1067,1405,6933,10827,0.201662732900575,0.980268259378686,1,10,"peroxidase activity","MF"
"121","GO:0004601","Acerv_evm.TU.Segkk1079_pilon.5",7611,6411,2576,2828,2614,4724,5159,4117,4548,1067,1405,6933,10827,0.201662732900575,0.980268259378686,1,10,"peroxidase activity","MF"
"122","GO:0004601","Acerv_evm.TU.Segkk1079_pilon.5",7611,6411,2576,2828,2614,4724,5159,4117,4548,1067,1405,6933,10827,0.201662732900575,0.980268259378686,1,10,"peroxidase activity","MF"
"123","GO:0004601","Acerv_evm.TU.Segkk1079_pilon.5",7611,6411,2576,2828,2614,4724,5159,4117,4548,1067,1405,6933,10827,0.201662732900575,0.980268259378686,1,10,"peroxidase activity","MF"
"124","GO:0004672","Acerv_evm.TU.Segkk1579_pilon.3",378,318,197,264,169,304,715,331,235,96,199,403,561,0.84286377953194,0.320726243475121,3,216,"protein kinase activity","MF"
"125","GO:0004672","Acerv_evm.TU.Segkk2335_pilon.20",43,64,46,44,76,35,45,24,57,40,33,62,70,0.84286377953194,0.320726243475121,3,216,"protein kinase activity","MF"
"126","GO:0004672","Acerv_evm.TU.Segkk2335_pilon.20",43,64,46,44,76,35,45,24,57,40,33,62,70,0.84286377953194,0.320726243475121,3,216,"protein kinase activity","MF"
"127","GO:0004672","Acerv_evm.TU.Segkk1411_pilon.4",2479,2277,2257,1057,1598,830,833,376,1402,550,617,1573,1365,0.84286377953194,0.320726243475121,3,216,"protein kinase activity","MF"
"128","GO:0004672","Acerv_evm.TU.Segkk1579_pilon.3",378,318,197,264,169,304,715,331,235,96,199,403,561,0.84286377953194,0.320726243475121,3,216,"protein kinase activity","MF"
"129","GO:0004672","Acerv_evm.TU.Segkk1411_pilon.4",2479,2277,2257,1057,1598,830,833,376,1402,550,617,1573,1365,0.84286377953194,0.320726243475121,3,216,"protein kinase activity","MF"
"130","GO:0004672","Acerv_evm.TU.Segkk2335_pilon.20",43,64,46,44,76,35,45,24,57,40,33,62,70,0.84286377953194,0.320726243475121,3,216,"protein kinase activity","MF"
"131","GO:0004672","Acerv_evm.TU.Segkk1411_pilon.4",2479,2277,2257,1057,1598,830,833,376,1402,550,617,1573,1365,0.84286377953194,0.320726243475121,3,216,"protein kinase activity","MF"
"132","GO:0004672","Acerv_evm.TU.Segkk1411_pilon.4",2479,2277,2257,1057,1598,830,833,376,1402,550,617,1573,1365,0.84286377953194,0.320726243475121,3,216,"protein kinase activity","MF"
"133","GO:0004672","Acerv_evm.TU.Segkk1411_pilon.4",2479,2277,2257,1057,1598,830,833,376,1402,550,617,1573,1365,0.84286377953194,0.320726243475121,3,216,"protein kinase activity","MF"
"134","GO:0004672","Acerv_evm.TU.Segkk1579_pilon.3",378,318,197,264,169,304,715,331,235,96,199,403,561,0.84286377953194,0.320726243475121,3,216,"protein kinase activity","MF"
"135","GO:0004672","Acerv_evm.TU.Segkk2335_pilon.20",43,64,46,44,76,35,45,24,57,40,33,62,70,0.84286377953194,0.320726243475121,3,216,"protein kinase activity","MF"
"136","GO:0004713","Acerv_evm.TU.Segkk1411_pilon.4",2479,2277,2257,1057,1598,830,833,376,1402,550,617,1573,1365,0.280275164994933,0.913999273042069,2,50,"protein tyrosine kinase activity","MF"
"137","GO:0004713","Acerv_evm.TU.Segkk2335_pilon.20",43,64,46,44,76,35,45,24,57,40,33,62,70,0.280275164994933,0.913999273042069,2,50,"protein tyrosine kinase activity","MF"
"138","GO:0004713","Acerv_evm.TU.Segkk2335_pilon.20",43,64,46,44,76,35,45,24,57,40,33,62,70,0.280275164994933,0.913999273042069,2,50,"protein tyrosine kinase activity","MF"
"139","GO:0004713","Acerv_evm.TU.Segkk1411_pilon.4",2479,2277,2257,1057,1598,830,833,376,1402,550,617,1573,1365,0.280275164994933,0.913999273042069,2,50,"protein tyrosine kinase activity","MF"
