"","gene_id","19_T33_Ac_WK","24_T12_Ac_FM","25_ctl1_Ac_GF_1","27_ctl2_Ac_YG_1","31_T22_Ac_UV","35_T43_Ac_MT","37_T13_Ac_ML","38_T23_Ac_IN","41_ctl3_Ac_RN_1","45_T41_Ac_SC_1","47_T31_Ac_JB","52_T11_Ac_II","53_T21_Ac_NH","54_T42_Ac_JQ","57_T32_Ac_NM","scaffold","start","stop","length","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"604","Acerv_evm.TU.Segkk1271_pilon.4",176,1,204,201,129,241,91,123,160,220,106,84,80,185,47,"Segkk1271_pilon",59647,62823,3176,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"619","Acerv_evm.TU.Segkk1279_pilon.11",682,0,1260,1339,387,697,448,569,1257,1403,423,560,308,662,303,"Segkk1279_pilon",94563,127971,33408,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"620","Acerv_evm.TU.Segkk1279_pilon.26",25,0,29,33,18,37,15,18,18,30,18,22,18,31,11,"Segkk1279_pilon",227603,234264,6661,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"621","Acerv_evm.TU.Segkk1279_pilon.5",328,0,677,560,250,453,220,259,478,700,177,206,194,435,116,"Segkk1279_pilon",25104,50042,24938,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"633","Acerv_evm.TU.Segkk1286_pilon.1",127,0,202,143,87,135,51,37,60,123,21,42,65,120,18,"Segkk1286_pilon",684,42142,41458,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"805","Acerv_evm.TU.Segkk1373_pilon.1",87,2,161,116,43,79,27,60,182,273,74,20,26,69,23,"Segkk1373_pilon",2509,4509,2000,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"808","Acerv_evm.TU.Segkk1375_pilon.13",125,0,220,241,98,176,86,98,173,237,82,79,60,166,52,"Segkk1375_pilon",144449,151317,6868,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"812","Acerv_evm.TU.Segkk1375_pilon.18",26,0,74,79,31,40,27,33,52,64,17,28,11,33,12,"Segkk1375_pilon",191989,194208,2219,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"817","Acerv_evm.TU.Segkk1375_pilon.4",353,0,454,708,261,472,155,197,428,571,205,157,164,401,83,"Segkk1375_pilon",31405,65450,34045,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"823","Acerv_evm.TU.Segkk138_pilon.4",36,0,50,46,29,46,21,36,65,96,20,9,18,39,11,"Segkk138_pilon",6932,8269,1337,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"827","Acerv_evm.TU.Segkk1380_pilon.25",82,1,119,70,35,51,53,15,78,50,20,37,14,53,31,"Segkk1380_pilon",169679,170992,1313,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"835","Acerv_evm.TU.Segkk1383_pilon.12",447,0,826,800,273,410,324,400,1026,1201,288,331,208,482,189,"Segkk1383_pilon",86233,91987,5754,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"839","Acerv_evm.TU.Segkk1386_pilon.10",77,0,137,158,44,87,38,0,13,10,10,17,34,66,22,"Segkk1386_pilon",81628,84187,2559,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"840","Acerv_evm.TU.Segkk1386_pilon.11",57,1,52,93,28,58,21,21,37,53,13,22,24,39,10,"Segkk1386_pilon",94879,97047,2168,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"841","Acerv_evm.TU.Segkk1386_pilon.12",37,0,35,29,25,42,16,19,21,33,24,14,16,27,7,"Segkk1386_pilon",103568,105709,2141,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"842","Acerv_evm.TU.Segkk1386_pilon.14",87,1,175,114,53,89,48,47,198,191,49,37,26,67,24,"Segkk1386_pilon",118427,120574,2147,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"843","Acerv_evm.TU.Segkk1386_pilon.15",55,0,92,89,45,76,23,25,32,38,19,26,28,50,15,"Segkk1386_pilon",129509,131116,1607,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"848","Acerv_evm.TU.Segkk1386_pilon.8",186,0,273,313,90,184,114,123,304,385,89,119,80,179,65,"Segkk1386_pilon",66466,68643,2177,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"850","Acerv_evm.TU.Segkk1387_pilon.3",542,0,1190,1200,468,753,417,594,1000,1513,466,488,356,761,253,"Segkk1387_pilon",18767,26588,7821,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"852","Acerv_evm.TU.Segkk1387_pilon.8",51,0,81,100,31,60,35,59,94,176,29,28,22,60,0,"Segkk1387_pilon",61779,72663,10884,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"858","Acerv_evm.TU.Segkk1389_pilon.9",155,5,281,244,100,197,80,93,150,322,55,46,85,164,37,"Segkk1389_pilon",53004,54920,1916,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"868","Acerv_evm.TU.Segkk1395_pilon.11",193,0,364,399,153,255,138,205,393,508,131,186,105,276,122,"Segkk1395_pilon",126506,132307,5801,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"873","Acerv_evm.TU.Segkk1396_pilon.1",523,0,1095,1150,455,782,370,535,1010,1395,409,334,326,687,195,"Segkk1396_pilon",1058,28055,26997,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"880","Acerv_evm.TU.Segkk1404_pilon.2",174,0,492,524,141,228,125,150,518,793,133,141,94,243,75,"Segkk1404_pilon",8729,11148,2419,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"882","Acerv_evm.TU.Segkk1404_pilon.5",92,0,204,160,69,118,56,45,105,163,25,25,43,102,29,"Segkk1404_pilon",52281,64460,12179,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"883","Acerv_evm.TU.Segkk1405_pilon.1",59,0,82,82,49,90,37,132,208,249,74,36,29,58,18,"Segkk1405_pilon",9095,25259,16164,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"884","Acerv_evm.TU.Segkk1407_pilon.1",33,0,71,71,25,39,31,21,63,77,24,25,10,33,10,"Segkk1407_pilon",887,4917,4030,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"889","Acerv_evm.TU.Segkk1410_pilon.1",6248,0,10304,9991,3665,6746,3126,2406,5696,8595,1604,3815,3067,6145,1796,"Segkk1410_pilon",1465,13662,12197,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"890","Acerv_evm.TU.Segkk1411_pilon.10",11063,0,20209,19753,6270,11393,7631,7274,18799,27290,5034,10716,4886,12003,4366,"Segkk1411_pilon",56589,69921,13332,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"891","Acerv_evm.TU.Segkk1411_pilon.11",349,0,143,178,131,272,160,193,419,795,109,428,103,241,105,"Segkk1411_pilon",83378,93574,10196,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"892","Acerv_evm.TU.Segkk1411_pilon.4",1402,0,2479,2277,830,1573,1057,833,2257,2273,550,1598,376,1365,617,"Segkk1411_pilon",20320,36783,16463,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"895","Acerv_evm.TU.Segkk1412_pilon.12",316,0,553,508,172,408,171,161,809,684,200,181,105,324,95,"Segkk1412_pilon",81990,85033,3043,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"897","Acerv_evm.TU.Segkk1415_pilon.11",57,5,143,175,60,114,56,64,159,171,50,53,37,68,28,"Segkk1415_pilon",95103,97760,2657,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"903","Acerv_evm.TU.Segkk142_pilon.2",26,69,38,29,16,41,6,10,21,31,3,7,12,19,5,"Segkk142_pilon",10827,13334,2507,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"904","Acerv_evm.TU.Segkk1420_pilon.1",964,0,1500,1102,629,1247,438,310,467,839,188,486,456,995,251,"Segkk1420_pilon",713,25526,24813,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"905","Acerv_evm.TU.Segkk1421_pilon.1",42,0,58,76,37,54,27,149,279,320,104,21,32,44,15,"Segkk1421_pilon",11,3133,3122,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"906","Acerv_evm.TU.Segkk1421_pilon.10",42,0,75,108,37,68,35,60,170,171,57,38,29,69,23,"Segkk1421_pilon",56938,69999,13061,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"908","Acerv_evm.TU.Segkk1421_pilon.4",300,0,517,589,236,367,194,411,708,1059,288,188,141,333,104,"Segkk1421_pilon",14722,23543,8821,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"910","Acerv_evm.TU.Segkk1421_pilon.6",100,0,148,123,61,102,54,137,331,415,137,95,44,113,40,"Segkk1421_pilon",34927,41973,7046,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"911","Acerv_evm.TU.Segkk1421_pilon.7",77,0,188,119,53,148,30,57,118,217,31,23,35,80,15,"Segkk1421_pilon",46155,50186,4031,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"918","Acerv_evm.TU.Segkk1424_pilon.18",158,0,256,259,105,165,91,120,198,290,75,67,71,151,51,"Segkk1424_pilon",155919,158090,2171,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"935","Acerv_evm.TU.Segkk143_pilon.1",309,0,612,548,209,333,194,98,408,782,151,115,81,268,142,"Segkk143_pilon",3400,12554,9154,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1253","Acerv_evm.TU.Segkk16_pilon.1",833,0,1494,1407,630,1085,513,583,949,1299,341,549,410,1028,274,"Segkk16_pilon",72,31224,31152,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1262","Acerv_evm.TU.Segkk16_pilon.4",5270,737,8902,10759,3165,5535,3914,5598,11221,13470,4077,5925,3113,6022,3198,"Segkk16_pilon",62714,68745,6031,"GO:0015935",0.0324665869580688,0.99956398874078,1,6,"small ribosomal subunit","CC"
"1322","Acerv_evm.TU.Segkk1621_pilon.4",17,0,31,36,14,15,12,8,19,44,10,23,10,18,0,"Segkk1621_pilon",31687,35566,3879,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1483","Acerv_evm.TU.Segkk17_pilon.12",494,1,1242,941,452,729,415,461,682,1106,298,274,269,833,250,"Segkk17_pilon",133064,134674,1610,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1514","Acerv_evm.TU.Segkk1711_pilon.1",419,2,1159,862,356,554,366,328,708,601,237,454,161,501,223,"Segkk1711_pilon",4217,25169,20952,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1516","Acerv_evm.TU.Segkk1713_pilon.2",35,0,148,35,42,87,22,19,55,96,10,21,17,143,12,"Segkk1713_pilon",5243,16340,11097,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1540","Acerv_evm.TU.Segkk1729_pilon.9",26,0,48,43,22,27,15,12,43,41,9,19,10,30,10,"Segkk1729_pilon",104747,109712,4965,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1541","Acerv_evm.TU.Segkk1730_pilon.2",144,0,246,228,98,171,76,109,331,387,92,70,60,153,44,"Segkk1730_pilon",2972,9761,6789,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1542","Acerv_evm.TU.Segkk1730_pilon.3",102,0,229,199,73,130,64,69,173,244,54,70,56,108,34,"Segkk1730_pilon",11766,33670,21904,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1548","Acerv_evm.TU.Segkk1732_pilon.11",456,0,972,733,366,652,279,360,739,1009,236,189,283,521,144,"Segkk1732_pilon",81723,99629,17906,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1551","Acerv_evm.TU.Segkk1732_pilon.22",25069,3898,40964,36473,14334,31495,14471,23997,50831,54137,14827,11981,11463,29940,8783,"Segkk1732_pilon",224606,225751,1145,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1557","Acerv_evm.TU.Segkk1732_pilon.44",1996,0,3605,4132,1246,2388,1472,1098,3185,4031,982,1803,860,2300,911,"Segkk1732_pilon",399669,413655,13986,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1562","Acerv_evm.TU.Segkk1732_pilon.59",116,0,278,134,87,154,100,373,278,509,159,43,47,300,93,"Segkk1732_pilon",513666,521328,7662,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1573","Acerv_evm.TU.Segkk1749_pilon.10",314,0,587,599,239,448,224,260,546,696,181,183,188,417,130,"Segkk1749_pilon",90472,120614,30142,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1577","Acerv_evm.TU.Segkk1749_pilon.4",364,0,588,574,203,444,165,314,589,880,175,114,204,359,87,"Segkk1749_pilon",19549,32441,12892,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1591","Acerv_evm.TU.Segkk1765_pilon.32",469,0,934,810,377,580,354,350,801,1151,295,331,279,694,222,"Segkk1765_pilon",140191,168382,28191,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1593","Acerv_evm.TU.Segkk1768_pilon.3",605,0,1115,815,399,652,310,224,742,1066,255,297,279,539,157,"Segkk1768_pilon",16149,32221,16072,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1598","Acerv_evm.TU.Segkk1771_pilon.5",1653,0,3864,3106,1227,2192,1157,1141,3493,5124,1099,986,736,1935,706,"Segkk1771_pilon",38806,51884,13078,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1605","Acerv_evm.TU.Segkk1774_pilon.8",309,3,717,285,147,182,90,506,3372,4131,472,29,41,307,36,"Segkk1774_pilon",100774,118807,18033,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1610","Acerv_evm.TU.Segkk1776_pilon.13",352,0,633,520,181,411,201,214,619,767,167,157,143,338,113,"Segkk1776_pilon",155516,166128,10612,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1619","Acerv_evm.TU.Segkk1777_pilon.14",89,70,137,325,113,173,46,120,180,178,84,38,50,68,23,"Segkk1777_pilon",89344,91979,2635,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1622","Acerv_evm.TU.Segkk1777_pilon.21",124,7,270,194,79,124,75,110,254,359,75,73,53,130,33,"Segkk1777_pilon",148331,151111,2780,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1629","Acerv_evm.TU.Segkk1777_pilon.40",190,0,403,529,143,335,103,182,441,562,128,161,85,211,76,"Segkk1777_pilon",304555,321969,17414,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1631","Acerv_evm.TU.Segkk1778_pilon.1",385,34,704,588,281,487,224,278,622,835,181,192,167,416,131,"Segkk1778_pilon",426,11083,10657,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1640","Acerv_evm.TU.Segkk1778_pilon.20",3826,561,5342,7427,1639,3266,2155,3533,8171,10585,2759,3310,1448,3429,1966,"Segkk1778_pilon",135870,140337,4467,"GO:0015935",0.0324665869580688,0.99956398874078,1,6,"small ribosomal subunit","CC"
"1657","Acerv_evm.TU.Segkk1782_pilon.18",114,0,248,193,93,111,80,37,61,52,29,100,66,143,59,"Segkk1782_pilon",238508,245553,7045,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1661","Acerv_evm.TU.Segkk1784_pilon.7",449,0,975,1007,334,555,375,383,1192,1390,325,541,215,647,273,"Segkk1784_pilon",62457,75608,13151,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1672","Acerv_evm.TU.Segkk1792_pilon.1",414,0,742,732,273,485,235,236,501,694,183,116,169,444,119,"Segkk1792_pilon",68,6892,6824,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1678","Acerv_evm.TU.Segkk1795_pilon.3",1456,0,2713,2242,991,1848,737,843,1806,2813,600,456,760,1504,414,"Segkk1795_pilon",8931,31037,22106,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1680","Acerv_evm.TU.Segkk1795_pilon.7",34,0,34,41,84,66,70,49,15,22,13,33,112,302,80,"Segkk1795_pilon",66551,67738,1187,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1681","Acerv_evm.TU.Segkk1795_pilon.9",37,0,161,121,35,62,33,22,108,129,34,24,29,71,25,"Segkk1795_pilon",79172,80560,1388,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1682","Acerv_evm.TU.Segkk1796_pilon.1",1527,112,3431,2708,1360,2249,1190,1391,2464,3278,958,872,897,2166,686,"Segkk1796_pilon",17,22238,22221,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1694","Acerv_evm.TU.Segkk1796_pilon.5",234,0,489,208,107,151,194,28,112,80,26,185,57,198,128,"Segkk1796_pilon",55054,59191,4137,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1703","Acerv_evm.TU.Segkk18_pilon.13",185,0,327,439,124,182,163,180,329,434,127,250,77,218,130,"Segkk18_pilon",187030,189418,2388,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1704","Acerv_evm.TU.Segkk18_pilon.14",237,0,406,410,167,277,100,188,442,275,163,303,125,379,137,"Segkk18_pilon",191393,196225,4832,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1705","Acerv_evm.TU.Segkk18_pilon.15",144,0,281,346,119,239,106,156,310,388,113,151,99,306,104,"Segkk18_pilon",198094,199887,1793,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1707","Acerv_evm.TU.Segkk18_pilon.17",196,0,218,231,85,182,109,123,259,398,109,189,68,205,86,"Segkk18_pilon",207738,210260,2522,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1744","Acerv_evm.TU.Segkk1825_pilon.11",3124,0,7507,2249,2352,2881,1214,1570,5377,5559,759,629,1307,3904,705,"Segkk1825_pilon",70389,78354,7965,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1762","Acerv_evm.TU.Segkk1839_pilon.11",999,0,2220,1536,632,1077,705,740,1476,2015,514,859,444,1292,380,"Segkk1839_pilon",120803,154723,33920,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1763","Acerv_evm.TU.Segkk1839_pilon.2",159,0,387,160,95,111,138,28,127,68,29,152,35,175,84,"Segkk1839_pilon",8119,9747,1628,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1775","Acerv_evm.TU.Segkk1848_pilon.2",195,0,374,339,121,241,117,225,481,700,165,105,80,204,59,"Segkk1848_pilon",7222,25217,17995,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1776","Acerv_evm.TU.Segkk1848_pilon.3",320,0,441,608,286,486,175,374,766,1050,273,185,191,384,102,"Segkk1848_pilon",35584,47589,12005,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1940","Acerv_evm.TU.Segkk19_pilon.13",830,0,1642,1223,651,1055,527,897,1305,1643,499,333,480,1006,307,"Segkk19_pilon",130856,147744,16888,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1944","Acerv_evm.TU.Segkk19_pilon.25",41,0,64,75,40,65,26,24,40,57,18,16,17,34,13,"Segkk19_pilon",350315,351510,1195,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2156","Acerv_evm.TU.Segkk20_pilon.1",199,0,849,693,131,240,115,144,644,981,123,148,88,234,55,"Segkk20_pilon",16,2698,2682,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2190","Acerv_evm.TU.Segkk2011_pilon.18",92,1,180,182,60,91,64,108,265,265,78,85,38,97,51,"Segkk2011_pilon",158150,159244,1094,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2200","Acerv_evm.TU.Segkk2014_pilon.1",92,0,81,147,65,100,51,55,100,110,48,76,41,86,31,"Segkk2014_pilon",524,6404,5880,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2203","Acerv_evm.TU.Segkk2015_pilon.11",61,7,140,123,58,67,53,61,127,139,38,37,30,91,30,"Segkk2015_pilon",72738,77068,4330,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2205","Acerv_evm.TU.Segkk2015_pilon.2",88,0,173,182,69,108,59,67,132,247,49,61,42,117,36,"Segkk2015_pilon",6392,14305,7913,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2207","Acerv_evm.TU.Segkk2018_pilon.11",199,0,383,318,137,222,117,124,240,305,87,124,74,224,64,"Segkk2018_pilon",70189,80463,10274,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2209","Acerv_evm.TU.Segkk2018_pilon.15",35,0,72,97,28,41,27,27,65,101,17,20,13,34,13,"Segkk2018_pilon",100225,105187,4962,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2210","Acerv_evm.TU.Segkk2018_pilon.18",23,0,37,110,8,90,8,14,46,73,7,0,10,22,8,"Segkk2018_pilon",119716,125743,6027,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2218","Acerv_evm.TU.Segkk2018_pilon.8",39,0,58,61,28,37,25,21,61,54,14,13,7,40,15,"Segkk2018_pilon",41054,41872,818,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2223","Acerv_evm.TU.Segkk2025_pilon.4",37,0,123,91,31,73,40,364,797,941,252,61,25,64,24,"Segkk2025_pilon",14391,32829,18438,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2224","Acerv_evm.TU.Segkk2026_pilon.1",791,9,1659,1611,469,804,600,670,1634,1990,466,747,335,887,401,"Segkk2026_pilon",671,7238,6567,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2234","Acerv_evm.TU.Segkk2043_pilon.1",182,0,98,76,108,259,79,261,503,694,196,73,87,178,47,"Segkk2043_pilon",1510,14120,12610,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2245","Acerv_evm.TU.Segkk2055_pilon.1",191,0,393,298,147,247,112,121,278,347,93,72,109,257,66,"Segkk2055_pilon",1356,18328,16972,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2246","Acerv_evm.TU.Segkk2055_pilon.27",60,0,124,107,44,79,35,53,165,193,56,36,22,75,28,"Segkk2055_pilon",304928,307794,2866,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2247","Acerv_evm.TU.Segkk2055_pilon.29",309,0,589,548,223,328,208,277,604,713,204,153,141,329,123,"Segkk2055_pilon",344566,360344,15778,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2248","Acerv_evm.TU.Segkk2055_pilon.31",144,0,207,322,92,183,87,69,189,220,54,142,57,129,53,"Segkk2055_pilon",370776,386730,15954,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
