"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","X6_1","X7_1","X8_1","X9_1","X21_1","X22_1","X23_1","X25_1","X26_1","X27_1","X29_1","X34_1","scaffold","gene.start","gene.stop","length","GO_terms"
"20","plut2.m8.1212",180.48500445574,0.782628118801629,0.21896843848903,3.5741594734021,0.000351354747603249,0.0495281256598525,"CvsMid",682,223,85,97,162,170,240,461,413,121,75,53,"Sc0000008",1428186,1439338,11152,"GO:0006206,GO:0006213,GO:0016763,GO:0016757"
"23","plut2.m8.12181",12.8314933703619,-1.97814777594707,0.412815981664605,-4.79183913367538,1.65259387104823e-06,0.000725488709390174,"CvsMid",12,16,14,3,19,11,13,10,10,12,15,8,"Sc0000157",263528,265792,2264,"GO:0005871,GO:0005515"
"25","plut2.m8.1221",20.0640908482059,-2.31420775665462,0.406290721600647,-5.69594045253466,1.22693698166252e-08,9.92204564381295e-06,"CvsMid",18,43,15,3,32,18,19,10,12,14,25,14,"Sc0000008",1604372,1614914,10542,"GO:0003824"
"26","plut2.m8.12888",20.0083631487592,-1.50433695918372,0.379979944060621,-3.95899042225166,7.52672548159064e-05,0.0148266842339282,"CvsMid",25,35,22,6,23,12,23,20,16,18,18,12,"Sc0000170",779881,783635,3754,"GO:0005515"
"27","plut2.m8.13229",131.706233086872,-1.43407717601486,0.326347457455119,-4.39432617982654,1.11116870434526e-05,0.00294363916245948,"CvsMid",166,120,89,62,320,92,90,152,160,81,260,42,"Sc0000177",124453,153834,29381,"GO:0004386,GO:0003700,GO:0005634,GO:0006355,GO:0008270"
"29","plut2.m8.14149",516.405313266255,-5.09862717747318,1.11512111496841,-4.57226314615847,4.82484472131322e-06,0.00154445289881203,"CvsMid",184,75,21,17,2779,52,94,33,114,19,2691,30,"Sc0000189",439699,457632,17933,"GO:0005515,GO:0005164,GO:0006955,GO:0016020"
"31","plut2.m8.15173",82.5442553157434,-0.989006370420544,0.272134784038856,-3.63425195317674,0.000278788324466545,0.0415881806352278,"CvsMid",148,110,61,37,100,46,96,143,77,50,95,60,NA,NA,NA,NA,"NA"
"32","plut2.m8.15873",44.4601417990208,-1.43626464561514,0.382408919638426,-3.75583458401846,0.000172764780578259,0.0285291721157049,"CvsMid",71,38,20,20,91,58,27,54,36,26,92,18,NA,NA,NA,NA,"NA"
"33","plut2.m8.15977",22.1671064438411,-1.48685236205747,0.363997212748262,-4.08479051482673,4.41165992871131e-05,0.00954720490206327,"CvsMid",41,29,15,6,38,18,35,13,22,13,25,14,"Sc0000232",112266,117553,5287,"GO:0005515,GO:0005515,GO:0007165"
"35","plut2.m8.16218",39.9645233316273,1.0486238837883,0.251568940469459,4.16833605067238,3.06831339317454e-05,0.0068325558385691,"CvsMid",178,29,14,40,41,30,32,111,101,32,22,10,NA,NA,NA,NA,"NA"
"36","plut2.m8.16250",34.9566607150289,-1.01404120787735,0.281871235633685,-3.59753348225707,0.000321249152404806,0.0461307778196247,"CvsMid",84,22,34,16,49,30,18,45,46,29,50,20,NA,NA,NA,NA,"NA"
"37","plut2.m8.16389",362.46010793206,-1.7303405489175,0.340496830541369,-5.08181102939011,3.73853239837047e-07,0.000191475167669874,"CvsMid",692,475,190,41,523,492,383,241,306,251,546,238,NA,NA,NA,NA,"NA"
"38","plut2.m8.1654",36.4791067704145,1.23771389576292,0.310038530716567,3.9921292779394,6.54826553880596e-05,0.0130667662342537,"CvsMid",204,42,12,28,25,29,29,84,79,36,16,11,NA,NA,NA,NA,"NA"
"39","plut2.m8.16587",29.1260183750416,-1.33848037141049,0.304025394439257,-4.40252819630142,1.06996679049346e-05,0.00288421749753193,"CvsMid",39,22,26,15,70,21,20,39,40,15,43,13,"Sc0000247",394922,397816,2894,"GO:0005515"
"40","plut2.m8.17513",17.0304063565533,-2.37741193763595,0.464531159371591,-5.11787398901738,3.08998927251742e-07,0.000163716155766311,"CvsMid",17,22,11,0,40,11,14,21,6,16,26,13,NA,NA,NA,NA,"NA"
"41","plut2.m8.18280",29.1668551619335,-2.14399969832101,0.298115624719547,-7.19183940908157,6.39241926891844e-13,8.92904746063017e-10,"CvsMid",31,32,25,5,55,26,39,25,13,28,36,17,NA,NA,NA,NA,"NA"
"42","plut2.m8.18281",32.8019205035302,-1.19425295877078,0.269761781005989,-4.42706507318121,9.55239215710397e-06,0.00266859100898005,"CvsMid",59,33,26,7,55,27,41,46,35,29,37,17,NA,NA,NA,NA,"NA"
"43","plut2.m8.18568",41.1090803028079,-1.50746326053598,0.352806860751429,-4.2727719560932,1.93057872285424e-05,0.00478441001236376,"CvsMid",50,53,49,25,54,22,49,34,25,36,40,23,"Sc0000307",347194,350001,2807,"GO:0005515"
"44","plut2.m8.19607",31.6615970599734,-1.21829274630847,0.328084927512799,-3.71334567407382,0.000204537210474117,0.0320685126421919,"CvsMid",67,27,23,8,77,36,28,50,30,21,40,11,"Sc0000344",139378,151705,12327,"GO:0016491,GO:0003824,GO:0010181,GO:0016491,GO:0055114,GO:0016491,GO:0055114"
"48","plut2.m8.19775",40.5911666563377,1.43569505205321,0.307853666073264,4.66356327785792,3.10780563117281e-06,0.00114176149953275,"CvsMid",202,12,20,43,23,34,33,148,117,21,19,12,NA,NA,NA,NA,"NA"
"49","plut2.m8.20146",86.0079163570963,-2.32284779757449,0.358784719280917,-6.47421050213616,9.53089541958316e-11,9.76281387479302e-08,"CvsMid",93,99,66,10,84,132,124,21,57,71,96,73,NA,NA,NA,NA,"NA"
"50","plut2.m8.20414",44.1136490308591,1.24897137094662,0.33808890666566,3.69420985522527,0.00022057158788568,0.0342323085621709,"CvsMid",179,62,13,21,37,50,45,139,127,22,14,13,NA,NA,NA,NA,"NA"
"51","plut2.m8.20774",21.031404190259,-1.45629209085948,0.326101044644655,-4.46576947475395,7.97814804535986e-06,0.00235738932147989,"CvsMid",27,21,15,9,38,23,25,25,13,20,22,11,"Sc0000389",406715,410648,3933,"GO:0004842"
"52","plut2.m8.20873",27.3196248908611,-1.44873509448193,0.380718990935103,-3.80526091152852,0.000141654789347942,0.0241836204259014,"CvsMid",35,52,23,7,26,20,37,24,28,15,28,21,NA,NA,NA,NA,"NA"
"53","plut2.m8.21171",204.295190377867,-3.68592259364419,0.494616900430928,-7.4520757184659,9.18829625309887e-14,1.7647271491108e-10,"CvsMid",84,85,204,31,83,196,258,54,37,150,505,229,NA,NA,NA,NA,"NA"
"54","plut2.m8.21416",22.8506354947052,-1.9862305559772,0.374181387366415,-5.30820244683149,1.10711637000859e-07,6.3003122315489e-05,"CvsMid",31,27,19,0,34,18,28,24,13,23,30,17,"Sc0000418",135115,139758,4643,"GO:0005515"
"55","plut2.m8.21554",86.26543538791,-0.685176499343504,0.191434534091754,-3.57916873564256,0.000344688868493992,0.0490383746704648,"CvsMid",218,83,61,54,155,66,71,120,123,56,97,40,NA,NA,NA,NA,"NA"
"56","plut2.m8.21690",22.1008135708292,-1.56615089374322,0.41972965359084,-3.73133249067489,0.000190469640125348,0.0301707837167626,"CvsMid",15,26,16,3,27,35,36,21,27,13,27,11,"Sc0000431",72070,72831,761,"GO:0016491"
"57","plut2.m8.21703",36.0511995741304,-1.97124402632247,0.527141312151018,-3.73949827282316,0.000184387915007904,0.0298223190957521,"CvsMid",44,7,22,12,159,15,10,66,22,17,87,9,"Sc0000431",149496,154660,5164,"GO:0005515"
"58","plut2.m8.21745",204.031640027952,1.4652266808788,0.360637123453123,4.06288367334223,4.84701876387873e-05,0.00992992577426623,"CvsMid",497,244,66,83,99,316,164,678,566,271,39,47,NA,NA,NA,NA,"NA"
"59","plut2.m8.21905",36.5947694584531,1.36251190883715,0.289448815522775,4.70726372252143,2.5106401808545e-06,0.000989127855867419,"CvsMid",161,33,14,35,29,42,39,107,87,20,9,10,"Sc0000442",62700,77093,14393,"GO:0005515"
"60","plut2.m8.22162",4010.72107602305,-2.98605902513445,0.267803709176373,-11.150177995361,7.14632718037859e-29,2.74508292816293e-25,"CvsMid",1978,4308,5062,699,5596,3863,4926,1468,918,5720,4369,2125,NA,NA,NA,NA,"NA"
"61","plut2.m8.22320",117.52239149028,-2.21090638059188,0.52690292798542,-4.19604117412127,2.71620889237242e-05,0.00636245091340801,"CvsMid",195,71,25,25,472,55,67,95,99,36,348,36,"Sc0000463",187679,206893,19214,"GO:0016021,GO:0055085"
"62","plut2.m8.22430",46.510839179695,-1.89787418854861,0.452451532443975,-4.19464639294511,2.73297598623449e-05,0.00636245091340801,"CvsMid",55,28,26,21,191,28,22,66,26,22,93,13,"Sc0000469",287050,302815,15765,"GO:0005509"
"63","plut2.m8.22577",35.1742184181123,-1.53693646658724,0.333757733163937,-4.60494638436533,4.1257214171778e-06,0.00144072067215766,"CvsMid",33,52,34,11,47,24,39,54,23,28,40,22,NA,NA,NA,NA,"NA"
"64","plut2.m8.23510",379.97008273436,-1.73901400716237,0.320290152873214,-5.42949569807959,5.65135152505655e-08,3.53956270116827e-05,"CvsMid",365,273,431,110,541,405,479,528,149,433,410,185,"Sc0000532",109605,114623,5018,"GO:0008080"
"65","plut2.m8.24633",1485.67812011291,-5.05325759810502,0.280013336524623,-18.0464890023574,8.40678662831793e-73,1.29170276544105e-68,"CvsMid",210,2250,1107,58,2882,1299,2172,109,166,985,2992,936,"Sc0000612",164927,177636,12709,"GO:0008061,GO:0005975,GO:0004553,GO:0005975,GO:0005576,GO:0008061"
"69","plut2.m8.2498",15.1685646435759,-1.63327050153487,0.429840491804769,-3.79971299278313,0.000144863761015083,0.0244596888790852,"CvsMid",16,18,10,5,22,8,14,25,9,12,27,11,NA,NA,NA,NA,"NA"
"70","plut2.m8.24994",16.796216099303,-2.15510195534054,0.463008768524777,-4.6545597013358,3.24673755451905e-06,0.00116014238430663,"CvsMid",26,9,10,3,48,11,17,12,14,10,41,6,"Sc0000649",130164,134753,4589,"GO:0016021"
"71","plut2.m8.25740",142.434165639693,-1.94377470969272,0.436839430867965,-4.44963199826214,8.6017550259587e-06,0.00244751788840473,"CvsMid",85,106,146,35,171,316,113,170,43,157,179,49,NA,NA,NA,NA,"NA"
"72","plut2.m8.25842",19.0598518398781,1.39845897117292,0.361925412614889,3.86394246557361,0.000111571511575108,0.020168191474724,"CvsMid",116,14,9,19,14,7,16,70,46,9,8,6,NA,NA,NA,NA,"NA"
"73","plut2.m8.25894",92.226028729373,-1.52144772071819,0.230203545744185,-6.60914112247823,3.86556095305946e-11,4.24245314598276e-08,"CvsMid",118,145,53,28,125,117,113,87,64,60,103,63,"Sc0000784",40559,65413,24854,"GO:0005515"
"74","plut2.m8.25928",102.382754484371,1.24586415864237,0.326739964396726,3.81301430617054,0.000137282162801876,0.0237004542859644,"CvsMid",429,87,71,159,66,30,70,341,244,43,53,22,"Sc0000793",33848,37921,4073,"GO:0005515"
"75","plut2.m8.26038",31.414813683251,-1.24220812864111,0.298003294892177,-4.16843756405634,3.0669474499406e-05,0.0068325558385691,"CvsMid",48,40,29,18,39,23,34,36,21,27,33,19,"Sc0000821",35673,45253,9580,"GO:0005515"
"76","plut2.m8.26060",18.3461972252254,-2.32211400403344,0.498019968067773,-4.66269256841814,3.12098815362026e-06,0.00114176149953275,"CvsMid",13,15,7,0,43,30,17,17,10,24,18,14,NA,NA,NA,NA,"NA"
"77","plut2.m8.26344",36.0054465395622,-1.33086375203493,0.309814204272216,-4.29568345699727,1.74155941907247e-05,0.00438673122525385,"CvsMid",71,48,20,10,72,22,39,43,37,22,54,20,NA,NA,NA,NA,"NA"
"78","plut2.m8.26404",105.829213272988,-3.01339092604641,0.773137527292708,-3.89761306322614,9.71454711062658e-05,0.0179836164282864,"CvsMid",41,47,134,22,19,170,226,11,35,106,104,92,NA,NA,NA,NA,"NA"
"79","plut2.m8.27437",24.6862553251951,-1.14243183143384,0.315199160389196,-3.62447612494655,0.000289547765047404,0.0423704896186034,"CvsMid",46,22,19,15,37,26,27,33,15,15,26,17,"xfSc0000020",301115,307366,6251,"GO:0004930,GO:0007186,GO:0016021,GO:0016021"
"81","plut2.m8.27535",19.432229375657,-2.31183727014384,0.368907319742879,-6.26671563945966,3.68742628558352e-10,3.54108155487442e-07,"CvsMid",19,22,19,3,27,16,23,9,14,16,23,18,"xfSc0000023",486392,487294,902,"GO:0005524,GO:0016887"
"82","plut2.m8.27604",20.8550926513326,-1.87746429328725,0.489011984124167,-3.83930119146227,0.00012338499335659,0.0215433002605,"CvsMid",26,23,9,0,59,30,18,20,19,22,27,7,NA,NA,NA,NA,"NA"
"83","plut2.m8.28609",63.4648889326104,0.912398144020656,0.237491149283108,3.84181956580203,0.000122125601263184,0.0215433002605,"CvsMid",272,68,26,55,71,35,54,177,154,49,32,17,"xfSc0000060",245592,255311,9719,"GO:0003700,GO:0005737,GO:0006355,GO:0003700,GO:0006355,GO:0003677,GO:0003700,GO:0006355"
"86","plut2.m8.28828",33.4123038761349,-1.19614504590759,0.282139067616218,-4.23955837103233,2.23959954203999e-05,0.00546213443864199,"CvsMid",51,40,33,16,44,32,44,44,23,24,33,16,"xfSc0000066",100984,103701,2717,"GO:0005515"
"87","plut2.m8.29528",18.1010511638835,-2.44351120180105,0.483987248866066,-5.04870987309264,4.44803641133188e-07,0.000213575248312857,"CvsMid",10,18,27,2,32,9,25,20,7,21,19,8,"xfSc0000106",181155,193591,12436,"GO:0005515"
"88","plut2.m8.29610",70.5692606956751,-2.12702009539128,0.362200496667152,-5.87249359115574,4.29288308554533e-09,3.66445270052244e-06,"CvsMid",99,51,39,20,243,49,67,57,35,60,114,29,"xfSc0000113",183846,193075,9229,"GO:0016491,GO:0055114,GO:0016491,GO:0016620,GO:0055114"
"90","plut2.m8.29685",11.6068587444491,-1.89068489096608,0.479124767869944,-3.9461222164981,7.94270826372212e-05,0.0152549640590113,"CvsMid",11,12,12,3,11,21,12,9,6,10,11,8,NA,NA,NA,NA,"NA"
"91","plut2.m8.30338",12.493679396992,-1.77154231800669,0.45916465582342,-3.8581852839474,0.000114232038153622,0.0204090147236093,"CvsMid",12,17,8,0,20,14,19,15,7,15,10,8,"xfSc0000187",53032,58910,5878,"GO:0005515"
"92","plut2.m8.30462",19.8793347624186,-1.91799413300881,0.429309071155084,-4.46763011051298,7.90909074116338e-06,0.00235738932147989,"CvsMid",30,27,24,0,35,10,17,27,14,14,30,11,NA,NA,NA,NA,"NA"
"93","plut2.m8.30846",16.9241854729214,-1.85364316789866,0.442280925094013,-4.19109905656601,2.77606417722723e-05,0.00636630240046214,"CvsMid",15,27,7,0,25,33,23,16,9,15,14,11,NA,NA,NA,NA,"NA"
"94","plut2.m8.30977",22.6255255656565,-1.95696825997082,0.360656827840539,-5.42612286501914,5.75913228305934e-08,3.53956270116827e-05,"CvsMid",21,23,21,12,52,16,20,22,12,15,36,10,"xfSc0000311",28720,36896,8176,"GO:0005515"
"95","plut2.m8.31556",23.3130682486971,-2.45631977126738,0.397147408323892,-6.18490696347221,6.21391068268856e-10,5.61627868467704e-07,"CvsMid",16,36,18,0,40,41,29,17,11,15,24,14,NA,NA,NA,NA,"NA"
"96","plut2.m8.31969",49.3260032137811,-2.36086623651034,0.41529448857511,-5.68480030787443,1.30965598310969e-08,1.00614320902402e-05,"CvsMid",38,76,30,0,106,101,48,34,23,50,35,24,"xfSc0002283",4215,5813,1598,"GO:0006508,GO:0008234"
"97","plut2.m8.32388",33.6459095547313,1.58303492382942,0.290423261191668,5.45078557872359,5.01478040230815e-08,3.35009134267238e-05,"CvsMid",149,24,8,49,22,22,26,111,98,13,18,10,NA,NA,NA,NA,"NA"
"98","plut2.m8.32471",14.3651277636735,-2.01504423418898,0.424516825401981,-4.74667695981403,2.06785813546208e-06,0.000836122111878284,"CvsMid",18,19,11,0,21,12,20,10,10,16,17,10,NA,NA,NA,NA,"NA"
"99","plut2.m8.32952",182.362121361266,1.67439252635134,0.384205510412585,4.35806484022903,1.31217512809566e-05,0.00341721539715082,"CvsMid",527,232,56,71,94,218,145,876,370,246,34,34,NA,NA,NA,NA,"NA"
"100","plut2.m8.33156",20.0145310721413,-1.91008497471109,0.357766567266652,-5.33891411180256,9.35049243998891e-08,5.52578139770883e-05,"CvsMid",25,31,12,3,38,25,26,16,11,14,22,12,NA,NA,NA,NA,"NA"
"101","plut2.m8.33216",102.510297320754,1.02891762126669,0.228949957733909,4.49407211711533,6.98739472686237e-06,0.00214722639956481,"CvsMid",429,74,56,113,68,69,105,265,228,80,42,37,"xpSc0007203",3599,9342,5743,"GO:0005509"
"102","plut2.m8.33367",22.1476384211051,-2.59524466612575,0.390301881754144,-6.64932655323585,2.94437090747496e-11,3.4800199225656e-08,"CvsMid",25,22,22,5,55,18,23,10,9,16,42,7,"xpSc0007289",9271,12051,2780,"GO:0005515"
"103","plut2.m8.33379",12.2600436934541,-2.18585572465388,0.491131808838701,-4.45064987711224,8.56108205621631e-06,0.00244751788840473,"CvsMid",14,16,19,0,18,7,15,12,7,11,12,7,"xpSc0007296",23052,36280,13228,"GO:0005515"
"104","plut2.m8.33396",28.5456619321488,-2.11377612095931,0.460769267264579,-4.58749372220078,4.48598913466195e-06,0.00149841789248002,"CvsMid",31,54,26,12,37,12,41,9,12,21,27,24,"xpSc0007307",21628,23496,1868,"GO:0005515"
"105","plut2.m8.3794",218.662426026332,-2.53113478392278,0.192526428988104,-13.1469471346148,1.77184962144293e-39,1.36122347167353e-35,"CvsMid",198,269,185,30,405,180,265,127,84,245,270,144,"Sc0000032",788493,791955,3462,"GO:0003924,GO:0005874,GO:0007017,GO:0005525,GO:0005874,GO:0007017,GO:0005200,GO:0005525,GO:0005874,GO:0007017"
"109","plut2.m8.4130",16.5405830411709,-1.79526213314681,0.355562845883362,-5.04907122308196,4.43963207117756e-07,0.000213575248312857,"CvsMid",26,17,18,5,29,14,12,14,11,15,21,10,NA,NA,NA,NA,"NA"
"110","plut2.m8.4590",36.5680267069889,-3.27457139018854,0.35346645038228,-9.26416463754066,1.96610280600287e-20,6.04183392284681e-17,"CvsMid",16,71,31,5,69,37,39,8,10,40,35,23,NA,NA,NA,NA,"NA"
"111","plut2.m8.4878",31.2458108897941,-1.76373965521963,0.417008212829382,-4.22950819901779,2.34202743286118e-05,0.00562269554779876,"CvsMid",32,44,15,0,65,37,36,43,26,24,35,21,NA,NA,NA,NA,"NA"
"112","plut2.m8.5234",11.870116336603,-2.23776820367415,0.506064975511437,-4.42189898918144,9.78371959678466e-06,0.00268440806436779,"CvsMid",14,13,14,0,10,9,16,8,9,8,17,11,"Sc0000048",6882,26459,19577,"GO:0005515,GO:0007165"
"113","plut2.m8.5539",74.8659165801011,-3.0363585191242,0.730361960802906,-4.15733387290085,3.21983257691929e-05,0.00706753250633785,"CvsMid",69,9,20,17,383,27,20,49,28,24,260,18,"Sc0000051",141381,144809,3428,"GO:0005471,GO:0005743,GO:0140021,GO:1990544,GO:0005347,GO:0055085"
"115","plut2.m8.5800",29.1594626419956,-1.83425680584024,0.47140563512761,-3.89103707965585,9.98166762319939e-05,0.0182581336941022,"CvsMid",12,45,30,16,36,20,40,32,9,22,30,19,"Sc0000053",911299,913161,1862,"GO:0000723,GO:0003678,GO:0006281"
"116","plut2.m8.5801",27.6906394287779,-1.31222554606114,0.346926219690576,-3.78243404961295,0.000155302248037498,0.0259371634901756,"CvsMid",30,43,25,13,31,20,30,38,24,16,34,18,NA,NA,NA,NA,"NA"
"117","plut2.m8.5923",37.2239435573283,2.27877184101927,0.315977017812146,7.21182779936875,5.5205761717914e-13,8.48236528795748e-10,"CvsMid",179,12,7,66,20,16,10,191,133,10,16,8,NA,NA,NA,NA,"NA"
"118","plut2.m8.6590",52.1734253734,-1.00164909995006,0.256984752950549,-3.89769855390138,9.71111928632606e-05,0.0179836164282864,"CvsMid",103,80,32,19,86,34,54,73,56,39,54,32,NA,NA,NA,NA,"NA"
"119","plut2.m8.6795",15.4437726974785,-1.41919536066537,0.384432715066013,-3.69166125838606,0.000222794068090927,0.0342323085621709,"CvsMid",16,20,17,6,23,13,16,19,14,15,16,6,NA,NA,NA,NA,"NA"
"120","plut2.m8.7118",26.0002447327476,-1.69127726040927,0.327364147394087,-5.16634846507268,2.38711564997496e-07,0.000130992971292376,"CvsMid",25,41,20,3,40,32,35,23,17,35,20,10,"Sc0000070",740054,741022,968,"GO:0005525"
"121","plut2.m8.7161",17.2135161697162,-1.27413131781503,0.350967098072982,-3.63034405450188,0.000283043674817206,0.0418169813804459,"CvsMid",40,16,14,5,35,16,20,20,15,11,21,8,NA,NA,NA,NA,"NA"
"122","plut2.m8.7220",25.7778299114225,-3.29101729956359,0.41513142053559,-7.92765167068689,2.23328677189027e-15,5.719075208349e-12,"CvsMid",12,40,20,0,34,43,31,7,6,32,20,20,"Sc0000072",160526,162000,1474,"GO:0005576,GO:0008061,GO:0008061"
"124","plut2.m8.7375",190.343117460166,-1.51444971556365,0.214397574619675,-7.06374462607689,1.62074486063686e-12,2.07522873197378e-09,"CvsMid",247,198,144,92,426,152,180,215,150,121,261,99,NA,NA,NA,NA,"NA"
"125","plut2.m8.7539",14.8145626607563,-2.14293231439414,0.542754713644965,-3.9482518723843,7.87239541889111e-05,0.0152549640590113,"CvsMid",12,9,17,8,18,22,13,12,1,15,19,9,"Sc0000076",1224530,1225402,872,"GO:0005515"
"126","plut2.m8.7555",203.555668283883,-2.51384159215156,0.348453803918732,-7.21427507428747,5.4222050579449e-13,8.48236528795748e-10,"CvsMid",182,286,200,47,166,131,277,99,76,155,221,236,"Sc0000077",115361,124973,9612,"GO:0005525,GO:0005874,GO:0007017,GO:0005874,GO:0007017,GO:0005200,GO:0005525,GO:0005874,GO:0007017,GO:0003924"
"130","plut2.m8.8087",40.5335982667983,-1.78186199555746,0.316435705917795,-5.63103961479099,1.7912657362143e-08,1.25103627440603e-05,"CvsMid",36,51,19,10,67,78,43,27,29,37,37,26,"Sc0000085",347367,347714,347,"GO:0003924,GO:0005525"
"131","plut2.m8.8613",33.1178269788825,-1.45219036134829,0.402946979468069,-3.60392417698558,0.000313448532394654,0.0454352518890929,"CvsMid",71,22,17,8,101,13,16,44,49,18,72,14,NA,NA,NA,NA,"NA"
"132","plut2.m8.92",731.37953358112,-0.653324509577531,0.142026471602652,-4.60001929362395,4.22451811479709e-06,0.00144243824075238,"CvsMid",1483,721,594,395,848,711,695,1186,886,662,632,419,"Sc0000000",1498563,1506064,7501,"GO:0005525,GO:0005874,GO:0007017,GO:0005874,GO:0007017,GO:0003924,GO:0005200,GO:0005525,GO:0005874,GO:0007017"
"136","plut2.m8.9273",17.9391673187969,-1.62817365563237,0.374927738643645,-4.34263322719873,1.40785058509795e-05,0.00360527070667166,"CvsMid",22,23,23,8,30,16,13,23,10,12,19,9,"Sc0000105",285775,289287,3512,"GO:0005515,GO:0005871"
"138","plut2.m8.9304",67.0216420727377,-3.02294056750677,0.741267808341628,-4.07806805244885,4.54114759167632e-05,0.00969093510362592,"CvsMid",66,24,17,7,287,62,40,37,34,19,220,13,"Sc0000105",988099,990161,2062,"GO:0005509,GO:0003824"
"140","plut2.m8.9356",49.4245742863856,1.5339339163122,0.328269061130526,4.67279466127416,2.97128789998157e-06,0.00114134596458042,"CvsMid",236,52,22,43,13,41,68,124,116,37,14,16,"Sc0000107",154995,161258,6263,"GO:0005201"
"141","plut2.m8.9532",14.4367526051344,-1.41075648062952,0.377611233618333,-3.73600241473598,0.000186968872830259,0.029924757614968,"CvsMid",23,15,9,5,26,11,18,12,17,11,19,9,NA,NA,NA,NA,"NA"
"142","plut2.m8.9965",42.9706994872084,-1.21600141503963,0.299661761945876,-4.0579131856645,4.95131656827424e-05,0.0100101288252018,"CvsMid",64,53,20,12,76,67,36,50,46,35,52,21,"Sc0000117",474130,485427,11297,"GO:0016021,GO:0016192"
