"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","X19_T33_Ac_WK","X24_T12_Ac_FM","X25_ctl1_Ac_GF_1","X27_ctl2_Ac_YG_1","X31_T22_Ac_UV","X35_T43_Ac_MT","X37_T13_Ac_ML","X38_T23_Ac_IN","X41_ctl3_Ac_RN_1","X45_T41_Ac_SC_1","X47_T31_Ac_JB","X52_T11_Ac_II","X53_T21_Ac_NH","X54_T42_Ac_JQ","X57_T32_Ac_NM","GO_terms","scaffold","start","stop","length"
"11","Acerv_evm.TU.Segkk2165_pilon.11",31.722366003557,2.27871875239319,0.551081027229003,4.1349976497127,3.54958268136869e-05,0.0168474403266225,"CvsT1",37,0,266,215,31,74,13,12,82,83,11,15,12,37,5,"NA",NA,NA,NA,NA
"12","Acerv_evm.TU.Segkk2181_pilon.1",68.1047035425149,-2.17467809681796,0.491607074602172,-4.42361025536054,9.70650598207841e-06,0.00625237649617022,"CvsT1",94,0,70,71,66,104,81,70,52,76,55,165,64,149,37,"NA",NA,NA,NA,NA
"13","Acerv_evm.TU.Segkk2242_pilon.3",11.9182907911493,-2.04501806092143,0.532133662405154,-3.84305336309358,0.000121513034627608,0.0391358766525633,"CvsT1",21,0,18,12,17,20,17,7,12,15,9,26,5,18,10,"GO:0005201","Segkk2242_pilon",24304,26494,2190
"14","Acerv_evm.TU.Segkk2517_pilon.9",96.6446394518834,-1.45674446931654,0.373373763022655,-3.90157159818472,9.55701848178326e-05,0.0359104969453006,"CvsT1",139,11,175,125,65,160,83,122,115,154,45,153,75,126,35,"GO:0003677,GO:0006355,GO:0003677","Segkk2517_pilon",78787,81707,2920
"15","Acerv_evm.TU.Segkk2563_pilon.1",42.0946683560574,-4.78069545888944,1.15395349666587,-4.14288398336879,3.42965466288959e-05,0.0168474403266225,"CvsT1",52,22,10,20,13,41,11,13,7,20,7,11,18,16,4,"GO:0004386",NA,NA,NA,NA
"16","Acerv_evm.TU.Segkk2611_pilon.2",48.8992089162381,-2.37767595615288,0.623753281473764,-3.81188528665541,0.000137910880766634,0.0428855283708106,"CvsT1",66,0,70,47,54,54,53,22,20,53,24,146,54,105,36,"NA","Segkk2611_pilon",1733,6287,4554
"17","Acerv_evm.TU.Segkk2794_pilon.7",33.3978684920836,-3.39367588558245,0.679457118015243,-4.99468736966903,5.89311526599243e-07,0.000664301418358997,"CvsT1",45,11,11,15,17,42,25,15,21,39,4,29,32,35,8,"GO:0004672,GO:0005524,GO:0006468,GO:0005524,GO:0004672,GO:0006468","Segkk2794_pilon",66617,69580,2963
"18","Acerv_evm.TU.Segkk3087_pilon.2",25.7360835517873,-2.99751841903235,0.639480375702347,-4.68742831355872,2.76659562153326e-06,0.00249491593149869,"CvsT1",50,0,10,15,33,65,39,38,6,15,31,27,24,62,12,"GO:0005515","Segkk3087_pilon",17242,21852,4610
"19","Acerv_evm.TU.Segkk3209_pilon.9",34.4360920903167,-4.42298929678203,1.11376126029286,-3.97121847784418,7.15059649573257e-05,0.0293109450902347,"CvsT1",8,21,14,22,9,14,9,7,8,13,3,6,7,9,3,"GO:0005515","Segkk3209_pilon",56757,58100,1343
"20","Acerv_evm.TU.Segkk3387_pilon.12",32.8651164679682,-2.35414826185869,0.522444152171188,-4.50602854309931,6.60522063080954e-06,0.00496382330405337,"CvsT1",33,7,17,32,27,61,22,35,20,40,25,37,19,46,11,"GO:0005515",NA,NA,NA,NA
"21","Acerv_evm.TU.Segkk3394_pilon.16",187.475455948091,-5.26741270509269,1.03532081868361,-5.08771060142508,3.62411834913036e-07,0.000466889989606536,"CvsT1",311,12,28,12,288,513,246,188,6,6,152,155,186,521,123,"NA","Segkk3394_pilon",175925,179566,3641
"22","Acerv_evm.TU.Segkk3395_pilon.4",73.72818654295,-1.81262674167476,0.407362000809908,-4.44967065674003,8.60020692102322e-06,0.00596589738567596,"CvsT1",74,4,63,50,79,161,76,112,91,156,73,99,43,163,29,"GO:0005515","Segkk3395_pilon",17152,24515,7363
"23","Acerv_evm.TU.Segkk3405_pilon.7",62.1972734777367,-2.09630624704962,0.534875461386389,-3.91924176445864,8.88279777298288e-05,0.0348282914420694,"CvsT1",112,0,40,42,81,158,65,91,56,57,62,103,35,128,39,"GO:0005515","Segkk3405_pilon",65812,68219,2407
"24","Acerv_evm.TU.Segkk3422_pilon.23",1318.46151976369,-9.61009270937521,1.09967679671521,-8.73901562539198,2.35150348624452e-18,2.12058584389531e-14,"CvsT1",799,711,15,8,471,680,524,537,22,14,402,449,304,1079,353,"NA","Segkk3422_pilon",236670,238357,1687
"25","Acerv_evm.TU.Segkk3454_pilon.21",67.8591411375182,2.15882951803541,0.572079300647178,3.77365430910222,0.000160873637627587,0.0483586154708525,"CvsT1",52,0,433,437,26,65,32,40,315,439,32,38,26,39,14,"GO:0005515",NA,NA,NA,NA
"26","Acerv_evm.TU.Segkk3525_pilon.1",22.8482435347672,-2.57136720931608,0.66710842028292,-3.85449670718526,0.000115967944271628,0.0388838437375633,"CvsT1",48,0,19,11,27,58,21,24,9,10,28,39,27,45,10,"GO:0005515",NA,NA,NA,NA
"27","Acerv_evm.TU.Segkk3668_pilon.23",63.5366798142387,-2.19907900316557,0.544741073738216,-4.03692526446495,5.41563115049613e-05,0.0232562674834162,"CvsT1",96,14,45,101,42,110,59,36,42,45,25,68,41,76,33,"GO:0046872,GO:0008270,GO:0005515","Segkk3668_pilon",289479,294014,4535
"28","Acerv_evm.TU.Segkk4263_pilon.5",40.2083814908935,-4.04968302566781,0.691090492360324,-5.85984479664403,4.63299972537359e-09,2.08901957617095e-05,"CvsT1",30,17,10,17,20,45,23,15,15,44,10,21,22,33,13,"NA","Segkk4263_pilon",35004,37082,2078
"29","Acerv_evm.TU.Segkk4302_pilon.20",36.2001551141776,2.5327965910254,0.561691841616518,4.50922802036104,6.50639484873494e-06,0.00496382330405337,"CvsT1",68,0,150,143,32,57,0,35,101,183,24,16,20,62,20,"NA","Segkk4302_pilon",154991,156128,1137
"30","Acerv_evm.TU.Segkk991_pilon.1",2576.05423642597,-3.34274832623229,0.792068624152198,-4.22027615323136,2.4400323516088e-05,0.0137526323417551,"CvsT1",1562,1203,1731,2197,708,1479,990,1112,2185,2603,955,1255,514,1348,786,"GO:0003735,GO:0005840,GO:0006412,GO:0003735,GO:0006412,GO:0015935",NA,NA,NA,NA
