"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","X20_T12_Mc_PWC","X21_T33_Mc_EOU","X22_ctl2_Mc_TWF_1","X28_ctl1_Mc_GBM_1","X29_T23_Mc_PND","X33_T43_Mc_RFV","X34_T22_Mc_SVS","X39_T13_Mc_FJE","X42_ctl3_Mc_MGR_1","X46_T41_Mc_QYH_1","X49_T31_Mc_SWQ","X55_T32_Mc_TWP","X56_T42_Mc_JAW","X58_T21_Mc_EAH","X61_T11_Mc_RAP","GO_terms","scaffold","gene.start","gene.stop","length"
"11","Mcavernosa04010",33.9434669360564,-1.54013299718078,0.355891785223615,-4.32753174174302,1.50789619871717e-05,0.00942887493057848,"CvsT2",31,14,24,57,38,30,34,31,31,26,11,36,29,75,45,"GO:0004930,GO:0007186,GO:0016021,GO:0016021","Sc0000032",321996,323609,1613
"12","Mcavernosa07006",41.0754131452848,-2.89996433474489,0.60420004507801,-4.79967580004148,1.58922680944812e-06,0.00141963360563987,"CvsT2",37,40,6,31,25,64,49,33,7,11,31,110,27,57,56,"NA","Sc0000005",533126,534495,1369
"13","Mcavernosa08717",67.921375309079,-1.43965390950083,0.314293683985942,-4.58060082927161,4.63642020612397e-06,0.00362394194361165,"CvsT2",109,63,46,77,54,84,55,65,50,22,64,78,63,109,67,"NA","Sc0000202",404727,413694,8967
"14","Mcavernosa10311",461.0292515652,-0.590039990950675,0.141124343011612,-4.18099371348092,2.90237889443592e-05,0.0134433890569687,"CvsT2",493,327,506,1072,415,456,394,402,563,319,344,473,407,604,444,"GO:0004675,GO:0005524,GO:0007178,GO:0016020,GO:0004674,GO:0007178,GO:0016021,GO:0038023,GO:0043235,GO:0046872,GO:0004672,GO:0006468,GO:0004672,GO:0005524,GO:0006468,GO:0004675,GO:0016020","Sc0000420",233260,247462,14202
"15","Mcavernosa10782",84.4999454592228,-1.47446221298662,0.387163788758848,-3.80836807521019,0.00013988694420628,0.0411788088105928,"CvsT2",162,71,44,59,67,95,63,70,90,66,55,61,118,133,75,"NA","Sc0000438",202831,204855,2024
"16","Mcavernosa11839",3062.58193234697,-0.665926975948865,0.159159774723495,-4.18401557243824,2.86404478696488e-05,0.0134433890569687,"CvsT2",3382,2263,2683,6319,2526,3300,2411,2986,4458,2242,2207,3191,2109,4740,3084,"GO:0046872","Sc0000253",264423,266470,2047
"17","Mcavernosa12043",656.156600845764,-1.84577800758567,0.359438643961956,-5.13516851510555,2.81891324985782e-07,0.000320484810024745,"CvsT2",1191,530,305,624,513,762,622,804,327,264,432,909,810,845,540,"GO:0005200,GO:0005525,GO:0005874,GO:0007017","xpSc0004678",282546,285089,2543
"18","Mcavernosa12089",1053.28351038437,1.81379743791394,0.426327517869375,4.25446953783004,2.0954518288902e-05,0.0117015287876646,"CvsT2",1304,789,1904,4427,147,1542,442,415,3059,802,1271,1301,504,637,744,"NA","Sc0000259",356594,362510,5916
"19","Mcavernosa13241",262.173515554721,-1.78398250346377,0.312431209608584,-5.71000094932498,1.12975543333136e-08,2.40631921188122e-05,"CvsT2",444,216,156,317,221,299,290,141,189,152,249,228,263,539,177,"NA","Sc0000154",452877,459069,6192
"20","Mcavernosa13780",158.344821589914,-3.34992443513918,0.788495455977581,-4.24850189020548,2.15204831373968e-05,0.0117015287876646,"CvsT2",84,87,32,102,801,81,113,91,125,47,102,56,121,103,40,"GO:0005524,GO:0004672,GO:0005524,GO:0006468,GO:0004672,GO:0006468","Sc0000166",222765,225299,2534
"21","Mcavernosa13828",328.171089224896,0.734092126392458,0.189253198995466,3.87888886575728,0.000104934678027516,0.0354679211733003,"CvsT2",399,226,507,1079,154,398,184,185,689,280,314,373,237,271,303,"NA","Sc0000167",258380,266305,7925
"22","Mcavernosa14558",149.195413567758,-1.02900269275951,0.219041739249026,-4.69774708823715,2.63046868382246e-06,0.00219310942399224,"CvsT2",206,111,104,231,112,205,113,103,144,92,169,183,145,217,129,"NA","Sc0000221",212649,217255,4606
"23","Mcavernosa15503",41.6698066266137,-1.84784172095552,0.478265040559637,-3.86363535748564,0.000111711944696114,0.0367649889570948,"CvsT2",54,46,13,28,18,57,39,23,36,15,49,64,42,78,45,"NA","Sc0000389",179339,180690,1351
"24","Mcavernosa16456",59.1886745752613,-1.4993229588615,0.378217225494184,-3.96418475362265,7.36471995763008e-05,0.0263151965114634,"CvsT2",67,32,38,119,125,40,72,36,82,33,33,57,41,76,35,"GO:0005515,GO:0005216,GO:0006811,GO:0016020,GO:0055085,GO:0005262,GO:0016020,GO:0070588","Sc0000060",81160,90244,9084
"25","Mcavernosa18273",285.445739358436,1.02497753920841,0.257850352975805,3.97508681830112,7.03535868166623e-05,0.0261073003350014,"CvsT2",331,216,573,874,112,400,135,137,596,280,278,330,176,222,221,"GO:0003714,GO:0006351","Sc0000295",91700,103175,11475
"26","Mcavernosa18547",136.669690118324,-2.18273818988454,0.424178072908575,-5.14580627640079,2.66374206931727e-07,0.000320484810024745,"CvsT2",212,94,49,73,46,186,124,101,44,91,238,183,176,189,125,"NA","Sc0000301",47614,51385,3771
"27","Mcavernosa20093",234.587699043712,-0.762978101665355,0.19204156918151,-3.972984104,7.09777875731686e-05,0.0261073003350014,"CvsT2",275,194,183,412,199,276,172,182,338,171,168,249,221,353,224,"NA","Sc0000586",130516,140972,10456
"28","Mcavernosa21617",125.754932676442,1.01804484438601,0.266038832809092,3.82667760806393,0.000129884444462228,0.0402566999099869,"CvsT2",120,85,227,409,44,164,60,88,249,150,115,158,77,96,99,"GO:0016787","Sc0000532",117487,117985,498
"29","Mcavernosa24709",328.905102243987,-2.0685228159768,0.489967052949055,-4.22175900099118,2.42403208538774e-05,0.0126312271916079,"CvsT2",422,347,137,206,310,521,219,320,124,60,560,390,281,353,368,"GO:0003924,GO:0007186,GO:0019001,GO:0031683","Sc0000050",673517,676231,2714
"30","Mcavernosa24806",1104.84501549221,-0.991656754989946,0.260593417682122,-3.80537913739477,0.000141587140481008,0.0411788088105928,"CvsT2",1233,804,1036,2273,1463,1053,888,828,1305,738,509,1113,1047,1634,1061,"NA","Sc0000051",862623,869257,6634
"31","Mcavernosa25968",232.260005974569,-3.39498917816878,0.698041113985338,-4.86359486590368,1.15272737863512e-06,0.00120133404976757,"CvsT2",309,88,48,188,951,96,148,153,119,68,52,95,294,337,123,"NA","Sc0000876",7598,7999,401
"32","Mcavernosa25973",229.292654240467,-2.71939910825278,0.518128056310425,-5.24850772918482,1.53336208480672e-07,0.00023970282790741,"CvsT2",360,72,97,262,665,122,227,206,122,79,60,81,281,374,167,"NA","Sc0000876",34910,42491,7581
"33","Mcavernosa26093",62.8032387982434,-2.07888267123407,0.43310809841235,-4.79991641545069,1.58731864360719e-06,0.00141963360563987,"CvsT2",78,53,24,53,65,88,52,81,31,13,63,87,60,82,64,"NA","Sc0000880",1734,5283,3549
"34","Mcavernosa28951",30.0012792007762,-2.39000675793529,0.549438736898229,-4.34990581739414,1.36196015178018e-05,0.00896456508324367,"CvsT2",56,32,12,17,23,33,46,24,17,6,16,39,34,39,28,"NA","Sc0001377",5337,31617,26280
"35","Mcavernosa30570",54.0972095167914,3.41965168876641,0.554761631324963,6.16418204806108,7.08483979263803e-10,4.43015032233656e-06,"CvsT2",12,12,127,404,14,26,8,11,558,32,10,16,10,26,17,"GO:0015078,GO:0015986,GO:0045263","xfSc0000281",1451,4139,2688
"36","Mcavernosa30571",48.8311865525838,3.29257335410616,0.586079945157256,5.61795942910605,1.93225854344396e-08,3.45211790633002e-05,"CvsT2",8,10,112,405,16,31,8,3,509,22,6,15,8,24,12,"GO:0016020,GO:0055114","xfSc0000281",4225,7545,3320
"37","Mcavernosa30572",80.8354241079748,2.52336795044712,0.428497658263626,5.88887220684567,3.88839968420303e-09,1.34432103053482e-05,"CvsT2",23,21,285,435,28,46,26,40,546,39,39,43,24,52,55,"GO:0016020,GO:0055114,GO:0004129,GO:0009060,GO:0016021,GO:0020037,GO:0055114,GO:0004129,GO:0055114,GO:0055114","xfSc0000281",7576,12957,5381
"38","Mcavernosa30573",48.3775175556967,2.42937633581986,0.425734666869182,5.70631551732749,1.15447907174855e-08,2.40631921188122e-05,"CvsT2",23,14,135,290,14,32,13,16,320,39,12,34,25,40,23,"GO:0055114,GO:0004129,GO:0009060,GO:0016021,GO:0020037,GO:0055114,GO:0004129,GO:0055114","xfSc0000281",13012,14794,1782
"39","Mcavernosa30574",67.2133170145486,3.08019516250379,0.482656855656227,6.38174953159199,1.75076150758792e-10,2.18950234138945e-06,"CvsT2",13,19,179,474,23,32,13,19,622,36,12,29,21,34,21,"GO:0015078,GO:0015986,GO:0045263","xfSc0000281",16228,21126,4898
"40","Mcavernosa30575",43.9545456035024,3.35116407370178,0.570680151998133,5.87222818590815,4.29976341127402e-09,1.34432103053482e-05,"CvsT2",7,7,98,367,13,25,8,3,471,20,6,11,8,21,11,"GO:0016020,GO:0055114","xfSc0000281",21212,24532,3320
"41","Mcavernosa33020",38.5420593930585,-1.43102941673385,0.345989549654756,-4.13604809209354,3.53338170459159e-05,0.0154254711157283,"CvsT2",61,38,26,39,46,46,24,36,35,15,33,49,29,54,36,"GO:0005515","xfSc0003018",219,5782,5563
"42","Mcavernosa33068",45.8613326535666,-1.04686477194717,0.262721651694969,-3.98469165062429,6.75678061478118e-05,0.0261073003350014,"CvsT2",55,37,34,90,39,48,38,46,39,23,41,63,37,71,41,"NA","Sc0001977",1248,3041,1793
"43","STRG.15869",24.3794293136163,-1.50569222940938,0.390618603786659,-3.85463522426527,0.000115902308674709,0.03716600698169,"CvsT2",31,20,12,26,24,32,14,27,17,9,22,38,21,32,32,"NA",NA,NA,NA,NA
