"","GO.IDs","term","ontology","over_represented_pvalue","Species","Site"
"976","GO:0004415","hyalurononglucosaminidase activity","MF",0.048080123,"A.cervicornis","Florida"
"979","GO:0047464","heparosan-N-sulfate-glucuronate 5-epimerase activity","MF",0.021409287,"A.cervicornis","Florida"
"980","GO:0050379","UDP-glucuronate 5'-epimerase activity","MF",0.021409287,"A.cervicornis","Florida"
"3361","GO:0005545","1-phosphatidylinositol binding","MF",0.044799139,"M.cavernosa","Florida"
"340","GO:0003785","actin monomer binding","MF",0.047256663,"M.cavernosa","Florida"
"341","GO:0008519","ammonium transmembrane transporter activity","MF",0.028021998,"M.cavernosa","Florida"
"342","GO:0019778","Atg12 activating enzyme activity","MF",0.005654587,"M.cavernosa","Florida"
"344","GO:0019779","Atg8 activating enzyme activity","MF",0.005654587,"M.cavernosa","Florida"
"346","GO:0004081","bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity","MF",0.008121988,"M.cavernosa","Florida"
"349","GO:0036122","BMP binding","MF",0.009746732,"M.cavernosa","Florida"
"351","GO:0098821","BMP receptor activity","MF",0.005289377,"M.cavernosa","Florida"
"353","GO:0004698","calcium-dependent protein kinase C activity","MF",0.021544192,"M.cavernosa","Florida"
"354","GO:0004699","calcium-independent protein kinase C activity","MF",0.009110924,"M.cavernosa","Florida"
"355","GO:0047865","dimethylglycine dehydrogenase activity","MF",0.014805923,"M.cavernosa","Florida"
"356","GO:0016805","dipeptidase activity","MF",0.023729897,"M.cavernosa","Florida"
"357","GO:0009055","electron transfer activity","MF",0.010895455,"M.cavernosa","Florida"
"359","GO:0035276","ethanol binding","MF",0.009110924,"M.cavernosa","Florida"
"360","GO:0050660","flavin adenine dinucleotide binding","MF",0.030970754,"M.cavernosa","Florida"
"363","GO:0005542","folic acid binding","MF",0.020048352,"M.cavernosa","Florida"
"364","GO:0004370","glycerol kinase activity","MF",0.00504164,"M.cavernosa","Florida"
"365","GO:0004820","glycine-tRNA ligase activity","MF",0.00377484,"M.cavernosa","Florida"
"368","GO:0019001","guanyl nucleotide binding","MF",0.037045375,"M.cavernosa","Florida"
"371","GO:0005085","guanyl-nucleotide exchange factor activity","MF",0.005543269,"M.cavernosa","Florida"
"378","GO:0043167","ion binding","MF",0.017507186,"M.cavernosa","Florida"
"381","GO:0035255","ionotropic glutamate receptor binding","MF",0.033933704,"M.cavernosa","Florida"
"382","GO:0052904","N1-acetylspermidine:oxygen oxidoreductase (3-acetamidopropanal-forming) activity","MF",0.004225595,"M.cavernosa","Florida"
"384","GO:0052903","N1-acetylspermine:oxygen oxidoreductase (3-acetamidopropanal-forming) activity","MF",0.004225595,"M.cavernosa","Florida"
"386","GO:0008137","NADH dehydrogenase (ubiquinone) activity","MF",0.00263302,"M.cavernosa","Florida"
"394","GO:0052894","norspermine:oxygen oxidoreductase activity","MF",0.004225595,"M.cavernosa","Florida"
"396","GO:0016504","peptidase activator activity","MF",0.034065801,"M.cavernosa","Florida"
"397","GO:0019211","phosphatase activator activity","MF",0.022081999,"M.cavernosa","Florida"
"399","GO:0046592","polyamine oxidase activity","MF",0.009217614,"M.cavernosa","Florida"
"401","GO:0032217","riboflavin transmembrane transporter activity","MF",0.019211729,"M.cavernosa","Florida"
"402","GO:0030546","signaling receptor activator activity","MF",0.013898772,"M.cavernosa","Florida"
"403","GO:0036094","small molecule binding","MF",0.035078687,"M.cavernosa","Florida"
"404","GO:0015299","solute:proton antiporter activity","MF",0.017522074,"M.cavernosa","Florida"
"407","GO:0052901","spermine:oxygen oxidoreductase (spermidine-forming) activity","MF",0.004225595,"M.cavernosa","Florida"
"409","GO:0005025","transforming growth factor beta receptor activity, type I","MF",0.01439422,"M.cavernosa","Florida"
"411","GO:0004675","transmembrane receptor protein serine/threonine kinase activity","MF",0.009746732,"M.cavernosa","Florida"
"413","GO:0008641","ubiquitin-like modifier activating enzyme activity","MF",0.014598678,"M.cavernosa","Florida"
"415","GO:0099635","voltage-gated calcium channel activity involved in positive regulation of presynaptic cytosolic calcium levels","MF",0.02031177,"M.cavernosa","Florida"
"416","GO:0005244","voltage-gated ion channel activity","MF",0.035698329,"M.cavernosa","Florida"
"1","GO:0032813","tumor necrosis factor receptor superfamily binding","MF",0.000375161286076861,"O.faveolata","Florida"
"3","GO:0005164","tumor necrosis factor receptor binding","MF",0.0107006668540682,"O.faveolata","Florida"
"22","GO:0019901","protein kinase binding","MF",0.0471931283849705,"O.faveolata","Florida"
"231","GO:0047756","chondroitin 4-sulfotransferase activity","MF",0.00152833968062482,"O.faveolata","Florida"
"28","GO:0004709","MAP kinase kinase kinase activity","MF",0.00535352808600968,"O.faveolata","Florida"
"34","GO:0050659","N-acetylgalactosamine 4-sulfate 6-O-sulfotransferase activity","MF",0.00226062380349728,"O.faveolata","Florida"
"38","GO:0008146","sulfotransferase activity","MF",0.0304616593060514,"O.faveolata","Florida"
"44","GO:0004983","neuropeptide Y receptor activity","MF",0.0196865307823134,"O.faveolata","Florida"
"49","GO:0008168","methyltransferase activity","MF",0.0388996843822998,"O.faveolata","Florida"
"31","GO:0030170","pyridoxal phosphate binding","MF",0.0160991791127062,"P.acuta","Hawaii"
"4","GO:0016638","oxidoreductase activity, acting on the CH-NH2 group of donors","MF",0.0188143869959699,"P.acuta","Hawaii"
"6","GO:0004733","pyridoxamine-phosphate oxidase activity","MF",0.0141853705080301,"P.acuta","Hawaii"
"8","GO:0016491","oxidoreductase activity","MF",0.000143629036346412,"P.acuta","Hawaii"
"11","GO:0042054","histone methyltransferase activity","MF",0.0196721644664997,"P.acuta","Hawaii"
"14","GO:0018024","histone-lysine N-methyltransferase activity","MF",0.0148132704114175,"P.acuta","Hawaii"
"16","GO:0010844","recombination hotspot binding","MF",0.00665319898660835,"P.acuta","Hawaii"
"18","GO:0042800","histone methyltransferase activity (H3-K4 specific)","MF",0.00747940814540513,"P.acuta","Hawaii"
"221","GO:0046975","histone methyltransferase activity (H3-K36 specific)","MF",0.00558238603926172,"P.acuta","Hawaii"
"43","GO:0004713","protein tyrosine kinase activity","MF",0.0068087319207066,"P.acuta","Hawaii"
"50","GO:0038062","protein tyrosine kinase collagen receptor activity","MF",2.260713023772e-05,"P.acuta","Hawaii"
"55","GO:0004714","transmembrane receptor protein tyrosine kinase activity","MF",0.00203775369381508,"P.acuta","Hawaii"
"70","GO:0071949","FAD binding","MF",0.0202740657238211,"P.acuta","Hawaii"
"711","GO:0009881","photoreceptor activity","MF",0.0010604477461878,"P.acuta","Hawaii"
"83","GO:0009882","blue light photoreceptor activity","MF",0.00198963953847857,"P.acuta","Hawaii"
"91","GO:0016829","lyase activity","MF",0.000259278330369115,"P.acuta","Hawaii"
"921","GO:0003824","catalytic activity","MF",0.00748639303278234,"P.acuta","Hawaii"
"93","GO:0016846","carbon-sulfur lyase activity","MF",0.00810009596556514,"P.acuta","Hawaii"
"94","GO:0044540","L-cystine L-cysteine-lyase (deaminating)","MF",0.00519722960501055,"P.acuta","Hawaii"
"97","GO:0004121","cystathionine beta-lyase activity","MF",0.00412006865028155,"P.acuta","Hawaii"
"104","GO:0080146","L-cysteine desulfhydrase activity","MF",0.00898727043336854,"P.acuta","Hawaii"
"106","GO:0004123","cystathionine gamma-lyase activity","MF",0.00640519306875495,"P.acuta","Hawaii"
"119","GO:0008503","benzodiazepine receptor activity","MF",0.00934817723277308,"P.acuta","Hawaii"
"120","GO:0120020","cholesterol transfer activity","MF",0.0286502563747469,"P.acuta","Hawaii"
"145","GO:0005497","androgen binding","MF",0.000219555010745325,"P.acuta","Hawaii"
"155","GO:1905948","ATPase-coupled 3',5'-cyclic GMP transmembrane transporter activity","MF",0.0258101700666021,"P.acuta","Hawaii"
"157","GO:0042907","xanthine transmembrane transporter activity","MF",0.0258101700666021,"P.acuta","Hawaii"
"160","GO:0015208","guanine transmembrane transporter activity","MF",0.0258101700666021,"P.acuta","Hawaii"
"163","GO:0032217","riboflavin transmembrane transporter activity","MF",0.0139094133181857,"P.acuta","Hawaii"
"165","GO:0008558","ATPase-coupled guanine transmembrane transporter activity","MF",0.0258101700666021,"P.acuta","Hawaii"
"168","GO:0004421","hydroxymethylglutaryl-CoA synthase activity","MF",0.0111342320707719,"P.acuta","Hawaii"
"170","GO:0043177","organic acid binding","MF",0.0111342320707719,"P.acuta","Hawaii"
"176","GO:0016840","carbon-nitrogen lyase activity","MF",0.0099798213669563,"P.acuta","Hawaii"
"178","GO:0020037","heme binding","MF",0.000429772058671519,"P.acuta","Hawaii"
"182","GO:0004601","peroxidase activity","MF",0.000348959525014833,"P.acuta","Hawaii"
"1831","GO:0046920","alpha-(1->3)-fucosyltransferase activity","MF",0.023047050029402,"P.acuta","Hawaii"
"184","GO:0008417","fucosyltransferase activity","MF",0.0314078329581508,"P.acuta","Hawaii"
"296","GO:0015218","pyrimidine nucleotide transmembrane transporter activity","MF",0.0259896854971674,"P.acuta","Hawaii"
"2991","GO:0001972","retinoic acid binding","MF",0.0144922028625111,"P.acuta","Hawaii"
"3071","GO:0004879","nuclear receptor activity","MF",0.0295913064776784,"P.acuta","Hawaii"
"331","GO:0004089","carbonate dehydratase activity","MF",0.0272720071318705,"P.acuta","Hawaii"
"333","GO:0004064","arylesterase activity","MF",0.0149629924576769,"P.acuta","Hawaii"
"392","GO:0080105","6-methylthiopropyl glucosinolate S-oxygenase activity","MF",0.00126288683119915,"P.acuta","Hawaii"
"3941","GO:0080103","4-methylthiopropyl glucosinolate S-oxygenase activity","MF",0.00190373353348332,"P.acuta","Hawaii"
"3961","GO:0080106","7-methylthiopropyl glucosinolate S-oxygenase activity","MF",0.00126288683119915,"P.acuta","Hawaii"
"3981","GO:0004499","N,N-dimethylaniline monooxygenase activity","MF",0.012668059958825,"P.acuta","Hawaii"
"400","GO:0050660","flavin adenine dinucleotide binding","MF",0.044209974796664,"P.acuta","Hawaii"
"4021","GO:0080102","3-methylthiopropyl glucosinolate S-oxygenase activity","MF",0.00126288683119915,"P.acuta","Hawaii"
"406","GO:0004497","monooxygenase activity","MF",0.0321084562022054,"P.acuta","Hawaii"
"408","GO:0080104","5-methylthiopropyl glucosinolate S-oxygenase activity","MF",0.00126288683119915,"P.acuta","Hawaii"
"410","GO:0080107","8-methylthiopropyl glucosinolate S-oxygenase activity","MF",0.00190373353348332,"P.acuta","Hawaii"
"439","GO:0005200","structural constituent of cytoskeleton","MF",0.0427882998126203,"P.acuta","Hawaii"
"442","GO:0003755","peptidyl-prolyl cis-trans isomerase activity","MF",0.0441798541913629,"P.acuta","Hawaii"
"446","GO:0005528","FK506 binding","MF",0.00169741674158099,"P.acuta","Hawaii"
"461","GO:0016531","copper chaperone activity","MF",0.00140782613904971,"P.acuta","Hawaii"
"468","GO:0047734","CDP-glycerol diphosphatase activity","MF",0.0253642572185064,"P.acuta","Hawaii"
"469","GO:0008663","2',3'-cyclic-nucleotide 2'-phosphodiesterase activity","MF",0.0375114830918328,"P.acuta","Hawaii"
"470","GO:0140211","folic acid:proton symporter activity","MF",0.0432040401616002,"P.acuta","Hawaii"
"5141","GO:0003725","double-stranded RNA binding","MF",0.0312183230538019,"P.acuta","Hawaii"
"518","GO:0101021","estrogen 2-hydroxylase activity","MF",0.0442114567886502,"P.acuta","Hawaii"
"520","GO:0062183","all-trans retinoic acid 18-hydroxylase activity","MF",0.0429911162671452,"P.acuta","Hawaii"
"522","GO:0016712","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen","MF",0.0139990914696327,"P.acuta","Hawaii"
"524","GO:0101020","estrogen 16-alpha-hydroxylase activity","MF",0.0499065569934826,"P.acuta","Hawaii"
"532","GO:0019104","DNA N-glycosylase activity","MF",0.00974325794687487,"P.acuta","Hawaii"
"534","GO:0016799","hydrolase activity, hydrolyzing N-glycosyl compounds","MF",0.0105203102333077,"P.acuta","Hawaii"
"535","GO:0140078","class I DNA-(apurinic or apyrimidinic site) endonuclease activity","MF",0.00537410565002302,"P.acuta","Hawaii"
"537","GO:0003906","DNA-(apurinic or apyrimidinic site) endonuclease activity","MF",0.00839699684883074,"P.acuta","Hawaii"
"538","GO:0008534","oxidized purine nucleobase lesion DNA N-glycosylase activity","MF",0.00224393423140862,"P.acuta","Hawaii"
"622","GO:0010436","carotenoid dioxygenase activity","MF",0.0419160666696192,"P.acuta","Hawaii"
"625","GO:0045549","9-cis-epoxycarotenoid dioxygenase activity","MF",0.0107151730444804,"P.acuta","Hawaii"
"627","GO:0102162","all-trans-8'-apo-beta-carotenal 15,15'-oxygenase","MF",0.0107151730444804,"P.acuta","Hawaii"
"628","GO:0102395","9-cis-beta-carotene 9',10'-cleavage oxygenase activity","MF",0.0107151730444804,"P.acuta","Hawaii"
"629","GO:0050054","lignostilbene alpha beta-dioxygenase activity","MF",0.0107151730444804,"P.acuta","Hawaii"
"633","GO:0042292","URM1 activating enzyme activity","MF",7.90944414329505e-08,"P.acuta","Hawaii"
"635","GO:0004792","thiosulfate sulfurtransferase activity","MF",1.19470457364015e-05,"P.acuta","Hawaii"
"641","GO:0016783","sulfurtransferase activity","MF",8.37226955317706e-06,"P.acuta","Hawaii"
"649","GO:0008641","ubiquitin-like modifier activating enzyme activity","MF",5.09706468468181e-05,"P.acuta","Hawaii"
"651","GO:0061605","molybdopterin-synthase adenylyltransferase activity","MF",7.90944414329505e-08,"P.acuta","Hawaii"
"653","GO:0061604","molybdopterin-synthase sulfurtransferase activity","MF",7.90944414329505e-08,"P.acuta","Hawaii"
"687","GO:0005488","binding","MF",0.00115583946286275,"P.acuta","Hawaii"
"691","GO:0005102","signaling receptor binding","MF",0.0384377873369996,"P.acuta","Hawaii"
"754","GO:0048018","receptor ligand activity","MF",2.75479928092519e-07,"P.acuta","Hawaii"
"780","GO:0005109","frizzled binding","MF",1.55278297705243e-06,"P.acuta","Hawaii"
"786","GO:0005125","cytokine activity","MF",2.98208646727919e-07,"P.acuta","Hawaii"
"916","GO:1902379","chemoattractant activity involved in axon guidance","MF",0.000406829623813188,"P.acuta","Hawaii"
"1168","GO:0039706","co-receptor binding","MF",0.0282467816721302,"P.acuta","Hawaii"
"1232","GO:0005502","11-cis retinal binding","MF",0.00600701648711867,"P.acuta","Hawaii"
"1234","GO:0008020","G protein-coupled photoreceptor activity","MF",0.0233007059964519,"P.acuta","Hawaii"
"1280","GO:0008117","sphinganine-1-phosphate aldolase activity","MF",0.00987651084539754,"P.acuta","Hawaii"
"1317","GO:0031132","serine 3-dehydrogenase activity","MF",0.0136637166653367,"P.acuta","Hawaii"
"1319","GO:0102306","benzil reductase [(S)-benzoin-forming] activity","MF",0.0273330184325299,"P.acuta","Hawaii"
"1327","GO:0050196","[phosphorylase] phosphatase activity","MF",0.00203573539256603,"P.acuta","Hawaii"
"1328","GO:2001069","glycogen binding","MF",0.00203573539256603,"P.acuta","Hawaii"
"1331","GO:0000035","acyl binding","MF",0.0450403481002344,"P.acuta","Hawaii"
"1333","GO:0000036","acyl carrier activity","MF",0.0458660532038403,"P.acuta","Hawaii"
"1342","GO:0031723","CXCR4 chemokine receptor binding","MF",0.0417656224098032,"P.acuta","Hawaii"
"1389","GO:0003943","N-acetylgalactosamine-4-sulfatase activity","MF",0.0326424852669642,"P.acuta","Hawaii"
"1405","GO:0016653","oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor","MF",0.0309481820732101,"P.acuta","Hawaii"
"1578","GO:0008495","protoheme IX farnesyltransferase activity","MF",0.0121159126846026,"P.acuta","Hawaii"
"1587","GO:0004311","farnesyltranstransferase activity","MF",0.00154014242639689,"P.acuta","Hawaii"
"1591","GO:0042131","thiamine phosphate phosphatase activity","MF",0.000450164222696029,"P.acuta","Hawaii"
"1592","GO:0050334","thiaminase activity","MF",0.000495996863834127,"P.acuta","Hawaii"
"1633","GO:0008806","carboxymethylenebutenolidase activity","MF",0.0415214083216416,"P.acuta","Hawaii"
"1634","GO:0102355","2-oxo-3-(5-oxofuran-2-ylidene)propanoate lactonase activity","MF",0.013930740883485,"P.acuta","Hawaii"
"1635","GO:0046573","lactonohydrolase activity","MF",0.013930740883485,"P.acuta","Hawaii"
"1640","GO:0004322","ferroxidase activity","MF",0.00037756051871425,"P.acuta","Hawaii"
"1641","GO:0008199","ferric iron binding","MF",0.00242440393141172,"P.acuta","Hawaii"
"1715","GO:0008113","peptide-methionine (S)-S-oxide reductase activity","MF",0.0286001911158116,"P.acuta","Hawaii"
"2088","GO:0008127","quercetin 2,3-dioxygenase activity","MF",0.0132261243358802,"P.acuta","Hawaii"
"2102","GO:0052923","all-trans-nonaprenyl-diphosphate synthase (geranyl-diphosphate specific) activity","MF",0.0118465225868272,"P.acuta","Hawaii"
"2103","GO:0097269","all-trans-decaprenyl-diphosphate synthase activity","MF",0.0250127174968351,"P.acuta","Hawaii"
"2109","GO:0000010","trans-hexaprenyltranstransferase activity","MF",0.0250127174968351,"P.acuta","Hawaii"
"2110","GO:0050347","trans-octaprenyltranstransferase activity","MF",0.0250127174968351,"P.acuta","Hawaii"
"2113","GO:0008834","di-trans,poly-cis-decaprenylcistransferase activity","MF",0.0250127174968351,"P.acuta","Hawaii"
"2123","GO:0106256","hydroperoxy icosatetraenoate dehydratase activity","MF",0.0413193048349131,"P.acuta","Hawaii"
"2151","GO:0016701","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen","MF",0.049522130442653,"P.acuta","Hawaii"
"2153","GO:0003868","4-hydroxyphenylpyruvate dioxygenase activity","MF",0.0243151054718259,"P.acuta","Hawaii"
"2169","GO:0022821","potassium ion antiporter activity","MF",0.0210227590834906,"P.acuta","Hawaii"
"2179","GO:0004414","homoserine O-acetyltransferase activity","MF",0.0118832821126629,"P.acuta","Hawaii"
"2180","GO:0008899","homoserine O-succinyltransferase activity","MF",0.0118832821126629,"P.acuta","Hawaii"
"2183","GO:0009001","serine O-acetyltransferase activity","MF",0.0118832821126629,"P.acuta","Hawaii"
"2184","GO:0016750","O-succinyltransferase activity","MF",0.0118832821126629,"P.acuta","Hawaii"
"2192","GO:0008681","2-octaprenyl-6-methoxyphenol hydroxylase activity","MF",0.0112326670109908,"P.acuta","Hawaii"
"2201","GO:0042284","sphingolipid delta-4 desaturase activity","MF",0.0130922455878679,"P.acuta","Hawaii"
"2202","GO:0016859","cis-trans isomerase activity","MF",0.042871867584679,"P.acuta","Hawaii"
"2203","GO:0000170","sphingosine hydroxylase activity","MF",0.0130922455878679,"P.acuta","Hawaii"
"81","GO:0016647","oxidoreductase activity, acting on the CH-NH group of donors, oxygen as acceptor","MF",0.025781328,"P.lobata","Hawaii"
"10","GO:0001729","ceramide kinase activity","MF",0.014554175,"P.lobata","Hawaii"
"25","GO:0002020","protease binding","MF",0.043298595,"P.lobata","Hawaii"
"343","GO:0004571","mannosyl-oligosaccharide 1,2-alpha-mannosidase activity","MF",0.017888094,"P.lobata","Hawaii"
"501","GO:0003674","molecular_function","MF",0.021909676,"P.lobata","Hawaii"
"911","GO:0005524","ATP binding","MF",0.018435581,"P.lobata","Hawaii"
"951","GO:0043139","5'-3' DNA helicase activity","MF",0.00322257,"P.lobata","Hawaii"
"111","GO:0005112","Notch binding","MF",0.001256689,"P.lobata","Hawaii"
"112","GO:0030332","cyclin binding","MF",0.006579192,"P.lobata","Hawaii"
"1191","GO:0031208","POZ domain binding","MF",0.048451022,"P.lobata","Hawaii"
"124","GO:0008297","single-stranded DNA exodeoxyribonuclease activity","MF",0.04868319,"P.lobata","Hawaii"
"128","GO:0009019","tRNA (guanine-N1-)-methyltransferase activity","MF",0.015512543,"P.lobata","Hawaii"
"1351","GO:0004672","protein kinase activity","MF",0.011017633,"P.lobata","Hawaii"
"139","GO:0004713","protein tyrosine kinase activity","MF",0.002387017,"P.lobata","Hawaii"
"146","GO:0003700","DNA-binding transcription factor activity","MF",0.045552954,"P.lobata","Hawaii"
"1551","GO:0030291","protein serine/threonine kinase inhibitor activity","MF",0.037613462,"P.lobata","Hawaii"
"191","GO:0051724","NAD transmembrane transporter activity","MF",0.011807868,"P.lobata","Hawaii"
"199","GO:0015106","bicarbonate transmembrane transporter activity","MF",0.015405533,"P.lobata","Hawaii"
"201","GO:0005372","water transmembrane transporter activity","MF",0.007286888,"P.lobata","Hawaii"
"202","GO:0005452","inorganic anion exchanger activity","MF",0.014860508,"P.lobata","Hawaii"
"207","GO:0046715","active borate transmembrane transporter activity","MF",0.007286888,"P.lobata","Hawaii"
"208","GO:0015252","proton channel activity","MF",0.007286888,"P.lobata","Hawaii"
"254","GO:0004673","protein histidine kinase activity","MF",0.011997458,"P.lobata","Hawaii"
"257","GO:0019215","intermediate filament binding","MF",0.020392554,"P.lobata","Hawaii"
"271","GO:0004307","ethanolaminephosphotransferase activity","MF",0.027969207,"P.lobata","Hawaii"
"272","GO:0016780","phosphotransferase activity, for other substituted phosphate groups","MF",0.022510688,"P.lobata","Hawaii"
"304","GO:0097371","MDM2/MDM4 family protein binding","MF",0.027629386,"P.lobata","Hawaii"
"316","GO:0051434","BH3 domain binding","MF",0.007990254,"P.lobata","Hawaii"
"321","GO:0047710","bis(5'-adenosyl)-triphosphatase activity","MF",0.007951236,"P.lobata","Hawaii"
"323","GO:0015431","ATPase-coupled glutathione S-conjugate transmembrane transporter activity","MF",0.019675104,"P.lobata","Hawaii"
"324","GO:0042887","amide transmembrane transporter activity","MF",0.032596491,"P.lobata","Hawaii"
"327","GO:0015432","ATPase-coupled bile acid transmembrane transporter activity","MF",0.014573929,"P.lobata","Hawaii"
"347","GO:0016890","site-specific endodeoxyribonuclease activity, specific for altered base","MF",0.046150891,"P.lobata","Hawaii"
"3591","GO:1990935","splicing factor binding","MF",0.034946034,"P.lobata","Hawaii"
"376","GO:1902945","metalloendopeptidase activity involved in amyloid precursor protein catabolic process","MF",0.046233621,"P.lobata","Hawaii"
"3821","GO:0015226","carnitine transmembrane transporter activity","MF",0.037928301,"P.lobata","Hawaii"
"387","GO:0008467","[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity","MF",0.014890121,"P.lobata","Hawaii"
"4101","GO:0005003","ephrin receptor activity","MF",0.004406729,"P.lobata","Hawaii"
"4461","GO:0004305","ethanolamine kinase activity","MF",0.02262127,"P.lobata","Hawaii"
"4611","GO:0003884","D-amino-acid oxidase activity","MF",0.010441829,"P.lobata","Hawaii"
"492","GO:0005537","mannose binding","MF",0.002664369,"P.lobata","Hawaii"
"497","GO:0001872","(1->3)-beta-D-glucan binding","MF",0.030697457,"P.lobata","Hawaii"
"505","GO:0004563","beta-N-acetylhexosaminidase activity","MF",0.044351159,"P.lobata","Hawaii"
"508","GO:0030628","pre-mRNA 3'-splice site binding","MF",0.025496805,"P.lobata","Hawaii"
"516","GO:0008046","axon guidance receptor activity","MF",0.041584192,"P.lobata","Hawaii"
"5201","GO:0005004","GPI-linked ephrin receptor activity","MF",0.007039714,"P.lobata","Hawaii"
"5221","GO:0097161","DH domain binding","MF",0.007039714,"P.lobata","Hawaii"
"527","GO:0005005","transmembrane-ephrin receptor activity","MF",0.007039714,"P.lobata","Hawaii"
