"","GO.IDs","term","ontology","over_represented_pvalue","Species","Site"
"111","GO:0030878","thyroid gland development","BP",0.00463762,"A.cervicornis","Florida"
"113","GO:0048538","thymus development","BP",0.006719674,"A.cervicornis","Florida"
"114","GO:0007611","learning or memory","BP",0.016329401,"A.cervicornis","Florida"
"115","GO:0045596","negative regulation of cell differentiation","BP",0.030148793,"A.cervicornis","Florida"
"116","GO:0072584","caveolin-mediated endocytosis","BP",0.021654746,"A.cervicornis","Florida"
"118","GO:0060291","long-term synaptic potentiation","BP",0.009677982,"A.cervicornis","Florida"
"120","GO:0120041","positive regulation of macrophage proliferation","BP",0.021654746,"A.cervicornis","Florida"
"121","GO:0043330","response to exogenous dsRNA","BP",0.003430418,"A.cervicornis","Florida"
"122","GO:0006915","apoptotic process","BP",0.032676852,"A.cervicornis","Florida"
"123","GO:0010759","positive regulation of macrophage chemotaxis","BP",0.021654746,"A.cervicornis","Florida"
"124","GO:0060324","face development","BP",0.042592659,"A.cervicornis","Florida"
"125","GO:0038127","ERBB signaling pathway","BP",0.021654746,"A.cervicornis","Florida"
"126","GO:0061308","cardiac neural crest cell development involved in heart development","BP",0.021654746,"A.cervicornis","Florida"
"127","GO:0070849","response to epidermal growth factor","BP",0.043099814,"A.cervicornis","Florida"
"128","GO:0071356","cellular response to tumor necrosis factor","BP",0.005725533,"A.cervicornis","Florida"
"129","GO:0060440","trachea formation","BP",0.042592659,"A.cervicornis","Florida"
"130","GO:0070371","ERK1 and ERK2 cascade","BP",0.048263201,"A.cervicornis","Florida"
"132","GO:0015966","diadenosine tetraphosphate biosynthetic process","BP",0.021654746,"A.cervicornis","Florida"
"133","GO:0090170","regulation of Golgi inheritance","BP",0.042592659,"A.cervicornis","Florida"
"136","GO:0030278","regulation of ossification","BP",0.004434431,"A.cervicornis","Florida"
"179","GO:0060336","negative regulation of interferon-gamma-mediated signaling pathway","BP",0.043761092,"A.cervicornis","Florida"
"180","GO:1902216","positive regulation of interleukin-4-mediated signaling pathway","BP",0.043761092,"A.cervicornis","Florida"
"181","GO:0010847","regulation of chromatin assembly","BP",0.042406086,"A.cervicornis","Florida"
"182","GO:0019985","translesion synthesis","BP",0.042364837,"A.cervicornis","Florida"
"185","GO:0032088","negative regulation of NF-kappaB transcription factor activity","BP",0.015181716,"A.cervicornis","Florida"
"186","GO:0042531","positive regulation of tyrosine phosphorylation of STAT protein","BP",0.042744181,"A.cervicornis","Florida"
"189","GO:0070900","mitochondrial tRNA modification","BP",0.025600312,"A.cervicornis","Florida"
"199","GO:0006887","exocytosis","BP",0.037719625,"A.cervicornis","Florida"
"201","GO:0006269","DNA replication, synthesis of RNA primer","BP",0.044497493,"A.cervicornis","Florida"
"202","GO:0006606","protein import into nucleus","BP",0.010483073,"A.cervicornis","Florida"
"242","GO:0050804","modulation of chemical synaptic transmission","BP",0.045280817,"A.cervicornis","Florida"
"243","GO:0042391","regulation of membrane potential","BP",0.003613918,"A.cervicornis","Florida"
"244","GO:0010647","positive regulation of cell communication","BP",0.022565333,"A.cervicornis","Florida"
"245","GO:1901698","response to nitrogen compound","BP",0.021406369,"A.cervicornis","Florida"
"248","GO:0023056","positive regulation of signaling","BP",0.038646019,"A.cervicornis","Florida"
"249","GO:0001818","negative regulation of cytokine production","BP",0.045218401,"A.cervicornis","Florida"
"270","GO:0010951","negative regulation of endopeptidase activity","BP",0.003187129,"A.cervicornis","Florida"
"271","GO:0010466","negative regulation of peptidase activity","BP",0.045201483,"A.cervicornis","Florida"
"272","GO:0032456","endocytic recycling","BP",0.013229814,"A.cervicornis","Florida"
"274","GO:1903772","regulation of viral budding via host ESCRT complex","BP",0.021364539,"A.cervicornis","Florida"
"276","GO:0071985","multivesicular body sorting pathway","BP",0.021364539,"A.cervicornis","Florida"
"278","GO:0043328","protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway","BP",0.043509597,"A.cervicornis","Florida"
"298","GO:0036261","7-methylguanosine cap hypermethylation","BP",0.034668541,"A.cervicornis","Florida"
"300","GO:0009452","7-methylguanosine RNA capping","BP",0.034668541,"A.cervicornis","Florida"
"305","GO:0042274","ribosomal small subunit biogenesis","BP",0.024073989,"A.cervicornis","Florida"
"308","GO:0010154","fruit development","BP",0.021410748,"A.cervicornis","Florida"
"309","GO:0048827","phyllome development","BP",0.021410748,"A.cervicornis","Florida"
"320","GO:0060333","interferon-gamma-mediated signaling pathway","BP",0.023448705,"A.cervicornis","Florida"
"322","GO:0051607","defense response to virus","BP",0.010345631,"A.cervicornis","Florida"
"323","GO:0045590","negative regulation of regulatory T cell differentiation","BP",0.023448705,"A.cervicornis","Florida"
"324","GO:0032728","positive regulation of interferon-beta production","BP",0.007466085,"A.cervicornis","Florida"
"325","GO:0034124","regulation of MyD88-dependent toll-like receptor signaling pathway","BP",0.023448705,"A.cervicornis","Florida"
"349","GO:0048477","oogenesis","BP",0.02890184,"A.cervicornis","Florida"
"350","GO:0075732","viral penetration into host nucleus","BP",0.049341815,"A.cervicornis","Florida"
"353","GO:0070925","organelle assembly","BP",0.013872272,"A.cervicornis","Florida"
"354","GO:0010875","positive regulation of cholesterol efflux","BP",0.001812239,"A.cervicornis","Florida"
"356","GO:0006638","neutral lipid metabolic process","BP",0.023669888,"A.cervicornis","Florida"
"358","GO:0048585","negative regulation of response to stimulus","BP",0.029278108,"A.cervicornis","Florida"
"369","GO:0035147","branch fusion, open tracheal system","BP",0.043476762,"A.cervicornis","Florida"
"371","GO:0048215","positive regulation of Golgi vesicle fusion to target membrane","BP",0.021427953,"A.cervicornis","Florida"
"372","GO:0072697","protein localization to cell cortex","BP",0.021427953,"A.cervicornis","Florida"
"375","GO:0045087","innate immune response","BP",0.047720622,"A.cervicornis","Florida"
"376","GO:0060074","synapse maturation","BP",0.021427953,"A.cervicornis","Florida"
"387","GO:0006777","Mo-molybdopterin cofactor biosynthetic process","BP",0.023879772,"A.cervicornis","Florida"
"390","GO:0032324","molybdopterin cofactor biosynthetic process","BP",0.023879772,"A.cervicornis","Florida"
"404","GO:0002165","instar larval or pupal development","BP",0.032890629,"A.cervicornis","Florida"
"405","GO:1903220","positive regulation of malate dehydrogenase (decarboxylating) (NADP+) activity","BP",0.032890629,"A.cervicornis","Florida"
"407","GO:0007591","molting cycle, chitin-based cuticle","BP",0.032890629,"A.cervicornis","Florida"
"408","GO:0007458","progression of morphogenetic furrow involved in compound eye morphogenesis","BP",0.032890629,"A.cervicornis","Florida"
"409","GO:0008362","chitin-based embryonic cuticle biosynthetic process","BP",0.032890629,"A.cervicornis","Florida"
"411","GO:0000398","mRNA splicing, via spliceosome","BP",0.034957595,"A.cervicornis","Florida"
"412","GO:0048542","lymph gland development","BP",0.032890629,"A.cervicornis","Florida"
"413","GO:0007390","germ-band shortening","BP",0.032890629,"A.cervicornis","Florida"
"414","GO:0008258","head involution","BP",0.032890629,"A.cervicornis","Florida"
"415","GO:0007030","Golgi organization","BP",0.016914428,"A.cervicornis","Florida"
"416","GO:0071034","CUT catabolic process","BP",0.021409265,"A.cervicornis","Florida"
"418","GO:0071035","nuclear polyadenylation-dependent rRNA catabolic process","BP",0.043180453,"A.cervicornis","Florida"
"420","GO:1904872","regulation of telomerase RNA localization to Cajal body","BP",0.042388097,"A.cervicornis","Florida"
"421","GO:0016074","snoRNA metabolic process","BP",0.021409265,"A.cervicornis","Florida"
"422","GO:0071048","nuclear retention of unspliced pre-mRNA at the site of transcription","BP",0.021409265,"A.cervicornis","Florida"
"432","GO:0036120","cellular response to platelet-derived growth factor stimulus","BP",0.005329679,"A.cervicornis","Florida"
"433","GO:0050731","positive regulation of peptidyl-tyrosine phosphorylation","BP",0.01560516,"A.cervicornis","Florida"
"434","GO:0044344","cellular response to fibroblast growth factor stimulus","BP",0.003624805,"A.cervicornis","Florida"
"435","GO:0001953","negative regulation of cell-matrix adhesion","BP",0.028053253,"A.cervicornis","Florida"
"446","GO:0010506","regulation of autophagy","BP",0.005764748,"A.cervicornis","Florida"
"447","GO:0060627","regulation of vesicle-mediated transport","BP",0.003012716,"A.cervicornis","Florida"
"449","GO:0006996","organelle organization","BP",0.003994456,"A.cervicornis","Florida"
"450","GO:0070887","cellular response to chemical stimulus","BP",0.005174816,"A.cervicornis","Florida"
"452","GO:1902531","regulation of intracellular signal transduction","BP",0.001161044,"A.cervicornis","Florida"
"453","GO:0009967","positive regulation of signal transduction","BP",0.02321327,"A.cervicornis","Florida"
"470","GO:0007610","behavior","BP",0.029789836,"A.cervicornis","Florida"
"472","GO:0006952","defense response","BP",0.034325645,"A.cervicornis","Florida"
"474","GO:0050955","thermoception","BP",0.021285279,"A.cervicornis","Florida"
"475","GO:0097553","calcium ion transmembrane import into cytosol","BP",0.045259361,"A.cervicornis","Florida"
"477","GO:0042330","taxis","BP",0.021285279,"A.cervicornis","Florida"
"478","GO:0051050","positive regulation of transport","BP",0.026336294,"A.cervicornis","Florida"
"479","GO:0033554","cellular response to stress","BP",0.00793137,"A.cervicornis","Florida"
"480","GO:0050907","detection of chemical stimulus involved in sensory perception","BP",0.021285279,"A.cervicornis","Florida"
"482","GO:0050961","detection of temperature stimulus involved in sensory perception","BP",0.021285279,"A.cervicornis","Florida"
"485","GO:0040019","positive regulation of embryonic development","BP",0.024369084,"A.cervicornis","Florida"
"500","GO:0022603","regulation of anatomical structure morphogenesis","BP",0.03029894,"A.cervicornis","Florida"
"501","GO:0120036","plasma membrane bounded cell projection organization","BP",0.047923355,"A.cervicornis","Florida"
"504","GO:0044092","negative regulation of molecular function","BP",0.019317243,"A.cervicornis","Florida"
"505","GO:0032386","regulation of intracellular transport","BP",0.004612023,"A.cervicornis","Florida"
"506","GO:0033365","protein localization to organelle","BP",0.017619837,"A.cervicornis","Florida"
"508","GO:0080134","regulation of response to stress","BP",0.040906836,"A.cervicornis","Florida"
"511","GO:0030162","regulation of proteolysis","BP",0.016539524,"A.cervicornis","Florida"
"513","GO:0021537","telencephalon development","BP",0.028170726,"A.cervicornis","Florida"
"515","GO:0032269","negative regulation of cellular protein metabolic process","BP",0.004842216,"A.cervicornis","Florida"
"522","GO:0018193","peptidyl-amino acid modification","BP",0.014025163,"A.cervicornis","Florida"
"524","GO:0060548","negative regulation of cell death","BP",0.039230804,"A.cervicornis","Florida"
"532","GO:0045014","carbon catabolite repression of transcription by glucose","BP",0.031028744,"A.cervicornis","Florida"
"538","GO:0051580","regulation of neurotransmitter uptake","BP",0.029697422,"A.cervicornis","Florida"
"540","GO:0044854","plasma membrane raft assembly","BP",0.029697422,"A.cervicornis","Florida"
"542","GO:0048643","positive regulation of skeletal muscle tissue development","BP",0.029697422,"A.cervicornis","Florida"
"543","GO:0035023","regulation of Rho protein signal transduction","BP",0.029697422,"A.cervicornis","Florida"
"544","GO:0071360","cellular response to exogenous dsRNA","BP",0.029697422,"A.cervicornis","Florida"
"545","GO:1901890","positive regulation of cell junction assembly","BP",0.029697422,"A.cervicornis","Florida"
"559","GO:0002280","monocyte activation involved in immune response","BP",0.045156981,"A.cervicornis","Florida"
"560","GO:1902915","negative regulation of protein polyubiquitination","BP",0.023378402,"A.cervicornis","Florida"
"563","GO:1901842","negative regulation of high voltage-gated calcium channel activity","BP",0.023378402,"A.cervicornis","Florida"
"565","GO:0045444","fat cell differentiation","BP",0.043494567,"A.cervicornis","Florida"
"567","GO:0045785","positive regulation of cell adhesion","BP",0.007375547,"A.cervicornis","Florida"
"568","GO:0001938","positive regulation of endothelial cell proliferation","BP",0.020910948,"A.cervicornis","Florida"
"591","GO:0032240","negative regulation of nucleobase-containing compound transport","BP",0.032049452,"A.cervicornis","Florida"
"599","GO:0006965","positive regulation of biosynthetic process of antibacterial peptides active against Gram-positive bacteria","BP",0.02140892,"A.cervicornis","Florida"
"602","GO:0050679","positive regulation of epithelial cell proliferation","BP",0.040360479,"A.cervicornis","Florida"
"603","GO:0090022","regulation of neutrophil chemotaxis","BP",0.02140892,"A.cervicornis","Florida"
"607","GO:0071347","cellular response to interleukin-1","BP",0.033364516,"A.cervicornis","Florida"
"608","GO:1902523","positive regulation of protein K63-linked ubiquitination","BP",0.044381204,"A.cervicornis","Florida"
"610","GO:0030277","maintenance of gastrointestinal epithelium","BP",0.04236284,"A.cervicornis","Florida"
"611","GO:0002732","positive regulation of dendritic cell cytokine production","BP",0.02140892,"A.cervicornis","Florida"
"613","GO:0043552","positive regulation of phosphatidylinositol 3-kinase activity","BP",0.042361924,"A.cervicornis","Florida"
"614","GO:0071224","cellular response to peptidoglycan","BP",0.02140892,"A.cervicornis","Florida"
"616","GO:0010955","negative regulation of protein processing","BP",0.042535074,"A.cervicornis","Florida"
"617","GO:0050871","positive regulation of B cell activation","BP",0.042373838,"A.cervicornis","Florida"
"618","GO:0071225","cellular response to muramyl dipeptide","BP",0.02140892,"A.cervicornis","Florida"
"619","GO:0071639","positive regulation of monocyte chemotactic protein-1 production","BP",0.042386376,"A.cervicornis","Florida"
"621","GO:0032740","positive regulation of interleukin-17 production","BP",0.02140892,"A.cervicornis","Florida"
"622","GO:0002606","positive regulation of dendritic cell antigen processing and presentation","BP",0.02140892,"A.cervicornis","Florida"
"623","GO:0002830","positive regulation of type 2 immune response","BP",0.02140892,"A.cervicornis","Florida"
"624","GO:0032701","negative regulation of interleukin-18 production","BP",0.02140892,"A.cervicornis","Florida"
"625","GO:0002925","positive regulation of humoral immune response mediated by circulating immunoglobulin","BP",0.02140892,"A.cervicornis","Florida"
"628","GO:0060585","positive regulation of prostaglandin-endoperoxide synthase activity","BP",0.02140892,"A.cervicornis","Florida"
"629","GO:0002227","innate immune response in mucosa","BP",0.02140892,"A.cervicornis","Florida"
"630","GO:0031398","positive regulation of protein ubiquitination","BP",0.036609559,"A.cervicornis","Florida"
"631","GO:0070431","nucleotide-binding oligomerization domain containing 2 signaling pathway","BP",0.02140892,"A.cervicornis","Florida"
"634","GO:0002253","activation of immune response","BP",0.047518818,"A.cervicornis","Florida"
"635","GO:2000363","positive regulation of prostaglandin-E synthase activity","BP",0.02140892,"A.cervicornis","Florida"
"637","GO:0032498","detection of muramyl dipeptide","BP",0.02140892,"A.cervicornis","Florida"
"638","GO:1905246","negative regulation of aspartic-type peptidase activity","BP",0.02140892,"A.cervicornis","Florida"
"639","GO:0016045","detection of bacterium","BP",0.02140892,"A.cervicornis","Florida"
"640","GO:2000110","negative regulation of macrophage apoptotic process","BP",0.02140892,"A.cervicornis","Florida"
"693","GO:0001763","morphogenesis of a branching structure","BP",0.027822697,"A.cervicornis","Florida"
"696","GO:1990417","snoRNA release from pre-rRNA","BP",0.023287271,"A.cervicornis","Florida"
"697","GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP",0.048184647,"A.cervicornis","Florida"
"701","GO:0030422","production of siRNA involved in RNA interference","BP",0.042361699,"A.cervicornis","Florida"
"703","GO:0048367","shoot system development","BP",0.042013392,"A.cervicornis","Florida"
"739","GO:0009247","glycolipid biosynthetic process","BP",0.045450337,"A.cervicornis","Florida"
"741","GO:0006664","glycolipid metabolic process","BP",0.045450337,"A.cervicornis","Florida"
"742","GO:0016055","Wnt signaling pathway","BP",0.04168485,"A.cervicornis","Florida"
"748","GO:1904893","negative regulation of receptor signaling pathway via STAT","BP",0.026197771,"A.cervicornis","Florida"
"750","GO:0072038","mesenchymal stem cell maintenance involved in nephron morphogenesis","BP",0.021408568,"A.cervicornis","Florida"
"751","GO:0072107","positive regulation of ureteric bud formation","BP",0.021408568,"A.cervicornis","Florida"
"753","GO:0072095","regulation of branch elongation involved in ureteric bud branching","BP",0.021408568,"A.cervicornis","Florida"
"754","GO:0001746","Bolwig's organ morphogenesis","BP",0.021408568,"A.cervicornis","Florida"
"755","GO:0007501","mesodermal cell fate specification","BP",0.042735035,"A.cervicornis","Florida"
"757","GO:1902732","positive regulation of chondrocyte proliferation","BP",0.038677081,"A.cervicornis","Florida"
"758","GO:0035271","ring gland development","BP",0.021408568,"A.cervicornis","Florida"
"759","GO:0001744","optic lobe placode formation","BP",0.021408568,"A.cervicornis","Florida"
"761","GO:0043282","pharyngeal muscle development","BP",0.021408568,"A.cervicornis","Florida"
"763","GO:0003337","mesenchymal to epithelial transition involved in metanephros morphogenesis","BP",0.021408568,"A.cervicornis","Florida"
"764","GO:0097168","mesenchymal stem cell proliferation","BP",0.021408568,"A.cervicornis","Florida"
"766","GO:0072161","mesenchymal cell differentiation involved in kidney development","BP",0.021408568,"A.cervicornis","Florida"
"767","GO:0048935","peripheral nervous system neuron development","BP",0.042367032,"A.cervicornis","Florida"
"768","GO:0032330","regulation of chondrocyte differentiation","BP",0.042396549,"A.cervicornis","Florida"
"769","GO:0014857","regulation of skeletal muscle cell proliferation","BP",0.021408568,"A.cervicornis","Florida"
"770","GO:0072137","condensed mesenchymal cell proliferation","BP",0.042303313,"A.cervicornis","Florida"
"771","GO:1900208","regulation of cardiolipin metabolic process","BP",0.029949103,"A.cervicornis","Florida"
"772","GO:1902957","negative regulation of mitochondrial electron transport, NADH to ubiquinone","BP",0.029949103,"A.cervicornis","Florida"
"773","GO:0009267","cellular response to starvation","BP",0.045587819,"A.cervicornis","Florida"
"774","GO:0048806","genitalia development","BP",0.029949103,"A.cervicornis","Florida"
"780","GO:0033339","pectoral fin development","BP",0.030458925,"A.cervicornis","Florida"
"781","GO:1903445","protein transport from ciliary membrane to plasma membrane","BP",0.030458925,"A.cervicornis","Florida"
"782","GO:1904645","response to amyloid-beta","BP",0.042787873,"A.cervicornis","Florida"
"784","GO:0046373","L-arabinose metabolic process","BP",0.021409242,"A.cervicornis","Florida"
"785","GO:2000697","negative regulation of epithelial cell differentiation involved in kidney development","BP",0.021409242,"A.cervicornis","Florida"
"863","GO:0042595","behavioral response to starvation","BP",0.023199075,"A.cervicornis","Florida"
"864","GO:1901416","regulation of response to ethanol","BP",0.023199075,"A.cervicornis","Florida"
"866","GO:0035358","regulation of peroxisome proliferator activated receptor signaling pathway","BP",0.023199075,"A.cervicornis","Florida"
"867","GO:1904644","cellular response to curcumin","BP",0.023199075,"A.cervicornis","Florida"
"869","GO:0051574","positive regulation of histone H3-K9 methylation","BP",0.023199075,"A.cervicornis","Florida"
"870","GO:2000111","positive regulation of macrophage apoptotic process","BP",0.023199075,"A.cervicornis","Florida"
"872","GO:1904648","cellular response to rotenone","BP",0.023199075,"A.cervicornis","Florida"
"873","GO:0070857","regulation of bile acid biosynthetic process","BP",0.043317952,"A.cervicornis","Florida"
"874","GO:1904373","response to kainic acid","BP",0.023199075,"A.cervicornis","Florida"
"875","GO:2000655","negative regulation of cellular response to testosterone stimulus","BP",0.023199075,"A.cervicornis","Florida"
"876","GO:0014858","positive regulation of skeletal muscle cell proliferation","BP",0.023199075,"A.cervicornis","Florida"
"877","GO:0010883","regulation of lipid storage","BP",0.04520816,"A.cervicornis","Florida"
"878","GO:1904638","response to resveratrol","BP",0.023199075,"A.cervicornis","Florida"
"879","GO:2000774","positive regulation of cellular senescence","BP",0.023199075,"A.cervicornis","Florida"
"880","GO:0090312","positive regulation of protein deacetylation","BP",0.023199075,"A.cervicornis","Florida"
"881","GO:0090400","stress-induced premature senescence","BP",0.023199075,"A.cervicornis","Florida"
"883","GO:0034983","peptidyl-lysine deacetylation","BP",0.044116784,"A.cervicornis","Florida"
"884","GO:0000183","rDNA heterochromatin assembly","BP",0.044079209,"A.cervicornis","Florida"
"885","GO:2000481","positive regulation of cAMP-dependent protein kinase activity","BP",0.023199075,"A.cervicornis","Florida"
"887","GO:0071441","negative regulation of histone H3-K14 acetylation","BP",0.023199075,"A.cervicornis","Florida"
"888","GO:0051097","negative regulation of helicase activity","BP",0.023199075,"A.cervicornis","Florida"
"889","GO:0010046","response to mycotoxin","BP",0.023199075,"A.cervicornis","Florida"
"890","GO:2000614","positive regulation of thyroid-stimulating hormone secretion","BP",0.023199075,"A.cervicornis","Florida"
"892","GO:0000720","pyrimidine dimer repair by nucleotide-excision repair","BP",0.023199075,"A.cervicornis","Florida"
"893","GO:0035356","cellular triglyceride homeostasis","BP",0.023199075,"A.cervicornis","Florida"
"894","GO:1902166","negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator","BP",0.023199075,"A.cervicornis","Florida"
"896","GO:0006642","triglyceride mobilization","BP",0.023199075,"A.cervicornis","Florida"
"897","GO:0060125","negative regulation of growth hormone secretion","BP",0.048778735,"A.cervicornis","Florida"
"899","GO:2000619","negative regulation of histone H4-K16 acetylation","BP",0.045177814,"A.cervicornis","Florida"
"900","GO:0002821","positive regulation of adaptive immune response","BP",0.023199075,"A.cervicornis","Florida"
"901","GO:0045348","positive regulation of MHC class II biosynthetic process","BP",0.045286654,"A.cervicornis","Florida"
"902","GO:1902176","negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway","BP",0.044108662,"A.cervicornis","Florida"
"904","GO:1904179","positive regulation of adipose tissue development","BP",0.023199075,"A.cervicornis","Florida"
"905","GO:0034391","regulation of smooth muscle cell apoptotic process","BP",0.023199075,"A.cervicornis","Florida"
"906","GO:0032071","regulation of endodeoxyribonuclease activity","BP",0.023199075,"A.cervicornis","Florida"
"907","GO:0061051","positive regulation of cell growth involved in cardiac muscle cell development","BP",0.046858676,"A.cervicornis","Florida"
"908","GO:0051152","positive regulation of smooth muscle cell differentiation","BP",0.023199075,"A.cervicornis","Florida"
"909","GO:0050872","white fat cell differentiation","BP",0.023199075,"A.cervicornis","Florida"
"910","GO:1900113","negative regulation of histone H3-K9 trimethylation","BP",0.042755269,"A.cervicornis","Florida"
"911","GO:0060907","positive regulation of macrophage cytokine production","BP",0.023199075,"A.cervicornis","Florida"
"913","GO:0031393","negative regulation of prostaglandin biosynthetic process","BP",0.023199075,"A.cervicornis","Florida"
"915","GO:0043518","negative regulation of DNA damage response, signal transduction by p53 class mediator","BP",0.047219471,"A.cervicornis","Florida"
"916","GO:0006346","DNA methylation-dependent heterochromatin assembly","BP",0.044113717,"A.cervicornis","Florida"
"919","GO:0071303","cellular response to vitamin B3","BP",0.023199075,"A.cervicornis","Florida"
"920","GO:0010305","leaf vascular tissue pattern formation","BP",0.030716833,"A.cervicornis","Florida"
"921","GO:0009933","meristem structural organization","BP",0.030716833,"A.cervicornis","Florida"
"922","GO:0010082","regulation of root meristem growth","BP",0.030716833,"A.cervicornis","Florida"
"923","GO:0048443","stamen development","BP",0.030716833,"A.cervicornis","Florida"
"925","GO:0048440","carpel development","BP",0.030716833,"A.cervicornis","Florida"
"926","GO:0010358","leaf shaping","BP",0.030716833,"A.cervicornis","Florida"
"927","GO:0000412","histone peptidyl-prolyl isomerization","BP",0.030716833,"A.cervicornis","Florida"
"928","GO:0009909","regulation of flower development","BP",0.030716833,"A.cervicornis","Florida"
"929","GO:0010338","leaf formation","BP",0.030716833,"A.cervicornis","Florida"
"930","GO:0048453","sepal formation","BP",0.030716833,"A.cervicornis","Florida"
"931","GO:0009629","response to gravity","BP",0.045584324,"A.cervicornis","Florida"
"932","GO:0001675","acrosome assembly","BP",0.042846884,"A.cervicornis","Florida"
"948","GO:0034381","plasma lipoprotein particle clearance","BP",0.024248516,"A.cervicornis","Florida"
"950","GO:0010886","positive regulation of cholesterol storage","BP",0.046995633,"A.cervicornis","Florida"
"951","GO:0097242","amyloid-beta clearance","BP",0.047940813,"A.cervicornis","Florida"
"954","GO:0010744","positive regulation of macrophage derived foam cell differentiation","BP",0.024248516,"A.cervicornis","Florida"
"956","GO:0051382","kinetochore assembly","BP",0.033559155,"A.cervicornis","Florida"
"960","GO:0046477","glycosylceramide catabolic process","BP",0.044450646,"A.cervicornis","Florida"
"965","GO:0071493","cellular response to UV-B","BP",0.021153966,"A.cervicornis","Florida"
"969","GO:1900106","positive regulation of hyaluranon cable assembly","BP",0.021153966,"A.cervicornis","Florida"
"971","GO:0030207","chondroitin sulfate catabolic process","BP",0.021153966,"A.cervicornis","Florida"
"972","GO:0030213","hyaluronan biosynthetic process","BP",0.021153966,"A.cervicornis","Florida"
"975","GO:0030214","hyaluronan catabolic process","BP",0.021153966,"A.cervicornis","Florida"
"977","GO:0006398","mRNA 3'-end processing by stem-loop binding and cleavage","BP",0.03432239,"A.cervicornis","Florida"
"150","GO:0080144","amino acid homeostasis","BP",0.005654587,"M.cavernosa","Florida"
"3","GO:0072488","ammonium transmembrane transport","BP",0.019601482,"M.cavernosa","Florida"
"410","GO:0097065","anterior head development","BP",0.031983885,"M.cavernosa","Florida"
"8","GO:0060928","atrioventricular node cell development","BP",0.009679747,"M.cavernosa","Florida"
"10","GO:0000422","autophagy of mitochondrion","BP",0.024445749,"M.cavernosa","Florida"
"12","GO:0001782","B cell homeostasis","BP",0.026048226,"M.cavernosa","Florida"
"14","GO:0061312","BMP signaling pathway involved in heart development","BP",0.009502871,"M.cavernosa","Florida"
"16","GO:0070509","calcium ion import","BP",0.043535909,"M.cavernosa","Florida"
"176","GO:0003215","cardiac right ventricle morphogenesis","BP",0.029716596,"M.cavernosa","Florida"
"1910","GO:0001502","cartilage condensation","BP",0.043304951,"M.cavernosa","Florida"
"212","GO:0071360","cellular response to exogenous dsRNA","BP",0.025118304,"M.cavernosa","Florida"
"23","GO:0071455","cellular response to hyperoxia","BP",0.018665681,"M.cavernosa","Florida"
"257","GO:0071315","cellular response to morphine","BP",0.009650168,"M.cavernosa","Florida"
"27","GO:1990090","cellular response to nerve growth factor stimulus","BP",0.006368957,"M.cavernosa","Florida"
"29","GO:0036120","cellular response to platelet-derived growth factor stimulus","BP",0.043272832,"M.cavernosa","Florida"
