Orthogroup	GCF_002042975.1_ofav_dov_v1_protein	Mcavernosa.maker.proteins
OG0000012	XP_020628196.1, XP_020628194.1	Mcavernosa24341-RA
OG0000013	XP_020620756.1	Mcavernosa23938-RA
OG0000014	XP_020631561.1	Mcavernosa08072-RA, Mcavernosa08071-RA
OG0000014	XP_020602755.1	Mcavernosa26712-RA
OG0000014	XP_020621437.1	Mcavernosa22757-RA
OG0000015	XP_020624752.1, XP_020624751.1, XP_020624753.1, XP_020624701.1, XP_020624700.1, XP_020624691.1, XP_020616112.1	Mcavernosa12684-RA, Mcavernosa12683-RA
OG0000015	XP_020609480.1, XP_020609479.1, XP_020609482.1	Mcavernosa06424-RA, Mcavernosa06425-RA, Mcavernosa06422-RA
OG0000016	XP_020621537.1, XP_020627146.1, XP_020625890.1, XP_020625889.1, XP_020624102.1	Mcavernosa11913-RA
OG0000016	XP_020614055.1, XP_020614054.1	Mcavernosa06319-RA
OG0000017	XP_020627846.1	Mcavernosa30106-RA, Mcavernosa25308-RA, Mcavernosa25393-RA, Mcavernosa21143-RA, Mcavernosa21142-RA
OG0000018	XP_020607846.1	Mcavernosa30129-RA
OG0000018	XP_020613056.1, XP_020622931.1	Mcavernosa27765-RA
OG0000018	XP_020602072.1	Mcavernosa08814-RA, Mcavernosa27642-RA, Mcavernosa27646-RA
OG0000020	XP_020607029.1	Mcavernosa26396-RA
OG0000020	XP_020621061.1	Mcavernosa04604-RA
OG0000021	XP_020632897.1	Mcavernosa11106-RA, Mcavernosa05559-RA
OG0000022	XP_020619127.1, XP_020614000.1	Mcavernosa28673-RA
OG0000025	XP_020605230.1	Mcavernosa20067-RA
OG0000025	XP_020600823.1	Mcavernosa21314-RA, Mcavernosa21315-RA
OG0000025	XP_020605220.1, XP_020604979.1	Mcavernosa20066-RA
OG0000025	XP_020604653.1	Mcavernosa28460-RA, Mcavernosa28463-RA
OG0000025	XP_020604511.1, XP_020604510.1, XP_020604509.1, XP_020604508.1	Mcavernosa28462-RA
OG0000026	XP_020622880.1	Mcavernosa02665-RA
OG0000026	XP_020604651.1	Mcavernosa02666-RA
OG0000027	XP_020627832.1, XP_020627766.1	Mcavernosa27416-RA, Mcavernosa22372-RA, Mcavernosa27417-RA, Mcavernosa22373-RA
OG0000029	XP_020601156.1	Mcavernosa31797-RA
OG0000029	XP_020613311.1, XP_020613329.1	Mcavernosa32391-RA
OG0000029	XP_020630872.1, XP_020627705.1	Mcavernosa22650-RA
OG0000029	XP_020613312.1	Mcavernosa32390-RA
OG0000029	XP_020607916.1, XP_020630873.1, XP_020630870.1	Mcavernosa22649-RA
OG0000030	XP_020608059.1, XP_020608057.1, XP_020608058.1	Mcavernosa19066-RA, Mcavernosa33626-RA
OG0000030	XP_020620346.1, XP_020611887.1, XP_020611888.1, XP_020611889.1, XP_020617981.1, XP_020617982.1	Mcavernosa34429-RA, Mcavernosa27468-RA, Mcavernosa02512-RA, Mcavernosa14348-RA, Mcavernosa34603-RA, Mcavernosa10177-RA, Mcavernosa26151-RA
OG0000030	XP_020623751.1, XP_020622144.1	Mcavernosa29578-RA, Mcavernosa04064-RA, Mcavernosa04619-RA
OG0000030	XP_020620202.1	Mcavernosa14349-RA, Mcavernosa34602-RA, Mcavernosa19921-RA, Mcavernosa31312-RA, Mcavernosa27772-RA
OG0000031	XP_020601925.1	Mcavernosa24329-RA, Mcavernosa28166-RA, Mcavernosa28160-RA, Mcavernosa28161-RA, Mcavernosa24330-RA
OG0000032	XP_020621386.1, XP_020622254.1	Mcavernosa27182-RA, Mcavernosa23941-RA
OG0000035	XP_020620770.1	Mcavernosa20960-RA
OG0000035	XP_020614925.1, XP_020616714.1	Mcavernosa02849-RA
OG0000035	XP_020625533.1	Mcavernosa11883-RA
OG0000035	XP_020606541.1	Mcavernosa33693-RA, Mcavernosa20206-RA, Mcavernosa20196-RA
OG0000036	XP_020609308.1	Mcavernosa01964-RA, Mcavernosa01967-RA
OG0000036	XP_020604882.1, XP_020604885.1, XP_020604883.1, XP_020604723.1	Mcavernosa16945-RA
OG0000036	XP_020600469.1, XP_020600468.1	Mcavernosa13380-RA, Mcavernosa13381-RA
OG0000036	XP_020629612.1	Mcavernosa03513-RA
OG0000036	XP_020609251.1	Mcavernosa28336-RA, Mcavernosa01966-RA, Mcavernosa28335-RA
OG0000036	XP_020609252.1, XP_020609253.1, XP_020609254.1	Mcavernosa28333-RA
OG0000041	XP_020631331.1	Mcavernosa10080-RA
OG0000041	XP_020619299.1	Mcavernosa19565-RA
OG0000041	XP_020608300.1	Mcavernosa33475-RA
OG0000041	XP_020601331.1	Mcavernosa19055-RA, Mcavernosa19028-RA, Mcavernosa17538-RA
OG0000041	XP_020607866.1	Mcavernosa17539-RA, Mcavernosa29161-RA, Mcavernosa17536-RA
OG0000041	XP_020603386.1	Mcavernosa17819-RA
OG0000043	XP_020600525.1, XP_020600524.1, XP_020606127.1, XP_020601316.1, XP_020601317.1, XP_020628388.1, XP_020628430.1, XP_020628429.1, XP_020614729.1	Mcavernosa11047-RA
OG0000043	XP_020609728.1	Mcavernosa25231-RA, Mcavernosa16874-RA
OG0000044	XP_020602518.1	Mcavernosa31914-RA, Mcavernosa17893-RA, Mcavernosa23365-RA, Mcavernosa33624-RA
OG0000044	XP_020602517.1	Mcavernosa31911-RA
OG0000045	XP_020617947.1	Mcavernosa33134-RA, Mcavernosa24793-RA
OG0000045	XP_020623970.1, XP_020620734.1, XP_020609697.1, XP_020629500.1, XP_020600939.1, XP_020600941.1, XP_020600942.1, XP_020600944.1, XP_020600940.1, XP_020624106.1, XP_020617184.1, XP_020629770.1	Mcavernosa07115-RA
OG0000047	XP_020604162.1, XP_020617570.1	Mcavernosa21359-RA
OG0000048	XP_020615708.1, XP_020615706.1, XP_020615707.1	Mcavernosa09943-RA
OG0000049	XP_020614132.1, XP_020609179.1, XP_020623899.1	Mcavernosa19954-RA, Mcavernosa33237-RA, Mcavernosa28132-RA, Mcavernosa23280-RA
OG0000053	XP_020603145.1, XP_020629572.1, XP_020629642.1	Mcavernosa32765-RA, Mcavernosa23210-RA
OG0000053	XP_020619434.1, XP_020619433.1	Mcavernosa23212-RA
OG0000054	XP_020625488.1	Mcavernosa30506-RA, Mcavernosa02136-RA, Mcavernosa14358-RA
OG0000055	XP_020619664.1, XP_020619662.1, XP_020625398.1, XP_020623243.1, XP_020619613.1, XP_020627723.1, XP_020625407.1, XP_020625846.1, XP_020625853.1	Mcavernosa34575-RA
OG0000055	XP_020621557.1, XP_020613969.1, XP_020621678.1	Mcavernosa12136-RA
OG0000056	XP_020630719.1	Mcavernosa07912-RA
OG0000056	XP_020630609.1	Mcavernosa07913-RA, Mcavernosa07916-RA
OG0000057	XP_020616577.1, XP_020616564.1	Mcavernosa20864-RA
OG0000058	XP_020630492.1, XP_020630493.1, XP_020630494.1, XP_020630495.1, XP_020609264.1, XP_020609263.1, XP_020609262.1, XP_020601644.1, XP_020601166.1, XP_020630387.1	Mcavernosa11660-RA
OG0000059	XP_020602071.1, XP_020602069.1, XP_020623868.1	Mcavernosa27878-RA, Mcavernosa27866-RA, Mcavernosa15770-RA, Mcavernosa27867-RA, Mcavernosa27868-RA
OG0000060	XP_020625603.1, XP_020625602.1, XP_020625601.1, XP_020625600.1, XP_020630550.1, XP_020617931.1, XP_020617927.1, XP_020617926.1, XP_020617930.1, XP_020617929.1, XP_020617928.1, XP_020617933.1, XP_020617932.1, XP_020617935.1, XP_020617934.1, XP_020617936.1, XP_020630526.1, XP_020630525.1	Mcavernosa01859-RA, Mcavernosa10980-RA
OG0000060	XP_020617938.1, XP_020617937.1	Mcavernosa16515-RA
OG0000060	XP_020614090.1, XP_020630502.1	Mcavernosa34230-RA
OG0000060	XP_020611030.1, XP_020611031.1	Mcavernosa29410-RA
OG0000060	XP_020612641.1	Mcavernosa25858-RA
OG0000061	XP_020620875.1, XP_020620876.1	Mcavernosa27448-RA
OG0000061	XP_020620874.1	Mcavernosa18961-RA
OG0000061	XP_020620989.1, XP_020620990.1	Mcavernosa18960-RA
OG0000061	XP_020620878.1	Mcavernosa18962-RA
OG0000063	XP_020616624.1	Mcavernosa14374-RA
OG0000065	XP_020605998.1	Mcavernosa31972-RA
OG0000065	XP_020624253.1	Mcavernosa07140-RA
OG0000065	XP_020615370.1	Mcavernosa25561-RA
OG0000065	XP_020626418.1, XP_020626422.1, XP_020615365.1, XP_020615385.1, XP_020615366.1, XP_020615356.1, XP_020615358.1, XP_020615373.1	Mcavernosa25562-RA
OG0000066	XP_020630815.1	Mcavernosa32307-RA
OG0000066	XP_020607911.1	Mcavernosa25799-RA, Mcavernosa25800-RA, Mcavernosa31906-RA, Mcavernosa11912-RA, Mcavernosa19533-RA
OG0000067	XP_020621035.1, XP_020621036.1, XP_020623007.1	Mcavernosa07904-RA
OG0000069	XP_020631096.1, XP_020609717.1	Mcavernosa17556-RA, Mcavernosa09501-RA, Mcavernosa17557-RA
OG0000069	XP_020622982.1	Mcavernosa30138-RA, Mcavernosa05649-RA
OG0000069	XP_020625887.1	Mcavernosa27632-RA
OG0000070	XP_020605568.1, XP_020605569.1, XP_020605658.1, XP_020626821.1	Mcavernosa08157-RA
OG0000071	XP_020615557.1	Mcavernosa12461-RA
OG0000071	XP_020602097.1	Mcavernosa12462-RA
OG0000071	XP_020602083.1	Mcavernosa12464-RA
OG0000071	XP_020621379.1	Mcavernosa12458-RA, Mcavernosa12456-RA, Mcavernosa12459-RA
OG0000072	XP_020620891.1, XP_020627081.1, XP_020619420.1, XP_020629758.1, XP_020620485.1	Mcavernosa35142-RA, Mcavernosa20647-RA, Mcavernosa04771-RA
OG0000074	XP_020623945.1	Mcavernosa17608-RA
OG0000074	XP_020619678.1	Mcavernosa02085-RA, Mcavernosa26923-RA, Mcavernosa09510-RA, Mcavernosa20122-RA, Mcavernosa19092-RA, Mcavernosa30470-RA, Mcavernosa24776-RA, Mcavernosa21258-RA
OG0000075	XP_020631558.1, XP_020631559.1, XP_020631560.1	Mcavernosa31903-RA
OG0000076	XP_020605623.1	Mcavernosa11352-RA
OG0000077	XP_020626190.1, XP_020622717.1, XP_020623794.1, XP_020623804.1, XP_020623813.1, XP_020622854.1, XP_020622736.1, XP_020622561.1, XP_020614044.1	Mcavernosa16149-RA, Mcavernosa32819-RA, Mcavernosa34677-RA, Mcavernosa22487-RA, Mcavernosa15349-RA
OG0000080	XP_020606617.1	Mcavernosa04235-RA
OG0000081	XP_020614402.1, XP_020617223.1, XP_020623490.1, XP_020623472.1, XP_020623473.1, XP_020617222.1, XP_020623442.1, XP_020628599.1	Mcavernosa11573-RA
OG0000082	XP_020621443.1, XP_020624196.1, XP_020607568.1, XP_020624950.1	Mcavernosa31272-RA
OG0000083	XP_020626538.1, XP_020626552.1, XP_020623151.1, XP_020623150.1, XP_020626656.1, XP_020626657.1, XP_020626535.1, XP_020626636.1, XP_020626635.1, XP_020626634.1, XP_020626595.1, XP_020626597.1, XP_020613256.1, XP_020613259.1, XP_020613260.1, XP_020613258.1, XP_020613257.1	Mcavernosa08890-RA
OG0000085	XP_020629799.1	Mcavernosa01374-RA
OG0000085	XP_020629800.1	Mcavernosa34441-RA, Mcavernosa01371-RA
OG0000086	XP_020604468.1, XP_020628651.1, XP_020616054.1, XP_020628039.1, XP_020630538.1	Mcavernosa29534-RA
OG0000088	XP_020630523.1	Mcavernosa11680-RA
OG0000088	XP_020630418.1	Mcavernosa11683-RA
OG0000088	XP_020630417.1, XP_020630424.1, XP_020630453.1	Mcavernosa11684-RA
OG0000088	XP_020630524.1	Mcavernosa11681-RA
OG0000089	XP_020613521.1	Mcavernosa30315-RA
OG0000089	XP_020626972.1, XP_020609708.1, XP_020621603.1	Mcavernosa14214-RA
OG0000089	XP_020607840.1, XP_020607835.1, XP_020607834.1	Mcavernosa06788-RA
OG0000093	XP_020605081.1	Mcavernosa08536-RA, Mcavernosa34471-RA, Mcavernosa09533-RA, Mcavernosa27476-RA
OG0000093	XP_020612434.1	Mcavernosa25805-RA, Mcavernosa09305-RA, Mcavernosa09294-RA, Mcavernosa19793-RA, Mcavernosa30196-RA, Mcavernosa24296-RA, Mcavernosa35053-RA, Mcavernosa16459-RA, Mcavernosa24297-RA
OG0000093	XP_020615575.1	Mcavernosa02621-RA, Mcavernosa02620-RA
OG0000094	XP_020608731.1, XP_020608721.1	Mcavernosa29661-RA
OG0000094	XP_020618359.1	Mcavernosa30319-RA
OG0000094	XP_020618381.1, XP_020618154.1	Mcavernosa01649-RA, Mcavernosa01661-RA, Mcavernosa01629-RA, Mcavernosa01660-RA
OG0000095	XP_020606858.1	Mcavernosa00664-RA, Mcavernosa15010-RA
OG0000095	XP_020621456.1	Mcavernosa15008-RA
OG0000095	XP_020606859.1	Mcavernosa23096-RA
OG0000096	XP_020613292.1	Mcavernosa32100-RA
OG0000096	XP_020630242.1	Mcavernosa33283-RA, Mcavernosa00300-RA
OG0000098	XP_020607279.1	Mcavernosa19097-RA, Mcavernosa03269-RA, Mcavernosa03270-RA
OG0000098	XP_020607300.1, XP_020607290.1	Mcavernosa03259-RA
OG0000098	XP_020607495.1, XP_020607503.1, XP_020607560.1, XP_020607553.1, XP_020607566.1, XP_020607593.1, XP_020607585.1, XP_020607577.1, XP_020607697.1, XP_020607705.1, XP_020607514.1, XP_020607522.1, XP_020607535.1	Mcavernosa03262-RA, Mcavernosa03267-RA, Mcavernosa23945-RA, Mcavernosa03264-RA
OG0000099	XP_020626200.1, XP_020626201.1	Mcavernosa08711-RA
OG0000099	XP_020622655.1, XP_020622730.1, XP_020622692.1	Mcavernosa33915-RA
OG0000099	XP_020622654.1	Mcavernosa27723-RA
OG0000099	XP_020622728.1, XP_020622729.1, XP_020622657.1	Mcavernosa33916-RA
OG0000100	XP_020631175.1, XP_020619451.1, XP_020619432.1, XP_020619431.1, XP_020619429.1, XP_020621357.1, XP_020621350.1, XP_020621351.1, XP_020621352.1, XP_020621354.1, XP_020621353.1, XP_020621355.1, XP_020621349.1, XP_020621347.1, XP_020621348.1, XP_020602096.1, XP_020619440.1, XP_020615324.1	Mcavernosa02733-RA
OG0000102	XP_020627894.1, XP_020627895.1	Mcavernosa25556-RA
OG0000102	XP_020628021.1, XP_020631754.1, XP_020631761.1	Mcavernosa34437-RA
OG0000102	XP_020615024.1, XP_020615023.1	Mcavernosa10552-RA
OG0000102	XP_020615019.1, XP_020615020.1, XP_020615021.1, XP_020615022.1	Mcavernosa10551-RA
OG0000102	XP_020627994.1, XP_020617380.1	Mcavernosa10569-RA
OG0000102	XP_020627910.1	Mcavernosa35121-RA
OG0000103	XP_020622414.1	Mcavernosa19918-RA, Mcavernosa19923-RA, Mcavernosa11021-RA, Mcavernosa34527-RA, Mcavernosa33308-RA, Mcavernosa34525-RA
OG0000103	XP_020606610.1, XP_020606604.1, XP_020606609.1, XP_020606603.1, XP_020606602.1	Mcavernosa27084-RA
OG0000104	XP_020611004.1, XP_020610996.1, XP_020610998.1, XP_020610997.1	Mcavernosa14898-RA
OG0000104	XP_020622429.1, XP_020625784.1, XP_020623180.1	Mcavernosa10842-RA
OG0000109	XP_020628241.1	Mcavernosa07350-RA
OG0000109	XP_020616869.1	Mcavernosa32911-RA, Mcavernosa26966-RA, Mcavernosa22265-RA, Mcavernosa00569-RA, Mcavernosa29056-RA, Mcavernosa32969-RA, Mcavernosa25498-RA, Mcavernosa29817-RA
OG0000112	XP_020623974.1	Mcavernosa30463-RA
OG0000113	XP_020625491.1	Mcavernosa04729-RA, Mcavernosa34219-RA, Mcavernosa34082-RA, Mcavernosa32872-RA, Mcavernosa34925-RA, Mcavernosa30310-RA
OG0000114	XP_020627845.1	Mcavernosa11164-RA, Mcavernosa24343-RA
OG0000116	XP_020611849.1	Mcavernosa08315-RA
OG0000116	XP_020600573.1	Mcavernosa34884-RA
OG0000116	XP_020631653.1, XP_020631654.1	Mcavernosa08094-RA, Mcavernosa09443-RA
OG0000116	XP_020608537.1, XP_020608496.1, XP_020608495.1	Mcavernosa33768-RA
OG0000116	XP_020604431.1	Mcavernosa31028-RA
OG0000116	XP_020613763.1, XP_020611164.1, XP_020611175.1	Mcavernosa22527-RA
OG0000116	XP_020613761.1, XP_020613762.1	Mcavernosa22526-RA
OG0000116	XP_020610823.1, XP_020610642.1, XP_020610651.1, XP_020610831.1	Mcavernosa11332-RA
OG0000116	XP_020610842.1, XP_020610849.1	Mcavernosa34605-RA, Mcavernosa34606-RA
OG0000117	XP_020623352.1, XP_020623351.1, XP_020623353.1, XP_020623354.1	Mcavernosa06028-RA, Mcavernosa03666-RA
OG0000117	XP_020617260.1	Mcavernosa29527-RA, Mcavernosa06032-RA, Mcavernosa06031-RA, Mcavernosa06036-RA
OG0000118	XP_020630902.1	Mcavernosa35043-RA, Mcavernosa32315-RA
OG0000118	XP_020624811.1, XP_020624814.1, XP_020617296.1	Mcavernosa32314-RA, Mcavernosa33208-RA, Mcavernosa23472-RA
OG0000121	XP_020614656.1	Mcavernosa28439-RA
OG0000121	XP_020625409.1, XP_020614229.1	Mcavernosa01703-RA, Mcavernosa21418-RA
OG0000122	XP_020622497.1	Mcavernosa19226-RA, Mcavernosa35125-RA, Mcavernosa21840-RA, Mcavernosa19070-RA, Mcavernosa08390-RA, Mcavernosa17386-RA, Mcavernosa23864-RA, Mcavernosa35026-RA, Mcavernosa05764-RA, Mcavernosa17388-RA, Mcavernosa21836-RA
OG0000123	XP_020611916.1	Mcavernosa16634-RA
OG0000124	XP_020601045.1	Mcavernosa22177-RA, Mcavernosa28973-RA, Mcavernosa22182-RA
OG0000124	XP_020620607.1	Mcavernosa23251-RA
OG0000125	XP_020624921.1, XP_020624918.1	Mcavernosa33615-RA
OG0000125	XP_020628377.1	Mcavernosa06233-RA
OG0000126	XP_020610300.1	Mcavernosa31992-RA, Mcavernosa34649-RA, Mcavernosa34540-RA, Mcavernosa33840-RA
OG0000129	XP_020608456.1, XP_020608455.1, XP_020608353.1	Mcavernosa16235-RA
OG0000129	XP_020614294.1, XP_020608352.1, XP_020608374.1	Mcavernosa16237-RA, Mcavernosa16240-RA, Mcavernosa31508-RA
OG0000129	XP_020608376.1, XP_020608375.1	Mcavernosa16239-RA
OG0000129	XP_020608377.1	Mcavernosa31509-RA
OG0000130	XP_020608551.1	Mcavernosa11005-RA, Mcavernosa24673-RA
OG0000130	XP_020612544.1	Mcavernosa20101-RA
OG0000130	XP_020613121.1	Mcavernosa23994-RA
OG0000130	XP_020606850.1, XP_020615537.1, XP_020615536.1, XP_020615461.1	Mcavernosa10157-RA
OG0000130	XP_020619453.1	Mcavernosa04571-RA
OG0000130	XP_020619526.1	Mcavernosa04570-RA
OG0000131	XP_020614960.1	Mcavernosa25694-RA
OG0000133	XP_020623526.1	Mcavernosa02989-RA, Mcavernosa03559-RA, Mcavernosa32504-RA, Mcavernosa02988-RA, Mcavernosa02987-RA, Mcavernosa32501-RA, Mcavernosa11967-RA, Mcavernosa02447-RA
OG0000135	XP_020627182.1	Mcavernosa29559-RA, Mcavernosa30686-RA, Mcavernosa22332-RA, Mcavernosa33856-RA, Mcavernosa33430-RA
OG0000137	XP_020619479.1	Mcavernosa04588-RA, Mcavernosa04594-RA
OG0000137	XP_020612313.1, XP_020612304.1, XP_020612322.1, XP_020612332.1, XP_020612340.1, XP_020612296.1, XP_020612377.1, XP_020612367.1, XP_020612349.1, XP_020612358.1, XP_020612213.1	Mcavernosa27719-RA, Mcavernosa23987-RA, Mcavernosa33313-RA, Mcavernosa27089-RA
OG0000140	XP_020622503.1	Mcavernosa05587-RA
OG0000140	XP_020626038.1	Mcavernosa17513-RA
OG0000140	XP_020616758.1	Mcavernosa09895-RA, Mcavernosa09896-RA
OG0000140	XP_020632884.1, XP_020632892.1, XP_020622502.1, XP_020632953.1, XP_020600412.1, XP_020600441.1	Mcavernosa10052-RA, Mcavernosa28994-RA
OG0000140	XP_020616482.1, XP_020610488.1	Mcavernosa30510-RA
OG0000141	XP_020602723.1	Mcavernosa10690-RA, Mcavernosa10691-RA, Mcavernosa10685-RA
OG0000145	XP_020613577.1, XP_020613578.1, XP_020613584.1, XP_020613583.1, XP_020613807.1, XP_020613580.1, XP_020613815.1, XP_020618515.1	Mcavernosa01108-RA
OG0000145	XP_020615560.1, XP_020618228.1, XP_020628200.1, XP_020627105.1, XP_020627106.1, XP_020627107.1, XP_020627124.1, XP_020621038.1, XP_020605284.1	Mcavernosa11469-RA
OG0000146	XP_020620153.1	Mcavernosa19264-RA
OG0000146	XP_020623990.1	Mcavernosa25784-RA, Mcavernosa33984-RA
OG0000149	XP_020624349.1	Mcavernosa05768-RA, Mcavernosa33039-RA
OG0000151	XP_020621174.1	Mcavernosa18827-RA
OG0000152	XP_020610314.1	Mcavernosa18562-RA
OG0000152	XP_020610313.1	Mcavernosa18561-RA
OG0000152	XP_020610722.1, XP_020610723.1	Mcavernosa20786-RA, Mcavernosa20787-RA, Mcavernosa20785-RA
OG0000154	XP_020619409.1, XP_020608920.1	Mcavernosa19284-RA, Mcavernosa07340-RA, Mcavernosa32426-RA
OG0000154	XP_020619410.1, XP_020608921.1, XP_020608674.1, XP_020632515.1	Mcavernosa22085-RA, Mcavernosa22082-RA
OG0000155	XP_020621514.1, XP_020616762.1, XP_020607077.1, XP_020607075.1, XP_020607079.1, XP_020606897.1, XP_020607073.1	Mcavernosa15164-RA
OG0000155	XP_020610682.1, XP_020610724.1	Mcavernosa00307-RA, Mcavernosa32754-RA, Mcavernosa05318-RA, Mcavernosa00308-RA
OG0000155	XP_020610680.1	Mcavernosa20793-RA
OG0000156	XP_020629515.1, XP_020629516.1, XP_020629513.1, XP_020629514.1, XP_020624007.1, XP_020624006.1, XP_020623987.1	Mcavernosa32524-RA
OG0000156	XP_020629658.1	Mcavernosa28330-RA
OG0000157	XP_020620723.1, XP_020620722.1	Mcavernosa08167-RA
OG0000157	XP_020610668.1	Mcavernosa17966-RA, Mcavernosa17969-RA
OG0000157	XP_020610719.1	Mcavernosa17970-RA
OG0000157	XP_020612560.1, XP_020612518.1	Mcavernosa03123-RA, Mcavernosa03127-RA
OG0000159	XP_020613000.1, XP_020616788.1, XP_020627683.1, XP_020608301.1, XP_020619889.1, XP_020631358.1, XP_020610250.1	Mcavernosa32444-RA
OG0000161	XP_020615080.1	Mcavernosa19138-RA, Mcavernosa29121-RA
OG0000161	XP_020618087.1, XP_020615105.1	Mcavernosa22736-RA
OG0000162	XP_020612212.1	Mcavernosa05787-RA
OG0000162	XP_020618050.1	Mcavernosa02117-RA, Mcavernosa05788-RA, Mcavernosa02114-RA
OG0000162	XP_020612211.1, XP_020618049.1, XP_020618048.1	Mcavernosa02113-RA, Mcavernosa05786-RA
OG0000163	XP_020627924.1	Mcavernosa04769-RA, Mcavernosa11148-RA
OG0000166	XP_020604994.1	Mcavernosa27338-RA, Mcavernosa16127-RA, Mcavernosa26434-RA, Mcavernosa01726-RA, Mcavernosa34122-RA, Mcavernosa15797-RA, Mcavernosa23524-RA, Mcavernosa34121-RA
OG0000167	XP_020616344.1	Mcavernosa08736-RA
OG0000168	XP_020625497.1	Mcavernosa07114-RA
OG0000169	XP_020617519.1, XP_020617518.1	Mcavernosa09020-RA, Mcavernosa09021-RA
OG0000170	XP_020624804.1	Mcavernosa00345-RA, Mcavernosa10587-RA
OG0000170	XP_020606321.1, XP_020606322.1, XP_020606320.1, XP_020606319.1, XP_020606307.1, XP_020606249.1	Mcavernosa10588-RA, Mcavernosa10589-RA
OG0000171	XP_020617832.1	Mcavernosa35087-RA
OG0000171	XP_020617772.1, XP_020616565.1, XP_020616557.1, XP_020616548.1, XP_020616538.1, XP_020617819.1	Mcavernosa29798-RA
OG0000171	XP_020617821.1	Mcavernosa29799-RA
OG0000171	XP_020620850.1, XP_020617806.1	Mcavernosa20710-RA
OG0000173	XP_020606685.1, XP_020606664.1	Mcavernosa24085-RA
OG0000173	XP_020606676.1	Mcavernosa32637-RA, Mcavernosa19474-RA
OG0000173	XP_020606683.1, XP_020606684.1, XP_020606671.1	Mcavernosa24084-RA, Mcavernosa29414-RA
OG0000173	XP_020606679.1, XP_020606668.1, XP_020606669.1, XP_020606670.1	Mcavernosa29412-RA
OG0000175	XP_020613623.1, XP_020613573.1	Mcavernosa30677-RA
OG0000175	XP_020613574.1	Mcavernosa07309-RA
OG0000175	XP_020608770.1	Mcavernosa16286-RA
OG0000175	XP_020608766.1, XP_020608768.1, XP_020608767.1, XP_020608764.1, XP_020608765.1, XP_020608769.1	Mcavernosa16283-RA, Mcavernosa16285-RA, Mcavernosa16284-RA
OG0000178	XP_020605310.1	Mcavernosa20169-RA, Mcavernosa29174-RA, Mcavernosa06700-RA, Mcavernosa34270-RA
OG0000178	XP_020607913.1	Mcavernosa20872-RA
OG0000179	XP_020612123.1, XP_020612122.1	Mcavernosa29189-RA
