Orthogroup	GCF_002042975.1_ofav_dov_v1_protein	Pocillopora_acuta_HIv1.genes.pep
OG0000003	XP_020613041.1, XP_020601369.1, XP_020620973.1, XP_020620972.1	Pocillopora_acuta_HIv1_PredGene_g25281.t1, Pocillopora_acuta_HIv1_PredGene_g25282.t1, Pocillopora_acuta_HIv1_PredGene_g11895.t1, Pocillopora_acuta_HIv1_PredGene_g25283.t1, Pocillopora_acuta_HIv1_PredGene_g27133.t1, Pocillopora_acuta_HIv1_PredGene_4649_t, Pocillopora_acuta_HIv1_PredGene_g1817.t1, Pocillopora_acuta_HIv1_PredGene_g14308.t1, Pocillopora_acuta_HIv1_PredGene_g14308.t2, Pocillopora_acuta_HIv1_PredGene_g13916.t1, Pocillopora_acuta_HIv1_PredGene_g13924.t1, Pocillopora_acuta_HIv1_PredGene_g13914.t1
OG0000003	XP_020615517.1	Pocillopora_acuta_HIv1_PredGene_g12233.t1
OG0000003	XP_020622248.1, XP_020622251.1, XP_020622243.1, XP_020622236.1	Pocillopora_acuta_HIv1_PredGene_g32359.t1
OG0000003	XP_020614951.1, XP_020614949.1, XP_020614950.1, XP_020623188.1	Pocillopora_acuta_HIv1_PredGene_g32348.t1, Pocillopora_acuta_HIv1_PredGene_g17514.t1, Pocillopora_acuta_HIv1_PredGene_g32355.t1, Pocillopora_acuta_HIv1_PredGene_g17512.t1, Pocillopora_acuta_HIv1_PredGene_g32356.t1, Pocillopora_acuta_HIv1_PredGene_g17515.t1, Pocillopora_acuta_HIv1_PredGene_g17513.t1, Pocillopora_acuta_HIv1_PredGene_g32357.t1
OG0000003	XP_020601815.1	Pocillopora_acuta_HIv1_PredGene_g12236.t1
OG0000003	XP_020602449.1, XP_020611938.1, XP_020611937.1, XP_020611816.1	Pocillopora_acuta_HIv1_PredGene_13135_t, Pocillopora_acuta_HIv1_PredGene_g6994.t1, Pocillopora_acuta_HIv1_PredGene_g6996.t1, Pocillopora_acuta_HIv1_PredGene_g6991.t1
OG0000004	XP_020606387.1	Pocillopora_acuta_HIv1_PredGene_g26776.t1
OG0000004	XP_020608552.1, XP_020608630.1	Pocillopora_acuta_HIv1_PredGene_g3261.t1
OG0000004	XP_020628695.1	Pocillopora_acuta_HIv1_PredGene_g24696.t1
OG0000004	XP_020601876.1	Pocillopora_acuta_HIv1_PredGene_g9153.t1, Pocillopora_acuta_HIv1_PredGene_3330_t
OG0000004	XP_020603642.1	Pocillopora_acuta_HIv1_PredGene_g21437.t1, Pocillopora_acuta_HIv1_PredGene_g21445.t1, Pocillopora_acuta_HIv1_PredGene_g21434.t1
OG0000004	XP_020612450.1, XP_020612453.1, XP_020612449.1, XP_020612451.1, XP_020612452.1, XP_020612448.1	Pocillopora_acuta_HIv1_PredGene_g21021.t1, Pocillopora_acuta_HIv1_PredGene_g21019.t1
OG0000004	XP_020612267.1	Pocillopora_acuta_HIv1_PredGene_g27104.t1
OG0000005	XP_020619788.1, XP_020619789.1	Pocillopora_acuta_HIv1_PredGene_g14830.t1, Pocillopora_acuta_HIv1_PredGene_g14829.t1, Pocillopora_acuta_HIv1_PredGene_g14834.t1
OG0000005	XP_020630041.1	Pocillopora_acuta_HIv1_PredGene_g31369.t1
OG0000005	XP_020621187.1, XP_020627577.1	Pocillopora_acuta_HIv1_PredGene_g15241.t1
OG0000006	XP_020614818.1	Pocillopora_acuta_HIv1_PredGene_g14581.t3, Pocillopora_acuta_HIv1_PredGene_g21306.t3, Pocillopora_acuta_HIv1_PredGene_g14581.t1, Pocillopora_acuta_HIv1_PredGene_g21306.t1, Pocillopora_acuta_HIv1_PredGene_g14581.t2, Pocillopora_acuta_HIv1_PredGene_g21306.t2
OG0000006	XP_020616007.1, XP_020610359.1	Pocillopora_acuta_HIv1_PredGene_g21305.t1, Pocillopora_acuta_HIv1_PredGene_g14583.t1
OG0000006	XP_020621577.1, XP_020621621.1	Pocillopora_acuta_HIv1_PredGene_g12361.t1
OG0000006	XP_020625134.1	Pocillopora_acuta_HIv1_PredGene_g25396.t1, Pocillopora_acuta_HIv1_PredGene_g30390.t1, Pocillopora_acuta_HIv1_PredGene_g30383.t1
OG0000006	XP_020602499.1, XP_020602480.1, XP_020602477.1	Pocillopora_acuta_HIv1_PredGene_g27970.t1, Pocillopora_acuta_HIv1_PredGene_g27965.t2, Pocillopora_acuta_HIv1_PredGene_g21914.t1, Pocillopora_acuta_HIv1_PredGene_g21230.t1, Pocillopora_acuta_HIv1_PredGene_g32428.t1, Pocillopora_acuta_HIv1_PredGene_g21246.t1
OG0000006	XP_020622123.1, XP_020622122.1, XP_020605235.1	Pocillopora_acuta_HIv1_PredGene_g21302.t1, Pocillopora_acuta_HIv1_PredGene_g21288.t1, Pocillopora_acuta_HIv1_PredGene_g21290.t1
OG0000007	XP_020609822.1, XP_020609943.1, XP_020609613.1	Pocillopora_acuta_HIv1_PredGene_g2059.t1, Pocillopora_acuta_HIv1_PredGene_g13487.t1
OG0000007	XP_020605204.1	Pocillopora_acuta_HIv1_PredGene_g9409.t1, Pocillopora_acuta_HIv1_PredGene_g16436.t1, Pocillopora_acuta_HIv1_PredGene_g24234.t1, Pocillopora_acuta_HIv1_PredGene_g16848.t1
OG0000007	XP_020618124.1	Pocillopora_acuta_HIv1_PredGene_g15890.t1
OG0000007	XP_020612161.1	Pocillopora_acuta_HIv1_PredGene_g13486.t1
OG0000008	XP_020614042.1	Pocillopora_acuta_HIv1_PredGene_g5041.t1
OG0000008	XP_020631816.1	Pocillopora_acuta_HIv1_PredGene_g21033.t1, Pocillopora_acuta_HIv1_PredGene_g21032.t1, Pocillopora_acuta_HIv1_PredGene_g21030.t1, Pocillopora_acuta_HIv1_PredGene_g21004.t1, Pocillopora_acuta_HIv1_PredGene_g11057.t3, Pocillopora_acuta_HIv1_PredGene_g11057.t2, Pocillopora_acuta_HIv1_PredGene_g11057.t1, Pocillopora_acuta_HIv1_PredGene_g21081.t1, Pocillopora_acuta_HIv1_PredGene_g19213.t1, Pocillopora_acuta_HIv1_PredGene_13620_t, Pocillopora_acuta_HIv1_PredGene_g19217.t1, Pocillopora_acuta_HIv1_PredGene_g32490.t2, Pocillopora_acuta_HIv1_PredGene_g32490.t1, Pocillopora_acuta_HIv1_PredGene_g6087.t1, Pocillopora_acuta_HIv1_PredGene_g5042.t1, Pocillopora_acuta_HIv1_PredGene_g17456.t1
OG0000008	XP_020629726.1, XP_020629725.1, XP_020608314.1, XP_020623980.1, XP_020609423.1, XP_020600819.1, XP_020614004.1, XP_020614003.1	Pocillopora_acuta_HIv1_PredGene_g13715.t1
OG0000008	XP_020606504.1	Pocillopora_acuta_HIv1_PredGene_g1167.t1
OG0000008	XP_020627809.1, XP_020627817.1	Pocillopora_acuta_HIv1_PredGene_g8404.t1
OG0000009	XP_020620279.1, XP_020627859.1, XP_020627858.1	Pocillopora_acuta_HIv1_PredGene_g2305.t1
OG0000009	XP_020619416.1	Pocillopora_acuta_HIv1_PredGene_g11216.t1, Pocillopora_acuta_HIv1_PredGene_g6147.t1, Pocillopora_acuta_HIv1_PredGene_g27534.t1, Pocillopora_acuta_HIv1_PredGene_g32628.t1, Pocillopora_acuta_HIv1_PredGene_g24755.t1, Pocillopora_acuta_HIv1_PredGene_g2102.t1, Pocillopora_acuta_HIv1_PredGene_g26225.t1, Pocillopora_acuta_HIv1_PredGene_g2094.t1, Pocillopora_acuta_HIv1_PredGene_g10836.t1, Pocillopora_acuta_HIv1_PredGene_g26226.t1, Pocillopora_acuta_HIv1_PredGene_g11217.t1
OG0000010	XP_020601451.1, XP_020600397.1, XP_020601587.1	Pocillopora_acuta_HIv1_PredGene_g18572.t1, Pocillopora_acuta_HIv1_PredGene_g18571.t1
OG0000010	XP_020624579.1, XP_020624578.1, XP_020624580.1, XP_020615398.1, XP_020615355.1, XP_020615354.1, XP_020603602.1, XP_020603603.1, XP_020603601.1, XP_020603604.1	Pocillopora_acuta_HIv1_PredGene_g22080.t1
OG0000011	XP_020620942.1, XP_020621734.1	Pocillopora_acuta_HIv1_PredGene_g3292.t1, Pocillopora_acuta_HIv1_PredGene_g30483.t1, Pocillopora_acuta_HIv1_PredGene_g20713.t1
OG0000012	XP_020603547.1, XP_020603423.1	Pocillopora_acuta_HIv1_PredGene_g702.t1
OG0000012	XP_020628196.1, XP_020628194.1	Pocillopora_acuta_HIv1_PredGene_g7110.t1, Pocillopora_acuta_HIv1_PredGene_g7111.t1, Pocillopora_acuta_HIv1_PredGene_g7114.t1, Pocillopora_acuta_HIv1_PredGene_g27657.t1, Pocillopora_acuta_HIv1_PredGene_g32894.t1
OG0000012	XP_020621918.1	Pocillopora_acuta_HIv1_PredGene_g17686.t1
OG0000013	XP_020613040.1	Pocillopora_acuta_HIv1_PredGene_g13238.t1, Pocillopora_acuta_HIv1_PredGene_g13239.t1
OG0000014	XP_020631561.1	Pocillopora_acuta_HIv1_PredGene_g951.t1
OG0000014	XP_020601282.1, XP_020601280.1, XP_020601279.1, XP_020630391.1, XP_020621437.1	Pocillopora_acuta_HIv1_PredGene_g948.t2, Pocillopora_acuta_HIv1_PredGene_g948.t1
OG0000015	XP_020624752.1, XP_020624751.1, XP_020624753.1, XP_020624701.1, XP_020624700.1, XP_020624691.1, XP_020616112.1	Pocillopora_acuta_HIv1_PredGene_g10948.t1, Pocillopora_acuta_HIv1_PredGene_g5052.t1, Pocillopora_acuta_HIv1_PredGene_g6098.t1, Pocillopora_acuta_HIv1_PredGene_g8017.t1, Pocillopora_acuta_HIv1_PredGene_g8018.t1, Pocillopora_acuta_HIv1_PredGene_g8032.t1, Pocillopora_acuta_HIv1_PredGene_g10949.t1
OG0000015	XP_020631694.1	Pocillopora_acuta_HIv1_PredGene_g3077.t1
OG0000015	XP_020609480.1, XP_020609479.1, XP_020609482.1	Pocillopora_acuta_HIv1_PredGene_g3078.t1
OG0000016	XP_020621537.1, XP_020627146.1	Pocillopora_acuta_HIv1_PredGene_g18537.t1, Pocillopora_acuta_HIv1_PredGene_g23059.t1, Pocillopora_acuta_HIv1_PredGene_g2144.t1, Pocillopora_acuta_HIv1_PredGene_g16678.t1, Pocillopora_acuta_HIv1_PredGene_g13157.t1, Pocillopora_acuta_HIv1_PredGene_g16254.t1, Pocillopora_acuta_HIv1_PredGene_g25477.t1, Pocillopora_acuta_HIv1_PredGene_g24199.t1, Pocillopora_acuta_HIv1_PredGene_g6694.t1, Pocillopora_acuta_HIv1_PredGene_g16658.t1, Pocillopora_acuta_HIv1_PredGene_g5429.t1, Pocillopora_acuta_HIv1_PredGene_g7752.t1, Pocillopora_acuta_HIv1_PredGene_g4327.t1, Pocillopora_acuta_HIv1_PredGene_g24200.t1, Pocillopora_acuta_HIv1_PredGene_g23099.t1, Pocillopora_acuta_HIv1_PredGene_g26329.t1, Pocillopora_acuta_HIv1_PredGene_g26985.t1, Pocillopora_acuta_HIv1_PredGene_g24461.t1, Pocillopora_acuta_HIv1_PredGene_g2639.t1, Pocillopora_acuta_HIv1_PredGene_g503.t1, Pocillopora_acuta_HIv1_PredGene_g27724.t1, Pocillopora_acuta_HIv1_PredGene_g14295.t1, Pocillopora_acuta_HIv1_PredGene_g1783.t1, Pocillopora_acuta_HIv1_PredGene_g25701.t1, Pocillopora_acuta_HIv1_PredGene_g18164.t1, Pocillopora_acuta_HIv1_PredGene_g5923.t1, Pocillopora_acuta_HIv1_PredGene_g23533.t1, Pocillopora_acuta_HIv1_PredGene_g22924.t1, Pocillopora_acuta_HIv1_PredGene_g18164.t2, Pocillopora_acuta_HIv1_PredGene_g33037.t1, Pocillopora_acuta_HIv1_PredGene_g17785.t1, Pocillopora_acuta_HIv1_PredGene_g11308.t1, Pocillopora_acuta_HIv1_PredGene_g14294.t1, Pocillopora_acuta_HIv1_PredGene_g25702.t1
OG0000016	XP_020625890.1, XP_020625889.1	Pocillopora_acuta_HIv1_PredGene_g20888.t1
OG0000016	XP_020624102.1	Pocillopora_acuta_HIv1_PredGene_g16476.t1
OG0000016	XP_020629492.1	Pocillopora_acuta_HIv1_PredGene_g27950.t1, Pocillopora_acuta_HIv1_PredGene_g12112.t1
OG0000016	XP_020614055.1, XP_020614054.1	Pocillopora_acuta_HIv1_PredGene_g10144.t1, Pocillopora_acuta_HIv1_PredGene_g30980.t1
OG0000017	XP_020627207.1	Pocillopora_acuta_HIv1_PredGene_g24283.t1, Pocillopora_acuta_HIv1_PredGene_g323.t2, Pocillopora_acuta_HIv1_PredGene_g989.t1
OG0000017	XP_020629946.1	Pocillopora_acuta_HIv1_PredGene_g22448.t1, Pocillopora_acuta_HIv1_PredGene_g12111.t1, Pocillopora_acuta_HIv1_PredGene_g7722.t1
OG0000017	XP_020627846.1	Pocillopora_acuta_HIv1_PredGene_g987.t1, Pocillopora_acuta_HIv1_PredGene_g4261.t1, Pocillopora_acuta_HIv1_PredGene_g125.t1, Pocillopora_acuta_HIv1_PredGene_g8748.t1, Pocillopora_acuta_HIv1_PredGene_g4260.t1
OG0000018	XP_020607846.1	Pocillopora_acuta_HIv1_PredGene_g2457.t1
OG0000018	XP_020612159.1	Pocillopora_acuta_HIv1_PredGene_g9455.t1
OG0000018	XP_020613056.1, XP_020622931.1	Pocillopora_acuta_HIv1_PredGene_g16472.t1, Pocillopora_acuta_HIv1_PredGene_g9408.t1
OG0000018	XP_020602072.1	Pocillopora_acuta_HIv1_PredGene_g6784.t1, Pocillopora_acuta_HIv1_PredGene_g28353.t1, Pocillopora_acuta_HIv1_PredGene_g12152.t1, Pocillopora_acuta_HIv1_PredGene_g13412.t1
OG0000019	XP_020603979.1, XP_020620240.1	Pocillopora_acuta_HIv1_PredGene_g26228.t1, Pocillopora_acuta_HIv1_PredGene_g26228.t2, Pocillopora_acuta_HIv1_PredGene_g12430.t1, Pocillopora_acuta_HIv1_PredGene_g28651.t1
OG0000019	XP_020629452.1, XP_020629453.1	Pocillopora_acuta_HIv1_PredGene_g5441.t1
OG0000020	XP_020621061.1	Pocillopora_acuta_HIv1_PredGene_g15385.t1
OG0000020	XP_020630077.1	Pocillopora_acuta_HIv1_PredGene_g1651.t1, Pocillopora_acuta_HIv1_PredGene_g8993.t1, Pocillopora_acuta_HIv1_PredGene_g11435.t1, Pocillopora_acuta_HIv1_PredGene_g27617.t1, Pocillopora_acuta_HIv1_PredGene_g26434.t1, Pocillopora_acuta_HIv1_PredGene_g28866.t1, Pocillopora_acuta_HIv1_PredGene_g1647.t1, Pocillopora_acuta_HIv1_PredGene_g30482.t1
OG0000021	XP_020632897.1	Pocillopora_acuta_HIv1_PredGene_g31808.t1, Pocillopora_acuta_HIv1_PredGene_g19660.t1
OG0000022	XP_020619127.1	Pocillopora_acuta_HIv1_PredGene_g29622.t1, Pocillopora_acuta_HIv1_PredGene_g27586.t1
OG0000023	XP_020603227.1	Pocillopora_acuta_HIv1_PredGene_g13636.t1, Pocillopora_acuta_HIv1_PredGene_g31280.t1
OG0000025	XP_020605230.1	Pocillopora_acuta_HIv1_PredGene_g14061.t1
OG0000025	XP_020600823.1, XP_020630089.1, XP_020623047.1, XP_020604945.1, XP_020607884.1, XP_020620255.1, XP_020620361.1, XP_020620327.1, XP_020620239.1, XP_020620329.1, XP_020605220.1, XP_020604979.1, XP_020604653.1, XP_020604511.1, XP_020604510.1, XP_020604509.1, XP_020604508.1, XP_020604741.1	Pocillopora_acuta_HIv1_PredGene_g15187.t1, Pocillopora_acuta_HIv1_PredGene_g15190.t1
OG0000026	XP_020622880.1	Pocillopora_acuta_HIv1_PredGene_g30800.t1, Pocillopora_acuta_HIv1_PredGene_g16962.t1, Pocillopora_acuta_HIv1_PredGene_g30799.t1, Pocillopora_acuta_HIv1_PredGene_g3480.t1
OG0000026	XP_020604651.1	Pocillopora_acuta_HIv1_PredGene_g3478.t1, Pocillopora_acuta_HIv1_PredGene_g3479.t1, Pocillopora_acuta_HIv1_PredGene_g30798.t1
OG0000027	XP_020627832.1, XP_020627766.1	Pocillopora_acuta_HIv1_PredGene_g5676.t1, Pocillopora_acuta_HIv1_PredGene_g5679.t1
OG0000028	XP_020617959.1, XP_020607383.1, XP_020602041.1, XP_020602049.1, XP_020620181.1, XP_020618062.1, XP_020617824.1, XP_020618006.1	Pocillopora_acuta_HIv1_PredGene_g3413.t1
OG0000029	XP_020613310.1	Pocillopora_acuta_HIv1_PredGene_g13217.t1, Pocillopora_acuta_HIv1_PredGene_g13216.t1
OG0000029	XP_020613312.1	Pocillopora_acuta_HIv1_PredGene_g13214.t1, Pocillopora_acuta_HIv1_PredGene_g13215.t1
OG0000029	XP_020607916.1	Pocillopora_acuta_HIv1_PredGene_g11423.t1
OG0000029	XP_020630873.1, XP_020630870.1	Pocillopora_acuta_HIv1_PredGene_g11406.t1, Pocillopora_acuta_HIv1_PredGene_g21692.t1, Pocillopora_acuta_HIv1_PredGene_g11413.t1
OG0000030	XP_020620346.1, XP_020611887.1, XP_020611888.1, XP_020611889.1, XP_020617981.1, XP_020617982.1	Pocillopora_acuta_HIv1_PredGene_g16675.t2, Pocillopora_acuta_HIv1_PredGene_g16675.t1, Pocillopora_acuta_HIv1_PredGene_g7005.t1
OG0000031	XP_020628698.1	Pocillopora_acuta_HIv1_PredGene_g14010.t1, Pocillopora_acuta_HIv1_PredGene_g14011.t1, Pocillopora_acuta_HIv1_PredGene_g23780.t1
OG0000031	XP_020628501.1	Pocillopora_acuta_HIv1_PredGene_g9121.t2, Pocillopora_acuta_HIv1_PredGene_g9121.t1
OG0000031	XP_020601925.1	Pocillopora_acuta_HIv1_PredGene_g9123.t1
OG0000032	XP_020621418.1, XP_020622201.1, XP_020622200.1, XP_020622202.1, XP_020622245.1, XP_020622253.1, XP_020622252.1, XP_020617381.1, XP_020605427.1, XP_020621386.1, XP_020622254.1	Pocillopora_acuta_HIv1_PredGene_g31977.t1, Pocillopora_acuta_HIv1_PredGene_g9949.t2, Pocillopora_acuta_HIv1_PredGene_g9949.t3, Pocillopora_acuta_HIv1_PredGene_g31968.t1
OG0000033	XP_020606139.1	Pocillopora_acuta_HIv1_PredGene_g8611.t1, Pocillopora_acuta_HIv1_PredGene_g8612.t1, Pocillopora_acuta_HIv1_PredGene_g8617.t1, Pocillopora_acuta_HIv1_PredGene_g8613.t1, Pocillopora_acuta_HIv1_PredGene_g8618.t1, Pocillopora_acuta_HIv1_PredGene_g3894.t1, Pocillopora_acuta_HIv1_PredGene_g3895.t1, Pocillopora_acuta_HIv1_PredGene_1273_t
OG0000033	XP_020618377.1	Pocillopora_acuta_HIv1_PredGene_g9910.t1, Pocillopora_acuta_HIv1_PredGene_g9909.t1
OG0000035	XP_020620770.1	Pocillopora_acuta_HIv1_PredGene_g22518.t1
OG0000035	XP_020608621.1	Pocillopora_acuta_HIv1_PredGene_g33107.t1, Pocillopora_acuta_HIv1_PredGene_16371_t
OG0000036	XP_020609308.1	Pocillopora_acuta_HIv1_PredGene_g15675.t1, Pocillopora_acuta_HIv1_PredGene_20115_t, Pocillopora_acuta_HIv1_PredGene_g15676.t1
OG0000036	XP_020604882.1, XP_020604885.1, XP_020604883.1, XP_020604723.1	Pocillopora_acuta_HIv1_PredGene_19175_t, Pocillopora_acuta_HIv1_PredGene_g19087.t1
OG0000036	XP_020609251.1	Pocillopora_acuta_HIv1_PredGene_g9513.t1, Pocillopora_acuta_HIv1_PredGene_g25354.t1, Pocillopora_acuta_HIv1_PredGene_g21360.t1
OG0000037	XP_020625405.1, XP_020622044.1, XP_020622043.1, XP_020624086.1, XP_020622046.1, XP_020622006.1, XP_020622045.1, XP_020620923.1, XP_020620927.1, XP_020620926.1, XP_020618760.1, XP_020618759.1	Pocillopora_acuta_HIv1_PredGene_g13119.t1, Pocillopora_acuta_HIv1_PredGene_g6616.t1
OG0000038	XP_020629384.1	Pocillopora_acuta_HIv1_PredGene_g12740.t1, Pocillopora_acuta_HIv1_PredGene_g18060.t1, Pocillopora_acuta_HIv1_PredGene_g10777.t1, Pocillopora_acuta_HIv1_PredGene_g16098.t1
OG0000040	XP_020629840.1, XP_020629817.1, XP_020629829.1	Pocillopora_acuta_HIv1_PredGene_g893.t1
OG0000040	XP_020629851.1	Pocillopora_acuta_HIv1_PredGene_g892.t1, Pocillopora_acuta_HIv1_PredGene_g891.t1, Pocillopora_acuta_HIv1_PredGene_g890.t1
OG0000040	XP_020612668.1	Pocillopora_acuta_HIv1_PredGene_g29386.t1, Pocillopora_acuta_HIv1_PredGene_17969_t, Pocillopora_acuta_HIv1_PredGene_g29387.t1
OG0000040	XP_020601185.1, XP_020613100.1, XP_020613101.1	Pocillopora_acuta_HIv1_PredGene_g11212.t1, Pocillopora_acuta_HIv1_PredGene_g11211.t1, Pocillopora_acuta_HIv1_PredGene_g21169.t1, Pocillopora_acuta_HIv1_PredGene_g29121.t1, Pocillopora_acuta_HIv1_PredGene_g29123.t1, Pocillopora_acuta_HIv1_PredGene_g29147.t1, Pocillopora_acuta_HIv1_PredGene_g29122.t1, Pocillopora_acuta_HIv1_PredGene_g29124.t1, Pocillopora_acuta_HIv1_PredGene_g29125.t1, Pocillopora_acuta_HIv1_PredGene_g29127.t1, Pocillopora_acuta_HIv1_PredGene_g21170.t1, Pocillopora_acuta_HIv1_PredGene_g894.t1
OG0000040	XP_020617469.1	Pocillopora_acuta_HIv1_PredGene_g14206.t1, Pocillopora_acuta_HIv1_PredGene_g20566.t1, Pocillopora_acuta_HIv1_PredGene_g15328.t1, Pocillopora_acuta_HIv1_PredGene_26942_t, Pocillopora_acuta_HIv1_PredGene_g20565.t1, Pocillopora_acuta_HIv1_PredGene_g14207.t1, Pocillopora_acuta_HIv1_PredGene_g15327.t1, Pocillopora_acuta_HIv1_PredGene_g14208.t1, Pocillopora_acuta_HIv1_PredGene_g20564.t1
OG0000041	XP_020600959.1, XP_020609795.1	Pocillopora_acuta_HIv1_PredGene_g31780.t1, Pocillopora_acuta_HIv1_PredGene_g22297.t1, Pocillopora_acuta_HIv1_PredGene_g31777.t1
OG0000042	XP_020630723.1, XP_020601820.1, XP_020601812.1, XP_020614579.1	Pocillopora_acuta_HIv1_PredGene_g8624.t1
OG0000043	XP_020628413.1, XP_020628389.1, XP_020628391.1	Pocillopora_acuta_HIv1_PredGene_g31040.t1, Pocillopora_acuta_HIv1_PredGene_g31038.t1, Pocillopora_acuta_HIv1_PredGene_g31039.t1
OG0000043	XP_020602202.1, XP_020602201.1	Pocillopora_acuta_HIv1_PredGene_g31063.t1, Pocillopora_acuta_HIv1_PredGene_g21324.t1, Pocillopora_acuta_HIv1_PredGene_g21324.t2, Pocillopora_acuta_HIv1_PredGene_g23969.t1, Pocillopora_acuta_HIv1_PredGene_g21328.t1
OG0000043	XP_020600525.1, XP_020600524.1, XP_020606127.1, XP_020601316.1, XP_020601317.1, XP_020628388.1, XP_020628430.1, XP_020628429.1, XP_020614729.1	Pocillopora_acuta_HIv1_PredGene_g2002.t1
OG0000043	XP_020615028.1	Pocillopora_acuta_HIv1_PredGene_5822_t, Pocillopora_acuta_HIv1_PredGene_g10916.t1, Pocillopora_acuta_HIv1_PredGene_g10917.t1
OG0000043	XP_020609728.1	Pocillopora_acuta_HIv1_PredGene_g22485.t1, Pocillopora_acuta_HIv1_PredGene_g22486.t1, Pocillopora_acuta_HIv1_PredGene_g22484.t1
OG0000044	XP_020602518.1, XP_020602517.1, XP_020602515.1, XP_020602557.1, XP_020602550.1, XP_020602507.1, XP_020602508.1, XP_020602513.1, XP_020602512.1	Pocillopora_acuta_HIv1_PredGene_g1851.t1, Pocillopora_acuta_HIv1_PredGene_g10643.t1, Pocillopora_acuta_HIv1_PredGene_g10647.t1, Pocillopora_acuta_HIv1_PredGene_g1103.t1, Pocillopora_acuta_HIv1_PredGene_g19097.t1, Pocillopora_acuta_HIv1_PredGene_g1110.t1, Pocillopora_acuta_HIv1_PredGene_g1107.t1, Pocillopora_acuta_HIv1_PredGene_g1108.t1, Pocillopora_acuta_HIv1_PredGene_g1109.t1, Pocillopora_acuta_HIv1_PredGene_13939_t
OG0000045	XP_020611249.1, XP_020605217.1	Pocillopora_acuta_HIv1_PredGene_g17523.t1, Pocillopora_acuta_HIv1_PredGene_g310.t1, Pocillopora_acuta_HIv1_PredGene_g32225.t1, Pocillopora_acuta_HIv1_PredGene_g24739.t1
OG0000045	XP_020617947.1	Pocillopora_acuta_HIv1_PredGene_g28374.t1, Pocillopora_acuta_HIv1_PredGene_g5481.t1
OG0000045	XP_020623970.1	Pocillopora_acuta_HIv1_PredGene_g4461.t1, Pocillopora_acuta_HIv1_PredGene_g3527.t1
OG0000045	XP_020620734.1, XP_020609697.1	Pocillopora_acuta_HIv1_PredGene_g2072.t1
OG0000045	XP_020629500.1, XP_020600939.1, XP_020600941.1, XP_020600942.1, XP_020600944.1, XP_020600940.1, XP_020624106.1, XP_020617184.1	Pocillopora_acuta_HIv1_PredGene_g8838.t1, Pocillopora_acuta_HIv1_PredGene_g18705.t1, Pocillopora_acuta_HIv1_PredGene_g667.t1, Pocillopora_acuta_HIv1_PredGene_g27507.t1, Pocillopora_acuta_HIv1_PredGene_g25777.t1, Pocillopora_acuta_HIv1_PredGene_g23993.t1, Pocillopora_acuta_HIv1_PredGene_g17333.t1, Pocillopora_acuta_HIv1_PredGene_g27130.t1
OG0000046	XP_020616478.1	Pocillopora_acuta_HIv1_PredGene_g5014.t1, Pocillopora_acuta_HIv1_PredGene_g32512.t1
