Orthogroup	Mcavernosa.maker.proteins	GCF_002042975.1_ofav_dov_v1_protein
OG0000013	Mcavernosa31190-RA	XP_020630041.1, XP_020621187.1, XP_020627577.1, XP_020613046.1, XP_020613045.1, XP_020613044.1
OG0000014	Mcavernosa35084-RA	XP_020605029.1
OG0000015	Mcavernosa11759-RA	XP_020628022.1, XP_020624599.1, XP_020619411.1, XP_020619413.1, XP_020623052.1, XP_020608923.1
OG0000015	Mcavernosa22085-RA, Mcavernosa22082-RA, Mcavernosa32426-RA, Mcavernosa07340-RA, Mcavernosa19284-RA	XP_020623051.1
OG0000016	Mcavernosa02666-RA	XP_020604651.1
OG0000016	Mcavernosa02665-RA	XP_020622880.1
OG0000017	Mcavernosa29991-RA, Mcavernosa26632-RA, Mcavernosa32172-RA, Mcavernosa07462-RA, Mcavernosa26302-RA, Mcavernosa21537-RA, Mcavernosa24720-RA, Mcavernosa13033-RA, Mcavernosa35118-RA, Mcavernosa28808-RA, Mcavernosa23800-RA, Mcavernosa21107-RA, Mcavernosa16687-RA, Mcavernosa12123-RA, Mcavernosa26301-RA, Mcavernosa16688-RA	XP_020628351.1, XP_020604539.1
OG0000017	Mcavernosa07525-RA, Mcavernosa32676-RA, Mcavernosa06309-RA	XP_020621734.1
OG0000024	Mcavernosa20066-RA	XP_020605220.1, XP_020604979.1
OG0000024	Mcavernosa21314-RA, Mcavernosa21315-RA	XP_020600823.1
OG0000024	Mcavernosa20067-RA	XP_020605230.1
OG0000024	Mcavernosa28462-RA	XP_020604511.1, XP_020604510.1, XP_020604509.1, XP_020604508.1
OG0000024	Mcavernosa28463-RA, Mcavernosa28460-RA	XP_020604653.1
OG0000026	Mcavernosa30421-RA, Mcavernosa32102-RA	XP_020615056.1
OG0000026	Mcavernosa05764-RA	XP_020625925.1
OG0000027	Mcavernosa02283-RA, Mcavernosa02284-RA	XP_020604973.1
OG0000028	Mcavernosa12684-RA, Mcavernosa12683-RA	XP_020624752.1, XP_020624751.1, XP_020624753.1, XP_020624701.1, XP_020624700.1, XP_020624691.1, XP_020616112.1
OG0000028	Mcavernosa06422-RA, Mcavernosa06424-RA, Mcavernosa06425-RA	XP_020609482.1, XP_020609478.1, XP_020609480.1, XP_020609479.1
OG0000030	Mcavernosa11106-RA, Mcavernosa05559-RA	XP_020613201.1, XP_020632897.1
OG0000031	Mcavernosa08071-RA, Mcavernosa08072-RA	XP_020631561.1
OG0000031	Mcavernosa22757-RA	XP_020621437.1
OG0000031	Mcavernosa26713-RA	XP_020603581.1
OG0000031	Mcavernosa26712-RA	XP_020602755.1
OG0000032	Mcavernosa04771-RA, Mcavernosa20647-RA, Mcavernosa35142-RA	XP_020627081.1, XP_020619420.1
OG0000032	Mcavernosa07646-RA	XP_020631330.1
OG0000033	Mcavernosa23938-RA	XP_020620756.1
OG0000033	Mcavernosa34016-RA	XP_020613040.1
OG0000036	Mcavernosa16240-RA, Mcavernosa16237-RA, Mcavernosa31508-RA	XP_020608352.1, XP_020614294.1, XP_020608374.1
OG0000036	Mcavernosa16239-RA	XP_020608376.1, XP_020608375.1
OG0000036	Mcavernosa31509-RA	XP_020608377.1
OG0000036	Mcavernosa16235-RA	XP_020608456.1, XP_020608455.1, XP_020608353.1
OG0000036	Mcavernosa14061-RA	XP_020614215.1
OG0000036	Mcavernosa14062-RA	XP_020614213.1, XP_020614212.1, XP_020614214.1
OG0000037	Mcavernosa00565-RA, Mcavernosa00572-RA, Mcavernosa01197-RA	XP_020615241.1
OG0000037	Mcavernosa16912-RA	XP_020624374.1
OG0000037	Mcavernosa33765-RA	XP_020624389.1
OG0000038	Mcavernosa29578-RA, Mcavernosa04064-RA	XP_020623751.1, XP_020622144.1
OG0000038	Mcavernosa14349-RA, Mcavernosa34602-RA, Mcavernosa27772-RA	XP_020620202.1
OG0000038	Mcavernosa04619-RA	XP_020623750.1
OG0000038	Mcavernosa19066-RA, Mcavernosa33626-RA	XP_020608059.1, XP_020608057.1, XP_020608058.1
OG0000038	Mcavernosa27468-RA	XP_020617981.1, XP_020617982.1
OG0000038	Mcavernosa10177-RA, Mcavernosa19921-RA, Mcavernosa31312-RA	XP_020620346.1, XP_020611887.1, XP_020611888.1, XP_020611889.1
OG0000039	Mcavernosa08607-RA	XP_020625543.1
OG0000039	Mcavernosa31099-RA, Mcavernosa31096-RA	XP_020602060.1
OG0000039	Mcavernosa31095-RA	XP_020602885.1, XP_020614718.1, XP_020602884.1, XP_020609847.1, XP_020618287.1, XP_020629889.1, XP_020632409.1, XP_020603836.1, XP_020632239.1, XP_020632041.1, XP_020606661.1, XP_020610334.1
OG0000042	Mcavernosa21359-RA	XP_020617570.1
OG0000043	Mcavernosa30463-RA	XP_020623974.1
OG0000046	Mcavernosa16709-RA	XP_020614613.1
OG0000046	Mcavernosa00477-RA, Mcavernosa02618-RA	XP_020610128.1
OG0000048	Mcavernosa07912-RA	XP_020630620.1, XP_020630672.1, XP_020630593.1
OG0000048	Mcavernosa07916-RA, Mcavernosa07913-RA	XP_020630609.1
OG0000049	Mcavernosa10080-RA	XP_020631331.1
OG0000049	Mcavernosa19565-RA	XP_020619299.1
OG0000049	Mcavernosa17536-RA	XP_020607866.1
OG0000049	Mcavernosa17539-RA, Mcavernosa29161-RA	XP_020607862.1, XP_020607853.1, XP_020607869.1, XP_020607868.1, XP_020607871.1, XP_020607872.1, XP_020607874.1, XP_020607875.1
OG0000049	Mcavernosa19055-RA, Mcavernosa19028-RA, Mcavernosa17538-RA	XP_020601331.1, XP_020608300.1
OG0000049	Mcavernosa17537-RA, Mcavernosa19027-RA	XP_020627539.1
OG0000049	Mcavernosa17819-RA	XP_020603386.1
OG0000051	Mcavernosa32390-RA	XP_020613312.1
OG0000051	Mcavernosa22649-RA	XP_020607916.1, XP_020630870.1
OG0000051	Mcavernosa31797-RA	XP_020601156.1
OG0000051	Mcavernosa32391-RA	XP_020613311.1, XP_020613329.1
OG0000051	Mcavernosa22650-RA	XP_020601255.1, XP_020627705.1, XP_020630872.1, XP_020613332.1
OG0000052	Mcavernosa07140-RA	XP_020624253.1
OG0000052	Mcavernosa31972-RA	XP_020605998.1
OG0000052	Mcavernosa25561-RA	XP_020615370.1
OG0000052	Mcavernosa25562-RA	XP_020615385.1, XP_020615366.1, XP_020615365.1, XP_020626418.1, XP_020626422.1, XP_020615356.1, XP_020615358.1, XP_020615373.1
OG0000053	Mcavernosa27416-RA, Mcavernosa22372-RA, Mcavernosa27417-RA, Mcavernosa22373-RA	XP_020627829.1, XP_020627827.1, XP_020627828.1, XP_020631907.1, XP_020627793.1, XP_020627792.1, XP_020627791.1, XP_020631906.1, XP_020627830.1, XP_020627767.1, XP_020631921.1, XP_020631923.1, XP_020631924.1, XP_020631910.1, XP_020631911.1, XP_020631922.1, XP_020622510.1, XP_020627716.1, XP_020609316.1, XP_020627766.1, XP_020627832.1
OG0000056	Mcavernosa00495-RA	XP_020631187.1
OG0000058	Mcavernosa28662-RA	XP_020620698.1, XP_020625430.1, XP_020629104.1
OG0000060	Mcavernosa12136-RA	XP_020621557.1, XP_020613969.1, XP_020621678.1
OG0000060	Mcavernosa34575-RA	XP_020623243.1, XP_020625398.1, XP_020619662.1, XP_020619664.1, XP_020627723.1, XP_020619613.1, XP_020625407.1, XP_020625846.1, XP_020625853.1
OG0000063	Mcavernosa09943-RA	XP_020615708.1, XP_020615707.1, XP_020615706.1
OG0000065	Mcavernosa23210-RA, Mcavernosa32765-RA	XP_020629572.1, XP_020603145.1, XP_020629642.1
OG0000068	Mcavernosa13548-RA, Mcavernosa33614-RA, Mcavernosa21417-RA, Mcavernosa01704-RA	XP_020628245.1
OG0000079	Mcavernosa08890-RA	XP_020608197.1, XP_020621047.1, XP_020608175.1, XP_020608174.1, XP_020608179.1, XP_020609030.1, XP_020609029.1, XP_020609028.1, XP_020609027.1, XP_020626636.1, XP_020626635.1, XP_020626634.1, XP_020626595.1, XP_020623150.1, XP_020623151.1, XP_020626552.1, XP_020626538.1, XP_020605004.1, XP_020626588.1, XP_020626535.1, XP_020626656.1, XP_020626657.1, XP_020626597.1, XP_020613257.1, XP_020613256.1, XP_020613259.1, XP_020613260.1, XP_020613258.1
OG0000080	Mcavernosa16945-RA	XP_020604883.1, XP_020604882.1, XP_020604885.1, XP_020604723.1
OG0000080	Mcavernosa03513-RA	XP_020629612.1
OG0000080	Mcavernosa13380-RA	XP_020600469.1, XP_020600468.1
OG0000080	Mcavernosa01964-RA, Mcavernosa01967-RA, Mcavernosa21321-RA, Mcavernosa13381-RA	XP_020609308.1
OG0000080	Mcavernosa28335-RA	XP_020609251.1
OG0000080	Mcavernosa28336-RA, Mcavernosa01966-RA	XP_020609252.1, XP_020609253.1
OG0000080	Mcavernosa28333-RA	XP_020607142.1, XP_020607141.1
OG0000081	Mcavernosa10724-RA, Mcavernosa06335-RA	XP_020621346.1
OG0000082	Mcavernosa24329-RA, Mcavernosa28166-RA, Mcavernosa28160-RA, Mcavernosa28161-RA, Mcavernosa24330-RA	XP_020601925.1
OG0000084	Mcavernosa07904-RA	XP_020623007.1, XP_020621035.1, XP_020621036.1, XP_020606232.1
OG0000087	Mcavernosa17557-RA, Mcavernosa17556-RA, Mcavernosa09501-RA	XP_020631096.1, XP_020609717.1
OG0000087	Mcavernosa30138-RA, Mcavernosa05649-RA, Mcavernosa27632-RA, Mcavernosa29983-RA	XP_020631095.1, XP_020621069.1, XP_020621068.1, XP_020628791.1
OG0000088	Mcavernosa11047-RA	XP_020620114.1, XP_020620127.1, XP_020615028.1, XP_020602202.1, XP_020602201.1, XP_020614729.1, XP_020600525.1, XP_020600524.1, XP_020606127.1, XP_020601316.1, XP_020601317.1, XP_020628388.1, XP_020628430.1, XP_020628429.1, XP_020628413.1, XP_020628389.1, XP_020628391.1
OG0000089	Mcavernosa19265-RA	XP_020620153.1
OG0000090	Mcavernosa23365-RA, Mcavernosa33624-RA	XP_020602518.1
OG0000090	Mcavernosa17893-RA, Mcavernosa31914-RA	XP_020602549.1
OG0000092	Mcavernosa29307-RA	XP_020629946.1
OG0000092	Mcavernosa25393-RA	XP_020627846.1
OG0000093	Mcavernosa22177-RA, Mcavernosa28973-RA, Mcavernosa22182-RA	XP_020601045.1
OG0000093	Mcavernosa23251-RA	XP_020620607.1
OG0000095	Mcavernosa30441-RA, Mcavernosa19081-RA, Mcavernosa33385-RA, Mcavernosa27530-RA, Mcavernosa35041-RA	XP_020617677.1
OG0000097	Mcavernosa16074-RA	XP_020611040.1
OG0000097	Mcavernosa01703-RA, Mcavernosa21418-RA	XP_020614229.1
OG0000097	Mcavernosa28439-RA	XP_020625409.1
OG0000098	Mcavernosa19438-RA	XP_020606251.1
OG0000101	Mcavernosa35039-RA	XP_020630902.1
OG0000101	Mcavernosa32314-RA, Mcavernosa33208-RA, Mcavernosa23472-RA	XP_020624811.1, XP_020624814.1, XP_020617296.1
OG0000103	Mcavernosa11573-RA	XP_020628622.1, XP_020628621.1, XP_020628599.1, XP_020628605.1, XP_020613619.1, XP_020628614.1
OG0000106	Mcavernosa29861-RA	XP_020606473.1
OG0000106	Mcavernosa31858-RA	XP_020608610.1, XP_020619609.1, XP_020603908.1, XP_020603909.1
OG0000108	Mcavernosa33265-RA, Mcavernosa24775-RA, Mcavernosa19090-RA, Mcavernosa30468-RA, Mcavernosa29157-RA, Mcavernosa04549-RA, Mcavernosa11148-RA, Mcavernosa04769-RA, Mcavernosa32249-RA, Mcavernosa33565-RA, Mcavernosa26922-RA, Mcavernosa30540-RA, Mcavernosa16297-RA, Mcavernosa32097-RA	XP_020627924.1
OG0000109	Mcavernosa00408-RA	XP_020603849.1, XP_020603853.1
OG0000110	Mcavernosa30440-RA	XP_020617678.1
OG0000110	Mcavernosa34762-RA	XP_020624357.1
OG0000112	Mcavernosa14437-RA	XP_020629745.1
OG0000114	Mcavernosa33693-RA, Mcavernosa20206-RA, Mcavernosa20196-RA, Mcavernosa33996-RA, Mcavernosa12914-RA, Mcavernosa09888-RA, Mcavernosa09882-RA, Mcavernosa17840-RA, Mcavernosa34420-RA, Mcavernosa10404-RA	XP_020606541.1
OG0000114	Mcavernosa11883-RA	XP_020625533.1
OG0000114	Mcavernosa02849-RA	XP_020614925.1, XP_020616714.1
OG0000115	Mcavernosa16149-RA, Mcavernosa22487-RA, Mcavernosa32819-RA, Mcavernosa34677-RA, Mcavernosa15349-RA	XP_020626190.1, XP_020623804.1, XP_020623794.1, XP_020623813.1, XP_020622854.1, XP_020622717.1, XP_020622736.1, XP_020622561.1, XP_020614044.1
OG0000116	Mcavernosa20864-RA	XP_020616564.1, XP_020616577.1
OG0000117	Mcavernosa03767-RA, Mcavernosa22773-RA	XP_020622153.1
OG0000118	Mcavernosa07350-RA	XP_020628241.1
OG0000118	Mcavernosa34101-RA, Mcavernosa25498-RA, Mcavernosa29817-RA, Mcavernosa32911-RA, Mcavernosa26966-RA, Mcavernosa29056-RA, Mcavernosa00569-RA, Mcavernosa22265-RA, Mcavernosa32969-RA	XP_020616869.1
OG0000121	Mcavernosa26923-RA, Mcavernosa09510-RA	XP_020619678.1
OG0000121	Mcavernosa29093-RA, Mcavernosa09509-RA, Mcavernosa27652-RA, Mcavernosa30542-RA, Mcavernosa24776-RA, Mcavernosa19092-RA, Mcavernosa04553-RA, Mcavernosa08899-RA, Mcavernosa30470-RA	XP_020626214.1
OG0000124	Mcavernosa12464-RA	XP_020602083.1
OG0000124	Mcavernosa12462-RA	XP_020602097.1
OG0000124	Mcavernosa12458-RA, Mcavernosa12456-RA, Mcavernosa12459-RA	XP_020621379.1
OG0000124	Mcavernosa12460-RA	XP_020615557.1
OG0000125	Mcavernosa34222-RA, Mcavernosa29918-RA, Mcavernosa05662-RA	XP_020613767.1
OG0000125	Mcavernosa25650-RA, Mcavernosa17522-RA, Mcavernosa02533-RA	XP_020607294.1, XP_020628453.1, XP_020620485.1
OG0000127	Mcavernosa27878-RA, Mcavernosa27866-RA, Mcavernosa15770-RA, Mcavernosa27867-RA, Mcavernosa27868-RA	XP_020602071.1, XP_020602069.1, XP_020623868.1
OG0000128	Mcavernosa32175-RA, Mcavernosa28727-RA	XP_020603704.1
OG0000129	Mcavernosa11913-RA, Mcavernosa06319-RA	XP_020614055.1, XP_020614054.1
OG0000130	Mcavernosa11352-RA	XP_020605623.1
OG0000131	Mcavernosa34392-RA	XP_020606237.1
OG0000133	Mcavernosa30686-RA, Mcavernosa29559-RA, Mcavernosa22332-RA, Mcavernosa33856-RA, Mcavernosa33430-RA, Mcavernosa24058-RA	XP_020627182.1
OG0000135	Mcavernosa20102-RA	XP_020608501.1, XP_020608503.1
OG0000135	Mcavernosa20101-RA	XP_020612544.1
OG0000135	Mcavernosa11005-RA, Mcavernosa24673-RA	XP_020608551.1
OG0000135	Mcavernosa23995-RA	XP_020628620.1, XP_020613121.1
OG0000135	Mcavernosa23994-RA	XP_020632257.1
OG0000135	Mcavernosa10157-RA	XP_020606850.1, XP_020615537.1, XP_020615536.1, XP_020615461.1
OG0000135	Mcavernosa04571-RA	XP_020619453.1
OG0000135	Mcavernosa04570-RA	XP_020619526.1
OG0000138	Mcavernosa32360-RA	XP_020614922.1, XP_020614921.1, XP_020630788.1
OG0000138	Mcavernosa32367-RA	XP_020614919.1
OG0000138	Mcavernosa30039-RA	XP_020616493.1
OG0000140	Mcavernosa08157-RA	XP_020605658.1, XP_020605568.1, XP_020605569.1, XP_020626821.1
OG0000141	Mcavernosa20876-RA	XP_020616793.1
OG0000141	Mcavernosa29543-RA	XP_020615553.1
OG0000142	Mcavernosa17832-RA, Mcavernosa14859-RA	XP_020604733.1
OG0000145	Mcavernosa18874-RA	XP_020604350.1, XP_020627086.1, XP_020611943.1, XP_020611944.1, XP_020616757.1, XP_020616768.1, XP_020617640.1
OG0000145	Mcavernosa15482-RA, Mcavernosa33667-RA, Mcavernosa33819-RA, Mcavernosa22713-RA, Mcavernosa24346-RA, Mcavernosa33562-RA, Mcavernosa11163-RA	XP_020611286.1, XP_020611285.1, XP_020611284.1, XP_020601168.1, XP_020616779.1
OG0000146	Mcavernosa27338-RA, Mcavernosa26434-RA, Mcavernosa16127-RA, Mcavernosa01726-RA, Mcavernosa34121-RA, Mcavernosa23524-RA, Mcavernosa15797-RA, Mcavernosa04205-RA, Mcavernosa34122-RA	XP_020604994.1
OG0000152	Mcavernosa16634-RA	XP_020611789.1, XP_020611916.1
OG0000153	Mcavernosa30499-RA	XP_020623004.1, XP_020623003.1, XP_020623002.1, XP_020623001.1, XP_020622991.1
OG0000153	Mcavernosa23414-RA	XP_020613102.1
OG0000155	Mcavernosa33935-RA	XP_020606397.1
OG0000156	Mcavernosa23275-RA	XP_020620309.1, XP_020616800.1, XP_020603008.1
OG0000157	Mcavernosa25694-RA	XP_020614960.1
OG0000158	Mcavernosa12865-RA, Mcavernosa06925-RA, Mcavernosa12202-RA	XP_020625151.1
OG0000159	Mcavernosa26435-RA	XP_020623942.1
OG0000160	Mcavernosa18555-RA	XP_020622218.1
OG0000160	Mcavernosa05768-RA, Mcavernosa33039-RA	XP_020602219.1, XP_020630834.1
OG0000164	Mcavernosa02620-RA	XP_020615575.1
OG0000164	Mcavernosa02621-RA	XP_020612434.1
OG0000164	Mcavernosa27476-RA, Mcavernosa34471-RA, Mcavernosa09533-RA, Mcavernosa16718-RA	XP_020605081.1
OG0000166	Mcavernosa31992-RA, Mcavernosa34649-RA, Mcavernosa33840-RA	XP_020610300.1
OG0000167	Mcavernosa26625-RA	XP_020621755.1
OG0000168	Mcavernosa24096-RA	XP_020606675.1, XP_020606681.1, XP_020606680.1
OG0000169	Mcavernosa11660-RA	XP_020630494.1, XP_020630492.1, XP_020630493.1, XP_020630495.1
OG0000173	Mcavernosa19097-RA, Mcavernosa03269-RA, Mcavernosa03270-RA	XP_020607279.1
OG0000173	Mcavernosa03259-RA, Mcavernosa03262-RA, Mcavernosa03267-RA, Mcavernosa23944-RA, Mcavernosa23945-RA, Mcavernosa03264-RA	XP_020607535.1, XP_020607514.1, XP_020607522.1
OG0000174	Mcavernosa34441-RA, Mcavernosa01371-RA	XP_020629800.1
OG0000174	Mcavernosa01374-RA	XP_020628354.1, XP_020612756.1, XP_020613389.1, XP_020603643.1, XP_020613809.1, XP_020629086.1, XP_020613548.1, XP_020613628.1, XP_020613947.1, XP_020613630.1, XP_020613949.1, XP_020613869.1, XP_020613840.1, XP_020629799.1, XP_020621986.1
OG0000176	Mcavernosa21048-RA	XP_020617805.1
OG0000176	Mcavernosa22818-RA, Mcavernosa22817-RA	XP_020615253.1
OG0000177	Mcavernosa08315-RA	XP_020611849.1
OG0000177	Mcavernosa34884-RA	XP_020600573.1
OG0000177	Mcavernosa33768-RA	XP_020608537.1, XP_020608496.1, XP_020608495.1
OG0000177	Mcavernosa08094-RA, Mcavernosa09443-RA	XP_020631653.1, XP_020631654.1
OG0000177	Mcavernosa34605-RA, Mcavernosa34606-RA	XP_020610842.1, XP_020610849.1
OG0000177	Mcavernosa31028-RA	XP_020604431.1
OG0000177	Mcavernosa22527-RA	XP_020613763.1, XP_020611164.1, XP_020611175.1
OG0000177	Mcavernosa22526-RA	XP_020613761.1, XP_020613762.1
OG0000177	Mcavernosa11332-RA	XP_020610823.1, XP_020610642.1, XP_020610651.1, XP_020610831.1
OG0000178	Mcavernosa14214-RA	XP_020626972.1, XP_020609708.1, XP_020621603.1
OG0000178	Mcavernosa06788-RA	XP_020600400.1, XP_020600517.1, XP_020600432.1, XP_020600431.1
OG0000178	Mcavernosa30315-RA	XP_020613521.1
OG0000180	Mcavernosa31903-RA	XP_020631558.1, XP_020631559.1, XP_020631560.1
OG0000182	Mcavernosa20786-RA, Mcavernosa20787-RA, Mcavernosa20785-RA	XP_020610722.1, XP_020610723.1
OG0000182	Mcavernosa18561-RA, Mcavernosa18562-RA	XP_020610313.1, XP_020610314.1
OG0000185	Mcavernosa22361-RA, Mcavernosa03366-RA, Mcavernosa18826-RA	XP_020620001.1
OG0000185	Mcavernosa22175-RA	XP_020608678.1
OG0000186	Mcavernosa11140-RA	XP_020625819.1
OG0000187	Mcavernosa29661-RA	XP_020608731.1, XP_020608721.1
OG0000187	Mcavernosa30319-RA	XP_020618359.1
OG0000187	Mcavernosa01649-RA, Mcavernosa01661-RA, Mcavernosa01629-RA, Mcavernosa01660-RA	XP_020618381.1, XP_020618154.1
OG0000188	Mcavernosa29798-RA	XP_020617819.1
OG0000188	Mcavernosa09233-RA, Mcavernosa09229-RA	XP_020616557.1, XP_020616565.1, XP_020616538.1, XP_020616548.1
OG0000188	Mcavernosa20711-RA	XP_020617821.1
OG0000188	Mcavernosa20710-RA	XP_020617820.1, XP_020617806.1
OG0000188	Mcavernosa29795-RA	XP_020617793.1, XP_020630978.1
OG0000188	Mcavernosa09231-RA, Mcavernosa09227-RA, Mcavernosa09232-RA, Mcavernosa09234-RA	XP_020630975.1, XP_020630976.1, XP_020630974.1
OG0000189	Mcavernosa11680-RA	XP_020630523.1, XP_020630455.1
OG0000189	Mcavernosa11681-RA	XP_020630524.1
OG0000189	Mcavernosa11683-RA	XP_020630418.1
OG0000189	Mcavernosa11684-RA	XP_020630417.1, XP_020630424.1, XP_020630453.1
OG0000192	Mcavernosa17666-RA	XP_020601665.1, XP_020601666.1
OG0000192	Mcavernosa34232-RA	XP_020603359.1
OG0000193	Mcavernosa17665-RA, Mcavernosa34233-RA	XP_020603333.1
OG0000194	Mcavernosa02447-RA, Mcavernosa02988-RA, Mcavernosa02987-RA, Mcavernosa32501-RA, Mcavernosa11967-RA, Mcavernosa32504-RA, Mcavernosa02989-RA, Mcavernosa03559-RA	XP_020623526.1
OG0000199	Mcavernosa25481-RA	XP_020613474.1
OG0000203	Mcavernosa19289-RA	XP_020631294.1
OG0000203	Mcavernosa19288-RA	XP_020631022.1
OG0000203	Mcavernosa24018-RA	XP_020631011.1
OG0000204	Mcavernosa02194-RA	XP_020619802.1
OG0000204	Mcavernosa04567-RA	XP_020619864.1
OG0000207	Mcavernosa19474-RA, Mcavernosa32637-RA	XP_020606676.1
OG0000207	Mcavernosa24084-RA, Mcavernosa29414-RA	XP_020606671.1, XP_020606684.1, XP_020606683.1
OG0000207	Mcavernosa29412-RA	XP_020606668.1, XP_020606679.1, XP_020606669.1, XP_020606670.1
OG0000207	Mcavernosa24085-RA	XP_020606664.1
OG0000207	Mcavernosa29413-RA	XP_020606685.1
OG0000208	Mcavernosa23285-RA	XP_020608734.1, XP_020615417.1, XP_020615415.1
OG0000213	Mcavernosa19394-RA	XP_020607544.1
OG0000214	Mcavernosa23427-RA, Mcavernosa10866-RA, Mcavernosa30709-RA, Mcavernosa23322-RA, Mcavernosa24532-RA	XP_020617251.1, XP_020617253.1
OG0000214	Mcavernosa17425-RA	XP_020612938.1
OG0000214	Mcavernosa07644-RA	XP_020626342.1
OG0000214	Mcavernosa33421-RA, Mcavernosa35230-RA	XP_020605312.1
OG0000215	Mcavernosa24169-RA	XP_020624540.1
OG0000221	Mcavernosa16286-RA	XP_020608763.1, XP_020608770.1
OG0000221	Mcavernosa16283-RA, Mcavernosa16285-RA, Mcavernosa16284-RA	XP_020608767.1, XP_020608766.1, XP_020608768.1, XP_020608764.1, XP_020608769.1, XP_020608765.1
OG0000221	Mcavernosa30677-RA	XP_020613573.1, XP_020613623.1
OG0000221	Mcavernosa07309-RA	XP_020613574.1
OG0000223	Mcavernosa08711-RA	XP_020626200.1, XP_020626201.1
OG0000223	Mcavernosa33915-RA	XP_020622655.1, XP_020622730.1, XP_020622692.1
OG0000223	Mcavernosa27723-RA	XP_020622654.1
OG0000223	Mcavernosa33916-RA	XP_020622728.1, XP_020622729.1, XP_020622657.1
OG0000224	Mcavernosa19329-RA	XP_020610138.1
OG0000224	Mcavernosa30937-RA, Mcavernosa17755-RA, Mcavernosa27373-RA, Mcavernosa30938-RA, Mcavernosa30936-RA, Mcavernosa31194-RA, Mcavernosa17754-RA	XP_020607725.1
OG0000225	Mcavernosa02105-RA, Mcavernosa34138-RA, Mcavernosa35052-RA	XP_020625497.1
OG0000226	Mcavernosa32350-RA, Mcavernosa32790-RA, Mcavernosa35107-RA	XP_020626372.1
OG0000226	Mcavernosa33821-RA	XP_020626373.1
OG0000227	Mcavernosa03123-RA, Mcavernosa03127-RA	XP_020612560.1, XP_020612518.1
OG0000227	Mcavernosa17970-RA	XP_020610719.1
OG0000227	Mcavernosa17966-RA, Mcavernosa17969-RA	XP_020610668.1
OG0000227	Mcavernosa23452-RA	XP_020620723.1, XP_020620722.1
OG0000228	Mcavernosa01316-RA	XP_020608428.1, XP_020608427.1
OG0000229	Mcavernosa15008-RA	XP_020606859.1
OG0000229	Mcavernosa29646-RA, Mcavernosa34922-RA	XP_020606858.1, XP_020621456.1
