Orthogroup	plut2v1.1.proteins	Montipora_capitata_HIv2.genes.pep
OG0000002	jamg1.model.xpSc0007123.20, plut2.m8.26085.m1, plut2.m8.4231.m1, plut2.m8.29992.m1, jamg1.model.Sc0000107.69, jamg1.model.xfSc0000004.62, jamg1.model.Sc0000083.5, jamg1.model.Sc0000322.18, jamg1.model.Sc0000436.17, jamg1.model.Sc0000436.11, plut2.m8.8697.m1, plut2.m8.29334.m1, plut2.m8.14397.m1, jamg1.model.Sc0000095.4, plut2.m8.5636.m1, plut2.m8.21792.m1, jamg1.model.xpSc0007169.4, jamg1.model.Sc0000685.5, plut2.m8.21791.m1	Montipora_capitata_PredGene_g69754.t1
OG0000002	jamg1.model.xpSc0007481.9, plut2.m8.22086.m1, jamg1.model.Sc0000447.9	Montipora_capitata_PredGene_g31427.t1
OG0000002	jamg1.model.xfSc0000004.58	Montipora_capitata_PredGene_g35832.t1, Montipora_capitata_PredGene_g43894.t1, Montipora_capitata_PredGene_g34203.t1, Montipora_capitata_PredGene_g40172.t1, Montipora_capitata_PredGene_g45012.t1, Montipora_capitata_PredGene_g3303.t1, Montipora_capitata_PredGene_g35831.t1, Montipora_capitata_PredGene_g40171.t1, Montipora_capitata_PredGene_g34205.t1, Montipora_capitata_PredGene_g18671.t1, Montipora_capitata_PredGene_g17673.t1, Montipora_capitata_PredGene_g19427.t1, Montipora_capitata_PredGene_g43892.t1, Montipora_capitata_PredGene_g1794.t1, Montipora_capitata_PredGene_g34204.t1, Montipora_capitata_PredGene_g18670.t1, Montipora_capitata_PredGene_g28724.t1, Montipora_capitata_PredGene_g43893.t1, Montipora_capitata_PredGene_g71545.t1, Montipora_capitata_PredGene_g26165.t1
OG0000003	plut2.m8.17369.m1	Montipora_capitata_PredGene_g67062.t1, Montipora_capitata_PredGene_g67065.t1, Montipora_capitata_PredGene_adi2mcaRNA30866_R0.t1
OG0000003	plut2.m8.17538.m1, plut2.m8.30215.m1, plut2.m8.11245.m1, plut2.m8.19481.m1, plut2.m8.25676.m1, plut2.m8.24512.m1, plut2.m8.25675.m1, plut2.m8.13873.m1, plut2.m8.17539.m1, plut2.m8.17535.m1	Montipora_capitata_PredGene_g12131.t1, Montipora_capitata_PredGene_g17116.t1, Montipora_capitata_PredGene_g69305.t1, Montipora_capitata_PredGene_g14380.t1, Montipora_capitata_PredGene_g69315.t1
OG0000003	plut2.m8.17365.m1	Montipora_capitata_PredGene_g57508.t1, Montipora_capitata_PredGene_adi2mcaRNA20027_R6.t1, Montipora_capitata_PredGene_g28627.t1, Montipora_capitata_PredGene_adi2mcaRNA5341_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA32783_R2.t1
OG0000003	jamg1.model.xfSc0002268.1, plut2.m8.9049.m1, plut2.m8.9050.m1, plut2.m8.9051.m1	Montipora_capitata_PredGene_g22376.t1
OG0000003	jamg1.model.Sc0000270.25, plut2.m8.32895.m1, plut2.m8.33138.m1, plut2.m8.29681.m1, plut2.m8.17381.m1, plut2.m8.23727.m1, plut2.m8.32811.m1, plut2.m8.29677.m1, plut2.m8.29680.m1	Montipora_capitata_PredGene_adi2mcaRNA33323_R3.t1
OG0000004	plut2.m8.14570.m1	Montipora_capitata_PredGene_g4533.t1
OG0000004	plut2.m8.25105.m1	Montipora_capitata_PredGene_g4536.t1
OG0000004	plut2.m8.633.m1	Montipora_capitata_PredGene_g60287.t1
OG0000004	plut2.m8.336.m1	Montipora_capitata_PredGene_g18963.t1, Montipora_capitata_PredGene_g42834.t1
OG0000004	plut2.m8.24277.m1, plut2.m8.14717.m1, plut2.m8.2583.m1, plut2.m8.2578.m1, plut2.m8.2582.m1, plut2.m8.2584.m1	Montipora_capitata_PredGene_g50762.t1
OG0000004	plut2.m8.10256.m1, plut2.m8.10257.m1	Montipora_capitata_PredGene_g47695.t1
OG0000004	plut2.m8.7155.m1, plut2.m8.2313.m1, plut2.m8.2608.m1	Montipora_capitata_PredGene_g48772.t1, Montipora_capitata_PredGene_g4542.t1, Montipora_capitata_PredGene_g71559.t1, Montipora_capitata_PredGene_g71556.t1, Montipora_capitata_PredGene_g4544.t1, Montipora_capitata_PredGene_g71554.t1
OG0000005	plut2.m8.28874.m1, plut2.m8.32837.m1, plut2.m8.9030.m1	Montipora_capitata_PredGene_g56632.t1
OG0000005	plut2.m8.29832.m1	Montipora_capitata_PredGene_g47136.t1, Montipora_capitata_PredGene_g43117.t1, Montipora_capitata_PredGene_g30954.t1, Montipora_capitata_PredGene_g37725.t1, Montipora_capitata_PredGene_g43116.t1, Montipora_capitata_PredGene_g51909.t1, Montipora_capitata_PredGene_g30953.t1, Montipora_capitata_PredGene_g50027.t1, Montipora_capitata_PredGene_g65360.t1
OG0000006	plut2.m8.1341.m1, plut2.m8.1350.m1, plut2.m8.1343.m1	Montipora_capitata_PredGene_adi2mcaRNA31145_R0.t1, Montipora_capitata_PredGene_g53388.t1, Montipora_capitata_PredGene_g4437.t1, Montipora_capitata_PredGene_g60114.t1, Montipora_capitata_PredGene_g60131.t1
OG0000006	plut2.m8.976.m1, plut2.m8.32944.m1	Montipora_capitata_PredGene_g69103.t1
OG0000006	plut2.m8.654.m1, plut2.m8.12628.m1, plut2.m8.12625.m1, plut2.m8.12636.m1, plut2.m8.12630.m1, plut2.m8.12641.m1, plut2.m8.12627.m1, plut2.m8.29341.m1, plut2.m8.12624.m1, plut2.m8.30600.m1, plut2.m8.2412.m1	Montipora_capitata_PredGene_adi2mcaRNA6339_R1.t1, Montipora_capitata_PredGene_g50184.t1, Montipora_capitata_PredGene_adi2mcaRNA6338_R2.t1
OG0000006	plut2.m8.19233.m1, plut2.m8.979.m1, jamg1.model.Sc0000699.2, jamg1.model.Sc0000003.132, plut2.m8.27325.m1, plut2.m8.23957.m1, plut2.m8.25413.m1, jamg1.model.xpSc0007110.2	Montipora_capitata_PredGene_adi2mcaRNA31800_R8.t1
OG0000007	plut2.m8.11707.m1, plut2.m8.11691.m1, plut2.m8.11711.m1, plut2.m8.10142.m1, plut2.m8.10135.m1, plut2.m8.32704.m1, plut2.m8.11709.m1, plut2.m8.11708.m1, plut2.m8.11698.m1, plut2.m8.11696.m1, plut2.m8.11697.m1, plut2.m8.11703.m1, plut2.m8.32707.m1, plut2.m8.32711.m1, plut2.m8.31199.m1, plut2.m8.9356.m1, plut2.m8.10141.m1, plut2.m8.31198.m1, plut2.m8.20505.m1, plut2.m8.11713.m1, plut2.m8.31201.m1, plut2.m8.9357.m1, plut2.m8.9361.m1	Montipora_capitata_PredGene_adi2mcaRNA32728_R1.t1
OG0000007	plut2.m8.30961.m1, plut2.m8.32710.m1, plut2.m8.32709.m1, plut2.m8.32702.m1, plut2.m8.11699.m1, plut2.m8.32708.m1, plut2.m8.33520.m1, plut2.m8.11700.m1, plut2.m8.11712.m1, plut2.m8.11692.m1, plut2.m8.10139.m1, plut2.m8.9359.m1, plut2.m8.11706.m1, plut2.m8.32699.m1	Montipora_capitata_PredGene_g36035.t1
OG0000007	plut2.m8.829.m1, plut2.m8.11340.m1, plut2.m8.11327.m1	Montipora_capitata_PredGene_g16119.t1, Montipora_capitata_PredGene_g26439.t1, Montipora_capitata_PredGene_g26441.t1, Montipora_capitata_PredGene_g26440.t1, Montipora_capitata_PredGene_g26455.t1, Montipora_capitata_PredGene_g26456.t1, Montipora_capitata_PredGene_g26451.t1, Montipora_capitata_PredGene_g26461.t1, Montipora_capitata_PredGene_g26450.t1, Montipora_capitata_PredGene_g26448.t1, Montipora_capitata_PredGene_g26458.t1, Montipora_capitata_PredGene_g26449.t1, Montipora_capitata_PredGene_adi2mcaRNA3402_R7.t1, Montipora_capitata_PredGene_g26454.t1
OG0000007	plut2.m8.29030.m1, plut2.m8.12842.m1, plut2.m8.12845.m1, plut2.m8.12844.m1, plut2.m8.12850.m1, plut2.m8.12851.m1, plut2.m8.12847.m1, plut2.m8.12848.m1, plut2.m8.32007.m1, plut2.m8.12846.m1	Montipora_capitata_PredGene_g52564.t1
OG0000007	plut2.m8.7134.m1	Montipora_capitata_PredGene_adi2mcaRNA23234_R0.t1
OG0000008	plut2.m8.15205.m1	Montipora_capitata_PredGene_adi2mcaRNA31763_R1.t1
OG0000008	jamg1.model.Sc0000021.100	Montipora_capitata_PredGene_adi2mcaRNA33128_R8.t1
OG0000008	jamg1.model.Sc0000021.93, plut2.m8.2670.m1	Montipora_capitata_PredGene_adi2mcaRNA10252_R7.t1
OG0000008	plut2.m8.32858.m1, plut2.m8.15177.m1, plut2.m8.24346.m1, plut2.m8.33431.m1, jamg1.model.xpSc0007170.7, plut2.m8.15159.m1, plut2.m8.24352.m1, plut2.m8.25568.m1, plut2.m8.30977.m1, plut2.m8.24349.m1, plut2.m8.26821.m1, plut2.m8.26820.m1, plut2.m8.26813.m1, plut2.m8.26809.m1, plut2.m8.26808.m1, plut2.m8.26830.m1, plut2.m8.26812.m1, plut2.m8.26831.m1, plut2.m8.24926.m1, plut2.m8.32633.m1	Montipora_capitata_PredGene_adi2mcaRNA22597_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA22790_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA22790_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA22790_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA22790_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA37403_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA22597_R1.t1
OG0000009	plut2.m8.16827.m1, plut2.m8.28844.m1, plut2.m8.1098.m1, plut2.m8.1106.m1	Montipora_capitata_PredGene_g14015.t1, Montipora_capitata_PredGene_g45110.t1
OG0000009	plut2.m8.3427.m1	Montipora_capitata_PredGene_g21454.t1, Montipora_capitata_PredGene_g35402.t1
OG0000009	plut2.m8.1121.m1, plut2.m8.28843.m1	Montipora_capitata_PredGene_g68881.t1
OG0000009	plut2.m8.24173.m1	Montipora_capitata_PredGene_adi2mcaRNA22454_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA22454_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA22454_R1.t1
OG0000009	plut2.m8.13429.m1, plut2.m8.8052.m1, plut2.m8.3431.m1, plut2.m8.26416.m1, plut2.m8.31608.m1, plut2.m8.3435.m1, plut2.m8.28372.m1, plut2.m8.3437.m1, plut2.m8.3436.m1	Montipora_capitata_PredGene_g68882.t1
OG0000009	plut2.m8.16381.m1	Montipora_capitata_PredGene_g45091.t1, Montipora_capitata_PredGene_g45111.t1, Montipora_capitata_PredGene_g55538.t1
OG0000009	plut2.m8.8043.m1, plut2.m8.8046.m1, plut2.m8.8041.m1, plut2.m8.8042.m1, plut2.m8.31192.m1, plut2.m8.26326.m1, plut2.m8.31191.m1, plut2.m8.33480.m1, plut2.m8.8049.m1	Montipora_capitata_PredGene_g62927.t1, Montipora_capitata_PredGene_g4442.t1, Montipora_capitata_PredGene_g4457.t1
OG0000009	plut2.m8.1101.m1, plut2.m8.1126.m1	Montipora_capitata_PredGene_adi2mcaRNA22454_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA22454_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA22454_R5.t1
OG0000010	jamg1.model.Sc0000359.28	Montipora_capitata_PredGene_g273.t1, Montipora_capitata_PredGene_g30970.t1, Montipora_capitata_PredGene_g19848.t1, Montipora_capitata_PredGene_g48682.t1, Montipora_capitata_PredGene_g69738.t1, Montipora_capitata_PredGene_g69737.t1, Montipora_capitata_PredGene_g55883.t1, Montipora_capitata_PredGene_g25679.t1, Montipora_capitata_PredGene_g36736.t1, Montipora_capitata_PredGene_g27925.t1
OG0000010	plut2.m8.21571.m1	Montipora_capitata_PredGene_g62814.t1
OG0000010	plut2.m8.5732.m1, plut2.m8.5735.m1	Montipora_capitata_PredGene_g56407.t1, Montipora_capitata_PredGene_g66122.t1, Montipora_capitata_PredGene_g49520.t1
OG0000010	plut2.m8.23850.m1	Montipora_capitata_PredGene_adi2mcaRNA27420_R4.t1
OG0000010	plut2.m8.29877.m1	Montipora_capitata_PredGene_g2682.t1
OG0000010	jamg1.model.Sc0000513.15	Montipora_capitata_PredGene_g52397.t1, Montipora_capitata_PredGene_adi2mcaRNA15662_R9.t1
OG0000010	plut2.m8.11367.m1	Montipora_capitata_PredGene_adi2mcaRNA18864_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA5859_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA10967_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA10967_R3.t1, Montipora_capitata_PredGene_g63476.t1, Montipora_capitata_PredGene_adi2mcaRNA13323_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA5859_R7.t1, Montipora_capitata_PredGene_g10331.t1, Montipora_capitata_PredGene_g24892.t1, Montipora_capitata_PredGene_adi2mcaRNA10967_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA3304_R0.t1, Montipora_capitata_PredGene_g11819.t1, Montipora_capitata_PredGene_adi2mcaRNA28971_R8.t1
OG0000011	plut2.m8.8860.m1	Montipora_capitata_PredGene_g35924.t1
OG0000011	plut2.m8.451.m1, plut2.m8.31326.m1, plut2.m8.452.m1, plut2.m8.31325.m1, plut2.m8.31322.m1, plut2.m8.31324.m1, plut2.m8.31323.m1, plut2.m8.24635.m1	Montipora_capitata_PredGene_g44401.t1, Montipora_capitata_PredGene_g63302.t1
OG0000011	plut2.m8.6448.m1	Montipora_capitata_PredGene_g24340.t1, Montipora_capitata_PredGene_g3237.t1, Montipora_capitata_PredGene_g24341.t1, Montipora_capitata_PredGene_g35232.t1, Montipora_capitata_PredGene_g35223.t1, Montipora_capitata_PredGene_g35229.t1, Montipora_capitata_PredGene_g35233.t1, Montipora_capitata_PredGene_g35224.t1, Montipora_capitata_PredGene_g35228.t1
OG0000011	plut2.m8.1550.m1, plut2.m8.9693.m1, plut2.m8.906.m1, plut2.m8.33585.m1, plut2.m8.907.m1	Montipora_capitata_PredGene_g37871.t1, Montipora_capitata_PredGene_g44447.t1, Montipora_capitata_PredGene_g44446.t1, Montipora_capitata_PredGene_g34856.t1, Montipora_capitata_PredGene_g18631.t1, Montipora_capitata_PredGene_g44441.t1, Montipora_capitata_PredGene_g44445.t1, Montipora_capitata_PredGene_adi2mcaRNA39286_R6.t1, Montipora_capitata_PredGene_g19875.t1, Montipora_capitata_PredGene_g19873.t1, Montipora_capitata_PredGene_g44443.t1, Montipora_capitata_PredGene_g34858.t1, Montipora_capitata_PredGene_g11123.t1, Montipora_capitata_PredGene_g19872.t1, Montipora_capitata_PredGene_g11136.t1, Montipora_capitata_PredGene_g11125.t1, Montipora_capitata_PredGene_g34868.t1
OG0000011	plut2.m8.15413.m1	Montipora_capitata_PredGene_g68219.t1, Montipora_capitata_PredGene_g42627.t1, Montipora_capitata_PredGene_g42624.t1, Montipora_capitata_PredGene_g12188.t1, Montipora_capitata_PredGene_g68211.t1, Montipora_capitata_PredGene_g68231.t1, Montipora_capitata_PredGene_adi2mcaRNA25680_R0.t1
OG0000012	plut2.m8.16439.m1	Montipora_capitata_PredGene_g21913.t1
OG0000012	plut2.m8.25912.m1, jamg1.model.xfSc0000084.10, jamg1.model.Sc0000006.138, jamg1.model.Sc0000870.3, plut2.m8.25899.m1, plut2.m8.29988.m1, plut2.m8.21789.m1, plut2.m8.33305.m1, plut2.m8.760.m1, plut2.m8.32609.m1, jamg1.model.Sc0000035.6, jamg1.model.Sc0000289.21, plut2.m8.10751.m1, plut2.m8.681.m1, plut2.m8.31658.m1, plut2.m8.25493.m1, plut2.m8.16606.m1, plut2.m8.16610.m1, plut2.m8.17993.m1, plut2.m8.16736.m1, plut2.m8.16737.m1, plut2.m8.16732.m1	Montipora_capitata_PredGene_adi2mcaRNA31072_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA31072_R4.t1
OG0000013	plut2.m8.23626.m1, plut2.m8.23636.m1, plut2.m8.23107.m1, plut2.m8.9495.m1, plut2.m8.23633.m1, plut2.m8.27833.m1, plut2.m8.23632.m1, plut2.m8.18815.m1, plut2.m8.2421.m1, plut2.m8.17743.m1, plut2.m8.11994.m1, plut2.m8.31051.m1, plut2.m8.146.m1, plut2.m8.29952.m1, plut2.m8.16783.m1, plut2.m8.31135.m1, plut2.m8.26172.m1, plut2.m8.5055.m1, plut2.m8.32314.m1, plut2.m8.18415.m1, plut2.m8.21573.m1, plut2.m8.488.m1, plut2.m8.26154.m1, plut2.m8.23634.m1, plut2.m8.9345.m1	Montipora_capitata_PredGene_g54723.t1
OG0000013	plut2.m8.6499.m1	Montipora_capitata_PredGene_g40655.t1, Montipora_capitata_PredGene_g40650.t1, Montipora_capitata_PredGene_g40638.t1, Montipora_capitata_PredGene_g40640.t1, Montipora_capitata_PredGene_adi2mcaRNA7657_R3.t1, Montipora_capitata_PredGene_g53794.t1, Montipora_capitata_PredGene_adi2mcaRNA41075_R7.t1, Montipora_capitata_PredGene_g55585.t1, Montipora_capitata_PredGene_g20363.t1, Montipora_capitata_PredGene_g20361.t1, Montipora_capitata_PredGene_g55586.t1
OG0000013	plut2.m8.11944.m1, plut2.m8.11945.m1, plut2.m8.11936.m1	Montipora_capitata_PredGene_g42280.t1
OG0000013	plut2.m8.8653.m1, plut2.m8.12167.m1, plut2.m8.23335.m1, plut2.m8.9280.m1, plut2.m8.9273.m1, plut2.m8.11587.m1, plut2.m8.11585.m1, plut2.m8.12185.m1, plut2.m8.1278.m1, plut2.m8.10392.m1, plut2.m8.639.m1, plut2.m8.33550.m1, plut2.m8.25156.m1, plut2.m8.646.m1, plut2.m8.33402.m1, plut2.m8.17586.m1, plut2.m8.12186.m1, plut2.m8.11554.m1, plut2.m8.1283.m1, plut2.m8.26274.m1, plut2.m8.17756.m1, plut2.m8.11502.m1, plut2.m8.25219.m1, plut2.m8.25480.m1, plut2.m8.25215.m1, plut2.m8.25217.m1, plut2.m8.17758.m1, plut2.m8.17759.m1, plut2.m8.32931.m1, plut2.m8.16929.m1, plut2.m8.28443.m1, plut2.m8.28435.m1	Montipora_capitata_PredGene_g19904.t1
OG0000014	plut2.m8.32975.m1	Montipora_capitata_PredGene_adi2mcaRNA35062_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA35062_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA35062_R5.t1
OG0000014	plut2.m8.13233.m1, plut2.m8.30343.m1, plut2.m8.30853.m1	Montipora_capitata_PredGene_g4375.t1
OG0000014	plut2.m8.763.m1	Montipora_capitata_PredGene_g1421.t1, Montipora_capitata_PredGene_g41506.t1
OG0000014	plut2.m8.661.m1	Montipora_capitata_PredGene_adi2mcaRNA33372_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA33372_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA33372_R1.t1, Montipora_capitata_PredGene_g67199.t1, Montipora_capitata_PredGene_adi2mcaRNA40649_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA40649_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA40649_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA40649_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA40649_R5.t1, Montipora_capitata_PredGene_g37087.t1, Montipora_capitata_PredGene_g63357.t1, Montipora_capitata_PredGene_g56689.t1, Montipora_capitata_PredGene_g39325.t1, Montipora_capitata_PredGene_g39303.t1, Montipora_capitata_PredGene_g2715.t1, Montipora_capitata_PredGene_adi2mcaRNA29305_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA29305_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA29305_R5.t1, Montipora_capitata_PredGene_adi2mcaRNA29305_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA29305_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA29305_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA29305_R9.t1
OG0000014	jamg1.model.Sc0000523.31	Montipora_capitata_PredGene_g71287.t1, Montipora_capitata_PredGene_g37249.t1, Montipora_capitata_PredGene_g43983.t1, Montipora_capitata_PredGene_g63303.t1, Montipora_capitata_PredGene_g35222.t1, Montipora_capitata_PredGene_g15234.t1
