Orthogroup	GCF_002042975.1_ofav_dov_v1_protein	Acerv_assembly_v1.0.protein
OG0000003	XP_020617972.1, XP_020617970.1, XP_020617971.1, XP_020602483.1, XP_020602482.1, XP_020602481.1	Acerv_evm.model.Segkk2039_pilon.1, Acerv_evm.model.Segkk2039_pilon.3, Acerv_evm.model.Segkk2733_pilon.8, Acerv_evm.model.Segkk3789_pilon.4, Acerv_evm.model.Segkk2733_pilon.2, Acerv_evm.model.Segkk2574_pilon.10, Acerv_evm.model.Segkk1120_pilon.1, Acerv_evm.model.Segkk2124_pilon.3, Acerv_evm.model.Segkk4247_pilon.2, Acerv_evm.model.Segkk2574_pilon.6, Acerv_evm.model.Segkk2732_pilon.3, Acerv_evm.model.Segkk3076_pilon.4, Acerv_evm.model.Segkk1498_pilon.3, Acerv_evm.model.Segkk3789_pilon.1, Acerv_evm.model.Segkk1529_pilon.1
OG0000003	XP_020602477.1, XP_020602480.1, XP_020602499.1	Acerv_evm.model.Segkk2904_pilon.5, Acerv_evm.model.Segkk2732_pilon.1, Acerv_evm.model.Segkk91_pilon.1, Acerv_evm.model.Segkk3493_pilon.6, Acerv_evm.model.Segkk3130_pilon.2
OG0000004	XP_020612448.1, XP_020612449.1, XP_020612450.1, XP_020612451.1, XP_020612452.1, XP_020612453.1	Acerv_evm.model.Segkk1426_pilon.5
OG0000004	XP_020603642.1, XP_020626691.1, XP_020620053.1	Acerv_evm.model.Segkk554_pilon.1
OG0000004	XP_020606067.1	Acerv_evm.model.Segkk4020_pilon.2
OG0000004	XP_020604991.1	Acerv_evm.model.Segkk459_pilon.2
OG0000004	XP_020615606.1, XP_020601876.1, XP_020620031.1, XP_020608709.1, XP_020608690.1, XP_020615513.1, XP_020615455.1, XP_020608580.1, XP_020608578.1, XP_020608579.1, XP_020608625.1, XP_020615436.1	Acerv_evm.model.Segkk1976_pilon.9
OG0000006	XP_020615517.1	Acerv_evm.model.Segkk643_pilon.9, Acerv_evm.model.Segkk895_pilon.8, Acerv_evm.model.Segkk3698_pilon.7
OG0000006	XP_020622248.1, XP_020622243.1, XP_020622236.1, XP_020622251.1	Acerv_evm.model.Segkk2353_pilon.15
OG0000007	XP_020618832.1	Acerv_evm.model.Segkk2329_pilon.6
OG0000007	XP_020624554.1, XP_020624553.1	Acerv_evm.model.Segkk1092_pilon.8
OG0000007	XP_020622948.1	Acerv_evm.model.Segkk2199_pilon.17, Acerv_evm.model.Segkk728_pilon.1, Acerv_evm.model.Segkk533_pilon.1
OG0000007	XP_020631802.1	Acerv_evm.model.Segkk673_pilon.11
OG0000008	XP_020622254.1, XP_020622253.1, XP_020622245.1, XP_020622252.1, XP_020622201.1, XP_020622200.1, XP_020622202.1, XP_020617381.1	Acerv_evm.model.Segkk160_pilon.3
OG0000008	XP_020605427.1	Acerv_evm.model.Segkk2267_pilon.11, Acerv_evm.model.Segkk608_pilon.3, Acerv_evm.model.Segkk1245_pilon.1, Acerv_evm.model.Segkk3453_pilon.19, Acerv_evm.model.Segkk377_pilon.1, Acerv_evm.model.Segkk2889_pilon.24, Acerv_evm.model.Segkk1421_pilon.5, Acerv_evm.model.Segkk2267_pilon.18, Acerv_evm.model.Segkk1873_pilon.1, Acerv_evm.model.Segkk1001_pilon.5, Acerv_evm.model.Segkk1421_pilon.11, Acerv_evm.model.Segkk2346_pilon.2, Acerv_evm.model.Segkk664_pilon.5, Acerv_evm.model.Segkk1532_pilon.1, Acerv_evm.model.Segkk2267_pilon.15
OG0000008	XP_020611128.1, XP_020611127.1	Acerv_evm.model.Segkk3343_pilon.8, Acerv_evm.model.Segkk926_pilon.6, Acerv_evm.model.Segkk2267_pilon.14, Acerv_evm.model.Segkk2267_pilon.9, Acerv_evm.model.Segkk2025_pilon.4, Acerv_evm.model.Segkk2889_pilon.25, Acerv_evm.model.Segkk2920_pilon.7, Acerv_evm.model.Segkk2267_pilon.20, Acerv_evm.model.Segkk377_pilon.2, Acerv_evm.model.Segkk2267_pilon.21, Acerv_evm.model.Segkk2267_pilon.7, Acerv_evm.model.Segkk4138_pilon.32, Acerv_evm.model.Segkk607_pilon.14, Acerv_evm.model.Segkk1181_pilon.9, Acerv_evm.model.Segkk1514_pilon.10, Acerv_evm.model.Segkk1514_pilon.11, Acerv_evm.model.Segkk2731_pilon.1, Acerv_evm.model.Segkk981_pilon.6, Acerv_evm.model.Segkk1838_pilon.9
OG0000009	XP_020632639.1, XP_020607287.1, XP_020607288.1, XP_020607291.1, XP_020611728.1	Acerv_evm.model.Segkk4037_pilon.32
OG0000009	XP_020624086.1	Acerv_evm.model.Segkk4150_pilon.1, Acerv_evm.model.Segkk3203_pilon.1, Acerv_evm.model.Segkk676_pilon.1, Acerv_evm.model.Segkk2269_pilon.6, Acerv_evm.model.Segkk2484_pilon.1, Acerv_evm.model.Segkk1270_pilon.2, Acerv_evm.model.Segkk752_pilon.3, Acerv_evm.model.Segkk1030_pilon.3, Acerv_evm.model.Segkk3417_pilon.2, Acerv_evm.model.Segkk628_pilon.3, Acerv_evm.model.Segkk794_pilon.2, Acerv_evm.model.Segkk3405_pilon.5, Acerv_evm.model.Segkk752_pilon.1, Acerv_evm.model.Segkk1533_pilon.2, Acerv_evm.model.Segkk349_pilon.2, Acerv_evm.model.Segkk728_pilon.5, Acerv_evm.model.Segkk3405_pilon.6, Acerv_evm.model.Segkk129_pilon.2, Acerv_evm.model.Segkk1270_pilon.1, Acerv_evm.model.Segkk752_pilon.2, Acerv_evm.model.Segkk1270_pilon.3, Acerv_evm.model.Segkk3405_pilon.3, Acerv_evm.model.Segkk794_pilon.4
OG0000010	XP_020604609.1, XP_020604608.1	Acerv_evm.model.Segkk3124_pilon.1, Acerv_evm.model.Segkk1288_pilon.38, Acerv_evm.model.Segkk4368_pilon.16, Acerv_evm.model.Segkk1126_pilon.4, Acerv_evm.model.Segkk1158_pilon.53, Acerv_evm.model.Segkk1731_pilon.10
OG0000010	XP_020602072.1	Acerv_evm.model.Segkk2737_pilon.10
OG0000010	XP_020607846.1	Acerv_evm.model.Segkk1845_pilon.7, Acerv_evm.model.Segkk650_pilon.2, Acerv_evm.model.Segkk1318_pilon.15
OG0000010	XP_020613056.1	Acerv_evm.model.Segkk1610_pilon.1, Acerv_evm.model.Segkk3971_pilon.16
OG0000010	XP_020622931.1	Acerv_evm.model.Segkk230_pilon.11
OG0000011	XP_020603547.1, XP_020603423.1	Acerv_evm.model.Segkk1878_pilon.3
OG0000011	XP_020619584.1, XP_020622382.1, XP_020622383.1	Acerv_evm.model.Segkk707_pilon.3
OG0000011	XP_020622652.1, XP_020622707.1, XP_020611958.1	Acerv_evm.model.Segkk2808_pilon.20, Acerv_evm.model.Segkk1676_pilon.21, Acerv_evm.model.Segkk1676_pilon.7, Acerv_evm.model.Segkk138_pilon.4, Acerv_evm.model.Segkk1676_pilon.17, Acerv_evm.model.Segkk1676_pilon.14, Acerv_evm.model.Segkk1676_pilon.8, Acerv_evm.model.Segkk1676_pilon.10
OG0000011	XP_020608992.1	Acerv_evm.model.Segkk3209_pilon.5, Acerv_evm.model.Segkk3209_pilon.9, Acerv_evm.model.Segkk3209_pilon.4, Acerv_evm.model.Segkk3209_pilon.7, Acerv_evm.model.Segkk3209_pilon.8, Acerv_evm.model.Segkk3209_pilon.20, Acerv_evm.model.Segkk3643_pilon.8, Acerv_evm.model.Segkk2649_pilon.3
OG0000012	XP_020614042.1	Acerv_evm.model.Segkk771_pilon.2, Acerv_evm.model.Segkk3057_pilon.2, Acerv_evm.model.Segkk4201_pilon.21, Acerv_evm.model.Segkk3057_pilon.1, Acerv_evm.model.Segkk1334_pilon.13, Acerv_evm.model.Segkk1302_pilon.9, Acerv_evm.model.Segkk1193_pilon.8, Acerv_evm.model.Segkk1099_pilon.5, Acerv_evm.model.Segkk3057_pilon.3, Acerv_evm.model.Segkk1334_pilon.12
OG0000012	XP_020620857.1, XP_020616082.1	Acerv_evm.model.Segkk2779_pilon.5
OG0000012	XP_020629726.1, XP_020629725.1, XP_020608314.1, XP_020623980.1, XP_020609423.1, XP_020600819.1, XP_020614004.1, XP_020614003.1, XP_020617248.1, XP_020631816.1, XP_020612810.1, XP_020612809.1, XP_020612811.1	Acerv_evm.model.Segkk2697_pilon.2, Acerv_evm.model.Segkk1729_pilon.7, Acerv_evm.model.Segkk1571_pilon.3, Acerv_evm.model.Segkk771_pilon.3, Acerv_evm.model.Segkk4201_pilon.22, Acerv_evm.model.Segkk1302_pilon.5, Acerv_evm.model.Segkk4077_pilon.3, Acerv_evm.model.Segkk20_pilon.44, Acerv_evm.model.Segkk1193_pilon.7, Acerv_evm.model.Segkk1099_pilon.4, Acerv_evm.model.Segkk1334_pilon.11, Acerv_evm.model.Segkk4077_pilon.4, Acerv_evm.model.Segkk1302_pilon.4, Acerv_evm.model.Segkk771_pilon.4, Acerv_evm.model.Segkk1711_pilon.1
OG0000013	XP_020628469.1, XP_020628472.1, XP_020628471.1, XP_020628470.1	Acerv_evm.model.Segkk524_pilon.50, Acerv_evm.model.Segkk1343_pilon.3, Acerv_evm.model.Segkk1576_pilon.3, Acerv_evm.model.Segkk1600_pilon.12
OG0000013	XP_020619789.1, XP_020619788.1, XP_020615798.1, XP_020615799.1, XP_020630041.1, XP_020621187.1, XP_020627577.1, XP_020613046.1, XP_020613045.1, XP_020613044.1	Acerv_evm.model.Segkk1600_pilon.13, Acerv_evm.model.Segkk876_pilon.5, Acerv_evm.model.Segkk524_pilon.51, Acerv_evm.model.Segkk876_pilon.4, Acerv_evm.model.Segkk1343_pilon.2, Acerv_evm.model.Segkk1576_pilon.2, Acerv_evm.model.Segkk2760_pilon.4, Acerv_evm.model.Segkk3226_pilon.2, Acerv_evm.model.Segkk1576_pilon.6, Acerv_evm.model.Segkk2846_pilon.10
OG0000014	XP_020625488.1	Acerv_evm.model.Segkk476_pilon.12
OG0000014	XP_020609585.1	Acerv_evm.model.Segkk1863_pilon.13, Acerv_evm.model.Segkk2122_pilon.18
OG0000014	XP_020605029.1	Acerv_evm.model.Segkk1281_pilon.2, Acerv_evm.model.Segkk2753_pilon.2, Acerv_evm.model.Segkk4201_pilon.24, Acerv_evm.model.Segkk1738_pilon.6, Acerv_evm.model.Segkk2851_pilon.8, Acerv_evm.model.Segkk243_pilon.5, Acerv_evm.model.Segkk1436_pilon.15, Acerv_evm.model.Segkk4048_pilon.1, Acerv_evm.model.Segkk3741_pilon.16
OG0000015	XP_020628022.1, XP_020624599.1, XP_020619411.1, XP_020619413.1, XP_020623052.1	Acerv_evm.model.Segkk4327_pilon.23, Acerv_evm.model.Segkk2611_pilon.2, Acerv_evm.model.Segkk109_pilon.8
OG0000015	XP_020608923.1	Acerv_evm.model.Segkk2200_pilon.5, Acerv_evm.model.Segkk4327_pilon.17, Acerv_evm.model.Segkk4203_pilon.6, Acerv_evm.model.Segkk1412_pilon.4, Acerv_evm.model.Segkk2481_pilon.15
OG0000015	XP_020623051.1	Acerv_evm.model.Segkk2534_pilon.6, Acerv_evm.model.Segkk1671_pilon.1, Acerv_evm.model.Segkk4256_pilon.9
OG0000015	XP_020619410.1, XP_020608921.1	Acerv_evm.model.Segkk1347_pilon.4
OG0000015	XP_020632515.1	Acerv_evm.model.Segkk1880_pilon.1, Acerv_evm.model.Segkk1212_pilon.16, Acerv_evm.model.Segkk1003_pilon.55
OG0000015	XP_020608920.1	Acerv_evm.model.Segkk2611_pilon.22, Acerv_evm.model.Segkk1937_pilon.3, Acerv_evm.model.Segkk3446_pilon.8, Acerv_evm.model.Segkk541_pilon.12, Acerv_evm.model.Segkk3048_pilon.7, Acerv_evm.model.Segkk1048_pilon.10
OG0000016	XP_020622603.1	Acerv_evm.model.Segkk3668_pilon.3
OG0000016	XP_020603118.1, XP_020603116.1, XP_020603115.1, XP_020627176.1, XP_020627180.1, XP_020631325.1, XP_020622877.1, XP_020622896.1	Acerv_evm.model.Segkk2794_pilon.7, Acerv_evm.model.Segkk2794_pilon.10, Acerv_evm.model.Segkk4071_pilon.3, Acerv_evm.model.Segkk3035_pilon.3, Acerv_evm.model.Segkk2794_pilon.2
OG0000016	XP_020616141.1	Acerv_evm.model.Segkk296_pilon.13
OG0000016	XP_020622880.1	Acerv_evm.model.Segkk3035_pilon.1, Acerv_evm.model.Segkk4071_pilon.2
OG0000017	XP_020628351.1, XP_020604539.1	Acerv_evm.model.Segkk21_pilon.13, Acerv_evm.model.Segkk71_pilon.3, Acerv_evm.model.Segkk469_pilon.77, Acerv_evm.model.Segkk1502_pilon.5, Acerv_evm.model.Segkk971_pilon.55, Acerv_evm.model.Segkk1380_pilon.13, Acerv_evm.model.Segkk3417_pilon.11, Acerv_evm.model.Segkk4189_pilon.1, Acerv_evm.model.Segkk1844_pilon.7, Acerv_evm.model.Segkk4273_pilon.2, Acerv_evm.model.Segkk2205_pilon.5, Acerv_evm.model.Segkk2896_pilon.5, Acerv_evm.model.Segkk3633_pilon.13, Acerv_evm.model.Segkk126_pilon.30, Acerv_evm.model.Segkk2433_pilon.23, Acerv_evm.model.Segkk3219_pilon.3, Acerv_evm.model.Segkk2529_pilon.12, Acerv_evm.model.Segkk650_pilon.39, Acerv_evm.model.Segkk2410_pilon.8, Acerv_evm.model.Segkk1487_pilon.1, Acerv_evm.model.Segkk2335_pilon.3, Acerv_evm.model.Segkk3972_pilon.8, Acerv_evm.model.Segkk3633_pilon.12, Acerv_evm.model.Segkk3221_pilon.17, Acerv_evm.model.Segkk2308_pilon.3, Acerv_evm.model.Segkk643_pilon.20, Acerv_evm.model.Segkk1120_pilon.3, Acerv_evm.model.Segkk3633_pilon.9, Acerv_evm.model.Segkk4019_pilon.4, Acerv_evm.model.Segkk1884_pilon.6
OG0000017	XP_020621734.1	Acerv_evm.model.Segkk1280_pilon.10, Acerv_evm.model.Segkk3618_pilon.2, Acerv_evm.model.Segkk3221_pilon.19, Acerv_evm.model.Segkk473_pilon.13, Acerv_evm.model.Segkk3219_pilon.4, Acerv_evm.model.Segkk3238_pilon.20, Acerv_evm.model.Segkk1554_pilon.5, Acerv_evm.model.Segkk1946_pilon.18, Acerv_evm.model.Segkk1343_pilon.13, Acerv_evm.model.Segkk3110_pilon.1, Acerv_evm.model.Segkk20_pilon.4, Acerv_evm.model.Segkk3431_pilon.24, Acerv_evm.model.Segkk1003_pilon.2, Acerv_evm.model.Segkk3056_pilon.7, Acerv_evm.model.Segkk926_pilon.2, Acerv_evm.model.Segkk2851_pilon.12, Acerv_evm.model.Segkk1170_pilon.1, Acerv_evm.model.Segkk971_pilon.69, Acerv_evm.model.Segkk1280_pilon.7
OG0000018	XP_020607689.1	Acerv_evm.model.Segkk601_pilon.5, Acerv_evm.model.Segkk1820_pilon.1, Acerv_evm.model.Segkk3753_pilon.4, Acerv_evm.model.Segkk1835_pilon.13, Acerv_evm.model.Segkk652_pilon.1, Acerv_evm.model.Segkk2574_pilon.11, Acerv_evm.model.Segkk3250_pilon.2, Acerv_evm.model.Segkk473_pilon.19, Acerv_evm.model.Segkk2853_pilon.8
OG0000018	XP_020619517.1	Acerv_evm.model.Segkk535_pilon.3
OG0000018	XP_020600424.1	Acerv_evm.model.Segkk2194_pilon.30, Acerv_evm.model.Segkk1112_pilon.2, Acerv_evm.model.Segkk942_pilon.1, Acerv_evm.model.Segkk389_pilon.54
OG0000018	XP_020629095.1, XP_020608156.1	Acerv_evm.model.Segkk3223_pilon.8
OG0000019	XP_020601436.1, XP_020601400.1, XP_020601401.1, XP_020601399.1, XP_020601405.1	Acerv_evm.model.Segkk1027_pilon.1
OG0000019	XP_020612622.1	Acerv_evm.model.Segkk985_pilon.9, Acerv_evm.model.Segkk985_pilon.10, Acerv_evm.model.Segkk985_pilon.11
OG0000020	XP_020610956.1, XP_020619079.1, XP_020628624.1	Acerv_evm.model.Segkk982_pilon.2, Acerv_evm.model.Segkk2410_pilon.18, Acerv_evm.model.Segkk731_pilon.3, Acerv_evm.model.Segkk3742_pilon.2, Acerv_evm.model.Segkk555_pilon.25, Acerv_evm.model.Segkk555_pilon.20, Acerv_evm.model.Segkk555_pilon.32, Acerv_evm.model.Segkk1124_pilon.2, Acerv_evm.model.Segkk555_pilon.22, Acerv_evm.model.Segkk555_pilon.35
OG0000020	XP_020617518.1, XP_020617519.1	Acerv_evm.model.Segkk2514_pilon.3
OG0000020	XP_020617135.1, XP_020617136.1, XP_020615948.1, XP_020601332.1, XP_020615274.1, XP_020615273.1, XP_020618819.1, XP_020631452.1, XP_020624433.1, XP_020615285.1	Acerv_evm.model.Segkk36_pilon.4, Acerv_evm.model.Segkk2719_pilon.1, Acerv_evm.model.Segkk3968_pilon.2, Acerv_evm.model.Segkk4305_pilon.6, Acerv_evm.model.Segkk4305_pilon.5, Acerv_evm.model.Segkk3568_pilon.1, Acerv_evm.model.Segkk36_pilon.5, Acerv_evm.model.Segkk1567_pilon.1, Acerv_evm.model.Segkk4305_pilon.1, Acerv_evm.model.Segkk4305_pilon.3, Acerv_evm.model.Segkk1389_pilon.6, Acerv_evm.model.Segkk4305_pilon.7, Acerv_evm.model.Segkk1932_pilon.19
OG0000021	XP_020618726.1, XP_020618755.1, XP_020618752.1, XP_020618757.1, XP_020619060.1, XP_020618753.1, XP_020618745.1, XP_020625169.1, XP_020619631.1, XP_020619630.1, XP_020632738.1, XP_020629041.1, XP_020627857.1, XP_020618851.1, XP_020619035.1	Acerv_evm.model.Segkk1556_pilon.3
OG0000021	XP_020614230.1	Acerv_evm.model.Segkk3869_pilon.3, Acerv_evm.model.Segkk3869_pilon.8, Acerv_evm.model.Segkk721_pilon.1, Acerv_evm.model.Segkk721_pilon.4, Acerv_evm.model.Segkk721_pilon.3, Acerv_evm.model.Segkk1794_pilon.4, Acerv_evm.model.Segkk1794_pilon.5, Acerv_evm.model.Segkk721_pilon.2, Acerv_evm.model.Segkk777_pilon.2, Acerv_evm.model.Segkk469_pilon.24, Acerv_evm.model.Segkk469_pilon.23, Acerv_evm.model.Segkk469_pilon.18, Acerv_evm.model.Segkk469_pilon.35, Acerv_evm.model.Segkk2351_pilon.14, Acerv_evm.model.Segkk2351_pilon.15, Acerv_evm.model.Segkk2351_pilon.13, Acerv_evm.model.Segkk2351_pilon.12, Acerv_evm.model.Segkk2351_pilon.11
OG0000021	XP_020626984.1, XP_020603801.1, XP_020619331.1	Acerv_evm.model.Segkk3255_pilon.7
OG0000021	XP_020614202.1, XP_020623228.1	Acerv_evm.model.Segkk3549_pilon.2
OG0000022	XP_020603098.1, XP_020622548.1, XP_020601031.1	Acerv_evm.model.Segkk1003_pilon.10, Acerv_evm.model.Segkk1151_pilon.22, Acerv_evm.model.Segkk2770_pilon.4, Acerv_evm.model.Segkk3376_pilon.18, Acerv_evm.model.Segkk1151_pilon.27, Acerv_evm.model.Segkk1003_pilon.15, Acerv_evm.model.Segkk3999_pilon.16, Acerv_evm.model.Segkk2151_pilon.6, Acerv_evm.model.Segkk3376_pilon.14
OG0000023	XP_020608200.1, XP_020602810.1	Acerv_evm.model.Segkk3376_pilon.12, Acerv_evm.model.Segkk3999_pilon.19, Acerv_evm.model.Segkk1151_pilon.29, Acerv_evm.model.Segkk1003_pilon.16, Acerv_evm.model.Segkk2264_pilon.13, Acerv_evm.model.Segkk2151_pilon.8, Acerv_evm.model.Segkk2050_pilon.15, Acerv_evm.model.Segkk2477_pilon.5
OG0000023	XP_020620274.1, XP_020603979.1, XP_020620240.1, XP_020629452.1, XP_020629453.1, XP_020627862.1	Acerv_evm.model.Segkk324_pilon.1
OG0000024	XP_020623047.1	Acerv_evm.model.Segkk2493_pilon.2
OG0000024	XP_020604945.1	Acerv_evm.model.Segkk3029_pilon.7
OG0000024	XP_020605220.1, XP_020604979.1	Acerv_evm.model.Segkk759_pilon.27
OG0000024	XP_020605230.1	Acerv_evm.model.Segkk759_pilon.29
OG0000024	XP_020604741.1	Acerv_evm.model.Segkk2013_pilon.2, Acerv_evm.model.Segkk1438_pilon.2
OG0000025	XP_020630305.1, XP_020630356.1, XP_020630306.1	Acerv_evm.model.Segkk2304_pilon.1
OG0000025	XP_020630350.1, XP_020618812.1	Acerv_evm.model.Segkk2001_pilon.16
OG0000025	XP_020630266.1, XP_020630289.1, XP_020630251.1, XP_020630257.1, XP_020612939.1, XP_020630267.1, XP_020610950.1, XP_020630379.1, XP_020630309.1	Acerv_evm.model.Segkk4087_pilon.4
OG0000025	XP_020602041.1, XP_020602049.1, XP_020607383.1, XP_020617959.1	Acerv_evm.model.Segkk1348_pilon.2
OG0000025	XP_020620181.1, XP_020618062.1, XP_020617824.1, XP_020618006.1	Acerv_evm.model.Segkk3469_pilon.1, Acerv_evm.model.Segkk1241_pilon.3
OG0000026	XP_020615056.1	Acerv_evm.model.Segkk1281_pilon.45
OG0000026	XP_020625925.1	Acerv_evm.model.Segkk3084_pilon.22
