Orthogroup	plut2v1.1.proteins	GCF_002042975.1_ofav_dov_v1_protein
OG0000000	plut2.m8.26256.m1	XP_020614494.1, XP_020614493.1, XP_020610534.1, XP_020612741.1, XP_020621671.1
OG0000000	plut2.m8.25721.m1, plut2.m8.18026.m1, plut2.m8.21095.m1, plut2.m8.31464.m1, plut2.m8.24194.m1, plut2.m8.24193.m1, plut2.m8.26908.m1, plut2.m8.21272.m1, plut2.m8.22761.m1, plut2.m8.9393.m1, plut2.m8.17175.m1, plut2.m8.18059.m1, plut2.m8.11776.m1, plut2.m8.26901.m1, plut2.m8.11771.m1, plut2.m8.22759.m1, plut2.m8.22704.m1, plut2.m8.24387.m1, plut2.m8.17031.m1, plut2.m8.7081.m1, plut2.m8.4493.m1, plut2.m8.24398.m1, plut2.m8.21493.m1, plut2.m8.7402.m1, plut2.m8.27440.m1, plut2.m8.21804.m1	XP_020604206.1
OG0000000	plut2.m8.12882.m1	XP_020603598.1
OG0000001	plut2.m8.24910.m1, plut2.m8.24912.m1, plut2.m8.24911.m1, plut2.m8.24913.m1, plut2.m8.24907.m1, plut2.m8.24915.m1, plut2.m8.24914.m1	XP_020614465.1
OG0000001	plut2.m8.32646.m1	XP_020610633.1, XP_020617991.1, XP_020605935.1
OG0000001	plut2.m8.4397.m1, plut2.m8.4395.m1	XP_020617310.1, XP_020609678.1, XP_020617313.1, XP_020617312.1, XP_020617322.1, XP_020614434.1, XP_020617317.1
OG0000001	plut2.m8.20264.m1	XP_020610632.1
OG0000001	plut2.m8.18063.m1, plut2.m8.18046.m1	XP_020605875.1
OG0000001	plut2.m8.32705.m1	XP_020613057.1, XP_020607692.1, XP_020617323.1
OG0000001	plut2.m8.26268.m1	XP_020608311.1, XP_020619932.1, XP_020611237.1
OG0000001	plut2.m8.24901.m1, plut2.m8.32650.m1, plut2.m8.32647.m1	XP_020616744.1
OG0000001	plut2.m8.30823.m1, plut2.m8.3510.m1	XP_020614259.1, XP_020603730.1, XP_020603731.1
OG0000001	plut2.m8.4298.m1	XP_020606728.1, XP_020617314.1, XP_020606864.1
OG0000001	plut2.m8.32638.m1, plut2.m8.32643.m1, plut2.m8.32652.m1, plut2.m8.32653.m1	XP_020616735.1
OG0000001	plut2.m8.11091.m1	XP_020606862.1, XP_020606863.1, XP_020606845.1, XP_020619934.1, XP_020619933.1, XP_020606756.1, XP_020613052.1, XP_020613053.1
OG0000001	plut2.m8.27293.m1, plut2.m8.26372.m1, plut2.m8.26371.m1, plut2.m8.26393.m1, plut2.m8.26394.m1, plut2.m8.27292.m1, plut2.m8.27289.m1, plut2.m8.6473.m1, plut2.m8.18377.m1, plut2.m8.20266.m1, plut2.m8.4404.m1, plut2.m8.26267.m1, plut2.m8.4396.m1, plut2.m8.18051.m1	XP_020606755.1
OG0000001	plut2.m8.6474.m1	XP_020628513.1, XP_020613059.1
OG0000002	jamg1.model.Sc0000381.30	XP_020607845.1, XP_020608791.1, XP_020620277.1
OG0000002	plut2.m8.26638.m1, jamg1.model.Sc0000984.4, jamg1.model.Sc0000322.13, jamg1.model.xpSc0007185.1, plut2.m8.32909.m1, plut2.m8.26871.m1, plut2.m8.16793.m1, jamg1.model.Sc0000436.16, jamg1.model.Sc0000436.12, jamg1.model.Sc0000685.4, jamg1.model.Sc0000095.5, jamg1.model.xfSc0000152.3, jamg1.model.Sc0000214.22, plut2.m8.1939.m1	XP_020620280.1, XP_020627844.1, XP_020620370.1, XP_020616590.1
OG0000002	plut2.m8.4231.m1	XP_020627706.1, XP_020618400.1, XP_020618393.1
OG0000002	jamg1.model.xpSc0007481.9, plut2.m8.22086.m1, jamg1.model.Sc0000447.9	XP_020620279.1, XP_020627859.1, XP_020627858.1, XP_020619416.1
OG0000002	jamg1.model.xfSc0000004.58	XP_020607843.1
OG0000003	plut2.m8.17369.m1	XP_020614818.1
OG0000003	plut2.m8.17538.m1, plut2.m8.30215.m1	XP_020622122.1, XP_020622123.1
OG0000003	plut2.m8.11245.m1, plut2.m8.19481.m1, plut2.m8.25676.m1, plut2.m8.24512.m1, plut2.m8.25675.m1, plut2.m8.13873.m1	XP_020605235.1
OG0000003	plut2.m8.17365.m1	XP_020600918.1
OG0000003	plut2.m8.25655.m1, plut2.m8.17373.m1	XP_020600919.1
OG0000003	plut2.m8.17379.m1, plut2.m8.23604.m1	XP_020602485.1
OG0000003	jamg1.model.xfSc0002268.1, plut2.m8.9049.m1, plut2.m8.9050.m1, plut2.m8.9051.m1	XP_020621577.1, XP_020621621.1
OG0000003	jamg1.model.Sc0000270.25, plut2.m8.32895.m1, plut2.m8.33138.m1, plut2.m8.29681.m1, plut2.m8.17381.m1, plut2.m8.23727.m1, plut2.m8.32811.m1, plut2.m8.29677.m1, plut2.m8.29680.m1	XP_020617972.1, XP_020617970.1, XP_020617971.1, XP_020602483.1, XP_020602482.1, XP_020602481.1
OG0000003	plut2.m8.24292.m1	XP_020610073.1
OG0000004	plut2.m8.8386.m1	XP_020612267.1
OG0000004	plut2.m8.28910.m1, plut2.m8.29592.m1, plut2.m8.33213.m1, plut2.m8.14569.m1	XP_020603642.1, XP_020626691.1, XP_020620053.1
OG0000004	plut2.m8.25105.m1	XP_020608630.1, XP_020608552.1, XP_020628695.1
OG0000004	plut2.m8.33540.m1, plut2.m8.26431.m1, plut2.m8.16959.m1	XP_020615435.1, XP_020615422.1, XP_020615423.1
OG0000004	plut2.m8.633.m1	XP_020606067.1
OG0000004	plut2.m8.25638.m1, plut2.m8.29297.m1, plut2.m8.25636.m1, plut2.m8.3335.m1, plut2.m8.17338.m1, plut2.m8.31257.m1, plut2.m8.21001.m1, plut2.m8.31259.m1, plut2.m8.20999.m1, plut2.m8.21000.m1, plut2.m8.31260.m1, plut2.m8.3334.m1, plut2.m8.9734.m1, plut2.m8.632.m1, plut2.m8.631.m1, plut2.m8.336.m1	XP_020604991.1
OG0000004	plut2.m8.24277.m1	XP_020615606.1
OG0000004	plut2.m8.14717.m1	XP_020601876.1
OG0000004	plut2.m8.2583.m1, plut2.m8.2578.m1, plut2.m8.2582.m1, plut2.m8.2584.m1	XP_020620031.1
OG0000004	plut2.m8.10256.m1, plut2.m8.10257.m1	XP_020608709.1, XP_020608690.1
OG0000004	plut2.m8.25109.m1, plut2.m8.15739.m1, plut2.m8.15740.m1, plut2.m8.25110.m1	XP_020615513.1, XP_020615455.1
OG0000004	plut2.m8.2312.m1	XP_020608580.1, XP_020608578.1, XP_020608579.1, XP_020608625.1
OG0000004	plut2.m8.7155.m1, plut2.m8.2313.m1, plut2.m8.2608.m1	XP_020615436.1
OG0000005	plut2.m8.29832.m1	XP_020619615.1, XP_020632402.1
OG0000006	plut2.m8.1341.m1, plut2.m8.1350.m1, plut2.m8.1343.m1	XP_020615517.1
OG0000006	plut2.m8.976.m1, plut2.m8.32944.m1	XP_020601815.1
OG0000006	plut2.m8.654.m1	XP_020614951.1, XP_020614949.1, XP_020614950.1, XP_020623188.1
OG0000006	plut2.m8.12628.m1, plut2.m8.12625.m1, plut2.m8.12636.m1, plut2.m8.12630.m1, plut2.m8.12641.m1, plut2.m8.12627.m1, plut2.m8.29341.m1, plut2.m8.12624.m1, plut2.m8.30600.m1, plut2.m8.2412.m1	XP_020622248.1, XP_020622243.1, XP_020622236.1, XP_020622251.1
OG0000006	plut2.m8.19233.m1, plut2.m8.979.m1, jamg1.model.Sc0000699.2, jamg1.model.Sc0000003.132, plut2.m8.27325.m1, plut2.m8.23957.m1, plut2.m8.25413.m1, jamg1.model.xpSc0007110.2	XP_020618852.1, XP_020606244.1
OG0000007	plut2.m8.11707.m1, plut2.m8.11691.m1, plut2.m8.11711.m1, plut2.m8.10142.m1, plut2.m8.10135.m1, plut2.m8.32704.m1, plut2.m8.11709.m1, plut2.m8.11708.m1, plut2.m8.11698.m1, plut2.m8.11696.m1, plut2.m8.11697.m1, plut2.m8.11703.m1, plut2.m8.32707.m1, plut2.m8.32711.m1, plut2.m8.31199.m1, plut2.m8.9356.m1, plut2.m8.10141.m1, plut2.m8.31198.m1, plut2.m8.20505.m1, plut2.m8.11713.m1, plut2.m8.31201.m1, plut2.m8.9357.m1, plut2.m8.9361.m1	XP_020618832.1
OG0000007	plut2.m8.30961.m1, plut2.m8.32710.m1, plut2.m8.32709.m1, plut2.m8.32702.m1, plut2.m8.11699.m1, plut2.m8.32708.m1, plut2.m8.33520.m1, plut2.m8.11700.m1	XP_020618836.1, XP_020612667.1
OG0000007	plut2.m8.31265.m1, plut2.m8.31263.m1, plut2.m8.24807.m1, jamg1.model.xfSc0000400.5	XP_020632637.1, XP_020632612.1, XP_020632604.1, XP_020632638.1
OG0000007	plut2.m8.24249.m1, plut2.m8.24250.m1, plut2.m8.30926.m1, plut2.m8.30924.m1, plut2.m8.13288.m1, plut2.m8.29029.m1, plut2.m8.19582.m1, plut2.m8.20547.m1, plut2.m8.30925.m1, plut2.m8.829.m1, plut2.m8.11340.m1, plut2.m8.11327.m1	XP_020622948.1
OG0000007	plut2.m8.29030.m1, plut2.m8.12842.m1, plut2.m8.12845.m1, plut2.m8.12844.m1, plut2.m8.12850.m1, plut2.m8.12851.m1, plut2.m8.12847.m1, plut2.m8.12848.m1, plut2.m8.32007.m1, plut2.m8.12846.m1	XP_020628106.1, XP_020602800.1
OG0000007	plut2.m8.7134.m1	XP_020631802.1
OG0000008	plut2.m8.15205.m1	XP_020622254.1, XP_020622253.1, XP_020622245.1, XP_020622252.1, XP_020622201.1, XP_020622200.1, XP_020622202.1, XP_020617381.1
OG0000008	jamg1.model.Sc0000021.100	XP_020621418.1
OG0000008	plut2.m8.32858.m1, plut2.m8.15177.m1, plut2.m8.24346.m1, plut2.m8.33431.m1, jamg1.model.xpSc0007170.7, plut2.m8.15159.m1, plut2.m8.24352.m1, plut2.m8.25568.m1, plut2.m8.30977.m1, plut2.m8.24349.m1, plut2.m8.26821.m1, plut2.m8.26820.m1, plut2.m8.26813.m1, plut2.m8.26809.m1, plut2.m8.26808.m1, plut2.m8.26830.m1, plut2.m8.26812.m1, plut2.m8.26831.m1, plut2.m8.24926.m1, plut2.m8.32633.m1	XP_020611128.1, XP_020611127.1
OG0000009	plut2.m8.16827.m1, plut2.m8.28844.m1, plut2.m8.1098.m1, plut2.m8.1106.m1	XP_020632639.1, XP_020607287.1, XP_020607288.1, XP_020607291.1, XP_020611728.1
OG0000009	plut2.m8.24173.m1	XP_020622007.1
OG0000009	plut2.m8.13429.m1, plut2.m8.8052.m1, plut2.m8.3431.m1, plut2.m8.26416.m1, plut2.m8.31608.m1, plut2.m8.3435.m1, plut2.m8.28372.m1, plut2.m8.3437.m1, plut2.m8.3436.m1, plut2.m8.16381.m1, plut2.m8.8043.m1, plut2.m8.8046.m1, plut2.m8.8041.m1, plut2.m8.8042.m1, plut2.m8.31192.m1, plut2.m8.26326.m1, plut2.m8.31191.m1, plut2.m8.33480.m1, plut2.m8.8049.m1, plut2.m8.1101.m1, plut2.m8.1126.m1, plut2.m8.13426.m1, plut2.m8.8057.m1, plut2.m8.8047.m1	XP_020624086.1
OG0000010	jamg1.model.Sc0000359.28	XP_020604609.1, XP_020604608.1
OG0000010	plut2.m8.23850.m1	XP_020602072.1
OG0000010	plut2.m8.29877.m1	XP_020607846.1
OG0000010	plut2.m8.11367.m1	XP_020613056.1, XP_020622931.1, XP_020612159.1
OG0000011	plut2.m8.8860.m1	XP_020603547.1, XP_020603423.1
OG0000011	plut2.m8.451.m1, plut2.m8.31326.m1, plut2.m8.452.m1, plut2.m8.31325.m1, plut2.m8.31322.m1, plut2.m8.31324.m1, plut2.m8.31323.m1, plut2.m8.24635.m1	XP_020619584.1, XP_020622382.1, XP_020622383.1
OG0000011	plut2.m8.3443.m1, plut2.m8.6448.m1, plut2.m8.15089.m1, plut2.m8.15086.m1, plut2.m8.26130.m1, plut2.m8.5411.m1, plut2.m8.32001.m1, plut2.m8.26164.m1, plut2.m8.27711.m1, plut2.m8.12947.m1	XP_020622652.1, XP_020622707.1, XP_020611958.1
OG0000011	plut2.m8.16991.m1	XP_020622678.1
OG0000011	plut2.m8.1550.m1, plut2.m8.9693.m1, plut2.m8.906.m1, plut2.m8.33585.m1, plut2.m8.907.m1, plut2.m8.15413.m1	XP_020608992.1
OG0000012	plut2.m8.16439.m1	XP_020614042.1
OG0000012	jamg1.model.Sc0000035.6	XP_020629726.1, XP_020629725.1, XP_020608314.1, XP_020623980.1, XP_020609423.1, XP_020600819.1, XP_020614004.1, XP_020614003.1
OG0000012	plut2.m8.31658.m1, plut2.m8.25493.m1, plut2.m8.16606.m1, plut2.m8.16610.m1, plut2.m8.17993.m1, plut2.m8.16736.m1, plut2.m8.16737.m1, plut2.m8.16732.m1	XP_020612810.1, XP_020612809.1, XP_020612811.1
OG0000013	plut2.m8.23634.m1, plut2.m8.9345.m1	XP_020628469.1, XP_020628472.1, XP_020628471.1, XP_020628470.1
OG0000013	plut2.m8.6499.m1	XP_020613784.1, XP_020613783.1, XP_020626344.1, XP_020623062.1
OG0000013	plut2.m8.8653.m1	XP_020619789.1, XP_020619788.1
OG0000013	plut2.m8.12167.m1, plut2.m8.23335.m1, plut2.m8.9280.m1, plut2.m8.9273.m1, plut2.m8.11587.m1, plut2.m8.11585.m1, plut2.m8.12185.m1, plut2.m8.1278.m1, plut2.m8.10392.m1, plut2.m8.639.m1, plut2.m8.33550.m1, plut2.m8.25156.m1, plut2.m8.646.m1, plut2.m8.33402.m1, plut2.m8.17586.m1, plut2.m8.12186.m1, plut2.m8.11554.m1, plut2.m8.1283.m1	XP_020630041.1
OG0000013	plut2.m8.26274.m1, plut2.m8.17756.m1, plut2.m8.11502.m1, plut2.m8.25219.m1, plut2.m8.25480.m1, plut2.m8.25215.m1, plut2.m8.25217.m1, plut2.m8.17758.m1, plut2.m8.17759.m1, plut2.m8.32931.m1, plut2.m8.16929.m1, plut2.m8.28443.m1, plut2.m8.28435.m1	XP_020621187.1, XP_020627577.1
OG0000014	plut2.m8.661.m1	XP_020625488.1
OG0000015	jamg1.model.Sc0000664.1	XP_020619409.1, XP_020628022.1, XP_020624599.1, XP_020619411.1, XP_020619413.1, XP_020623052.1, XP_020608923.1, XP_020623051.1, XP_020619410.1, XP_020608921.1, XP_020608674.1, XP_020632515.1, XP_020608920.1
OG0000016	plut2.m8.23502.m1	XP_020604651.1
OG0000016	plut2.m8.23500.m1, plut2.m8.23501.m1	XP_020603118.1, XP_020603116.1, XP_020603115.1, XP_020627176.1, XP_020627180.1, XP_020631325.1, XP_020622877.1, XP_020622896.1
OG0000016	plut2.m8.6992.m1	XP_020616141.1
OG0000016	plut2.m8.16626.m1	XP_020622587.1, XP_020622585.1
OG0000016	plut2.m8.24658.m1, plut2.m8.24662.m1, plut2.m8.23949.m1, plut2.m8.24656.m1, plut2.m8.24661.m1	XP_020622586.1, XP_020607653.1, XP_020622609.1, XP_020605358.1, XP_020605359.1
OG0000016	plut2.m8.33465.m1, plut2.m8.21889.m1	XP_020632461.1, XP_020622880.1
OG0000018	jamg1.model.xfSc0000135.2, plut2.m8.33119.m1, jamg1.model.xfSc0000166.3	XP_020607689.1, XP_020619517.1
OG0000018	plut2.m8.33120.m1	XP_020600424.1, XP_020629095.1, XP_020608156.1
OG0000019	plut2.m8.29028.m1, plut2.m8.715.m1, plut2.m8.723.m1, plut2.m8.19584.m1, plut2.m8.2647.m1, plut2.m8.29026.m1, plut2.m8.7835.m1, plut2.m8.11714.m1, plut2.m8.29027.m1, plut2.m8.29036.m1	XP_020601436.1, XP_020601400.1, XP_020601401.1, XP_020601399.1, XP_020601405.1
OG0000019	plut2.m8.716.m1, plut2.m8.24823.m1, plut2.m8.24826.m1, plut2.m8.30471.m1, plut2.m8.10909.m1, plut2.m8.712.m1, plut2.m8.717.m1, plut2.m8.25541.m1, plut2.m8.725.m1	XP_020612622.1
OG0000020	plut2.m8.6876.m1	XP_020628118.1, XP_020612088.1, XP_020612050.1, XP_020612054.1
OG0000020	plut2.m8.6231.m1, plut2.m8.11818.m1	XP_020617518.1, XP_020617519.1
OG0000021	plut2.m8.4342.m1, plut2.m8.4343.m1, plut2.m8.6167.m1	XP_020614230.1
OG0000021	plut2.m8.26892.m1, plut2.m8.26897.m1	XP_020626984.1, XP_020603801.1, XP_020619331.1
OG0000021	plut2.m8.17501.m1	XP_020618459.1, XP_020632860.1
OG0000021	plut2.m8.5431.m1	XP_020623228.1
OG0000022	jamg1.model.Sc0000141.73, jamg1.model.Sc0000827.7, jamg1.model.Sc0000377.15, jamg1.model.Sc0000612.3, jamg1.model.xpSc0007185.7, jamg1.model.Sc0000076.44, jamg1.model.xpSc0007481.6, jamg1.model.Sc0000500.16, jamg1.model.Sc0000415.14, jamg1.model.Sc0000415.17, jamg1.model.Sc0000606.7, jamg1.model.Sc0000213.22, jamg1.model.Sc0000207.22, jamg1.model.xpSc0007090.11, jamg1.model.Sc0000122.53, jamg1.model.Sc0000034.113, jamg1.model.Sc0000326.7, jamg1.model.Sc0000092.10, jamg1.model.Sc0000500.15, jamg1.model.Sc0000089.4, jamg1.model.xpSc0007261.8, jamg1.model.xpSc0007481.5, jamg1.model.xpSc0007153.12, jamg1.model.Sc0000101.74, jamg1.model.xfSc0000241.14, jamg1.model.Sc0000213.18, jamg1.model.Sc0000084.75, jamg1.model.Sc0000244.47, jamg1.model.Sc0000546.8	XP_020603098.1, XP_020622548.1, XP_020601031.1
OG0000023	jamg1.model.Sc0000137.80, jamg1.model.Sc0000338.14, jamg1.model.Sc0000083.7, jamg1.model.Sc0000244.48, jamg1.model.xfSc0000076.24, jamg1.model.Sc0000034.90, jamg1.model.Sc0000415.7	XP_020608200.1, XP_020602810.1
OG0000023	jamg1.model.Sc0000214.14, jamg1.model.Sc0000653.8, jamg1.model.Sc0000009.45, plut2.m8.16792.m1, jamg1.model.xpSc0007232.10, jamg1.model.Sc0000851.8, jamg1.model.Sc0000456.16	XP_020620274.1, XP_020603979.1, XP_020620240.1, XP_020629452.1, XP_020629453.1, XP_020627862.1
OG0000024	plut2.m8.20458.m1, plut2.m8.20455.m1	XP_020623047.1
OG0000024	plut2.m8.31467.m1, plut2.m8.20439.m1	XP_020604945.1
OG0000024	plut2.m8.27612.m1, plut2.m8.27445.m1, plut2.m8.27450.m1, plut2.m8.27446.m1, plut2.m8.27614.m1, plut2.m8.27615.m1, plut2.m8.27618.m1	XP_020607884.1, XP_020620361.1, XP_020620255.1, XP_020620327.1, XP_020620239.1, XP_020620329.1
OG0000024	plut2.m8.20440.m1	XP_020605220.1, XP_020604979.1
OG0000024	plut2.m8.14242.m1, plut2.m8.14241.m1	XP_020600823.1
OG0000024	plut2.m8.5900.m1, plut2.m8.20442.m1	XP_020605230.1
OG0000024	plut2.m8.6938.m1	XP_020604511.1, XP_020604510.1, XP_020604509.1, XP_020604508.1, XP_020604653.1
OG0000024	plut2.m8.6936.m1, plut2.m8.6941.m1	XP_020604741.1
OG0000025	plut2.m8.16600.m1, plut2.m8.16599.m1	XP_020602041.1, XP_020602049.1, XP_020607383.1, XP_020617959.1
OG0000025	plut2.m8.22987.m1, plut2.m8.22379.m1	XP_020620181.1, XP_020618062.1, XP_020617824.1, XP_020618006.1
OG0000026	plut2.m8.31728.m1	XP_020625925.1
OG0000027	plut2.m8.24865.m1, plut2.m8.24867.m1, plut2.m8.24335.m1, plut2.m8.31329.m1, plut2.m8.19044.m1, plut2.m8.24332.m1	XP_020604973.1, XP_020604972.1, XP_020604980.1
OG0000027	plut2.m8.19051.m1	XP_020603869.1
OG0000027	plut2.m8.24338.m1, plut2.m8.24341.m1, plut2.m8.24869.m1, plut2.m8.24874.m1, plut2.m8.24871.m1, plut2.m8.31375.m1	XP_020616233.1, XP_020616245.1, XP_020616059.1, XP_020616202.1, XP_020623244.1, XP_020616223.1, XP_020623233.1, XP_020616477.1
OG0000027	plut2.m8.23346.m1, plut2.m8.23343.m1	XP_020611253.1, XP_020611254.1
OG0000027	plut2.m8.14634.m1	XP_020616478.1
OG0000027	plut2.m8.17292.m1, plut2.m8.17302.m1, plut2.m8.11828.m1, plut2.m8.33504.m1, plut2.m8.17296.m1, plut2.m8.23345.m1, plut2.m8.17301.m1, plut2.m8.17303.m1, plut2.m8.17291.m1	XP_020604977.1
OG0000028	plut2.m8.29548.m1, plut2.m8.29557.m1, plut2.m8.15565.m1, plut2.m8.15561.m1, plut2.m8.15562.m1	XP_020624752.1, XP_020624751.1, XP_020624753.1, XP_020624701.1, XP_020624700.1, XP_020624691.1, XP_020616112.1
OG0000028	plut2.m8.4359.m1, plut2.m8.29546.m1, plut2.m8.29552.m1, plut2.m8.4330.m1, plut2.m8.29553.m1, plut2.m8.4331.m1, plut2.m8.29544.m1, plut2.m8.29559.m1, plut2.m8.4332.m1, plut2.m8.29554.m1, plut2.m8.29555.m1	XP_020617768.1, XP_020617769.1, XP_020617770.1, XP_020618771.1, XP_020624744.1, XP_020624748.1, XP_020624692.1, XP_020624754.1, XP_020624745.1, XP_020624747.1, XP_020624687.1
OG0000028	plut2.m8.2477.m1, plut2.m8.2478.m1, plut2.m8.2470.m1	XP_020613659.1
OG0000028	plut2.m8.18835.m1	XP_020609482.1
OG0000028	plut2.m8.1918.m1	XP_020609478.1, XP_020609480.1, XP_020609479.1
OG0000029	plut2.m8.30628.m1	XP_020608739.1
OG0000030	plut2.m8.30623.m1, plut2.m8.30621.m1, plut2.m8.16994.m1, plut2.m8.20829.m1, plut2.m8.17001.m1	XP_020613210.1
OG0000030	plut2.m8.16968.m1	XP_020613201.1, XP_020632897.1
OG0000030	jamg1.model.xfSc0000231.4	XP_020613209.1, XP_020613241.1, XP_020615961.1
OG0000030	plut2.m8.29240.m1, plut2.m8.29251.m1, plut2.m8.31621.m1, plut2.m8.26295.m1, plut2.m8.29246.m1, plut2.m8.29250.m1	XP_020618763.1, XP_020618740.1
OG0000030	plut2.m8.24713.m1, plut2.m8.6767.m1, plut2.m8.6769.m1, plut2.m8.24716.m1, plut2.m8.25684.m1, plut2.m8.17600.m1, plut2.m8.31478.m1, plut2.m8.6768.m1, plut2.m8.31912.m1, plut2.m8.20331.m1, plut2.m8.17603.m1	XP_020611394.1, XP_020626590.1, XP_020618435.1
OG0000031	jamg1.model.xpSc0007142.5, jamg1.model.Sc0000021.101, plut2.m8.2680.m1, plut2.m8.25314.m1, plut2.m8.15690.m1, plut2.m8.33175.m1, plut2.m8.25313.m1, plut2.m8.15691.m1, plut2.m8.33176.m1, plut2.m8.15689.m1, plut2.m8.15688.m1, plut2.m8.14383.m1, plut2.m8.14369.m1, plut2.m8.7886.m1, plut2.m8.33424.m1, plut2.m8.32360.m1, plut2.m8.2662.m1, plut2.m8.33044.m1, plut2.m8.6312.m1, plut2.m8.18661.m1, plut2.m8.29943.m1, plut2.m8.18666.m1	XP_020631561.1
OG0000031	plut2.m8.16483.m1, plut2.m8.1830.m1, plut2.m8.4118.m1, plut2.m8.30616.m1, plut2.m8.27503.m1, plut2.m8.31553.m1, plut2.m8.27499.m1, plut2.m8.16492.m1, plut2.m8.27506.m1, plut2.m8.27505.m1, plut2.m8.16490.m1, plut2.m8.33106.m1, plut2.m8.2982.m1, plut2.m8.9191.m1, plut2.m8.15976.m1	XP_020601279.1, XP_020601280.1, XP_020601282.1
OG0000031	plut2.m8.19936.m1	XP_020630391.1
OG0000031	plut2.m8.14069.m1	XP_020603581.1, XP_020602755.1
OG0000033	plut2.m8.31867.m1	XP_020620756.1
OG0000033	plut2.m8.14849.m1, plut2.m8.23158.m1, plut2.m8.5797.m1	XP_020629283.1
OG0000033	plut2.m8.1599.m1, plut2.m8.31134.m1	XP_020613040.1
OG0000034	plut2.m8.17284.m1, plut2.m8.15074.m1, plut2.m8.17283.m1, plut2.m8.17277.m1, plut2.m8.2453.m1, jamg1.model.Sc0000267.33, plut2.m8.17285.m1, plut2.m8.8216.m1, plut2.m8.15072.m1, plut2.m8.15070.m1, plut2.m8.20565.m1, plut2.m8.24418.m1, plut2.m8.25408.m1, plut2.m8.24055.m1, plut2.m8.15905.m1, plut2.m8.15904.m1, plut2.m8.80.m1, plut2.m8.14171.m1, plut2.m8.14173.m1, plut2.m8.14170.m1, plut2.m8.14172.m1, plut2.m8.14215.m1, plut2.m8.20670.m1, plut2.m8.14182.m1, plut2.m8.20669.m1, plut2.m8.14179.m1, plut2.m8.14178.m1	XP_020603227.1
OG0000034	jamg1.model.xfSc0003787.1	XP_020618430.1, XP_020618432.1
OG0000035	jamg1.model.Sc0000780.4, plut2.m8.30514.m1, plut2.m8.30518.m1, plut2.m8.30517.m1, jamg1.model.Sc0000393.31, plut2.m8.30521.m1, plut2.m8.30516.m1, plut2.m8.30515.m1	XP_020601812.1, XP_020601820.1
