Orthogroup	plut2v1.1.proteins	Acerv_assembly_v1.0.protein
OG0000001	plut2.m8.32705.m1	Acerv_evm.model.Segkk3100_pilon.13
OG0000001	plut2.m8.26268.m1	Acerv_evm.model.Segkk2410_pilon.7
OG0000001	plut2.m8.24901.m1, plut2.m8.32650.m1, plut2.m8.32647.m1	Acerv_evm.model.Segkk2851_pilon.10
OG0000001	plut2.m8.30823.m1, plut2.m8.3510.m1	Acerv_evm.model.Segkk2669_pilon.2, Acerv_evm.model.Segkk2669_pilon.10, Acerv_evm.model.Segkk2669_pilon.8, Acerv_evm.model.Segkk2669_pilon.1, Acerv_evm.model.Segkk73_pilon.2
OG0000001	plut2.m8.14199.m1, plut2.m8.24886.m1, plut2.m8.14200.m1	Acerv_evm.model.Segkk2669_pilon.3, Acerv_evm.model.Segkk2669_pilon.5, Acerv_evm.model.Segkk793_pilon.1
OG0000001	plut2.m8.4298.m1, plut2.m8.32638.m1, plut2.m8.32643.m1, plut2.m8.32652.m1, plut2.m8.32653.m1, plut2.m8.11091.m1	Acerv_evm.model.Segkk2896_pilon.4
OG0000002	jamg1.model.Sc0000381.30	Acerv_evm.model.Segkk3496_pilon.8
OG0000002	jamg1.model.Sc0000984.4, jamg1.model.Sc0000322.13	Acerv_evm.model.Segkk1837_pilon.3
OG0000002	jamg1.model.xpSc0007185.1, plut2.m8.32909.m1, plut2.m8.26871.m1, plut2.m8.16793.m1, jamg1.model.Sc0000436.16, jamg1.model.Sc0000436.12, jamg1.model.Sc0000685.4, jamg1.model.Sc0000095.5, jamg1.model.xfSc0000152.3, jamg1.model.Sc0000214.22, plut2.m8.1939.m1	Acerv_evm.model.Segkk3867_pilon.3, Acerv_evm.model.Segkk4159_pilon.14, Acerv_evm.model.Segkk2302_pilon.7, Acerv_evm.model.Segkk668_pilon.11
OG0000002	jamg1.model.xpSc0007123.20, plut2.m8.26085.m1, plut2.m8.4231.m1, plut2.m8.29992.m1, jamg1.model.Sc0000107.69, jamg1.model.xfSc0000004.62, jamg1.model.Sc0000083.5, jamg1.model.Sc0000322.18, jamg1.model.Sc0000436.17, jamg1.model.Sc0000436.11, plut2.m8.8697.m1, plut2.m8.29334.m1, plut2.m8.14397.m1, jamg1.model.Sc0000095.4, plut2.m8.5636.m1, plut2.m8.21792.m1, jamg1.model.xpSc0007169.4, jamg1.model.Sc0000685.5, plut2.m8.21791.m1	Acerv_evm.model.Segkk1151_pilon.37, Acerv_evm.model.Segkk2050_pilon.19
OG0000002	jamg1.model.xpSc0007481.9, plut2.m8.22086.m1, jamg1.model.Sc0000447.9	Acerv_evm.model.Segkk1837_pilon.2
OG0000002	jamg1.model.xfSc0000004.58	Acerv_evm.model.Segkk2245_pilon.2, Acerv_evm.model.Segkk3867_pilon.4, Acerv_evm.model.Segkk4159_pilon.13, Acerv_evm.model.Segkk668_pilon.10, Acerv_evm.model.Segkk2112_pilon.9, Acerv_evm.model.Segkk2853_pilon.22, Acerv_evm.model.Segkk3190_pilon.2, Acerv_evm.model.Segkk4195_pilon.24, Acerv_evm.model.Segkk1197_pilon.9, Acerv_evm.model.Segkk2302_pilon.8, Acerv_evm.model.Segkk3857_pilon.14, Acerv_evm.model.Segkk3190_pilon.1, Acerv_evm.model.Segkk2302_pilon.11, Acerv_evm.model.Segkk3224_pilon.3, Acerv_evm.model.Segkk4195_pilon.26, Acerv_evm.model.Segkk668_pilon.9, Acerv_evm.model.Segkk4195_pilon.25, Acerv_evm.model.Segkk565_pilon.2, Acerv_evm.model.Segkk3993_pilon.1
OG0000003	plut2.m8.17369.m1	Acerv_evm.model.Segkk2089_pilon.8
OG0000003	jamg1.model.xfSc0002268.1, plut2.m8.9049.m1, plut2.m8.9050.m1, plut2.m8.9051.m1	Acerv_evm.model.Segkk2319_pilon.17
OG0000003	jamg1.model.Sc0000270.25, plut2.m8.32895.m1, plut2.m8.33138.m1, plut2.m8.29681.m1, plut2.m8.17381.m1, plut2.m8.23727.m1, plut2.m8.32811.m1, plut2.m8.29677.m1, plut2.m8.29680.m1	Acerv_evm.model.Segkk2039_pilon.1, Acerv_evm.model.Segkk2039_pilon.3, Acerv_evm.model.Segkk2733_pilon.8, Acerv_evm.model.Segkk3789_pilon.4, Acerv_evm.model.Segkk2733_pilon.2, Acerv_evm.model.Segkk2574_pilon.10, Acerv_evm.model.Segkk1120_pilon.1, Acerv_evm.model.Segkk2124_pilon.3, Acerv_evm.model.Segkk4247_pilon.2, Acerv_evm.model.Segkk2574_pilon.6, Acerv_evm.model.Segkk2732_pilon.3, Acerv_evm.model.Segkk3076_pilon.4, Acerv_evm.model.Segkk1498_pilon.3, Acerv_evm.model.Segkk3789_pilon.1, Acerv_evm.model.Segkk1529_pilon.1
OG0000004	plut2.m8.28910.m1, plut2.m8.29592.m1, plut2.m8.33213.m1, plut2.m8.14569.m1	Acerv_evm.model.Segkk554_pilon.1
OG0000004	plut2.m8.633.m1	Acerv_evm.model.Segkk4020_pilon.2
OG0000004	plut2.m8.25638.m1, plut2.m8.29297.m1, plut2.m8.25636.m1, plut2.m8.3335.m1, plut2.m8.17338.m1, plut2.m8.31257.m1, plut2.m8.21001.m1, plut2.m8.31259.m1, plut2.m8.20999.m1, plut2.m8.21000.m1, plut2.m8.31260.m1, plut2.m8.3334.m1, plut2.m8.9734.m1, plut2.m8.632.m1, plut2.m8.631.m1, plut2.m8.336.m1	Acerv_evm.model.Segkk459_pilon.2
OG0000004	plut2.m8.24277.m1, plut2.m8.14717.m1, plut2.m8.2583.m1, plut2.m8.2578.m1, plut2.m8.2582.m1, plut2.m8.2584.m1, plut2.m8.10256.m1, plut2.m8.10257.m1, plut2.m8.857.m1, plut2.m8.2613.m1, plut2.m8.4942.m1, plut2.m8.22063.m1, plut2.m8.33463.m1, plut2.m8.2614.m1, plut2.m8.25109.m1, plut2.m8.15739.m1, plut2.m8.15740.m1, plut2.m8.25110.m1, plut2.m8.2312.m1, plut2.m8.7155.m1, plut2.m8.2313.m1, plut2.m8.2608.m1	Acerv_evm.model.Segkk1976_pilon.9
OG0000006	plut2.m8.1341.m1, plut2.m8.1350.m1, plut2.m8.1343.m1	Acerv_evm.model.Segkk643_pilon.9, Acerv_evm.model.Segkk895_pilon.8, Acerv_evm.model.Segkk3698_pilon.7
OG0000006	plut2.m8.12628.m1, plut2.m8.12625.m1, plut2.m8.12636.m1, plut2.m8.12630.m1, plut2.m8.12641.m1, plut2.m8.12627.m1, plut2.m8.29341.m1, plut2.m8.12624.m1, plut2.m8.30600.m1, plut2.m8.2412.m1	Acerv_evm.model.Segkk2353_pilon.15
OG0000007	plut2.m8.24249.m1, plut2.m8.24250.m1	Acerv_evm.model.Segkk2199_pilon.17, Acerv_evm.model.Segkk728_pilon.1
OG0000007	plut2.m8.829.m1, plut2.m8.11340.m1, plut2.m8.11327.m1	Acerv_evm.model.Segkk533_pilon.1
OG0000007	plut2.m8.13290.m1, plut2.m8.30922.m1, plut2.m8.13292.m1, plut2.m8.3053.m1	Acerv_evm.model.Segkk1275_pilon.5, Acerv_evm.model.Segkk2199_pilon.16
OG0000007	plut2.m8.7134.m1	Acerv_evm.model.Segkk673_pilon.11
OG0000008	plut2.m8.15205.m1	Acerv_evm.model.Segkk160_pilon.3
OG0000008	plut2.m8.32858.m1, plut2.m8.15177.m1, plut2.m8.24346.m1, plut2.m8.33431.m1, jamg1.model.xpSc0007170.7, plut2.m8.15159.m1, plut2.m8.24352.m1, plut2.m8.25568.m1, plut2.m8.30977.m1, plut2.m8.24349.m1, plut2.m8.26821.m1, plut2.m8.26820.m1, plut2.m8.26813.m1, plut2.m8.26809.m1, plut2.m8.26808.m1, plut2.m8.26830.m1, plut2.m8.26812.m1, plut2.m8.26831.m1, plut2.m8.24926.m1, plut2.m8.32633.m1	Acerv_evm.model.Segkk3343_pilon.8, Acerv_evm.model.Segkk926_pilon.6, Acerv_evm.model.Segkk2267_pilon.14, Acerv_evm.model.Segkk2267_pilon.9, Acerv_evm.model.Segkk2025_pilon.4, Acerv_evm.model.Segkk2889_pilon.25, Acerv_evm.model.Segkk2920_pilon.7, Acerv_evm.model.Segkk2267_pilon.20, Acerv_evm.model.Segkk377_pilon.2, Acerv_evm.model.Segkk2267_pilon.21, Acerv_evm.model.Segkk2267_pilon.7, Acerv_evm.model.Segkk4138_pilon.32, Acerv_evm.model.Segkk607_pilon.14, Acerv_evm.model.Segkk1181_pilon.9, Acerv_evm.model.Segkk1514_pilon.10, Acerv_evm.model.Segkk1514_pilon.11, Acerv_evm.model.Segkk2731_pilon.1, Acerv_evm.model.Segkk981_pilon.6, Acerv_evm.model.Segkk1838_pilon.9
OG0000009	plut2.m8.16827.m1, plut2.m8.28844.m1, plut2.m8.1098.m1, plut2.m8.1106.m1	Acerv_evm.model.Segkk4037_pilon.32
OG0000009	plut2.m8.3427.m1, plut2.m8.1121.m1, plut2.m8.28843.m1	Acerv_evm.model.Segkk3961_pilon.3
OG0000009	plut2.m8.8043.m1, plut2.m8.8046.m1, plut2.m8.8041.m1, plut2.m8.8042.m1, plut2.m8.31192.m1, plut2.m8.26326.m1, plut2.m8.31191.m1, plut2.m8.33480.m1, plut2.m8.8049.m1	Acerv_evm.model.Segkk4150_pilon.1, Acerv_evm.model.Segkk3203_pilon.1, Acerv_evm.model.Segkk676_pilon.1, Acerv_evm.model.Segkk2269_pilon.6, Acerv_evm.model.Segkk2484_pilon.1, Acerv_evm.model.Segkk1270_pilon.2, Acerv_evm.model.Segkk752_pilon.3, Acerv_evm.model.Segkk1030_pilon.3, Acerv_evm.model.Segkk3417_pilon.2, Acerv_evm.model.Segkk628_pilon.3, Acerv_evm.model.Segkk794_pilon.2, Acerv_evm.model.Segkk3405_pilon.5, Acerv_evm.model.Segkk752_pilon.1, Acerv_evm.model.Segkk1533_pilon.2, Acerv_evm.model.Segkk349_pilon.2, Acerv_evm.model.Segkk728_pilon.5, Acerv_evm.model.Segkk3405_pilon.6, Acerv_evm.model.Segkk129_pilon.2, Acerv_evm.model.Segkk1270_pilon.1, Acerv_evm.model.Segkk752_pilon.2
OG0000010	jamg1.model.Sc0000359.28	Acerv_evm.model.Segkk3124_pilon.1, Acerv_evm.model.Segkk1288_pilon.38, Acerv_evm.model.Segkk4368_pilon.16, Acerv_evm.model.Segkk1126_pilon.4, Acerv_evm.model.Segkk1158_pilon.53, Acerv_evm.model.Segkk1731_pilon.10
OG0000010	plut2.m8.5732.m1, plut2.m8.5735.m1	Acerv_evm.model.Segkk2611_pilon.18, Acerv_evm.model.Segkk392_pilon.2, Acerv_evm.model.Segkk4109_pilon.4
OG0000010	plut2.m8.23850.m1	Acerv_evm.model.Segkk2737_pilon.10
OG0000010	plut2.m8.29877.m1	Acerv_evm.model.Segkk1845_pilon.7, Acerv_evm.model.Segkk650_pilon.2, Acerv_evm.model.Segkk1318_pilon.15
OG0000010	jamg1.model.Sc0000513.15	Acerv_evm.model.Segkk3675_pilon.5
OG0000010	plut2.m8.11367.m1	Acerv_evm.model.Segkk2562_pilon.1, Acerv_evm.model.Segkk1844_pilon.5, Acerv_evm.model.Segkk1610_pilon.1, Acerv_evm.model.Segkk3971_pilon.16, Acerv_evm.model.Segkk230_pilon.11, Acerv_evm.model.Segkk807_pilon.1, Acerv_evm.model.Segkk2725_pilon.3, Acerv_evm.model.Segkk1008_pilon.2, Acerv_evm.model.Segkk4328_pilon.1, Acerv_evm.model.Segkk249_pilon.4, Acerv_evm.model.Segkk3741_pilon.10, Acerv_evm.model.Segkk3639_pilon.1, Acerv_evm.model.Segkk1684_pilon.2, Acerv_evm.model.Segkk1729_pilon.2, Acerv_evm.model.Segkk3693_pilon.21, Acerv_evm.model.Segkk3971_pilon.23, Acerv_evm.model.Segkk524_pilon.3, Acerv_evm.model.Segkk2534_pilon.3, Acerv_evm.model.Segkk2231_pilon.1, Acerv_evm.model.Segkk4292_pilon.3, Acerv_evm.model.Segkk3935_pilon.16
OG0000011	plut2.m8.8860.m1	Acerv_evm.model.Segkk1878_pilon.3
OG0000011	plut2.m8.451.m1, plut2.m8.31326.m1, plut2.m8.452.m1, plut2.m8.31325.m1, plut2.m8.31322.m1, plut2.m8.31324.m1, plut2.m8.31323.m1, plut2.m8.24635.m1	Acerv_evm.model.Segkk707_pilon.3
OG0000011	plut2.m8.17170.m1	Acerv_evm.model.Segkk3364_pilon.19, Acerv_evm.model.Segkk3364_pilon.20
OG0000011	plut2.m8.3443.m1	Acerv_evm.model.Segkk2808_pilon.20
OG0000011	plut2.m8.6448.m1	Acerv_evm.model.Segkk1676_pilon.21, Acerv_evm.model.Segkk1676_pilon.7, Acerv_evm.model.Segkk138_pilon.4, Acerv_evm.model.Segkk1676_pilon.17, Acerv_evm.model.Segkk1676_pilon.14, Acerv_evm.model.Segkk1676_pilon.8, Acerv_evm.model.Segkk1676_pilon.10
OG0000011	plut2.m8.1550.m1, plut2.m8.9693.m1, plut2.m8.906.m1, plut2.m8.33585.m1, plut2.m8.907.m1	Acerv_evm.model.Segkk3209_pilon.5, Acerv_evm.model.Segkk3209_pilon.9, Acerv_evm.model.Segkk3209_pilon.4, Acerv_evm.model.Segkk3209_pilon.7, Acerv_evm.model.Segkk3209_pilon.8, Acerv_evm.model.Segkk3209_pilon.20
OG0000011	plut2.m8.15413.m1	Acerv_evm.model.Segkk3643_pilon.8, Acerv_evm.model.Segkk2649_pilon.3
OG0000012	plut2.m8.16439.m1	Acerv_evm.model.Segkk771_pilon.2, Acerv_evm.model.Segkk3057_pilon.2, Acerv_evm.model.Segkk4201_pilon.21, Acerv_evm.model.Segkk3057_pilon.1, Acerv_evm.model.Segkk1334_pilon.13, Acerv_evm.model.Segkk1302_pilon.9, Acerv_evm.model.Segkk1193_pilon.8, Acerv_evm.model.Segkk1099_pilon.5, Acerv_evm.model.Segkk3057_pilon.3, Acerv_evm.model.Segkk1334_pilon.12
OG0000012	plut2.m8.25912.m1, jamg1.model.xfSc0000084.10, jamg1.model.Sc0000006.138, jamg1.model.Sc0000870.3, plut2.m8.25899.m1, plut2.m8.29988.m1, plut2.m8.21789.m1, plut2.m8.33305.m1, plut2.m8.760.m1, plut2.m8.32609.m1, jamg1.model.Sc0000035.6, jamg1.model.Sc0000289.21, plut2.m8.10751.m1, plut2.m8.681.m1, plut2.m8.31658.m1, plut2.m8.25493.m1, plut2.m8.16606.m1, plut2.m8.16610.m1, plut2.m8.17993.m1, plut2.m8.16736.m1, plut2.m8.16737.m1, plut2.m8.16732.m1	Acerv_evm.model.Segkk2697_pilon.2, Acerv_evm.model.Segkk1729_pilon.7, Acerv_evm.model.Segkk1571_pilon.3, Acerv_evm.model.Segkk771_pilon.3, Acerv_evm.model.Segkk4201_pilon.22, Acerv_evm.model.Segkk1302_pilon.5, Acerv_evm.model.Segkk4077_pilon.3, Acerv_evm.model.Segkk20_pilon.44, Acerv_evm.model.Segkk1193_pilon.7, Acerv_evm.model.Segkk1099_pilon.4, Acerv_evm.model.Segkk1334_pilon.11, Acerv_evm.model.Segkk4077_pilon.4, Acerv_evm.model.Segkk1302_pilon.4, Acerv_evm.model.Segkk771_pilon.4, Acerv_evm.model.Segkk1711_pilon.1
OG0000013	plut2.m8.23626.m1, plut2.m8.23636.m1, plut2.m8.23107.m1, plut2.m8.9495.m1, plut2.m8.23633.m1, plut2.m8.27833.m1, plut2.m8.23632.m1, plut2.m8.18815.m1, plut2.m8.2421.m1, plut2.m8.17743.m1, plut2.m8.11994.m1, plut2.m8.31051.m1, plut2.m8.146.m1, plut2.m8.29952.m1, plut2.m8.16783.m1, plut2.m8.31135.m1, plut2.m8.26172.m1, plut2.m8.5055.m1, plut2.m8.32314.m1, plut2.m8.18415.m1, plut2.m8.21573.m1, plut2.m8.488.m1, plut2.m8.26154.m1, plut2.m8.23634.m1, plut2.m8.9345.m1	Acerv_evm.model.Segkk524_pilon.50, Acerv_evm.model.Segkk1343_pilon.3, Acerv_evm.model.Segkk1576_pilon.3, Acerv_evm.model.Segkk1600_pilon.12
OG0000013	plut2.m8.11944.m1, plut2.m8.11945.m1, plut2.m8.11936.m1, plut2.m8.8653.m1, plut2.m8.12167.m1, plut2.m8.23335.m1, plut2.m8.9280.m1, plut2.m8.9273.m1, plut2.m8.11587.m1, plut2.m8.11585.m1, plut2.m8.12185.m1, plut2.m8.1278.m1, plut2.m8.10392.m1, plut2.m8.639.m1, plut2.m8.33550.m1, plut2.m8.25156.m1, plut2.m8.646.m1, plut2.m8.33402.m1, plut2.m8.17586.m1, plut2.m8.12186.m1, plut2.m8.11554.m1, plut2.m8.1283.m1, plut2.m8.26274.m1, plut2.m8.17756.m1, plut2.m8.11502.m1, plut2.m8.25219.m1, plut2.m8.25480.m1, plut2.m8.25215.m1, plut2.m8.25217.m1, plut2.m8.17758.m1, plut2.m8.17759.m1, plut2.m8.32931.m1, plut2.m8.16929.m1, plut2.m8.28443.m1, plut2.m8.28435.m1	Acerv_evm.model.Segkk1600_pilon.13, Acerv_evm.model.Segkk876_pilon.5, Acerv_evm.model.Segkk524_pilon.51, Acerv_evm.model.Segkk876_pilon.4, Acerv_evm.model.Segkk1343_pilon.2, Acerv_evm.model.Segkk1576_pilon.2, Acerv_evm.model.Segkk2760_pilon.4, Acerv_evm.model.Segkk3226_pilon.2, Acerv_evm.model.Segkk1576_pilon.6, Acerv_evm.model.Segkk2846_pilon.10
OG0000014	plut2.m8.661.m1	Acerv_evm.model.Segkk1346_pilon.5, Acerv_evm.model.Segkk1063_pilon.2, Acerv_evm.model.Segkk3386_pilon.25, Acerv_evm.model.Segkk1309_pilon.11, Acerv_evm.model.Segkk3386_pilon.20, Acerv_evm.model.Segkk476_pilon.12, Acerv_evm.model.Segkk3431_pilon.3, Acerv_evm.model.Segkk3976_pilon.30, Acerv_evm.model.Segkk4193_pilon.26, Acerv_evm.model.Segkk4132_pilon.3, Acerv_evm.model.Segkk2582_pilon.6, Acerv_evm.model.Segkk1425_pilon.2, Acerv_evm.model.Segkk506_pilon.1, Acerv_evm.model.Segkk2310_pilon.6, Acerv_evm.model.Segkk581_pilon.3, Acerv_evm.model.Segkk4308_pilon.12
OG0000014	jamg1.model.Sc0000523.31	Acerv_evm.model.Segkk3454_pilon.45
OG0000015	jamg1.model.Sc0000664.1	Acerv_evm.model.Segkk109_pilon.7, Acerv_evm.model.Segkk4048_pilon.10, Acerv_evm.model.Segkk1212_pilon.15, Acerv_evm.model.Segkk2611_pilon.1, Acerv_evm.model.Segkk3423_pilon.21, Acerv_evm.model.Segkk817_pilon.3, Acerv_evm.model.Segkk2112_pilon.25, Acerv_evm.model.Segkk2198_pilon.5, Acerv_evm.model.Segkk255_pilon.11, Acerv_evm.model.Segkk4327_pilon.23, Acerv_evm.model.Segkk2611_pilon.2, Acerv_evm.model.Segkk109_pilon.8, Acerv_evm.model.Segkk2200_pilon.5, Acerv_evm.model.Segkk4327_pilon.17, Acerv_evm.model.Segkk4203_pilon.6, Acerv_evm.model.Segkk1412_pilon.4, Acerv_evm.model.Segkk2481_pilon.15, Acerv_evm.model.Segkk547_pilon.5, Acerv_evm.model.Segkk3449_pilon.1, Acerv_evm.model.Segkk2534_pilon.6, Acerv_evm.model.Segkk1671_pilon.1, Acerv_evm.model.Segkk4256_pilon.9, Acerv_evm.model.Segkk1347_pilon.4, Acerv_evm.model.Segkk1880_pilon.1, Acerv_evm.model.Segkk1212_pilon.16, Acerv_evm.model.Segkk1003_pilon.55, Acerv_evm.model.Segkk2611_pilon.22, Acerv_evm.model.Segkk1937_pilon.3, Acerv_evm.model.Segkk3446_pilon.8, Acerv_evm.model.Segkk541_pilon.12, Acerv_evm.model.Segkk3048_pilon.7, Acerv_evm.model.Segkk1048_pilon.10, Acerv_evm.model.Segkk1117_pilon.2, Acerv_evm.model.Segkk1280_pilon.12
OG0000016	plut2.m8.23500.m1	Acerv_evm.model.Segkk2794_pilon.7, Acerv_evm.model.Segkk2794_pilon.10, Acerv_evm.model.Segkk4071_pilon.3
OG0000016	plut2.m8.23501.m1	Acerv_evm.model.Segkk3035_pilon.3, Acerv_evm.model.Segkk2794_pilon.2
OG0000016	plut2.m8.6992.m1	Acerv_evm.model.Segkk296_pilon.13
OG0000016	plut2.m8.33465.m1, plut2.m8.21889.m1	Acerv_evm.model.Segkk3035_pilon.1, Acerv_evm.model.Segkk4071_pilon.2
OG0000016	plut2.m8.18722.m1, plut2.m8.18731.m1, plut2.m8.33053.m1, plut2.m8.33580.m1, plut2.m8.5238.m1, plut2.m8.15283.m1, plut2.m8.21885.m1, plut2.m8.18723.m1, plut2.m8.26285.m1, plut2.m8.20272.m1, plut2.m8.21884.m1, plut2.m8.20292.m1, plut2.m8.20271.m1, plut2.m8.18725.m1, plut2.m8.20279.m1, plut2.m8.8594.m1, plut2.m8.33432.m1, plut2.m8.18718.m1, plut2.m8.18719.m1, plut2.m8.20291.m1, plut2.m8.21894.m1, plut2.m8.23184.m1, plut2.m8.20290.m1, plut2.m8.23185.m1	Acerv_evm.model.Segkk3668_pilon.14, Acerv_evm.model.Segkk3668_pilon.12, Acerv_evm.model.Segkk3668_pilon.8, Acerv_evm.model.Segkk3668_pilon.4, Acerv_evm.model.Segkk3668_pilon.9
