Orthogroup	Mcavernosa.maker.proteins	plut2v1.1.proteins
OG0000008	Mcavernosa23941-RA	plut2.m8.15205.m1, jamg1.model.Sc0000617.8, jamg1.model.Sc0000484.1, plut2.m8.18662.m1, plut2.m8.18893.m1, plut2.m8.32615.m1, plut2.m8.354.m1, plut2.m8.29940.m1, plut2.m8.25453.m1, plut2.m8.24842.m1, plut2.m8.24301.m1, jamg1.model.Sc0000021.100, jamg1.model.Sc0000021.93, plut2.m8.2670.m1, plut2.m8.24344.m1
OG0000008	Mcavernosa27182-RA	plut2.m8.32858.m1, plut2.m8.15177.m1, plut2.m8.24346.m1, plut2.m8.33431.m1, jamg1.model.xpSc0007170.7, plut2.m8.15159.m1, plut2.m8.24352.m1, plut2.m8.25568.m1, plut2.m8.30977.m1, plut2.m8.24349.m1, plut2.m8.26821.m1, plut2.m8.26820.m1, plut2.m8.26813.m1, plut2.m8.26809.m1, plut2.m8.26808.m1, plut2.m8.26830.m1, plut2.m8.26812.m1, plut2.m8.26831.m1, plut2.m8.24926.m1, plut2.m8.32633.m1
OG0000009	Mcavernosa18808-RA	plut2.m8.3431.m1, plut2.m8.26416.m1, plut2.m8.31608.m1, plut2.m8.3435.m1, plut2.m8.28372.m1
OG0000009	Mcavernosa29373-RA, Mcavernosa18809-RA, Mcavernosa18811-RA	plut2.m8.3437.m1, plut2.m8.3436.m1
OG0000010	Mcavernosa08812-RA	jamg1.model.Sc0000359.28, plut2.m8.21571.m1
OG0000010	Mcavernosa24647-RA	plut2.m8.23850.m1
OG0000010	Mcavernosa30129-RA	plut2.m8.29877.m1
OG0000010	Mcavernosa09742-RA, Mcavernosa32281-RA, Mcavernosa05088-RA	jamg1.model.Sc0000513.15
OG0000010	Mcavernosa23787-RA, Mcavernosa21569-RA, Mcavernosa27765-RA, Mcavernosa10792-RA, Mcavernosa08804-RA	plut2.m8.11367.m1
OG0000012	Mcavernosa26506-RA	plut2.m8.16439.m1, plut2.m8.32563.m1
OG0000013	Mcavernosa01928-RA	plut2.m8.8653.m1
OG0000013	Mcavernosa31190-RA	plut2.m8.12167.m1, plut2.m8.23335.m1, plut2.m8.9280.m1, plut2.m8.9273.m1, plut2.m8.11587.m1, plut2.m8.11585.m1, plut2.m8.12185.m1, plut2.m8.1278.m1, plut2.m8.10392.m1, plut2.m8.639.m1, plut2.m8.33550.m1, plut2.m8.25156.m1, plut2.m8.646.m1, plut2.m8.33402.m1, plut2.m8.17586.m1, plut2.m8.12186.m1, plut2.m8.11554.m1, plut2.m8.1283.m1, plut2.m8.26274.m1, plut2.m8.17756.m1, plut2.m8.11502.m1, plut2.m8.25219.m1, plut2.m8.25480.m1, plut2.m8.25215.m1, plut2.m8.25217.m1, plut2.m8.17758.m1, plut2.m8.17759.m1, plut2.m8.32931.m1, plut2.m8.16929.m1, plut2.m8.28443.m1, plut2.m8.28435.m1
OG0000014	Mcavernosa14358-RA	jamg1.model.Sc0000523.31
OG0000015	Mcavernosa11759-RA, Mcavernosa22085-RA, Mcavernosa22082-RA, Mcavernosa32426-RA, Mcavernosa07340-RA, Mcavernosa19284-RA	jamg1.model.Sc0000664.1
OG0000016	Mcavernosa02666-RA	plut2.m8.23502.m1
OG0000016	Mcavernosa11354-RA, Mcavernosa26144-RA, Mcavernosa17232-RA, Mcavernosa02665-RA, Mcavernosa08533-RA	plut2.m8.33465.m1, plut2.m8.21889.m1
OG0000022	Mcavernosa09517-RA	jamg1.model.xfSc0000010.12, jamg1.model.Sc0000009.46, jamg1.model.Sc0000214.15, jamg1.model.Sc0000653.9, jamg1.model.xpSc0007232.11, jamg1.model.Sc0000254.7, jamg1.model.Sc0000456.17
OG0000024	Mcavernosa20066-RA	plut2.m8.20440.m1
OG0000024	Mcavernosa21314-RA, Mcavernosa21315-RA	plut2.m8.14242.m1, plut2.m8.14241.m1
OG0000024	Mcavernosa20067-RA	plut2.m8.5900.m1, plut2.m8.20442.m1
OG0000024	Mcavernosa28462-RA, Mcavernosa28463-RA, Mcavernosa28460-RA	plut2.m8.6938.m1
OG0000025	Mcavernosa17511-RA	plut2.m8.24164.m1
OG0000026	Mcavernosa21836-RA	plut2.m8.24033.m1
OG0000026	Mcavernosa35125-RA	plut2.m8.4389.m1
OG0000026	Mcavernosa11914-RA, Mcavernosa23528-RA, Mcavernosa27409-RA, Mcavernosa35169-RA, Mcavernosa23527-RA, Mcavernosa27410-RA, Mcavernosa04078-RA, Mcavernosa05764-RA	plut2.m8.31728.m1
OG0000027	Mcavernosa02283-RA, Mcavernosa02284-RA	plut2.m8.24865.m1, plut2.m8.24867.m1, plut2.m8.24335.m1, plut2.m8.31329.m1, plut2.m8.19044.m1, plut2.m8.24332.m1
OG0000028	Mcavernosa12684-RA	plut2.m8.29557.m1
OG0000028	Mcavernosa12683-RA	plut2.m8.15565.m1, plut2.m8.15561.m1, plut2.m8.15562.m1
OG0000028	Mcavernosa06422-RA, Mcavernosa06424-RA, Mcavernosa06425-RA	plut2.m8.18835.m1, plut2.m8.1918.m1
OG0000030	Mcavernosa11106-RA, Mcavernosa05559-RA	plut2.m8.16968.m1
OG0000031	Mcavernosa08071-RA, Mcavernosa08072-RA	jamg1.model.xpSc0007142.5, jamg1.model.Sc0000021.101, plut2.m8.2680.m1, plut2.m8.25314.m1, plut2.m8.15690.m1, plut2.m8.33175.m1, plut2.m8.25313.m1, plut2.m8.15691.m1, plut2.m8.33176.m1, plut2.m8.15689.m1, plut2.m8.15688.m1, plut2.m8.14383.m1, plut2.m8.14369.m1, plut2.m8.7886.m1, plut2.m8.33424.m1, plut2.m8.32360.m1, plut2.m8.2662.m1, plut2.m8.33044.m1, plut2.m8.6312.m1, plut2.m8.18661.m1, plut2.m8.29943.m1, plut2.m8.18666.m1
OG0000031	Mcavernosa26713-RA, Mcavernosa26712-RA	plut2.m8.14069.m1
OG0000033	Mcavernosa23938-RA	plut2.m8.31867.m1
OG0000033	Mcavernosa07294-RA	plut2.m8.32987.m1
OG0000033	Mcavernosa34016-RA	plut2.m8.1599.m1, plut2.m8.31134.m1
OG0000033	Mcavernosa15363-RA, Mcavernosa09402-RA, Mcavernosa06544-RA, Mcavernosa25679-RA	plut2.m8.19878.m1
OG0000036	Mcavernosa03546-RA, Mcavernosa16236-RA, Mcavernosa31507-RA	plut2.m8.19906.m1
OG0000036	Mcavernosa14061-RA, Mcavernosa14062-RA	plut2.m8.21490.m1, plut2.m8.21491.m1, plut2.m8.22829.m1, plut2.m8.22828.m1, plut2.m8.21489.m1, plut2.m8.21488.m1, plut2.m8.21487.m1, plut2.m8.2929.m1, plut2.m8.4782.m1, plut2.m8.2932.m1
OG0000037	Mcavernosa00565-RA, Mcavernosa00572-RA, Mcavernosa01197-RA	plut2.m8.14295.m1
OG0000038	Mcavernosa29578-RA, Mcavernosa04064-RA, Mcavernosa14349-RA, Mcavernosa34602-RA, Mcavernosa27772-RA, Mcavernosa04619-RA, Mcavernosa27512-RA	jamg1.model.Sc0000804.2, plut2.m8.26291.m1
OG0000038	Mcavernosa27180-RA	plut2.m8.32801.m1
OG0000038	Mcavernosa26151-RA, Mcavernosa27468-RA, Mcavernosa10177-RA, Mcavernosa19921-RA, Mcavernosa31312-RA	plut2.m8.26344.m1, plut2.m8.21788.m1, plut2.m8.25055.m1
OG0000039	Mcavernosa08607-RA	plut2.m8.22055.m1, plut2.m8.15501.m1, plut2.m8.4800.m1, plut2.m8.15500.m1, plut2.m8.15587.m1, plut2.m8.15504.m1, plut2.m8.15505.m1
OG0000039	Mcavernosa31095-RA	plut2.m8.4028.m1, plut2.m8.28318.m1, plut2.m8.770.m1, plut2.m8.20364.m1, plut2.m8.775.m1, plut2.m8.7207.m1, plut2.m8.752.m1, plut2.m8.10615.m1, plut2.m8.21999.m1, plut2.m8.10624.m1, plut2.m8.21988.m1, plut2.m8.21994.m1, plut2.m8.26094.m1, plut2.m8.4240.m1, plut2.m8.26099.m1, plut2.m8.4238.m1, plut2.m8.4239.m1, plut2.m8.26096.m1, plut2.m8.26093.m1, plut2.m8.26095.m1, plut2.m8.33491.m1, plut2.m8.26098.m1, plut2.m8.4243.m1, plut2.m8.29915.m1, plut2.m8.22435.m1, plut2.m8.7726.m1, plut2.m8.17890.m1, plut2.m8.29108.m1, plut2.m8.29105.m1, plut2.m8.16341.m1, plut2.m8.16336.m1, plut2.m8.16339.m1, plut2.m8.16340.m1, plut2.m8.16324.m1, plut2.m8.6585.m1, plut2.m8.16328.m1
OG0000040	Mcavernosa33843-RA, Mcavernosa29288-RA, Mcavernosa29182-RA	jamg1.model.Sc0000665.13
OG0000041	Mcavernosa29757-RA	jamg1.model.Sc0000636.12, jamg1.model.Sc0000047.70
OG0000043	Mcavernosa05390-RA	plut2.m8.24079.m1, plut2.m8.22282.m1, plut2.m8.28799.m1, jamg1.model.Sc0000198.22, jamg1.model.xfSc0000589.1
OG0000044	Mcavernosa26607-RA	plut2.m8.22418.m1
OG0000046	Mcavernosa16709-RA	plut2.m8.5315.m1, plut2.m8.11491.m1, jamg1.model.xpSc0007138.2
OG0000046	Mcavernosa00477-RA, Mcavernosa02618-RA	plut2.m8.24520.m1, plut2.m8.24517.m1, plut2.m8.12502.m1
OG0000048	Mcavernosa07912-RA	plut2.m8.7800.m1
OG0000049	Mcavernosa33475-RA	plut2.m8.14059.m1, plut2.m8.9353.m1, plut2.m8.33464.m1, plut2.m8.4941.m1, plut2.m8.2032.m1
OG0000049	Mcavernosa17536-RA, Mcavernosa17539-RA, Mcavernosa29161-RA, Mcavernosa19055-RA, Mcavernosa19028-RA, Mcavernosa17538-RA	plut2.m8.22389.m1, plut2.m8.25080.m1, plut2.m8.19348.m1, plut2.m8.28886.m1, plut2.m8.32925.m1
OG0000049	Mcavernosa17537-RA, Mcavernosa19027-RA	plut2.m8.15112.m1, jamg1.model.Sc0000211.52
OG0000049	Mcavernosa17819-RA	plut2.m8.2018.m1
OG0000051	Mcavernosa22649-RA	plut2.m8.21956.m1
OG0000051	Mcavernosa32391-RA	plut2.m8.27791.m1, plut2.m8.25869.m1, plut2.m8.31594.m1, plut2.m8.27789.m1, plut2.m8.23050.m1, plut2.m8.25870.m1, plut2.m8.9223.m1, plut2.m8.9228.m1
OG0000051	Mcavernosa22650-RA	plut2.m8.9229.m1, plut2.m8.12326.m1, plut2.m8.12322.m1, plut2.m8.21955.m1, plut2.m8.12327.m1, plut2.m8.22534.m1, plut2.m8.12323.m1, plut2.m8.21939.m1, plut2.m8.12325.m1, plut2.m8.22530.m1, plut2.m8.21945.m1, plut2.m8.22531.m1, plut2.m8.12389.m1
OG0000052	Mcavernosa07140-RA	plut2.m8.15705.m1
OG0000052	Mcavernosa31972-RA	plut2.m8.4221.m1, plut2.m8.4223.m1, plut2.m8.4222.m1
OG0000052	Mcavernosa25562-RA	plut2.m8.14950.m1, plut2.m8.14948.m1, plut2.m8.14949.m1, plut2.m8.2040.m1
OG0000053	Mcavernosa27418-RA	plut2.m8.24214.m1
OG0000053	Mcavernosa27416-RA, Mcavernosa22372-RA, Mcavernosa27417-RA, Mcavernosa22373-RA	plut2.m8.24223.m1, plut2.m8.24211.m1, plut2.m8.24210.m1, plut2.m8.24222.m1, plut2.m8.24228.m1, plut2.m8.24227.m1, plut2.m8.24219.m1, plut2.m8.24220.m1, plut2.m8.16458.m1, plut2.m8.24209.m1, plut2.m8.24208.m1, plut2.m8.24226.m1, plut2.m8.24207.m1, plut2.m8.24212.m1, plut2.m8.24204.m1, plut2.m8.24217.m1, plut2.m8.24216.m1, plut2.m8.24215.m1, plut2.m8.24225.m1
OG0000055	Mcavernosa19954-RA, Mcavernosa33237-RA, Mcavernosa28132-RA, Mcavernosa23280-RA	plut2.m8.16108.m1, jamg1.model.Sc0000023.123
OG0000056	Mcavernosa00495-RA	plut2.m8.14277.m1
OG0000058	Mcavernosa28662-RA	plut2.m8.4525.m1, plut2.m8.4514.m1, plut2.m8.31145.m1, jamg1.model.Sc0000040.31, plut2.m8.31147.m1, plut2.m8.4503.m1, plut2.m8.31148.m1, plut2.m8.4510.m1, plut2.m8.4512.m1, plut2.m8.4515.m1, plut2.m8.4516.m1, plut2.m8.4513.m1, plut2.m8.4484.m1, plut2.m8.4485.m1, plut2.m8.33555.m1, plut2.m8.4487.m1, plut2.m8.11102.m1, plut2.m8.11099.m1, plut2.m8.11108.m1, plut2.m8.4486.m1, jamg1.model.Sc0000137.8, plut2.m8.4530.m1, plut2.m8.4526.m1, plut2.m8.4524.m1
OG0000060	Mcavernosa12136-RA	plut2.m8.9053.m1, plut2.m8.33383.m1, plut2.m8.9045.m1
OG0000060	Mcavernosa34575-RA	plut2.m8.25595.m1, plut2.m8.17726.m1, plut2.m8.17728.m1, plut2.m8.20051.m1, plut2.m8.20050.m1, plut2.m8.5831.m1, plut2.m8.26060.m1, plut2.m8.26062.m1, plut2.m8.25591.m1, plut2.m8.25596.m1, plut2.m8.25597.m1, plut2.m8.25590.m1
OG0000061	Mcavernosa22468-RA, Mcavernosa21454-RA	plut2.m8.15784.m1
OG0000061	Mcavernosa28889-RA, Mcavernosa17922-RA	plut2.m8.4572.m1, plut2.m8.17611.m1
OG0000061	Mcavernosa21842-RA, Mcavernosa10959-RA	plut2.m8.32342.m1
OG0000063	Mcavernosa09943-RA	plut2.m8.3413.m1, plut2.m8.26442.m1
OG0000065	Mcavernosa23210-RA, Mcavernosa32765-RA	jamg1.model.Sc0000013.139, plut2.m8.1796.m1
OG0000065	Mcavernosa23212-RA	plut2.m8.24625.m1
OG0000068	Mcavernosa21417-RA, Mcavernosa01704-RA	plut2.m8.11498.m1, plut2.m8.11359.m1
OG0000070	Mcavernosa23025-RA	plut2.m8.32130.m1
OG0000070	Mcavernosa01233-RA	plut2.m8.19859.m1
OG0000072	Mcavernosa02331-RA	plut2.m8.14809.m1
OG0000072	Mcavernosa27209-RA, Mcavernosa33386-RA, Mcavernosa06945-RA, Mcavernosa11532-RA, Mcavernosa30422-RA	plut2.m8.13166.m1
OG0000079	Mcavernosa08890-RA	plut2.m8.15316.m1, plut2.m8.11142.m1, plut2.m8.15319.m1, plut2.m8.17815.m1, plut2.m8.17816.m1, plut2.m8.28455.m1, plut2.m8.28451.m1, plut2.m8.28453.m1, plut2.m8.28454.m1, jamg1.model.xfSc0000112.12, plut2.m8.28460.m1, plut2.m8.28459.m1, plut2.m8.17810.m1, plut2.m8.17809.m1, plut2.m8.17812.m1, plut2.m8.29655.m1, plut2.m8.29656.m1, plut2.m8.29653.m1, plut2.m8.29657.m1, plut2.m8.14261.m1, plut2.m8.22038.m1
OG0000080	Mcavernosa16945-RA	plut2.m8.12441.m1
OG0000080	Mcavernosa13380-RA	plut2.m8.30939.m1
OG0000080	Mcavernosa01964-RA	plut2.m8.29667.m1, plut2.m8.21461.m1
OG0000080	Mcavernosa01967-RA	plut2.m8.21481.m1, plut2.m8.21474.m1, plut2.m8.21475.m1
OG0000080	Mcavernosa28335-RA, Mcavernosa28336-RA, Mcavernosa01966-RA	plut2.m8.21480.m1, plut2.m8.26553.m1, plut2.m8.21473.m1, plut2.m8.21478.m1, plut2.m8.15348.m1, plut2.m8.21476.m1, plut2.m8.21479.m1, plut2.m8.21477.m1, plut2.m8.21482.m1
OG0000080	Mcavernosa28333-RA	plut2.m8.21469.m1, plut2.m8.29664.m1, plut2.m8.21468.m1, plut2.m8.21460.m1
OG0000081	Mcavernosa10724-RA, Mcavernosa06335-RA	plut2.m8.4575.m1
OG0000082	Mcavernosa24329-RA, Mcavernosa28166-RA, Mcavernosa28160-RA, Mcavernosa28161-RA, Mcavernosa24330-RA	plut2.m8.25305.m1
OG0000083	Mcavernosa26646-RA	plut2.m8.15810.m1
OG0000084	Mcavernosa07904-RA	plut2.m8.5002.m1, plut2.m8.5005.m1, plut2.m8.25905.m1
OG0000087	Mcavernosa17557-RA, Mcavernosa17556-RA, Mcavernosa09501-RA	jamg1.model.Sc0000707.3
OG0000087	Mcavernosa30138-RA, Mcavernosa05649-RA	plut2.m8.20420.m1, plut2.m8.25902.m1, plut2.m8.9582.m1
OG0000087	Mcavernosa27632-RA	plut2.m8.14233.m1, plut2.m8.14915.m1, plut2.m8.320.m1, plut2.m8.17828.m1
OG0000087	Mcavernosa29983-RA	plut2.m8.31249.m1, plut2.m8.31250.m1
OG0000088	Mcavernosa25231-RA, Mcavernosa16874-RA	plut2.m8.8494.m1
OG0000088	Mcavernosa11047-RA	plut2.m8.28447.m1, plut2.m8.28446.m1, plut2.m8.4881.m1, plut2.m8.17408.m1, plut2.m8.17409.m1, plut2.m8.17410.m1, plut2.m8.18055.m1, plut2.m8.4891.m1, plut2.m8.4890.m1, plut2.m8.6813.m1, plut2.m8.6814.m1, plut2.m8.4888.m1, plut2.m8.4886.m1, plut2.m8.4892.m1, plut2.m8.33462.m1, plut2.m8.4895.m1
OG0000089	Mcavernosa19265-RA	plut2.m8.26689.m1
OG0000089	Mcavernosa19264-RA	plut2.m8.29829.m1, plut2.m8.8878.m1, plut2.m8.32005.m1
OG0000090	Mcavernosa31911-RA, Mcavernosa23365-RA, Mcavernosa33624-RA, Mcavernosa17893-RA, Mcavernosa31914-RA	plut2.m8.23127.m1, plut2.m8.23133.m1, plut2.m8.23131.m1, plut2.m8.23132.m1, plut2.m8.31122.m1, plut2.m8.23122.m1, plut2.m8.31121.m1, plut2.m8.23125.m1
OG0000090	Mcavernosa31912-RA, Mcavernosa31910-RA	plut2.m8.33178.m1, plut2.m8.33593.m1
OG0000092	Mcavernosa29307-RA	jamg1.model.Sc0000509.11
OG0000092	Mcavernosa30106-RA	plut2.m8.2922.m1
OG0000093	Mcavernosa22177-RA, Mcavernosa28973-RA, Mcavernosa22182-RA	plut2.m8.22931.m1, plut2.m8.25961.m1, plut2.m8.18922.m1, plut2.m8.4940.m1, plut2.m8.15807.m1
OG0000093	Mcavernosa17858-RA	plut2.m8.19850.m1, plut2.m8.24763.m1
OG0000093	Mcavernosa23251-RA	plut2.m8.16863.m1
OG0000095	Mcavernosa30441-RA, Mcavernosa19081-RA, Mcavernosa33385-RA, Mcavernosa27530-RA, Mcavernosa35041-RA	plut2.m8.25851.m1
OG0000095	Mcavernosa05588-RA	jamg1.model.Sc0000520.7
OG0000095	Mcavernosa16624-RA, Mcavernosa34764-RA, Mcavernosa29497-RA, Mcavernosa26915-RA, Mcavernosa14472-RA	jamg1.model.Sc0000465.5
OG0000097	Mcavernosa01703-RA, Mcavernosa21418-RA	plut2.m8.31980.m1, plut2.m8.19274.m1
OG0000097	Mcavernosa04648-RA, Mcavernosa04647-RA	plut2.m8.24767.m1, plut2.m8.27365.m1, plut2.m8.32738.m1
OG0000098	Mcavernosa19438-RA	plut2.m8.23512.m1, plut2.m8.23511.m1
OG0000099	Mcavernosa26601-RA, Mcavernosa27775-RA	jamg1.model.Sc0000465.15
OG0000099	Mcavernosa35119-RA, Mcavernosa15254-RA	plut2.m8.31771.m1
OG0000102	Mcavernosa32662-RA	jamg1.model.xfSc0000057.8
OG0000102	Mcavernosa13173-RA, Mcavernosa24357-RA, Mcavernosa05190-RA, Mcavernosa33810-RA	plut2.m8.24068.m1
OG0000103	Mcavernosa11573-RA	plut2.m8.16380.m1
OG0000106	Mcavernosa29861-RA, Mcavernosa31858-RA, Mcavernosa11153-RA, Mcavernosa22154-RA, Mcavernosa21692-RA, Mcavernosa02243-RA, Mcavernosa29057-RA	jamg1.model.Sc0000160.71
OG0000108	Mcavernosa33265-RA, Mcavernosa24775-RA, Mcavernosa19090-RA, Mcavernosa30468-RA, Mcavernosa29157-RA, Mcavernosa04549-RA, Mcavernosa11148-RA, Mcavernosa04769-RA, Mcavernosa32249-RA	plut2.m8.23364.m1, plut2.m8.23362.m1, plut2.m8.7282.m1
OG0000108	Mcavernosa33565-RA	plut2.m8.31598.m1
OG0000108	Mcavernosa26922-RA, Mcavernosa30540-RA, Mcavernosa16297-RA, Mcavernosa32097-RA	plut2.m8.30978.m1
OG0000109	Mcavernosa35073-RA, Mcavernosa00408-RA, Mcavernosa03198-RA, Mcavernosa11849-RA, Mcavernosa18963-RA, Mcavernosa05769-RA, Mcavernosa25668-RA, Mcavernosa21457-RA, Mcavernosa31374-RA	plut2.m8.33056.m1
OG0000110	Mcavernosa33384-RA, Mcavernosa30440-RA, Mcavernosa19080-RA, Mcavernosa00584-RA	jamg1.model.Sc0000019.95
OG0000110	Mcavernosa33383-RA, Mcavernosa34688-RA	jamg1.model.Sc0000284.4
OG0000110	Mcavernosa34762-RA	plut2.m8.32103.m1
OG0000112	Mcavernosa14437-RA	jamg1.model.Sc0000484.4
OG0000114	Mcavernosa33996-RA, Mcavernosa12914-RA, Mcavernosa09888-RA, Mcavernosa09882-RA, Mcavernosa17840-RA	plut2.m8.19567.m1, plut2.m8.25382.m1
OG0000115	Mcavernosa16149-RA, Mcavernosa22487-RA, Mcavernosa32819-RA, Mcavernosa34677-RA, Mcavernosa15349-RA	plut2.m8.29519.m1, plut2.m8.21745.m1, plut2.m8.32953.m1, plut2.m8.21744.m1, plut2.m8.32954.m1, plut2.m8.32952.m1, plut2.m8.29517.m1, plut2.m8.21746.m1, plut2.m8.29514.m1, plut2.m8.21747.m1, plut2.m8.32951.m1, plut2.m8.32957.m1, plut2.m8.29516.m1, plut2.m8.23493.m1, plut2.m8.23494.m1, plut2.m8.29515.m1, plut2.m8.32955.m1, plut2.m8.32950.m1, plut2.m8.17057.m1
OG0000116	Mcavernosa20864-RA	jamg1.model.Sc0000079.8, plut2.m8.7685.m1, jamg1.model.Sc0000689.3, jamg1.model.Sc0000688.9, plut2.m8.31459.m1, jamg1.model.Sc0000688.7, plut2.m8.25328.m1, plut2.m8.7688.m1, plut2.m8.33141.m1, plut2.m8.7693.m1, plut2.m8.7697.m1, plut2.m8.7694.m1, plut2.m8.7692.m1, plut2.m8.7696.m1, jamg1.model.Sc0000079.4, plut2.m8.7686.m1, plut2.m8.33222.m1, plut2.m8.33525.m1, plut2.m8.25327.m1, plut2.m8.7706.m1, jamg1.model.Sc0000079.10, jamg1.model.xfSc0000223.2, jamg1.model.Sc0000688.5, plut2.m8.33142.m1, plut2.m8.33434.m1, plut2.m8.25326.m1, plut2.m8.33221.m1, plut2.m8.27613.m1, plut2.m8.27617.m1, jamg1.model.xfSc0000020.43
OG0000117	Mcavernosa03767-RA, Mcavernosa22773-RA	plut2.m8.14901.m1
OG0000118	Mcavernosa07350-RA	plut2.m8.10922.m1, plut2.m8.30662.m1, plut2.m8.33308.m1
OG0000118	Mcavernosa32911-RA, Mcavernosa26966-RA, Mcavernosa29056-RA, Mcavernosa00569-RA, Mcavernosa22265-RA	jamg1.model.Sc0000015.119, plut2.m8.924.m1
OG0000118	Mcavernosa32969-RA	plut2.m8.21859.m1, plut2.m8.32790.m1, plut2.m8.20617.m1, plut2.m8.32085.m1
OG0000121	Mcavernosa29093-RA, Mcavernosa09509-RA, Mcavernosa27652-RA, Mcavernosa30542-RA	plut2.m8.11523.m1
OG0000122	Mcavernosa25907-RA, Mcavernosa29534-RA	plut2.m8.9924.m1, plut2.m8.23141.m1
OG0000124	Mcavernosa12464-RA, Mcavernosa12462-RA	jamg1.model.Sc0000551.10, jamg1.model.Sc0000625.16, jamg1.model.Sc0000551.6
OG0000124	Mcavernosa12458-RA, Mcavernosa12456-RA, Mcavernosa12459-RA	jamg1.model.Sc0000014.25
OG0000124	Mcavernosa12461-RA	jamg1.model.Sc0000551.11, jamg1.model.Sc0000551.7, jamg1.model.Sc0000014.24, jamg1.model.Sc0000551.9
OG0000127	Mcavernosa27878-RA, Mcavernosa27866-RA, Mcavernosa15770-RA, Mcavernosa27867-RA, Mcavernosa27868-RA	plut2.m8.32009.m1
OG0000128	Mcavernosa32176-RA, Mcavernosa11551-RA, Mcavernosa19109-RA	plut2.m8.14802.m1, plut2.m8.30993.m1
OG0000128	Mcavernosa32175-RA	plut2.m8.10315.m1
OG0000130	Mcavernosa11352-RA	plut2.m8.9553.m1, plut2.m8.9552.m1
OG0000131	Mcavernosa29840-RA, Mcavernosa34392-RA, Mcavernosa00475-RA	plut2.m8.18657.m1
OG0000133	Mcavernosa30686-RA, Mcavernosa29559-RA, Mcavernosa22332-RA, Mcavernosa33856-RA, Mcavernosa33430-RA	plut2.m8.18899.m1
OG0000133	Mcavernosa24058-RA	plut2.m8.25135.m1
OG0000135	Mcavernosa20102-RA	plut2.m8.456.m1
OG0000135	Mcavernosa11005-RA, Mcavernosa24673-RA	plut2.m8.8809.m1, plut2.m8.7166.m1, plut2.m8.7169.m1
OG0000135	Mcavernosa23995-RA	plut2.m8.11231.m1
OG0000135	Mcavernosa10157-RA	plut2.m8.7315.m1, plut2.m8.14924.m1, plut2.m8.7301.m1, plut2.m8.14939.m1, plut2.m8.33358.m1, plut2.m8.10620.m1, plut2.m8.8804.m1
OG0000135	Mcavernosa04570-RA	plut2.m8.2322.m1
OG0000138	Mcavernosa32360-RA, Mcavernosa32357-RA	plut2.m8.9245.m1
OG0000138	Mcavernosa32367-RA	plut2.m8.9242.m1
OG0000138	Mcavernosa30039-RA	plut2.m8.9910.m1
OG0000140	Mcavernosa08157-RA	plut2.m8.2174.m1
OG0000141	Mcavernosa22056-RA, Mcavernosa22277-RA	plut2.m8.16601.m1
OG0000142	Mcavernosa17832-RA, Mcavernosa14859-RA	plut2.m8.25656.m1
OG0000143	Mcavernosa13017-RA, Mcavernosa02826-RA	plut2.m8.31613.m1
