Orthogroup	Pocillopora_acuta_HIv1.genes.pep	Montipora_capitata_HIv2.genes.pep
OG0000006	Pocillopora_acuta_HIv1_PredGene_g5028.t1, Pocillopora_acuta_HIv1_PredGene_g4985.t1, Pocillopora_acuta_HIv1_PredGene_g4994.t1, Pocillopora_acuta_HIv1_PredGene_g29506.t1, Pocillopora_acuta_HIv1_PredGene_g29500.t1, Pocillopora_acuta_HIv1_PredGene_g29497.t1, Pocillopora_acuta_HIv1_PredGene_g29503.t1, Pocillopora_acuta_HIv1_PredGene_g4989.t1, Pocillopora_acuta_HIv1_PredGene_g8849.t1, Pocillopora_acuta_HIv1_PredGene_g8846.t1	Montipora_capitata_PredGene_adi2mcaRNA31800_R8.t1
OG0000007	Pocillopora_acuta_HIv1_PredGene_g9348.t1, Pocillopora_acuta_HIv1_PredGene_g9349.t1, Pocillopora_acuta_HIv1_PredGene_g21114.t1, Pocillopora_acuta_HIv1_PredGene_g21116.t1, Pocillopora_acuta_HIv1_PredGene_g9350.t1, Pocillopora_acuta_HIv1_PredGene_g21115.t1, Pocillopora_acuta_HIv1_PredGene_g21113.t1, Pocillopora_acuta_HIv1_PredGene_g1206.t1	Montipora_capitata_PredGene_g36035.t1
OG0000007	Pocillopora_acuta_HIv1_PredGene_g12008.t1	Montipora_capitata_PredGene_g25482.t1
OG0000007	Pocillopora_acuta_HIv1_PredGene_g2033.t1	Montipora_capitata_PredGene_adi2mcaRNA23234_R0.t1
OG0000008	Pocillopora_acuta_HIv1_PredGene_g31977.t1, Pocillopora_acuta_HIv1_PredGene_g9949.t2, Pocillopora_acuta_HIv1_PredGene_g9949.t3	Montipora_capitata_PredGene_adi2mcaRNA31763_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA26716_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA19301_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA22623_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA38765_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA22623_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA38765_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA38774_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA26716_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA22623_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA35701_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA33078_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA38800_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA22623_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA22623_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA38767_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA38800_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA31412_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA22623_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA22623_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA1971_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA22623_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA22623_R5.t1, Montipora_capitata_PredGene_adi2mcaRNA38767_R5.t1, Montipora_capitata_PredGene_adi2mcaRNA33128_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA10252_R7.t1
OG0000008	Pocillopora_acuta_HIv1_PredGene_g9500.t1, Pocillopora_acuta_HIv1_PredGene_g11091.t1	Montipora_capitata_PredGene_adi2mcaRNA22597_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA22790_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA22790_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA22790_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA22790_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA37403_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA22597_R1.t1
OG0000009	Pocillopora_acuta_HIv1_PredGene_g12554.t1, Pocillopora_acuta_HIv1_PredGene_g13119.t1, Pocillopora_acuta_HIv1_PredGene_g6616.t1	Montipora_capitata_PredGene_g68882.t1
OG0000010	Pocillopora_acuta_HIv1_PredGene_g10839.t1, Pocillopora_acuta_HIv1_PredGene_g16472.t1	Montipora_capitata_PredGene_g8222.t1
OG0000010	Pocillopora_acuta_HIv1_PredGene_g6784.t1	Montipora_capitata_PredGene_g66122.t1
OG0000010	Pocillopora_acuta_HIv1_PredGene_g8666.t1	Montipora_capitata_PredGene_adi2mcaRNA27420_R4.t1
OG0000010	Pocillopora_acuta_HIv1_PredGene_g6927.t1, Pocillopora_acuta_HIv1_PredGene_g25762.t1	Montipora_capitata_PredGene_g63780.t1, Montipora_capitata_PredGene_g2682.t1, Montipora_capitata_PredGene_g52397.t1, Montipora_capitata_PredGene_adi2mcaRNA15662_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA15662_R7.t1
OG0000010	Pocillopora_acuta_HIv1_PredGene_g9408.t1	Montipora_capitata_PredGene_adi2mcaRNA18864_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA5859_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA10967_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA10967_R3.t1, Montipora_capitata_PredGene_g63476.t1, Montipora_capitata_PredGene_adi2mcaRNA13323_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA5859_R7.t1, Montipora_capitata_PredGene_g10331.t1, Montipora_capitata_PredGene_g24892.t1, Montipora_capitata_PredGene_adi2mcaRNA10967_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA3304_R0.t1
OG0000010	Pocillopora_acuta_HIv1_PredGene_g9455.t1	Montipora_capitata_PredGene_adi2mcaRNA28971_R8.t1
OG0000011	Pocillopora_acuta_HIv1_PredGene_g702.t1	Montipora_capitata_PredGene_g35924.t1
OG0000011	Pocillopora_acuta_HIv1_PredGene_g17686.t1	Montipora_capitata_PredGene_g32776.t1
OG0000011	Pocillopora_acuta_HIv1_PredGene_g7114.t1, Pocillopora_acuta_HIv1_PredGene_g7111.t1, Pocillopora_acuta_HIv1_PredGene_g7110.t1	Montipora_capitata_PredGene_g24340.t1, Montipora_capitata_PredGene_g3237.t1, Montipora_capitata_PredGene_g24341.t1, Montipora_capitata_PredGene_g35232.t1, Montipora_capitata_PredGene_g35223.t1, Montipora_capitata_PredGene_g35229.t1, Montipora_capitata_PredGene_g35233.t1, Montipora_capitata_PredGene_g35224.t1, Montipora_capitata_PredGene_g35228.t1, Montipora_capitata_PredGene_g42599.t1, Montipora_capitata_PredGene_g42604.t1, Montipora_capitata_PredGene_g42612.t1, Montipora_capitata_PredGene_g37871.t1, Montipora_capitata_PredGene_g44447.t1, Montipora_capitata_PredGene_g44446.t1, Montipora_capitata_PredGene_g34856.t1, Montipora_capitata_PredGene_g18631.t1, Montipora_capitata_PredGene_g44441.t1, Montipora_capitata_PredGene_g44445.t1, Montipora_capitata_PredGene_adi2mcaRNA39286_R6.t1, Montipora_capitata_PredGene_g19875.t1, Montipora_capitata_PredGene_g19873.t1, Montipora_capitata_PredGene_g44443.t1, Montipora_capitata_PredGene_g34858.t1, Montipora_capitata_PredGene_g11123.t1, Montipora_capitata_PredGene_g19872.t1, Montipora_capitata_PredGene_g11136.t1, Montipora_capitata_PredGene_g11125.t1, Montipora_capitata_PredGene_g34868.t1, Montipora_capitata_PredGene_g68219.t1, Montipora_capitata_PredGene_g42627.t1, Montipora_capitata_PredGene_g42624.t1, Montipora_capitata_PredGene_g12188.t1, Montipora_capitata_PredGene_g68211.t1, Montipora_capitata_PredGene_g68231.t1, Montipora_capitata_PredGene_adi2mcaRNA25680_R0.t1
OG0000012	Pocillopora_acuta_HIv1_PredGene_g21029.t1, Pocillopora_acuta_HIv1_PredGene_g24261.t1	Montipora_capitata_PredGene_adi2mcaRNA17490_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA17490_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA17490_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA17490_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA31529_R9.t1, Montipora_capitata_PredGene_g21304.t1, Montipora_capitata_PredGene_g64588.t1, Montipora_capitata_PredGene_g1899.t1, Montipora_capitata_PredGene_g15540.t1, Montipora_capitata_PredGene_g56034.t1, Montipora_capitata_PredGene_g27097.t1, Montipora_capitata_PredGene_g17350.t1, Montipora_capitata_PredGene_g43473.t1, Montipora_capitata_PredGene_g70838.t1, Montipora_capitata_PredGene_g15226.t1, Montipora_capitata_PredGene_g23313.t1, Montipora_capitata_PredGene_g11475.t1, Montipora_capitata_PredGene_g16983.t1, Montipora_capitata_PredGene_g8276.t1, Montipora_capitata_PredGene_g70924.t1, Montipora_capitata_PredGene_g61244.t1, Montipora_capitata_PredGene_g17455.t1, Montipora_capitata_PredGene_g71626.t1, Montipora_capitata_PredGene_adi2mcaRNA31529_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA17490_R1.t1
OG0000012	Pocillopora_acuta_HIv1_PredGene_g8404.t1	Montipora_capitata_PredGene_g21913.t1
OG0000012	Pocillopora_acuta_HIv1_PredGene_g905.t1, Pocillopora_acuta_HIv1_PredGene_g13715.t1, Pocillopora_acuta_HIv1_PredGene_g17456.t1, Pocillopora_acuta_HIv1_PredGene_g11057.t2, Pocillopora_acuta_HIv1_PredGene_g11057.t3, Pocillopora_acuta_HIv1_PredGene_g11057.t1, Pocillopora_acuta_HIv1_PredGene_g21081.t1, Pocillopora_acuta_HIv1_PredGene_g21004.t1, Pocillopora_acuta_HIv1_PredGene_g21032.t1, Pocillopora_acuta_HIv1_PredGene_g21030.t1, Pocillopora_acuta_HIv1_PredGene_g21033.t1, Pocillopora_acuta_HIv1_PredGene_g5042.t1, Pocillopora_acuta_HIv1_PredGene_g6087.t1, Pocillopora_acuta_HIv1_PredGene_g32490.t1, Pocillopora_acuta_HIv1_PredGene_g32490.t2, Pocillopora_acuta_HIv1_PredGene_13620_t, Pocillopora_acuta_HIv1_PredGene_g19217.t1, Pocillopora_acuta_HIv1_PredGene_g19213.t1, Pocillopora_acuta_HIv1_PredGene_g21868.t1, Pocillopora_acuta_HIv1_PredGene_g16404.t1	Montipora_capitata_PredGene_adi2mcaRNA31072_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA31072_R4.t1
OG0000013	Pocillopora_acuta_HIv1_PredGene_g14339.t1	Montipora_capitata_PredGene_g1020.t1
OG0000013	Pocillopora_acuta_HIv1_PredGene_g14829.t1, Pocillopora_acuta_HIv1_PredGene_g14830.t1, Pocillopora_acuta_HIv1_PredGene_g14834.t1, Pocillopora_acuta_HIv1_PredGene_g15241.t1, Pocillopora_acuta_HIv1_PredGene_g31369.t1	Montipora_capitata_PredGene_g19904.t1
OG0000014	Pocillopora_acuta_HIv1_PredGene_g1701.t1	Montipora_capitata_PredGene_g28413.t1, Montipora_capitata_PredGene_g39618.t1, Montipora_capitata_PredGene_g11529.t1
OG0000014	Pocillopora_acuta_HIv1_PredGene_g15391.t1	Montipora_capitata_PredGene_g1421.t1, Montipora_capitata_PredGene_g41506.t1
OG0000014	Pocillopora_acuta_HIv1_PredGene_g26723.t1	Montipora_capitata_PredGene_g39223.t1, Montipora_capitata_PredGene_g66339.t1
OG0000014	Pocillopora_acuta_HIv1_PredGene_g4217.t1	Montipora_capitata_PredGene_g31613.t1, Montipora_capitata_PredGene_g44032.t1, Montipora_capitata_PredGene_g3293.t1, Montipora_capitata_PredGene_g8228.t1, Montipora_capitata_PredGene_g6221.t1
OG0000014	Pocillopora_acuta_HIv1_PredGene_g32230.t1, Pocillopora_acuta_HIv1_PredGene_g3800.t1	Montipora_capitata_PredGene_g62648.t1, Montipora_capitata_PredGene_g6754.t1, Montipora_capitata_PredGene_g42053.t1
OG0000014	Pocillopora_acuta_HIv1_PredGene_g6036.t1, Pocillopora_acuta_HIv1_PredGene_g12645.t1	Montipora_capitata_PredGene_g24731.t1, Montipora_capitata_PredGene_adi2mcaRNA40399_R5.t1, Montipora_capitata_PredGene_adi2mcaRNA33538_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA33538_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA33538_R4.t1
OG0000015	Pocillopora_acuta_HIv1_PredGene_g27468.t1	Montipora_capitata_PredGene_adi2mcaRNA36098_R3.t1
OG0000015	Pocillopora_acuta_HIv1_PredGene_g9746.t1	Montipora_capitata_PredGene_g55487.t1, Montipora_capitata_PredGene_g13584.t1, Montipora_capitata_PredGene_g68546.t1, Montipora_capitata_PredGene_g56369.t1, Montipora_capitata_PredGene_g42898.t1, Montipora_capitata_PredGene_adi2mcaRNA40240_R8.t1
OG0000015	Pocillopora_acuta_HIv1_PredGene_g21207.t1	Montipora_capitata_PredGene_adi2mcaRNA39281_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA8282_R5.t1
OG0000016	Pocillopora_acuta_HIv1_PredGene_g30798.t1, Pocillopora_acuta_HIv1_PredGene_g3479.t1, Pocillopora_acuta_HIv1_PredGene_g3478.t1	Montipora_capitata_PredGene_g26281.t1
OG0000017	Pocillopora_acuta_HIv1_PredGene_g10389.t1	Montipora_capitata_PredGene_g45638.t1, Montipora_capitata_PredGene_g57237.t1
OG0000017	Pocillopora_acuta_HIv1_PredGene_g24676.t1	Montipora_capitata_PredGene_g56557.t1
OG0000017	Pocillopora_acuta_HIv1_PredGene_g3292.t1, Pocillopora_acuta_HIv1_PredGene_g20713.t1	Montipora_capitata_PredGene_g31135.t1, Montipora_capitata_PredGene_g10701.t1, Montipora_capitata_PredGene_g63749.t1
OG0000018	Pocillopora_acuta_HIv1_PredGene_g15827.t1, Pocillopora_acuta_HIv1_PredGene_g6658.t1	Montipora_capitata_PredGene_adi2mcaRNA35085_R8.t1, Montipora_capitata_PredGene_g182.t1, Montipora_capitata_PredGene_g5628.t1, Montipora_capitata_PredGene_g13806.t1, Montipora_capitata_PredGene_g10718.t1, Montipora_capitata_PredGene_g64840.t1, Montipora_capitata_PredGene_g55467.t1, Montipora_capitata_PredGene_g177.t1, Montipora_capitata_PredGene_g64849.t1, Montipora_capitata_PredGene_g14356.t1, Montipora_capitata_PredGene_g19550.t1
OG0000019	Pocillopora_acuta_HIv1_PredGene_g20323.t1, Pocillopora_acuta_HIv1_PredGene_g29440.t1, Pocillopora_acuta_HIv1_PredGene_g29443.t1, Pocillopora_acuta_HIv1_PredGene_g29438.t1, Pocillopora_acuta_HIv1_PredGene_g29446.t1, Pocillopora_acuta_HIv1_PredGene_g29442.t1, Pocillopora_acuta_HIv1_PredGene_g29452.t1, Pocillopora_acuta_HIv1_PredGene_18026_t, Pocillopora_acuta_HIv1_PredGene_g29448.t1	Montipora_capitata_PredGene_g16041.t1, Montipora_capitata_PredGene_g41473.t1
OG0000019	Pocillopora_acuta_HIv1_PredGene_g6537.t1	Montipora_capitata_PredGene_g11483.t1, Montipora_capitata_PredGene_g44905.t1
OG0000020	Pocillopora_acuta_HIv1_PredGene_15668_t	Montipora_capitata_PredGene_g29735.t1, Montipora_capitata_PredGene_g49966.t1
OG0000020	Pocillopora_acuta_HIv1_PredGene_g1210.t1, Pocillopora_acuta_HIv1_PredGene_g1213.t1, Pocillopora_acuta_HIv1_PredGene_g1211.t1, Pocillopora_acuta_HIv1_PredGene_g1214.t1, Pocillopora_acuta_HIv1_PredGene_g17497.t1, Pocillopora_acuta_HIv1_PredGene_11578_t, Pocillopora_acuta_HIv1_PredGene_11579_t, Pocillopora_acuta_HIv1_PredGene_g1209.t1	Montipora_capitata_PredGene_adi2mcaRNA19784_R2.t1, Montipora_capitata_PredGene_g8806.t1, Montipora_capitata_PredGene_g44682.t1, Montipora_capitata_PredGene_g12373.t1, Montipora_capitata_PredGene_adi2mcaRNA36969_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA19779_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA19789_R9.t1, Montipora_capitata_PredGene_g59270.t1
OG0000020	Pocillopora_acuta_HIv1_PredGene_g11570.t1, Pocillopora_acuta_HIv1_PredGene_14038_t, Pocillopora_acuta_HIv1_PredGene_g9701.t1	Montipora_capitata_PredGene_adi2mcaRNA19778_R4.t1
OG0000022	Pocillopora_acuta_HIv1_PredGene_g28505.t1, Pocillopora_acuta_HIv1_PredGene_g28505.t2, Pocillopora_acuta_HIv1_PredGene_g12432.t1, Pocillopora_acuta_HIv1_PredGene_g28649.t1, Pocillopora_acuta_HIv1_PredGene_g26230.t1, Pocillopora_acuta_HIv1_PredGene_g24309.t1	Montipora_capitata_PredGene_g23342.t1, Montipora_capitata_PredGene_g69226.t1, Montipora_capitata_PredGene_g69199.t1, Montipora_capitata_PredGene_g69253.t1, Montipora_capitata_PredGene_g29027.t1, Montipora_capitata_PredGene_g58708.t1
OG0000022	Pocillopora_acuta_HIv1_PredGene_g12431.t1, Pocillopora_acuta_HIv1_PredGene_g28650.t1, Pocillopora_acuta_HIv1_PredGene_g26229.t1	Montipora_capitata_PredGene_g4491.t1, Montipora_capitata_PredGene_g19562.t1, Montipora_capitata_PredGene_g12564.t1, Montipora_capitata_PredGene_g18894.t1, Montipora_capitata_PredGene_g18133.t1, Montipora_capitata_PredGene_g16329.t1, Montipora_capitata_PredGene_g19005.t1, Montipora_capitata_PredGene_g67204.t1, Montipora_capitata_PredGene_g52956.t1, Montipora_capitata_PredGene_g59604.t1, Montipora_capitata_PredGene_g29992.t1, Montipora_capitata_PredGene_g23195.t1, Montipora_capitata_PredGene_g15999.t1, Montipora_capitata_PredGene_g25850.t1, Montipora_capitata_PredGene_g5098.t1, Montipora_capitata_PredGene_g29426.t1, Montipora_capitata_PredGene_g29429.t1, Montipora_capitata_PredGene_g71331.t1
OG0000022	Pocillopora_acuta_HIv1_PredGene_g13382.t1, Pocillopora_acuta_HIv1_PredGene_g7747.t1, Pocillopora_acuta_HIv1_PredGene_g24661.t1, Pocillopora_acuta_HIv1_PredGene_g18490.t1, Pocillopora_acuta_HIv1_PredGene_g27530.t1, Pocillopora_acuta_HIv1_PredGene_g13383.t1, Pocillopora_acuta_HIv1_PredGene_g3522.t1, Pocillopora_acuta_HIv1_PredGene_g24660.t1, Pocillopora_acuta_HIv1_PredGene_g18491.t1, Pocillopora_acuta_HIv1_PredGene_g24662.t1, Pocillopora_acuta_HIv1_PredGene_g18489.t1, Pocillopora_acuta_HIv1_PredGene_g7746.t1	Montipora_capitata_PredGene_adi2mcaRNA15523_R9.t1, Montipora_capitata_PredGene_g12762.t1, Montipora_capitata_PredGene_g23343.t1, Montipora_capitata_PredGene_g15981.t1
