Orthogroup	Montipora_capitata_HIv2.genes.pep	GCF_002042975.1_ofav_dov_v1_protein
OG0000002	Montipora_capitata_PredGene_g35832.t1, Montipora_capitata_PredGene_g43894.t1, Montipora_capitata_PredGene_g34203.t1, Montipora_capitata_PredGene_g40172.t1, Montipora_capitata_PredGene_g45012.t1, Montipora_capitata_PredGene_g3303.t1, Montipora_capitata_PredGene_g35831.t1, Montipora_capitata_PredGene_g40171.t1, Montipora_capitata_PredGene_g34205.t1, Montipora_capitata_PredGene_g18671.t1, Montipora_capitata_PredGene_g17673.t1, Montipora_capitata_PredGene_g19427.t1, Montipora_capitata_PredGene_g43892.t1, Montipora_capitata_PredGene_g1794.t1, Montipora_capitata_PredGene_g34204.t1, Montipora_capitata_PredGene_g18670.t1, Montipora_capitata_PredGene_g28724.t1, Montipora_capitata_PredGene_g43893.t1, Montipora_capitata_PredGene_g71545.t1, Montipora_capitata_PredGene_g26165.t1	XP_020607843.1
OG0000003	Montipora_capitata_PredGene_g67062.t1, Montipora_capitata_PredGene_g67065.t1, Montipora_capitata_PredGene_adi2mcaRNA30866_R0.t1	XP_020614818.1
OG0000003	Montipora_capitata_PredGene_g12131.t1, Montipora_capitata_PredGene_g17116.t1, Montipora_capitata_PredGene_g69305.t1, Montipora_capitata_PredGene_g14380.t1, Montipora_capitata_PredGene_g69315.t1	XP_020622122.1, XP_020622123.1, XP_020605235.1
OG0000003	Montipora_capitata_PredGene_g57508.t1, Montipora_capitata_PredGene_adi2mcaRNA20027_R6.t1, Montipora_capitata_PredGene_g28627.t1, Montipora_capitata_PredGene_adi2mcaRNA5341_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA32783_R2.t1	XP_020600918.1
OG0000003	Montipora_capitata_PredGene_g22376.t1	XP_020621577.1, XP_020621621.1
OG0000003	Montipora_capitata_PredGene_adi2mcaRNA33323_R3.t1	XP_020617972.1, XP_020617970.1, XP_020617971.1, XP_020602483.1, XP_020602482.1, XP_020602481.1
OG0000003	Montipora_capitata_PredGene_adi2mcaRNA20009_R7.t1	XP_020602477.1, XP_020602480.1, XP_020602499.1
OG0000003	Montipora_capitata_PredGene_g69314.t1	XP_020610359.1, XP_020616007.1
OG0000004	Montipora_capitata_PredGene_g4536.t1	XP_020608630.1, XP_020608552.1
OG0000004	Montipora_capitata_PredGene_g60287.t1	XP_020606067.1
OG0000004	Montipora_capitata_PredGene_g69476.t1, Montipora_capitata_PredGene_g69487.t1, Montipora_capitata_PredGene_g69480.t1, Montipora_capitata_PredGene_g21504.t1, Montipora_capitata_PredGene_g19991.t1, Montipora_capitata_PredGene_g67562.t1, Montipora_capitata_PredGene_g69485.t1, Montipora_capitata_PredGene_g69473.t1, Montipora_capitata_PredGene_g11896.t1, Montipora_capitata_PredGene_g47038.t1, Montipora_capitata_PredGene_g18963.t1, Montipora_capitata_PredGene_g42834.t1	XP_020604991.1
OG0000004	Montipora_capitata_PredGene_g50762.t1	XP_020615606.1, XP_020601876.1, XP_020620031.1
OG0000004	Montipora_capitata_PredGene_g47695.t1	XP_020608709.1, XP_020608690.1
OG0000004	Montipora_capitata_PredGene_g48772.t1, Montipora_capitata_PredGene_g4542.t1, Montipora_capitata_PredGene_g71559.t1, Montipora_capitata_PredGene_g71556.t1, Montipora_capitata_PredGene_g4544.t1, Montipora_capitata_PredGene_g71554.t1	XP_020615436.1
OG0000005	Montipora_capitata_PredGene_g7633.t1, Montipora_capitata_PredGene_g51421.t1, Montipora_capitata_PredGene_g27338.t1, Montipora_capitata_PredGene_g25002.t1, Montipora_capitata_PredGene_g63624.t1	XP_020622161.1
OG0000005	Montipora_capitata_PredGene_g63506.t1, Montipora_capitata_PredGene_g27337.t1, Montipora_capitata_PredGene_g22966.t1, Montipora_capitata_PredGene_g39930.t1, Montipora_capitata_PredGene_g36822.t1, Montipora_capitata_PredGene_g36010.t1, Montipora_capitata_PredGene_g18602.t1, Montipora_capitata_PredGene_g51420.t1, Montipora_capitata_PredGene_g25001.t1	XP_020611011.1, XP_020611012.1, XP_020606650.1, XP_020607948.1, XP_020607949.1
OG0000005	Montipora_capitata_PredGene_g43116.t1, Montipora_capitata_PredGene_g51909.t1	XP_020632402.1
OG0000005	Montipora_capitata_PredGene_g28595.t1, Montipora_capitata_PredGene_g37144.t1, Montipora_capitata_PredGene_g49524.t1, Montipora_capitata_PredGene_g54955.t1, Montipora_capitata_PredGene_g1150.t1, Montipora_capitata_PredGene_g17497.t1, Montipora_capitata_PredGene_g29053.t1	XP_020628368.1
OG0000006	Montipora_capitata_PredGene_adi2mcaRNA31145_R0.t1, Montipora_capitata_PredGene_g53388.t1, Montipora_capitata_PredGene_g4437.t1, Montipora_capitata_PredGene_g60114.t1, Montipora_capitata_PredGene_g60131.t1	XP_020615517.1
OG0000006	Montipora_capitata_PredGene_g69103.t1	XP_020601815.1
OG0000006	Montipora_capitata_PredGene_adi2mcaRNA6339_R1.t1, Montipora_capitata_PredGene_g50184.t1, Montipora_capitata_PredGene_adi2mcaRNA6338_R2.t1	XP_020614951.1, XP_020614949.1, XP_020614950.1, XP_020623188.1, XP_020622248.1, XP_020622243.1, XP_020622236.1, XP_020622251.1
OG0000006	Montipora_capitata_PredGene_g34559.t1	XP_020611938.1, XP_020611937.1, XP_020611816.1
OG0000006	Montipora_capitata_PredGene_adi2mcaRNA31800_R8.t1	XP_020618852.1, XP_020606244.1
OG0000007	Montipora_capitata_PredGene_adi2mcaRNA32728_R1.t1, Montipora_capitata_PredGene_g4647.t1	XP_020618832.1
OG0000007	Montipora_capitata_PredGene_g36035.t1	XP_020618836.1, XP_020612667.1
OG0000007	Montipora_capitata_PredGene_g25482.t1	XP_020624554.1, XP_020624553.1
OG0000007	Montipora_capitata_PredGene_g16119.t1, Montipora_capitata_PredGene_g26439.t1, Montipora_capitata_PredGene_g26441.t1, Montipora_capitata_PredGene_g26440.t1, Montipora_capitata_PredGene_g26455.t1, Montipora_capitata_PredGene_g26456.t1, Montipora_capitata_PredGene_g26451.t1, Montipora_capitata_PredGene_g26461.t1, Montipora_capitata_PredGene_g26450.t1, Montipora_capitata_PredGene_g26448.t1, Montipora_capitata_PredGene_g26458.t1, Montipora_capitata_PredGene_g26449.t1, Montipora_capitata_PredGene_adi2mcaRNA3402_R7.t1, Montipora_capitata_PredGene_g26454.t1	XP_020622948.1
OG0000007	Montipora_capitata_PredGene_g52564.t1	XP_020628106.1, XP_020602800.1
OG0000007	Montipora_capitata_PredGene_adi2mcaRNA23234_R0.t1	XP_020631802.1
OG0000008	Montipora_capitata_PredGene_adi2mcaRNA31763_R1.t1	XP_020622254.1, XP_020622253.1, XP_020622245.1, XP_020622252.1, XP_020622201.1, XP_020622200.1, XP_020622202.1, XP_020617381.1
OG0000008	Montipora_capitata_PredGene_adi2mcaRNA33128_R8.t1	XP_020621418.1
OG0000008	Montipora_capitata_PredGene_adi2mcaRNA22597_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA22790_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA22790_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA22790_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA22790_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA37403_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA22597_R1.t1	XP_020611128.1, XP_020611127.1
OG0000009	Montipora_capitata_PredGene_g14015.t1, Montipora_capitata_PredGene_g45110.t1	XP_020632639.1, XP_020607287.1, XP_020607288.1, XP_020607291.1, XP_020611728.1
OG0000009	Montipora_capitata_PredGene_adi2mcaRNA22454_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA22454_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA22454_R1.t1	XP_020622007.1
OG0000009	Montipora_capitata_PredGene_g68882.t1, Montipora_capitata_PredGene_g45091.t1, Montipora_capitata_PredGene_g45111.t1, Montipora_capitata_PredGene_g55538.t1, Montipora_capitata_PredGene_g62927.t1, Montipora_capitata_PredGene_g4442.t1, Montipora_capitata_PredGene_g4457.t1, Montipora_capitata_PredGene_g51072.t1, Montipora_capitata_PredGene_adi2mcaRNA10239_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA10239_R0.t1, Montipora_capitata_PredGene_g51086.t1, Montipora_capitata_PredGene_adi2mcaRNA38892_R9.t1, Montipora_capitata_PredGene_g51090.t1, Montipora_capitata_PredGene_g51511.t1, Montipora_capitata_PredGene_adi2mcaRNA10239_R5.t1, Montipora_capitata_PredGene_g51524.t1, Montipora_capitata_PredGene_g51532.t1, Montipora_capitata_PredGene_g12008.t1, Montipora_capitata_PredGene_adi2mcaRNA22454_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA22454_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA22454_R5.t1	XP_020624086.1
OG0000010	Montipora_capitata_PredGene_g273.t1, Montipora_capitata_PredGene_g30970.t1, Montipora_capitata_PredGene_g19848.t1, Montipora_capitata_PredGene_g48682.t1, Montipora_capitata_PredGene_g69738.t1, Montipora_capitata_PredGene_g69737.t1, Montipora_capitata_PredGene_g55883.t1, Montipora_capitata_PredGene_g25679.t1, Montipora_capitata_PredGene_g36736.t1, Montipora_capitata_PredGene_g27925.t1	XP_020604609.1, XP_020604608.1
OG0000010	Montipora_capitata_PredGene_adi2mcaRNA27420_R4.t1	XP_020602072.1
OG0000010	Montipora_capitata_PredGene_g2682.t1	XP_020607846.1
OG0000010	Montipora_capitata_PredGene_adi2mcaRNA10967_R3.t1	XP_020613056.1
OG0000010	Montipora_capitata_PredGene_g63476.t1	XP_020622931.1
OG0000010	Montipora_capitata_PredGene_adi2mcaRNA28971_R8.t1	XP_020612159.1
OG0000011	Montipora_capitata_PredGene_g35924.t1	XP_020603547.1, XP_020603423.1
OG0000011	Montipora_capitata_PredGene_g44401.t1, Montipora_capitata_PredGene_g63302.t1	XP_020619584.1, XP_020622382.1, XP_020622383.1
OG0000011	Montipora_capitata_PredGene_g66040.t1, Montipora_capitata_PredGene_g66039.t1	XP_020621919.1
OG0000011	Montipora_capitata_PredGene_g32776.t1	XP_020621918.1
OG0000011	Montipora_capitata_PredGene_g24340.t1, Montipora_capitata_PredGene_g3237.t1, Montipora_capitata_PredGene_g24341.t1, Montipora_capitata_PredGene_g35232.t1, Montipora_capitata_PredGene_g35223.t1, Montipora_capitata_PredGene_g35229.t1, Montipora_capitata_PredGene_g35233.t1, Montipora_capitata_PredGene_g35224.t1, Montipora_capitata_PredGene_g35228.t1	XP_020622652.1, XP_020622707.1, XP_020611958.1
OG0000011	Montipora_capitata_PredGene_g42599.t1, Montipora_capitata_PredGene_g42604.t1, Montipora_capitata_PredGene_g42612.t1	XP_020607676.1
OG0000011	Montipora_capitata_PredGene_g37871.t1, Montipora_capitata_PredGene_g44447.t1, Montipora_capitata_PredGene_g44446.t1, Montipora_capitata_PredGene_g34856.t1, Montipora_capitata_PredGene_g18631.t1, Montipora_capitata_PredGene_g44441.t1, Montipora_capitata_PredGene_g44445.t1, Montipora_capitata_PredGene_adi2mcaRNA39286_R6.t1, Montipora_capitata_PredGene_g19875.t1, Montipora_capitata_PredGene_g19873.t1, Montipora_capitata_PredGene_g44443.t1, Montipora_capitata_PredGene_g34858.t1, Montipora_capitata_PredGene_g11123.t1, Montipora_capitata_PredGene_g19872.t1, Montipora_capitata_PredGene_g11136.t1, Montipora_capitata_PredGene_g11125.t1, Montipora_capitata_PredGene_g34868.t1, Montipora_capitata_PredGene_g68219.t1, Montipora_capitata_PredGene_g42627.t1, Montipora_capitata_PredGene_g42624.t1, Montipora_capitata_PredGene_g12188.t1, Montipora_capitata_PredGene_g68211.t1, Montipora_capitata_PredGene_g68231.t1, Montipora_capitata_PredGene_adi2mcaRNA25680_R0.t1	XP_020608992.1
OG0000012	Montipora_capitata_PredGene_adi2mcaRNA17490_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA17490_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA17490_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA17490_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA31529_R9.t1, Montipora_capitata_PredGene_g21304.t1, Montipora_capitata_PredGene_g64588.t1, Montipora_capitata_PredGene_g1899.t1, Montipora_capitata_PredGene_g15540.t1, Montipora_capitata_PredGene_g56034.t1, Montipora_capitata_PredGene_g27097.t1, Montipora_capitata_PredGene_g17350.t1, Montipora_capitata_PredGene_g43473.t1, Montipora_capitata_PredGene_g70838.t1, Montipora_capitata_PredGene_g15226.t1, Montipora_capitata_PredGene_g23313.t1, Montipora_capitata_PredGene_g11475.t1, Montipora_capitata_PredGene_g16983.t1, Montipora_capitata_PredGene_g8276.t1, Montipora_capitata_PredGene_g70924.t1, Montipora_capitata_PredGene_g61244.t1, Montipora_capitata_PredGene_g17455.t1, Montipora_capitata_PredGene_g71626.t1, Montipora_capitata_PredGene_adi2mcaRNA31529_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA17490_R1.t1	XP_020627809.1, XP_020627817.1
OG0000012	Montipora_capitata_PredGene_g21913.t1	XP_020614042.1
OG0000012	Montipora_capitata_PredGene_adi2mcaRNA31072_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA31072_R4.t1	XP_020629726.1, XP_020629725.1, XP_020608314.1, XP_020623980.1, XP_020609423.1, XP_020600819.1, XP_020614004.1, XP_020614003.1, XP_020617248.1, XP_020631816.1, XP_020612810.1, XP_020612809.1, XP_020612811.1
OG0000013	Montipora_capitata_PredGene_g54723.t1	XP_020628469.1, XP_020628472.1, XP_020628471.1, XP_020628470.1
OG0000013	Montipora_capitata_PredGene_g40655.t1, Montipora_capitata_PredGene_g40650.t1, Montipora_capitata_PredGene_g40638.t1, Montipora_capitata_PredGene_g40640.t1, Montipora_capitata_PredGene_adi2mcaRNA7657_R3.t1, Montipora_capitata_PredGene_g53794.t1, Montipora_capitata_PredGene_adi2mcaRNA41075_R7.t1, Montipora_capitata_PredGene_g55585.t1, Montipora_capitata_PredGene_g20363.t1, Montipora_capitata_PredGene_g20361.t1, Montipora_capitata_PredGene_g55586.t1	XP_020613784.1, XP_020613783.1, XP_020626344.1, XP_020623062.1
OG0000013	Montipora_capitata_PredGene_g19904.t1	XP_020619789.1, XP_020619788.1, XP_020615798.1, XP_020615799.1, XP_020630041.1, XP_020621187.1, XP_020627577.1, XP_020613046.1, XP_020613045.1, XP_020613044.1
OG0000014	Montipora_capitata_PredGene_adi2mcaRNA40649_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA40649_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA40649_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA40649_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA40649_R5.t1	XP_020625488.1
OG0000014	Montipora_capitata_PredGene_g31613.t1, Montipora_capitata_PredGene_g44032.t1, Montipora_capitata_PredGene_g3293.t1, Montipora_capitata_PredGene_g8228.t1, Montipora_capitata_PredGene_g6221.t1	XP_020609585.1
OG0000014	Montipora_capitata_PredGene_g3357.t1, Montipora_capitata_PredGene_g24731.t1, Montipora_capitata_PredGene_adi2mcaRNA40399_R5.t1, Montipora_capitata_PredGene_adi2mcaRNA33538_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA33538_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA33538_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA33794_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA33794_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA18263_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA14456_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA14456_R2.t1, Montipora_capitata_PredGene_g41338.t1, Montipora_capitata_PredGene_adi2mcaRNA12649_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA18263_R5.t1, Montipora_capitata_PredGene_adi2mcaRNA18263_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA18263_R4.t1	XP_020605029.1
OG0000015	Montipora_capitata_PredGene_adi2mcaRNA33358_R7.t1	XP_020628022.1
OG0000015	Montipora_capitata_PredGene_adi2mcaRNA36098_R3.t1	XP_020624599.1
OG0000015	Montipora_capitata_PredGene_adi2mcaRNA36238_R0.t1	XP_020619411.1, XP_020619413.1
OG0000015	Montipora_capitata_PredGene_adi2mcaRNA28016_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA28016_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA28016_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA18093_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA18093_R5.t1, Montipora_capitata_PredGene_adi2mcaRNA18093_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA18093_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA18093_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA29532_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA29532_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA4167_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA4167_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA5409_R5.t1, Montipora_capitata_PredGene_adi2mcaRNA29532_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA28587_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA28587_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA28587_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA28587_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA32128_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA39280_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA39280_R5.t1, Montipora_capitata_PredGene_adi2mcaRNA39280_R3.t1	XP_020623052.1
OG0000015	Montipora_capitata_PredGene_g55487.t1, Montipora_capitata_PredGene_g13584.t1, Montipora_capitata_PredGene_g68546.t1, Montipora_capitata_PredGene_g56369.t1, Montipora_capitata_PredGene_g42898.t1, Montipora_capitata_PredGene_adi2mcaRNA40240_R8.t1	XP_020623051.1
OG0000015	Montipora_capitata_PredGene_adi2mcaRNA39281_R4.t1	XP_020619410.1, XP_020608921.1
OG0000015	Montipora_capitata_PredGene_adi2mcaRNA8282_R5.t1	XP_020608674.1
OG0000015	Montipora_capitata_PredGene_adi2mcaRNA39281_R6.t1	XP_020608920.1
OG0000016	Montipora_capitata_PredGene_g26281.t1	XP_020604651.1
OG0000016	Montipora_capitata_PredGene_g26282.t1	XP_020603118.1, XP_020603116.1, XP_020603115.1, XP_020627176.1, XP_020627180.1, XP_020631325.1, XP_020622877.1, XP_020622896.1
OG0000016	Montipora_capitata_PredGene_g21622.t1	XP_020616141.1
OG0000017	Montipora_capitata_PredGene_g45815.t1, Montipora_capitata_PredGene_g25824.t1, Montipora_capitata_PredGene_g8799.t1, Montipora_capitata_PredGene_g42748.t1, Montipora_capitata_PredGene_adi2mcaRNA34881_R1.t1, Montipora_capitata_PredGene_g45638.t1, Montipora_capitata_PredGene_g57237.t1, Montipora_capitata_PredGene_g53090.t1, Montipora_capitata_PredGene_g31428.t1, Montipora_capitata_PredGene_g69436.t1, Montipora_capitata_PredGene_g19385.t1, Montipora_capitata_PredGene_g59654.t1, Montipora_capitata_PredGene_g52240.t1, Montipora_capitata_PredGene_g10909.t1, Montipora_capitata_PredGene_g51248.t1, Montipora_capitata_PredGene_g56971.t1, Montipora_capitata_PredGene_adi2mcaRNA26632_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA26632_R2.t1, Montipora_capitata_PredGene_g24310.t1, Montipora_capitata_PredGene_g56557.t1, Montipora_capitata_PredGene_adi2mcaRNA33542_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA33542_R3.t1	XP_020628351.1, XP_020604539.1
OG0000017	Montipora_capitata_PredGene_g42747.t1, Montipora_capitata_PredGene_adi2mcaRNA34014_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA34014_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA34014_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA34014_R9.t1, Montipora_capitata_PredGene_g11671.t1, Montipora_capitata_PredGene_g38385.t1, Montipora_capitata_PredGene_g1645.t1, Montipora_capitata_PredGene_g23763.t1, Montipora_capitata_PredGene_g13939.t1, Montipora_capitata_PredGene_g64547.t1, Montipora_capitata_PredGene_g15790.t1, Montipora_capitata_PredGene_g31135.t1, Montipora_capitata_PredGene_g10701.t1, Montipora_capitata_PredGene_g63749.t1	XP_020621734.1
OG0000018	Montipora_capitata_PredGene_adi2mcaRNA40969_R9.t1, Montipora_capitata_PredGene_g32607.t1, Montipora_capitata_PredGene_g29700.t1, Montipora_capitata_PredGene_g70397.t1, Montipora_capitata_PredGene_g46665.t1, Montipora_capitata_PredGene_adi2mcaRNA40969_R0.t1, Montipora_capitata_PredGene_g60896.t1, Montipora_capitata_PredGene_g40563.t1, Montipora_capitata_PredGene_g43881.t1, Montipora_capitata_PredGene_g55460.t1, Montipora_capitata_PredGene_g45340.t1, Montipora_capitata_PredGene_g34118.t1	XP_020607689.1
OG0000018	Montipora_capitata_PredGene_g17276.t1, Montipora_capitata_PredGene_g65953.t1, Montipora_capitata_PredGene_g22044.t1, Montipora_capitata_PredGene_g63754.t1	XP_020619517.1
