Orthogroup	Acerv_assembly_v1.0.protein	Mcavernosa.maker.proteins
OG0000008	Acerv_evm.model.Segkk160_pilon.3, Acerv_evm.model.Segkk4013_pilon.1, Acerv_evm.model.Segkk2025_pilon.1, Acerv_evm.model.Segkk1902_pilon.1, Acerv_evm.model.Segkk4028_pilon.31, Acerv_evm.model.Segkk2267_pilon.23, Acerv_evm.model.Segkk1024_pilon.2, Acerv_evm.model.Segkk1514_pilon.8, Acerv_evm.model.Segkk3153_pilon.2, Acerv_evm.model.Segkk1679_pilon.2, Acerv_evm.model.Segkk3819_pilon.4, Acerv_evm.model.Segkk3819_pilon.1, Acerv_evm.model.Segkk1181_pilon.10, Acerv_evm.model.Segkk4332_pilon.11, Acerv_evm.model.Segkk607_pilon.15, Acerv_evm.model.Segkk2267_pilon.11, Acerv_evm.model.Segkk608_pilon.3, Acerv_evm.model.Segkk1245_pilon.1, Acerv_evm.model.Segkk3453_pilon.19, Acerv_evm.model.Segkk377_pilon.1, Acerv_evm.model.Segkk2889_pilon.24, Acerv_evm.model.Segkk1421_pilon.5, Acerv_evm.model.Segkk2267_pilon.18, Acerv_evm.model.Segkk1873_pilon.1, Acerv_evm.model.Segkk1001_pilon.5, Acerv_evm.model.Segkk1421_pilon.11, Acerv_evm.model.Segkk2346_pilon.2, Acerv_evm.model.Segkk664_pilon.5, Acerv_evm.model.Segkk1532_pilon.1, Acerv_evm.model.Segkk2267_pilon.15	Mcavernosa23941-RA
OG0000008	Acerv_evm.model.Segkk3343_pilon.8, Acerv_evm.model.Segkk926_pilon.6, Acerv_evm.model.Segkk2267_pilon.14, Acerv_evm.model.Segkk2267_pilon.9, Acerv_evm.model.Segkk2025_pilon.4, Acerv_evm.model.Segkk2889_pilon.25, Acerv_evm.model.Segkk2920_pilon.7, Acerv_evm.model.Segkk2267_pilon.20, Acerv_evm.model.Segkk377_pilon.2, Acerv_evm.model.Segkk2267_pilon.21, Acerv_evm.model.Segkk2267_pilon.7, Acerv_evm.model.Segkk4138_pilon.32, Acerv_evm.model.Segkk607_pilon.14, Acerv_evm.model.Segkk1181_pilon.9, Acerv_evm.model.Segkk1514_pilon.10, Acerv_evm.model.Segkk1514_pilon.11, Acerv_evm.model.Segkk2731_pilon.1, Acerv_evm.model.Segkk981_pilon.6, Acerv_evm.model.Segkk1838_pilon.9	Mcavernosa27182-RA
OG0000010	Acerv_evm.model.Segkk3124_pilon.1, Acerv_evm.model.Segkk1288_pilon.38, Acerv_evm.model.Segkk4368_pilon.16, Acerv_evm.model.Segkk1126_pilon.4, Acerv_evm.model.Segkk1158_pilon.53, Acerv_evm.model.Segkk1731_pilon.10, Acerv_evm.model.Segkk3931_pilon.4, Acerv_evm.model.Segkk464_pilon.9, Acerv_evm.model.Segkk582_pilon.9, Acerv_evm.model.Segkk1972_pilon.3, Acerv_evm.model.Segkk2143_pilon.1	Mcavernosa08812-RA
OG0000010	Acerv_evm.model.Segkk1871_pilon.18, Acerv_evm.model.Segkk373_pilon.1, Acerv_evm.model.Segkk373_pilon.2, Acerv_evm.model.Segkk4300_pilon.14, Acerv_evm.model.Segkk3162_pilon.1	Mcavernosa08814-RA
OG0000010	Acerv_evm.model.Segkk2737_pilon.10	Mcavernosa24647-RA
OG0000010	Acerv_evm.model.Segkk1845_pilon.7, Acerv_evm.model.Segkk650_pilon.2, Acerv_evm.model.Segkk1318_pilon.15	Mcavernosa30129-RA
OG0000010	Acerv_evm.model.Segkk3675_pilon.5	Mcavernosa09742-RA, Mcavernosa32281-RA, Mcavernosa05088-RA
OG0000010	Acerv_evm.model.Segkk1684_pilon.2, Acerv_evm.model.Segkk1729_pilon.2, Acerv_evm.model.Segkk3693_pilon.21, Acerv_evm.model.Segkk3971_pilon.23, Acerv_evm.model.Segkk524_pilon.3, Acerv_evm.model.Segkk2534_pilon.3, Acerv_evm.model.Segkk2231_pilon.1	Mcavernosa27765-RA
OG0000010	Acerv_evm.model.Segkk3935_pilon.16	Mcavernosa10792-RA, Mcavernosa08804-RA
OG0000012	Acerv_evm.model.Segkk771_pilon.2, Acerv_evm.model.Segkk3057_pilon.2, Acerv_evm.model.Segkk4201_pilon.21, Acerv_evm.model.Segkk3057_pilon.1, Acerv_evm.model.Segkk1334_pilon.13, Acerv_evm.model.Segkk1302_pilon.9, Acerv_evm.model.Segkk1193_pilon.8, Acerv_evm.model.Segkk1099_pilon.5, Acerv_evm.model.Segkk3057_pilon.3, Acerv_evm.model.Segkk1334_pilon.12	Mcavernosa26506-RA
OG0000013	Acerv_evm.model.Segkk1600_pilon.13, Acerv_evm.model.Segkk876_pilon.5, Acerv_evm.model.Segkk524_pilon.51, Acerv_evm.model.Segkk876_pilon.4, Acerv_evm.model.Segkk1343_pilon.2, Acerv_evm.model.Segkk1576_pilon.2, Acerv_evm.model.Segkk2760_pilon.4, Acerv_evm.model.Segkk3226_pilon.2, Acerv_evm.model.Segkk1576_pilon.6, Acerv_evm.model.Segkk2846_pilon.10	Mcavernosa01928-RA, Mcavernosa05514-RA, Mcavernosa31190-RA
OG0000014	Acerv_evm.model.Segkk971_pilon.61	Mcavernosa04969-RA
OG0000014	Acerv_evm.model.Segkk1281_pilon.2, Acerv_evm.model.Segkk2753_pilon.2, Acerv_evm.model.Segkk4201_pilon.24, Acerv_evm.model.Segkk1738_pilon.6, Acerv_evm.model.Segkk2851_pilon.8, Acerv_evm.model.Segkk243_pilon.5, Acerv_evm.model.Segkk1436_pilon.15, Acerv_evm.model.Segkk4048_pilon.1, Acerv_evm.model.Segkk3741_pilon.16	Mcavernosa35084-RA
OG0000014	Acerv_evm.model.Segkk3454_pilon.45	Mcavernosa14358-RA
OG0000015	Acerv_evm.model.Segkk2198_pilon.5, Acerv_evm.model.Segkk255_pilon.11, Acerv_evm.model.Segkk4327_pilon.23, Acerv_evm.model.Segkk2611_pilon.2, Acerv_evm.model.Segkk109_pilon.8, Acerv_evm.model.Segkk2200_pilon.5, Acerv_evm.model.Segkk4327_pilon.17, Acerv_evm.model.Segkk4203_pilon.6, Acerv_evm.model.Segkk1412_pilon.4, Acerv_evm.model.Segkk2481_pilon.15, Acerv_evm.model.Segkk547_pilon.5, Acerv_evm.model.Segkk3449_pilon.1	Mcavernosa11759-RA
OG0000015	Acerv_evm.model.Segkk1671_pilon.1, Acerv_evm.model.Segkk4256_pilon.9	Mcavernosa32426-RA, Mcavernosa07340-RA
OG0000016	Acerv_evm.model.Segkk3035_pilon.1, Acerv_evm.model.Segkk4071_pilon.2	Mcavernosa02665-RA
OG0000017	Acerv_evm.model.Segkk21_pilon.13	Mcavernosa29991-RA
OG0000017	Acerv_evm.model.Segkk71_pilon.3, Acerv_evm.model.Segkk469_pilon.77, Acerv_evm.model.Segkk1502_pilon.5, Acerv_evm.model.Segkk971_pilon.55, Acerv_evm.model.Segkk1380_pilon.13	Mcavernosa26632-RA
OG0000017	Acerv_evm.model.Segkk2896_pilon.5, Acerv_evm.model.Segkk3633_pilon.13	Mcavernosa32172-RA, Mcavernosa07462-RA, Mcavernosa26302-RA, Mcavernosa21537-RA
OG0000017	Acerv_evm.model.Segkk126_pilon.30, Acerv_evm.model.Segkk2433_pilon.23	Mcavernosa24720-RA
OG0000017	Acerv_evm.model.Segkk2529_pilon.12	Mcavernosa13033-RA
OG0000017	Acerv_evm.model.Segkk650_pilon.39, Acerv_evm.model.Segkk2410_pilon.8	Mcavernosa12123-RA
OG0000017	Acerv_evm.model.Segkk1487_pilon.1, Acerv_evm.model.Segkk2335_pilon.3, Acerv_evm.model.Segkk3972_pilon.8	Mcavernosa26301-RA
OG0000017	Acerv_evm.model.Segkk3633_pilon.12, Acerv_evm.model.Segkk3221_pilon.17, Acerv_evm.model.Segkk2308_pilon.3, Acerv_evm.model.Segkk643_pilon.20, Acerv_evm.model.Segkk1120_pilon.3, Acerv_evm.model.Segkk3633_pilon.9, Acerv_evm.model.Segkk4019_pilon.4, Acerv_evm.model.Segkk1884_pilon.6	Mcavernosa16688-RA
OG0000017	Acerv_evm.model.Segkk3618_pilon.2, Acerv_evm.model.Segkk3221_pilon.19, Acerv_evm.model.Segkk473_pilon.13, Acerv_evm.model.Segkk3219_pilon.4	Mcavernosa07525-RA
OG0000017	Acerv_evm.model.Segkk3238_pilon.20, Acerv_evm.model.Segkk1554_pilon.5, Acerv_evm.model.Segkk1946_pilon.18, Acerv_evm.model.Segkk1343_pilon.13, Acerv_evm.model.Segkk3110_pilon.1, Acerv_evm.model.Segkk20_pilon.4, Acerv_evm.model.Segkk3431_pilon.24, Acerv_evm.model.Segkk1003_pilon.2, Acerv_evm.model.Segkk3056_pilon.7	Mcavernosa32676-RA, Mcavernosa06309-RA
OG0000024	Acerv_evm.model.Segkk759_pilon.27	Mcavernosa20066-RA
OG0000024	Acerv_evm.model.Segkk759_pilon.29	Mcavernosa20067-RA
OG0000026	Acerv_evm.model.Segkk3935_pilon.23, Acerv_evm.model.Segkk2481_pilon.46	Mcavernosa08390-RA
OG0000026	Acerv_evm.model.Segkk1150_pilon.1	Mcavernosa21836-RA, Mcavernosa35125-RA
OG0000026	Acerv_evm.model.Segkk1281_pilon.45	Mcavernosa30421-RA, Mcavernosa32102-RA
OG0000026	Acerv_evm.model.Segkk3084_pilon.21, Acerv_evm.model.Segkk3202_pilon.17, Acerv_evm.model.Segkk721_pilon.23, Acerv_evm.model.Segkk881_pilon.5, Acerv_evm.model.Segkk3202_pilon.18	Mcavernosa04078-RA
OG0000026	Acerv_evm.model.Segkk3084_pilon.22	Mcavernosa05764-RA
OG0000028	Acerv_evm.model.Segkk431_pilon.6, Acerv_evm.model.Segkk431_pilon.7	Mcavernosa12684-RA, Mcavernosa12683-RA
OG0000028	Acerv_evm.model.Segkk2482_pilon.7, Acerv_evm.model.Segkk2482_pilon.8	Mcavernosa06422-RA, Mcavernosa06424-RA, Mcavernosa06425-RA
OG0000029	Acerv_evm.model.Segkk702_pilon.11	Mcavernosa14374-RA
OG0000029	Acerv_evm.model.Segkk2354_pilon.12	Mcavernosa08557-RA
OG0000030	Acerv_evm.model.Segkk4232_pilon.5, Acerv_evm.model.Segkk4232_pilon.6	Mcavernosa11106-RA, Mcavernosa05559-RA
OG0000031	Acerv_evm.model.Segkk1796_pilon.23, Acerv_evm.model.Segkk1796_pilon.24, Acerv_evm.model.Segkk1796_pilon.22	Mcavernosa08071-RA, Mcavernosa08072-RA
OG0000031	Acerv_evm.model.Segkk150_pilon.22	Mcavernosa26713-RA
OG0000032	Acerv_evm.model.Segkk71_pilon.2	Mcavernosa07646-RA
OG0000032	Acerv_evm.model.Segkk1037_pilon.6	Mcavernosa32174-RA
OG0000033	Acerv_evm.model.Segkk4368_pilon.2, Acerv_evm.model.Segkk702_pilon.15, Acerv_evm.model.Segkk2481_pilon.81, Acerv_evm.model.Segkk548_pilon.13	Mcavernosa10155-RA
OG0000033	Acerv_evm.model.Segkk469_pilon.83, Acerv_evm.model.Segkk1344_pilon.4	Mcavernosa17863-RA
OG0000033	Acerv_evm.model.Segkk2814_pilon.8, Acerv_evm.model.Segkk3417_pilon.25, Acerv_evm.model.Segkk611_pilon.15	Mcavernosa23938-RA
OG0000033	Acerv_evm.model.Segkk1436_pilon.30	Mcavernosa34016-RA
OG0000033	Acerv_evm.model.Segkk1834_pilon.2	Mcavernosa15363-RA, Mcavernosa09402-RA
OG0000033	Acerv_evm.model.Segkk1516_pilon.2, Acerv_evm.model.Segkk3416_pilon.13, Acerv_evm.model.Segkk389_pilon.14	Mcavernosa06544-RA, Mcavernosa25679-RA
OG0000033	Acerv_evm.model.Segkk1436_pilon.19	Mcavernosa30294-RA
OG0000036	Acerv_evm.model.Segkk1432_pilon.7, Acerv_evm.model.Segkk2059_pilon.5, Acerv_evm.model.Segkk1432_pilon.8, Acerv_evm.model.Segkk1578_pilon.1, Acerv_evm.model.Segkk1432_pilon.6, Acerv_evm.model.Segkk463_pilon.30	Mcavernosa03546-RA, Mcavernosa16236-RA, Mcavernosa31507-RA
OG0000037	Acerv_evm.model.Segkk3741_pilon.11, Acerv_evm.model.Segkk3741_pilon.18, Acerv_evm.model.Segkk3741_pilon.15, Acerv_evm.model.Segkk4307_pilon.1, Acerv_evm.model.Segkk270_pilon.9, Acerv_evm.model.Segkk4307_pilon.2, Acerv_evm.model.Segkk3741_pilon.6, Acerv_evm.model.Segkk3741_pilon.19, Acerv_evm.model.Segkk270_pilon.11	Mcavernosa00565-RA, Mcavernosa00572-RA, Mcavernosa01197-RA
OG0000037	Acerv_evm.model.Segkk4318_pilon.12	Mcavernosa16912-RA, Mcavernosa33765-RA
OG0000038	Acerv_evm.model.Segkk2060_pilon.3, Acerv_evm.model.Segkk242_pilon.6, Acerv_evm.model.Segkk1400_pilon.20, Acerv_evm.model.Segkk3980_pilon.20	Mcavernosa14981-RA, Mcavernosa34429-RA, Mcavernosa26151-RA, Mcavernosa27468-RA, Mcavernosa10177-RA, Mcavernosa19921-RA, Mcavernosa31312-RA, Mcavernosa32947-RA
OG0000039	Acerv_evm.model.Segkk2564_pilon.5	Mcavernosa08607-RA
OG0000039	Acerv_evm.model.Segkk3668_pilon.30, Acerv_evm.model.Segkk827_pilon.5, Acerv_evm.model.Segkk827_pilon.1, Acerv_evm.model.Segkk827_pilon.7, Acerv_evm.model.Segkk3668_pilon.31, Acerv_evm.model.Segkk3668_pilon.29, Acerv_evm.model.Segkk827_pilon.4, Acerv_evm.model.Segkk3484_pilon.7, Acerv_evm.model.Segkk3484_pilon.11, Acerv_evm.model.Segkk3928_pilon.1, Acerv_evm.model.Segkk3668_pilon.28, Acerv_evm.model.Segkk3668_pilon.23, Acerv_evm.model.Segkk1010_pilon.4, Acerv_evm.model.Segkk1010_pilon.3	Mcavernosa31095-RA
OG0000040	Acerv_evm.model.Segkk2164_pilon.10, Acerv_evm.model.Segkk873_pilon.40, Acerv_evm.model.Segkk252_pilon.36	Mcavernosa29288-RA
OG0000040	Acerv_evm.model.Segkk873_pilon.12, Acerv_evm.model.Segkk33_pilon.6, Acerv_evm.model.Segkk1281_pilon.39	Mcavernosa29182-RA
OG0000042	Acerv_evm.model.Segkk2578_pilon.38	Mcavernosa21359-RA
OG0000043	Acerv_evm.model.Segkk1280_pilon.2, Acerv_evm.model.Segkk469_pilon.1, Acerv_evm.model.Segkk353_pilon.8, Acerv_evm.model.Segkk3572_pilon.16	Mcavernosa30463-RA
OG0000043	Acerv_evm.model.Segkk581_pilon.20, Acerv_evm.model.Segkk581_pilon.19, Acerv_evm.model.Segkk1868_pilon.64, Acerv_evm.model.Segkk574_pilon.1, Acerv_evm.model.Segkk3290_pilon.23, Acerv_evm.model.Segkk842_pilon.42, Acerv_evm.model.Segkk3364_pilon.29, Acerv_evm.model.Segkk102_pilon.1, Acerv_evm.model.Segkk1946_pilon.2, Acerv_evm.model.Segkk3528_pilon.3, Acerv_evm.model.Segkk2814_pilon.2, Acerv_evm.model.Segkk3403_pilon.7, Acerv_evm.model.Segkk875_pilon.5, Acerv_evm.model.Segkk555_pilon.8, Acerv_evm.model.Segkk3233_pilon.16, Acerv_evm.model.Segkk1316_pilon.29, Acerv_evm.model.Segkk3386_pilon.7, Acerv_evm.model.Segkk4255_pilon.29, Acerv_evm.model.Segkk552_pilon.13, Acerv_evm.model.Segkk2201_pilon.20, Acerv_evm.model.Segkk1630_pilon.3, Acerv_evm.model.Segkk1288_pilon.23	Mcavernosa05390-RA
OG0000044	Acerv_evm.model.Segkk1548_pilon.11	Mcavernosa29423-RA
OG0000044	Acerv_evm.model.Segkk3940_pilon.32	Mcavernosa12116-RA
OG0000044	Acerv_evm.model.Segkk4255_pilon.10	Mcavernosa26607-RA
OG0000048	Acerv_evm.model.Segkk1443_pilon.13, Acerv_evm.model.Segkk2808_pilon.3, Acerv_evm.model.Segkk2808_pilon.5, Acerv_evm.model.Segkk2808_pilon.1, Acerv_evm.model.Segkk2808_pilon.9, Acerv_evm.model.Segkk3446_pilon.2, Acerv_evm.model.Segkk2808_pilon.11, Acerv_evm.model.Segkk2808_pilon.8, Acerv_evm.model.Segkk1154_pilon.9, Acerv_evm.model.Segkk1443_pilon.14	Mcavernosa07912-RA
OG0000048	Acerv_evm.model.Segkk2594_pilon.28	Mcavernosa07916-RA, Mcavernosa07913-RA
OG0000049	Acerv_evm.model.Segkk4115_pilon.1, Acerv_evm.model.Segkk1759_pilon.1, Acerv_evm.model.Segkk3281_pilon.1	Mcavernosa17537-RA, Mcavernosa19027-RA
OG0000051	Acerv_evm.model.Segkk744_pilon.8, Acerv_evm.model.Segkk744_pilon.6, Acerv_evm.model.Segkk774_pilon.1	Mcavernosa32390-RA, Mcavernosa22649-RA, Mcavernosa35088-RA
OG0000051	Acerv_evm.model.Segkk4350_pilon.2	Mcavernosa32391-RA
OG0000051	Acerv_evm.model.Segkk744_pilon.9, Acerv_evm.model.Segkk744_pilon.1, Acerv_evm.model.Segkk2512_pilon.3, Acerv_evm.model.Segkk744_pilon.3, Acerv_evm.model.Segkk1708_pilon.7, Acerv_evm.model.Segkk1106_pilon.1	Mcavernosa22650-RA
OG0000051	Acerv_evm.model.Segkk1183_pilon.1, Acerv_evm.model.Segkk1693_pilon.4	Mcavernosa31795-RA
OG0000053	Acerv_evm.model.Segkk3693_pilon.7, Acerv_evm.model.Segkk3353_pilon.2	Mcavernosa27418-RA
OG0000053	Acerv_evm.model.Segkk4048_pilon.24, Acerv_evm.model.Segkk1880_pilon.8, Acerv_evm.model.Segkk4048_pilon.26, Acerv_evm.model.Segkk1117_pilon.4, Acerv_evm.model.Segkk2221_pilon.2, Acerv_evm.model.Segkk1880_pilon.11, Acerv_evm.model.Segkk1588_pilon.7, Acerv_evm.model.Segkk1880_pilon.7, Acerv_evm.model.Segkk4048_pilon.25, Acerv_evm.model.Segkk1588_pilon.8, Acerv_evm.model.Segkk1880_pilon.6, Acerv_evm.model.Segkk1880_pilon.12, Acerv_evm.model.Segkk1880_pilon.9, Acerv_evm.model.Segkk4048_pilon.20, Acerv_evm.model.Segkk1880_pilon.10, Acerv_evm.model.Segkk4048_pilon.17, Acerv_evm.model.Segkk2221_pilon.1, Acerv_evm.model.Segkk1117_pilon.3	Mcavernosa27416-RA, Mcavernosa22372-RA, Mcavernosa27417-RA, Mcavernosa22373-RA
OG0000055	Acerv_evm.model.Segkk2567_pilon.5, Acerv_evm.model.Segkk158_pilon.3, Acerv_evm.model.Segkk2152_pilon.3	Mcavernosa19954-RA, Mcavernosa33237-RA, Mcavernosa28132-RA, Mcavernosa23280-RA
OG0000058	Acerv_evm.model.Segkk687_pilon.13, Acerv_evm.model.Segkk186_pilon.2, Acerv_evm.model.Segkk582_pilon.8, Acerv_evm.model.Segkk921_pilon.4, Acerv_evm.model.Segkk4028_pilon.33, Acerv_evm.model.Segkk921_pilon.1, Acerv_evm.model.Segkk921_pilon.3, Acerv_evm.model.Segkk675_pilon.11, Acerv_evm.model.Segkk675_pilon.14, Acerv_evm.model.Segkk582_pilon.6, Acerv_evm.model.Segkk1386_pilon.15, Acerv_evm.model.Segkk582_pilon.10, Acerv_evm.model.Segkk675_pilon.4, Acerv_evm.model.Segkk2210_pilon.2, Acerv_evm.model.Segkk3063_pilon.2, Acerv_evm.model.Segkk675_pilon.6, Acerv_evm.model.Segkk1386_pilon.1, Acerv_evm.model.Segkk1386_pilon.12, Acerv_evm.model.Segkk1386_pilon.14, Acerv_evm.model.Segkk1373_pilon.1, Acerv_evm.model.Segkk186_pilon.3, Acerv_evm.model.Segkk3063_pilon.1, Acerv_evm.model.Segkk1961_pilon.1, Acerv_evm.model.Segkk675_pilon.10, Acerv_evm.model.Segkk921_pilon.2, Acerv_evm.model.Segkk3996_pilon.2, Acerv_evm.model.Segkk186_pilon.1, Acerv_evm.model.Segkk1386_pilon.11, Acerv_evm.model.Segkk1386_pilon.8	Mcavernosa28662-RA
OG0000060	Acerv_evm.model.Segkk2319_pilon.11	Mcavernosa12136-RA
OG0000060	Acerv_evm.model.Segkk3834_pilon.2, Acerv_evm.model.Segkk3479_pilon.5, Acerv_evm.model.Segkk2208_pilon.1, Acerv_evm.model.Segkk3254_pilon.2, Acerv_evm.model.Segkk122_pilon.2, Acerv_evm.model.Segkk122_pilon.3, Acerv_evm.model.Segkk3834_pilon.1, Acerv_evm.model.Segkk3834_pilon.3, Acerv_evm.model.Segkk2623_pilon.2, Acerv_evm.model.Segkk3479_pilon.3	Mcavernosa34575-RA
OG0000061	Acerv_evm.model.Segkk3376_pilon.21, Acerv_evm.model.Segkk3376_pilon.28, Acerv_evm.model.Segkk3376_pilon.27, Acerv_evm.model.Segkk4138_pilon.20, Acerv_evm.model.Segkk3609_pilon.5, Acerv_evm.model.Segkk3332_pilon.1, Acerv_evm.model.Segkk2715_pilon.19, Acerv_evm.model.Segkk155_pilon.4, Acerv_evm.model.Segkk3496_pilon.4, Acerv_evm.model.Segkk1197_pilon.14	Mcavernosa22468-RA, Mcavernosa21454-RA
OG0000061	Acerv_evm.model.Segkk4250_pilon.5, Acerv_evm.model.Segkk4138_pilon.21	Mcavernosa28889-RA, Mcavernosa17922-RA
OG0000061	Acerv_evm.model.Segkk3935_pilon.35, Acerv_evm.model.Segkk1281_pilon.50	Mcavernosa21842-RA, Mcavernosa10959-RA
OG0000063	Acerv_evm.model.Segkk3263_pilon.42	Mcavernosa09943-RA
OG0000068	Acerv_evm.model.Segkk1909_pilon.11	Mcavernosa10989-RA, Mcavernosa30593-RA
OG0000070	Acerv_evm.model.Segkk3633_pilon.25	Mcavernosa01233-RA
OG0000070	Acerv_evm.model.Segkk1366_pilon.9	Mcavernosa03395-RA
OG0000073	Acerv_evm.model.Segkk1861_pilon.2	Mcavernosa13032-RA, Mcavernosa05960-RA
OG0000073	Acerv_evm.model.Segkk1487_pilon.2, Acerv_evm.model.Segkk1120_pilon.4, Acerv_evm.model.Segkk646_pilon.13, Acerv_evm.model.Segkk2463_pilon.5, Acerv_evm.model.Segkk2222_pilon.5, Acerv_evm.model.Segkk4019_pilon.6, Acerv_evm.model.Segkk2308_pilon.2, Acerv_evm.model.Segkk643_pilon.21, Acerv_evm.model.Segkk2335_pilon.2, Acerv_evm.model.Segkk4019_pilon.5, Acerv_evm.model.Segkk4285_pilon.22, Acerv_evm.model.Segkk3900_pilon.22, Acerv_evm.model.Segkk679_pilon.10, Acerv_evm.model.Segkk3264_pilon.12, Acerv_evm.model.Segkk2122_pilon.4, Acerv_evm.model.Segkk2792_pilon.16, Acerv_evm.model.Segkk2164_pilon.15, Acerv_evm.model.Segkk2574_pilon.2	Mcavernosa26792-RA
OG0000079	Acerv_evm.model.Segkk344_pilon.1, Acerv_evm.model.Segkk4039_pilon.45, Acerv_evm.model.Segkk4039_pilon.48, Acerv_evm.model.Segkk1207_pilon.1, Acerv_evm.model.Segkk4039_pilon.49, Acerv_evm.model.Segkk399_pilon.4, Acerv_evm.model.Segkk399_pilon.2	Mcavernosa08890-RA
OG0000080	Acerv_evm.model.Segkk352_pilon.3	Mcavernosa03513-RA
OG0000080	Acerv_evm.model.Segkk718_pilon.2	Mcavernosa01964-RA, Mcavernosa01967-RA, Mcavernosa21321-RA, Mcavernosa13381-RA
OG0000080	Acerv_evm.model.Segkk904_pilon.1	Mcavernosa28333-RA
OG0000081	Acerv_evm.model.Segkk1436_pilon.8, Acerv_evm.model.Segkk3192_pilon.36	Mcavernosa10724-RA, Mcavernosa06335-RA
OG0000082	Acerv_evm.model.Segkk500_pilon.3, Acerv_evm.model.Segkk500_pilon.1	Mcavernosa24329-RA, Mcavernosa28166-RA, Mcavernosa28160-RA, Mcavernosa28161-RA, Mcavernosa24330-RA
OG0000083	Acerv_evm.model.Segkk4188_pilon.3	Mcavernosa04979-RA, Mcavernosa04977-RA
OG0000084	Acerv_evm.model.Segkk3896_pilon.2, Acerv_evm.model.Segkk94_pilon.9, Acerv_evm.model.Segkk2212_pilon.5, Acerv_evm.model.Segkk1455_pilon.1	Mcavernosa07904-RA
OG0000087	Acerv_evm.model.Segkk1489_pilon.5, Acerv_evm.model.Segkk3221_pilon.9, Acerv_evm.model.Segkk1489_pilon.6	Mcavernosa17557-RA, Mcavernosa17556-RA, Mcavernosa09501-RA
OG0000087	Acerv_evm.model.Segkk2314_pilon.1, Acerv_evm.model.Segkk2410_pilon.5	Mcavernosa30138-RA, Mcavernosa05649-RA, Mcavernosa27632-RA, Mcavernosa29983-RA
OG0000088	Acerv_evm.model.Segkk1782_pilon.20	Mcavernosa25231-RA, Mcavernosa16874-RA
OG0000088	Acerv_evm.model.Segkk961_pilon.1	Mcavernosa11047-RA
OG0000089	Acerv_evm.model.Segkk2264_pilon.22, Acerv_evm.model.Segkk1151_pilon.17, Acerv_evm.model.Segkk2904_pilon.4, Acerv_evm.model.Segkk3190_pilon.16	Mcavernosa19265-RA
OG0000089	Acerv_evm.model.Segkk28_pilon.4	Mcavernosa25784-RA, Mcavernosa33984-RA
OG0000089	Acerv_evm.model.Segkk3715_pilon.1, Acerv_evm.model.Segkk641_pilon.41, Acerv_evm.model.Segkk1995_pilon.8, Acerv_evm.model.Segkk1345_pilon.2, Acerv_evm.model.Segkk2307_pilon.6	Mcavernosa19264-RA
