Orthogroup	Mcavernosa.maker.proteins	Montipora_capitata_HIv2.genes.pep
OG0000008	Mcavernosa23941-RA	Montipora_capitata_PredGene_adi2mcaRNA31763_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA26716_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA19301_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA22623_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA38765_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA22623_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA38765_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA38774_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA26716_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA22623_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA35701_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA33078_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA38800_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA22623_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA22623_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA38767_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA38800_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA31412_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA22623_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA22623_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA1971_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA22623_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA22623_R5.t1, Montipora_capitata_PredGene_adi2mcaRNA38767_R5.t1, Montipora_capitata_PredGene_adi2mcaRNA33128_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA10252_R7.t1
OG0000008	Mcavernosa27182-RA	Montipora_capitata_PredGene_adi2mcaRNA22597_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA22790_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA22790_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA22790_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA22790_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA37403_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA22597_R1.t1
OG0000009	Mcavernosa18808-RA, Mcavernosa29373-RA, Mcavernosa18809-RA, Mcavernosa18811-RA	Montipora_capitata_PredGene_g68882.t1
OG0000010	Mcavernosa08812-RA	Montipora_capitata_PredGene_g273.t1, Montipora_capitata_PredGene_g30970.t1, Montipora_capitata_PredGene_g19848.t1, Montipora_capitata_PredGene_g48682.t1, Montipora_capitata_PredGene_g69738.t1, Montipora_capitata_PredGene_g69737.t1, Montipora_capitata_PredGene_g55883.t1, Montipora_capitata_PredGene_g25679.t1, Montipora_capitata_PredGene_g36736.t1, Montipora_capitata_PredGene_g27925.t1, Montipora_capitata_PredGene_g8222.t1, Montipora_capitata_PredGene_g62814.t1
OG0000010	Mcavernosa08814-RA	Montipora_capitata_PredGene_g4230.t1, Montipora_capitata_PredGene_g46294.t1, Montipora_capitata_PredGene_g46300.t1, Montipora_capitata_PredGene_g54949.t1
OG0000010	Mcavernosa24647-RA	Montipora_capitata_PredGene_adi2mcaRNA27420_R4.t1
OG0000010	Mcavernosa30129-RA	Montipora_capitata_PredGene_g2682.t1
OG0000010	Mcavernosa09742-RA, Mcavernosa32281-RA, Mcavernosa05088-RA	Montipora_capitata_PredGene_g52397.t1, Montipora_capitata_PredGene_adi2mcaRNA15662_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA15662_R7.t1
OG0000010	Mcavernosa27765-RA	Montipora_capitata_PredGene_g10331.t1, Montipora_capitata_PredGene_g24892.t1
OG0000010	Mcavernosa10792-RA, Mcavernosa08804-RA	Montipora_capitata_PredGene_g11819.t1
OG0000012	Mcavernosa26506-RA	Montipora_capitata_PredGene_g66343.t1, Montipora_capitata_PredGene_adi2mcaRNA17490_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA17490_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA17490_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA17490_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA31529_R9.t1, Montipora_capitata_PredGene_g21304.t1, Montipora_capitata_PredGene_g64588.t1, Montipora_capitata_PredGene_g1899.t1, Montipora_capitata_PredGene_g15540.t1, Montipora_capitata_PredGene_g56034.t1, Montipora_capitata_PredGene_g27097.t1, Montipora_capitata_PredGene_g17350.t1, Montipora_capitata_PredGene_g43473.t1, Montipora_capitata_PredGene_g70838.t1, Montipora_capitata_PredGene_g15226.t1, Montipora_capitata_PredGene_g23313.t1, Montipora_capitata_PredGene_g11475.t1, Montipora_capitata_PredGene_g16983.t1, Montipora_capitata_PredGene_g8276.t1, Montipora_capitata_PredGene_g70924.t1, Montipora_capitata_PredGene_g61244.t1, Montipora_capitata_PredGene_g17455.t1, Montipora_capitata_PredGene_g71626.t1, Montipora_capitata_PredGene_adi2mcaRNA31529_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA17490_R1.t1, Montipora_capitata_PredGene_g21913.t1
OG0000013	Mcavernosa01928-RA, Mcavernosa05514-RA, Mcavernosa31190-RA	Montipora_capitata_PredGene_g19904.t1
OG0000014	Mcavernosa04969-RA	Montipora_capitata_PredGene_g39223.t1, Montipora_capitata_PredGene_g66339.t1, Montipora_capitata_PredGene_g7271.t1
OG0000014	Mcavernosa35084-RA	Montipora_capitata_PredGene_g3357.t1, Montipora_capitata_PredGene_g24731.t1, Montipora_capitata_PredGene_adi2mcaRNA40399_R5.t1, Montipora_capitata_PredGene_adi2mcaRNA33538_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA33538_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA33538_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA33794_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA33794_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA18263_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA14456_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA14456_R2.t1, Montipora_capitata_PredGene_g41338.t1, Montipora_capitata_PredGene_adi2mcaRNA12649_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA18263_R5.t1, Montipora_capitata_PredGene_adi2mcaRNA18263_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA18263_R4.t1
OG0000014	Mcavernosa14358-RA	Montipora_capitata_PredGene_g63303.t1, Montipora_capitata_PredGene_g35222.t1, Montipora_capitata_PredGene_g15234.t1
OG0000015	Mcavernosa11759-RA	Montipora_capitata_PredGene_adi2mcaRNA4908_R5.t1, Montipora_capitata_PredGene_adi2mcaRNA11688_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA11688_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA11688_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA11688_R5.t1, Montipora_capitata_PredGene_g31023.t1, Montipora_capitata_PredGene_adi2mcaRNA33358_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA36098_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA28016_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA36238_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA28016_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA28016_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA28016_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA18093_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA18093_R5.t1, Montipora_capitata_PredGene_adi2mcaRNA18093_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA18093_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA18093_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA29532_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA29532_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA4167_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA4167_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA5409_R5.t1, Montipora_capitata_PredGene_adi2mcaRNA29532_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA28587_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA28587_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA28587_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA28587_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA32128_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA39280_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA39280_R5.t1, Montipora_capitata_PredGene_adi2mcaRNA39280_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA11688_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA11688_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA38622_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA38622_R0.t1
OG0000015	Mcavernosa19284-RA	Montipora_capitata_PredGene_g56369.t1, Montipora_capitata_PredGene_g42898.t1, Montipora_capitata_PredGene_adi2mcaRNA40240_R8.t1
OG0000016	Mcavernosa02666-RA	Montipora_capitata_PredGene_g26281.t1
OG0000017	Mcavernosa29991-RA	Montipora_capitata_PredGene_g25824.t1, Montipora_capitata_PredGene_g8799.t1
OG0000017	Mcavernosa26632-RA	Montipora_capitata_PredGene_g42748.t1, Montipora_capitata_PredGene_adi2mcaRNA34881_R1.t1
OG0000017	Mcavernosa24720-RA	Montipora_capitata_PredGene_g31428.t1, Montipora_capitata_PredGene_g69436.t1, Montipora_capitata_PredGene_g19385.t1, Montipora_capitata_PredGene_g59654.t1, Montipora_capitata_PredGene_g52240.t1, Montipora_capitata_PredGene_g10909.t1, Montipora_capitata_PredGene_g51248.t1
OG0000017	Mcavernosa13033-RA	Montipora_capitata_PredGene_g56557.t1
OG0000017	Mcavernosa16688-RA	Montipora_capitata_PredGene_adi2mcaRNA33542_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA33542_R3.t1
OG0000017	Mcavernosa32676-RA, Mcavernosa06309-RA	Montipora_capitata_PredGene_adi2mcaRNA34014_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA34014_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA34014_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA34014_R9.t1, Montipora_capitata_PredGene_g11671.t1, Montipora_capitata_PredGene_g38385.t1, Montipora_capitata_PredGene_g1645.t1, Montipora_capitata_PredGene_g23763.t1, Montipora_capitata_PredGene_g13939.t1, Montipora_capitata_PredGene_g64547.t1, Montipora_capitata_PredGene_g15790.t1
OG0000022	Mcavernosa09517-RA	Montipora_capitata_PredGene_adi2mcaRNA15523_R9.t1, Montipora_capitata_PredGene_g12762.t1, Montipora_capitata_PredGene_g23343.t1, Montipora_capitata_PredGene_g15981.t1
OG0000024	Mcavernosa20067-RA	Montipora_capitata_PredGene_g66889.t1, Montipora_capitata_PredGene_g66891.t1
OG0000024	Mcavernosa28462-RA, Mcavernosa28463-RA, Mcavernosa28460-RA	Montipora_capitata_PredGene_g32499.t1
OG0000026	Mcavernosa19226-RA	Montipora_capitata_PredGene_g5245.t1
OG0000026	Mcavernosa08390-RA	Montipora_capitata_PredGene_g56420.t1, Montipora_capitata_PredGene_adi2mcaRNA27522_R3.t1, Montipora_capitata_PredGene_g34111.t1, Montipora_capitata_PredGene_g17935.t1, Montipora_capitata_PredGene_adi2mcaRNA27522_R5.t1, Montipora_capitata_PredGene_g34110.t1
OG0000026	Mcavernosa30421-RA, Mcavernosa32102-RA	Montipora_capitata_PredGene_g34671.t1
OG0000026	Mcavernosa23528-RA	Montipora_capitata_PredGene_g23089.t1, Montipora_capitata_PredGene_g30797.t1
OG0000026	Mcavernosa27409-RA	Montipora_capitata_PredGene_g65173.t1
OG0000026	Mcavernosa23527-RA, Mcavernosa27410-RA	Montipora_capitata_PredGene_g65174.t1
OG0000026	Mcavernosa04078-RA	Montipora_capitata_PredGene_g394.t1, Montipora_capitata_PredGene_g49831.t1, Montipora_capitata_PredGene_g24767.t1, Montipora_capitata_PredGene_g34363.t1, Montipora_capitata_PredGene_g62269.t1
OG0000026	Mcavernosa05764-RA	Montipora_capitata_PredGene_g1034.t1
OG0000027	Mcavernosa02283-RA, Mcavernosa02284-RA	Montipora_capitata_PredGene_g38273.t1
OG0000028	Mcavernosa12684-RA, Mcavernosa12683-RA	Montipora_capitata_PredGene_g66627.t1
OG0000029	Mcavernosa14374-RA	Montipora_capitata_PredGene_adi2mcaRNA9615_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA9615_R0.t1
OG0000029	Mcavernosa08557-RA	Montipora_capitata_PredGene_g59174.t1, Montipora_capitata_PredGene_g60171.t1, Montipora_capitata_PredGene_g65973.t1, Montipora_capitata_PredGene_g14353.t1
OG0000031	Mcavernosa26713-RA	Montipora_capitata_PredGene_g49226.t1
OG0000032	Mcavernosa04771-RA, Mcavernosa20647-RA, Mcavernosa35142-RA	Montipora_capitata_PredGene_g33864.t1
OG0000032	Mcavernosa07646-RA	Montipora_capitata_PredGene_g48923.t1, Montipora_capitata_PredGene_g3290.t1, Montipora_capitata_PredGene_g61412.t1, Montipora_capitata_PredGene_g38806.t1
OG0000032	Mcavernosa32174-RA	Montipora_capitata_PredGene_g38384.t1, Montipora_capitata_PredGene_g64549.t1, Montipora_capitata_PredGene_g38687.t1, Montipora_capitata_PredGene_g10764.t1, Montipora_capitata_PredGene_g5807.t1, Montipora_capitata_PredGene_g16434.t1
OG0000033	Mcavernosa10155-RA	Montipora_capitata_PredGene_adi2mcaRNA6994_R2.t1, Montipora_capitata_PredGene_g4095.t1
OG0000033	Mcavernosa07294-RA	Montipora_capitata_PredGene_g45059.t1, Montipora_capitata_PredGene_adi2mcaRNA14220_R5.t1, Montipora_capitata_PredGene_g1245.t1
OG0000033	Mcavernosa34016-RA	Montipora_capitata_PredGene_g30297.t1, Montipora_capitata_PredGene_g1796.t1, Montipora_capitata_PredGene_g54837.t1
OG0000033	Mcavernosa15363-RA, Mcavernosa09402-RA	Montipora_capitata_PredGene_g51887.t1
OG0000033	Mcavernosa30294-RA	Montipora_capitata_PredGene_g44203.t1
OG0000036	Mcavernosa03546-RA, Mcavernosa16236-RA, Mcavernosa31507-RA	Montipora_capitata_PredGene_g400.t1, Montipora_capitata_PredGene_g70645.t1, Montipora_capitata_PredGene_g395.t1, Montipora_capitata_PredGene_g9797.t1, Montipora_capitata_PredGene_g8328.t1, Montipora_capitata_PredGene_g403.t1, Montipora_capitata_PredGene_adi2mcaRNA36696_R6.t1, Montipora_capitata_PredGene_g70644.t1, Montipora_capitata_PredGene_g70656.t1, Montipora_capitata_PredGene_g14374.t1, Montipora_capitata_PredGene_g15052.t1, Montipora_capitata_PredGene_adi2mcaRNA36695_R4.t1, Montipora_capitata_PredGene_g70657.t1, Montipora_capitata_PredGene_g7474.t1, Montipora_capitata_PredGene_g70643.t1, Montipora_capitata_PredGene_g391.t1, Montipora_capitata_PredGene_g18207.t1
OG0000037	Mcavernosa16912-RA, Mcavernosa33765-RA	Montipora_capitata_PredGene_g24351.t1
OG0000038	Mcavernosa29578-RA, Mcavernosa04064-RA	Montipora_capitata_PredGene_g10984.t1, Montipora_capitata_PredGene_g22028.t1, Montipora_capitata_PredGene_adi2mcaRNA13775_R4.t1, Montipora_capitata_PredGene_g43382.t1, Montipora_capitata_PredGene_g51582.t1
OG0000038	Mcavernosa14349-RA, Mcavernosa34602-RA, Mcavernosa27772-RA, Mcavernosa04619-RA	Montipora_capitata_PredGene_g56574.t1, Montipora_capitata_PredGene_g59172.t1, Montipora_capitata_PredGene_adi2mcaRNA20891_R4.t1
OG0000038	Mcavernosa17466-RA	Montipora_capitata_PredGene_adi2mcaRNA20891_R8.t1
OG0000038	Mcavernosa19066-RA, Mcavernosa33626-RA	Montipora_capitata_PredGene_adi2mcaRNA566_R1.t1, Montipora_capitata_PredGene_g52978.t1
OG0000038	Mcavernosa27180-RA	Montipora_capitata_PredGene_g23640.t1
OG0000038	Mcavernosa04065-RA	Montipora_capitata_PredGene_g1993.t1
OG0000038	Mcavernosa30227-RA	Montipora_capitata_PredGene_adi2mcaRNA22934_R9.t1
OG0000038	Mcavernosa27468-RA	Montipora_capitata_PredGene_adi2mcaRNA22933_R0.t1
OG0000038	Mcavernosa32947-RA	Montipora_capitata_PredGene_adi2mcaRNA38986_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA39004_R9.t1, Montipora_capitata_PredGene_g29408.t1, Montipora_capitata_PredGene_g19476.t1, Montipora_capitata_PredGene_g28046.t1
OG0000039	Mcavernosa08607-RA	Montipora_capitata_PredGene_g13996.t1
OG0000039	Mcavernosa31095-RA	Montipora_capitata_PredGene_g40273.t1, Montipora_capitata_PredGene_adi2mcaRNA29772_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA9523_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA35244_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA9523_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA9523_R5.t1, Montipora_capitata_PredGene_g9980.t1, Montipora_capitata_PredGene_g54179.t1, Montipora_capitata_PredGene_adi2mcaRNA9523_R9.t1
OG0000040	Mcavernosa33843-RA	Montipora_capitata_PredGene_g65364.t1
OG0000040	Mcavernosa29288-RA	Montipora_capitata_PredGene_g30261.t1
OG0000040	Mcavernosa29182-RA	Montipora_capitata_PredGene_g65853.t1, Montipora_capitata_PredGene_g63948.t1, Montipora_capitata_PredGene_adi2mcaRNA586_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA586_R2.t1, Montipora_capitata_PredGene_g65709.t1, Montipora_capitata_PredGene_adi2mcaRNA23738_R1.t1
OG0000041	Mcavernosa29757-RA	Montipora_capitata_PredGene_g65025.t1, Montipora_capitata_PredGene_g32396.t1, Montipora_capitata_PredGene_g35630.t1, Montipora_capitata_PredGene_g18309.t1, Montipora_capitata_PredGene_g49803.t1, Montipora_capitata_PredGene_g53019.t1, Montipora_capitata_PredGene_g67143.t1, Montipora_capitata_PredGene_g36779.t1, Montipora_capitata_PredGene_g24870.t1, Montipora_capitata_PredGene_g65128.t1, Montipora_capitata_PredGene_g39056.t1, Montipora_capitata_PredGene_g5336.t1
OG0000042	Mcavernosa21359-RA	Montipora_capitata_PredGene_g27710.t1, Montipora_capitata_PredGene_g25883.t1, Montipora_capitata_PredGene_g55911.t1, Montipora_capitata_PredGene_g37612.t1, Montipora_capitata_PredGene_g18676.t1, Montipora_capitata_PredGene_adi2mcaRNA23291_R9.t1
OG0000043	Mcavernosa30463-RA	Montipora_capitata_PredGene_g29642.t1
OG0000043	Mcavernosa28640-RA	Montipora_capitata_PredGene_g7352.t1
OG0000043	Mcavernosa05390-RA	Montipora_capitata_PredGene_adi2mcaRNA9235_R1.t1, Montipora_capitata_PredGene_g20328.t1, Montipora_capitata_PredGene_g5735.t1, Montipora_capitata_PredGene_adi2mcaRNA9235_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA9235_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA9235_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA9235_R5.t1, Montipora_capitata_PredGene_adi2mcaRNA9235_R9.t1, Montipora_capitata_PredGene_g22122.t1, Montipora_capitata_PredGene_g67063.t1, Montipora_capitata_PredGene_adi2mcaRNA19296_R7.t1, Montipora_capitata_PredGene_g66438.t1, Montipora_capitata_PredGene_g50135.t1
OG0000044	Mcavernosa29423-RA	Montipora_capitata_PredGene_g23002.t1, Montipora_capitata_PredGene_adi2mcaRNA31064_R9.t1
OG0000044	Mcavernosa26607-RA	Montipora_capitata_PredGene_g642.t1, Montipora_capitata_PredGene_g954.t1, Montipora_capitata_PredGene_g42207.t1
OG0000046	Mcavernosa16709-RA	Montipora_capitata_PredGene_g8836.t1
OG0000046	Mcavernosa00477-RA, Mcavernosa02618-RA	Montipora_capitata_PredGene_g63500.t1, Montipora_capitata_PredGene_g56875.t1, Montipora_capitata_PredGene_g16899.t1, Montipora_capitata_PredGene_g12356.t1, Montipora_capitata_PredGene_g8831.t1, Montipora_capitata_PredGene_g56866.t1, Montipora_capitata_PredGene_g32262.t1, Montipora_capitata_PredGene_g12353.t1, Montipora_capitata_PredGene_g12358.t1, Montipora_capitata_PredGene_g16893.t1, Montipora_capitata_PredGene_g16895.t1, Montipora_capitata_PredGene_g5322.t1, Montipora_capitata_PredGene_g67619.t1, Montipora_capitata_PredGene_g22787.t1, Montipora_capitata_PredGene_g32256.t1, Montipora_capitata_PredGene_g31903.t1, Montipora_capitata_PredGene_g32255.t1, Montipora_capitata_PredGene_g32261.t1
OG0000048	Mcavernosa07912-RA	Montipora_capitata_PredGene_g35464.t1, Montipora_capitata_PredGene_adi2mcaRNA7455_R3.t1, Montipora_capitata_PredGene_g35051.t1, Montipora_capitata_PredGene_adi2mcaRNA13982_R2.t1, Montipora_capitata_PredGene_g35460.t1, Montipora_capitata_PredGene_g35049.t1, Montipora_capitata_PredGene_g69817.t1, Montipora_capitata_PredGene_g35050.t1, Montipora_capitata_PredGene_g35459.t1, Montipora_capitata_PredGene_g35052.t1, Montipora_capitata_PredGene_g35463.t1
OG0000048	Mcavernosa07916-RA, Mcavernosa07913-RA	Montipora_capitata_PredGene_g24283.t1
OG0000049	Mcavernosa33475-RA	Montipora_capitata_PredGene_adi2mcaRNA38246_R2.t1
OG0000049	Mcavernosa17536-RA, Mcavernosa17539-RA, Mcavernosa29161-RA, Mcavernosa19055-RA, Mcavernosa19028-RA, Mcavernosa17538-RA	Montipora_capitata_PredGene_adi2mcaRNA39413_R2.t1
OG0000049	Mcavernosa17537-RA, Mcavernosa19027-RA	Montipora_capitata_PredGene_adi2mcaRNA41049_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA18171_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA38021_R6.t1
OG0000051	Mcavernosa32390-RA, Mcavernosa22649-RA, Mcavernosa35088-RA	Montipora_capitata_PredGene_g35357.t1
OG0000051	Mcavernosa22650-RA	Montipora_capitata_PredGene_g35337.t1, Montipora_capitata_PredGene_g38296.t1, Montipora_capitata_PredGene_g35338.t1, Montipora_capitata_PredGene_g35353.t1, Montipora_capitata_PredGene_g35359.t1
OG0000052	Mcavernosa07140-RA	Montipora_capitata_PredGene_g43362.t1
OG0000052	Mcavernosa31972-RA	Montipora_capitata_PredGene_g9370.t1
OG0000052	Mcavernosa25561-RA	Montipora_capitata_PredGene_g32595.t1
