Orthogroup	plut2v1.1.proteins	Mcavernosa.maker.proteins
OG0000016	plut2.m8.23502.m1	Mcavernosa02666-RA
OG0000016	plut2.m8.33465.m1, plut2.m8.21889.m1	Mcavernosa11354-RA, Mcavernosa26144-RA, Mcavernosa17232-RA, Mcavernosa02665-RA, Mcavernosa08533-RA
OG0000022	jamg1.model.xfSc0000010.12, jamg1.model.Sc0000009.46, jamg1.model.Sc0000214.15, jamg1.model.Sc0000653.9, jamg1.model.xpSc0007232.11, jamg1.model.Sc0000254.7, jamg1.model.Sc0000456.17	Mcavernosa09517-RA
OG0000024	plut2.m8.20440.m1	Mcavernosa20066-RA
OG0000024	plut2.m8.14242.m1, plut2.m8.14241.m1	Mcavernosa21314-RA, Mcavernosa21315-RA
OG0000024	plut2.m8.5900.m1, plut2.m8.20442.m1	Mcavernosa20067-RA
OG0000024	plut2.m8.6938.m1	Mcavernosa28462-RA, Mcavernosa28463-RA, Mcavernosa28460-RA
OG0000025	plut2.m8.24164.m1	Mcavernosa17511-RA
OG0000026	plut2.m8.24033.m1	Mcavernosa21836-RA
OG0000026	plut2.m8.4389.m1	Mcavernosa35125-RA
OG0000026	plut2.m8.31728.m1	Mcavernosa11914-RA, Mcavernosa23528-RA, Mcavernosa27409-RA, Mcavernosa35169-RA, Mcavernosa23527-RA, Mcavernosa27410-RA, Mcavernosa04078-RA, Mcavernosa05764-RA
OG0000027	plut2.m8.24865.m1, plut2.m8.24867.m1, plut2.m8.24335.m1, plut2.m8.31329.m1, plut2.m8.19044.m1, plut2.m8.24332.m1	Mcavernosa02283-RA, Mcavernosa02284-RA
OG0000028	plut2.m8.29557.m1	Mcavernosa12684-RA
OG0000028	plut2.m8.15565.m1, plut2.m8.15561.m1, plut2.m8.15562.m1	Mcavernosa12683-RA
OG0000028	plut2.m8.18835.m1, plut2.m8.1918.m1	Mcavernosa06422-RA, Mcavernosa06424-RA, Mcavernosa06425-RA
OG0000030	plut2.m8.16968.m1	Mcavernosa11106-RA, Mcavernosa05559-RA
OG0000031	jamg1.model.xpSc0007142.5, jamg1.model.Sc0000021.101, plut2.m8.2680.m1, plut2.m8.25314.m1, plut2.m8.15690.m1, plut2.m8.33175.m1, plut2.m8.25313.m1, plut2.m8.15691.m1, plut2.m8.33176.m1, plut2.m8.15689.m1, plut2.m8.15688.m1, plut2.m8.14383.m1, plut2.m8.14369.m1, plut2.m8.7886.m1, plut2.m8.33424.m1, plut2.m8.32360.m1, plut2.m8.2662.m1, plut2.m8.33044.m1, plut2.m8.6312.m1, plut2.m8.18661.m1, plut2.m8.29943.m1, plut2.m8.18666.m1	Mcavernosa08071-RA, Mcavernosa08072-RA
OG0000031	plut2.m8.14069.m1	Mcavernosa26713-RA, Mcavernosa26712-RA
OG0000033	plut2.m8.31867.m1	Mcavernosa23938-RA
OG0000033	plut2.m8.32987.m1	Mcavernosa07294-RA
OG0000033	plut2.m8.1599.m1, plut2.m8.31134.m1	Mcavernosa34016-RA
OG0000033	plut2.m8.19878.m1	Mcavernosa15363-RA, Mcavernosa09402-RA, Mcavernosa06544-RA, Mcavernosa25679-RA
OG0000036	plut2.m8.19906.m1	Mcavernosa03546-RA, Mcavernosa16236-RA, Mcavernosa31507-RA
OG0000036	plut2.m8.21490.m1, plut2.m8.21491.m1, plut2.m8.22829.m1, plut2.m8.22828.m1, plut2.m8.21489.m1, plut2.m8.21488.m1, plut2.m8.21487.m1, plut2.m8.2929.m1, plut2.m8.4782.m1, plut2.m8.2932.m1	Mcavernosa14061-RA, Mcavernosa14062-RA
OG0000037	plut2.m8.14295.m1	Mcavernosa00565-RA, Mcavernosa00572-RA, Mcavernosa01197-RA
OG0000038	jamg1.model.Sc0000804.2, plut2.m8.26291.m1	Mcavernosa29578-RA, Mcavernosa04064-RA, Mcavernosa14349-RA, Mcavernosa34602-RA, Mcavernosa27772-RA, Mcavernosa04619-RA, Mcavernosa27512-RA
OG0000038	plut2.m8.32801.m1	Mcavernosa27180-RA
OG0000038	plut2.m8.26344.m1, plut2.m8.21788.m1, plut2.m8.25055.m1	Mcavernosa26151-RA, Mcavernosa27468-RA, Mcavernosa10177-RA, Mcavernosa19921-RA, Mcavernosa31312-RA
OG0000039	plut2.m8.22055.m1, plut2.m8.15501.m1, plut2.m8.4800.m1, plut2.m8.15500.m1, plut2.m8.15587.m1, plut2.m8.15504.m1, plut2.m8.15505.m1	Mcavernosa08607-RA
OG0000039	plut2.m8.4028.m1, plut2.m8.28318.m1, plut2.m8.770.m1, plut2.m8.20364.m1, plut2.m8.775.m1, plut2.m8.7207.m1, plut2.m8.752.m1, plut2.m8.10615.m1, plut2.m8.21999.m1, plut2.m8.10624.m1, plut2.m8.21988.m1, plut2.m8.21994.m1, plut2.m8.26094.m1, plut2.m8.4240.m1, plut2.m8.26099.m1, plut2.m8.4238.m1, plut2.m8.4239.m1, plut2.m8.26096.m1, plut2.m8.26093.m1, plut2.m8.26095.m1, plut2.m8.33491.m1, plut2.m8.26098.m1, plut2.m8.4243.m1, plut2.m8.29915.m1, plut2.m8.22435.m1, plut2.m8.7726.m1, plut2.m8.17890.m1, plut2.m8.29108.m1, plut2.m8.29105.m1, plut2.m8.16341.m1, plut2.m8.16336.m1, plut2.m8.16339.m1, plut2.m8.16340.m1, plut2.m8.16324.m1, plut2.m8.6585.m1, plut2.m8.16328.m1	Mcavernosa31095-RA
OG0000040	jamg1.model.Sc0000665.13	Mcavernosa33843-RA, Mcavernosa29288-RA, Mcavernosa29182-RA
OG0000041	jamg1.model.Sc0000636.12, jamg1.model.Sc0000047.70	Mcavernosa29757-RA
OG0000043	plut2.m8.24079.m1, plut2.m8.22282.m1, plut2.m8.28799.m1, jamg1.model.Sc0000198.22, jamg1.model.xfSc0000589.1	Mcavernosa05390-RA
OG0000044	plut2.m8.22418.m1	Mcavernosa26607-RA
OG0000046	plut2.m8.5315.m1, plut2.m8.11491.m1, jamg1.model.xpSc0007138.2	Mcavernosa16709-RA
OG0000046	plut2.m8.24520.m1, plut2.m8.24517.m1, plut2.m8.12502.m1	Mcavernosa00477-RA, Mcavernosa02618-RA
OG0000048	plut2.m8.7800.m1	Mcavernosa07912-RA
OG0000049	plut2.m8.14059.m1, plut2.m8.9353.m1, plut2.m8.33464.m1, plut2.m8.4941.m1, plut2.m8.2032.m1	Mcavernosa33475-RA
OG0000049	plut2.m8.22389.m1, plut2.m8.25080.m1, plut2.m8.19348.m1, plut2.m8.28886.m1, plut2.m8.32925.m1	Mcavernosa17536-RA, Mcavernosa17539-RA, Mcavernosa29161-RA, Mcavernosa19055-RA, Mcavernosa19028-RA, Mcavernosa17538-RA
OG0000049	plut2.m8.15112.m1, jamg1.model.Sc0000211.52	Mcavernosa17537-RA, Mcavernosa19027-RA
OG0000049	plut2.m8.2018.m1	Mcavernosa17819-RA
OG0000051	plut2.m8.21956.m1	Mcavernosa22649-RA
OG0000051	plut2.m8.27791.m1, plut2.m8.25869.m1, plut2.m8.31594.m1, plut2.m8.27789.m1, plut2.m8.23050.m1, plut2.m8.25870.m1, plut2.m8.9223.m1, plut2.m8.9228.m1	Mcavernosa32391-RA
OG0000051	plut2.m8.9229.m1, plut2.m8.12326.m1, plut2.m8.12322.m1, plut2.m8.21955.m1, plut2.m8.12327.m1, plut2.m8.22534.m1, plut2.m8.12323.m1, plut2.m8.21939.m1, plut2.m8.12325.m1, plut2.m8.22530.m1, plut2.m8.21945.m1, plut2.m8.22531.m1, plut2.m8.12389.m1	Mcavernosa22650-RA
OG0000052	plut2.m8.15705.m1	Mcavernosa07140-RA
OG0000052	plut2.m8.4221.m1, plut2.m8.4223.m1, plut2.m8.4222.m1	Mcavernosa31972-RA
OG0000052	plut2.m8.14950.m1, plut2.m8.14948.m1, plut2.m8.14949.m1, plut2.m8.2040.m1	Mcavernosa25562-RA
OG0000053	plut2.m8.24214.m1	Mcavernosa27418-RA
OG0000053	plut2.m8.24223.m1, plut2.m8.24211.m1, plut2.m8.24210.m1, plut2.m8.24222.m1, plut2.m8.24228.m1, plut2.m8.24227.m1, plut2.m8.24219.m1, plut2.m8.24220.m1, plut2.m8.16458.m1, plut2.m8.24209.m1, plut2.m8.24208.m1, plut2.m8.24226.m1, plut2.m8.24207.m1, plut2.m8.24212.m1, plut2.m8.24204.m1, plut2.m8.24217.m1, plut2.m8.24216.m1, plut2.m8.24215.m1, plut2.m8.24225.m1	Mcavernosa27416-RA, Mcavernosa22372-RA, Mcavernosa27417-RA, Mcavernosa22373-RA
OG0000055	plut2.m8.16108.m1, jamg1.model.Sc0000023.123	Mcavernosa19954-RA, Mcavernosa33237-RA, Mcavernosa28132-RA, Mcavernosa23280-RA
OG0000056	plut2.m8.14277.m1	Mcavernosa00495-RA
OG0000058	plut2.m8.4525.m1, plut2.m8.4514.m1, plut2.m8.31145.m1, jamg1.model.Sc0000040.31, plut2.m8.31147.m1, plut2.m8.4503.m1, plut2.m8.31148.m1, plut2.m8.4510.m1, plut2.m8.4512.m1, plut2.m8.4515.m1, plut2.m8.4516.m1, plut2.m8.4513.m1, plut2.m8.4484.m1, plut2.m8.4485.m1, plut2.m8.33555.m1, plut2.m8.4487.m1, plut2.m8.11102.m1, plut2.m8.11099.m1, plut2.m8.11108.m1, plut2.m8.4486.m1, jamg1.model.Sc0000137.8, plut2.m8.4530.m1, plut2.m8.4526.m1, plut2.m8.4524.m1	Mcavernosa28662-RA
OG0000060	plut2.m8.9053.m1, plut2.m8.33383.m1, plut2.m8.9045.m1	Mcavernosa12136-RA
OG0000060	plut2.m8.25595.m1, plut2.m8.17726.m1, plut2.m8.17728.m1, plut2.m8.20051.m1, plut2.m8.20050.m1, plut2.m8.5831.m1, plut2.m8.26060.m1, plut2.m8.26062.m1, plut2.m8.25591.m1, plut2.m8.25596.m1, plut2.m8.25597.m1, plut2.m8.25590.m1	Mcavernosa34575-RA
OG0000061	plut2.m8.15784.m1	Mcavernosa22468-RA, Mcavernosa21454-RA
OG0000061	plut2.m8.4572.m1, plut2.m8.17611.m1	Mcavernosa28889-RA, Mcavernosa17922-RA
OG0000061	plut2.m8.32342.m1	Mcavernosa21842-RA, Mcavernosa10959-RA
OG0000063	plut2.m8.3413.m1, plut2.m8.26442.m1	Mcavernosa09943-RA
OG0000065	jamg1.model.Sc0000013.139, plut2.m8.1796.m1	Mcavernosa23210-RA, Mcavernosa32765-RA
OG0000065	plut2.m8.24625.m1	Mcavernosa23212-RA
OG0000068	plut2.m8.11498.m1, plut2.m8.11359.m1	Mcavernosa21417-RA, Mcavernosa01704-RA
OG0000070	plut2.m8.32130.m1	Mcavernosa23025-RA
OG0000070	plut2.m8.19859.m1	Mcavernosa01233-RA
OG0000072	plut2.m8.14809.m1	Mcavernosa02331-RA
OG0000072	plut2.m8.13166.m1	Mcavernosa27209-RA, Mcavernosa33386-RA, Mcavernosa06945-RA, Mcavernosa11532-RA, Mcavernosa30422-RA
OG0000079	plut2.m8.15316.m1, plut2.m8.11142.m1, plut2.m8.15319.m1, plut2.m8.17815.m1, plut2.m8.17816.m1, plut2.m8.28455.m1, plut2.m8.28451.m1, plut2.m8.28453.m1, plut2.m8.28454.m1, jamg1.model.xfSc0000112.12, plut2.m8.28460.m1, plut2.m8.28459.m1, plut2.m8.17810.m1, plut2.m8.17809.m1, plut2.m8.17812.m1, plut2.m8.29655.m1, plut2.m8.29656.m1, plut2.m8.29653.m1, plut2.m8.29657.m1, plut2.m8.14261.m1, plut2.m8.22038.m1	Mcavernosa08890-RA
OG0000080	plut2.m8.12441.m1	Mcavernosa16945-RA
OG0000080	plut2.m8.30939.m1	Mcavernosa13380-RA
OG0000080	plut2.m8.29667.m1, plut2.m8.21461.m1	Mcavernosa01964-RA
OG0000080	plut2.m8.21481.m1, plut2.m8.21474.m1, plut2.m8.21475.m1	Mcavernosa01967-RA
OG0000080	plut2.m8.21480.m1, plut2.m8.26553.m1, plut2.m8.21473.m1, plut2.m8.21478.m1, plut2.m8.15348.m1, plut2.m8.21476.m1, plut2.m8.21479.m1, plut2.m8.21477.m1, plut2.m8.21482.m1	Mcavernosa28335-RA, Mcavernosa28336-RA, Mcavernosa01966-RA
OG0000080	plut2.m8.21469.m1, plut2.m8.29664.m1, plut2.m8.21468.m1, plut2.m8.21460.m1	Mcavernosa28333-RA
OG0000081	plut2.m8.4575.m1	Mcavernosa10724-RA, Mcavernosa06335-RA
OG0000082	plut2.m8.25305.m1	Mcavernosa24329-RA, Mcavernosa28166-RA, Mcavernosa28160-RA, Mcavernosa28161-RA, Mcavernosa24330-RA
OG0000083	plut2.m8.15810.m1	Mcavernosa26646-RA
OG0000084	plut2.m8.5002.m1, plut2.m8.5005.m1, plut2.m8.25905.m1	Mcavernosa07904-RA
OG0000087	jamg1.model.Sc0000707.3	Mcavernosa17557-RA, Mcavernosa17556-RA, Mcavernosa09501-RA
OG0000087	plut2.m8.20420.m1, plut2.m8.25902.m1, plut2.m8.9582.m1	Mcavernosa30138-RA, Mcavernosa05649-RA
OG0000087	plut2.m8.14233.m1, plut2.m8.14915.m1, plut2.m8.320.m1, plut2.m8.17828.m1	Mcavernosa27632-RA
OG0000087	plut2.m8.31249.m1, plut2.m8.31250.m1	Mcavernosa29983-RA
OG0000088	plut2.m8.8494.m1	Mcavernosa25231-RA, Mcavernosa16874-RA
OG0000088	plut2.m8.28447.m1, plut2.m8.28446.m1, plut2.m8.4881.m1, plut2.m8.17408.m1, plut2.m8.17409.m1, plut2.m8.17410.m1, plut2.m8.18055.m1, plut2.m8.4891.m1, plut2.m8.4890.m1, plut2.m8.6813.m1, plut2.m8.6814.m1, plut2.m8.4888.m1, plut2.m8.4886.m1, plut2.m8.4892.m1, plut2.m8.33462.m1, plut2.m8.4895.m1	Mcavernosa11047-RA
OG0000089	plut2.m8.26689.m1	Mcavernosa19265-RA
OG0000089	plut2.m8.29829.m1, plut2.m8.8878.m1, plut2.m8.32005.m1	Mcavernosa19264-RA
OG0000090	plut2.m8.23127.m1, plut2.m8.23133.m1, plut2.m8.23131.m1, plut2.m8.23132.m1, plut2.m8.31122.m1, plut2.m8.23122.m1, plut2.m8.31121.m1, plut2.m8.23125.m1	Mcavernosa31911-RA, Mcavernosa23365-RA, Mcavernosa33624-RA, Mcavernosa17893-RA, Mcavernosa31914-RA
OG0000090	plut2.m8.33178.m1, plut2.m8.33593.m1	Mcavernosa31912-RA, Mcavernosa31910-RA
OG0000092	jamg1.model.Sc0000509.11	Mcavernosa29307-RA
OG0000092	plut2.m8.2922.m1	Mcavernosa30106-RA
OG0000093	plut2.m8.22931.m1, plut2.m8.25961.m1, plut2.m8.18922.m1, plut2.m8.4940.m1, plut2.m8.15807.m1	Mcavernosa22177-RA, Mcavernosa28973-RA, Mcavernosa22182-RA
OG0000093	plut2.m8.19850.m1, plut2.m8.24763.m1	Mcavernosa17858-RA
OG0000093	plut2.m8.16863.m1	Mcavernosa23251-RA
OG0000095	plut2.m8.25851.m1	Mcavernosa30441-RA, Mcavernosa19081-RA, Mcavernosa33385-RA, Mcavernosa27530-RA, Mcavernosa35041-RA
OG0000095	jamg1.model.Sc0000520.7	Mcavernosa05588-RA
OG0000095	jamg1.model.Sc0000465.5	Mcavernosa16624-RA, Mcavernosa34764-RA, Mcavernosa29497-RA, Mcavernosa26915-RA, Mcavernosa14472-RA
OG0000097	plut2.m8.31980.m1, plut2.m8.19274.m1	Mcavernosa01703-RA, Mcavernosa21418-RA
OG0000097	plut2.m8.24767.m1, plut2.m8.27365.m1, plut2.m8.32738.m1	Mcavernosa04648-RA, Mcavernosa04647-RA
OG0000098	plut2.m8.23512.m1, plut2.m8.23511.m1	Mcavernosa19438-RA
OG0000099	jamg1.model.Sc0000465.15	Mcavernosa26601-RA, Mcavernosa27775-RA
OG0000099	plut2.m8.31771.m1	Mcavernosa35119-RA, Mcavernosa15254-RA
OG0000102	jamg1.model.xfSc0000057.8	Mcavernosa32662-RA
OG0000102	plut2.m8.24068.m1	Mcavernosa13173-RA, Mcavernosa24357-RA, Mcavernosa05190-RA, Mcavernosa33810-RA
OG0000103	plut2.m8.16380.m1	Mcavernosa11573-RA
OG0000106	jamg1.model.Sc0000160.71	Mcavernosa29861-RA, Mcavernosa31858-RA, Mcavernosa11153-RA, Mcavernosa22154-RA, Mcavernosa21692-RA, Mcavernosa02243-RA, Mcavernosa29057-RA
OG0000108	plut2.m8.23364.m1, plut2.m8.23362.m1, plut2.m8.7282.m1	Mcavernosa33265-RA, Mcavernosa24775-RA, Mcavernosa19090-RA, Mcavernosa30468-RA, Mcavernosa29157-RA, Mcavernosa04549-RA, Mcavernosa11148-RA, Mcavernosa04769-RA, Mcavernosa32249-RA
OG0000108	plut2.m8.31598.m1	Mcavernosa33565-RA
OG0000108	plut2.m8.30978.m1	Mcavernosa26922-RA, Mcavernosa30540-RA, Mcavernosa16297-RA, Mcavernosa32097-RA
OG0000109	plut2.m8.33056.m1	Mcavernosa35073-RA, Mcavernosa00408-RA, Mcavernosa03198-RA, Mcavernosa11849-RA, Mcavernosa18963-RA, Mcavernosa05769-RA, Mcavernosa25668-RA, Mcavernosa21457-RA, Mcavernosa31374-RA
OG0000110	jamg1.model.Sc0000019.95	Mcavernosa33384-RA, Mcavernosa30440-RA, Mcavernosa19080-RA, Mcavernosa00584-RA
OG0000110	jamg1.model.Sc0000284.4	Mcavernosa33383-RA, Mcavernosa34688-RA
OG0000110	plut2.m8.32103.m1	Mcavernosa34762-RA
OG0000112	jamg1.model.Sc0000484.4	Mcavernosa14437-RA
OG0000114	plut2.m8.19567.m1, plut2.m8.25382.m1	Mcavernosa33996-RA, Mcavernosa12914-RA, Mcavernosa09888-RA, Mcavernosa09882-RA, Mcavernosa17840-RA
OG0000115	plut2.m8.29519.m1, plut2.m8.21745.m1, plut2.m8.32953.m1, plut2.m8.21744.m1, plut2.m8.32954.m1, plut2.m8.32952.m1, plut2.m8.29517.m1, plut2.m8.21746.m1, plut2.m8.29514.m1, plut2.m8.21747.m1, plut2.m8.32951.m1, plut2.m8.32957.m1, plut2.m8.29516.m1, plut2.m8.23493.m1, plut2.m8.23494.m1, plut2.m8.29515.m1, plut2.m8.32955.m1, plut2.m8.32950.m1, plut2.m8.17057.m1	Mcavernosa16149-RA, Mcavernosa22487-RA, Mcavernosa32819-RA, Mcavernosa34677-RA, Mcavernosa15349-RA
OG0000116	jamg1.model.Sc0000079.8, plut2.m8.7685.m1, jamg1.model.Sc0000689.3, jamg1.model.Sc0000688.9, plut2.m8.31459.m1, jamg1.model.Sc0000688.7, plut2.m8.25328.m1, plut2.m8.7688.m1, plut2.m8.33141.m1, plut2.m8.7693.m1, plut2.m8.7697.m1, plut2.m8.7694.m1, plut2.m8.7692.m1, plut2.m8.7696.m1, jamg1.model.Sc0000079.4, plut2.m8.7686.m1, plut2.m8.33222.m1, plut2.m8.33525.m1, plut2.m8.25327.m1, plut2.m8.7706.m1, jamg1.model.Sc0000079.10, jamg1.model.xfSc0000223.2, jamg1.model.Sc0000688.5, plut2.m8.33142.m1, plut2.m8.33434.m1, plut2.m8.25326.m1, plut2.m8.33221.m1, plut2.m8.27613.m1, plut2.m8.27617.m1, jamg1.model.xfSc0000020.43	Mcavernosa20864-RA
OG0000117	plut2.m8.14901.m1	Mcavernosa03767-RA, Mcavernosa22773-RA
OG0000118	plut2.m8.10922.m1, plut2.m8.30662.m1, plut2.m8.33308.m1	Mcavernosa07350-RA
OG0000118	jamg1.model.Sc0000015.119, plut2.m8.924.m1	Mcavernosa32911-RA, Mcavernosa26966-RA, Mcavernosa29056-RA, Mcavernosa00569-RA, Mcavernosa22265-RA
OG0000118	plut2.m8.21859.m1, plut2.m8.32790.m1, plut2.m8.20617.m1, plut2.m8.32085.m1	Mcavernosa32969-RA
OG0000121	plut2.m8.11523.m1	Mcavernosa29093-RA, Mcavernosa09509-RA, Mcavernosa27652-RA, Mcavernosa30542-RA
OG0000122	plut2.m8.9924.m1, plut2.m8.23141.m1	Mcavernosa25907-RA, Mcavernosa29534-RA
OG0000124	jamg1.model.Sc0000551.10, jamg1.model.Sc0000625.16, jamg1.model.Sc0000551.6	Mcavernosa12464-RA, Mcavernosa12462-RA
OG0000124	jamg1.model.Sc0000014.25	Mcavernosa12458-RA, Mcavernosa12456-RA, Mcavernosa12459-RA
OG0000124	jamg1.model.Sc0000551.11, jamg1.model.Sc0000551.7, jamg1.model.Sc0000014.24, jamg1.model.Sc0000551.9	Mcavernosa12461-RA
OG0000127	plut2.m8.32009.m1	Mcavernosa27878-RA, Mcavernosa27866-RA, Mcavernosa15770-RA, Mcavernosa27867-RA, Mcavernosa27868-RA
OG0000128	plut2.m8.14802.m1, plut2.m8.30993.m1	Mcavernosa32176-RA, Mcavernosa11551-RA, Mcavernosa19109-RA
OG0000128	plut2.m8.10315.m1	Mcavernosa32175-RA
OG0000130	plut2.m8.9553.m1, plut2.m8.9552.m1	Mcavernosa11352-RA
OG0000131	plut2.m8.18657.m1	Mcavernosa29840-RA, Mcavernosa34392-RA, Mcavernosa00475-RA
OG0000133	plut2.m8.18899.m1	Mcavernosa30686-RA, Mcavernosa29559-RA, Mcavernosa22332-RA, Mcavernosa33856-RA, Mcavernosa33430-RA
OG0000133	plut2.m8.25135.m1	Mcavernosa24058-RA
OG0000135	plut2.m8.456.m1	Mcavernosa20102-RA
OG0000135	plut2.m8.8809.m1, plut2.m8.7166.m1, plut2.m8.7169.m1	Mcavernosa11005-RA, Mcavernosa24673-RA
OG0000135	plut2.m8.11231.m1	Mcavernosa23995-RA
OG0000135	plut2.m8.7315.m1, plut2.m8.14924.m1, plut2.m8.7301.m1, plut2.m8.14939.m1, plut2.m8.33358.m1, plut2.m8.10620.m1, plut2.m8.8804.m1	Mcavernosa10157-RA
OG0000135	plut2.m8.2322.m1	Mcavernosa04570-RA
OG0000138	plut2.m8.9245.m1	Mcavernosa32360-RA, Mcavernosa32357-RA
OG0000138	plut2.m8.9242.m1	Mcavernosa32367-RA
OG0000138	plut2.m8.9910.m1	Mcavernosa30039-RA
OG0000140	plut2.m8.2174.m1	Mcavernosa08157-RA
OG0000141	plut2.m8.16601.m1	Mcavernosa22056-RA, Mcavernosa22277-RA
OG0000142	plut2.m8.25656.m1	Mcavernosa17832-RA, Mcavernosa14859-RA
OG0000143	plut2.m8.31613.m1	Mcavernosa13017-RA, Mcavernosa02826-RA
