gene_id,11_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,1_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,28_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,2_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,35_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,36_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,38_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,39_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,41_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,42_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,47_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,4_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf
STRG.4062,12,1,1,0,2,1,1,2,1,0,1,2
Pocillopora_acuta_HIv1_PredGene_g23079.t1,0,0,0,0,0,0,0,0,0,0,0,0
STRG.6064,7,0,0,0,0,0,0,0,0,0,0,6
MSTRG.25520,12,4,0,0,4,5,7,0,0,4,6,10
MSTRG.20529,51,44,43,16,37,49,58,78,113,43,44,61
MSTRG.20528,33,19,7,9,23,12,20,40,57,19,18,38
MSTRG.20525,390,207,100,25,201,267,218,340,496,197,159,263
MSTRG.20524,77,21,15,20,35,40,32,34,56,34,16,38
Pocillopora_acuta_HIv1_PredGene_g5379.t1,0,0,0,1,0,0,0,0,0,0,0,0
MSTRG.10525,615,422,272,131,418,296,430,841,1051,458,231,778
MSTRG.20521,4,5,6,0,6,0,13,10,25,8,0,15
MSTRG.20520,1012,344,216,335,385,274,441,1027,970,440,139,1020
MSTRG.20523,16,15,16,8,25,11,20,45,39,21,8,24
MSTRG.20522,5,2,0,0,0,0,0,4,3,0,0,5
MSTRG.17321,297,133,93,114,155,143,182,319,355,213,106,294
MSTRG.17320,372,136,121,62,148,183,167,355,424,177,147,287
MSTRG.17323,137,74,65,110,89,92,108,187,174,119,70,200
MSTRG.17322,313,168,80,96,171,161,237,420,441,179,130,341
MSTRG.17325,173,184,172,140,101,136,201,384,394,166,162,440
MSTRG.17324,10,0,4,0,0,0,5,0,0,0,7,0
MSTRG.17327,133,103,83,58,67,114,149,219,277,111,67,235
MSTRG.17326,516,243,133,132,164,227,293,437,484,289,163,435
MSTRG.17329,1040,502,413,403,585,476,588,1411,1544,653,382,1189
MSTRG.17328,3250,1562,1051,811,1593,1519,1987,4120,4411,1664,1524,2938
MSTRG.16050,81,18,12,30,25,46,25,38,61,16,9,25
MSTRG.16051,8,2,0,6,1,3,4,0,0,0,0,0
MSTRG.16052,22,19,12,19,18,35,30,20,27,18,10,21
MSTRG.16053,19,3,4,20,3,18,11,2,6,7,2,6
MSTRG.16054,78,27,16,49,22,42,42,66,83,26,10,81
MSTRG.16055,29,8,5,7,11,13,11,20,23,8,3,23
MSTRG.16056,30,32,21,25,28,35,52,80,93,33,18,81
MSTRG.16057,3,6,6,12,5,13,14,8,16,8,4,16
MSTRG.16058,6,4,4,9,5,7,6,6,6,5,3,6
MSTRG.16059,47,10,8,46,11,42,12,7,9,8,4,8
Pocillopora_acuta_HIv1_PredGene_g16878.t1,0,0,0,1,0,0,0,0,0,0,0,0
MSTRG.25348,316,177,84,52,158,158,196,296,498,174,178,398
MSTRG.25349,117,85,76,80,93,57,104,219,216,96,64,126
MSTRG.25342,44,34,22,37,47,44,52,53,53,73,37,24
MSTRG.25343,61,38,19,19,47,36,43,88,94,46,29,71
MSTRG.25340,61,28,9,10,18,30,28,43,51,24,7,35
MSTRG.25341,94,93,50,21,62,72,138,130,186,57,55,123
MSTRG.25346,14,11,2,3,5,5,9,8,10,0,4,14
Pocillopora_acuta_HIv1_PredGene_g31178.t1,0,0,0,1,1,0,0,0,0,0,1,1
MSTRG.25344,27,43,22,11,37,17,60,81,82,38,32,88
MSTRG.25345,12,0,0,15,4,11,6,0,0,0,13,15
MSTRG.9593,18,8,10,6,4,12,18,23,17,7,13,16
MSTRG.5509,71,73,30,20,61,75,81,112,139,76,39,97
MSTRG.5508,140,54,42,0,62,57,44,139,177,72,44,138
Pocillopora_acuta_HIv1_PredGene_g8670.t1,0,3,1,0,1,0,1,0,0,2,0,0
MSTRG.5501,15,8,3,4,6,12,9,9,7,4,4,0
MSTRG.5500,150,73,48,49,68,64,100,167,192,88,57,154
MSTRG.5503,21,5,4,3,6,11,6,24,9,4,0,4
MSTRG.5502,15,5,4,4,6,15,10,23,14,10,0,0
MSTRG.5505,280,172,87,48,183,131,162,415,480,182,118,336
MSTRG.5504,189,110,83,44,124,117,165,249,270,118,68,187
MSTRG.5507,656,245,182,92,534,424,368,684,894,432,284,481
MSTRG.5506,143,62,58,17,116,89,73,150,202,86,66,158
MSTRG.2024,66,80,92,44,64,71,117,112,197,71,84,190
MSTRG.7051,81,27,15,32,30,63,37,31,31,32,56,144
Pocillopora_acuta_HIv1_PredGene_g8186.t1,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.7050,70,15,12,22,20,64,19,34,31,15,35,155
MSTRG.7053,75,54,34,14,51,37,51,84,116,60,21,78
MSTRG.7052,59,30,24,14,41,34,37,42,50,33,24,36
Pocillopora_acuta_HIv1_PredGene_g5149.t1,0,0,0,0,0,0,0,1,0,0,0,0
MSTRG.886,57,86,47,60,80,86,126,122,132,77,136,208
Pocillopora_acuta_HIv1_PredGene_g1557.t1,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g23397.t1,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g24788.t1,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g19971.t1,0,0,0,0,0,1,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g26098.t1,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.22588,98,36,40,10,66,58,28,70,83,42,76,76
MSTRG.11585,267,89,70,58,165,142,111,270,293,143,74,228
MSTRG.11584,1138,578,430,360,628,494,716,1379,1399,600,462,1190
Pocillopora_acuta_HIv1_PredGene_g18385.t1,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.11582,83,45,18,0,31,30,49,82,124,37,25,70
MSTRG.11581,113,61,46,24,71,51,81,157,183,66,42,135
MSTRG.11580,7,8,4,7,0,5,8,5,6,7,4,3
MSTRG.22581,33,66,62,18,98,52,78,77,63,93,47,17
MSTRG.22580,215,70,72,24,133,52,80,170,253,117,61,256
MSTRG.22583,8,6,2,0,8,2,6,7,11,6,15,42
MSTRG.22582,68,27,22,11,26,48,43,60,94,44,8,27
MSTRG.22585,926,233,253,186,408,520,238,571,622,364,244,880
MSTRG.22584,76,57,30,14,86,20,32,96,143,80,22,52
MSTRG.22587,194,75,59,80,82,124,73,137,125,106,126,194
MSTRG.22586,181,45,43,32,70,102,44,154,134,71,77,158
MSTRG.16588,48,14,12,29,17,19,26,50,54,23,9,29
MSTRG.16589,203,64,55,128,58,108,78,155,128,58,39,187
MSTRG.16582,1893,650,279,696,610,696,673,1264,1614,741,635,1012
MSTRG.16583,186,155,95,90,102,82,157,262,310,123,65,184
MSTRG.16580,172,171,89,49,133,118,176,281,368,154,105,239
MSTRG.16581,59,30,26,34,23,27,41,59,67,43,18,63
Pocillopora_acuta_HIv1_PredGene_g6400.t1,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.16587,36,0,0,2,0,0,0,0,0,0,0,0
MSTRG.16584,5,3,7,1,7,4,2,7,14,7,1,3
MSTRG.16585,3,3,2,4,1,3,2,3,4,2,1,4
MSTRG.11059,20,6,5,0,6,6,7,17,16,7,4,29
MSTRG.11058,25,17,12,2,13,13,28,18,42,14,5,24
MSTRG.11051,47,36,33,12,54,36,42,60,81,41,44,41
MSTRG.11050,26,11,10,3,10,8,7,24,35,11,8,26
MSTRG.11053,145,78,53,23,144,111,108,148,204,86,52,122
MSTRG.11052,55,52,48,27,61,42,66,124,109,68,92,97
MSTRG.11055,181,108,85,58,112,108,111,249,226,85,59,206
MSTRG.11054,52,43,39,16,70,54,46,133,99,47,34,77
MSTRG.11057,4,6,4,3,7,3,8,2,4,7,1,5
MSTRG.11056,15,0,2,5,0,0,0,0,0,0,0,12
MSTRG.9492,968,451,256,222,612,438,571,1031,1264,593,272,670
MSTRG.23186,0,0,1,0,0,0,0,0,0,0,0,0
MSTRG.23187,604,666,314,179,495,462,960,1296,1539,592,265,719
MSTRG.23184,70,13,16,7,17,17,11,41,51,16,13,84
MSTRG.23185,22,116,73,17,111,22,145,287,312,143,112,13
MSTRG.23182,0,6,0,0,6,4,10,0,16,5,8,0
MSTRG.23183,9,8,9,3,12,9,9,21,26,11,6,15
Pocillopora_acuta_HIv1_PredGene_g2176.t1,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.23181,6,16,11,0,8,5,20,18,21,18,16,0
Pocillopora_acuta_HIv1_PredGene_g18387.t1,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.23188,55,93,44,24,58,41,113,120,183,76,19,60
MSTRG.23189,40,36,24,40,44,24,49,60,66,31,14,20
Pocillopora_acuta_HIv1_PredGene_17472_t,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g3702.t1,0,0,0,0,0,0,0,2,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g30549.t1,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.18021,1,15,9,1,18,6,27,33,27,15,3,23
Pocillopora_acuta_HIv1_PredGene_g26286.t1,0,0,0,0,0,1,0,0,0,1,0,0
Pocillopora_acuta_HIv1_PredGene_g28282.t1,0,0,0,0,0,0,0,0,0,0,0,1
MSTRG.15770,34,29,15,49,17,24,16,45,41,31,27,38
Pocillopora_acuta_HIv1_PredGene_g22589.t1,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.15772,44,8,10,0,25,12,9,36,34,17,12,55
MSTRG.15773,166,89,45,21,116,118,87,141,179,94,93,270
MSTRG.15774,252,269,113,36,248,93,217,372,440,262,140,275
MSTRG.15775,11,0,0,0,0,11,0,0,0,0,0,6
MSTRG.15776,0,1,0,2,0,0,0,0,0,0,0,0
MSTRG.15777,9,10,4,12,16,13,11,0,35,15,3,14
MSTRG.15778,0,8,0,0,13,0,8,22,15,9,0,0
MSTRG.15779,99,68,24,33,51,98,110,162,128,60,0,0
MSTRG.11552,40,26,26,15,38,20,23,69,62,28,15,17
STRG.24422,1,0,0,0,0,0,0,1,0,1,0,0
MSTRG.10720,55,81,63,51,42,59,108,106,173,77,49,119
MSTRG.10721,110,62,63,16,132,72,81,146,172,111,47,61
MSTRG.10722,136,65,40,19,96,96,69,154,183,71,32,108
MSTRG.10723,180,99,84,141,81,123,132,169,240,105,60,174
MSTRG.10724,1363,609,358,97,838,708,664,1304,1529,731,433,1013
MSTRG.10725,74,42,27,27,46,43,51,119,102,61,42,73
MSTRG.10726,36,37,40,53,31,26,39,103,99,43,28,87
MSTRG.10727,38,45,32,13,38,27,57,78,136,55,33,76
Pocillopora_acuta_HIv1_PredGene_g24816.t1,0,2,1,0,0,0,0,1,4,0,1,0
MSTRG.10729,0,10,8,7,9,7,14,33,16,13,9,13
Pocillopora_acuta_HIv1_PredGene_g10928.t1,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.11553,3,0,0,2,0,2,0,0,2,1,0,1
Pocillopora_acuta_HIv1_PredGene_g17542.t1,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g2914.t1,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g3543.t1,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g10833.t1,0,0,0,0,0,0,0,0,0,0,0,0
STRG.17154,2,1,1,1,2,2,2,3,2,2,2,0
Pocillopora_acuta_HIv1_PredGene_g7724.t1,0,1,0,0,0,0,0,1,0,1,0,0
MSTRG.12768,104,37,37,64,35,87,44,73,93,47,50,105
MSTRG.12769,111,1,0,56,0,70,0,0,0,0,0,0
MSTRG.12762,9947,2522,3021,1942,4285,4603,2044,6959,7354,3438,3279,6996
MSTRG.12763,179,104,74,106,134,111,160,235,256,164,85,163
MSTRG.12760,44,5,3,2,8,5,8,12,9,9,0,0
MSTRG.12761,272,195,108,46,227,166,226,434,495,202,137,254
MSTRG.12766,8,5,0,0,0,0,0,13,21,9,3,15
MSTRG.12767,135,75,40,17,71,45,73,182,176,78,47,163
MSTRG.12764,208,135,92,68,182,144,179,341,378,160,96,237
MSTRG.12765,4,4,5,0,7,0,4,11,10,4,6,0
MSTRG.10898,89,30,21,12,54,38,43,114,126,50,23,69
MSTRG.10899,253,129,71,48,110,125,194,289,340,142,98,213
MSTRG.10892,277,176,110,87,231,142,247,412,430,238,155,240
MSTRG.10893,23,93,35,19,134,27,95,206,200,106,28,60
MSTRG.10890,0,2,1,2,2,1,3,0,1,0,2,1
MSTRG.10891,0,8,5,5,7,8,12,6,8,7,4,5
MSTRG.10896,0,0,0,0,0,1,1,0,0,0,0,3
MSTRG.10897,136,130,82,46,98,125,210,281,341,144,108,285
MSTRG.10894,335,215,112,274,178,187,333,594,381,187,132,391
MSTRG.10895,495,151,94,33,203,217,180,350,436,213,0,302
MSTRG.17048,9,3,3,5,2,7,3,3,3,4,7,0
MSTRG.17049,52,17,10,7,16,19,13,27,26,19,20,0
Pocillopora_acuta_HIv1_PredGene_g3858.t1,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.17041,66,23,22,54,23,51,42,36,34,25,0,42
MSTRG.17042,36,45,38,70,34,29,48,71,89,50,41,21
MSTRG.17043,0,0,0,0,0,0,1,0,0,3,0,0
