gene_id,11_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,1_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,28_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,2_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,35_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,36_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,38_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,39_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,41_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,42_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,47_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,4_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf
STRG.4992,164,112,63,63,66,98,178,312,288,112,20,468
STRG.4995,7,4,2,3,5,5,10,8,9,2,0,9
STRG.4994,6,5,3,1,6,2,7,12,19,4,4,13
STRG.4997,595,198,143,114,308,307,256,517,588,286,202,797
STRG.4996,33,0,15,9,0,31,29,54,38,29,14,46
STRG.4999,73,17,5,8,26,23,29,125,154,29,22,107
STRG.4998,146,64,66,44,89,77,90,223,210,99,52,152
Pocillopora_acuta_HIv1_PredGene_g1502.t1,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g5569.t1,0,0,0,0,0,0,0,0,0,0,2,3
Pocillopora_acuta_HIv1_PredGene_g7275.t1,0,0,2,3,0,0,0,0,0,0,0,0
STRG.257,13,9,4,4,10,8,14,30,19,9,6,7
STRG.256,12,11,6,9,6,7,25,41,32,12,4,20
STRG.255,5,1,3,4,2,5,1,2,2,1,2,1
STRG.254,48,20,18,29,30,25,36,46,88,48,12,44
STRG.253,4,0,4,3,2,0,5,0,0,0,5,0
STRG.252,88,50,39,60,61,56,79,154,151,86,37,129
STRG.251,13,1,1,2,2,3,0,0,1,1,1,12
STRG.250,6,0,0,0,0,0,0,0,2,2,0,6
Pocillopora_acuta_HIv1_PredGene_g10356.t1,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g19662.t2,0,0,0,0,0,0,0,0,0,2,1,153
STRG.258,33381,12426,14787,5315,21725,17369,9302,32119,29244,17684,14137,31322
Pocillopora_acuta_HIv1_PredGene_g23251.t1,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g23002.t1,0,2,2,1,2,1,2,1,3,1,1,2
Pocillopora_acuta_HIv1_PredGene_g18907.t1,0,3,0,0,8,10,5,0,5,8,0,0
Pocillopora_acuta_HIv1_PredGene_g657.t1,0,2,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g1500.t1,0,1,1,1,1,0,0,0,0,1,0,2
STRG.2434,492,20,13,22,29,49,29,236,298,27,22,123
STRG.21124,52,38,36,29,32,32,50,84,72,35,27,63
STRG.10338,49,74,52,21,66,41,97,149,127,77,27,143
STRG.21122,66,46,33,36,76,25,77,166,172,82,35,69
STRG.21123,50,43,42,45,55,56,89,120,127,93,51,142
STRG.21120,1,5,6,3,6,1,6,1,3,5,2,2
STRG.2435,909,181,125,158,279,493,313,394,390,262,204,429
STRG.10333,11,7,10,4,10,9,8,19,13,12,9,15
STRG.10332,5,21,14,1,25,6,16,48,74,25,18,39
STRG.10331,29,10,10,0,22,9,10,33,47,16,0,30
STRG.10330,150,99,79,5,150,84,106,265,318,123,61,122
Pocillopora_acuta_HIv1_PredGene_g17490.t1,0,0,0,0,0,0,0,0,0,0,0,0
STRG.10336,5,3,3,0,5,1,4,16,9,5,1,10
Pocillopora_acuta_HIv1_PredGene_g20740.t1,0,0,0,0,0,0,0,0,0,0,0,0
STRG.10334,2,1,1,0,2,1,2,7,8,3,1,7
STRG.20839,96,115,75,31,85,62,140,205,242,118,65,226
STRG.20838,62,67,79,53,72,69,100,166,214,103,57,225
Pocillopora_acuta_HIv1_PredGene_g32053.t2,0,0,0,0,0,0,0,0,0,0,0,0
STRG.20833,59,27,14,18,23,26,41,86,44,30,31,77
STRG.2430,393,91,75,37,180,116,128,236,303,126,87,211
STRG.20831,339,172,83,98,142,188,186,300,340,163,108,275
STRG.20830,54,33,34,41,47,55,57,86,103,64,62,81
STRG.20837,6,3,0,0,0,0,0,0,0,0,3,0
STRG.20836,54,30,12,17,25,23,55,83,62,19,19,66
STRG.20835,4,7,5,5,0,6,29,12,13,0,7,12
STRG.20834,50,25,21,18,29,23,25,52,68,31,28,38
STRG.17572,2304,700,474,1702,585,730,278,2669,3134,1225,630,2352
Pocillopora_acuta_HIv1_PredGene_g23253.t1,0,0,0,0,0,0,0,0,0,0,0,0
STRG.17573,1,0,0,0,0,0,0,0,1,0,0,0
Pocillopora_acuta_HIv1_PredGene_g18927.t1,0,0,0,0,0,0,0,0,0,0,0,0
STRG.3509,17,19,21,9,13,8,24,60,63,28,28,179
Pocillopora_acuta_HIv1_PredGene_g24626.t1,0,2,1,0,1,1,1,2,1,1,1,0
STRG.3507,12,12,17,10,10,10,22,30,30,21,16,74
STRG.17578,41,18,11,12,17,17,17,25,34,14,15,25
STRG.3505,7,3,3,1,5,3,6,10,21,4,1,18
STRG.3504,2,3,2,0,4,0,6,8,3,0,0,5
STRG.3503,48,109,64,12,81,28,174,188,205,64,0,224
STRG.3502,14,8,4,7,4,9,5,12,16,10,3,8
STRG.3501,145,37,21,37,37,52,45,89,66,36,21,53
STRG.3500,613,186,77,53,181,236,208,519,476,160,179,572
STRG.25711,54,22,16,17,25,18,36,67,75,24,17,31
Pocillopora_acuta_HIv1_PredGene_g25690.t1,0,1,0,0,0,7,1,0,0,0,2,0
STRG.25713,6,4,3,3,3,3,8,10,6,4,2,5
STRG.25712,1872,715,381,243,779,709,834,1558,1960,868,470,848
STRG.25715,95,27,19,11,33,42,24,85,64,43,33,78
Pocillopora_acuta_HIv1_PredGene_g26794.t1,0,1,0,0,0,0,0,0,0,1,0,1
STRG.25717,22,6,5,2,8,13,6,12,12,10,5,7
STRG.25716,31,0,0,0,0,25,0,30,24,16,0,12
STRG.25719,4,1,1,4,1,3,3,1,0,1,2,1
STRG.25718,112,0,0,22,1,94,0,0,1,0,95,99
STRG.7086,5,0,0,0,0,5,0,0,0,0,0,0
STRG.7087,6,3,0,4,0,2,3,10,2,0,0,20
STRG.7084,151,81,62,77,84,83,100,162,172,86,42,151
STRG.7085,15,4,3,6,4,12,4,17,8,0,4,6
STRG.7082,98,47,35,45,59,48,61,131,106,67,36,118
STRG.7083,5,3,1,2,3,4,3,10,10,2,2,3
STRG.7080,1,1,0,0,0,2,0,0,0,0,1,1
STRG.7081,1,1,2,1,1,2,2,2,3,1,1,4
Pocillopora_acuta_HIv1_PredGene_g30309.t1,0,0,0,0,0,5,0,0,0,0,0,0
STRG.7089,828,159,75,66,268,178,182,594,688,280,17,235
STRG.16680,228,97,65,33,113,128,110,176,245,140,90,209
STRG.1866,39,23,22,10,22,28,32,58,57,42,11,60
STRG.1867,740,392,255,346,406,405,521,935,923,450,241,835
STRG.14058,39,10,0,23,7,34,11,22,33,10,15,64
STRG.1865,8,10,11,8,8,8,8,23,19,11,7,20
STRG.1862,16,313,36,10,150,148,304,110,276,115,239,30
STRG.1863,138,152,125,133,128,92,197,297,345,156,96,337
STRG.1860,46,19,15,9,33,25,19,39,58,30,25,43
STRG.1861,66,80,92,44,64,71,117,112,197,71,84,190
Pocillopora_acuta_HIv1_PredGene_g19319.t1,0,0,0,0,0,0,0,0,0,0,0,0
STRG.14053,5,1,0,4,1,6,1,2,0,0,0,1
STRG.14050,9,8,3,0,0,6,10,10,16,0,6,17
STRG.14051,32,0,0,0,0,0,0,36,38,0,0,0
STRG.14056,64,27,18,16,24,33,28,63,61,30,13,31
STRG.14057,70,23,13,14,17,42,26,10,45,21,8,52
STRG.14054,2,2,1,1,2,1,3,3,5,2,1,0
STRG.1869,456,166,90,105,159,167,182,388,459,179,121,253
STRG.16995,5,5,1,2,5,5,7,5,14,4,2,7
STRG.8508,35,20,21,3,36,28,45,57,69,26,14,48
STRG.8509,201,81,66,16,150,87,83,259,282,119,40,160
STRG.7338,4,0,1,2,0,1,1,1,0,0,0,0
STRG.7339,12,0,0,0,0,0,0,0,11,0,0,10
STRG.16994,16,7,4,2,6,6,6,22,19,8,6,7
STRG.8502,164,85,70,102,103,80,138,196,241,113,73,140
STRG.7335,27,23,16,0,18,14,13,27,44,14,13,7
STRG.8500,29,18,10,20,26,22,42,47,38,23,7,104
STRG.8501,823,260,196,341,351,298,296,762,757,392,246,566
STRG.8506,42,65,16,52,28,64,175,94,70,50,222,47
STRG.7331,14,0,0,0,0,11,0,0,0,0,6,0
STRG.8504,265,147,35,91,141,404,208,116,248,98,223,164
STRG.8505,203,186,152,99,105,165,262,210,486,213,177,533
STRG.9775,469,249,113,33,229,225,285,426,581,249,163,442
STRG.9772,196,169,85,27,174,181,187,231,294,163,131,235
Pocillopora_acuta_HIv1_PredGene_g32515.t1,0,0,0,0,0,2,0,9,5,0,0,0
STRG.16993,173,52,18,26,72,54,83,101,136,68,32,78
Pocillopora_acuta_HIv1_PredGene_g20155.t1,0,0,0,0,0,0,0,0,0,0,0,0
STRG.16992,17,8,5,10,10,8,10,27,20,16,5,23
Pocillopora_acuta_HIv1_PredGene_g30476.t1,0,0,0,2,0,2,0,3,0,0,3,0
Pocillopora_acuta_HIv1_PredGene_g23232.t1,0,0,0,0,0,0,0,0,1,0,0,0
STRG.15590,84,65,36,21,61,39,67,106,154,74,30,84
Pocillopora_acuta_HIv1_PredGene_g32029.t1,0,0,0,0,0,0,0,0,3,0,5,4
STRG.16999,110,28,23,13,31,34,31,87,69,29,24,71
STRG.16998,67,23,14,11,38,26,26,42,94,29,21,64
STRG.9778,278,287,204,93,225,264,359,554,597,285,227,528
STRG.21644,301,119,77,27,161,126,123,322,379,146,75,158
Pocillopora_acuta_HIv1_PredGene_g2290.t1,0,3,3,0,2,2,3,4,3,2,2,3
STRG.23719,14,3,3,0,5,7,3,6,8,4,4,10
STRG.23718,179,73,56,24,117,107,78,190,178,101,59,117
STRG.23713,173,113,67,72,119,95,164,298,397,169,100,206
STRG.23712,1163,505,284,73,764,480,553,1220,1494,668,462,1030
STRG.23711,196,87,53,77,91,127,89,162,220,110,97,64
STRG.23710,118,81,36,73,81,88,126,190,172,77,67,78
Pocillopora_acuta_HIv1_PredGene_g33430.t1,0,0,0,0,0,0,0,0,0,0,0,0
STRG.23716,112,119,86,50,146,46,164,199,237,185,58,250
STRG.23715,70,31,41,20,46,24,32,92,89,55,18,115
Pocillopora_acuta_HIv1_PredGene_g758.t1,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g2796.t1,0,0,0,0,0,0,8,0,0,5,0,6
Pocillopora_acuta_HIv1_PredGene_g2524.t1,0,4,2,0,3,0,5,9,7,4,1,3
Pocillopora_acuta_HIv1_PredGene_g26744.t1,0,0,0,0,0,0,0,0,0,0,1,2
Pocillopora_acuta_HIv1_PredGene_g23079.t1,0,0,0,0,0,0,0,0,0,0,0,0
STRG.6069,103,92,73,56,81,83,134,227,194,102,65,181
STRG.6068,142,63,45,20,123,85,66,203,244,109,69,155
STRG.6067,53,18,21,10,30,19,25,76,64,38,22,58
STRG.6066,118,50,47,21,85,59,48,150,162,80,31,97
STRG.6065,78,74,43,15,68,48,116,188,209,90,48,107
STRG.6064,7,0,0,0,0,0,0,0,0,0,0,6
STRG.6063,16,0,0,17,8,13,12,10,20,0,29,22
STRG.6062,8,0,0,0,0,0,0,0,0,0,2,0
STRG.6061,73,0,0,27,0,24,0,0,0,0,20,28
STRG.6060,48,33,0,20,72,13,56,98,151,41,34,61
Pocillopora_acuta_HIv1_PredGene_g14737.t1,0,0,0,0,0,0,2,6,0,0,1,0
Pocillopora_acuta_HIv1_PredGene_g5379.t1,0,0,0,1,0,0,0,0,0,0,0,0
STRG.17689,19,3,5,2,5,1,4,6,4,4,2,10
Pocillopora_acuta_HIv1_PredGene_g15617.t1,0,0,0,0,0,0,0,0,0,0,0,0
STRG.17682,5,11,8,10,10,11,15,14,16,10,9,5
Pocillopora_acuta_HIv1_PredGene_g16878.t1,0,0,0,1,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g1555.t1,0,0,0,11,0,0,0,0,0,0,0,0
STRG.17683,137,86,59,29,132,74,115,195,240,109,66,107
Pocillopora_acuta_HIv1_PredGene_g27722.t1,0,0,0,0,0,0,0,0,283,0,0,67
Pocillopora_acuta_HIv1_PredGene_g31178.t1,0,0,0,1,1,0,0,0,0,0,1,1
Pocillopora_acuta_HIv1_PredGene_15657_t,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g8670.t1,0,3,1,0,1,0,1,0,0,2,0,0
Pocillopora_acuta_HIv1_PredGene_g23036.t1,0,13,0,0,0,0,22,18,22,16,0,0
Pocillopora_acuta_HIv1_PredGene_g5892.t1,0,91,81,2,131,2,93,133,126,102,0,112
Pocillopora_acuta_HIv1_PredGene_g8186.t1,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g23690.t2,0,95,0,0,0,0,60,0,68,0,49,0
Pocillopora_acuta_HIv1_PredGene_g910.t2,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g5149.t1,0,0,0,0,0,0,0,1,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g1557.t1,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g6079.t1,0,0,0,0,0,0,0,0,11,0,0,14
