"","GO.IDs","term","ontology","over_represented_pvalue","Species","Site","GO.Term","GO.Slim.Term","Cat"
"1018","GO:0001744","optic lobe placode formation","BP",0.021408568,"A.cervicornis","Florida","optic lobe placode formation","developmental processes","P"
"1020","GO:0001746","Bolwig's organ morphogenesis","BP",0.021408568,"A.cervicornis","Florida","Bolwig's organ morphogenesis","developmental processes","P"
"1035","GO:0001763","morphogenesis of a branching structure","BP",0.027822697,"A.cervicornis","Florida","morphogenesis of a branching structure","other biological processes","P"
"1058","GO:0001784","phosphotyrosine residue binding","MF",0.011361643,"A.cervicornis","Florida","phosphotyrosine binding","other molecular function","F"
"1096","GO:0001818","negative regulation of cytokine production","BP",0.045218401,"A.cervicornis","Florida","negative regulation of cytokine production","other biological processes","P"
"1230","GO:0001934","positive regulation of protein phosphorylation","BP",0.008243205,"A.cervicornis","Florida","positive regulation of protein amino acid phosphorylation","protein metabolism","P"
"1234","GO:0001938","positive regulation of endothelial cell proliferation","BP",0.020910948,"A.cervicornis","Florida","positive regulation of endothelial cell proliferation","cell cycle and proliferation","P"
"1248","GO:0001953","negative regulation of cell-matrix adhesion","BP",0.028053253,"A.cervicornis","Florida","negative regulation of cell-matrix adhesion","cell adhesion","P"
"1373","GO:0002063","chondrocyte development","BP",0.017488452,"A.cervicornis","Florida","chondrocyte development","developmental processes","P"
"1468","GO:0002165","instar larval or pupal development","BP",0.032890629,"A.cervicornis","Florida","instar larval or pupal development","developmental processes","P"
"1500","GO:0002227","innate immune response in mucosa","BP",0.02140892,"A.cervicornis","Florida","innate immune response in mucosa","stress response","P"
"1526","GO:0002253","activation of immune response","BP",0.047518818,"A.cervicornis","Florida","activation of immune response","other biological processes","P"
"1553","GO:0002280","monocyte activation involved in immune response","BP",0.045156981,"A.cervicornis","Florida","monocyte activation during immune response","other biological processes","P"
"1878","GO:0002574","thrombocyte differentiation","BP",0.026292165,"A.cervicornis","Florida","thrombocyte differentiation","developmental processes","P"
"1910","GO:0002606","positive regulation of dendritic cell antigen processing and presentation","BP",0.02140892,"A.cervicornis","Florida","positive regulation of dendritic cell antigen processing and presentation","other biological processes","P"
"2038","GO:0002732","positive regulation of dendritic cell cytokine production","BP",0.02140892,"A.cervicornis","Florida","positive regulation of dendritic cell cytokine production","other biological processes","P"
"2153","GO:0002821","positive regulation of adaptive immune response","BP",0.023199075,"A.cervicornis","Florida","positive regulation of adaptive immune response","other biological processes","P"
"2162","GO:0002830","positive regulation of type 2 immune response","BP",0.02140892,"A.cervicornis","Florida","positive regulation of T-helper 2 type immune response","other biological processes","P"
"2269","GO:0002925","positive regulation of humoral immune response mediated by circulating immunoglobulin","BP",0.02140892,"A.cervicornis","Florida","positive regulation of humoral immune response mediated by circulating immunoglobulin","other biological processes","P"
"2406","GO:0003337","mesenchymal to epithelial transition involved in metanephros morphogenesis","BP",0.021408568,"A.cervicornis","Florida",NA,NA,NA
"2421","GO:0003690","double-stranded DNA binding","MF",0.004158618,"A.cervicornis","Florida","double-stranded DNA binding","nucleic acid binding activity","F"
"2449","GO:0003723","RNA binding","MF",0.026488352,"A.cervicornis","Florida","RNA binding","nucleic acid binding activity","F"
"2586","GO:0003968","RNA-directed 5'-3' RNA polymerase activity","MF",0.042348194,"A.cervicornis","Florida","RNA-directed RNA polymerase activity","other molecular function","F"
"2692","GO:0004089","carbonate dehydratase activity","MF",0.045886458,"A.cervicornis","Florida","carbonate dehydratase activity","other molecular function","F"
"2765","GO:0004165","dodecenoyl-CoA delta-isomerase activity","MF",0.026387443,"A.cervicornis","Florida","dodecenoyl-CoA delta-isomerase activity","other molecular function","F"
"2887","GO:0004415","hyalurononglucosaminidase activity","MF",0.048080123,"A.cervicornis","Florida","hyalurononglucosaminidase activity","other molecular function","F"
"2991","GO:0004532","exoribonuclease activity","MF",0.044274366,"A.cervicornis","Florida","exoribonuclease activity","other molecular function","F"
"3408","GO:0005001","transmembrane receptor protein tyrosine phosphatase activity","MF",0.026197771,"A.cervicornis","Florida","transmembrane receptor protein tyrosine phosphatase activity","signal transduction activity","F"
"3439","GO:0005025","transforming growth factor beta receptor activity, type I","MF",0.031712692,"A.cervicornis","Florida","transforming growth factor beta receptor activity, type I","kinase activity","F"
"3440","GO:0005025","transforming growth factor beta receptor activity, type I","MF",0.031712692,"A.cervicornis","Florida","transforming growth factor beta receptor activity, type I","signal transduction activity","F"
"3544","GO:0005161","platelet-derived growth factor receptor binding","MF",0.048939659,"A.cervicornis","Florida","platelet-derived growth factor receptor binding","signal transduction activity","F"
"3681","GO:0005381","iron ion transmembrane transporter activity","MF",0.029949103,"A.cervicornis","Florida","iron ion transmembrane transporter activity","transporter activity","F"
"3748","GO:0005543","phospholipid binding","MF",0.001147086,"A.cervicornis","Florida","phospholipid binding","other molecular function","F"
"3824","GO:0005642","annulate lamellae","CC",0.043005025,"A.cervicornis","Florida","annulate lamellae","other membranes","C"
"3833","GO:0005658","alpha DNA polymerase:primase complex","CC",0.044497493,"A.cervicornis","Florida","alpha DNA polymerase:primase complex","nucleus","C"
"3841","GO:0005669","transcription factor TFIID complex","CC",0.006189877,"A.cervicornis","Florida","transcription factor TFIID complex","nucleus","C"
"3938","GO:0005770","late endosome","CC",0.037718377,"A.cervicornis","Florida","late endosome","other cytoplasmic organelle","C"
"3968","GO:0005794","Golgi apparatus","CC",0.03647959,"A.cervicornis","Florida","Golgi apparatus","ER/Golgi","C"
"3994","GO:0005834","heterotrimeric G-protein complex","CC",0.022310891,"A.cervicornis","Florida","heterotrimeric G-protein complex","plasma membrane","C"
"3995","GO:0005834","heterotrimeric G-protein complex","CC",0.022310891,"A.cervicornis","Florida","heterotrimeric G-protein complex","other membranes","C"
"4407","GO:0006269","DNA replication, synthesis of RNA primer","BP",0.044497493,"A.cervicornis","Florida","DNA replication, synthesis of RNA primer","RNA metabolism","P"
"4408","GO:0006269","DNA replication, synthesis of RNA primer","BP",0.044497493,"A.cervicornis","Florida","DNA replication, synthesis of RNA primer","DNA metabolism","P"
"4496","GO:0006346","DNA methylation-dependent heterochromatin assembly","BP",0.044113717,"A.cervicornis","Florida","methylation-dependent chromatin silencing","cell organization and biogenesis","P"
"4497","GO:0006346","DNA methylation-dependent heterochromatin assembly","BP",0.044113717,"A.cervicornis","Florida","methylation-dependent chromatin silencing","RNA metabolism","P"
"4520","GO:0006367","transcription initiation from RNA polymerase II promoter","BP",0.011477729,"A.cervicornis","Florida","transcription initiation from RNA polymerase II promoter","RNA metabolism","P"
"4521","GO:0006367","transcription initiation from RNA polymerase II promoter","BP",0.011477729,"A.cervicornis","Florida","transcription initiation from RNA polymerase II promoter","cell organization and biogenesis","P"
"4549","GO:0006398","mRNA 3'-end processing by stem-loop binding and cleavage","BP",0.03432239,"A.cervicornis","Florida","histone mRNA 3'-end processing","RNA metabolism","P"
"4752","GO:0006606","protein import into nucleus","BP",0.010483073,"A.cervicornis","Florida","protein import into nucleus","transport","P"
"4786","GO:0006638","neutral lipid metabolic process","BP",0.023669888,"A.cervicornis","Florida","neutral lipid metabolic process","other metabolic processes","P"
"4790","GO:0006642","triglyceride mobilization","BP",0.023199075,"A.cervicornis","Florida","triglyceride mobilization","other metabolic processes","P"
"4811","GO:0006664","glycolipid metabolic process","BP",0.045450337,"A.cervicornis","Florida","glycolipid metabolic process","other metabolic processes","P"
"4912","GO:0006777","Mo-molybdopterin cofactor biosynthetic process","BP",0.023879772,"A.cervicornis","Florida","Mo-molybdopterin cofactor biosynthetic process","protein metabolism","P"
"5001","GO:0006887","exocytosis","BP",0.037719625,"A.cervicornis","Florida","exocytosis","transport","P"
"5033","GO:0006915","apoptotic process","BP",0.032676852,"A.cervicornis","Florida","apoptosis","death","P"
"5067","GO:0006952","defense response","BP",0.034325645,"A.cervicornis","Florida","defense response","stress response","P"
"5069","GO:0006954","inflammatory response","BP",0.045397275,"A.cervicornis","Florida","inflammatory response","stress response","P"
"5083","GO:0006965","positive regulation of biosynthetic process of antibacterial peptides active against Gram-positive bacteria","BP",0.02140892,"A.cervicornis","Florida","positive regulation of biosynthetic process of antibacterial peptides active against Gram-positive bacteria","other metabolic processes","P"
"5084","GO:0006965","positive regulation of biosynthetic process of antibacterial peptides active against Gram-positive bacteria","BP",0.02140892,"A.cervicornis","Florida","positive regulation of biosynthetic process of antibacterial peptides active against Gram-positive bacteria","stress response","P"
"5128","GO:0006996","organelle organization","BP",0.003994456,"A.cervicornis","Florida","organelle organization","cell organization and biogenesis","P"
"5158","GO:0007030","Golgi organization","BP",0.016914428,"A.cervicornis","Florida","Golgi organization","cell organization and biogenesis","P"
"5570","GO:0007390","germ-band shortening","BP",0.032890629,"A.cervicornis","Florida","germ-band shortening","developmental processes","P"
"5641","GO:0007458","progression of morphogenetic furrow involved in compound eye morphogenesis","BP",0.032890629,"A.cervicornis","Florida","progression of morphogenetic furrow during compound eye morphogenesis","developmental processes","P"
"5683","GO:0007501","mesodermal cell fate specification","BP",0.042735035,"A.cervicornis","Florida","mesodermal cell fate specification","developmental processes","P"
"5767","GO:0007591","molting cycle, chitin-based cuticle","BP",0.032890629,"A.cervicornis","Florida","molting cycle, chitin-based cuticle","other biological processes","P"
"5784","GO:0007610","behavior","BP",0.029789836,"A.cervicornis","Florida","behavior","other biological processes","P"
"5785","GO:0007611","learning or memory","BP",0.016329401,"A.cervicornis","Florida","learning or memory","other biological processes","P"
"5954","GO:0008180","COP9 signalosome","CC",0.032416611,"A.cervicornis","Florida","signalosome","nucleus","C"
"6012","GO:0008254","3'-nucleotidase activity","MF",0.026805507,"A.cervicornis","Florida","3'-nucleotidase activity","other molecular function","F"
"6016","GO:0008258","head involution","BP",0.032890629,"A.cervicornis","Florida","head involution","developmental processes","P"
"6118","GO:0008362","chitin-based embryonic cuticle biosynthetic process","BP",0.032890629,"A.cervicornis","Florida","chitin-based embryonic cuticle biosynthetic process","developmental processes","P"
"6882","GO:0009247","glycolipid biosynthetic process","BP",0.045450337,"A.cervicornis","Florida","glycolipid biosynthetic process","other metabolic processes","P"
"6902","GO:0009267","cellular response to starvation","BP",0.045587819,"A.cervicornis","Florida","cellular response to starvation","stress response","P"
"7063","GO:0009452","7-methylguanosine RNA capping","BP",0.034668541,"A.cervicornis","Florida","RNA capping","RNA metabolism","P"
"7190","GO:0009629","response to gravity","BP",0.045584324,"A.cervicornis","Florida","response to gravity","other biological processes","P"
"7350","GO:0009792","embryo development ending in birth or egg hatching","BP",0.029388933,"A.cervicornis","Florida","embryonic development ending in birth or egg hatching","developmental processes","P"
"7470","GO:0009909","regulation of flower development","BP",0.030716833,"A.cervicornis","Florida","regulation of flower development","developmental processes","P"
"7495","GO:0009933","meristem structural organization","BP",0.030716833,"A.cervicornis","Florida","meristem structural organization","developmental processes","P"
"7528","GO:0009967","positive regulation of signal transduction","BP",0.02321327,"A.cervicornis","Florida","positive regulation of signal transduction","signal transduction","P"
"7602","GO:0010046","response to mycotoxin","BP",0.023199075,"A.cervicornis","Florida","response to mycotoxin","other biological processes","P"
"7639","GO:0010082","regulation of root meristem growth","BP",0.030716833,"A.cervicornis","Florida","regulation of root meristem growth","developmental processes","P"
"7710","GO:0010154","fruit development","BP",0.021410748,"A.cervicornis","Florida","fruit development","other biological processes","P"
"7859","GO:0010305","leaf vascular tissue pattern formation","BP",0.030716833,"A.cervicornis","Florida","leaf vascular tissue pattern formation","developmental processes","P"
"7892","GO:0010338","leaf formation","BP",0.030716833,"A.cervicornis","Florida","leaf formation","developmental processes","P"
"7912","GO:0010358","leaf shaping","BP",0.030716833,"A.cervicornis","Florida","leaf shaping","developmental processes","P"
"8039","GO:0010466","negative regulation of peptidase activity","BP",0.045201483,"A.cervicornis","Florida","negative regulation of peptidase activity","other biological processes","P"
"8082","GO:0010506","regulation of autophagy","BP",0.005764748,"A.cervicornis","Florida","regulation of autophagy","other metabolic processes","P"
"8220","GO:0010629","negative regulation of gene expression","BP",0.036726776,"A.cervicornis","Florida","negative regulation of gene expression","other metabolic processes","P"
"8238","GO:0010647","positive regulation of cell communication","BP",0.022565333,"A.cervicornis","Florida","positive regulation of cell communication","other biological processes","P"
"8293","GO:0010698","acetyltransferase activator activity","MF",0.021414665,"A.cervicornis","Florida","acetyltransferase activator activity","enzyme regulator activity","F"
"8349","GO:0010744","positive regulation of macrophage derived foam cell differentiation","BP",0.024248516,"A.cervicornis","Florida","positive regulation of foam cell differentiation","developmental processes","P"
"8364","GO:0010759","positive regulation of macrophage chemotaxis","BP",0.021654746,"A.cervicornis","Florida","positive regulation of macrophage chemotaxis","other biological processes","P"
"8492","GO:0010847","regulation of chromatin assembly","BP",0.042406086,"A.cervicornis","Florida","regulation of chromatin assembly","cell organization and biogenesis","P"
"8521","GO:0010875","positive regulation of cholesterol efflux","BP",0.001812239,"A.cervicornis","Florida","positive regulation of cholesterol efflux","transport","P"
"8529","GO:0010883","regulation of lipid storage","BP",0.04520816,"A.cervicornis","Florida","regulation of lipid storage","other biological processes","P"
"8532","GO:0010886","positive regulation of cholesterol storage","BP",0.046995633,"A.cervicornis","Florida","positive regulation of cholesterol storage","other biological processes","P"
"8602","GO:0010951","negative regulation of endopeptidase activity","BP",0.003187129,"A.cervicornis","Florida","negative regulation of endopeptidase activity","other biological processes","P"
"8606","GO:0010955","negative regulation of protein processing","BP",0.042535074,"A.cervicornis","Florida","negative regulation of protein maturation by peptide bond cleavage","protein metabolism","P"
"8897","GO:0014857","regulation of skeletal muscle cell proliferation","BP",0.021408568,"A.cervicornis","Florida","regulation of skeletal muscle cell proliferation","cell cycle and proliferation","P"
"8898","GO:0014858","positive regulation of skeletal muscle cell proliferation","BP",0.023199075,"A.cervicornis","Florida","positive regulation of skeletal muscle cell proliferation","cell cycle and proliferation","P"
"9762","GO:0015966","diadenosine tetraphosphate biosynthetic process","BP",0.021654746,"A.cervicornis","Florida","diadenosine tetraphosphate biosynthetic process","other metabolic processes","P"
"9821","GO:0016034","maleylacetoacetate isomerase activity","MF",0.022991107,"A.cervicornis","Florida","maleylacetoacetate isomerase activity","other molecular function","F"
"9832","GO:0016045","detection of bacterium","BP",0.02140892,"A.cervicornis","Florida","detection of bacterium","other biological processes","P"
"9843","GO:0016055","Wnt signaling pathway","BP",0.04168485,"A.cervicornis","Florida","Wnt receptor signaling pathway","signal transduction","P"
"9858","GO:0016074","snoRNA metabolic process","BP",0.021409265,"A.cervicornis","Florida","snoRNA metabolic process","RNA metabolism","P"
"10024","GO:0016247","channel regulator activity","MF",0.021364539,"A.cervicornis","Florida","channel regulator activity","other molecular function","F"
"10028","GO:0016251","RNA polymerase II general transcription initiation factor activity","MF",0.01439035,"A.cervicornis","Florida","general RNA polymerase II transcription factor activity","transcription regulatory activity","F"
"10118","GO:0016361","activin receptor activity, type I","MF",0.031712692,"A.cervicornis","Florida","activin receptor activity, type I","signal transduction activity","F"
"10119","GO:0016361","activin receptor activity, type I","MF",0.031712692,"A.cervicornis","Florida","activin receptor activity, type I","kinase activity","F"
"10574","GO:0016929","SUMO-specific protease activity","MF",0.042104504,"A.cervicornis","Florida","SUMO-specific protease activity","other molecular function","F"
"10958","GO:0018193","peptidyl-amino acid modification","BP",0.014025163,"A.cervicornis","Florida","peptidyl-amino acid modification","protein metabolism","P"
"11709","GO:0019008","molybdopterin synthase complex","CC",0.023879772,"A.cervicornis","Florida","molybdopterin synthase complex","other cellular component","C"
"12579","GO:0019966","interleukin-1 binding","MF",0.02140892,"A.cervicornis","Florida","interleukin-1 binding","other molecular function","F"
"12594","GO:0019985","translesion synthesis","BP",0.042364837,"A.cervicornis","Florida","bypass DNA synthesis","stress response","P"
"12595","GO:0019985","translesion synthesis","BP",0.042364837,"A.cervicornis","Florida","bypass DNA synthesis","DNA metabolism","P"
"12682","GO:0021537","telencephalon development","BP",0.028170726,"A.cervicornis","Florida","telencephalon development","developmental processes","P"
"13334","GO:0022603","regulation of anatomical structure morphogenesis","BP",0.03029894,"A.cervicornis","Florida","regulation of anatomical structure morphogenesis","other biological processes","P"
"13434","GO:0023056","positive regulation of signaling","BP",0.038646019,"A.cervicornis","Florida",NA,NA,NA
"13586","GO:0030162","regulation of proteolysis","BP",0.016539524,"A.cervicornis","Florida","regulation of proteolysis","protein metabolism","P"
"13593","GO:0030169","low-density lipoprotein particle binding","MF",0.024248516,"A.cervicornis","Florida","low-density lipoprotein binding","other molecular function","F"
"13626","GO:0030207","chondroitin sulfate catabolic process","BP",0.021153966,"A.cervicornis","Florida","chondroitin sulfate catabolic process","other metabolic processes","P"
"13632","GO:0030213","hyaluronan biosynthetic process","BP",0.021153966,"A.cervicornis","Florida","hyaluronan biosynthetic process","other metabolic processes","P"
"13633","GO:0030214","hyaluronan catabolic process","BP",0.021153966,"A.cervicornis","Florida","hyaluronan catabolic process","other metabolic processes","P"
"13650","GO:0030234","enzyme regulator activity","MF",0.034102806,"A.cervicornis","Florida","enzyme regulator activity","enzyme regulator activity","F"
"13700","GO:0030277","maintenance of gastrointestinal epithelium","BP",0.04236284,"A.cervicornis","Florida","maintenance of gastrointestinal epithelium","other biological processes","P"
"13701","GO:0030278","regulation of ossification","BP",0.004434431,"A.cervicornis","Florida","regulation of ossification","developmental processes","P"
"13731","GO:0030308","negative regulation of cell growth","BP",0.023418679,"A.cervicornis","Florida","negative regulation of cell growth","other biological processes","P"
"13781","GO:0030366","molybdopterin synthase activity","MF",0.023879772,"A.cervicornis","Florida","Mo-molybdopterin synthase activity","other molecular function","F"
"13830","GO:0030422","production of siRNA involved in RNA interference","BP",0.042361699,"A.cervicornis","Florida","RNA interference, production of siRNA","RNA metabolism","P"
"13920","GO:0030544","Hsp70 protein binding","MF",0.001864512,"A.cervicornis","Florida","Hsp70 protein binding","other molecular function","F"
"14053","GO:0030687","preribosome, large subunit precursor","CC",0.006899836,"A.cervicornis","Florida","preribosome, large subunit precursor","other cellular component","C"
"14258","GO:0030878","thyroid gland development","BP",0.00463762,"A.cervicornis","Florida","thyroid gland development","developmental processes","P"
"14569","GO:0031143","pseudopodium","CC",0.021654746,"A.cervicornis","Florida","pseudopodium","other cellular component","C"
"14858","GO:0031393","negative regulation of prostaglandin biosynthetic process","BP",0.023199075,"A.cervicornis","Florida","negative regulation of prostaglandin biosynthetic process","other metabolic processes","P"
"14863","GO:0031398","positive regulation of protein ubiquitination","BP",0.036609559,"A.cervicornis","Florida","positive regulation of protein ubiquitination","protein metabolism","P"
"15491","GO:0031966","mitochondrial membrane","CC",0.011394667,"A.cervicornis","Florida","mitochondrial membrane","other membranes","C"
"15492","GO:0031966","mitochondrial membrane","CC",0.011394667,"A.cervicornis","Florida","mitochondrial membrane","mitochondrion","C"
"15609","GO:0032071","regulation of endodeoxyribonuclease activity","BP",0.023199075,"A.cervicornis","Florida","regulation of endodeoxyribonuclease activity","other biological processes","P"
"15626","GO:0032088","negative regulation of NF-kappaB transcription factor activity","BP",0.015181716,"A.cervicornis","Florida","negative regulation of NF-kappaB transcription factor activity","RNA metabolism","P"
"15798","GO:0032240","negative regulation of nucleobase-containing compound transport","BP",0.032049452,"A.cervicornis","Florida","negative regulation of nucleobase, nucleoside, nucleotide and nucleic acid transport","transport","P"
"15828","GO:0032269","negative regulation of cellular protein metabolic process","BP",0.004842216,"A.cervicornis","Florida","negative regulation of cellular protein metabolic process","protein metabolism","P"
"15872","GO:0032299","ribonuclease H2 complex","CC",0.023264949,"A.cervicornis","Florida","ribonuclease H2 complex","other cellular component","C"
"15897","GO:0032324","molybdopterin cofactor biosynthetic process","BP",0.023879772,"A.cervicornis","Florida","molybdopterin cofactor biosynthetic process","protein metabolism","P"
"15903","GO:0032330","regulation of chondrocyte differentiation","BP",0.042396549,"A.cervicornis","Florida","regulation of chondrocyte differentiation","developmental processes","P"
"15967","GO:0032386","regulation of intracellular transport","BP",0.004612023,"A.cervicornis","Florida","regulation of intracellular transport","transport","P"
"16042","GO:0032456","endocytic recycling","BP",0.013229814,"A.cervicornis","Florida","endocytic recycling","transport","P"
"16086","GO:0032498","detection of muramyl dipeptide","BP",0.02140892,"A.cervicornis","Florida","detection of muramyl dipeptide","other biological processes","P"
"16088","GO:0032500","muramyl dipeptide binding","MF",0.02140892,"A.cervicornis","Florida","muramyl dipeptide binding","other molecular function","F"
"16143","GO:0032555","purine ribonucleotide binding","MF",0.004566405,"A.cervicornis","Florida","purine ribonucleotide binding","other molecular function","F"
"16305","GO:0032701","negative regulation of interleukin-18 production","BP",0.02140892,"A.cervicornis","Florida","negative regulation of interleukin-18 production","other biological processes","P"
"16332","GO:0032728","positive regulation of interferon-beta production","BP",0.007466085,"A.cervicornis","Florida","positive regulation of interferon-beta production","other biological processes","P"
"16344","GO:0032740","positive regulation of interleukin-17 production","BP",0.02140892,"A.cervicornis","Florida","positive regulation of interleukin-17 production","other biological processes","P"
"17001","GO:0033339","pectoral fin development","BP",0.030458925,"A.cervicornis","Florida","pectoral fin development","developmental processes","P"
"17028","GO:0033365","protein localization to organelle","BP",0.017619837,"A.cervicornis","Florida","protein localization in organelle","other biological processes","P"
"17287","GO:0033553","rDNA heterochromatin","CC",0.044114003,"A.cervicornis","Florida","rDNA heterochromatin","other cellular component","C"
"17288","GO:0033554","cellular response to stress","BP",0.00793137,"A.cervicornis","Florida","cellular response to stress","stress response","P"
"17888","GO:0034124","regulation of MyD88-dependent toll-like receptor signaling pathway","BP",0.023448705,"A.cervicornis","Florida","regulation of MyD88-dependent toll-like receptor signaling pathway","stress response","P"
"17889","GO:0034124","regulation of MyD88-dependent toll-like receptor signaling pathway","BP",0.023448705,"A.cervicornis","Florida","regulation of MyD88-dependent toll-like receptor signaling pathway","signal transduction","P"
"18194","GO:0034362","low-density lipoprotein particle","CC",0.024248516,"A.cervicornis","Florida","low-density lipoprotein particle","non-structural extracellular","C"
"18213","GO:0034381","plasma lipoprotein particle clearance","BP",0.024248516,"A.cervicornis","Florida","lipoprotein particle clearance","cell organization and biogenesis","P"
"18223","GO:0034391","regulation of smooth muscle cell apoptotic process","BP",0.023199075,"A.cervicornis","Florida","regulation of smooth muscle cell apoptosis","death","P"
"18576","GO:0034711","inhibin binding","MF",0.031712692,"A.cervicornis","Florida","inhibin binding","other molecular function","F"
"18858","GO:0034983","peptidyl-lysine deacetylation","BP",0.044116784,"A.cervicornis","Florida","peptidyl-lysine deacetylation","protein metabolism","P"
"18910","GO:0035023","regulation of Rho protein signal transduction","BP",0.029697422,"A.cervicornis","Florida","regulation of Rho protein signal transduction","signal transduction","P"
"18947","GO:0035064","methylated histone binding","MF",0.04916871,"A.cervicornis","Florida","methylated histone residue binding","other molecular function","F"
"18994","GO:0035098","ESC/E(Z) complex","CC",0.007984054,"A.cervicornis","Florida","ESC/E(Z) complex","nucleus","C"
"19046","GO:0035147","branch fusion, open tracheal system","BP",0.043476762,"A.cervicornis","Florida","branch fusion, open tracheal system","developmental processes","P"
"19176","GO:0035271","ring gland development","BP",0.021408568,"A.cervicornis","Florida","ring gland development","developmental processes","P"
"19235","GO:0035356","cellular triglyceride homeostasis","BP",0.023199075,"A.cervicornis","Florida",NA,NA,NA
"19236","GO:0035358","regulation of peroxisome proliferator activated receptor signaling pathway","BP",0.023199075,"A.cervicornis","Florida",NA,NA,NA
"19239","GO:0035811","negative regulation of urine volume","BP",0.021414665,"A.cervicornis","Florida",NA,NA,NA
"19240","GO:0035812","renal sodium excretion","BP",0.021414665,"A.cervicornis","Florida",NA,NA,NA
"19250","GO:0036117","hyaluranon cable","CC",0.021153966,"A.cervicornis","Florida",NA,NA,NA
"19251","GO:0036120","cellular response to platelet-derived growth factor stimulus","BP",0.005329679,"A.cervicornis","Florida",NA,NA,NA
"19255","GO:0036261","7-methylguanosine cap hypermethylation","BP",0.034668541,"A.cervicornis","Florida",NA,NA,NA
"19257","GO:0036359","renal potassium excretion","BP",0.021414665,"A.cervicornis","Florida",NA,NA,NA
"19259","GO:0036477","somatodendritic compartment","CC",0.011094153,"A.cervicornis","Florida",NA,NA,NA
"19267","GO:0038127","ERBB signaling pathway","BP",0.021654746,"A.cervicornis","Florida",NA,NA,NA
"19287","GO:0040013","negative regulation of locomotion","BP",0.022310891,"A.cervicornis","Florida","negative regulation of locomotion","other biological processes","P"
"19293","GO:0040019","positive regulation of embryonic development","BP",0.024369084,"A.cervicornis","Florida","positive regulation of embryonic development","developmental processes","P"
"19585","GO:0042274","ribosomal small subunit biogenesis","BP",0.024073989,"A.cervicornis","Florida","ribosomal small subunit biogenesis","other biological processes","P"
"19636","GO:0042330","taxis","BP",0.021285279,"A.cervicornis","Florida","taxis","other biological processes","P"
"19698","GO:0042391","regulation of membrane potential","BP",0.003613918,"A.cervicornis","Florida","regulation of membrane potential","other biological processes","P"
"19861","GO:0042531","positive regulation of tyrosine phosphorylation of STAT protein","BP",0.042744181,"A.cervicornis","Florida","positive regulation of tyrosine phosphorylation of STAT protein","signal transduction","P"
