,gene_id,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,length,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Treatment_Compare
890,Acerv_evm.model.Segkk4122_pilon.1,GO:0007610,0.029789836,0.995580194,3,28,behavior,BP,266,43.93195934,-1.383563631,0.276374852,-5.006112616,5.55E-07,0.000226443,CvsT3
385,Acerv_evm.model.Segkk2551_pilon.2,GO:0007610,0.029789836,0.995580194,3,28,behavior,BP,3015,48.28989415,-1.392129522,0.2880991,-4.832120339,1.35E-06,0.000555144,CvsT4
387,Acerv_evm.model.Segkk2551_pilon.2,GO:0007610,0.029789836,0.995580194,3,28,behavior,BP,3015,48.28989415,-1.422639168,0.273426636,-5.203001399,1.96E-07,8.44E-05,CvsT2
889,Acerv_evm.model.Segkk4122_pilon.1,GO:0007610,0.029789836,0.995580194,3,28,behavior,BP,266,43.93195934,-1.497994541,0.304173537,-4.924802314,8.44E-07,0.000363559,CvsT1
552,Acerv_evm.model.Segkk3209_pilon.11,GO:0042595,0.023199075,1,1,1,behavioral response to starvation,BP,978,68.72667436,1.258191844,0.306334265,4.107251411,4.00E-05,0.005323492,CvsT2
239,Acerv_evm.model.Segkk20_pilon.1,GO:0001746,0.021408568,1,1,1,Bolwig's organ morphogenesis,BP,2294,212.1092734,1.120741572,0.195331601,5.737635713,9.60E-09,5.43E-06,CvsT2
238,Acerv_evm.model.Segkk20_pilon.1,GO:0001746,0.021408568,1,1,1,Bolwig's organ morphogenesis,BP,2294,212.1092734,1.105598305,0.196332462,5.631255741,1.79E-08,1.01E-05,CvsT3
236,Acerv_evm.model.Segkk20_pilon.1,GO:0001746,0.021408568,1,1,1,Bolwig's organ morphogenesis,BP,2294,212.1092734,1.048949103,0.210874909,4.974271751,6.55E-07,0.000311645,CvsT4
237,Acerv_evm.model.Segkk20_pilon.1,GO:0001746,0.021408568,1,1,1,Bolwig's organ morphogenesis,BP,2294,212.1092734,0.966221449,0.21900738,4.411821418,1.03E-05,0.003195671,CvsT1
840,Acerv_evm.model.Segkk384_pilon.7,GO:0035147,0.043476762,0.999519133,1,2,"branch fusion, open tracheal system",BP,1704,65.73939955,-1.517728143,0.397578007,-3.817434859,0.000134846,0.01369827,CvsT2
839,Acerv_evm.model.Segkk384_pilon.7,GO:0035147,0.043476762,0.999519133,1,2,"branch fusion, open tracheal system",BP,1704,65.73939955,-1.793280034,0.432200041,-4.149189871,3.34E-05,0.007015269,CvsT4
383,Acerv_evm.model.Segkk2551_pilon.2,GO:0097553,0.045259361,0.99947841,1,2,calcium ion transmembrane import into cytosol,BP,3015,48.28989415,-1.288132589,0.30950367,-4.161929937,3.16E-05,0.007132652,CvsT1
382,Acerv_evm.model.Segkk2551_pilon.2,GO:0097553,0.045259361,0.99947841,1,2,calcium ion transmembrane import into cytosol,BP,3015,48.28989415,-1.392129522,0.2880991,-4.832120339,1.35E-06,0.000555144,CvsT4
384,Acerv_evm.model.Segkk2551_pilon.2,GO:0097553,0.045259361,0.99947841,1,2,calcium ion transmembrane import into cytosol,BP,3015,48.28989415,-1.422639168,0.273426636,-5.203001399,1.96E-07,8.44E-05,CvsT2
423,Acerv_evm.model.Segkk2701_pilon.2,GO:0045014,0.031028744,1,1,1,carbon catabolite repression of transcription by glucose,BP,381,107.7232898,-1.344041019,0.334610815,-4.016729165,5.90E-05,0.007410038,CvsT2
158,Acerv_evm.model.Segkk1945_pilon.2,GO:0061308,0.021654746,1,1,1,cardiac neural crest cell development involved in heart development,BP,1350,16.8033195,-2.495587387,0.600891203,-4.153143487,3.28E-05,0.00470295,CvsT2
160,Acerv_evm.model.Segkk1945_pilon.2,GO:0061308,0.021654746,1,1,1,cardiac neural crest cell development involved in heart development,BP,1350,16.8033195,-2.953644154,0.645065098,-4.578831136,4.68E-06,0.001690962,CvsT1
159,Acerv_evm.model.Segkk1945_pilon.2,GO:0061308,0.021654746,1,1,1,cardiac neural crest cell development involved in heart development,BP,1350,16.8033195,-2.971983022,0.590917609,-5.029437229,4.92E-07,0.000211784,CvsT3
807,Acerv_evm.model.Segkk3453_pilon.14,GO:0048440,0.030716833,1,1,1,carpel development,BP,399,61.45976883,1.373336682,0.325652771,4.217181017,2.47E-05,0.003790713,CvsT2
806,Acerv_evm.model.Segkk3453_pilon.14,GO:0048440,0.030716833,1,1,1,carpel development,BP,399,61.45976883,1.325693825,0.346001737,3.831465806,0.000127382,0.019991259,CvsT4
128,Acerv_evm.model.Segkk1945_pilon.2,GO:0072584,0.021654746,1,1,1,caveolin-mediated endocytosis,BP,1350,16.8033195,-2.495587387,0.600891203,-4.153143487,3.28E-05,0.00470295,CvsT2
130,Acerv_evm.model.Segkk1945_pilon.2,GO:0072584,0.021654746,1,1,1,caveolin-mediated endocytosis,BP,1350,16.8033195,-2.953644154,0.645065098,-4.578831136,4.68E-06,0.001690962,CvsT1
129,Acerv_evm.model.Segkk1945_pilon.2,GO:0072584,0.021654746,1,1,1,caveolin-mediated endocytosis,BP,1350,16.8033195,-2.971983022,0.590917609,-5.029437229,4.92E-07,0.000211784,CvsT3
446,Acerv_evm.model.Segkk2909_pilon.1,GO:0070887,0.005174816,0.999374356,4,30,cellular response to chemical stimulus,BP,1560,208.0237362,0.696595103,0.186555835,3.733976503,0.00018848,0.017750505,CvsT2
204,Acerv_evm.model.Segkk1991_pilon.4,GO:0070887,0.005174816,0.999374356,4,30,cellular response to chemical stimulus,BP,537,115.7966242,-1.171529562,0.340101952,-3.444642279,0.000571816,0.03869906,CvsT2
407,Acerv_evm.model.Segkk2551_pilon.2,GO:0070887,0.005174816,0.999374356,4,30,cellular response to chemical stimulus,BP,3015,48.28989415,-1.288132589,0.30950367,-4.161929937,3.16E-05,0.007132652,CvsT1
958,Acerv_evm.model.Segkk4318_pilon.2,GO:0070887,0.005174816,0.999374356,4,30,cellular response to chemical stimulus,BP,1011,33.20946596,-1.374689274,0.376087078,-3.65524197,0.00025694,0.022123716,CvsT2
406,Acerv_evm.model.Segkk2551_pilon.2,GO:0070887,0.005174816,0.999374356,4,30,cellular response to chemical stimulus,BP,3015,48.28989415,-1.392129522,0.2880991,-4.832120339,1.35E-06,0.000555144,CvsT4
408,Acerv_evm.model.Segkk2551_pilon.2,GO:0070887,0.005174816,0.999374356,4,30,cellular response to chemical stimulus,BP,3015,48.28989415,-1.422639168,0.273426636,-5.203001399,1.96E-07,8.44E-05,CvsT2
205,Acerv_evm.model.Segkk1991_pilon.4,GO:0070887,0.005174816,0.999374356,4,30,cellular response to chemical stimulus,BP,537,115.7966242,-1.554017345,0.373186108,-4.164188621,3.12E-05,0.006726111,CvsT4
556,Acerv_evm.model.Segkk3209_pilon.11,GO:1904644,0.023199075,1,1,1,cellular response to curcumin,BP,978,68.72667436,1.258191844,0.306334265,4.107251411,4.00E-05,0.005323492,CvsT2
105,Acerv_evm.model.Segkk1895_pilon.6,GO:0071360,0.029697422,1,1,1,cellular response to exogenous dsRNA,BP,459,108.0386943,-1.181838233,0.291386487,-4.055912971,4.99E-05,0.011105016,CvsT3
106,Acerv_evm.model.Segkk1895_pilon.6,GO:0071360,0.029697422,1,1,1,cellular response to exogenous dsRNA,BP,459,108.0386943,-1.306032646,0.323682686,-4.034916605,5.46E-05,0.010735538,CvsT1
913,Acerv_evm.model.Segkk4124_pilon.3,GO:0044344,0.003624805,0.999939132,2,4,cellular response to fibroblast growth factor stimulus,BP,3327,1690.290979,1.96437116,0.483641615,4.061625592,4.87E-05,0.017452579,T1vsT2
438,Acerv_evm.model.Segkk2763_pilon.1,GO:0044344,0.003624805,0.999939132,2,4,cellular response to fibroblast growth factor stimulus,BP,561,24.81613423,-1.575710714,0.418774459,-3.76267148,0.000168108,0.024513937,CvsT1
922,Acerv_evm.model.Segkk4124_pilon.3,GO:0071347,0.033364516,0.997283981,2,13,cellular response to interleukin-1,BP,3327,1690.290979,1.96437116,0.483641615,4.061625592,4.87E-05,0.017452579,T1vsT2
728,Acerv_evm.model.Segkk3450_pilon.3,GO:0071347,0.033364516,0.997283981,2,13,cellular response to interleukin-1,BP,2262,494.4152512,-0.872868173,0.230211513,-3.791592183,0.000149685,0.014871409,CvsT2
729,Acerv_evm.model.Segkk3450_pilon.3,GO:0071347,0.033364516,0.997283981,2,13,cellular response to interleukin-1,BP,2262,494.4152512,-0.938500769,0.255382349,-3.674885027,0.000237957,0.032596441,CvsT4
750,Acerv_evm.model.Segkk3450_pilon.3,GO:0071225,0.02140892,1,1,1,cellular response to muramyl dipeptide,BP,2262,494.4152512,-0.872868173,0.230211513,-3.791592183,0.000149685,0.014871409,CvsT2
751,Acerv_evm.model.Segkk3450_pilon.3,GO:0071225,0.02140892,1,1,1,cellular response to muramyl dipeptide,BP,2262,494.4152512,-0.938500769,0.255382349,-3.674885027,0.000237957,0.032596441,CvsT4
742,Acerv_evm.model.Segkk3450_pilon.3,GO:0071224,0.02140892,1,1,1,cellular response to peptidoglycan,BP,2262,494.4152512,-0.872868173,0.230211513,-3.791592183,0.000149685,0.014871409,CvsT2
743,Acerv_evm.model.Segkk3450_pilon.3,GO:0071224,0.02140892,1,1,1,cellular response to peptidoglycan,BP,2262,494.4152512,-0.938500769,0.255382349,-3.674885027,0.000237957,0.032596441,CvsT4
916,Acerv_evm.model.Segkk4124_pilon.3,GO:0036120,0.005329679,0.999873382,2,5,cellular response to platelet-derived growth factor stimulus,BP,3327,1690.290979,1.96437116,0.483641615,4.061625592,4.87E-05,0.017452579,T1vsT2
436,Acerv_evm.model.Segkk2763_pilon.1,GO:0036120,0.005329679,0.999873382,2,5,cellular response to platelet-derived growth factor stimulus,BP,561,24.81613423,-1.575710714,0.418774459,-3.76267148,0.000168108,0.024513937,CvsT1
561,Acerv_evm.model.Segkk3209_pilon.11,GO:1904648,0.023199075,1,1,1,cellular response to rotenone,BP,978,68.72667436,1.258191844,0.306334265,4.107251411,4.00E-05,0.005323492,CvsT2
584,Acerv_evm.model.Segkk3209_pilon.11,GO:0009267,0.045587819,0.995523913,2,15,cellular response to starvation,BP,978,68.72667436,1.258191844,0.306334265,4.107251411,4.00E-05,0.005323492,CvsT2
483,Acerv_evm.model.Segkk30_pilon.11,GO:0009267,0.045587819,0.995523913,2,15,cellular response to starvation,BP,444,101.7098226,0.982072088,0.267764082,3.667676709,0.000244764,0.033028579,CvsT4
454,Acerv_evm.model.Segkk2909_pilon.1,GO:0033554,0.00793137,0.999313252,3,18,cellular response to stress,BP,1560,208.0237362,0.696595103,0.186555835,3.733976503,0.00018848,0.017750505,CvsT2
395,Acerv_evm.model.Segkk2551_pilon.2,GO:0033554,0.00793137,0.999313252,3,18,cellular response to stress,BP,3015,48.28989415,-1.288132589,0.30950367,-4.161929937,3.16E-05,0.007132652,CvsT1
945,Acerv_evm.model.Segkk4318_pilon.2,GO:0033554,0.00793137,0.999313252,3,18,cellular response to stress,BP,1011,33.20946596,-1.374689274,0.376087078,-3.65524197,0.00025694,0.022123716,CvsT2
394,Acerv_evm.model.Segkk2551_pilon.2,GO:0033554,0.00793137,0.999313252,3,18,cellular response to stress,BP,3015,48.28989415,-1.392129522,0.2880991,-4.832120339,1.35E-06,0.000555144,CvsT4
396,Acerv_evm.model.Segkk2551_pilon.2,GO:0033554,0.00793137,0.999313252,3,18,cellular response to stress,BP,3015,48.28989415,-1.422639168,0.273426636,-5.203001399,1.96E-07,8.44E-05,CvsT2
910,Acerv_evm.model.Segkk4124_pilon.3,GO:0071356,0.005725533,0.999562969,3,17,cellular response to tumor necrosis factor,BP,3327,1690.290979,1.96437116,0.483641615,4.061625592,4.87E-05,0.017452579,T1vsT2
580,Acerv_evm.model.Segkk3209_pilon.11,GO:0071356,0.005725533,0.999562969,3,17,cellular response to tumor necrosis factor,BP,978,68.72667436,1.258191844,0.306334265,4.107251411,4.00E-05,0.005323492,CvsT2
164,Acerv_evm.model.Segkk1945_pilon.2,GO:0071356,0.005725533,0.999562969,3,17,cellular response to tumor necrosis factor,BP,1350,16.8033195,-2.495587387,0.600891203,-4.153143487,3.28E-05,0.00470295,CvsT2
166,Acerv_evm.model.Segkk1945_pilon.2,GO:0071356,0.005725533,0.999562969,3,17,cellular response to tumor necrosis factor,BP,1350,16.8033195,-2.953644154,0.645065098,-4.578831136,4.68E-06,0.001690962,CvsT1
165,Acerv_evm.model.Segkk1945_pilon.2,GO:0071356,0.005725533,0.999562969,3,17,cellular response to tumor necrosis factor,BP,1350,16.8033195,-2.971983022,0.590917609,-5.029437229,4.92E-07,0.000211784,CvsT3
914,Acerv_evm.model.Segkk4124_pilon.3,GO:0071493,0.021153966,1,1,1,cellular response to UV-B,BP,3327,1690.290979,1.96437116,0.483641615,4.061625592,4.87E-05,0.017452579,T1vsT2
608,Acerv_evm.model.Segkk3209_pilon.11,GO:0071303,0.023199075,1,1,1,cellular response to vitamin B3,BP,978,68.72667436,1.258191844,0.306334265,4.107251411,4.00E-05,0.005323492,CvsT2
582,Acerv_evm.model.Segkk3209_pilon.11,GO:0035356,0.023199075,1,1,1,cellular triglyceride homeostasis,BP,978,68.72667436,1.258191844,0.306334265,4.107251411,4.00E-05,0.005323492,CvsT2
73,Acerv_evm.model.Segkk1821_pilon.34,GO:0008362,0.032890629,1,1,1,chitin-based embryonic cuticle biosynthetic process,BP,276,23.20158406,-1.68612304,0.422156883,-3.994067393,6.49E-05,0.011629261,CvsT1
374,Acerv_evm.model.Segkk2370_pilon.2,GO:0002063,0.017488452,0.999053449,2,9,chondrocyte development,BP,645,25.2888476,-1.71577842,0.3929028,-4.366928456,1.26E-05,0.00227844,CvsT2
372,Acerv_evm.model.Segkk2370_pilon.2,GO:0002063,0.017488452,0.999053449,2,9,chondrocyte development,BP,645,25.2888476,-1.85170704,0.432356082,-4.282828705,1.85E-05,0.004907944,CvsT1
373,Acerv_evm.model.Segkk2370_pilon.2,GO:0002063,0.017488452,0.999053449,2,9,chondrocyte development,BP,645,25.2888476,-1.864251553,0.391055011,-4.767236072,1.87E-06,0.000675437,CvsT3
375,Acerv_evm.model.Segkk2370_pilon.2,GO:0002063,0.017488452,0.999053449,2,9,chondrocyte development,BP,645,25.2888476,-1.870808456,0.405920511,-4.608804945,4.05E-06,0.001307684,CvsT4
896,Acerv_evm.model.Segkk4124_pilon.10,GO:0002063,0.017488452,0.999053449,2,9,chondrocyte development,BP,342,81.1219958,-3.779735827,0.911097229,-4.148553749,3.35E-05,0.007353092,CvsT1
920,Acerv_evm.model.Segkk4124_pilon.3,GO:0030207,0.021153966,1,1,1,chondroitin sulfate catabolic process,BP,3327,1690.290979,1.96437116,0.483641615,4.061625592,4.87E-05,0.017452579,T1vsT2
303,Acerv_evm.model.Segkk20_pilon.1,GO:0072137,0.042303313,0.999545018,1,2,condensed mesenchymal cell proliferation,BP,2294,212.1092734,1.120741572,0.195331601,5.737635713,9.60E-09,5.43E-06,CvsT2
302,Acerv_evm.model.Segkk20_pilon.1,GO:0072137,0.042303313,0.999545018,1,2,condensed mesenchymal cell proliferation,BP,2294,212.1092734,1.105598305,0.196332462,5.631255741,1.79E-08,1.01E-05,CvsT3
300,Acerv_evm.model.Segkk20_pilon.1,GO:0072137,0.042303313,0.999545018,1,2,condensed mesenchymal cell proliferation,BP,2294,212.1092734,1.048949103,0.210874909,4.974271751,6.55E-07,0.000311645,CvsT4
301,Acerv_evm.model.Segkk20_pilon.1,GO:0072137,0.042303313,0.999545018,1,2,condensed mesenchymal cell proliferation,BP,2294,212.1092734,0.966221449,0.21900738,4.411821418,1.03E-05,0.003195671,CvsT1
82,Acerv_evm.model.Segkk1851_pilon.3,GO:0071034,0.021409265,1,1,1,CUT catabolic process,BP,2100,33.16443655,-1.663676546,0.389960677,-4.266267454,1.99E-05,0.003267425,CvsT2
768,Acerv_evm.model.Segkk3450_pilon.3,GO:0006952,0.034325645,0.997162378,2,13,defense response,BP,2262,494.4152512,-0.872868173,0.230211513,-3.791592183,0.000149685,0.014871409,CvsT2
769,Acerv_evm.model.Segkk3450_pilon.3,GO:0006952,0.034325645,0.997162378,2,13,defense response,BP,2262,494.4152512,-0.938500769,0.255382349,-3.674885027,0.000237957,0.032596441,CvsT4
530,Acerv_evm.model.Segkk3095_pilon.35,GO:0006952,0.034325645,0.997162378,2,13,defense response,BP,1827,174.0645345,-1.437017836,0.406844501,-3.53210584,0.000412264,0.049522199,T1vsT2
304,Acerv_evm.model.Segkk2008_pilon.3,GO:0051607,0.010345631,0.999005857,3,19,defense response to virus,BP,2037,397.0784948,-0.708447661,0.18370997,-3.856337583,0.000115099,0.012374488,CvsT2
549,Acerv_evm.model.Segkk3192_pilon.40,GO:0051607,0.010345631,0.999005857,3,19,defense response to virus,BP,618,232.3615171,-1.533216165,0.378587941,-4.049828323,5.13E-05,0.017452579,T1vsT2
616,Acerv_evm.model.Segkk3209_pilon.7,GO:0051607,0.010345631,0.999005857,3,19,defense response to virus,BP,945,32.35072136,-1.557406948,0.387723708,-4.016795768,5.90E-05,0.010862838,CvsT4
615,Acerv_evm.model.Segkk3209_pilon.7,GO:0051607,0.010345631,0.999005857,3,19,defense response to virus,BP,945,32.35072136,-1.751596105,0.364078911,-4.811034228,1.50E-06,0.00039927,CvsT2
617,Acerv_evm.model.Segkk3209_pilon.7,GO:0051607,0.010345631,0.999005857,3,19,defense response to virus,BP,945,32.35072136,-1.907713729,0.362800964,-5.258292895,1.45E-07,6.92E-05,CvsT3
792,Acerv_evm.model.Segkk3450_pilon.3,GO:0016045,0.02140892,1,1,1,detection of bacterium,BP,2262,494.4152512,-0.872868173,0.230211513,-3.791592183,0.000149685,0.014871409,CvsT2
793,Acerv_evm.model.Segkk3450_pilon.3,GO:0016045,0.02140892,1,1,1,detection of bacterium,BP,2262,494.4152512,-0.938500769,0.255382349,-3.674885027,0.000237957,0.032596441,CvsT4
398,Acerv_evm.model.Segkk2551_pilon.2,GO:0050907,0.021285279,1,1,1,detection of chemical stimulus involved in sensory perception,BP,3015,48.28989415,-1.288132589,0.30950367,-4.161929937,3.16E-05,0.007132652,CvsT1
397,Acerv_evm.model.Segkk2551_pilon.2,GO:0050907,0.021285279,1,1,1,detection of chemical stimulus involved in sensory perception,BP,3015,48.28989415,-1.392129522,0.2880991,-4.832120339,1.35E-06,0.000555144,CvsT4
399,Acerv_evm.model.Segkk2551_pilon.2,GO:0050907,0.021285279,1,1,1,detection of chemical stimulus involved in sensory perception,BP,3015,48.28989415,-1.422639168,0.273426636,-5.203001399,1.96E-07,8.44E-05,CvsT2
788,Acerv_evm.model.Segkk3450_pilon.3,GO:0032498,0.02140892,1,1,1,detection of muramyl dipeptide,BP,2262,494.4152512,-0.872868173,0.230211513,-3.791592183,0.000149685,0.014871409,CvsT2
789,Acerv_evm.model.Segkk3450_pilon.3,GO:0032498,0.02140892,1,1,1,detection of muramyl dipeptide,BP,2262,494.4152512,-0.938500769,0.255382349,-3.674885027,0.000237957,0.032596441,CvsT4
404,Acerv_evm.model.Segkk2551_pilon.2,GO:0050961,0.021285279,1,1,1,detection of temperature stimulus involved in sensory perception,BP,3015,48.28989415,-1.288132589,0.30950367,-4.161929937,3.16E-05,0.007132652,CvsT1
403,Acerv_evm.model.Segkk2551_pilon.2,GO:0050961,0.021285279,1,1,1,detection of temperature stimulus involved in sensory perception,BP,3015,48.28989415,-1.392129522,0.2880991,-4.832120339,1.35E-06,0.000555144,CvsT4
405,Acerv_evm.model.Segkk2551_pilon.2,GO:0050961,0.021285279,1,1,1,detection of temperature stimulus involved in sensory perception,BP,3015,48.28989415,-1.422639168,0.273426636,-5.203001399,1.96E-07,8.44E-05,CvsT2
176,Acerv_evm.model.Segkk1945_pilon.2,GO:0015966,0.021654746,1,1,1,diadenosine tetraphosphate biosynthetic process,BP,1350,16.8033195,-2.495587387,0.600891203,-4.153143487,3.28E-05,0.00470295,CvsT2
178,Acerv_evm.model.Segkk1945_pilon.2,GO:0015966,0.021654746,1,1,1,diadenosine tetraphosphate biosynthetic process,BP,1350,16.8033195,-2.953644154,0.645065098,-4.578831136,4.68E-06,0.001690962,CvsT1
177,Acerv_evm.model.Segkk1945_pilon.2,GO:0015966,0.021654746,1,1,1,diadenosine tetraphosphate biosynthetic process,BP,1350,16.8033195,-2.971983022,0.590917609,-5.029437229,4.92E-07,0.000211784,CvsT3
605,Acerv_evm.model.Segkk3209_pilon.11,GO:0006346,0.044113717,0.999504776,1,2,DNA methylation-dependent heterochromatin assembly,BP,978,68.72667436,1.258191844,0.306334265,4.107251411,4.00E-05,0.005323492,CvsT2
474,Acerv_evm.model.Segkk2935_pilon.2,GO:0006269,0.044497493,0.999496022,1,2,"DNA replication, synthesis of RNA primer",BP,837,25.60082764,-2.274624131,0.561088428,-4.053949464,5.04E-05,0.011105016,CvsT3
473,Acerv_evm.model.Segkk2935_pilon.2,GO:0006269,0.044497493,0.999496022,1,2,"DNA replication, synthesis of RNA primer",BP,837,25.60082764,-2.324160081,0.599807064,-3.874846133,0.000106692,0.017863022,CvsT4
472,Acerv_evm.model.Segkk2935_pilon.2,GO:0006269,0.044497493,0.999496022,1,2,"DNA replication, synthesis of RNA primer",BP,837,25.60082764,-2.677797844,0.551471819,-4.855729256,1.20E-06,0.000338881,CvsT2
536,Acerv_evm.model.Segkk3158_pilon.3,GO:0009792,0.029388933,0.997790769,2,12,embryo development ending in birth or egg hatching,BP,855,18.51500511,-1.782289602,0.434795732,-4.099142357,4.15E-05,0.005433561,CvsT2
534,Acerv_evm.model.Segkk3158_pilon.3,GO:0009792,0.029388933,0.997790769,2,12,embryo development ending in birth or egg hatching,BP,855,18.51500511,-1.782543561,0.451222397,-3.950476691,7.80E-05,0.013304888,CvsT4
535,Acerv_evm.model.Segkk3158_pilon.3,GO:0009792,0.029388933,0.997790769,2,12,embryo development ending in birth or egg hatching,BP,855,18.51500511,-1.843570483,0.480869161,-3.833829726,0.000126163,0.0200113,CvsT1
693,Acerv_evm.model.Segkk3422_pilon.23,GO:0009792,0.029388933,0.997790769,2,12,embryo development ending in birth or egg hatching,BP,1131,501.4147614,-6.312290118,0.317141514,-19.9037018,3.78E-88,3.42E-84,CvsT2
692,Acerv_evm.model.Segkk3422_pilon.23,GO:0009792,0.029388933,0.997790769,2,12,embryo development ending in birth or egg hatching,BP,1131,501.4147614,-6.433317876,0.336652167,-19.10968802,2.10E-81,1.90E-77,CvsT4
691,Acerv_evm.model.Segkk3422_pilon.23,GO:0009792,0.029388933,0.997790769,2,12,embryo development ending in birth or egg hatching,BP,1131,501.4147614,-6.500485914,0.338080461,-19.22762969,2.17E-82,1.96E-78,CvsT1
690,Acerv_evm.model.Segkk3422_pilon.23,GO:0009792,0.029388933,0.997790769,2,12,embryo development ending in birth or egg hatching,BP,1131,501.4147614,-6.571409273,0.316934902,-20.73425564,1.70E-95,1.54E-91,CvsT3
836,Acerv_evm.model.Segkk384_pilon.7,GO:0032456,0.013229814,0.99939885,2,8,endocytic recycling,BP,1704,65.73939955,-1.517728143,0.397578007,-3.817434859,0.000134846,0.01369827,CvsT2
835,Acerv_evm.model.Segkk384_pilon.7,GO:0032456,0.013229814,0.99939885,2,8,endocytic recycling,BP,1704,65.73939955,-1.793280034,0.432200041,-4.149189871,3.34E-05,0.007015269,CvsT4
331,Acerv_evm.model.Segkk223_pilon.4,GO:0032456,0.013229814,0.99939885,2,8,endocytic recycling,BP,2742,74.9843103,-1.81313044,0.473225559,-3.831429655,0.000127401,0.019991259,CvsT4
