"","Group.1","x"
"34","Acerv_evm.model.Segkk1003_pilon.34","GO:0015074;GO:0003676"
"35","Acerv_evm.model.Segkk1003_pilon.41","GO:0015074;GO:0003676"
"36","Acerv_evm.model.Segkk1003_pilon.49","GO:0016020;GO:0016021;GO:0022857;GO:0055085"
"37","Acerv_evm.model.Segkk1003_pilon.50","GO:0003964;GO:0006278"
"38","Acerv_evm.model.Segkk1003_pilon.51","GO:0003964;GO:0006278"
"39","Acerv_evm.model.Segkk1003_pilon.55","GO:0003676;GO:0015074"
"40","Acerv_evm.model.Segkk1003_pilon.6","GO:0003676;GO:0015074;GO:0003964"
"41","Acerv_evm.model.Segkk1003_pilon.65","GO:0003676;GO:0015074"
"42","Acerv_evm.model.Segkk1003_pilon.68","GO:0003676;GO:0015074"
"43","Acerv_evm.model.Segkk1003_pilon.69","GO:0003964;GO:0006278;GO:0016020;GO:0016021"
"44","Acerv_evm.model.Segkk1003_pilon.70","GO:0003964;GO:0006278"
"45","Acerv_evm.model.Segkk1003_pilon.71","GO:0015074;GO:0003676"
"46","Acerv_evm.model.Segkk1003_pilon.8","GO:0003824;GO:0005739;GO:0009058;GO:0016020;GO:0016021;GO:0030170;NA"
"47","Acerv_evm.model.Segkk1003_pilon.81","GO:0003676;GO:0008270"
"48","Acerv_evm.model.Segkk1004_pilon.2","GO:0006270"
"49","Acerv_evm.model.Segkk1005_pilon.2","GO:0004930;GO:0007186;GO:0016021"
"50","Acerv_evm.model.Segkk1006_pilon.1","GO:0008168"
"51","Acerv_evm.model.Segkk1008_pilon.4","GO:0005515"
"52","Acerv_evm.model.Segkk101_pilon.1","GO:0005515"
"53","Acerv_evm.model.Segkk1010_pilon.1","GO:0006606"
"54","Acerv_evm.model.Segkk1010_pilon.11","GO:0005509;NA;GO:0005044;GO:0016020"
"55","Acerv_evm.model.Segkk1010_pilon.16","GO:0005576;NA"
"56","Acerv_evm.model.Segkk1010_pilon.3","GO:0005515;GO:0008270"
"57","Acerv_evm.model.Segkk1010_pilon.4","GO:0008270;GO:0005515"
"58","Acerv_evm.model.Segkk1010_pilon.5","GO:0004930;GO:0007186;GO:0016021"
"59","Acerv_evm.model.Segkk1010_pilon.7","GO:0003868;GO:0009072;GO:0016701;GO:0055114"
"60","Acerv_evm.model.Segkk1011_pilon.1","GO:0005515"
"61","Acerv_evm.model.Segkk1011_pilon.10","GO:0003677"
"62","Acerv_evm.model.Segkk1011_pilon.11","GO:0003677"
"63","Acerv_evm.model.Segkk1011_pilon.12","GO:0000981;GO:0003677;GO:0005634;GO:0006355;GO:0006357;GO:0007275;NA"
"64","Acerv_evm.model.Segkk1011_pilon.13","GO:0005515"
"65","Acerv_evm.model.Segkk1011_pilon.14","GO:0016020;GO:0016021"
"66","Acerv_evm.model.Segkk1011_pilon.15","GO:0051015"
"67","Acerv_evm.model.Segkk1011_pilon.18","GO:0016020;GO:0016021;GO:0005515"
"68","Acerv_evm.model.Segkk1011_pilon.19","GO:0005267"
"69","Acerv_evm.model.Segkk1011_pilon.20","GO:0000289;GO:0003723;GO:0006397;GO:0031251"
"70","Acerv_evm.model.Segkk1011_pilon.21","GO:0016020;GO:0016021;GO:0006486"
"71","Acerv_evm.model.Segkk1011_pilon.23","GO:0016021;GO:0000166;GO:0030001;GO:0046872;GO:0005507;GO:0006812;GO:0019829"
"72","Acerv_evm.model.Segkk1011_pilon.24","GO:0000423;GO:0005080;GO:0005776;GO:0007005;GO:0007032;GO:0008270;GO:0016235;GO:0035973;GO:0044753;GO:0046872;GO:0070530;NA;GO:0005515"
"73","Acerv_evm.model.Segkk1011_pilon.25","GO:0005515"
"74","Acerv_evm.model.Segkk1011_pilon.26","GO:0046983"
"75","Acerv_evm.model.Segkk1011_pilon.27","GO:0004672;GO:0004713;GO:0004714;GO:0005524;GO:0006468;GO:0007169;GO:0016020;GO:0016021;GO:0018108;GO:0019838;GO:0038084;GO:0048010;GO:0005769;GO:0005783;GO:0030054"
"76","Acerv_evm.model.Segkk1011_pilon.28","GO:0004930;GO:0007186;GO:0016021"
"77","Acerv_evm.model.Segkk1011_pilon.29","GO:0016021;GO:0004930;GO:0007186"
"78","Acerv_evm.model.Segkk1011_pilon.3","GO:0000981;GO:0006355;GO:0003677"
"79","Acerv_evm.model.Segkk1011_pilon.30","GO:0016021"
"80","Acerv_evm.model.Segkk1011_pilon.32","GO:0004930;GO:0007186;GO:0016021"
"81","Acerv_evm.model.Segkk1011_pilon.34","GO:0016021"
"82","Acerv_evm.model.Segkk1011_pilon.35","GO:0004672;GO:0004713;GO:0004714;GO:0005524;GO:0006468;GO:0007169;GO:0016020;GO:0016021;GO:0018108;GO:0019838;GO:0038084;GO:0048010;GO:0005769;GO:0005783;GO:0030054"
"83","Acerv_evm.model.Segkk1011_pilon.36","GO:0004672;GO:0004713;GO:0004714;GO:0005524;GO:0006468;GO:0007169;GO:0016020;GO:0016021;GO:0018108;GO:0019838;GO:0038084;GO:0048010;GO:0005769;GO:0005783;GO:0030054"
"84","Acerv_evm.model.Segkk1011_pilon.37","GO:0004713;GO:0006468;GO:0004672;GO:0005524;GO:0004714;GO:0007169"
"85","Acerv_evm.model.Segkk1011_pilon.39","NA;GO:0005244;GO:0005262;GO:0016021;GO:0034765"
"86","Acerv_evm.model.Segkk1011_pilon.4","GO:0000981;GO:0003677;GO:0005634;GO:0006357;NA;GO:0006355"
"87","Acerv_evm.model.Segkk1011_pilon.41","GO:0046982"
"88","Acerv_evm.model.Segkk1011_pilon.46","GO:0005794;GO:0005887;GO:0005901;GO:0060090;GO:0070836;NA"
"89","Acerv_evm.model.Segkk1011_pilon.47","GO:0005201;GO:0005509"
"90","Acerv_evm.model.Segkk1011_pilon.5","GO:0003677;GO:0000981;GO:0006355"
"91","Acerv_evm.model.Segkk1011_pilon.52","GO:0005201"
"92","Acerv_evm.model.Segkk1011_pilon.53","GO:0003676;GO:0005524;GO:0004386"
"93","Acerv_evm.model.Segkk1011_pilon.54","GO:0000350;GO:0035091"
"94","Acerv_evm.model.Segkk1011_pilon.55","GO:0009201;GO:0009260;GO:0016740;GO:1901566;GO:0004550;GO:0005524;GO:0006183;GO:0006228;GO:0006241;GO:0006165"
"95","Acerv_evm.model.Segkk1011_pilon.56","GO:0003676;GO:0004190;GO:0006508;GO:0015074;GO:0003964;GO:0004519"
"96","Acerv_evm.model.Segkk1011_pilon.57","GO:0000166;GO:0009209;GO:0009220;GO:0016301;GO:0016310;GO:0004550;GO:0005524;GO:0006183;GO:0006228;GO:0006241;GO:0006165"
"97","Acerv_evm.model.Segkk1011_pilon.7","GO:0003677"
"98","Acerv_evm.model.Segkk1011_pilon.8","GO:0003677"
"99","Acerv_evm.model.Segkk1012_pilon.4","GO:0003676"
"100","Acerv_evm.model.Segkk1012_pilon.5","GO:0046983;GO:0006508;GO:0008234"
"101","Acerv_evm.model.Segkk1013_pilon.1","GO:0016740;GO:0004714;GO:0005524;GO:0016021;GO:0004672;GO:0006468;GO:0004713"
"102","Acerv_evm.model.Segkk1014_pilon.2","GO:0005515"
"103","Acerv_evm.model.Segkk1014_pilon.3","GO:0005524;GO:0006464;GO:0016491;GO:0016620;GO:0016874;GO:0055114"
"104","Acerv_evm.model.Segkk1015_pilon.1","GO:0046872"
"105","Acerv_evm.model.Segkk1016_pilon.1","GO:0003700;GO:0005634;GO:0006355"
"106","Acerv_evm.model.Segkk1016_pilon.10","GO:0005515"
"107","Acerv_evm.model.Segkk1016_pilon.3","GO:0005506;GO:0016705;GO:0020037;GO:0055114"
"108","Acerv_evm.model.Segkk1016_pilon.9","GO:0005515"
"109","Acerv_evm.model.Segkk1017_pilon.3","GO:0003676;GO:0008270"
"110","Acerv_evm.model.Segkk1020_pilon.3","GO:0005515"
"111","Acerv_evm.model.Segkk1023_pilon.1","GO:0005515"
"112","Acerv_evm.model.Segkk1024_pilon.10","GO:0003924;GO:0005525"
"113","Acerv_evm.model.Segkk1024_pilon.11","GO:0005515;GO:0004672;GO:0005524;GO:0006468"
"114","Acerv_evm.model.Segkk1024_pilon.2","GO:0005515"
"115","Acerv_evm.model.Segkk1024_pilon.4","GO:0005515"
"116","Acerv_evm.model.Segkk1024_pilon.5","GO:0022857;GO:0055085"
"117","Acerv_evm.model.Segkk1024_pilon.6","GO:0046983"
"118","Acerv_evm.model.Segkk1024_pilon.9","GO:0005515"
"119","Acerv_evm.model.Segkk1025_pilon.1","GO:0004252;GO:0006508"
"120","Acerv_evm.model.Segkk1026_pilon.2","GO:0005515"
"121","Acerv_evm.model.Segkk1026_pilon.3","GO:0016020;GO:0016021;GO:0016567;GO:0019005;GO:0080008;GO:0005515"
"122","Acerv_evm.model.Segkk1027_pilon.4","GO:0005201"
"123","Acerv_evm.model.Segkk1028_pilon.10","GO:0005576;GO:0035821;GO:0090729;NA;GO:0005515"
"124","Acerv_evm.model.Segkk1028_pilon.2","GO:0003824"
"125","Acerv_evm.model.Segkk1029_pilon.1","GO:0004798;GO:0005524;GO:0006233;GO:0016301;GO:0016310;GO:0046940"
"126","Acerv_evm.model.Segkk1029_pilon.10","GO:0003964;GO:0006278"
"127","Acerv_evm.model.Segkk1029_pilon.13","GO:0008270"
"128","Acerv_evm.model.Segkk1029_pilon.14","GO:0006486;GO:0016020"
"129","Acerv_evm.model.Segkk1029_pilon.2","GO:0006508;GO:0008237;GO:0008241;GO:0016020"
"130","Acerv_evm.model.Segkk1029_pilon.8","GO:0006812;GO:0015299;GO:0016021;GO:0055085"
"131","Acerv_evm.model.Segkk1029_pilon.9","GO:0005515"
"132","Acerv_evm.model.Segkk103_pilon.1","GO:0016740;GO:0016746;GO:0009058;GO:0016788;GO:0004315;GO:0006633"
"133","Acerv_evm.model.Segkk1030_pilon.2","GO:0003676;GO:0005524"
"134","Acerv_evm.model.Segkk1031_pilon.1","GO:0004842"
"135","Acerv_evm.model.Segkk1031_pilon.11","GO:0004672;GO:0006468;GO:0005524;GO:0004713"
"136","Acerv_evm.model.Segkk1031_pilon.2","GO:0008080"
"137","Acerv_evm.model.Segkk1031_pilon.3","GO:0005515;GO:0008270"
"138","Acerv_evm.model.Segkk1031_pilon.4","GO:0008270;GO:0005515"
"139","Acerv_evm.model.Segkk1031_pilon.5","GO:0005515"
"140","Acerv_evm.model.Segkk1031_pilon.6","GO:0005515"
"141","Acerv_evm.model.Segkk1031_pilon.7","GO:0003676;GO:0005524;GO:0004386"
"142","Acerv_evm.model.Segkk1031_pilon.8","GO:0001534;GO:0060271;GO:0060294"
"143","Acerv_evm.model.Segkk1031_pilon.9","GO:0005515;GO:0007165"
"144","Acerv_evm.model.Segkk1034_pilon.1","GO:0005515"
"145","Acerv_evm.model.Segkk1035_pilon.1","GO:0005515"
"146","Acerv_evm.model.Segkk1035_pilon.10","GO:0008270"
"147","Acerv_evm.model.Segkk1035_pilon.11","GO:0005576;GO:0006629;GO:0008081;GO:0016042;GO:0016829;GO:0019835;GO:0035821;GO:0044179;GO:0046872;GO:0090729;NA"
"148","Acerv_evm.model.Segkk1035_pilon.13","GO:0005515"
"149","Acerv_evm.model.Segkk1035_pilon.6","GO:0008270"
"150","Acerv_evm.model.Segkk1035_pilon.7","GO:0005576;GO:0006629;GO:0008081;GO:0016042;GO:0016829;GO:0019835;GO:0035821;GO:0044179;GO:0046872;GO:0090729;NA"
"151","Acerv_evm.model.Segkk1035_pilon.8","GO:0003676"
"152","Acerv_evm.model.Segkk1035_pilon.9","GO:0003676;GO:0008270"
"153","Acerv_evm.model.Segkk1036_pilon.1","GO:0006486;GO:0016020"
"154","Acerv_evm.model.Segkk1036_pilon.7","GO:0008270"
"155","Acerv_evm.model.Segkk1037_pilon.2","GO:0016787;NA;GO:0003677;GO:0006310;GO:0015074"
"156","Acerv_evm.model.Segkk1037_pilon.3","GO:0016787"
"157","Acerv_evm.model.Segkk1037_pilon.7","GO:0016787"
"158","Acerv_evm.model.Segkk1037_pilon.8","GO:0016787"
"159","Acerv_evm.model.Segkk1038_pilon.1","GO:0008242"
"160","Acerv_evm.model.Segkk1038_pilon.2","GO:0008242;GO:0016787"
"161","Acerv_evm.model.Segkk1039_pilon.1","GO:0003723"
"162","Acerv_evm.model.Segkk1039_pilon.2","GO:0008168;NA"
"163","Acerv_evm.model.Segkk1039_pilon.3","GO:0004672;GO:0005524;GO:0006468"
"164","Acerv_evm.model.Segkk1039_pilon.4","GO:0005515;GO:0007165"
"165","Acerv_evm.model.Segkk104_pilon.3","GO:0007018;GO:0008569;GO:0030286"
"166","Acerv_evm.model.Segkk1040_pilon.1","GO:0000166;GO:0005524;GO:0005737;GO:0006139;GO:0009157;GO:0019136"
"167","Acerv_evm.model.Segkk1040_pilon.10","GO:0070403;GO:0016740"
"168","Acerv_evm.model.Segkk1040_pilon.11","GO:0003779;GO:0007010;GO:0000902"
"169","Acerv_evm.model.Segkk1040_pilon.12","GO:0045116;GO:0008641"
"170","Acerv_evm.model.Segkk1040_pilon.13","GO:0004812;GO:0005524;GO:0043039;GO:0000166;GO:0004813;GO:0006419;GO:0005737;GO:0003676;GO:0016787"
"171","Acerv_evm.model.Segkk1040_pilon.14","GO:0005506;GO:0008610;GO:0016491;GO:0055114;GO:0006629;GO:0016021;GO:0080132;GO:0020037"
"172","Acerv_evm.model.Segkk1040_pilon.16","GO:0046983"
"173","Acerv_evm.model.Segkk1040_pilon.17","GO:0008168;GO:0018216;NA;GO:0006479;GO:0035246;GO:0016274"
"174","Acerv_evm.model.Segkk1040_pilon.18","GO:0004930;GO:0007186;GO:0016021"
"175","Acerv_evm.model.Segkk1040_pilon.19","GO:0005249;GO:0006813;GO:0008076;GO:0005216;GO:0006811;GO:0016020;GO:0055085;GO:0005515;GO:0051260"
"176","Acerv_evm.model.Segkk1040_pilon.2","GO:0005789;GO:0019915"
"177","Acerv_evm.model.Segkk1040_pilon.20","GO:0008092;GO:0005856"
"178","Acerv_evm.model.Segkk1040_pilon.21","GO:0005794;GO:0005874;GO:0008017;GO:0031514;GO:0034613;GO:0048870;NA"
"179","Acerv_evm.model.Segkk1040_pilon.28","GO:0055114"
"180","Acerv_evm.model.Segkk1040_pilon.3","GO:0005744;GO:0030150"
"181","Acerv_evm.model.Segkk1040_pilon.30","GO:0003677;GO:0046982;GO:0000786"
"182","Acerv_evm.model.Segkk1040_pilon.32","GO:0004843;GO:0006511;GO:0016579"
"183","Acerv_evm.model.Segkk1040_pilon.33","GO:0004176;GO:0004222;GO:0005524;GO:0008270;GO:0016021;GO:0006508;GO:0016020;GO:0016887"
"184","Acerv_evm.model.Segkk1040_pilon.34","GO:0005515"
"185","Acerv_evm.model.Segkk1040_pilon.5","GO:0005634;GO:0045892"
"186","Acerv_evm.model.Segkk1040_pilon.7","GO:0003712;GO:0016592;GO:0045944;NA;GO:0006357"
"187","Acerv_evm.model.Segkk1040_pilon.8","GO:0003676"
"188","Acerv_evm.model.Segkk1040_pilon.9","GO:0005975;GO:0016773;GO:0004856;GO:0042732"
"189","Acerv_evm.model.Segkk1041_pilon.2","GO:0001733;GO:0009247;GO:0016021;GO:0003824"
"190","Acerv_evm.model.Segkk1042_pilon.3","GO:0005509"
"191","Acerv_evm.model.Segkk1042_pilon.4","GO:0005509"
"192","Acerv_evm.model.Segkk1042_pilon.5","GO:0004672;GO:0005524;GO:0006468"
"193","Acerv_evm.model.Segkk1042_pilon.6","GO:0004672;GO:0005524;GO:0006468"
"194","Acerv_evm.model.Segkk1042_pilon.7","GO:0005515"
"195","Acerv_evm.model.Segkk1042_pilon.8","GO:0006812;GO:0015299;GO:0016021;GO:0055085;GO:0005216;GO:0006811;GO:0016020"
"196","Acerv_evm.model.Segkk1044_pilon.1","GO:0016020;GO:0016021"
"197","Acerv_evm.model.Segkk1044_pilon.12","GO:0005515"
"198","Acerv_evm.model.Segkk1044_pilon.13","GO:0005515"
"199","Acerv_evm.model.Segkk1044_pilon.14","GO:0005737;GO:0009987;GO:0000938;GO:0003676;GO:0005829;GO:0010008;GO:0015074;GO:0042147"
"200","Acerv_evm.model.Segkk1044_pilon.2","GO:0004843;GO:0006511;GO:0016579"
"201","Acerv_evm.model.Segkk1044_pilon.3","GO:0005515"
"202","Acerv_evm.model.Segkk1044_pilon.5","GO:0016757"
"203","Acerv_evm.model.Segkk1044_pilon.7","GO:0005515"
"204","Acerv_evm.model.Segkk1044_pilon.8","GO:0006508;GO:0008236"
"205","Acerv_evm.model.Segkk1045_pilon.2","GO:0006470;GO:0008138;GO:0016311;GO:0004725;GO:0017017;GO:0016791"
"206","Acerv_evm.model.Segkk1046_pilon.1","GO:0004672;GO:0005524;GO:0006468"
"207","Acerv_evm.model.Segkk1046_pilon.10","GO:0035556;GO:0004674;GO:0005524;GO:0006468;GO:0004672;GO:0004697"
"208","Acerv_evm.model.Segkk1046_pilon.13","GO:0003824"
"209","Acerv_evm.model.Segkk1046_pilon.17","GO:0005515;GO:0016491;GO:0055114"
"210","Acerv_evm.model.Segkk1046_pilon.19","GO:0003677;GO:0006281;GO:0003676;GO:0004518;GO:0016788;GO:0006486;GO:0016020"
"211","Acerv_evm.model.Segkk1046_pilon.2","GO:0004672;GO:0005524;GO:0006468"
"212","Acerv_evm.model.Segkk1046_pilon.4","GO:0004672;GO:0005524;GO:0006468"
"213","Acerv_evm.model.Segkk1047_pilon.1","GO:0005096"
"214","Acerv_evm.model.Segkk1047_pilon.10","GO:0003779"
"215","Acerv_evm.model.Segkk1047_pilon.11","GO:0008270;GO:0005515"
"216","Acerv_evm.model.Segkk1047_pilon.3","GO:0003924;GO:0005525"
"217","Acerv_evm.model.Segkk1047_pilon.4","GO:0005856"
"218","Acerv_evm.model.Segkk1047_pilon.6","GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0005925;GO:0007172"
"219","Acerv_evm.model.Segkk1047_pilon.7","GO:0005515;GO:0005262;GO:0016020;GO:0070588;GO:0005216;GO:0006811;GO:0055085"
"220","Acerv_evm.model.Segkk1047_pilon.8","GO:0003735;GO:0005840;GO:0006412"
"221","Acerv_evm.model.Segkk1047_pilon.9","GO:0005525;GO:0003924"
"222","Acerv_evm.model.Segkk1048_pilon.13","GO:0003723;GO:0003676"
"223","Acerv_evm.model.Segkk1048_pilon.15","GO:0005515"
"224","Acerv_evm.model.Segkk1048_pilon.16","GO:0003824"
"225","Acerv_evm.model.Segkk1048_pilon.17","GO:1990817"
"226","Acerv_evm.model.Segkk1048_pilon.18","GO:0005515"
"227","Acerv_evm.model.Segkk1048_pilon.2","GO:0016020;GO:0016021"
"228","Acerv_evm.model.Segkk1048_pilon.20","GO:0036297;GO:0043240"
"229","Acerv_evm.model.Segkk1048_pilon.21","GO:0003723;GO:0008168;GO:0016740;GO:0032259;GO:0001510"
"230","Acerv_evm.model.Segkk1048_pilon.22","GO:0005515"
"231","Acerv_evm.model.Segkk1048_pilon.24","GO:0055114;GO:0016491"
"232","Acerv_evm.model.Segkk1048_pilon.25","GO:0055114;GO:0016491"
"233","Acerv_evm.model.Segkk1048_pilon.26","GO:0003735;GO:0005840;GO:0006412;GO:0019843;NA"
"234","Acerv_evm.model.Segkk1048_pilon.28","GO:0000166;GO:0004812;GO:0005524;GO:0006418"
"235","Acerv_evm.model.Segkk1048_pilon.3","GO:0008146;GO:0016021"
"236","Acerv_evm.model.Segkk1048_pilon.8","GO:0003746;GO:0005739;GO:0006412;GO:0006414;GO:0005515"
"237","Acerv_evm.model.Segkk1048_pilon.9","GO:0004930;GO:0007186;GO:0016021"
"238","Acerv_evm.model.Segkk1049_pilon.1","GO:0005515"
"239","Acerv_evm.model.Segkk1049_pilon.2","GO:0016021"
"240","Acerv_evm.model.Segkk1049_pilon.3","GO:0005524;GO:0006457;GO:0051082"
"241","Acerv_evm.model.Segkk1049_pilon.5","GO:0006629;GO:0008081"
"242","Acerv_evm.model.Segkk1049_pilon.7","GO:0003824"
"243","Acerv_evm.model.Segkk105_pilon.1","GO:0005509"
"244","Acerv_evm.model.Segkk105_pilon.10","GO:0003700;GO:0006355;GO:0043565"
"245","Acerv_evm.model.Segkk105_pilon.11","GO:0003700;GO:0006355;GO:0043565"
"246","Acerv_evm.model.Segkk105_pilon.12","GO:0003700;GO:0006355;GO:0043565"
"247","Acerv_evm.model.Segkk105_pilon.14","GO:0003700;GO:0006355;GO:0043565"
"248","Acerv_evm.model.Segkk105_pilon.15","GO:0003700;GO:0006355;GO:0043565"
"249","Acerv_evm.model.Segkk105_pilon.17","GO:0019773;GO:0043161;GO:0006511;GO:0005839;GO:0051603"
"250","Acerv_evm.model.Segkk105_pilon.18","GO:0046872;GO:0006508"
"251","Acerv_evm.model.Segkk105_pilon.19","GO:0003924;GO:0005525;GO:0007264"
"252","Acerv_evm.model.Segkk105_pilon.20","GO:0003924;GO:0005525;GO:0007264"
"253","Acerv_evm.model.Segkk105_pilon.22","GO:0003677;GO:0006281"
"254","Acerv_evm.model.Segkk105_pilon.24","GO:0016491;GO:0055114"
"255","Acerv_evm.model.Segkk105_pilon.25","GO:0016301;GO:0016772;GO:0003824"
"256","Acerv_evm.model.Segkk105_pilon.27","GO:0031514;GO:0060271;NA;GO:0005515"
"257","Acerv_evm.model.Segkk105_pilon.3","GO:0009058;GO:0016742;GO:0016491;GO:0055114;GO:0003824;GO:0005737;GO:0006730;GO:0009258;GO:0016155;GO:0016620"
"258","Acerv_evm.model.Segkk105_pilon.4","GO:0022857;GO:0055085"
"259","Acerv_evm.model.Segkk105_pilon.6","GO:0022857;GO:0055085"
"260","Acerv_evm.model.Segkk105_pilon.7","GO:0003700;GO:0006355;GO:0043565"
"261","Acerv_evm.model.Segkk105_pilon.8","GO:0005216;GO:0005262;GO:0006811;GO:0016020;GO:0016021;GO:0055085;GO:0070588;NA"
"262","Acerv_evm.model.Segkk105_pilon.9","GO:0005216;GO:0005262;GO:0006811;GO:0016020;GO:0016021;GO:0055085;GO:0070588"
"263","Acerv_evm.model.Segkk1050_pilon.10","GO:0008376;GO:0032580"
"264","Acerv_evm.model.Segkk1050_pilon.13","GO:0046983"
"265","Acerv_evm.model.Segkk1050_pilon.14","GO:0005509"
"266","Acerv_evm.model.Segkk1050_pilon.19","GO:0006886;GO:0008536"
"267","Acerv_evm.model.Segkk1050_pilon.20","GO:0005515;GO:0004096;GO:0020037;GO:0055114"
"268","Acerv_evm.model.Segkk1050_pilon.3","GO:0003677;GO:0004677;GO:0005524;GO:0005634;GO:0006303;GO:0006281;GO:0005515;GO:0016301"
"269","Acerv_evm.model.Segkk1050_pilon.33","GO:0008168;GO:0016706;GO:0055114"
"270","Acerv_evm.model.Segkk1050_pilon.34","GO:0016021"
"271","Acerv_evm.model.Segkk1050_pilon.35","GO:0016021"
"272","Acerv_evm.model.Segkk1050_pilon.36","GO:0016021"
"273","Acerv_evm.model.Segkk1050_pilon.37","GO:0004190;GO:0006508"
"274","Acerv_evm.model.Segkk1050_pilon.38","GO:0016021"
"275","Acerv_evm.model.Segkk1050_pilon.39","GO:0016021"
"276","Acerv_evm.model.Segkk1050_pilon.40","GO:0003700;GO:0006355;GO:0043565"
"277","Acerv_evm.model.Segkk1050_pilon.5","GO:0005515"
"278","Acerv_evm.model.Segkk1050_pilon.6","GO:0016021"
"279","Acerv_evm.model.Segkk1050_pilon.8","GO:0005452;GO:0006820;GO:0016020;GO:0016021;GO:0008509"
"280","Acerv_evm.model.Segkk1053_pilon.2","GO:0005515"
"281","Acerv_evm.model.Segkk1053_pilon.3","GO:0005515"
"282","Acerv_evm.model.Segkk1053_pilon.6","GO:0004672;GO:0004713;GO:0005524;GO:0006468;GO:0016020;GO:0016021;GO:0016301;GO:0016310;GO:0018108"
"283","Acerv_evm.model.Segkk1054_pilon.1","GO:0016021;GO:0004930;GO:0007186"
"284","Acerv_evm.model.Segkk1055_pilon.1","GO:0003677"
"285","Acerv_evm.model.Segkk1056_pilon.1","GO:0016020;GO:0016021;GO:0022857;GO:0055085"
"286","Acerv_evm.model.Segkk1059_pilon.1","GO:0005515"
"287","Acerv_evm.model.Segkk1059_pilon.3","GO:0005515"
"288","Acerv_evm.model.Segkk1059_pilon.4","GO:0005515"
"289","Acerv_evm.model.Segkk1059_pilon.6","GO:0003677"
"290","Acerv_evm.model.Segkk106_pilon.1","GO:0004672;GO:0006468;GO:0004713;GO:0005524"
"291","Acerv_evm.model.Segkk106_pilon.2","GO:0004672;GO:0006468"
"292","Acerv_evm.model.Segkk106_pilon.3","GO:0003676;GO:0005524"
"293","Acerv_evm.model.Segkk1061_pilon.1","GO:0051015;GO:0003779;GO:0007010"
"294","Acerv_evm.model.Segkk1062_pilon.2","GO:0004672;GO:0006468;GO:0005524;GO:0016021"
"295","Acerv_evm.model.Segkk1063_pilon.2","GO:0003677;GO:0006310;GO:0015074;NA"
"296","Acerv_evm.model.Segkk1063_pilon.3","GO:0005515"
"297","Acerv_evm.model.Segkk1063_pilon.4","GO:0004713;GO:0006468;GO:0004672;GO:0005524"
"298","Acerv_evm.model.Segkk1063_pilon.7","GO:0005515"
