"","GO.IDs","term","ontology","over_represented_pvalue","Species","Site","GO.Term","GO.Slim.Term","Cat"
"13593","GO:0030169","low-density lipoprotein particle binding","MF",0.024248516,"A.cervicornis","Florida","low-density lipoprotein binding","other molecular function","F"
"13650","GO:0030234","enzyme regulator activity","MF",0.034102806,"A.cervicornis","Florida","enzyme regulator activity","enzyme regulator activity","F"
"13781","GO:0030366","molybdopterin synthase activity","MF",0.023879772,"A.cervicornis","Florida","Mo-molybdopterin synthase activity","other molecular function","F"
"13920","GO:0030544","Hsp70 protein binding","MF",0.001864512,"A.cervicornis","Florida","Hsp70 protein binding","other molecular function","F"
"16088","GO:0032500","muramyl dipeptide binding","MF",0.02140892,"A.cervicornis","Florida","muramyl dipeptide binding","other molecular function","F"
"16143","GO:0032555","purine ribonucleotide binding","MF",0.004566405,"A.cervicornis","Florida","purine ribonucleotide binding","other molecular function","F"
"18576","GO:0034711","inhibin binding","MF",0.031712692,"A.cervicornis","Florida","inhibin binding","other molecular function","F"
"18947","GO:0035064","methylated histone binding","MF",0.04916871,"A.cervicornis","Florida","methylated histone residue binding","other molecular function","F"
"20173","GO:0042834","peptidoglycan binding","MF",0.02140892,"A.cervicornis","Florida","peptidoglycan binding","other molecular function","F"
"20775","GO:0043422","protein kinase B binding","MF",0.00310528,"A.cervicornis","Florida","protein kinase B binding","other molecular function","F"
"21945","GO:0045294","alpha-catenin binding","MF",0.048708753,"A.cervicornis","Florida","alpha-catenin binding","other molecular function","F"
"21968","GO:0045322","unmethylated CpG binding","MF",0.048350137,"A.cervicornis","Florida","unmethylated CpG binding","nucleic acid binding activity","F"
"23224","GO:0046556","alpha-L-arabinofuranosidase activity","MF",0.021409242,"A.cervicornis","Florida","alpha-N-arabinofuranosidase activity","other molecular function","F"
"23663","GO:0046969","NAD-dependent histone deacetylase activity (H3-K9 specific)","MF",0.023199075,"A.cervicornis","Florida","NAD-dependent histone deacetylase activity (H3-K9 specific)","other molecular function","F"
"24150","GO:0047464","heparosan-N-sulfate-glucuronate 5-epimerase activity","MF",0.021409287,"A.cervicornis","Florida","heparosan-N-sulfate-glucuronate 5-epimerase activity","other molecular function","F"
"24170","GO:0047485","protein N-terminus binding","MF",0.010487785,"A.cervicornis","Florida","protein N-terminus binding","other molecular function","F"
"26033","GO:0050379","UDP-glucuronate 5'-epimerase activity","MF",0.021409287,"A.cervicornis","Florida","UDP-glucuronate 5'-epimerase activity","other molecular function","F"
"26147","GO:0050501","hyaluronan synthase activity","MF",0.021153966,"A.cervicornis","Florida","hyaluronan synthase activity","other molecular function","F"
"26338","GO:0050694","galactose 3-O-sulfotransferase activity","MF",0.045450337,"A.cervicornis","Florida","galactose 3-O-sulfotransferase activity","other molecular function","F"
"26344","GO:0050700","CARD domain binding","MF",0.02140892,"A.cervicornis","Florida","CARD domain binding","other molecular function","F"
"27610","GO:0051879","Hsp90 protein binding","MF",0.039628326,"A.cervicornis","Florida","Hsp90 protein binding","other molecular function","F"
"28148","GO:0052381","tRNA dimethylallyltransferase activity","MF",0.025600312,"A.cervicornis","Florida",NA,NA,NA
"28263","GO:0052834","inositol monophosphate phosphatase activity","MF",0.026805507,"A.cervicornis","Florida",NA,NA,NA
"29364","GO:0062063","BBSome binding","MF",0.030458925,"A.cervicornis","Florida",NA,NA,NA
"29494","GO:0070097","delta-catenin binding","MF",0.026197771,"A.cervicornis","Florida","delta-catenin binding","other molecular function","F"
"29877","GO:0070403","NAD+ binding","MF",0.004704611,"A.cervicornis","Florida","NAD binding","other molecular function","F"
"30436","GO:0071164","RNA trimethylguanosine synthase activity","MF",0.034668541,"A.cervicornis","Florida",NA,NA,NA
"31002","GO:0089720","caspase binding","MF",0.042535074,"A.cervicornis","Florida",NA,NA,NA
"31071","GO:0097657","3',5'-nucleotide bisphosphate phosphatase activity","MF",0.026805507,"A.cervicornis","Florida",NA,NA,NA
"31077","GO:0098821","BMP receptor activity","MF",0.031712692,"A.cervicornis","Florida",NA,NA,NA
"31215","GO:1990254","keratin filament binding","MF",0.023199075,"A.cervicornis","Florida",NA,NA,NA
