"","gene_id","scaffold","gene.start","gene.stop","length","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","X6_1","X7_1","X8_1","X9_1","X21_1","X22_1","X23_1","X25_1","X26_1","X27_1","X29_1","X34_1"
"2080","plut2.m8.31051","xfSc0000330",24396,27245,2849,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2124","plut2.m8.31688","xfSc0000894",144,20066,19922,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2189","plut2.m8.32862","xpSc0007108",56446,77064,20618,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2229","plut2.m8.33402","xpSc0007313",34284,35480,1196,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2243","plut2.m8.33550","xpSc0007622",8291,11143,2852,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2305","plut2.m8.3794","Sc0000032",788493,791955,3462,"GO:0005874",0.000720866884678601,0.999973407738548,3,18,"microtubule","CC",218.662426026332,-2.53113478392278,0.192526428988104,-13.1469471346148,1.77184962144293e-39,1.36122347167353e-35,"CvsMid",198,269,185,30,405,180,265,127,84,245,270,144
"2309","plut2.m8.3795","Sc0000032",793800,811845,18045,"GO:0005874",0.000720866884678601,0.999973407738548,3,18,"microtubule","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2340","plut2.m8.4114","Sc0000035",1487817,1491421,3604,"GO:0005874",0.000720866884678601,0.999973407738548,3,18,"microtubule","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2399","plut2.m8.4594","Sc0000040",1508144,1510309,2165,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2410","plut2.m8.471","Sc0000002",1752947,1755744,2797,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2429","plut2.m8.488","Sc0000002",2035956,2043599,7643,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2551","plut2.m8.5946","Sc0000055",372055,378088,6033,"GO:0005874",0.000720866884678601,0.999973407738548,3,18,"microtubule","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2563","plut2.m8.5992","Sc0000055",1308535,1313970,5435,"GO:0005874",0.000720866884678601,0.999973407738548,3,18,"microtubule","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2603","plut2.m8.639","Sc0000003",1959793,1966543,6750,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2613","plut2.m8.646","Sc0000003",1981375,1990290,8915,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2634","plut2.m8.6610","Sc0000063",1256793,1279791,22998,"GO:0005874",0.000720866884678601,0.999973407738548,3,18,"microtubule","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2771","plut2.m8.7555","Sc0000077",115361,124973,9612,"GO:0005874",0.000720866884678601,0.999973407738548,3,18,"microtubule","CC",203.555668283883,-2.51384159215156,0.348453803918732,-7.21427507428747,5.4222050579449e-13,8.48236528795748e-10,"CvsMid",182,286,200,47,166,131,277,99,76,155,221,236
"2910","plut2.m8.89","Sc0000000",1543880,1585061,41181,"GO:0005874",0.000720866884678601,0.999973407738548,3,18,"microtubule","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2921","plut2.m8.90","Sc0000000",1513772,1533855,20083,"GO:0005874",0.000720866884678601,0.999973407738548,3,18,"microtubule","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2947","plut2.m8.92","Sc0000000",1498563,1506064,7501,"GO:0005874",0.000720866884678601,0.999973407738548,3,18,"microtubule","CC",731.37953358112,-0.653324509577531,0.142026471602652,-4.60001929362395,4.22451811479709e-06,0.00144243824075238,"CvsMid",1483,721,594,395,848,711,695,1186,886,662,632,419
"2953","plut2.m8.9273","Sc0000105",285775,289287,3512,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",17.9391673187969,-1.62817365563237,0.374927738643645,-4.34263322719873,1.40785058509795e-05,0.00360527070667166,"CvsMid",22,23,23,8,30,16,13,23,10,12,19,9
"2956","plut2.m8.9280","Sc0000105",317917,322632,4715,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2974","plut2.m8.9495","Sc0000109",266907,278932,12025,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
