"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","X6_1","X7_1","X8_1","X9_1","X21_1","X22_1","X23_1","X25_1","X26_1","X27_1","X29_1","X34_1","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"38","plut2.m8.12089",164.472877435761,0.9044147144996,0.242865960180886,3.72392538594538,0.000196148919150705,0.0358789064613165,"CvsHigh",627,138,106,190,147,68,129,548,276,91,123,57,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"39","plut2.m8.1212",180.48500445574,0.782628118801629,0.21896843848903,3.5741594734021,0.000351354747603249,0.0495281256598525,"CvsMid",682,223,85,97,162,170,240,461,413,121,75,53,"GO:0006213",0.0263116831258821,0.999825751285157,1,2,"pyrimidine nucleoside metabolic process","BP"
"40","plut2.m8.1212",180.48500445574,0.782628118801629,0.21896843848903,3.5741594734021,0.000351354747603249,0.0495281256598525,"CvsMid",682,223,85,97,162,170,240,461,413,121,75,53,"GO:0006206",0.00806767354867955,1,1,1,"pyrimidine nucleobase metabolic process","BP"
"41","plut2.m8.12181",12.8314933703619,-1.97814777594707,0.412815981664605,-4.79183913367538,1.65259387104823e-06,0.000725488709390174,"CvsMid",12,16,14,3,19,11,13,10,10,12,15,8,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"42","plut2.m8.12181",12.8314933703619,-1.97814777594707,0.412815981664605,-4.79183913367538,1.65259387104823e-06,0.000725488709390174,"CvsMid",12,16,14,3,19,11,13,10,10,12,15,8,"GO:0005871",0.00639864937003604,0.999451131144977,3,45,"kinesin complex","CC"
"43","plut2.m8.12181",12.8314933703619,-1.65825435757478,0.414382610308364,-4.00174697567734,6.28765175640759e-05,0.0137935708396011,"CvsHigh",12,16,14,3,19,11,13,10,10,12,15,8,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"44","plut2.m8.12181",12.8314933703619,-1.65825435757478,0.414382610308364,-4.00174697567734,6.28765175640759e-05,0.0137935708396011,"CvsHigh",12,16,14,3,19,11,13,10,10,12,15,8,"GO:0005871",0.00639864937003604,0.999451131144977,3,45,"kinesin complex","CC"
"48","plut2.m8.12888",20.0083631487592,-1.47597283301265,0.373626266643909,-3.95039900773182,7.80210146731605e-05,0.0164218204171659,"CvsHigh",25,35,22,6,23,12,23,20,16,18,18,12,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"49","plut2.m8.12888",20.0083631487592,-1.50433695918372,0.379979944060621,-3.95899042225166,7.52672548159064e-05,0.0148266842339282,"CvsMid",25,35,22,6,23,12,23,20,16,18,18,12,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"52","plut2.m8.14149",516.405313266255,-5.09862717747318,1.11512111496841,-4.57226314615847,4.82484472131322e-06,0.00154445289881203,"CvsMid",184,75,21,17,2779,52,94,33,114,19,2691,30,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"53","plut2.m8.14149",516.405313266255,-5.09862717747318,1.11512111496841,-4.57226314615847,4.82484472131322e-06,0.00154445289881203,"CvsMid",184,75,21,17,2779,52,94,33,114,19,2691,30,"GO:0006955",0.0223841897530507,0.998497224607865,2,16,"immune response","BP"
"54","plut2.m8.14149",516.405313266255,-5.09862717747318,1.11512111496841,-4.57226314615847,4.82484472131322e-06,0.00154445289881203,"CvsMid",184,75,21,17,2779,52,94,33,114,19,2691,30,"GO:0005164",0.0194368683696223,0.99879785809279,2,15,"tumor necrosis factor receptor binding","MF"
"55","plut2.m8.14149",516.405313266255,4.44749568319263,1.11525458070727,3.98787484053385,6.66678174140323e-05,0.0498995606073196,"MidvsHigh",184,75,21,17,2779,52,94,33,114,19,2691,30,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"56","plut2.m8.14149",516.405313266255,4.44749568319263,1.11525458070727,3.98787484053385,6.66678174140323e-05,0.0498995606073196,"MidvsHigh",184,75,21,17,2779,52,94,33,114,19,2691,30,"GO:0006955",0.0223841897530507,0.998497224607865,2,16,"immune response","BP"
"57","plut2.m8.14149",516.405313266255,4.44749568319263,1.11525458070727,3.98787484053385,6.66678174140323e-05,0.0498995606073196,"MidvsHigh",184,75,21,17,2779,52,94,33,114,19,2691,30,"GO:0005164",0.0194368683696223,0.99879785809279,2,15,"tumor necrosis factor receptor binding","MF"
"60","plut2.m8.15977",22.1671064438411,-1.48685236205747,0.363997212748262,-4.08479051482673,4.41165992871131e-05,0.00954720490206327,"CvsMid",41,29,15,6,38,18,35,13,22,13,25,14,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"61","plut2.m8.15977",22.1671064438411,-1.33420023126925,0.360769543027892,-3.69820639533891,0.000217128309228305,0.0392491349563871,"CvsHigh",41,29,15,6,38,18,35,13,22,13,25,14,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"67","plut2.m8.16587",29.1260183750416,-1.33848037141049,0.304025394439257,-4.40252819630142,1.06996679049346e-05,0.00288421749753193,"CvsMid",39,22,26,15,70,21,20,39,40,15,43,13,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"73","plut2.m8.18568",41.1090803028079,-1.50746326053598,0.352806860751429,-4.2727719560932,1.93057872285424e-05,0.00478441001236376,"CvsMid",50,53,49,25,54,22,49,34,25,36,40,23,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"87","plut2.m8.21315",200.598716386052,0.863264960067657,0.236874220392599,3.6444023272641,0.000268013891227625,0.0452531147111259,"CvsHigh",692,175,141,245,156,96,157,593,386,102,143,75,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"88","plut2.m8.21416",22.8506354947052,-1.9862305559772,0.374181387366415,-5.30820244683149,1.10711637000859e-07,6.3003122315489e-05,"CvsMid",31,27,19,0,34,18,28,24,13,23,30,17,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"89","plut2.m8.21416",22.8506354947052,-1.71065275747366,0.373648774812772,-4.57823729873284,4.68910573714122e-06,0.00175727096710183,"CvsHigh",31,27,19,0,34,18,28,24,13,23,30,17,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"90","plut2.m8.21463",13.6012643529598,-1.6081510941289,0.38758702397876,-4.14913553508703,3.3373318084556e-05,0.00840624643228201,"CvsHigh",19,19,9,4,18,22,19,11,14,9,10,8,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"94","plut2.m8.21703",36.0511995741304,2.38346160656204,0.548585068614652,4.34474385637403,1.39438269359726e-05,0.0226256021819826,"MidvsHigh",44,7,22,12,159,15,10,66,22,17,87,9,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"95","plut2.m8.21703",36.0511995741304,-1.97124402632247,0.527141312151018,-3.73949827282316,0.000184387915007904,0.0298223190957521,"CvsMid",44,7,22,12,159,15,10,66,22,17,87,9,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"98","plut2.m8.21905",36.5947694584531,1.36251190883715,0.289448815522775,4.70726372252143,2.5106401808545e-06,0.000989127855867419,"CvsMid",161,33,14,35,29,42,39,107,87,20,9,10,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"103","plut2.m8.22430",46.510839179695,-1.89787418854861,0.452451532443975,-4.19464639294511,2.73297598623449e-05,0.00636245091340801,"CvsMid",55,28,26,21,191,28,22,66,26,22,93,13,"GO:0005509",0.0280733492831002,0.989826422996015,8,403,"calcium ion binding","MF"
"106","plut2.m8.22609",221.892315378518,1.04076017555212,0.240670589805245,4.32441777117148,1.52935234395534e-05,0.00479561199283138,"CvsHigh",814,183,138,296,191,82,168,637,499,120,134,80,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"109","plut2.m8.23195",30.8714106323603,-1.19363683917824,0.320375083832281,-3.72574803539689,0.000194736854911919,0.0358789064613165,"CvsHigh",57,48,22,15,34,37,28,47,22,37,13,18,"GO:0005509",0.0280733492831002,0.989826422996015,8,403,"calcium ion binding","MF"
"110","plut2.m8.23282",54.4385855545219,2.41733879702941,0.538519299947797,4.48886195399821,7.16046781665121e-06,0.0185900065455899,"MidvsHigh",122,10,18,93,202,13,17,126,84,11,59,16,"GO:0005509",0.0280733492831002,0.989826422996015,8,403,"calcium ion binding","MF"
"111","plut2.m8.23282",54.4385855545219,2.27575356246326,0.53422584505205,4.25990914430868,2.04510017831407e-05,0.00561124361424922,"CvsHigh",122,10,18,93,202,13,17,126,84,11,59,16,"GO:0005509",0.0280733492831002,0.989826422996015,8,403,"calcium ion binding","MF"
"112","plut2.m8.23335",105.485817585896,0.843900374063658,0.219552136240729,3.84373565437942,0.000121175529672984,0.0241800261483818,"CvsHigh",390,95,68,113,94,56,79,371,206,59,62,34,"GO:0005871",0.00639864937003604,0.999451131144977,3,45,"kinesin complex","CC"
"113","plut2.m8.23335",105.485817585896,0.843900374063658,0.219552136240729,3.84373565437942,0.000121175529672984,0.0241800261483818,"CvsHigh",390,95,68,113,94,56,79,371,206,59,62,34,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"116","plut2.m8.24126",62.3393266716695,-1.12320147543882,0.245876067091957,-4.56816106066456,4.9202190370254e-06,0.00179998013104512,"CvsHigh",125,86,34,20,74,86,83,71,77,39,48,41,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"119","plut2.m8.24633",1485.67812011291,-4.63774906255612,0.280036534393105,-16.561228600429,1.32853292606253e-61,2.04129084089508e-57,"CvsHigh",210,2250,1107,58,2882,1299,2172,109,166,985,2992,936,"GO:0008061",0.0112078698300789,0.999471396360684,2,18,"chitin binding","MF"
"120","plut2.m8.24633",1485.67812011291,-4.63774906255612,0.280036534393105,-16.561228600429,1.32853292606253e-61,2.04129084089508e-57,"CvsHigh",210,2250,1107,58,2882,1299,2172,109,166,985,2992,936,"GO:0005576",0.047342874742826,0.991214939639623,3,89,"extracellular region","CC"
"121","plut2.m8.24633",1485.67812011291,-5.05325759810502,0.280013336524623,-18.0464890023574,8.40678662831793e-73,1.29170276544105e-68,"CvsMid",210,2250,1107,58,2882,1299,2172,109,166,985,2992,936,"GO:0008061",0.0112078698300789,0.999471396360684,2,18,"chitin binding","MF"
"122","plut2.m8.24633",1485.67812011291,-5.05325759810502,0.280013336524623,-18.0464890023574,8.40678662831793e-73,1.29170276544105e-68,"CvsMid",210,2250,1107,58,2882,1299,2172,109,166,985,2992,936,"GO:0005576",0.047342874742826,0.991214939639623,3,89,"extracellular region","CC"
"125","plut2.m8.25307",145.899150854715,-1.1200244084372,0.27749402824237,-4.03621085300957,5.43214001330404e-05,0.0470097396751331,"MidvsHigh",490,191,80,95,89,202,127,212,235,188,51,52,"GO:0005509",0.0280733492831002,0.989826422996015,8,403,"calcium ion binding","MF"
"130","plut2.m8.25894",92.226028729373,-1.52144772071819,0.230203545744185,-6.60914112247823,3.86556095305946e-11,4.24245314598276e-08,"CvsMid",118,145,53,28,125,117,113,87,64,60,103,63,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"131","plut2.m8.25894",92.226028729373,-1.62626515742182,0.226562858456337,-7.17798657954004,7.07455027963356e-13,1.20778294496188e-09,"CvsHigh",118,145,53,28,125,117,113,87,64,60,103,63,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"132","plut2.m8.25928",102.382754484371,1.38475341873519,0.324741015355724,4.26417777014806,2.00639660666162e-05,0.00560514252024652,"CvsHigh",429,87,71,159,66,30,70,341,244,43,53,22,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"133","plut2.m8.25928",102.382754484371,1.24586415864237,0.326739964396726,3.81301430617054,0.000137282162801876,0.0237004542859644,"CvsMid",429,87,71,159,66,30,70,341,244,43,53,22,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"134","plut2.m8.26038",31.414813683251,-1.24220812864111,0.298003294892177,-4.16843756405634,3.0669474499406e-05,0.0068325558385691,"CvsMid",48,40,29,18,39,23,34,36,21,27,33,19,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"140","plut2.m8.26944",97.0828982786181,0.916256822673781,0.21809028434341,4.20127299770504,2.65418297563408e-05,0.0287116243389216,"MidvsHigh",324,68,82,70,170,55,64,181,206,43,106,35,"GO:0005509",0.0280733492831002,0.989826422996015,8,403,"calcium ion binding","MF"
"147","plut2.m8.28828",33.4123038761349,-1.12781096941385,0.277727671141357,-4.06085200217527,4.88939595624139e-05,0.0113826619496438,"CvsHigh",51,40,33,16,44,32,44,44,23,24,33,16,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"148","plut2.m8.28828",33.4123038761349,-1.19614504590759,0.282139067616218,-4.23955837103233,2.23959954203999e-05,0.00546213443864199,"CvsMid",51,40,33,16,44,32,44,44,23,24,33,16,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"149","plut2.m8.29528",18.1010511638835,-2.02154471681927,0.486057241599567,-4.15906717111459,3.19549926101092e-05,0.00818314102423879,"CvsHigh",10,18,27,2,32,9,25,20,7,21,19,8,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"150","plut2.m8.29528",18.1010511638835,-2.44351120180105,0.483987248866066,-5.04870987309264,4.44803641133188e-07,0.000213575248312857,"CvsMid",10,18,27,2,32,9,25,20,7,21,19,8,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"154","plut2.m8.30338",12.493679396992,-2.08820431379204,0.441064996555264,-4.73445938830105,2.19639742977904e-06,0.000964218471673,"CvsHigh",12,17,8,0,20,14,19,15,7,15,10,8,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"155","plut2.m8.30338",12.493679396992,-1.77154231800669,0.45916465582342,-3.8581852839474,0.000114232038153622,0.0204090147236093,"CvsMid",12,17,8,0,20,14,19,15,7,15,10,8,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"161","plut2.m8.30977",22.6255255656565,-1.95696825997082,0.360656827840539,-5.42612286501914,5.75913228305934e-08,3.53956270116827e-05,"CvsMid",21,23,21,12,52,16,20,22,12,15,36,10,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"166","plut2.m8.31969",49.3260032137811,-2.36086623651034,0.41529448857511,-5.68480030787443,1.30965598310969e-08,1.00614320902402e-05,"CvsMid",38,76,30,0,106,101,48,34,23,50,35,24,"GO:0008234",0.0418589964552668,0.995859069238813,2,33,"cysteine-type peptidase activity","MF"
"167","plut2.m8.31969",49.3260032137811,-2.76998067682739,0.409078901840942,-6.77126262039397,1.27663292555335e-11,1.50888191547133e-08,"CvsHigh",38,76,30,0,106,101,48,34,23,50,35,24,"GO:0008234",0.0418589964552668,0.995859069238813,2,33,"cysteine-type peptidase activity","MF"
"176","plut2.m8.33084",30.8083682296178,-1.94782430971811,0.39168247401825,-4.9729677453665,6.59356348821057e-07,0.000414934870749965,"CvsHigh",35,47,31,12,26,49,34,32,11,36,12,18,"GO:0005509",0.0280733492831002,0.989826422996015,8,403,"calcium ion binding","MF"
"177","plut2.m8.33084",30.8083682296178,-1.94782430971811,0.39168247401825,-4.9729677453665,6.59356348821057e-07,0.000414934870749965,"CvsHigh",35,47,31,12,26,49,34,32,11,36,12,18,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"180","plut2.m8.33216",102.510297320754,1.02891762126669,0.228949957733909,4.49407211711533,6.98739472686237e-06,0.00214722639956481,"CvsMid",429,74,56,113,68,69,105,265,228,80,42,37,"GO:0005509",0.0280733492831002,0.989826422996015,8,403,"calcium ion binding","MF"
"181","plut2.m8.33367",22.1476384211051,-2.59524466612575,0.390301881754144,-6.64932655323585,2.94437090747496e-11,3.4800199225656e-08,"CvsMid",25,22,22,5,55,18,23,10,9,16,42,7,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"182","plut2.m8.33367",22.1476384211051,-1.81406914296758,0.399673710521842,-4.53887532557245,5.65550601776659e-06,0.00202085697588334,"CvsHigh",25,22,22,5,55,18,23,10,9,16,42,7,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"183","plut2.m8.33377",21.4678000378603,-1.68023544979038,0.455813869250015,-3.68623151497123,0.000227599315698285,0.0403333120526608,"CvsHigh",16,30,22,16,25,19,35,11,12,17,17,11,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"184","plut2.m8.33379",12.2600436934541,-2.18585572465388,0.491131808838701,-4.45064987711224,8.56108205621631e-06,0.00244751788840473,"CvsMid",14,16,19,0,18,7,15,12,7,11,12,7,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"185","plut2.m8.33396",28.5456619321488,-1.97477789261392,0.45823352436391,-4.30954477928077,1.63590933143219e-05,0.00502714937549113,"CvsHigh",31,54,26,12,37,12,41,9,12,21,27,24,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"186","plut2.m8.33396",28.5456619321488,-2.11377612095931,0.460769267264579,-4.58749372220078,4.48598913466195e-06,0.00149841789248002,"CvsMid",31,54,26,12,37,12,41,9,12,21,27,24,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"189","plut2.m8.3398",24.5719169637232,-2.30065517094161,0.484600679121214,-4.74752774823525,2.059181466716e-06,0.000930568330473273,"CvsHigh",42,24,10,5,25,81,30,24,6,26,11,10,"GO:0005201",0.0344974792263013,0.996936128740685,2,31,"extracellular matrix structural constituent","MF"
"190","plut2.m8.3544",452.577180691017,-1.01299971520641,0.20722973035836,-4.88829336145274,1.01713884273473e-06,0.000558154939950682,"CvsHigh",1035,520,242,142,627,644,566,527,690,409,323,206,"GO:0008234",0.0418589964552668,0.995859069238813,2,33,"cysteine-type peptidase activity","MF"
"191","plut2.m8.3794",218.662426026332,-2.2985250021737,0.19210703558969,-11.964814277198,5.43189905194377e-33,2.78203763110387e-29,"CvsHigh",198,269,185,30,405,180,265,127,84,245,270,144,"GO:0005200",0.000271394297797557,0.999993045727317,3,15,"structural constituent of cytoskeleton","MF"
"192","plut2.m8.3794",218.662426026332,-2.2985250021737,0.19210703558969,-11.964814277198,5.43189905194377e-33,2.78203763110387e-29,"CvsHigh",198,269,185,30,405,180,265,127,84,245,270,144,"GO:0005874",0.000487471846705454,0.999984293080466,3,18,"microtubule","CC"
"193","plut2.m8.3794",218.662426026332,-2.2985250021737,0.19210703558969,-11.964814277198,5.43189905194377e-33,2.78203763110387e-29,"CvsHigh",198,269,185,30,405,180,265,127,84,245,270,144,"GO:0007017",0.000606444666317067,0.999978929453052,3,18,"microtubule-based process","BP"
"194","plut2.m8.3794",218.662426026332,-2.53113478392278,0.192526428988104,-13.1469471346148,1.77184962144293e-39,1.36122347167353e-35,"CvsMid",198,269,185,30,405,180,265,127,84,245,270,144,"GO:0005200",0.000271394297797557,0.999993045727317,3,15,"structural constituent of cytoskeleton","MF"
"195","plut2.m8.3794",218.662426026332,-2.53113478392278,0.192526428988104,-13.1469471346148,1.77184962144293e-39,1.36122347167353e-35,"CvsMid",198,269,185,30,405,180,265,127,84,245,270,144,"GO:0005874",0.000487471846705454,0.999984293080466,3,18,"microtubule","CC"
"196","plut2.m8.3794",218.662426026332,-2.53113478392278,0.192526428988104,-13.1469471346148,1.77184962144293e-39,1.36122347167353e-35,"CvsMid",198,269,185,30,405,180,265,127,84,245,270,144,"GO:0007017",0.000606444666317067,0.999978929453052,3,18,"microtubule-based process","BP"
"198","plut2.m8.4150",17.3525766073115,-1.42834750987281,0.373832334800013,-3.82082387452366,0.000133006614165148,0.0262005977775321,"CvsHigh",28,27,9,7,29,18,23,9,20,14,17,9,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"203","plut2.m8.5234",11.870116336603,-2.23776820367415,0.506064975511437,-4.42189898918144,9.78371959678466e-06,0.00268440806436779,"CvsMid",14,13,14,0,10,9,16,8,9,8,17,11,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"204","plut2.m8.5539",74.8659165801011,-3.0363585191242,0.730361960802906,-4.15733387290085,3.21983257691929e-05,0.00706753250633785,"CvsMid",69,9,20,17,383,27,20,49,28,24,260,18,"GO:0005471",0.0194459635392826,0.999905157206595,1,2,"ATP:ADP antiporter activity","MF"
"205","plut2.m8.5539",74.8659165801011,-3.0363585191242,0.730361960802906,-4.15733387290085,3.21983257691929e-05,0.00706753250633785,"CvsMid",69,9,20,17,383,27,20,49,28,24,260,18,"GO:0140021",0.0194459635392826,0.999905157206595,1,2,"mitochondrial ADP transmembrane transport","BP"
"206","plut2.m8.5539",74.8659165801011,-3.0363585191242,0.730361960802906,-4.15733387290085,3.21983257691929e-05,0.00706753250633785,"CvsMid",69,9,20,17,383,27,20,49,28,24,260,18,"GO:1990544",0.0194459635392826,0.999905157206595,1,2,"mitochondrial ATP transmembrane transport","BP"
"207","plut2.m8.5539",74.8659165801011,2.93025402153751,0.736421549202622,3.97904437303649,6.9192827280776e-05,0.0498995606073196,"MidvsHigh",69,9,20,17,383,27,20,49,28,24,260,18,"GO:0005471",0.0194459635392826,0.999905157206595,1,2,"ATP:ADP antiporter activity","MF"
"208","plut2.m8.5539",74.8659165801011,2.93025402153751,0.736421549202622,3.97904437303649,6.9192827280776e-05,0.0498995606073196,"MidvsHigh",69,9,20,17,383,27,20,49,28,24,260,18,"GO:0140021",0.0194459635392826,0.999905157206595,1,2,"mitochondrial ADP transmembrane transport","BP"
"209","plut2.m8.5539",74.8659165801011,2.93025402153751,0.736421549202622,3.97904437303649,6.9192827280776e-05,0.0498995606073196,"MidvsHigh",69,9,20,17,383,27,20,49,28,24,260,18,"GO:1990544",0.0194459635392826,0.999905157206595,1,2,"mitochondrial ATP transmembrane transport","BP"
"217","plut2.m8.7016",273.331270021784,-0.909884530915631,0.213048296183713,-4.27078999088091,1.94781764041229e-05,0.0280940231002133,"MidvsHigh",768,482,106,180,216,299,232,524,498,255,145,108,"GO:0009308",0.0315188400641584,0.999624939200029,1,4,"amine metabolic process","BP"
"218","plut2.m8.7016",273.331270021784,-0.909884530915631,0.213048296183713,-4.27078999088091,1.94781764041229e-05,0.0280940231002133,"MidvsHigh",768,482,106,180,216,299,232,524,498,255,145,108,"GO:0008131",0.0315188400641584,0.999624939200029,1,4,"primary amine oxidase activity","MF"
"219","plut2.m8.7016",273.331270021784,-0.909884530915631,0.213048296183713,-4.27078999088091,1.94781764041229e-05,0.0280940231002133,"MidvsHigh",768,482,106,180,216,299,232,524,498,255,145,108,"GO:0048038",0.0476350797437986,0.999042801699014,1,6,"quinone binding","MF"
"223","plut2.m8.7220",25.7778299114225,-3.69533722437882,0.404417629914051,-9.13742861596852,6.39548712731371e-20,1.63777766185292e-16,"CvsHigh",12,40,20,0,34,43,31,7,6,32,20,20,"GO:0005576",0.047342874742826,0.991214939639623,3,89,"extracellular region","CC"
"224","plut2.m8.7220",25.7778299114225,-3.69533722437882,0.404417629914051,-9.13742861596852,6.39548712731371e-20,1.63777766185292e-16,"CvsHigh",12,40,20,0,34,43,31,7,6,32,20,20,"GO:0008061",0.0112078698300789,0.999471396360684,2,18,"chitin binding","MF"
"225","plut2.m8.7220",25.7778299114225,-3.29101729956359,0.41513142053559,-7.92765167068689,2.23328677189027e-15,5.719075208349e-12,"CvsMid",12,40,20,0,34,43,31,7,6,32,20,20,"GO:0005576",0.047342874742826,0.991214939639623,3,89,"extracellular region","CC"
