"","gene_id","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","X6_1","X7_1","X8_1","X9_1","X21_1","X22_1","X23_1","X25_1","X26_1","X27_1","X29_1","X34_1","length","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare"
"30","jamg1.model.Sc0000225.27","GO:0021999",0.0286105203199798,0.99979372960883,1,2,"neural plate anterior/posterior regionalization","BP",1339,519,227,118,635,731,740,697,519,577,431,289,870,524.436054423632,-1.22989651112396,0.261498905550597,-4.7032568206523,2.56044016057112e-06,0.00106327467749122,"CvsHigh"
"31","jamg1.model.Sc0000225.29","GO:0040012",0.00818620812720756,0.999683944206831,2,13,"regulation of locomotion","BP",812,308,165,86,330,429,506,451,363,344,275,231,597,337.253853531612,-1.13687431023826,0.264103992715893,-4.30464643319968,1.67252634528633e-05,0.00503889554810284,"CvsHigh"
"32","jamg1.model.Sc0000551.3","GO:0006491",0.0398784789486617,0.999397439395632,1,4,"N-glycan processing","BP",35,18,20,3,52,20,25,10,8,31,27,13,1710,22.9399405852044,-2.35662191386313,0.415569531575865,-5.67082457880555,1.42111853924769e-08,1.03978506454956e-05,"CvsMid"
"33","jamg1.model.Sc0000551.3","GO:0006491",0.0398784789486617,0.999397439395632,1,4,"N-glycan processing","BP",35,18,20,3,52,20,25,10,8,31,27,13,1710,22.9399405852044,-1.99972022300816,0.41635685225678,-4.80289975334637,1.56384189852588e-06,0.000800947692361673,"CvsHigh"
"36","jamg1.model.Sc0000551.3","GO:0036509",0.00898414269261878,1,1,1,"trimming of terminal mannose on B branch","BP",35,18,20,3,52,20,25,10,8,31,27,13,1710,22.9399405852044,-2.35662191386313,0.415569531575865,-5.67082457880555,1.42111853924769e-08,1.03978506454956e-05,"CvsMid"
"37","jamg1.model.Sc0000551.3","GO:0036509",0.00898414269261878,1,1,1,"trimming of terminal mannose on B branch","BP",35,18,20,3,52,20,25,10,8,31,27,13,1710,22.9399405852044,-1.99972022300816,0.41635685225678,-4.80289975334637,1.56384189852588e-06,0.000800947692361673,"CvsHigh"
"38","jamg1.model.Sc0000551.3","GO:1904382",0.0178880939687352,0.999919808527939,1,2,"mannose trimming involved in glycoprotein ERAD pathway","BP",35,18,20,3,52,20,25,10,8,31,27,13,1710,22.9399405852044,-2.35662191386313,0.415569531575865,-5.67082457880555,1.42111853924769e-08,1.03978506454956e-05,"CvsMid"
"39","jamg1.model.Sc0000551.3","GO:1904382",0.0178880939687352,0.999919808527939,1,2,"mannose trimming involved in glycoprotein ERAD pathway","BP",35,18,20,3,52,20,25,10,8,31,27,13,1710,22.9399405852044,-1.99972022300816,0.41635685225678,-4.80289975334637,1.56384189852588e-06,0.000800947692361673,"CvsHigh"
"40","jamg1.model.Sc0000654.3","GO:2000299",0.0380896698350908,0.999511211235396,1,3,"negative regulation of Rho-dependent protein serine/threonine kinase activity","BP",17,28,9,4,30,12,17,10,12,8,20,10,1116,15.1932364773465,-1.66239342393444,0.421648006250013,-3.9426094735255,8.05998399543476e-05,0.0167353586607912,"CvsHigh"
"41","jamg1.model.Sc0000654.3","GO:2000299",0.0380896698350908,0.999511211235396,1,3,"negative regulation of Rho-dependent protein serine/threonine kinase activity","BP",17,28,9,4,30,12,17,10,12,8,20,10,1116,15.1932364773465,-1.93122068853382,0.422249693061214,-4.57364616308638,4.793090332433e-06,0.00154445289881203,"CvsMid"
"42","jamg1.model.Sc0000654.3","GO:1905709",0.0380896698350908,0.999511211235396,1,3,"negative regulation of membrane permeability","BP",17,28,9,4,30,12,17,10,12,8,20,10,1116,15.1932364773465,-1.66239342393444,0.421648006250013,-3.9426094735255,8.05998399543476e-05,0.0167353586607912,"CvsHigh"
"43","jamg1.model.Sc0000654.3","GO:1905709",0.0380896698350908,0.999511211235396,1,3,"negative regulation of membrane permeability","BP",17,28,9,4,30,12,17,10,12,8,20,10,1116,15.1932364773465,-1.93122068853382,0.422249693061214,-4.57364616308638,4.793090332433e-06,0.00154445289881203,"CvsMid"
"44","jamg1.model.Sc0000654.3","GO:0030324",0.0154189902118123,0.998160494924963,3,55,"lung development","BP",17,28,9,4,30,12,17,10,12,8,20,10,1116,15.1932364773465,-1.66239342393444,0.421648006250013,-3.9426094735255,8.05998399543476e-05,0.0167353586607912,"CvsHigh"
"45","jamg1.model.Sc0000654.3","GO:0030324",0.0154189902118123,0.998160494924963,3,55,"lung development","BP",17,28,9,4,30,12,17,10,12,8,20,10,1116,15.1932364773465,-1.93122068853382,0.422249693061214,-4.57364616308638,4.793090332433e-06,0.00154445289881203,"CvsMid"
"46","jamg1.model.Sc0000654.3","GO:0035024",0.0191361230155771,0.998798625655224,2,19,"negative regulation of Rho protein signal transduction","BP",17,28,9,4,30,12,17,10,12,8,20,10,1116,15.1932364773465,-1.66239342393444,0.421648006250013,-3.9426094735255,8.05998399543476e-05,0.0167353586607912,"CvsHigh"
"47","jamg1.model.Sc0000654.3","GO:0035024",0.0191361230155771,0.998798625655224,2,19,"negative regulation of Rho protein signal transduction","BP",17,28,9,4,30,12,17,10,12,8,20,10,1116,15.1932364773465,-1.93122068853382,0.422249693061214,-4.57364616308638,4.793090332433e-06,0.00154445289881203,"CvsMid"
"48","jamg1.model.xfSc0000800.1","GO:0001654",0.00162306739677301,0.999918284982943,3,23,"eye development","BP",29,17,15,8,48,11,13,17,10,10,29,7,1683,17.4847418477261,-1.82191247465994,0.381195160214464,-4.77947430821241,1.75754128314918e-06,0.000741426299824509,"CvsMid"
"51","jamg1.model.xpSc0007059.15","GO:0007059",0.0200763006609941,0.998696670958468,2,21,"chromosome segregation","BP",25,26,14,7,25,13,19,18,13,16,15,11,798,17.1765211720029,-1.33855034408421,0.356634830143026,-3.75327991252956,0.00017453577473975,0.0285291721157049,"CvsMid"
"52","jamg1.model.xpSc0007059.15","GO:0007059",0.0200763006609941,0.998696670958468,2,21,"chromosome segregation","BP",25,26,14,7,25,13,19,18,13,16,15,11,798,17.1765211720029,-1.31706513857713,0.349066224970839,-3.77310964040465,0.000161225393025492,0.0309653520479585,"CvsHigh"
"53","jamg1.model.xpSc0007059.15","GO:0007052",0.0282611581905789,0.997783943845024,2,23,"mitotic spindle organization","BP",25,26,14,7,25,13,19,18,13,16,15,11,798,17.1765211720029,-1.33855034408421,0.356634830143026,-3.75327991252956,0.00017453577473975,0.0285291721157049,"CvsMid"
"54","jamg1.model.xpSc0007059.15","GO:0007052",0.0282611581905789,0.997783943845024,2,23,"mitotic spindle organization","BP",25,26,14,7,25,13,19,18,13,16,15,11,798,17.1765211720029,-1.31706513857713,0.349066224970839,-3.77310964040465,0.000161225393025492,0.0309653520479585,"CvsHigh"
"57","plut2.m8.1011","GO:0051638",0.0265483093111087,0.99982258153005,1,2,"barbed-end actin filament uncapping","BP",2102,805,611,214,842,803,1147,986,1057,1069,931,521,609,880.811452310355,-1.08037442770852,0.264595819525681,-4.08311223376551,4.44365483239782e-05,0.0105041163845835,"CvsHigh"
"58","plut2.m8.1011","GO:0030032",0.00825425612800284,0.999676846283353,2,14,"lamellipodium assembly","BP",2102,805,611,214,842,803,1147,986,1057,1069,931,521,609,880.811452310355,-1.08037442770852,0.264595819525681,-4.08311223376551,4.44365483239782e-05,0.0105041163845835,"CvsHigh"
"60","plut2.m8.1011","GO:1902745",0.0265483093111087,0.99982258153005,1,2,"positive regulation of lamellipodium organization","BP",2102,805,611,214,842,803,1147,986,1057,1069,931,521,609,880.811452310355,-1.08037442770852,0.264595819525681,-4.08311223376551,4.44365483239782e-05,0.0105041163845835,"CvsHigh"
"61","plut2.m8.1011","GO:0051639",0.0493856067645771,0.999011051934338,1,5,"actin filament network formation","BP",2102,805,611,214,842,803,1147,986,1057,1069,931,521,609,880.811452310355,-1.08037442770852,0.264595819525681,-4.08311223376551,4.44365483239782e-05,0.0105041163845835,"CvsHigh"
"62","plut2.m8.1011","GO:0046415",0.0444898087236311,0.99933117926046,1,3,"urate metabolic process","BP",2102,805,611,214,842,803,1147,986,1057,1069,931,521,609,880.811452310355,-1.08037442770852,0.264595819525681,-4.08311223376551,4.44365483239782e-05,0.0105041163845835,"CvsHigh"
"63","plut2.m8.1011","GO:2000813",0.0319839712242341,0.999656319894081,1,3,"negative regulation of barbed-end actin filament capping","BP",2102,805,611,214,842,803,1147,986,1057,1069,931,521,609,880.811452310355,-1.08037442770852,0.264595819525681,-4.08311223376551,4.44365483239782e-05,0.0105041163845835,"CvsHigh"
"64","plut2.m8.10411","GO:0055067",0.0386005921559404,0.999398529239537,1,5,"monovalent inorganic cation homeostasis","BP",481,199,369,163,242,390,466,384,281,296,540,355,3697,380.699216079369,-1.59918592823888,0.355522870766415,-4.49812391757372,6.85557371939991e-06,0.00214722639956481,"CvsMid"
"65","plut2.m8.10411","GO:0072234",0.0386005921559404,0.999398529239537,1,5,"metanephric nephron tubule development","BP",481,199,369,163,242,390,466,384,281,296,540,355,3697,380.699216079369,-1.59918592823888,0.355522870766415,-4.49812391757372,6.85557371939991e-06,0.00214722639956481,"CvsMid"
"67","plut2.m8.10671","GO:0033683",0.0225015586540645,0.999872811111277,1,2,"nucleotide-excision repair, DNA incision","BP",16,16,13,5,26,21,21,13,8,22,18,9,821,16.8661945677621,-1.92342696574697,0.382122228302922,-5.03353854678719,4.81507940235439e-07,0.000224193015203561,"CvsMid"
"68","plut2.m8.10671","GO:0033683",0.0225015586540645,0.999872811111277,1,2,"nucleotide-excision repair, DNA incision","BP",16,16,13,5,26,21,21,13,8,22,18,9,821,16.8661945677621,-2.02942258816423,0.371840997197566,-5.4577698625468,4.82152018572615e-08,3.36739352971283e-05,"CvsHigh"
"69","plut2.m8.10671","GO:0040016",0.00248495268687397,0.999954385872977,2,7,"embryonic cleavage","BP",16,16,13,5,26,21,21,13,8,22,18,9,821,16.8661945677621,-1.92342696574697,0.382122228302922,-5.03353854678719,4.81507940235439e-07,0.000224193015203561,"CvsMid"
"70","plut2.m8.10671","GO:0040016",0.00248495268687397,0.999954385872977,2,7,"embryonic cleavage","BP",16,16,13,5,26,21,21,13,8,22,18,9,821,16.8661945677621,-2.02942258816423,0.371840997197566,-5.4577698625468,4.82152018572615e-08,3.36739352971283e-05,"CvsHigh"
"71","plut2.m8.10671","GO:0060218",0.00844607709820293,0.999662603015085,2,15,"hematopoietic stem cell differentiation","BP",16,16,13,5,26,21,21,13,8,22,18,9,821,16.8661945677621,-1.92342696574697,0.382122228302922,-5.03353854678719,4.81507940235439e-07,0.000224193015203561,"CvsMid"
"72","plut2.m8.10671","GO:0060218",0.00844607709820293,0.999662603015085,2,15,"hematopoietic stem cell differentiation","BP",16,16,13,5,26,21,21,13,8,22,18,9,821,16.8661945677621,-2.02942258816423,0.371840997197566,-5.4577698625468,4.82152018572615e-08,3.36739352971283e-05,"CvsHigh"
"73","plut2.m8.10671","GO:0000717",0.0154940467669304,1,1,1,"nucleotide-excision repair, DNA duplex unwinding","BP",16,16,13,5,26,21,21,13,8,22,18,9,821,16.8661945677621,-1.92342696574697,0.382122228302922,-5.03353854678719,4.81507940235439e-07,0.000224193015203561,"CvsMid"
"74","plut2.m8.10671","GO:0000717",0.0154940467669304,1,1,1,"nucleotide-excision repair, DNA duplex unwinding","BP",16,16,13,5,26,21,21,13,8,22,18,9,821,16.8661945677621,-2.02942258816423,0.371840997197566,-5.4577698625468,4.82152018572615e-08,3.36739352971283e-05,"CvsHigh"
"75","plut2.m8.10671","GO:0006362",0.0154940467669304,1,1,1,"transcription elongation from RNA polymerase I promoter","BP",16,16,13,5,26,21,21,13,8,22,18,9,821,16.8661945677621,-1.92342696574697,0.382122228302922,-5.03353854678719,4.81507940235439e-07,0.000224193015203561,"CvsMid"
"76","plut2.m8.10671","GO:0006362",0.0154940467669304,1,1,1,"transcription elongation from RNA polymerase I promoter","BP",16,16,13,5,26,21,21,13,8,22,18,9,821,16.8661945677621,-2.02942258816423,0.371840997197566,-5.4577698625468,4.82152018572615e-08,3.36739352971283e-05,"CvsHigh"
"77","plut2.m8.10671","GO:0043249",0.0352962000974303,0.999580815577745,1,3,"erythrocyte maturation","BP",16,16,13,5,26,21,21,13,8,22,18,9,821,16.8661945677621,-1.92342696574697,0.382122228302922,-5.03353854678719,4.81507940235439e-07,0.000224193015203561,"CvsMid"
"78","plut2.m8.10671","GO:0043249",0.0352962000974303,0.999580815577745,1,3,"erythrocyte maturation","BP",16,16,13,5,26,21,21,13,8,22,18,9,821,16.8661945677621,-2.02942258816423,0.371840997197566,-5.4577698625468,4.82152018572615e-08,3.36739352971283e-05,"CvsHigh"
"79","plut2.m8.10671","GO:0048568",0.020394238301448,0.99865613068629,2,23,"embryonic organ development","BP",16,16,13,5,26,21,21,13,8,22,18,9,821,16.8661945677621,-1.92342696574697,0.382122228302922,-5.03353854678719,4.81507940235439e-07,0.000224193015203561,"CvsMid"
"80","plut2.m8.10671","GO:0048568",0.020394238301448,0.99865613068629,2,23,"embryonic organ development","BP",16,16,13,5,26,21,21,13,8,22,18,9,821,16.8661945677621,-2.02942258816423,0.371840997197566,-5.4577698625468,4.82152018572615e-08,3.36739352971283e-05,"CvsHigh"
"81","plut2.m8.10671","GO:0032289",0.0370592118135427,0.99953751958836,1,3,"central nervous system myelin formation","BP",16,16,13,5,26,21,21,13,8,22,18,9,821,16.8661945677621,-1.92342696574697,0.382122228302922,-5.03353854678719,4.81507940235439e-07,0.000224193015203561,"CvsMid"
"82","plut2.m8.10671","GO:0032289",0.0370592118135427,0.99953751958836,1,3,"central nervous system myelin formation","BP",16,16,13,5,26,21,21,13,8,22,18,9,821,16.8661945677621,-2.02942258816423,0.371840997197566,-5.4577698625468,4.82152018572615e-08,3.36739352971283e-05,"CvsHigh"
"85","plut2.m8.10671","GO:0006283",0.0466468575522396,0.99917312408314,1,4,"transcription-coupled nucleotide-excision repair","BP",16,16,13,5,26,21,21,13,8,22,18,9,821,16.8661945677621,-1.92342696574697,0.382122228302922,-5.03353854678719,4.81507940235439e-07,0.000224193015203561,"CvsMid"
"86","plut2.m8.10671","GO:0006283",0.0466468575522396,0.99917312408314,1,4,"transcription-coupled nucleotide-excision repair","BP",16,16,13,5,26,21,21,13,8,22,18,9,821,16.8661945677621,-2.02942258816423,0.371840997197566,-5.4577698625468,4.82152018572615e-08,3.36739352971283e-05,"CvsHigh"
"89","plut2.m8.10671","GO:0043388",0.0027764437330647,0.999946058827845,2,7,"positive regulation of DNA binding","BP",16,16,13,5,26,21,21,13,8,22,18,9,821,16.8661945677621,-1.92342696574697,0.382122228302922,-5.03353854678719,4.81507940235439e-07,0.000224193015203561,"CvsMid"
"90","plut2.m8.10671","GO:0043388",0.0027764437330647,0.999946058827845,2,7,"positive regulation of DNA binding","BP",16,16,13,5,26,21,21,13,8,22,18,9,821,16.8661945677621,-2.02942258816423,0.371840997197566,-5.4577698625468,4.82152018572615e-08,3.36739352971283e-05,"CvsHigh"
"97","plut2.m8.10671","GO:0045951",0.0224950908843746,0.999872884639124,1,2,"positive regulation of mitotic recombination","BP",16,16,13,5,26,21,21,13,8,22,18,9,821,16.8661945677621,-1.92342696574697,0.382122228302922,-5.03353854678719,4.81507940235439e-07,0.000224193015203561,"CvsMid"
"98","plut2.m8.10671","GO:0045951",0.0224950908843746,0.999872884639124,1,2,"positive regulation of mitotic recombination","BP",16,16,13,5,26,21,21,13,8,22,18,9,821,16.8661945677621,-2.02942258816423,0.371840997197566,-5.4577698625468,4.82152018572615e-08,3.36739352971283e-05,"CvsHigh"
"99","plut2.m8.10671","GO:0007059",0.0200763006609941,0.998696670958468,2,21,"chromosome segregation","BP",16,16,13,5,26,21,21,13,8,22,18,9,821,16.8661945677621,-1.92342696574697,0.382122228302922,-5.03353854678719,4.81507940235439e-07,0.000224193015203561,"CvsMid"
"100","plut2.m8.10671","GO:0007059",0.0200763006609941,0.998696670958468,2,21,"chromosome segregation","BP",16,16,13,5,26,21,21,13,8,22,18,9,821,16.8661945677621,-2.02942258816423,0.371840997197566,-5.4577698625468,4.82152018572615e-08,3.36739352971283e-05,"CvsHigh"
"101","plut2.m8.11052","GO:0038061",0.0378782522355285,0.999456838809038,1,4,"NIK/NF-kappaB signaling","BP",156,20,76,58,30,9,7,77,161,6,28,42,2664,49.3679585936732,2.48978946721138,0.524040836687211,4.75113634836341,2.02276673647279e-06,0.000930568330473273,"CvsHigh"
"102","plut2.m8.11052","GO:0038061",0.0378782522355285,0.999456838809038,1,4,"NIK/NF-kappaB signaling","BP",156,20,76,58,30,9,7,77,161,6,28,42,2664,49.3679585936732,2.53275121215818,0.529391680335623,4.78426712439543,1.71612332623654e-06,0.00742566563262549,"MidvsHigh"
"103","plut2.m8.11052","GO:0051707",0.0490139666218234,0.994714314812707,2,33,"response to other organism","BP",156,20,76,58,30,9,7,77,161,6,28,42,2664,49.3679585936732,2.48978946721138,0.524040836687211,4.75113634836341,2.02276673647279e-06,0.000930568330473273,"CvsHigh"
"104","plut2.m8.11052","GO:0051707",0.0490139666218234,0.994714314812707,2,33,"response to other organism","BP",156,20,76,58,30,9,7,77,161,6,28,42,2664,49.3679585936732,2.53275121215818,0.529391680335623,4.78426712439543,1.71612332623654e-06,0.00742566563262549,"MidvsHigh"
"105","plut2.m8.11877","GO:0071630",0.0351615415347207,0.999584033654057,1,3,"nuclear protein quality control by the ubiquitin-proteasome system","BP",35,36,11,8,36,16,19,18,19,23,17,7,948,19.6582050877299,-1.33614768003365,0.362555150758929,-3.6853639432145,0.000228376059133192,0.0403333120526608,"CvsHigh"
"106","plut2.m8.11877","GO:0017145",0.0349653612734732,0.999588699429806,1,3,"stem cell division","BP",35,36,11,8,36,16,19,18,19,23,17,7,948,19.6582050877299,-1.33614768003365,0.362555150758929,-3.6853639432145,0.000228376059133192,0.0403333120526608,"CvsHigh"
"107","plut2.m8.11877","GO:0044346",0.0251532536849449,0.999840851529568,1,2,"fibroblast apoptotic process","BP",35,36,11,8,36,16,19,18,19,23,17,7,948,19.6582050877299,-1.33614768003365,0.362555150758929,-3.6853639432145,0.000228376059133192,0.0403333120526608,"CvsHigh"
"108","plut2.m8.11877","GO:0001831",0.0340662890435339,0.999609740247445,1,3,"trophectodermal cellular morphogenesis","BP",35,36,11,8,36,16,19,18,19,23,17,7,948,19.6582050877299,-1.33614768003365,0.362555150758929,-3.6853639432145,0.000228376059133192,0.0403333120526608,"CvsHigh"
"109","plut2.m8.11877","GO:0007229",0.0152151155751101,0.999153663785063,2,19,"integrin-mediated signaling pathway","BP",35,36,11,8,36,16,19,18,19,23,17,7,948,19.6582050877299,-1.33614768003365,0.362555150758929,-3.6853639432145,0.000228376059133192,0.0403333120526608,"CvsHigh"
"110","plut2.m8.11877","GO:0043149",0.0393498397851327,0.999413442733793,1,4,"stress fiber assembly","BP",35,36,11,8,36,16,19,18,19,23,17,7,948,19.6582050877299,-1.33614768003365,0.362555150758929,-3.6853639432145,0.000228376059133192,0.0403333120526608,"CvsHigh"
"114","plut2.m8.11877","GO:0016477",0.00255351344478696,0.999635491363248,5,96,"cell migration","BP",35,36,11,8,36,16,19,18,19,23,17,7,948,19.6582050877299,-1.33614768003365,0.362555150758929,-3.6853639432145,0.000228376059133192,0.0403333120526608,"CvsHigh"
"116","plut2.m8.11877","GO:0040016",0.00248495268687397,0.999954385872977,2,7,"embryonic cleavage","BP",35,36,11,8,36,16,19,18,19,23,17,7,948,19.6582050877299,-1.33614768003365,0.362555150758929,-3.6853639432145,0.000228376059133192,0.0403333120526608,"CvsHigh"
"118","plut2.m8.11877","GO:0035024",0.0191361230155771,0.998798625655224,2,19,"negative regulation of Rho protein signal transduction","BP",35,36,11,8,36,16,19,18,19,23,17,7,948,19.6582050877299,-1.33614768003365,0.362555150758929,-3.6853639432145,0.000228376059133192,0.0403333120526608,"CvsHigh"
"125","plut2.m8.12217","GO:0006264",0.00297075626344045,0.999936180875633,2,9,"mitochondrial DNA replication","BP",293,134,31,43,80,101,85,190,198,110,10,20,2172,86.5997437826419,-1.49910280130566,0.363798096929056,-4.1206999540682,3.7772308320287e-05,0.0377171026388958,"MidvsHigh"
"126","plut2.m8.12217","GO:0043504",0.00197775889070295,0.999967691491283,2,7,"mitochondrial DNA repair","BP",293,134,31,43,80,101,85,190,198,110,10,20,2172,86.5997437826419,-1.49910280130566,0.363798096929056,-4.1206999540682,3.7772308320287e-05,0.0377171026388958,"MidvsHigh"
"127","plut2.m8.15873","GO:0070901",0.0266435613668449,0.999821297393691,1,2,"mitochondrial tRNA methylation","BP",71,38,20,20,91,58,27,54,36,26,92,18,2278,44.4601417990208,-1.43626464561514,0.382408919638426,-3.75583458401846,0.000172764780578259,0.0285291721157049,"CvsMid"
"129","plut2.m8.15873","GO:0030488",0.0324573817722939,0.999602109912603,1,4,"tRNA methylation","BP",71,38,20,20,91,58,27,54,36,26,92,18,2278,44.4601417990208,-1.43626464561514,0.382408919638426,-3.75583458401846,0.000172764780578259,0.0285291721157049,"CvsMid"
"130","plut2.m8.15977","GO:0014033",0.0379252496923067,0.999419553592512,1,5,"neural crest cell differentiation","BP",41,29,15,6,38,18,35,13,22,13,25,14,3824,22.1671064438411,-1.48685236205747,0.363997212748262,-4.08479051482673,4.41165992871131e-05,0.00954720490206327,"CvsMid"
"131","plut2.m8.15977","GO:0014033",0.0379252496923067,0.999419553592512,1,5,"neural crest cell differentiation","BP",41,29,15,6,38,18,35,13,22,13,25,14,3824,22.1671064438411,-1.33420023126925,0.360769543027892,-3.69820639533891,0.000217128309228305,0.0392491349563871,"CvsHigh"
